,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,177,0,False,False,0,5179.289429502049,24.799999237060547,43.220001220703125,131.08999633789062,7942.9998779296875,12351.800537109375,9800.700073242188,-5826.7999267578125,-1306.4999389648438,584.0999984741211,0.0,-0.01824695228715136,0.10117391862931613,-0.4381478674017591,9145427433175672767,KBR_SharKo,11.0,-2.9600000381469727,-151.33999633789062,48.369998931884766,835.8999633789062,22754.3994140625,3213.5000610351562,-400.49999237060547,560.099983215332,-873.0999755859375,255.0,47.0,,0.02073893299363098,1.4785724485195775,0.018245126756961695,True,False,0.0,False,False,4,,8179933407471405355,edalti76,10.0,3269.2099609375,-4001.469970703125,17.010000228881836,11556.199951171875,6519.2999267578125,2.8999999165534973,-0.29999999329447746,-0.5000000074505806,3283.800048828125,243.0,255.0,False,0.009582558239367964,0.7794680837016084,-7.359828487405086e-07,True,False,False,255.0,False,False,,enpitsu,76561198039309853,27.0,2991.97998046875,4126.10009765625,17.049999237060547,13075.799560546875,-3144.89990234375,3.799999952316284,0.7999999821186066,-0.5999999865889549,-3002.5,255.0,0.0,False,0.01677372884689104,-0.4013639284444809,-5.935905165243551e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,19.0,-9.430000305175781,287.7699890136719,83.13999938964844,2446.3999938964844,-22697.099609375,2151.7999267578125,4994.2999267578125,2303.0999755859375,-38.499999046325684,128.0,173.0,0.6410756628672653,-1.6810914950260807,-0.35361404078235376,True,3,False,4,31.0,False,,
1,178,0,False,False,1,5267.916894480312,-43.130001068115234,-43.529998779296875,192.8800048828125,-9969.600219726562,8559.000244140625,16010.899658203125,5447.7001953125,1385.8000183105469,2097.7999877929688,1.0,-0.055572001711518396,-0.15737762168475494,-0.4568269861421654,bf81d8692db,games5425898691,19.0,-5.659999847412109,-148.63999938964844,90.02999877929688,-1650.8999633789062,5195.7000732421875,-199.89999771118164,-610.6999969482422,-2083.2000732421875,5001.199951171875,128.0,174.0,,-1.0856570136702965,2.264570980538506,-0.8691127057634996,True,3,31.0,False,False,4,,76561198039309853,enpitsu,27.0,-2991.97998046875,-4126.10009765625,17.049999237060547,-13075.799560546875,3144.89990234375,3.799999952316284,-0.7999999821186066,0.5999999865889549,-3002.5,255.0,0.0,False,-0.01677372884689104,0.4013639284444809,-5.935905165243551e-05,True,False,False,255.0,False,False,,KBR_SharKo,9145427433175672767,11.0,-14.319999694824219,75.9800033569336,64.36000061035156,-7397.8997802734375,-7409.69970703125,2507.5999450683594,-3886.099853515625,-3426.7001342773438,1673.3000183105469,255.0,19.0,,0.6889233731740282,-1.289215032351851,0.24811269182935655,True,3,0.0,False,4,False,,edalti76,8179933407471405355,10.0,-3269.2099609375,4001.469970703125,17.010000228881836,-11556.199951171875,-6519.2999267578125,2.8999999165534973,0.29999999329447746,0.5000000074505806,3283.800048828125,243.0,255.0,-0.009582558239367964,-0.7794680837016084,-7.359828487405086e-07,True,False,False,False,255.0,False,,False
2,285,3,False,False,0,9027.120976281567,3270.02001953125,-2868.320068359375,126.19000244140625,-8029.2999267578125,21491.0009765625,-3322.0001220703125,-5329.4000244140625,-2342.5999450683594,-1452.4000549316406,0.0,0.415573750622484,-0.22233829627392482,1.0241899004541415,8179933407471405355,edalti76,9.0,3360.530029296875,-3045.139892578125,76.56999969482422,-1054.1000366210938,8136.9000244140625,2720.8999633789062,2545.2999877929688,-947.3999786376953,2800.0,218.0,139.0,,-0.11314986334948356,2.0344865952130586,-0.06685417229244696,True,False,205.19470092558092,True,False,3,,9145427433175672767,KBR_SharKo,8.0,3104.110107421875,-1288.449951171875,100.0999984741211,2193.6000061035156,-18484.49951171875,-142.39999771118164,5137.80029296875,-1961.300048828125,-76.99999809265137,255.0,,,-1.005173271781811,0.29800745805714346,-2.3113008340849817,True,5,False,,False,6,,enpitsu,76561198039309853,27.0,3523.590087890625,-2748.43994140625,219.44000244140625,-6864.6002197265625,-18555.30029296875,706.5000152587891,-1123.0999755859375,-5279.000244140625,-1058.1999969482422,255.0,0.0,,0.4919397315283362,-2.507705423350919,0.3905513553773012,True,1,198.0,False,2,False,,games5425898691,bf81d8692db,20.0,2434.580078125,1835.5,16.829999923706055,7390.7000732421875,14431.400146484375,43.499999046325684,12.599999904632568,-5.799999833106995,1901.0000610351562,255.0,255.0,0.01038655256654814,1.149061118103872,8.205680947940526e-06,True,6,False,6,61.0,False,,
3,352,6,False,False,1,6863.2652652636425,-1698.6800537109375,-1213.9000244140625,135.82000732421875,5639.000244140625,16732.60009765625,11709.3994140625,5711.9000244140625,1699.7999572753906,-695.8999633789062,1.0,0.8229763859168941,-0.29819794455422277,-1.1231525629597798,bf81d8692db,games5425898691,20.0,-1723.5799560546875,-1432.3599853515625,17.010000228881836,-2170.500030517578,13328.900146484375,2.3000000417232513,-0.0,0.9000000357627869,-2139.1000366210938,255.0,0.0,,-0.00957959447941756,1.460983823651716,-0.0001000489456723533,True,6,61.0,False,False,6,,76561198039309853,enpitsu,27.0,-1620.22998046875,4642.990234375,78.56999969482422,19755.999755859375,-9911.500244140625,1220.8999633789062,1105.6999969482422,2371.6000366210938,-432.20001220703125,128.0,128.0,False,-0.31308603383908856,-2.5531022135979593,-0.14397168749764633,True,2,False,138.0,False,2,,KBR_SharKo,9145427433175672767,8.0,-1857.1700439453125,4671.22021484375,16.770000457763672,9569.199829101562,-7090.5999755859375,25.399999618530273,6.899999976158142,29.100000858306885,-2294.1000366210938,255.0,6.0,,-0.008016508156794246,-2.4325245857968003,-0.003721116648547541,True,6,,False,6,False,,edalti76,8179933407471405355,9.0,-1361.93994140625,2446.449951171875,17.010000228881836,6741.6998291015625,11451.199951171875,2.0999999344348907,0.19999999552965164,0.7999999821186066,2.3000000417232513,255.0,128.0,-0.009556085350460528,2.102484241870723,-7.171399978264821e-05,True,4,False,4,196.0,False,,
4,439,9,False,False,0,8993.09069573455,1.2400000095367432,-3808.219970703125,518.510009765625,-2762.60009765625,4826.300048828125,1993.0999755859375,2281.9000244140625,-1185.8000183105469,-1875.2999877929688,0.0,-0.8518247602785742,0.28150919266688434,-1.1516500939884737,8179933407471405355,edalti76,7.0,-20.110000610351562,-3952.6201171875,393.5199890136719,-5925.999755859375,-1424.1000366210938,-4302.799987792969,1024.7000122070312,1484.7000122070312,-2203.000030517578,255.0,168.0,,0.00020664939903621997,1.6151083439616338,1.1818293577385572,True,4,179.0,False,4,6,,9145427433175672767,KBR_SharKo,8.0,323.1600036621094,-4637.240234375,17.010000228881836,-7950.4998779296875,53.499999046325684,2.0999999344348907,-4.4999998807907104,0.0,-965.0,255.0,128.0,,0.009517833126383563,3.0891868771148063,0.0001337127388055186,True,6,False,,False,6,,enpitsu,76561198039309853,27.0,-1840.4100341796875,-2200.02001953125,17.049999237060547,-7753.499755859375,-6401.5997314453125,3.4999999403953552,0.19999999552965164,0.29999999329447746,2691.0000610351562,255.0,255.0,True,0.016697098015589284,-2.3553939704222295,-5.5190952690710966e-05,True,2,199.0,False,2,False,,games5425898691,bf81d8692db,20.0,-3042.530029296875,3694.5400390625,17.010000228881836,-11669.3994140625,18501.300048828125,2.3000000417232513,-0.19999999552965164,0.09999999776482582,-1927.7000427246094,128.0,0.0,0.00962581013922828,2.060312097985028,-3.358193149586498e-05,True,8,False,8,2.0,False,,
5,480,11,False,False,0,8279.948323148197,-380.57000732421875,-3123.889892578125,119.0999984741211,20735.30029296875,-6450.999755859375,9192.7001953125,-364.39998626708984,4210.0,-4259.4000244140625,0.0,0.3929196860151401,1.4060635013181433,-1.3187285315819444,8179933407471405355,edalti76,7.0,-420.4100036621094,-3304.389892578125,35.2400016784668,231.49999618530273,16678.299560546875,-1165.8000183105469,-225.30000686645508,211.8000030517578,2546.199951171875,255.0,128.0,,0.13001564005004954,2.13601338489174,0.016278651346588312,True,4,155.0,False,4,6,,9145427433175672767,KBR_SharKo,7.0,-252.1999969482422,-3806.4599609375,16.989999771118164,6606.5997314453125,7730.0,4.4999998807907104,-1.5000000596046448,-2.199999988079071,-472.90000915527344,255.0,67.0,,0.009559646402136251,0.8700052681058463,-2.5307476055859535e-05,True,6,False,,False,6,,enpitsu,76561198039309853,27.0,-479.67999267578125,-3012.6298828125,65.58000183105469,20877.2998046875,1009.3000030517578,2167.899932861328,-3270.2999877929688,3182.7999877929688,2478.800048828125,255.0,128.0,False,0.09741837381001092,-0.04676538773741462,-0.09412040143092913,True,3,134.0,False,4,False,,games5425898691,bf81d8692db,20.0,-1578.550048828125,4922.2099609375,16.34000015258789,15811.700439453125,-6093.3001708984375,-65.10000228881836,-630.2000045776367,-153.1999969482422,-505.29998779296875,255.0,128.0,0.01092586874937577,-0.41363904813381297,-0.007380386553101657,True,8,False,8,255.0,False,,
6,632,16,False,False,1,5862.80085047081,-3013.219970703125,770.739990234375,122.86000061035156,27840.30029296875,-2123.9999389648438,13761.199951171875,-3512.39990234375,590.4000091552734,4828.399963378906,1.0,-0.4825172912054595,1.6551943968188942,1.9073016964265364,bf81d8692db,games5425898691,20.0,-3130.60009765625,600.2999877929688,17.020000457763672,10341.600341796875,19418.499755859375,-0.9000000357627869,0.5999999865889549,0.7999999821186066,-1911.3999938964844,255.0,0.0,,-0.009611061684204652,2.126577954618974,-4.4277778196264105e-05,True,8,206.0,False,False,8,,76561198039309853,enpitsu,27.0,-3168.0,937.5599975585938,17.040000915527344,4808.699951171875,-10973.800048828125,5.199999809265137,0.5000000074505806,-1.5000000596046448,1459.7000122070312,255.0,128.0,False,-0.016716370672309574,-1.9757251246286012,0.00033158116056788604,True,4,False,62.0,False,6,,KBR_SharKo,9145427433175672767,8.0,-2600.300048828125,1795.75,16.989999771118164,-2102.7000427246094,-16574.300537109375,2.199999988079071,-0.0,-0.7999999821186066,2.5,255.0,128.0,False,-0.009604790543793791,-1.4449898819081868,-6.985292689563118e-05,True,6,192.8387094825827,True,6,False,,edalti76,8179933407471405355,7.0,-819.8300170898438,5192.89013671875,24.729999542236328,682.3999786376953,-1791.300048828125,-168.29999923706055,67.5,-696.1000061035156,854.7000122070312,255.0,255.0,-0.0566104166870695,-1.7157961020486185,-0.28922011035852013,True,4,4,6,186.0,False,,False
7,746,20,False,True,0,4965.750541754559,-1710.9000244140625,241.57000732421875,292.95001220703125,8200.30029296875,23790.0,-5709.7998046875,-3396.6000366210938,1579.7999572753906,-4686.7999267578125,0.0,-1.323141617834487,2.847620377173949,2.926645980371665,9145427433175672767,KBR_SharKo,8.0,-1728.9200439453125,9.029999732971191,259.94000244140625,492.20001220703125,9580.800170898438,1817.1000671386719,-1557.7999877929688,4995.4998779296875,1693.3999633789062,128.0,32.0,False,-0.07028755977246973,1.6734750053666363,1.0394718495499962,True,7,154.43640427948327,True,False,8,,8179933407471405355,edalti76,7.0,-2217.77001953125,-2449.0400390625,17.010000228881836,11471.800537109375,9142.80029296875,2.0999999344348907,-0.5000000074505806,-0.3999999910593033,-1.0000000149011612,255.0,128.0,False,0.009598077587734202,0.6727032697983963,5.825641547318785e-05,True,4,4,255.0,False,6,,enpitsu,76561198039309853,27.0,3302.639892578125,-437.7200012207031,64.69000244140625,13380.30029296875,13015.6005859375,-1888.0999755859375,-1709.1000366210938,1615.0,4.1999998688697815,255.0,128.0,False,-0.42797715404585096,0.8126673867530566,0.0023715298626193182,False,6,0.0,False,8,False,,games5425898691,bf81d8692db,20.0,500.0899963378906,2529.489990234375,16.989999771118164,4090.7000732421875,17349.200439453125,8.500000238418579,-2.0000000298023224,-12.699999809265137,108.4000015258789,255.0,222.0,0.00961910871925042,1.304475575300898,0.0010130718471138666,True,10,False,10,164.0,False,,
8,789,22,False,False,1,8470.21200471173,647.6400146484375,-3326.570068359375,167.80999755859375,7745.30029296875,5499.2999267578125,6370.0,4800.199890136719,-3530.4000854492188,702.5,1.0,-0.5870749324168562,-0.07020375628778701,2.681991151269351,bf81d8692db,games5425898691,20.0,583.8200073242188,-3430.580078125,102.20999908447266,12042.7001953125,5496.500244140625,1360.5999755859375,-4845.799865722656,2522.2999572753906,636.5000152587891,255.0,239.0,,-0.5487469357720818,3.128382768874733,-0.6459091715721272,True,11,164.0,False,False,12,,76561198039309853,enpitsu,27.0,-3581.080078125,-2374.89990234375,95.16999816894531,3811.199951171875,-20376.099853515625,-1507.2000122070312,1241.6000366210938,2152.2000122070312,124.39999580383301,255.0,128.0,False,0.3262490235537799,-1.9178025337998845,0.32085013594449385,True,8,False,255.0,False,10,,KBR_SharKo,9145427433175672767,8.0,1755.31005859375,-1638.97998046875,16.25,5585.8001708984375,-4340.4998779296875,143.00000190734863,33.09999942779541,1.2999999523162842,1605.0,255.0,255.0,False,-0.008378896066065336,-2.5224652283742173,-0.0015528244515030808,True,8,147.0,False,8,False,,edalti76,8179933407471405355,7.0,738.2999877929688,1604.1300048828125,17.010000228881836,-6282.2998046875,8637.2998046875,2.0000000298023224,0.5999999865889549,-1.2999999523162842,-106.99999809265137,255.0,128.0,-0.009526001873294021,0.9586330210546828,0.00013786596577310044,True,4,4,6,255.0,False,,False
9,845,24,False,False,0,4366.526654947745,-2717.199951171875,1171.4000244140625,310.8999938964844,-6815.9002685546875,-5556.400146484375,4196.600036621094,3731.199951171875,-377.5,-4678.2000732421875,0.0,0.41861576337967743,0.030105748260176243,2.9680467933057524,9145427433175672767,KBR_SharKo,8.0,-2694.2900390625,1164.68994140625,198.3699951171875,-2668.5000610351562,-106.89999580383301,70.0,-1690.2000427246094,-2299.1000366210938,624.3999862670898,128.0,27.0,,-0.6811977833739848,2.3274965841662514,-2.854273766295215,True,8,147.0,False,False,10,,8179933407471405355,edalti76,7.0,-1363.9599609375,-3329.47998046875,17.010000228881836,-11906.300048828125,-6383.699951171875,2.0000000298023224,2.0999999344348907,1.0999999940395355,-524.7999954223633,255.0,68.0,,0.009576585397089997,-2.6464414629756745,-4.4478017915526156e-05,True,4,4,255.0,False,6,,enpitsu,76561198039309853,27.0,1493.27001953125,4142.9599609375,17.049999237060547,-8072.60009765625,11562.19970703125,2.5999999046325684,0.19999999552965164,-0.3999999910593033,-0.7999999821186066,255.0,128.0,,0.016773635642770266,2.180160990071182,4.42213899474748e-05,True,8,255.0,False,10,False,,games5425898691,bf81d8692db,20.0,-2685.35009765625,1647.760009765625,138.47000122070312,844.5999908447266,-16987.19970703125,606.6999816894531,-1292.5999450683594,5292.8997802734375,-750.9999847412109,255.0,128.0,-0.19635834334054267,-1.3452656929919806,-1.2570473886176141,True,13,False,14,145.0,False,,
