,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,170,0,False,False,1,5144.313768058735,33.119998931884766,68.56999969482422,117.79000091552734,9547.000122070312,21610.80078125,7169.2999267578125,4532.799987792969,-3112.7999877929688,433.49998474121094,1.0,-0.10446000635029185,-0.006600118778845468,-0.15088273700557445,bfbe099dceb,Doritjoes,7.0,-34.880001068115234,-119.18000030517578,15.680000305175781,9342.60009765625,14830.30029296875,-205.10000228881836,-29.100000858306885,-2232.7000427246094,2472.7000427246094,255.0,0.0,,0.017047726101341122,2.0829850373807286,-0.04870795766591545,True,0.0,False,False,False,False,,76561198121011812,Mogzy,7.0,2149.3798828125,-3836.300048828125,17.010000228881836,14066.400146484375,-5417.9998779296875,2.0999999344348907,-0.5000000074505806,-0.0,-0.29999999329447746,255.0,128.0,,-0.009608890188729955,-2.773854090882007,6.226205316788597e-05,True,False,0.0,False,False,False,,enpitsu,76561198039309853,24,6.739999771118164,3855.030029296875,17.049999237060547,168.60000610351562,-9600.30029296875,2.7000001072883606,0.3999999910593033,0.19999999552965164,0.0,255.0,128.0,,-0.01664039227144249,-1.5883514178815104,2.392906775039376e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,20.0,53.189998626708984,493.1199951171875,61.04999923706055,2141.300048828125,-22714.89990234375,2882.3001098632812,4383.500061035156,924.0000152587891,911.2000274658203,255.0,128.0,,-0.10043041801169124,-1.7964518409634316,0.0008566950777663749,True,4,3,False,31.0,False,
1,172,0,False,False,0,5360.422123801009,-97.7300033569336,-160.64999389648438,184.13999938964844,-9627.60009765625,12656.500244140625,18115.6005859375,5559.6002197265625,-106.40000343322754,2253.6000061035156,0.0,0.23396514660984463,0.16585803528235843,-0.10255853917405529,bf81d8692db,games5425898691,20.0,-72.88999938964844,-284.6300048828125,84.4000015258789,-2154.600067138672,22768.1005859375,2263.0999755859375,-5327.8997802734375,-1362.2999572753906,81.40000343322754,255.0,128.0,,0.7541598869683744,1.8349755387761455,0.012445195656223316,True,31.0,False,4,False,3,,76561198039309853,enpitsu,24.0,-8.180000305175781,-3772.75,17.049999237060547,-176.90000534057617,10090.999755859375,2.7000001072883606,-0.3999999910593033,-0.19999999552965164,0.0,255.0,128.0,,0.01664039227144249,1.5883514178815104,2.392906775039376e-05,True,False,116.0,False,False,False,,Mogzy,76561198121011812,7,-2278.300048828125,3886.010009765625,17.010000228881836,-14065.30029296875,5418.499755859375,2.0999999344348907,0.5000000074505806,0.0,0.0,255.0,128.0,,0.009608890188729955,2.773854090882007,6.226205316788597e-05,True,False,0.0,False,False,False,,Doritjoes,bfbe099dceb,7.0,-40.04999923706055,-5.659999847412109,16.719999313354492,-8832.19970703125,-15048.1005859375,57.199997901916504,18.899999856948853,-585.4999923706055,-988.7999725341797,255.0,0.0,,-0.0070085059617016445,-2.07283481785369,-0.028527728525507636,True,False,False,False,0.0,False,
2,258,3,False,False,1,8483.304295640757,2444.550048828125,-3200.77001953125,198.16000366210938,-13977.60009765625,9965.999755859375,18980.6005859375,4261.499938964844,4198.299865722656,462.09999084472656,1.0,-0.2009031532674705,-0.7905640385201802,-1.5073422730370547,76561198121011812,Mogzy,7.0,2587.4599609375,-3321.3798828125,49.060001373291016,-13445.2001953125,11692.7001953125,3417.9998779296875,317.7000045776367,407.99999237060547,1080.4000091552734,128.0,191.0,False,0.003202126673762018,0.6518740378979729,0.00041602211799395396,True,174.0,False,4,False,False,,bfbe099dceb,Doritjoes,7.0,-124.0,-3346.8701171875,15.329999923706055,-1049.1999816894531,-17621.199951171875,-3.700000047683716,-120.60000419616699,-586.8000030517578,-207.00000762939453,255.0,138.0,,-0.016913687032626024,-1.583228180371622,0.0038818991250409093,True,4,31.0,False,4,False,,enpitsu,76561198039309853,25,3090.25,4457.9501953125,17.049999237060547,-6106.300048828125,7736.199951171875,4.600000083446503,0.5999999865889549,-0.09999999776482582,3504.2001342773438,255.0,255.0,False,-0.016712700637808327,0.5563541491705146,-4.315595211297361e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,20.0,3683.2099609375,165.36000061035156,47.83000183105469,15902.19970703125,-3053.2000732421875,-2587.39990234375,1264.1000366210938,2032.5,-1627.2000122070312,255.0,0.0,,0.10424457785564817,-2.5488404405098435,0.3825059008040823,True,6,6,False,255.0,False,
3,420,9,False,True,1,5753.338730807247,-2616.669921875,583.4600219726562,134.02999877929688,13361.700439453125,21400.80078125,6567.2998046875,-2641.400146484375,-5237.5,1261.2999725341797,1.0,-0.14217541144175486,-1.1980719721394422,-0.06902896264199196,bfbe099dceb,Doritjoes,7.0,-2764.050048828125,437.0899963378906,82.23999786376953,7187.60009765625,18083.00048828125,3438.2998657226562,3045.4998779296875,-2827.6998901367188,-3602.5,255.0,0.0,False,0.05399073147530634,2.187853464582353,-0.008310139069961581,True,175.0,False,6,False,4,,76561198121011812,Mogzy,7.0,-3760.81005859375,2224.760009765625,574.2000122070312,-13725.50048828125,17742.60009765625,-4130.10009765625,-1794.2999267578125,4493.2000732421875,-2577.0999145507812,255.0,0.0,,-0.10175249050456181,2.815972823129875,1.3277274492086082,True,6,33.0,False,4,4,,enpitsu,76561198039309853,24,-1582.239990234375,2221.97998046875,115.62999725341797,-10091.599731445312,-16061.8994140625,3863.2998657226562,-0.0,-0.29999999329447746,31.90000057220459,128.0,128.0,,-0.016828846001031898,-1.0227412939143772,-1.5088831359120077e-05,True,2,174.2824171307266,True,4,False,,games5425898691,bf81d8692db,20.0,-185.30999755859375,5057.81005859375,17.010000228881836,-7229.5001220703125,-2536.300048828125,2.0999999344348907,-1.4000000059604645,-0.0,96.5999984741211,255.0,128.0,,-0.00954045915768073,-0.35008309907714374,-0.00013710811357161534,True,8,8,False,227.0,False,
4,431,9,False,False,0,7201.021759335562,2104.330078125,-1406.199951171875,344.2900085449219,3482.2000122070312,491.5999984741211,17577.099609375,5294.0997314453125,-2794.5001220703125,402.5,0.0,-0.7792615752986902,1.4079781717398259,2.0556178242133023,76561198039309853,enpitsu,25.0,2053.14990234375,-1469.6300048828125,217.61000061035156,9994.199829101562,16411.800537109375,-21.80000066757202,210.9000015258789,80.39999961853027,-468.3000183105469,128.0,128.0,,0.015716492683581454,0.9867703529408746,0.0009478570285760582,True,170.0,False,4,False,2,,bf81d8692db,games5425898691,20.0,497.0799865722656,-4883.85009765625,17.010000228881836,5306.5997314453125,5740.8001708984375,2.5,0.3999999910593033,0.5000000074505806,1985.5999755859375,128.0,255.0,,0.009637905000623179,0.8351183994123721,7.958860339482642e-05,True,8,227.0,False,8,False,,Mogzy,76561198121011812,7,4076.489990234375,-2862.1201171875,364.989990234375,1136.9000244140625,-11065.30029296875,-5288.0999755859375,909.4000244140625,-1494.7000122070312,4972.60009765625,255.0,128.0,,1.2198996416647543,1.5194780435765407,-1.4241461890397742,True,4,33.0,False,6,4,,Doritjoes,bfbe099dceb,7.0,2247.39990234375,-980.52001953125,132.94000244140625,-14641.500244140625,-14634.200439453125,-154.49999809265137,-2945.10009765625,-4456.499938964844,1309.7000122070312,128.0,128.0,False,0.038690714240376706,-1.8877948568709786,2.3229851590945265,True,6,5,False,175.0,False,
5,578,14,False,False,1,5973.9491608028675,-3328.64990234375,916.2100219726562,500.44000244140625,-552.2000122070312,15885.799560546875,11076.400146484375,4962.799987792969,3050.8999633789062,-1435.8000183105469,1.0,-1.1309091350677505,-1.6461742263976598,-1.963845061522637,bfbe099dceb,Doritjoes,8.0,-3294.699951171875,811.8699951171875,328.94000244140625,-14331.600341796875,15704.599609375,2444.199981689453,-2614.7000122070312,3152.2000122070312,2097.7000427246094,128.0,0.0,,0.868422639980724,0.8837637202685278,0.32555619694916604,True,99.0,False,8,False,7,,76561198121011812,Mogzy,7.0,-2842.10009765625,-4002.52001953125,17.010000228881836,6619.2999267578125,-1825.0,3.0000001192092896,-1.8000000715255737,2.0000000298023224,2238.6000061035156,0.0,255.0,False,-0.009732510932134049,3.0869415018062076,-7.398835122743235e-05,True,8,9.0,False,4,4,,enpitsu,76561198039309853,24,-1623.1400146484375,1437.760009765625,17.059999465942383,7484.000244140625,12559.599609375,-4.000000059604645,0.5000000074505806,1.8000000715255737,172.09999084472656,255.0,128.0,,-0.016754883035787566,2.0918263139573954,-0.0001788634432114656,True,2,226.8638623273501,True,4,False,,games5425898691,bf81d8692db,20.0,-3433.52001953125,2843.080078125,17.0,-2171.1000061035156,-13182.39990234375,3.1999999284744263,1.0999999940395355,-0.19999999552965164,2.800000011920929,0.0,128.0,,-0.009881491358703896,-1.4080656579218525,-9.695858712863547e-06,True,10,10,False,210.0,False,
6,673,18,False,True,1,3373.3912510272567,-2419.429931640625,4517.35009765625,375.07000732421875,10486.199951171875,2379.1000366210938,7562.19970703125,-2031.0000610351562,-2360.0999450683594,5128.699951171875,1.0,-0.35868623415494894,0.5998037496472326,1.9161098929540554,bfbe099dceb,Doritjoes,8.0,-2493.409912109375,4487.39013671875,186.52999877929688,13374.3994140625,4077.7999877929688,2857.9000854492188,4472.900085449219,1116.6000366210938,2999.2999267578125,128.0,0.0,,0.8604194307672032,2.646508700006584,0.7394924069665971,True,66.0,False,10,False,9,,76561198121011812,Mogzy,7.0,-2335.169921875,-2380.659912109375,17.010000228881836,2364.600067138672,16145.30029296875,2.199999988079071,-0.0,0.5999999865889549,1519.4999694824219,255.0,255.0,False,-0.009590573227344213,1.695911232486819,0.0001942711366118205,True,8,222.0,False,4,4,,enpitsu,76561198039309853,24,-2163.760009765625,4659.64990234375,248.88999938964844,-13426.500244140625,-7304.2999267578125,3741.7001342773438,2397.2000122070312,2734.89990234375,-4125.899963378906,128.0,255.0,False,0.8863610176946619,-0.9204496987464977,-1.1336970055998212,True,3,187.0,False,6,False,,games5425898691,bf81d8692db,20.0,-2080.639892578125,4418.43017578125,191.1300048828125,-12452.80029296875,12516.700439453125,2504.7000122070312,938.7999725341797,-1258.7999725341797,2555.800018310547,255.0,228.0,,0.3695751577590908,0.04186741174879815,-0.2704999834226862,True,12,10,False,204.698804096509,True,
7,758,21,False,False,0,10207.97085942368,-813.8300170898438,-5067.64013671875,336.2200012207031,-250.0,16504.49951171875,3846.4999389648438,1905.8000183105469,-634.7000122070312,5653.699951171875,0.0,1.1478081571827865,2.289744708177308,0.9173514715848534,bf81d8692db,games5425898691,20.0,-581.6599731445312,-5270.18017578125,194.4600067138672,-19331.99951171875,-1802.4000549316406,541.6999816894531,-4692.799987792969,-197.5,2861.4999389648438,255.0,8.0,,-0.03634272229663925,2.908888139443506,1.209481754158174,True,83.0,False,14,False,11,,76561198039309853,enpitsu,24.0,3147.419921875,-3679.6298828125,17.049999237060547,-3500.8999633789062,4086.7999267578125,2.5999999046325684,-0.5000000074505806,-0.29999999329447746,0.0,128.0,128.0,False,0.016808472627156876,2.279113667715634,-7.904232006906155e-06,True,6,187.0,False,4,False,,Mogzy,76561198121011812,7,-1069.47998046875,-2481.5400390625,17.010000228881836,-20381.400146484375,1305.7000732421875,2.0000000298023224,-2.3999999463558197,0.29999999329447746,-831.6000366210938,150.0,128.0,False,0.009617859735557809,3.0115553878079435,0.0001684958827937201,True,4,169.0,False,8,4,,Doritjoes,bfbe099dceb,7.0,2191.280029296875,-3132.72998046875,17.010000228881836,-12699.100341796875,4063.9999389648438,2.0999999344348907,3.0000001192092896,-0.7999999821186066,811.6999816894531,255.0,128.0,,0.009579605543687711,2.866204871565526,-3.986157911379156e-06,True,10,10,False,66.0,False,
8,831,24,False,True,1,3814.9375721808683,861.3300170898438,1325.219970703125,181.61000061035156,-9569.500122070312,21236.69921875,4351.7999267578125,3154.5001220703125,2105.500030517578,-4649.200134277344,1.0,-1.3371388798626305,-2.3970610037967757,-2.229500892093537,76561198121011812,Mogzy,7.0,997.3400268554688,1082.2900390625,109.25,-14481.600341796875,14522.2998046875,3182.2000122070312,-4175.299987792969,744.1999816894531,-207.19999313354492,,0.0,,-0.01023582402446535,0.17924258548179334,0.05401704934975879,True,166.0,False,10,4,5,,bfbe099dceb,Doritjoes,8.0,-396.1000061035156,357.05999755859375,17.010000228881836,11815.799560546875,-4086.199951171875,2.3000000417232513,0.5000000074505806,0.09999999776482582,2208.8999938964844,128.0,255.0,,-0.009613689889489184,-2.874230522071701,-3.545783582339789e-05,True,10,66.0,False,10,False,,enpitsu,76561198039309853,24,138.9499969482422,2927.669921875,17.049999237060547,9317.999877929688,-21027.900390625,-1.7000000178813934,2.0000000298023224,-4.600000083446503,-1250.5999755859375,128.0,128.0,,-0.016776491750146033,-1.9544879357724672,-0.0002622401777528217,True,4,5.476834366398471,True,7,False,,games5425898691,bf81d8692db,20.0,673.4199829101562,5703.419921875,30.18000030517578,78.69999885559082,-6372.8997802734375,-198.50000381469727,81.09999656677246,42.30000019073486,-2379.600067138672,255.0,0.0,,-0.04139621733073771,-1.587777505438056,-0.006509020552769554,True,14,12,False,83.0,False,
9,869,25,False,False,0,9423.771686541815,452.0199890136719,-4186.85986328125,158.47999572753906,20555.400390625,20956.0009765625,3961.099853515625,3060.0,-1695.2999877929688,-4874.599914550781,0.0,0.6813875265055711,-1.76792470663452,1.6773694283661331,bf81d8692db,games5425898691,20.0,414.57000732421875,-4302.43017578125,122.5,11147.19970703125,11916.99951171875,-264.3000030517578,-4434.2999267578125,725.8999633789062,3171.6000366210938,255.0,209.0,,1.163450055264855,0.3614192626818503,-0.8639068258373714,True,43.0,False,16,False,13,,76561198039309853,enpitsu,24.0,-1965.800048828125,-455.510009765625,100.27999877929688,-15184.69970703125,16992.900390625,-2534.9000549316406,258.8999938964844,-872.3999786376953,83.19999694824219,255.0,255.0,,0.09227079398626617,1.859716990910337,0.5429864396739016,True,8,0.0,False,6,False,,Mogzy,76561198121011812,7,862.5700073242188,-2440.800048828125,16.829999923706055,7904.4000244140625,5551.9000244140625,43.89999866485596,11.799999475479126,12.5,2477.7000427246094,255.0,255.0,,0.009299882894230694,0.7000951212556156,-0.0007915009465967432,True,6,166.0,False,10,4,,Doritjoes,bfbe099dceb,8.0,188.88999938964844,-1045.6800537109375,17.010000228881836,10237.39990234375,-1040.999984741211,2.3999999463558197,0.29999999329447746,0.0,2381.6000366210938,255.0,242.0,,0.00953440921267884,-0.04886646840597114,-4.412817844439548e-05,True,10,10,False,96.0,False,
