,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,170,0,False,False,1,5221.850470782207,88.06999969482422,-18.969999313354492,100.80999755859375,24783.701171875,-9283.499755859375,1028.0999755859375,-2410.7000732421875,376.1000061035156,5481.500244140625,1.0,-0.15918000429188153,0.16065376668090325,0.29808348423688935,76561198838649612,Lucifer,8.0,-65.48999786376953,-126.98999786376953,87.98999786376953,-9793.099975585938,8985.2001953125,505.49999237060547,707.0999908447266,4461.600036621094,-3137.5,255.0,16.0,,-0.0014799412666931357,2.215923774314997,-0.010662655841035045,True,3,4,False,0.0,False,,76561199067141024,Dudelsack,8.0,-0.0,-4608.0,17.049999237060547,-0.0,-0.0,2.7000001072883606,-0.7000000029802322,-0.0,0.0,,,,-0.016716317243590257,1.5708029314032232,-5.496116529281272e-08,True,False,False,False,85.0,False,,enpitsu,76561198039309853,25.0,-23.489999771118164,88.69999694824219,110.58000183105469,12048.499755859375,-9184.299926757812,540.2000045776367,2845.7998657226562,1027.300033569336,4592.9998779296875,255.0,128.0,,-1.4552536873447028,-2.9048201801679583,0.6451302202180679,True,1,0.0,False,2,False,,games5425898691,bf81d8692db,17.0,-2498.8798828125,3704.989990234375,17.010000228881836,-19172.099609375,8809.400024414062,2.3000000417232513,-0.9000000357627869,0.5000000074505806,-1823.8999938964844,255.0,0.0,,-0.009595069762591717,0.4860203724557533,-0.00014990213161733245,True,0.0,False,False,False,False,
1,300,4,False,False,0,3916.642803050155,-3957.489990234375,2697.179931640625,667.0,13471.800537109375,21633.30078125,4965.0,1026.3999938964844,980.1999664306641,-5829.69970703125,0.0,-0.015792609217411397,3.091122618660096,-0.392351046093902,76561198039309853,enpitsu,26.0,-4046.219970703125,2553.530029296875,550.25,3688.699951171875,18543.800048828125,4770.10009765625,-1500.5000305175781,-152.60000228881836,495.29998779296875,255.0,0.0,,-0.2110275367565234,1.6011334214465058,1.5622593967621772,True,3,4,False,196.0,False,,bf81d8692db,games5425898691,17.0,-3721.10009765625,-1750.2099609375,17.010000228881836,287.90000915527344,22164.89990234375,2.0999999344348907,0.0,-0.5999999865889549,-0.3999999910593033,255.0,128.0,,0.009590777495624907,1.5577394465297525,5.946064742284611e-05,True,False,False,False,255.0,False,,Lucifer,76561198838649612,8.0,3163.330078125,751.989990234375,45.900001525878906,-10910.799560546875,10690.999755859375,3227.6998901367188,-254.20000076293945,-328.69998931884766,1573.800048828125,245.0,127.0,,0.018245017513731806,2.513903002474558,-4.003932588279145e-05,True,6,220.0,False,8,False,,Dudelsack,76561199067141024,9.0,-2863.300048828125,5009.2001953125,88.97000122070312,12618.299560546875,5011.199951171875,-1618.800048828125,-1301.4999389648438,748.4999847412109,-2690.4000854492188,255.0,0.0,True,0.2526783924654575,0.25749426334597875,0.8856774444315111,True,255.0,False,False,False,False,
2,362,7,False,False,1,8818.02871520224,1532.1800537109375,-3655.050048828125,172.05999755859375,-2017.8999328613281,22357.099609375,3764.7000122070312,-253.70000839233398,-5396.9000244140625,2609.4000244140625,1.0,0.2525538291764613,2.796657008399325,-0.6132660546937178,76561199067141024,Dudelsack,9.0,1513.469970703125,-3734.780029296875,54.18000030517578,9645.800170898438,12215.0,2538.3999633789062,-5334.7998046875,-1087.6000213623047,779.0000152587891,255.0,255.0,False,-0.06885610734774214,2.4537326100964614,-0.06542565569390127,True,False,4,False,210.0,False,,76561198838649612,Lucifer,9.0,301.8900146484375,-3355.22998046875,16.989999771118164,12962.900390625,-541.3000106811523,4.799999892711639,-1.1999999731779099,0.19999999552965164,1475.2999877929688,71.0,239.0,,-0.00991512675819207,-3.112433505843185,0.0002600879726561355,True,8,False,8,211.0,False,,enpitsu,76561198039309853,26.0,2640.2099609375,-4233.02978515625,17.059999465942383,6327.39990234375,13656.99951171875,-4.099999964237213,-0.5000000074505806,-0.5000000074505806,-42.89999961853027,255.0,255.0,,-0.016770915199323617,2.009730995795471,5.037760624416417e-05,True,4,158.49657645020437,True,4,False,,games5425898691,bf81d8692db,17.0,1314.6400146484375,-722.4299926757812,17.010000228881836,-3309.1000366210938,-11802.7001953125,2.3999999463558197,-0.19999999552965164,0.19999999552965164,2326.6000366210938,255.0,255.0,,-0.009583820139734554,-1.3605524908182995,1.682028590058422e-05,True,255.0,False,False,False,False,
3,445,10,True,True,1,2910.873413148954,868.1300048828125,2229.260009765625,106.06999969482422,-7630.7000732421875,25059.29931640625,2281.0000610351562,-2320.7000732421875,3803.800048828125,-2456.199951171875,1.0,0.07883019097921792,-1.450327640221026,0.6455205772074343,76561199067141024,Dudelsack,8.0,985.4600219726562,1943.8299560546875,17.040000915527344,-12529.89990234375,18148.599853515625,3.8999998569488525,-0.0,-0.0,0.0,255.0,128.0,False,-0.016807295884676488,0.9665344320057249,-4.02425518589541e-06,False,4,4,False,131.0,False,,76561198838649612,Lucifer,9.0,4.400000095367432,1254.949951171875,17.010000228881836,-1787.7000427246094,22489.599609375,2.3000000417232513,-2.0999999344348907,2.3999999463558197,1023.6000061035156,212.0,243.0,,-0.009475042374049213,1.4894553470046885,0.000209947017924289,True,8,False,10,128.0,False,,enpitsu,76561198039309853,25.0,1277.8499755859375,1796.199951171875,17.059999465942383,-10418.399658203125,20345.10009765625,1.2999999523162842,0.09999999776482582,-0.09999999776482582,-31.19999885559082,255.0,128.0,,-0.01678255890921605,1.1008224257890828,2.4761520114474458e-05,True,4,0.0,False,4,False,,games5425898691,bf81d8692db,17.0,,,,,,,,,,,,,,,,True,,,,,,
4,740,11,False,True,0,5209.443844191749,0.8100000023841858,8.329999923706055,93.18000030517578,-717.9000091552734,22288.40087890625,2793.2998657226562,5960.5999755859375,-562.0000076293945,-393.10001373291016,0.0,-0.007765713410558642,-0.005940862978329641,0.08507744029436663,bf81d8692db,games5425898691,17.0,9.180000305175781,-238.63999938964844,83.4800033569336,1968.8999938964844,22722.2998046875,2318.9999389648438,-5470.10009765625,572.400016784668,-5.299999713897705,128.0,150.0,,0.6937295502120245,1.377484879942243,-0.05178070396785689,True,3,4,False,22.0,False,,76561198039309853,enpitsu,26.0,0.0,-2324.669921875,17.049999237060547,0.0,12068.1005859375,2.5999999046325684,0.5999999865889549,0.0,0.0,255.0,,,0.016777294716490972,1.5707751159724062,-2.381486107173254e-07,True,False,False,False,116.0,False,,Lucifer,76561198838649612,8.0,3099.7099609375,3893.260009765625,17.010000228881836,8135.5999755859375,-12256.700439453125,2.8999999165534973,0.29999999329447746,-0.7000000029802322,-3207.7999877929688,255.0,16.0,False,0.009593923642589455,-1.2365190240712631,1.5325695319209394e-06,True,False,255.0,False,False,False,,Dudelsack,76561199067141024,8.0,21.93000030517578,586.6400146484375,17.049999237060547,-1070.4000091552734,-18193.800048828125,-2.0000000298023224,0.0,1.1999999731779099,-45.0,255.0,128.0,,0.016788274088023067,-1.634305228614804,7.738644836282286e-05,False,0.0,True,False,False,False,
5,842,15,False,False,1,9678.51078892233,2355.52001953125,-4427.830078125,172.4499969482422,29237.099609375,4563.900146484375,8746.300048828125,-5560.8001708984375,-1096.6999816894531,1968.3999633789062,1.0,-0.08197081574716683,-0.3367357909716064,-3.0535960112868255,76561198838649612,Lucifer,8.0,2195.77001953125,-4421.8701171875,126.5999984741211,19950.2001953125,54.20000076293945,2896.0000610351562,-1021.9000244140625,-5398.800048828125,241.39999389648438,255.0,128.0,,0.10592745934757251,-3.0911063954752507,-0.00865550902133695,True,4,6,False,203.0,False,,76561199067141024,Dudelsack,8.0,-3836.860107421875,13.609999656677246,34.2400016784668,-20310.999755859375,-140.600004196167,-151.40000343322754,-5129.000244140625,1277.699966430664,1519.7999572753906,255.0,255.0,False,0.04662568864422788,-0.20500685220107134,-0.6591140018945215,True,4,False,6,255.0,False,,enpitsu,76561198039309853,26.0,3572.72998046875,-614.7999877929688,17.049999237060547,602.2999954223633,1983.3999633789062,2.5999999046325684,-3.100000023841858,0.7999999821186066,0.0,,,,-0.016984362714746383,-1.2759605778048602,1.032643051932391e-07,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,17.0,-2238.469970703125,1534.7099609375,74.55000305175781,-6592.60009765625,16527.7001953125,3167.3001098632812,-4591.600036621094,-1635.0999450683594,-213.29999923706055,255.0,,,-0.14318556336676025,1.2341018888890036,-0.00015615947526542292,,31.0,False,6,5,False,
6,898,17,False,False,0,4610.0214659221165,-3797.179931640625,1557.3399658203125,208.7100067138672,-10211.400146484375,17521.300048828125,12781.099853515625,5840.0,390.09998321533203,-1319.4999694824219,0.0,-0.6121194207241105,2.9024669692116847,0.16950699450790163,76561198039309853,enpitsu,26.0,-3727.590087890625,1411.0999755859375,97.04000091552734,-6045.2001953125,14986.8994140625,2130.2999877929688,-5100.4998779296875,-2057.7999877929688,0.19999999552965164,255.0,0.0,,0.6711115572141529,1.9543514160839757,6.045970799138188e-05,True,1,2,False,212.0,False,,bf81d8692db,games5425898691,17.0,2175.02001953125,-4704.27001953125,17.010000228881836,-20658.701171875,-4180.199890136719,-0.19999999552965164,3.6000001430511475,0.3999999910593033,-1553.5000610351562,255.0,0.0,,0.009575382359347004,-2.984748607118782,-3.219629207893415e-05,True,6,False,6,198.57652497547923,True,,Lucifer,76561198838649612,8.0,-3808.320068359375,3042.22998046875,17.020000457763672,-44.000000953674316,696.9999694824219,3.1999999284744263,0.29999999329447746,8.00000011920929,-45.50000190734863,0.0,129.0,,0.01006333766008189,-1.4868578410495499,0.0011174977631681873,True,4,203.0,False,6,False,,Dudelsack,76561199067141024,9.0,2853.409912109375,2287.6201171875,109.87000274658203,-13266.199951171875,14266.8994140625,-1243.7000274658203,876.3999938964844,-2170.0,1078.499984741211,255.0,128.0,False,0.07507565590031758,2.0865028880329826,0.3329322471064115,True,221.0,False,8,6,False,
7,1003,20,False,False,0,1408.9849524450005,-2088.10009765625,4388.91015625,314.2300109863281,6911.500244140625,10290.2001953125,7300.2001953125,3828.3999633789062,509.7999954223633,4591.600036621094,0.0,0.3780497103597417,0.932893168235486,-0.9823306619090201,76561198039309853,enpitsu,25.0,-2112.8701171875,4239.0498046875,197.2100067138672,11691.300048828125,6065.7000732421875,2573.5000610351562,460.6999969482422,-871.5000152587891,2117.2999572753906,128.0,128.0,,-0.4276733955718282,1.8726078615878594,-0.3216796597050529,True,2,4,False,230.0,False,,bf81d8692db,games5425898691,18.0,-2385.989990234375,-383.0400085449219,17.010000228881836,11716.300048828125,14818.199462890625,2.3000000417232513,-0.3999999910593033,-0.7000000029802322,1941.6000366210938,255.0,255.0,,0.009595453092381566,0.9684477329715894,7.922275255381875e-05,True,6,False,6,201.0,False,,Lucifer,76561198838649612,9.0,-1951.4599609375,5102.990234375,255.47999572753906,5595.2001953125,-3.0000001192092896,-73.89999866485596,1.2999999523162842,-1558.2000732421875,0.0,244.0,201.0,,-0.01734167852989935,0.009507254842250089,1.5707229548564674,True,4,137.0,False,8,4,,Dudelsack,76561199067141024,8.0,-2268.52001953125,4277.52978515625,133.50999450683594,-16776.600341796875,-12885.30029296875,-156.99999809265137,5026.300048828125,2188.800048828125,441.50001525878906,255.0,128.0,False,0.10957192027024068,-2.8780716258577423,-3.022330540136852,False,138.0,False,10,7,False,
8,1062,23,True,False,0,1021.4429699729945,-754.969970703125,4128.33984375,103.11000061035156,4228.699951171875,-3828.2998657226562,4936.9000244140625,2935.0,3242.0001220703125,4107.799987792969,0.0,-0.15717271389800916,1.4449630566666434,-2.454111097771438,bf81d8692db,games5425898691,18.0,-787.9299926757812,3870.179931640625,174.17999267578125,5936.199951171875,22217.2998046875,-386.19998931884766,-5393.4002685546875,-1069.1999816894531,-132.60000228881836,255.0,196.0,,0.6321666236158413,1.2901743231583822,-0.34151000216971267,True,7,8,False,130.6758021513621,True,,76561198039309853,enpitsu,26.0,189.8000030517578,4485.89990234375,17.049999237060547,6388.3001708984375,-10813.699951171875,3.1999999284744263,0.29999999329447746,-0.29999999329447746,-2325.0999450683594,255.0,0.0,,0.016720595649367714,-1.0969764034983314,-4.424448662934757e-05,True,2,False,4,230.0,False,,Lucifer,76561198838649612,9.0,-999.6400146484375,4713.580078125,319.5,10740.10009765625,-3959.89990234375,-3774.4000244140625,-1771.199951171875,5181.6998291015625,512.0000076293945,255.0,205.0,,0.2596172117520543,-0.07969759306859599,-0.06136219809532236,True,5,104.0,False,10,4,,Dudelsack,76561199067141024,8.0,-2947.409912109375,1565.3199462890625,17.059999465942383,14823.299560546875,3450.2999877929688,2.0000000298023224,0.0,0.0,2082.7999877929688,255.0,255.0,False,0.016769813175539078,0.2949176180113405,9.344874099061487e-06,True,138.0,False,10,8,False,
9,1326,23,False,True,1,5202.389361497584,2.2899999618530273,14.949999809265137,99.58000183105469,352.5,23894.49951171875,8015.999755859375,3543.800048828125,-2453.0999755859375,4173.999938964844,1.0,-0.021549918528836292,-0.03543650123318165,-0.029971624368727127,76561199067141024,Dudelsack,8.0,-6.159999847412109,-173.91000366210938,19.520000457763672,8559.600219726562,17521.800537109375,2959.1000366210938,0.19999999552965164,0.19999999552965164,6.9999998807907104,255.0,128.0,,-0.016786846389944227,2.024397994729945,-3.715959437614459e-05,False,False,3,False,0.0,False,,76561198838649612,Lucifer,8.0,2838.389892578125,-4091.409912109375,17.010000228881836,17024.49951171875,-1151.9000244140625,2.7000001072883606,-0.3999999910593033,-0.0,3185.10009765625,255.0,255.0,False,-0.00958980200183192,2.8974125330515963,0.00011679390479882304,True,False,False,False,255.0,False,,enpitsu,76561198039309853,25.0,-45.04999923706055,2802.590087890625,17.049999237060547,429.3000030517578,-2166.1000061035156,2.5999999046325684,-1.899999976158142,-0.29999999329447746,0.0,255.0,128.0,,-0.01677377457315983,-1.766496125791234,-1.7120463092168472e-06,True,False,70.0,False,False,False,,games5425898691,bf81d8692db,17.0,54.22999954223633,299.69000244140625,96.18000030517578,-3243.800048828125,-22583.40087890625,727.6000213623047,5498.699951171875,115.60000419616699,0.09999999776482582,128.0,128.0,,-1.186876193584774,-1.5228088753232571,-0.06483837881388578,True,31.0,False,4,3,False,
