,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,1860,61,False,0,1252.8419702634171,-575.5999755859375,3928.820068359375,124.33999633789062,3235.8999633789062,19521.800537109375,2945.4998779296875,-1808.8999938964844,2257.7999877929688,-5256.400146484375,0.0,-0.7885439588881605,1.2084655944625184,3.0931327194609137,bffae3651bb,Fb-Lmtx Gaming,5.0,-558.5499877929688,3673.610107421875,79.5999984741211,979.1000366210938,12249.000244140625,3480.7998657226562,-801.6999816894531,49.29999828338623,-869.5999908447266,255.0,152.0,,0.038929066502978726,1.4527629159064424,-0.004234334523609924,True,255.0,False,False,18,14,,2514870482418203048,OneTypicalSquid,7.0,-1184.4200439453125,3998.330078125,16.399999618530273,6244.89990234375,-9843.400268554688,108.00000190734863,-3.8999998569488525,12.699999809265137,-841.1000061035156,241.0,44.0,False,0.009256625944614056,-1.0387659507844273,0.001462575549101108,True,12.0,False,False,26,26,,enpitsu,76561198039309853,26,-635.989990234375,4777.33984375,17.049999237060547,6210.9002685546875,-3985.8999633789062,2.5,-0.19999999552965164,-1.5999999642372131,0.09999999776482582,128.0,128.0,False,0.017015126034685225,-0.5705082481124235,-4.793335776515682e-05,True,242.46338903263052,True,19,False,16,,games5425898691,bf81d8692db,19.0,-445.7300109863281,4040.679931640625,115.16000366210938,15180.999755859375,-9338.699951171875,-397.79998779296875,3579.89990234375,2957.9998779296875,-611.5000152587891,255.0,128.0,,-0.6932996104855172,0.5778492394072724,-1.419185768189578,True,213.0,False,False,26,24,
1,3858,134,True,1,2188.492968306691,629.9400024414062,2967.739990234375,197.22999572753906,-188.99999618530273,27515.80078125,5088.500061035156,2212.5,-3952.60009765625,-3934.5999145507812,1.0,-0.3945672433788601,-1.8135056648722008,0.30178110067723324,76561198039309853,enpitsu,26.0,577.5900268554688,2680.010009765625,120.9800033569336,-7908.599853515625,18883.599853515625,558.1999969482422,-4698.599853515625,-2365.399932861328,-1605.3999328613281,255.0,128.0,,-0.45182571083204254,1.6050712761999264,-0.39996974424678583,True,131.0,False,False,32,27,,bf81d8692db,games5425898691,19.0,2825.25,417.7699890136719,16.989999771118164,-9905.0,4042.0999145507812,4.600000083446503,0.5000000074505806,-0.29999999329447746,-4.000000059604645,255.0,128.0,,-0.009528306831779262,0.38814931128396263,5.7035392226508466e-05,True,154.0,False,False,40,52,,Fb-Lmtx Gaming,bffae3651bb,5,-413.6000061035156,2231.889892578125,17.010000228881836,1594.4999694824219,22944.599609375,-0.29999999329447746,-0.0,-0.7999999821186066,0.0,255.0,,,-0.009589757104993348,1.6402015530687208,4.114402372988553e-05,True,226.83602599687475,True,40,False,30,,OneTypicalSquid,2514870482418203048,7.0,1244.1099853515625,2333.179931640625,73.75,-9374.69970703125,13485.2001953125,-2242.5999450683594,-1568.5000610351562,138.59999656677246,-1381.9999694824219,243.0,1.0,,0.3046627781315091,1.041861077452312,-0.42396307896761337,True,22.0,False,False,48,48,
2,4134,135,False,0,5171.09246293686,-2.5299999713897705,46.68000030517578,94.95999908447266,-730.5999755859375,22366.0009765625,1306.9000244140625,-1779.4000244140625,-108.4000015258789,-5729.000244140625,0.0,-0.004629134416380849,-0.20404524089497977,0.003993457598699961,2514870482418203048,OneTypicalSquid,7.0,-10.239999771118164,-163.35000610351562,100.55999755859375,-13545.50048828125,18484.000244140625,-161.90000534057617,-5350.0,-1256.9000244140625,-217.29999542236328,241.0,128.0,,0.4068571110545438,-1.9162933391522439,2.9309129598218995,True,0.0,False,False,4,3,,bffae3651bb,Fb-Lmtx Gaming,5.0,-3309.320068359375,-4344.1298828125,27.520000457763672,-7915.8001708984375,-11611.600341796875,-3078.9999389648438,1588.6000061035156,-1082.7999877929688,-1.4000000059604645,128.0,128.0,,0.0774901983450116,0.9726839435637326,9.09662536796721e-05,True,255.0,False,False,4,4,,enpitsu,76561198039309853,26,3145.330078125,4095.530029296875,17.049999237060547,3753.2998657226562,7565.5999755859375,2.5,-1.899999976158142,0.9000000357627869,0.0,255.0,128.0,,0.016385489254150922,-2.0313015425238357,-1.0762215438659257e-06,True,255.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-71.86000061035156,344.0400085449219,85.11000061035156,2496.3999938964844,-22709.599609375,2466.6000366210938,5499.000244140625,-79.20000076293945,-68.00000190734863,255.0,128.0,,0.6943413157123657,-1.595414988734434,-0.008120988910925352,True,0.0,False,False,4,3,
3,6559,223,False,0,6433.701171114582,424.3500061035156,-1156.760009765625,151.22000122070312,-4518.299865722656,27771.201171875,7989.4000244140625,4575.7000732421875,-1991.6999816894531,3330.8999633789062,0.0,-0.02002632264946527,1.6435914070540685,-0.28209255676066014,bffae3651bb,Fb-Lmtx Gaming,5.0,423.239990234375,-1363.260009765625,91.73999786376953,-1180.5000305175781,22814.7998046875,2662.6998901367188,-4598.399963378906,2182.5,-1766.9000244140625,255.0,8.0,False,0.21640514201370845,1.735856934403019,0.029151125995839754,True,106.51574182510369,True,False,10,7,,2514870482418203048,OneTypicalSquid,7.0,1344.3399658203125,-1160.3499755859375,16.989999771118164,-7526.300048828125,-13745.30029296875,4.900000095367432,0.0,0.0,2037.5,242.0,255.0,,0.00957945006822295,-2.0029407626286297,1.4117167835885374e-05,True,41.0,False,False,24,24,,enpitsu,76561198039309853,26,182.1300048828125,4494.27001953125,17.049999237060547,-2269.1000366210938,13605.2001953125,3.0000001192092896,0.3999999910593033,-0.7999999821186066,2792.6998901367188,255.0,255.0,True,0.016765841286834938,2.035868014522523,0.00012073474514893335,True,255.0,False,20,False,20,,games5425898691,bf81d8692db,19.0,635.760009765625,-669.8400268554688,17.0,-17504.49951171875,-12620.999755859375,3.4999999403953552,0.19999999552965164,0.0,1706.6999816894531,255.0,233.0,,0.009573589184936239,-2.447509131864179,3.2645250030661545e-06,True,0.0,False,False,20,18,
4,6750,230,False,0,5186.237269147292,-1269.22998046875,-32.790000915527344,525.02001953125,9234.600219726562,25304.3994140625,-5647.8997802734375,-4029.5001220703125,-1066.8000030517578,-4315.5999755859375,0.0,-0.31797057384469474,-0.5902540021123927,1.5724909704225942,2514870482418203048,OneTypicalSquid,7.0,-1347.050048828125,-224.5800018310547,561.8099975585938,544.5000076293945,22608.89892578125,4187.60009765625,-2029.9000549316406,3967.7999877929688,3222.60009765625,240.0,81.0,,-0.25807612297077626,1.7260275544664438,1.0090537413906093,True,63.73049473249784,True,False,26,25,,bffae3651bb,Fb-Lmtx Gaming,5.0,-3495.0,127.93000030517578,17.0,-7682.39990234375,-18060.899658203125,3.4999999403953552,0.09999999776482582,0.19999999552965164,1985.5000305175781,255.0,255.0,,0.00959011240782435,-1.8996525250819418,4.8301431818627524e-05,True,255.0,False,False,8,12,160.0,enpitsu,76561198039309853,26,-1067.43994140625,1952.780029296875,17.059999465942383,0.0,0.5999999865889549,1.1999999731779099,-3.4999999403953552,0.3999999910593033,0.0,128.0,128.0,,0.016991820079511895,-1.7805145565714522,-8.429908081204582e-06,True,155.0,False,22,False,22,,games5425898691,bf81d8692db,19.0,-209.33999633789062,4534.39013671875,17.0,5352.0001220703125,-5759.000244140625,3.700000047683716,0.29999999329447746,-0.19999999552965164,-2254.4000244140625,128.0,0.0,,0.009641228254848396,-0.8547914715449543,-3.4196103811361575e-05,True,255.0,False,False,20,18,
5,7082,242,False,1,3986.9548794443485,-543.1300048828125,1421.8399658203125,143.3800048828125,5617.39990234375,16164.599609375,476.30001068115234,1906.6999816894531,-580.099983215332,1402.8999328613281,1.0,0.3604450909996837,2.043729755647651,-1.1009522008950705,76561198039309853,enpitsu,26.0,-532.22998046875,1247.260009765625,177.7100067138672,-617.400016784668,19014.000244140625,1676.6000366210938,-4107.0001220703125,3379.5999145507812,-1399.9000549316406,255.0,0.0,,-0.46172711696197055,1.2868340069078936,0.5597493232162062,True,169.0,False,False,26,25,,bf81d8692db,games5425898691,19.0,-755.8200073242188,993.530029296875,17.010000228881836,14830.799560546875,-5717.5,2.0000000298023224,0.29999999329447746,-0.0,351.30001068115234,255.0,128.0,,-0.009579349556020975,-2.8103718538629305,-0.00018446562116625852,True,52.0,False,False,22,26,,Fb-Lmtx Gaming,bffae3651bb,5,655.72998046875,1123.5799560546875,17.020000457763672,-953.3000183105469,-8470.499877929688,1.1999999731779099,0.09999999776482582,0.3999999910593033,2489.199981689453,255.0,255.0,False,-0.009515439005952505,-1.490719083336638,3.876656587634931e-05,True,176.0,False,14,False,10,,OneTypicalSquid,2514870482418203048,7.0,-621.22998046875,1688.8299560546875,79.08000183105469,1890.5000305175781,-22712.60009765625,3091.9000244140625,262.00000762939453,-3823.2998657226562,-115.10000228881836,242.0,128.0,,-0.0107654778400867,-1.6329588940715294,0.29900942406311637,True,140.5868644175991,True,False,32,30,
6,7765,267,False,0,6538.898411097699,2209.8798828125,-614.1900024414062,128.92999267578125,-7474.000244140625,28872.900390625,5656.6998291015625,-508.80001068115234,3430.4000854492188,527.2000122070312,0.0,-0.9352948919659849,-2.5804785843148204,1.1016028853073647,2514870482418203048,OneTypicalSquid,7.0,2240.429931640625,-722.1699829101562,40.27000045776367,-5832.0001220703125,19896.700439453125,1557.5,-1303.5000610351562,2540.500030517578,-330.6999969482422,242.0,248.0,False,0.016140853723362346,1.9501057257509533,0.07585544585821653,True,109.0,False,False,40,38,,bffae3651bb,Fb-Lmtx Gaming,5.0,2246.389892578125,309.9100036621094,118.33999633789062,884.8000335693359,12980.50048828125,-8874.299926757812,1988.3000183105469,-806.2999725341797,-253.4000015258789,255.0,128.0,,-1.330587173340863,0.5973630211187414,0.9891804068531942,True,156.0,False,False,14,20,,enpitsu,76561198039309853,26,795.8499755859375,4334.669921875,17.059999465942383,-8930.999755859375,5609.6002197265625,1.2999999523162842,-0.09999999776482582,1.899999976158142,1638.0999755859375,0.0,0.0,False,0.017061624448401307,-2.0004339641932396,0.00017414718016213647,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,3310.22998046875,-1035.3699951171875,16.989999771118164,-10206.599731445312,20611.201171875,2.199999988079071,0.0,0.0,24.000000953674316,255.0,128.0,,0.009593005779545083,2.033473622419671,-2.9075160280820146e-05,True,20.514271192653208,True,False,38,28,
7,7877,271,False,0,4101.317228591971,1926.75,2164.6201171875,105.51000213623047,-9462.000122070312,11031.500244140625,8681.699829101562,4517.9998779296875,3660.8999633789062,-1478.0000305175781,0.0,0.18212058135688822,-1.7668298139330167,-0.33787046897353396,bffae3651bb,Fb-Lmtx Gaming,5.0,2065.139892578125,2005.449951171875,17.010000228881836,-9900.30029296875,7051.400146484375,2.3999999463558197,1.2999999523162842,-0.9000000357627869,1932.5,128.0,255.0,False,0.009652681038200384,2.5463966353816074,0.00025024916246875164,True,126.0,False,False,20,14,,2514870482418203048,OneTypicalSquid,8.0,169.10000610351562,584.7100219726562,17.010000228881836,4565.299987792969,-13374.7998046875,2.3000000417232513,0.19999999552965164,-0.09999999776482582,-2081.199951171875,242.0,6.0,False,0.009569576525661327,-1.3065214453843699,-2.110445672583236e-05,True,94.0,False,False,40,40,,enpitsu,76561198039309853,26,1807.77001953125,2568.35009765625,97.94999694824219,8264.400024414062,-19578.399658203125,1808.2000732421875,5270.3997802734375,1564.4999694824219,-155.79999923706055,255.0,0.0,False,0.8343616719223157,-1.3135049548418873,-0.032567818345465425,True,121.0,False,6,False,3,,games5425898691,bf81d8692db,19.0,1431.280029296875,4804.18017578125,17.0,-9385.999755859375,-4134.599914550781,3.400000035762787,1.5999999642372131,0.0,-107.20000267028809,255.0,135.0,,0.009500161137077013,-2.735634594994646,0.0001651965661623872,True,255.0,False,False,38,28,
