,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,393,8,False,1,2596.3744818524638,1288.469970703125,2573.4599609375,250.57000732421875,-17164.69970703125,22812.2998046875,-4105.10009765625,-4380.5999755859375,1021.6999816894531,3970.5999755859375,1.0,-0.4137635721347447,-2.274092426545833,1.255643449809098,76561198039309853,enpitsu,24.0,1354.1600341796875,2377.639892578125,260.19000244140625,-12810.6005859375,11849.300537109375,1337.2999572753906,-1454.2999267578125,-5019.4000244140625,-1714.7000122070312,255.0,255.0,False,-0.129426193574768,1.2265271725247664,-0.42592814260277523,True,178.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,3167.949951171875,-2490.699951171875,17.010000228881836,-1134.3000030517578,-22617.80029296875,2.0999999344348907,-0.0,-0.0,5.5000001192092896,255.0,128.0,,-0.009592912760524397,-1.5213751890873297,-8.142093736705646e-06,False,0.0,False,8,8,False,,DAIIIN_BRUDDA,76561198296230196,14,2686.780029296875,2863.93994140625,18.299999237060547,249.0999984741211,4179.599914550781,2.800000011920929,-0.9000000357627869,5.600000023841858,278.4000015258789,255.0,181.0,False,-0.016807738404620434,1.6523426907685999,-0.00015881697138821484,True,220.445694743946,True,4,4,False,,xGoDPlaYer_HD,3606374444338577798,8.0,1148.47998046875,2966.5400390625,128.10000610351562,-6787.39990234375,-10974.599609375,3910.7000732421875,-2397.7000427246094,913.7999725341797,1244.7000122070312,255.0,204.0,False,0.2932651439461968,-1.358125537859439,-0.02911960403549406,True,8,False,10,228.0,False,
1,517,12,True,1,2607.0127784664032,-1247.81005859375,3656.56005859375,135.75999450683594,10135.700073242188,10315.899658203125,-7830.8001708984375,1450.8999633789062,5800.8001708984375,494.39998626708984,1.0,0.8899479267975527,2.583104564557347,2.080977238229666,76561198039309853,enpitsu,25.0,-1392.27001953125,3580.43994140625,74.63999938964844,-5442.60009765625,6128.499755859375,3172.3001098632812,-2140.5999755859375,4371.400146484375,-897.5,0.0,0.0,False,0.10268039734084766,0.2388104100592357,0.03997434065167862,True,123.0,False,6,False,3,,bf81d8692db,games5425898691,19.0,-2370.8701171875,-573.2000122070312,16.989999771118164,-17226.099853515625,1412.4000549316406,4.799999892711639,1.1999999731779099,-0.0,1832.4000549316406,255.0,255.0,,-0.009578920124901904,0.03109130063873227,0.00012624735057580549,True,180.0,False,8,8,False,,DAIIIN_BRUDDA,76561198296230196,13,-3325.06005859375,3652.93994140625,18.329999923706055,-9599.199829101562,15927.60009765625,-0.9000000357627869,-0.29999999329447746,0.7000000029802322,-1892.8999328613281,255.0,0.0,False,-0.017057080365722576,1.0883405709126481,-6.212846801047319e-05,True,59.929685833633584,True,6,6,False,,xGoDPlaYer_HD,3606374444338577798,8.0,-1374.6099853515625,3403.429931640625,77.5999984741211,5580.8001708984375,18939.200439453125,3169.2001342773438,-4279.100036621094,-1441.4999389648438,2584.8001098632812,255.0,230.0,False,-0.12344199125194405,1.9114727038952652,-0.02927832099753917,True,11,False,12,195.36738910982686,True,
2,829,14,False,1,5223.626459588186,-13.270000457763672,-3.880000114440918,99.80999755859375,-3545.0,23509.69970703125,1667.2000122070312,2336.300048828125,581.3000106811523,-5495.7000732421875,1.0,0.061662401894302686,-0.010222885208045502,0.07320923510325333,76561198039309853,enpitsu,24.0,1.6399999856948853,-187.61000061035156,105.25,-15103.800048828125,17271.700439453125,290.0,-4139.89990234375,-3620.7998657226562,0.0,255.0,128.0,,-1.3346881612731738,0.852067139492069,0.00011184128240776945,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,-3372.169921875,-2044.6800537109375,17.010000228881836,-4249.200134277344,-14330.400390625,2.0000000298023224,-0.0,-0.5000000074505806,337.79998779296875,255.0,128.0,,-0.009595321874539563,-1.3189827258380216,-0.00019942359117176216,False,0.0,False,False,False,False,,DAIIIN_BRUDDA,76561198296230196,13,-3076.090087890625,4117.669921875,18.299999237060547,-668.1999969482422,899.3000030517578,10.399999618530273,5.600000023841858,10.299999713897705,378.10001373291016,255.0,0.0,,-0.016104316065760835,-2.469445328497242,-0.00014540005039332613,True,248.75576774279276,True,4,4,False,,xGoDPlaYer_HD,3606374444338577798,8.0,42.61000061035156,87.81999969482422,90.66999816894531,-10446.500244140625,-18172.80029296875,503.69998931884766,5344.7998046875,-992.7999877929688,-834.7000122070312,255.0,128.0,,-0.9404320246605722,-0.3869464373123967,-0.9446904527402505,True,3,False,4,0.0,False,
3,1007,21,False,0,3098.2254569318966,1202.0,2860.219970703125,125.86000061035156,-13296.99951171875,16079.49951171875,1651.7999267578125,2063.9999389648438,-2380.2000427246094,-4980.0,0.0,-0.40279794317785966,-0.7214546078171614,2.5448935426776123,3606374444338577798,xGoDPlaYer_HD,8.0,1327.4300537109375,2651.340087890625,144.00999450683594,-16773.199462890625,9215.700073242188,37.200000286102295,2502.100067138672,-4869.100036621094,529.5000076293945,255.0,184.0,,0.8552361980206928,2.4112102804212037,-1.0977491451629717,True,8.0,False,6,False,5,,76561198296230196,DAIIIN_BRUDDA,13.0,2162.530029296875,4547.169921875,124.6500015258789,-1986.6000366210938,-9456.400146484375,-3355.2999877929688,358.49998474121094,-432.79998779296875,265.49999237060547,243.0,128.0,,-0.030405013484498325,-1.679106768349153,-0.7163416977314078,True,174.05901092867697,True,10,8,False,,enpitsu,76561198039309853,25,1505.0,4663.10986328125,17.059999465942383,-8830.399780273438,4889.2999267578125,1.1999999731779099,0.7999999821186066,-0.5999999865889549,-42.30000019073486,255.0,128.0,,0.01668079991620843,2.6303988068097963,9.633473539857215e-05,True,,False,4,4,False,,games5425898691,bf81d8692db,19.0,1188.239990234375,3738.669921875,49.060001373291016,-8693.499755859375,-13111.300048828125,3415.10009765625,-442.99999237060547,270.3000068664551,858.8999938964844,255.0,215.0,,-0.0033594913161388643,-2.0985776642786145,-0.00011968046929547811,True,False,False,4,199.85278278525158,True,
4,1969,56,False,1,2019.0204511080835,-991.9400024414062,4424.3701171875,142.1199951171875,24451.298828125,13189.100341796875,6138.4002685546875,3390.0,-1058.7999725341797,-4835.899963378906,1.0,-0.8409233867838043,-0.33966917980960953,-1.6496185334933398,76561198039309853,enpitsu,25.0,-1140.3399658203125,4332.330078125,83.44999694824219,7206.400146484375,19091.800537109375,2253.9999389648438,1134.1999816894531,4116.600036621094,1241.2000274658203,128.0,0.0,False,-0.005853597416760791,1.6673169822527227,0.10384448984018681,True,22.0,False,14,False,13,,bf81d8692db,games5425898691,19.0,-2469.300048828125,4543.169921875,16.989999771118164,9679.7998046875,-4669.599914550781,3.4999999403953552,-0.7999999821186066,0.7000000029802322,-59.80000019073486,255.0,128.0,,-0.009510718617774024,-2.684115454475852,9.558141962665948e-05,True,0.0,False,10,8,False,,DAIIIN_BRUDDA,76561198296230196,13,-3355.969970703125,4145.97998046875,18.329999923706055,-763.0000305175781,5327.1002197265625,4.099999964237213,-0.0,0.7000000029802322,-1524.6000671386719,0.0,0.0,False,-0.01753350520199556,1.4595973338757127,5.890579917988777e-05,True,0.0,False,18,16,False,,xGoDPlaYer_HD,3606374444338577798,8.0,-465.42999267578125,4757.27978515625,123.97000122070312,-18341.300048828125,-10546.099853515625,3087.3001098632812,2204.4000244140625,-374.1999816894531,1222.6000213623047,255.0,244.0,False,0.08669697916737187,-0.47676392004074086,-0.030776492273240245,True,15,False,18,186.86398281845996,True,
5,2076,60,True,0,5020.793695559597,1678.699951171875,829.6300048828125,1120.6099853515625,-10018.499755859375,30340.90087890625,-2677.3001098632812,-3140.5999755859375,-3214.4000244140625,-3975.2999877929688,0.0,-0.40702951039947605,-2.8855125775267703,2.7221267960115174,3606374444338577798,xGoDPlaYer_HD,8.0,1748.3800048828125,713.6099853515625,1085.7900390625,-8447.899780273438,18815.50048828125,2524.7000122070312,-2324.9000549316406,-2535.0,1135.199966430664,255.0,244.0,,0.259307212729881,2.051467057234203,0.3130726872502776,True,66.80948847083636,True,20,4,16,,76561198296230196,DAIIIN_BRUDDA,13.0,804.5700073242188,-1066.3900146484375,18.329999923706055,-8882.100219726562,14036.400146484375,3.0000001192092896,0.3999999910593033,-0.3999999910593033,-42.30000019073486,241.0,128.0,,0.01707283384174499,2.1297220233091845,5.7547690341629195e-05,True,167.0,False,18,16,False,,enpitsu,76561198039309853,25,-131.61000061035156,-4440.7099609375,17.030000686645508,3465.8999633789062,12182.900390625,5.299999713897705,-1.7000000178813934,-7.099999785423279,1496.6000366210938,255.0,128.0,,0.01672483226582631,1.3649797198191527,-0.00010884565409550254,True,0.0,False,14,14,False,,games5425898691,bf81d8692db,19.0,1124.239990234375,1469.8399658203125,63.58000183105469,-1911.3999938964844,22725.400390625,-1987.5,-2166.9000244140625,-552.2000122070312,84.39999580383301,255.0,128.0,,-0.43381393861803974,1.7670456461631698,0.057223233531439835,True,12,False,14,31.0,False,
6,2552,68,False,0,2378.2545167805556,-630.9600219726562,2776.56005859375,341.5400085449219,4293.299865722656,12841.600341796875,6794.1998291015625,1732.5999450683594,-743.3999633789062,-5695.999755859375,0.0,0.9118765237964139,-0.5799513017869918,2.4943665262737427,76561198296230196,DAIIIN_BRUDDA,13.0,-715.8400268554688,2676.18994140625,291.1499938964844,-17947.60009765625,12406.099853515625,2250.8999633789062,3529.5001220703125,1874.6000671386719,-3778.5000610351562,242.0,97.0,False,-1.3789807017323024,-0.6806260828243637,2.9708749283332905,True,104.0,False,6,False,4,,3606374444338577798,xGoDPlaYer_HD,8.0,-1218.699951171875,5102.93994140625,996.969970703125,-14196.500244140625,3.100000023841858,-9365.10009765625,-2.5999999046325684,-154.60000038146973,-1.5000000596046448,255.0,128.0,False,0.584582483446992,3.1214695927490728,-1.5821192493155383,False,33.57034820382314,True,4,False,4,,enpitsu,76561198039309853,25,-289.20001220703125,5148.6201171875,17.049999237060547,-5922.1002197265625,-4179.700012207031,2.5999999046325684,1.4000000059604645,0.0,-21.19999885559082,128.0,128.0,False,0.016801052341377593,-2.5304018354933855,9.030186828248087e-05,True,31.0,False,4,4,False,,games5425898691,bf81d8692db,19.0,-553.1300048828125,2840.159912109375,225.16000366210938,-12418.699951171875,-19359.000244140625,-12.400000095367432,4648.800048828125,-2938.900146484375,-25.0,255.0,128.0,,0.639527669293091,-2.137962977846228,-0.005742382265394369,True,3,False,4,143.43619786539386,True,
7,3322,96,False,0,4290.872463825446,2391.409912109375,2382.3701171875,140.86000061035156,-17764.599609375,25397.60009765625,-401.3999938964844,2428.5000610351562,-1352.8999328613281,-2732.0999145507812,0.0,-0.2292392050848712,2.7474053469741424,-2.5996668577292463,3606374444338577798,xGoDPlaYer_HD,8.0,2484.760009765625,2205.7900390625,149.66000366210938,-17209.599609375,15241.8994140625,715.1000213623047,-2813.599853515625,-4725.4998779296875,50.39999961853027,255.0,229.0,,0.35122144879731443,2.0176925907163246,-0.24071075284629154,True,170.0,False,16,4,13,,76561198296230196,DAIIIN_BRUDDA,18.0,2127.489990234375,-1649.489990234375,18.329999923706055,5488.499755859375,11198.800048828125,3.0000001192092896,-0.19999999552965164,-0.09999999776482582,21.400001049041748,240.0,141.0,,0.017010808744220104,1.104992554277544,0.00011292005488090303,True,255.0,False,18,14,False,,enpitsu,76561198039309853,25,216.77000427246094,5151.35009765625,17.059999465942383,3896.0000610351562,1583.9999389648438,1.2999999523162842,-5.299999713897705,8.299999833106995,-1895.3999328613281,128.0,128.0,False,0.01722196320931726,-1.0706055331988562,2.890776302670346e-05,True,255.0,False,8,8,False,,games5425898691,bf81d8692db,19.0,1218.1199951171875,4991.31982421875,23.43000030517578,177.19999313354492,-116.49999618530273,34.60000038146973,108.69999885559082,313.29999923706055,5.099999904632568,255.0,128.0,,0.06419782214210065,-2.5443053904400466,-0.18908007341452215,True,10,False,10,255.0,False,
8,4502,139,True,1,3043.0956686558848,-98.05000305175781,2263.840087890625,101.48999786376953,-237.80000686645508,21642.80029296875,6560.30029296875,2291.4999389648438,5361.400146484375,-1415.5999755859375,1.0,0.1975273041518391,1.016673380147275,2.1121623070992097,bf81d8692db,games5425898691,19.0,-36.81999969482422,2034.1199951171875,16.989999771118164,2127.4000549316406,17105.10009765625,4.699999988079071,-0.19999999552965164,-3.799999952316284,1160.1000213623047,255.0,145.0,,-0.009597725034665999,1.644270266427313,2.897845810784852e-05,True,107.0,False,22,False,18,,76561198039309853,enpitsu,25.0,-557.25,1041.0400390625,17.059999465942383,9524.299926757812,2681.7001342773438,1.1999999731779099,-0.09999999776482582,-0.0,0.0,128.0,128.0,False,-0.016843170042538443,2.86711313381406,1.1596777089136083e-05,True,141.0,False,18,18,False,,DAIIIN_BRUDDA,76561198296230196,13,-2332.68994140625,-189.97000122070312,18.309999465942383,9395.900268554688,13356.8994140625,1.2999999523162842,-1.7000000178813934,-2.5999999046325684,1047.6000213623047,255.0,128.0,False,-0.01706326704265161,2.1131310676438133,-0.00020629090488599492,True,75.33642146151551,True,4,4,False,,xGoDPlaYer_HD,3606374444338577798,8.0,-1116.27001953125,1024.0400390625,17.049999237060547,9370.800170898438,21001.201171875,2.5,0.19999999552965164,0.3999999910593033,0.0,255.0,128.0,,-0.016778493604377068,1.9904851224336062,-3.974664805381768e-05,True,28,4,30,110.0,False,
9,4802,140,False,1,5130.433338647706,1.8799999952316284,88.08000183105469,107.55000305175781,430.09998321533203,28627.099609375,4710.799865722656,-1099.5999908447266,52.89999961853027,1.4000000059604645,1.0,0.0017646922130651838,-1.6211024549651585e-05,0.03665986282256062,76561198039309853,enpitsu,25.0,3.8299999237060547,-100.0,58.279998779296875,943.7999725341797,22795.10009765625,2254.1000366210938,-4.000000059604645,-686.9000244140625,1157.699966430664,255.0,128.0,,0.016405151148706693,1.5785582864356749,-0.023688291438600868,True,14.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,-0.0,-4804.68994140625,17.010000228881836,-0.0,6680.30029296875,2.0999999344348907,-0.9000000357627869,-0.0,0.0,255.0,,,-0.009437596099305234,1.5707880450025669,3.8982555224187095e-08,True,116.0,False,False,False,False,,DAIIIN_BRUDDA,76561198296230196,13,3215.0,3888.919921875,18.329999923706055,11038.699951171875,-8315.999755859375,3.700000047683716,-0.29999999329447746,-0.0,-3470.5999755859375,246.0,0.0,True,-0.017064118701700156,-2.1053998582657125,-3.365422229748302e-05,True,255.0,False,False,False,False,,xGoDPlaYer_HD,3606374444338577798,8.0,-3159.260009765625,3944.669921875,17.049999237060547,-12696.800537109375,-10234.89990234375,3.700000047683716,0.9000000357627869,0.9000000357627869,2952.9998779296875,255.0,255.0,False,-0.016779759161119415,-0.8505587572298845,4.88169655258038e-05,True,False,False,False,255.0,False,
