,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,1150,35,False,1,2036.3664060805665,-1034.989990234375,4493.419921875,209.61000061035156,4518.2000732421875,5757.1002197265625,-6624.89990234375,-1596.199951171875,1064.7000122070312,-5684.89990234375,1.0,-0.10662125840765162,1.1658520999699835,-1.3081736717317816,76561198039309853,enpitsu,27.0,-1133.75,4403.740234375,303.4800109863281,-1983.3000183105469,6471.099853515625,73.00000190734863,-2405.399932861328,4247.60009765625,1764.1000366210938,255.0,0.0,,1.1467843540565565,2.1776245106531067,1.8906183262055865,True,9,160.0,False,10,False,,bf81d8692db,games5425898691,24.0,-2665.010009765625,2856.389892578125,17.010000228881836,9431.400146484375,-10117.899780273438,2.3000000417232513,-0.0,0.29999999329447746,2189.1000366210938,255.0,255.0,,-0.009556076467233283,-2.3859672373010103,2.0732155565587438e-05,True,False,12.0,255.0,False,14.0,,Cyarei4,5633671180705826086,12.0,-912.6500244140625,4510.5498046875,301.2799987792969,8989.099731445312,-7175.7000732421875,66.19999885559082,5305.7000732421875,-1425.5000305175781,259.4000053405762,0.0,255.0,,-0.6677511689723773,0.7127532012204079,0.9130836623212277,True,4,85.0,False,3,False,,Alexom_14,3912103586548482891,12,-1037.489990234375,4594.97021484375,66.52999877929688,4147.799987792969,3184.4000244140625,-7231.9000244140625,-4286.199951171875,1453.2000732421875,458.69998931884766,128.0,169.0,False,1.3237000314830487,2.9842180973972683,-1.6376189296382457,True,138.0,False,14,12,4,
1,1410,45,True,1,5147.701253442563,-55.709999084472656,81.04000091552734,190.0500030517578,951.9999694824219,23194.89990234375,7185.7000732421875,4387.099914550781,-3447.7999877929688,-2205.5999755859375,1.0,0.7029806408851691,1.0859143046662254,-2.7549237579227523,76561198039309853,enpitsu,27.0,-98.1500015258789,-114.41000366210938,84.51000213623047,-2049.1000366210938,22758.1005859375,2450.8999633789062,-5420.3997802734375,906.2999725341797,-217.90000915527344,128.0,128.0,,-0.6478575335392509,1.7661930536734736,-0.02379320441804655,True,13,167.0,False,14,False,,bf81d8692db,games5425898691,24.0,2415.81005859375,-5021.7900390625,33.11000061035156,-16966.8994140625,-4197.099914550781,1728.0999755859375,-4776.499938964844,-1068.6000061035156,-1809.4999694824219,255.0,0.0,,0.1147593312379953,-0.20405190400125325,0.40555315582656465,True,False,12.0,255.0,False,16.0,,Cyarei4,5633671180705826086,12.0,-2064.530029296875,-4071.760009765625,16.989999771118164,-22999.29931640625,-175.6999969482422,2.199999988079071,-0.0,-0.09999999776482582,3.3000001311302185,255.0,128.0,,-0.009575918034776858,-0.0080868670253839,-9.834021839361655e-06,True,8,18.48533347601532,True,8,False,,Alexom_14,3912103586548482891,12,-1829.72998046875,2446.93994140625,17.010000228881836,8877.899780273438,-10707.19970703125,2.3000000417232513,1.1999999731779099,-2.0000000298023224,1334.4000244140625,230.0,255.0,,-0.00958852458125047,-2.266600037527,0.00019047436185283892,True,116.0,False,False,False,False,
2,1729,47,False,0,5124.959541863625,4.199999809265137,94.72000122070312,98.7300033569336,1670.2000427246094,31541.10107421875,1713.6000061035156,3661.7999267578125,18.09999942779541,-252.80000686645508,0.0,0.001121436978890025,-0.00835767602641421,0.12205439646236041,3912103586548482891,Alexom_14,12.0,-15.34000015258789,-128.3800048828125,56.22999954223633,-608.6999893188477,19976.400146484375,-1284.1000366210938,-592.0000076293945,-27.59999990463257,-2757.5,253.0,84.0,,-0.20829490841200807,1.517770453493956,0.006809939833302316,True,4,2.7892988394665412,True,4,False,,5633671180705826086,Cyarei4,12.0,2948.739990234375,-4047.360107421875,70.04000091552734,19225.799560546875,851.3999938964844,-2045.3999328613281,20.899999141693115,2183.699951171875,-58.80000114440918,255.0,134.0,,-0.36265988692025214,0.029799520054930626,-0.04155392360683631,True,False,4.0,255.0,False,4.0,50.0,enpitsu,76561198039309853,27.0,-19.1200008392334,3100.199951171875,17.049999237060547,-416.30001068115234,-7642.5,2.5999999046325684,0.5999999865889549,0.19999999552965164,-0.09999999776482582,255.0,255.0,,0.016807102504607443,-1.625289864675002,2.2783751209610513e-05,True,False,116.0,False,2,False,,games5425898691,bf81d8692db,24,16.690000534057617,627.5999755859375,56.08000183105469,-2277.5999450683594,-22699.69970703125,2866.7999267578125,2573.800048828125,-157.7999973297119,256.299991607666,128.0,128.0,,0.05550173248347046,-1.6474098658965701,-0.002906745929673347,True,31.0,False,4,3,False,
3,2625,80,False,1,6286.79035205251,-301.5899963378906,-1031.6700439453125,127.23999786376953,1405.7000732421875,25084.69970703125,10825.0,2886.9000244140625,-5082.60009765625,1353.3000183105469,1.0,-0.7578291988029825,0.09255898846693707,-0.12772943278128085,bf81d8692db,games5425898691,24.0,-340.1400146484375,-1216.6400146484375,16.219999313354492,4486.700134277344,18041.800537109375,-488.8999938964844,2272.2999572753906,-2041.3999938964844,-695.0,255.0,0.0,,0.013416726292636915,1.8921738055357127,-0.010532082769417665,True,12,23.22399124791546,True,14,False,,76561198039309853,enpitsu,27.0,-153.36000061035156,-4324.81005859375,17.049999237060547,-12552.900390625,-5888.3001708984375,2.5999999046325684,-1.2999999523162842,-0.5999999865889549,-520.9000015258789,255.0,128.0,False,-0.016750217879149997,-0.39960312285711763,0.00016091936228606457,True,False,6.0,166.0,False,6.0,,Cyarei4,5633671180705826086,12.0,1904.8800048828125,-3798.159912109375,17.0,-89.79999542236328,-25.09999990463257,3.400000035762787,0.5000000074505806,-0.0,0.5999999865889549,128.0,150.0,,-0.009550013422487472,-1.84283197863517,-9.751578398380683e-06,True,8,223.0,False,6,4,,Alexom_14,3912103586548482891,12,-871.260009765625,2436.64990234375,16.989999771118164,-5409.2999267578125,9771.699829101562,4.600000083446503,0.09999999776482582,-0.7000000029802322,0.0,198.0,128.0,,-0.00954974572809967,1.0652227015298963,6.346459935790967e-05,True,255.0,False,14,10,6,
4,3829,123,True,0,1333.0207195078938,436.8599853515625,5160.7001953125,235.10000610351562,1117.699966430664,5518.0999755859375,4655.799865722656,4519.100036621094,2729.8001098632812,-2850.4998779296875,0.0,0.12111372090043722,-1.12087126620027,0.659732857173864,5633671180705826086,Cyarei4,13.0,348.8999938964844,5172.97021484375,113.19000244140625,-9432.100219726562,9734.000244140625,-511.3999938964844,-5326.500244140625,-291.49999618530273,-1338.699951171875,255.0,53.0,,-0.5712967132374993,-0.9345238977749176,2.875599880780014,True,19,35.0,False,24,6,,3912103586548482891,Alexom_14,12.0,-72.11000061035156,4996.81982421875,17.010000228881836,-2969.7000122070312,-9221.400146484375,2.0999999344348907,0.5999999865889549,0.0,0.0,207.0,128.0,False,0.009507732524965526,-1.8823799806189803,4.925470067609419e-06,True,12,16.0,111.0,False,30.0,,enpitsu,76561198039309853,27.0,251.3699951171875,5969.669921875,319.79998779296875,-8765.999755859375,304.4000053405762,-1365.8999633789062,-701.6000366210938,-2527.2000122070312,-438.69998931884766,255.0,255.0,False,0.17300122038223376,3.0794852534495285,-1.9004218555744927,True,26,31.0,False,26,False,,games5425898691,bf81d8692db,24,682.6799926757812,5059.75,17.010000228881836,-3964.8001098632812,4533.900146484375,2.3000000417232513,0.29999999329447746,-0.19999999552965164,2091.300048828125,255.0,254.0,,0.009512178915640287,2.2594111426276338,0.0001446183154652002,True,0.0,False,34,24,False,
5,4608,143,False,0,2834.554846264034,1542.800048828125,3695.3701171875,144.1699981689453,-14984.599609375,18504.200439453125,11112.60009765625,5547.60009765625,772.9000091552734,2150.8999633789062,0.0,0.9145833646291418,-0.26246798392794707,-2.35005728732751,3912103586548482891,Alexom_14,12.0,1643.8900146484375,3485.280029296875,93.79000091552734,-3759.7000122070312,22648.9990234375,1373.3999633789062,-1643.3999633789062,-5229.0997314453125,452.7000045776367,255.0,255.0,,0.15335530490792562,1.471360001069914,-0.5821049242271896,True,5,62.0,False,6,False,,5633671180705826086,Cyarei4,12.0,1668.760009765625,2823.56005859375,17.010000228881836,-3881.7001342773438,10281.800537109375,2.3999999463558197,-0.09999999776482582,-1.5000000596046448,1718.8999938964844,0.0,255.0,,0.009891703861299778,1.9659796121292952,0.00014408481528207115,True,False,6.0,174.0,False,6.0,,enpitsu,76561198039309853,27.0,269.54998779296875,5393.08984375,18.75,409.0999984741211,-462.90000915527344,-13.40000033378601,-18.50000023841858,-7.300000190734863,268.0999946594238,128.0,128.0,False,0.045885822278138,-1.017285762345473,0.016010641264694044,True,2,255.0,False,2,False,,games5425898691,bf81d8692db,24,3039.3798828125,3833.719970703125,16.989999771118164,-3928.2998657226562,20810.400390625,4.600000083446503,0.0,-0.5999999865889549,448.8999938964844,255.0,128.0,,0.00958594899254429,1.7978871073310827,-0.00015851494303263558,True,255.0,False,6,6,False,
6,5114,161,True,1,3701.1088897004806,-2686.280029296875,4209.68994140625,166.88999938964844,19963.499755859375,8027.39990234375,4326.499938964844,2183.2000732421875,-2990.8999633789062,4720.899963378906,1.0,0.09540527900747611,-1.3593043085736536,-0.47050394963046605,76561198039309853,enpitsu,27.0,-2872.070068359375,4134.52001953125,107.01000213623047,19794.300537109375,55.10000228881836,2313.800048828125,-2627.0999145507812,4726.499938964844,1003.7000274658203,255.0,255.0,False,-0.6338613484106238,-2.7261666372562807,-0.555669214018819,True,7,240.0,False,10,False,,bf81d8692db,games5425898691,24.0,-1867.02001953125,5038.3798828125,328.9800109863281,4251.400146484375,-691.9999694824219,594.7999954223633,1422.5999450683594,3738.900146484375,-3774.4000244140625,255.0,0.0,,-0.8490146774574775,-1.1777612071044536,0.15064929382694248,True,False,12.0,176.0,False,12.0,,Cyarei4,5633671180705826086,12.0,126.45999908447266,4790.830078125,17.0,-3963.800048828125,-1204.800033569336,3.3000001311302185,-0.0,-0.0,8.00000011920929,235.0,128.0,,-0.009498920003807983,-0.29591392277590056,-1.8732668391669156e-05,True,14,184.0,False,12,False,,Alexom_14,3912103586548482891,12,-3021.25,4380.8798828125,16.940000534057617,20215.999755859375,790.6999969482422,25.199999809265137,62.30000019073486,24.200000762939453,-1351.0000610351562,255.0,116.0,False,-0.008356467928767083,-3.114296391192839,-0.003227173755296087,True,130.98475676710893,True,14,14,False,
7,5516,167,False,1,3302.772232758931,-1213.1400146484375,2598.3798828125,104.91000366210938,7925.3997802734375,14718.1005859375,3395.2999877929688,-1876.1000061035156,-5503.699951171875,1479.4999694824219,1.0,-1.2352086353180969,-3.119786000796432,-0.10523203494889036,76561198039309853,enpitsu,27.0,-1340.4300537109375,2489.860107421875,16.34000015258789,6688.699951171875,10728.900146484375,-0.5000000074505806,-46.10000133514404,-25.69999933242798,-2903.2998657226562,255.0,128.0,,-0.008402536057457874,2.2308187125028502,0.003388031368559137,True,2,,False,2,False,,bf81d8692db,games5425898691,24.0,-1939.030029296875,-4189.2998046875,17.010000228881836,-18959.599609375,2481.4999389648438,2.0000000298023224,1.5999999642372131,-0.5000000074505806,355.49999237060547,255.0,128.0,,-0.00956457233526836,0.10431437402496702,-5.093492378328523e-05,True,False,4.0,66.0,False,4.0,,Cyarei4,5633671180705826086,12.0,-747.260009765625,3251.8798828125,16.739999771118164,-4819.700012207031,7983.599853515625,59.29999828338623,-6.200000047683716,11.399999856948853,-47.30000019073486,1.0,,,-0.009935620903016341,1.0394128680779346,-0.0009176193477188749,True,6,31.0,False,6,False,,Alexom_14,3912103586548482891,12,-13.960000038146973,4572.5400390625,17.010000228881836,-322.09999084472656,-541.3999938964844,2.0999999344348907,1.1999999731779099,-0.3999999910593033,-78.89999866485596,206.0,101.0,,-0.009414859990177165,-1.0765512190229936,-1.4633561669642547e-05,True,146.0,False,False,False,False,
8,5976,183,True,0,5287.327341697185,328.1700134277344,-3.6600000858306885,296.54998779296875,-3302.7999877929688,24279.69970703125,4578.900146484375,5352.19970703125,-1170.4000091552734,2446.1000061035156,0.0,-0.20082958097318865,-0.3194567110901076,0.4024019574582397,3912103586548482891,Alexom_14,12.0,308.1300048828125,-180.5800018310547,161.52000427246094,-5778.499755859375,22196.201171875,1713.3999633789062,-2138.9999389648438,3460.8999633789062,1075.0,255.0,1.0,,-0.5563596519534271,1.7679689853196658,0.19626923849777847,True,9,129.52623640850018,True,12,4,,5633671180705826086,Cyarei4,13.0,3453.7099609375,-101.61000061035156,17.010000228881836,-5094.4000244140625,-3102.0999145507812,2.0000000298023224,-0.7999999821186066,-0.5999999865889549,61.500000953674316,255.0,128.0,,0.00947993331622997,-2.5876201010475377,-0.00010359912649173063,True,6,6.0,255.0,False,10.0,,enpitsu,76561198039309853,27.0,37.77000045776367,1759.06005859375,24.530000686645508,-5474.6002197265625,-22131.99951171875,3032.9000854492188,0.0,1.2999999523162842,197.90000915527344,128.0,128.0,False,0.016822793454061742,-1.7952164627523373,-0.00012970482574854494,True,12,158.0420644949841,True,10,False,,games5425898691,bf81d8692db,24,1463.02001953125,3869.510009765625,88.44000244140625,-18942.7001953125,2466.999969482422,-129.49999809265137,-1177.699966430664,-5372.2998046875,-23.599998950958252,255.0,128.0,,1.5514709050436402,0.009951733063539388,-2.915703245598197,True,0.0,False,12,9,False,
9,6935,209,True,1,2587.989072200671,-1151.280029296875,3556.860107421875,126.5,13295.799560546875,29214.19921875,2777.7999877929688,3552.6998901367188,1579.4999694824219,-3978.2000732421875,1.0,-1.0765705572554274,0.38683444444870213,-2.0695861056337095,76561198039309853,enpitsu,27.0,-1214.2900390625,3318.31005859375,101.51000213623047,3373.699951171875,22565.70068359375,2898.900146484375,-1203.499984741211,4068.2998657226562,-145.0,128.0,0.0,False,-0.01693823103461368,1.2840674162774461,0.05300469877155738,True,7,46.0,False,8,False,,bf81d8692db,games5425898691,24.0,-2967.639892578125,3900.070068359375,17.010000228881836,6110.5999755859375,-12338.299560546875,2.0999999344348907,1.4000000059604645,-1.0000000149011612,-279.4000053405762,255.0,128.0,,-0.00951504026702257,-2.017817181426145,-4.412734970439543e-06,True,4,8.0,72.0,False,10.0,,Cyarei4,5633671180705826086,12.0,-1119.25,4319.43017578125,16.200000762939453,854.4999694824219,-6024.7998046875,-527.0000076293945,934.8999786376953,-3257.9998779296875,189.0999984741211,226.0,128.0,False,0.005233429657704518,-1.792914182700539,-0.06414240109346975,True,12,255.0,False,8,6,,Alexom_14,3912103586548482891,13,-802.0900268554688,3593.800048828125,99.91999816894531,-3163.2000732421875,-3366.400146484375,457.59998321533203,5276.7999267578125,-1290.7000732421875,-859.1000366210938,0.0,235.0,False,0.29430983500011776,0.25428201553030877,-1.1787682912195796,True,17.0,False,12,7,4,
