,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,170,0.0,False,False,0,5210.818991449241,-55.400001525878906,-2.569999933242798,120.02999877929688,-14272.099609375,-6917.80029296875,6315.7000732421875,-5659.1998291015625,1521.1000061035156,-1287.8999328613281,0.0,0.380245496126667,0.20341167400942228,-0.5134965243734574,76561198156643344,TerraMW,3.0,-34.560001373291016,-162.10000610351562,96.91999816894531,19083.900146484375,12670.799560546875,2009.6000671386719,1340.5000305175781,5317.60009765625,419.1999816894531,255.0,128.0,,0.2786854008642559,0.967219921370889,0.7634679178572351,True,0.0,False,False,3,4,,76561198054434500,:(,10.0,2899.469970703125,-4042.56005859375,17.010000228881836,17416.099853515625,-5199.69970703125,2.3999999463558197,0.0,0.0,2053.5000610351562,255.0,255.0,True,0.009584269224709821,-0.2367771921472179,0.0002345125288615924,True,0.0,False,False,False,False,50.0,enpitsu,76561198039309853,24,52.5099983215332,127.83999633789062,89.0,-10254.000244140625,-9626.599731445312,551.3999938964844,3914.7000122070312,-2394.1000366210938,-3032.0001220703125,255.0,128.0,,0.932097988639867,-2.275959139029722,-0.17781263517724638,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-2736.85009765625,4144.509765625,17.010000228881836,-17404.200439453125,4783.299865722656,2.3000000417232513,1.0000000149011612,-0.29999999329447746,1824.2999267578125,255.0,255.0,,0.00958187599779249,2.925002759774044,0.00013583040774532888,True,0.0,False,False,False,False,
1,255,3.0,False,False,1,4509.834104449136,3927.4599609375,1801.010009765625,129.3800048828125,-15065.2001953125,20819.3994140625,5395.7000732421875,1993.3000183105469,4835.899963378906,2939.4000244140625,1.0,0.5983678225695551,-0.5380696365093196,-0.12243830115162174,bf81d8692db,games5425898691,19.0,4054.68994140625,1685.949951171875,153.58999633789062,-1204.000015258789,20572.19970703125,-4796.499938964844,-4081.0000610351562,-961.8000030517578,3259.4000244140625,255.0,255.0,,-0.3110085010737602,1.427217029737906,-1.1630180249975623,True,136.93643882454083,True,False,False,False,,76561198039309853,enpitsu,24.0,2606.840087890625,349.7099914550781,17.049999237060547,9539.500122070312,-9833.400268554688,2.7000001072883606,-5.5000001192092896,5.899999737739563,1166.6000366210938,255.0,128.0,,-0.016733088490030565,-2.3829065487325223,6.051006729322177e-05,True,0.0,False,False,2,2,,TerraMW,76561198156643344,4,-3797.739990234375,670.780029296875,16.239999771118164,8396.199951171875,13284.3994140625,-137.7999973297119,-103.19999694824219,-1019.8999786376953,-1941.1000061035156,255.0,28.0,False,-0.013043112182397773,2.211471224121962,0.0015167438529581207,True,204.85083033961638,True,4,False,4,,:(,76561198054434500,11.0,-505.8500061035156,4688.3798828125,17.010000228881836,14421.500244140625,5812.39990234375,2.0999999344348907,-0.19999999552965164,-0.3999999910593033,6.600000262260437,128.0,128.0,False,-0.009681162154769742,2.757664420170306,4.052364145613316e-05,True,243.0,False,4,4,False,
2,299,4.0,False,False,0,10136.457176286682,-1612.25,-4971.1201171875,187.9199981689453,2490.8999633789062,6222.60009765625,6974.6002197265625,1833.3999633789062,3085.7000732421875,-4807.900085449219,0.0,0.8321212859162053,2.693696815893235,-1.8626360439210776,76561198054434500,:(,11.0,-1594.1099853515625,-5067.0498046875,69.62000274658203,-13641.8994140625,-94.89999771118164,234.3000030517578,-370.29998779296875,-1584.9000549316406,-1392.7999877929688,187.0,0.0,,0.016581256861147108,-3.134306751498077,0.8989132274897632,True,233.0,False,False,4,4,,76561198156643344,TerraMW,4.0,1339.5,-2742.760009765625,16.989999771118164,-19294.89990234375,489.59999084472656,4.799999892711639,-0.09999999776482582,-0.09999999776482582,-2003.9999389648438,255.0,0.0,,0.00958782879593649,3.0404117212691335,-4.713174230235679e-06,True,169.0,False,False,4,4,,enpitsu,76561198039309853,24,-3490.72998046875,-285.8599853515625,17.049999237060547,4949.2999267578125,-8097.80029296875,2.5999999046325684,0.19999999552965164,-0.9000000357627869,11.90000057220459,255.0,128.0,,0.016702694712791767,-1.020490417575207,-8.08564122783458e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-1606.260009765625,-2178.97998046875,17.010000228881836,12634.300537109375,14743.900146484375,2.0000000298023224,0.3999999910593033,0.7000000029802322,20.09999990463257,255.0,128.0,,0.009582918093412988,0.865034707852653,-7.39323095705887e-05,True,173.0,False,False,False,False,
3,350,6.0,False,False,0,9007.155803617534,-1162.9200439453125,-3863.199951171875,359.4200134277344,17287.7001953125,5218.599853515625,3207.9998779296875,424.90001678466797,-5086.099853515625,-3154.4000244140625,0.0,0.9509960327685374,-0.8457196632768345,-0.23171114056968253,76561198054434500,:(,11.0,-1281.3499755859375,-3849.22998046875,280.3699951171875,14683.199462890625,9361.300048828125,1834.1999816894531,-395.6999969482422,5304.1998291015625,-1399.2999267578125,216.0,232.0,False,0.5080211211043203,-0.37250503753691966,-0.16169410192902417,True,173.0,False,4,4,6,,76561198156643344,TerraMW,3.0,-609.7000122070312,-3041.580078125,16.989999771118164,-736.9000244140625,-15109.7998046875,4.799999892711639,0.0,0.3999999910593033,2032.7000427246094,255.0,255.0,,0.009590240976008354,-1.5545576725196426,3.208992142777746e-05,True,118.0,False,False,4,4,,enpitsu,76561198039309853,24,-1745.25,-1996.9000244140625,17.049999237060547,17223.199462890625,-10635.699462890625,3.3000001311302185,-0.3999999910593033,0.0,2226.0000610351562,255.0,255.0,False,0.016797996302497654,-0.4775851479927975,0.00023607607734769568,True,162.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-180.60000610351562,-805.9400024414062,17.010000228881836,10842.39990234375,-2742.9000854492188,2.0999999344348907,-1.0999999940395355,0.19999999552965164,473.4000015258789,255.0,128.0,,0.009543278454586173,-0.20628350342276447,-0.00017969473480474813,True,173.0,False,False,False,False,
4,388,7.0,False,False,0,8542.850992179943,1231.989990234375,-3133.570068359375,163.80999755859375,12100.899658203125,21131.8994140625,1995.3999328613281,2421.699981689453,796.5000152587891,-5431.400146484375,0.0,0.012351132066515676,-1.391989671340085,1.5241925593365373,76561198156643344,TerraMW,3.0,1183.9599609375,-3365.89990234375,61.93000030517578,8560.800170898438,17303.399658203125,3025.1998901367188,-1274.1999816894531,-1735.2000427246094,2788.5000610351562,255.0,255.0,,0.009710535782411139,0.9594281497204108,-0.017297251856602282,True,50.0,False,False,5,6,,76561198054434500,:(,11.0,920.8499755859375,-2471.510009765625,20.239999771118164,19459.599609375,9535.599975585938,-346.89998626708984,1708.2000732421875,304.7999954223633,-1504.7999572753906,255.0,0.0,False,0.06917176908805218,0.4386844494290637,-0.08743460142024016,True,126.03405580982084,True,4,6,4,,enpitsu,76561198039309853,24,548.9199829101562,-1469.1300048828125,17.049999237060547,15342.19970703125,5239.000244140625,3.0000001192092896,-1.4000000059604645,-0.3999999910593033,1827.5999450683594,255.0,128.0,False,0.016777375056430135,0.36995536074582036,0.00018103484314054108,True,144.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,1550.1199951171875,-2402.22998046875,19.479999542236328,7129.4000244140625,-21548.40087890625,2959.2001342773438,0.0,-0.29999999329447746,-1943.2000732421875,255.0,0.0,,0.009583260500811321,-1.3255181021362534,-4.1048286220216735e-05,True,71.0,False,3,False,False,
5,436,9.0,False,False,1,6735.703432405544,-3206.2900390625,-202.3699951171875,124.22000122070312,-10449.69970703125,-102.5,3786.9000244140625,141.30000114440918,-2943.0999755859375,-5198.699951171875,1.0,0.6128987964177326,-0.2718518815708177,1.956796258148447,76561198039309853,enpitsu,24.0,-3251.110107421875,-361.44000244140625,71.43000030517578,-16279.69970703125,-6665.5999755859375,2274.7000122070312,2524.7999572753906,2393.0999755859375,-4260.0,0.0,0.0,False,0.1360031897222343,0.16602778535388835,-0.1376642100911546,True,80.0,False,False,2,4,,bf81d8692db,games5425898691,19.0,-2497.60009765625,5045.169921875,50.810001373291016,-6126.099853515625,-3584.2001342773438,-2829.2001342773438,-3581.7999267578125,-1347.2000122070312,1294.6000671386719,255.0,231.0,,-0.38282463616715356,-0.6147521636682661,-0.5684946057898408,True,71.0,False,False,4,False,,TerraMW,76561198156643344,3,-3183.860107421875,304.3299865722656,158.52999877929688,-14774.89990234375,-17350.10009765625,2450.800018310547,13.200000524520874,-9.700000286102295,-605.099983215332,255.0,233.0,,-0.01829236953065878,-0.3720337051540075,-0.004643798234495335,True,0.0,False,8,False,6,,:(,76561198054434500,11.0,-3540.360107421875,1527.199951171875,16.989999771118164,7112.0001220703125,-16693.1005859375,4.699999988079071,0.09999999776482582,-0.0,1986.3999938964844,194.0,255.0,False,-0.009576138971621804,-2.0469204101364507,7.782939303907286e-06,True,135.0,False,6,4,4,
6,443,9.0,False,False,0,6562.318849435032,3437.89990234375,212.38999938964844,191.27000427246094,1400.2000427246094,14204.3994140625,1473.0000305175781,-1736.6000366210938,2411.0000610351562,5212.5,0.0,-0.033068140448200334,-0.7612278122202543,1.7213427175202654,76561198156643344,TerraMW,3.0,3568.1298828125,143.38999938964844,199.52999877929688,15109.69970703125,16183.800048828125,848.1999969482422,711.9999694824219,899.4999694824219,5379.000244140625,255.0,255.0,,0.05675617354763182,0.5627843408288947,0.011112573921270952,True,0.0,False,False,6,8,,76561198054434500,:(,11.0,3369.159912109375,-1268.3699951171875,16.989999771118164,-11964.200439453125,12821.300048828125,4.699999988079071,-0.19999999552965164,0.0,1968.9999389648438,188.0,255.0,False,0.009572446031219503,2.393008454042828,-2.1660482543953162e-05,True,135.0,False,4,6,4,,enpitsu,76561198039309853,24,3535.080078125,478.45001220703125,100.4800033569336,16189.100341796875,6712.7001953125,1088.499984741211,-1558.2000732421875,-3997.39990234375,-3441.199951171875,128.0,0.0,False,-0.7808760349226656,-0.9370944667579619,-0.0692937949920278,True,80.0,False,4,False,2,,games5425898691,bf81d8692db,19.0,2604.43994140625,-4952.9501953125,17.690000534057617,6217.19970703125,6493.499755859375,-710.9999847412109,1971.300048828125,806.2000274658203,58.80000114440918,255.0,128.0,,0.028977530978696632,0.8602486240752175,-0.07487666524502523,True,71.0,False,4,False,False,
7,494,11.0,False,False,0,5275.921848534655,3691.75,2534.639892578125,108.01000213623047,-8409.299926757812,11731.800537109375,3141.400146484375,-2567.6998901367188,1750.2000427246094,5132.5,0.0,0.17778872241671642,-1.8334304607137046,2.68521787302396,76561198156643344,TerraMW,3.0,3869.550048828125,2447.56005859375,19.139999389648438,-7589.6002197265625,11834.7998046875,-952.6000213623047,-224.3000030517578,2656.9000244140625,-1886.9999694824219,255.0,0.0,,0.07302486360390416,2.1477514785138867,-0.11523387388027234,True,0.0,False,False,6,8,,76561198054434500,:(,11.0,598.8499755859375,679.4500122070312,97.70999908447266,-15246.8994140625,16975.899658203125,-344.39998626708984,-4158.599853515625,-2729.7000122070312,-280.79999923706055,219.0,152.0,False,-1.2202545110276506,2.8209595475237434,-0.6651833468481748,True,128.0,False,4,8,6,,enpitsu,76561198039309853,24,3807.389892578125,2961.300048828125,664.5499877929688,-1472.5,14145.50048828125,-2016.6000366210938,470.60001373291016,4594.89990234375,-788.7000274658203,0.0,0.0,False,1.1904257127255538,-0.7183553299094626,1.06884507131402,True,80.0,False,4,False,2,,games5425898691,bf81d8692db,19.0,2785.6298828125,-1808.25,17.0,-3859.2999267578125,22660.90087890625,3.3000001311302185,-0.3999999910593033,3.1999999284744263,734.1999816894531,255.0,236.0,,0.009596800348747306,1.7432474117003993,7.141707456394769e-05,True,163.0,False,4,False,False,
8,525,12.0,True,True,0,3885.3724413150517,2762.5400390625,3831.8701171875,115.05000305175781,-19837.099609375,11700.400390625,2299.199981689453,-3791.199951171875,1763.800048828125,-4302.900085449219,0.0,-0.26090718029820165,-1.5616638889533359,3.026410021245878,76561198156643344,TerraMW,3.0,2942.39990234375,3760.110107421875,61.900001525878906,-16351.8994140625,4445.799865722656,3022.60009765625,891.3999938964844,-2087.5,2525.0,255.0,255.0,,0.0402086856118899,2.678402121509258,-0.011928321647741828,True,0.0,False,False,7,10,,76561198054434500,:(,11.0,-1138.6099853515625,2647.02001953125,17.010000228881836,-7329.6002197265625,19417.7001953125,2.3000000417232513,-2.3000000417232513,1.1999999731779099,-1733.800048828125,89.0,76.0,False,0.009641338824004435,1.8673194029788764,-9.509027215414389e-05,True,128.0,False,4,8,6,,enpitsu,76561198039309853,24,3478.860107421875,4529.89013671875,203.74000549316406,-8716.699829101562,13131.300048828125,-4139.4000244140625,2350.7000732421875,-4383.999938964844,2346.1000061035156,255.0,255.0,False,-0.17174781120788843,2.310714420047634,-0.6073678775394135,True,4.816344053514541,True,4,False,2,,games5425898691,bf81d8692db,19.0,2123.010009765625,812.27001953125,56.22999954223633,-5747.7001953125,22184.599609375,-1950.7000732421875,-2123.8999938964844,-711.9999694824219,7.699999809265137,255.0,128.0,,-0.42186358816656727,1.8926221677795567,0.004334460811857583,True,159.8973074548988,True,6,4,False,
9,818,14.0,False,False,0,5064.662166144096,-56.72999954223633,145.36000061035156,100.33000183105469,-18515.899658203125,24488.60107421875,1716.9999694824219,1282.7999877929688,91.99999809265137,4498.0999755859375,0.0,-0.001963422278460366,-0.21203186878445396,0.016370958592748692,76561198054434500,:(,11.0,-9.869999885559082,-18.670000076293945,93.44999694824219,-4542.0001220703125,13609.100341796875,2248.0999755859375,2309.499969482422,-3864.2999267578125,3159.5999145507812,255.0,255.0,True,0.18116092397804665,1.5629232059823166,-0.9770479680010686,True,33.0,False,False,5,6,,76561198156643344,TerraMW,3.0,3205.14990234375,-4111.64990234375,17.010000228881836,17536.99951171875,-236.90000534057617,2.5999999046325684,-0.9000000357627869,-0.09999999776482582,2776.7999267578125,255.0,255.0,False,0.009599496959391792,0.1323634520741644,0.0001226092969966754,True,255.0,False,False,False,False,,enpitsu,76561198039309853,24,-0.28999999165534973,296.739990234375,98.05000305175781,165.59999465942383,-22945.6005859375,-85.69999694824219,5499.7998046875,39.700000286102295,0.0,255.0,128.0,,1.532183935969431,-1.5631794716340237,0.0004036923730177211,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,2954.909912109375,4380.33984375,17.010000228881836,2700.7000732421875,16696.700439453125,2.3000000417232513,0.0,0.0,1986.9999694824219,255.0,255.0,,0.00958445260503657,1.4803630546225433,-5.9879282524937095e-06,True,255.0,False,False,False,False,
