,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,175,0,False,False,0,5175.137529245536,13.449999809265137,45.400001525878906,93.37000274658203,10276.800537109375,26992.5,1075.2999877929688,-844.1999816894531,291.8000030517578,5933.0999755859375,0.0,0.006331793740125355,0.11096723425727724,-0.015452755181046775,76561198202334069,lukethesky,5.0,-44.93000030517578,-118.55000305175781,75.9000015258789,6543.800048828125,19148.699951171875,2821.199951171875,2594.8001098632812,3870.5999755859375,-2921.400146484375,255.0,0.0,True,-0.020647805814325345,1.3845987230505479,0.27867873682608124,5,17.41360838695238,True,6,False,True,,76561198072514579,mognes,7.0,0.0,-4828.18994140625,17.010000228881836,0.0,5398.4002685546875,2.199999988079071,-0.7999999821186066,0.0,0.0,255.0,,,0.009391819022345399,1.5707878295104034,-3.9981008938747724e-08,True,False,False,False,116.0,False,,enpitsu,76561198039309853,29,-8.069999694824219,380.75,111.68000030517578,-150.600004196167,-22916.99951171875,172.60000228881836,5499.7998046875,-36.09999895095825,-0.09999999776482582,255.0,128.0,,1.3950249770851457,-1.5776339669918356,-0.00025539233329586493,True,2,False,1,31.0,False,,games5425898691,bf81d8692db,20.0,-2787.02001953125,3945.68994140625,17.010000228881836,-17640.0,10489.100341796875,2.3999999463558197,-0.7999999821186066,0.09999999776482582,1337.4000549316406,128.0,255.0,0.009619871504017328,2.6228797549921614,0.00022153654714105446,True,False,0.0,False,False,False,,
1,338,5,True,True,0,3066.3989455089118,1226.3399658203125,2926.75,542.22998046875,-16599.100341796875,23908.40087890625,-5427.8997802734375,-1429.9000549316406,-4856.300048828125,-322.79998779296875,0.0,0.09065735202964885,-2.4304899127509416,-0.6916876857818772,76561198072514579,mognes,7.0,1358.8399658203125,2738.050048828125,514.1199951171875,-7646.5997314453125,21598.89892578125,-2002.7999877929688,2513.0999755859375,-3296.6000366210938,-996.2999725341797,128.0,241.0,True,-0.4861847860860826,2.391448222454907,-0.7692880040689964,False,108.0,False,4,4,True,,76561198202334069,lukethesky,5.0,1875.3299560546875,1161.8800048828125,17.010000228881836,-5648.800048828125,-12905.6005859375,2.3000000417232513,0.0,0.0,-837.5,255.0,61.0,False,0.00958889674030585,-1.992174731465546,-0.00010802692489161757,True,6,False,6,255.0,False,,enpitsu,76561198039309853,29,-2847.830078125,2069.580078125,17.850000381469727,5730.999755859375,17602.7001953125,-1127.6000213623047,840.5000305175781,-269.89999771118164,0.0,255.0,128.0,,0.07344891489909496,1.2560864474411266,-0.00019548124430825901,True,6,False,6,255.0,False,,games5425898691,bf81d8692db,21.0,1369.1400146484375,3034.050048828125,514.4000244140625,2100.2999877929688,-14135.899658203125,13.700000047683716,-1413.0999755859375,-3833.699951171875,3681.7001342773438,255.0,0.0,-0.7794502614621704,-1.4056158115135606,-3.0950283217543264,True,4,102.79311840764944,True,3,False,,
2,619,7,False,False,0,5197.899192484574,29.6200008392334,25.18000030517578,107.16999816894531,19026.300048828125,14977.19970703125,7632.5,3921.400146484375,-4517.39990234375,463.8999938964844,0.0,-0.07651351897316197,0.005318570626079953,0.06607858172240191,76561198072514579,mognes,7.0,-121.47000122070312,-89.63999938964844,17.010000228881836,13701.600341796875,14018.00048828125,2.3000000417232513,0.3999999910593033,0.5000000074505806,-1698.0999755859375,255.0,6.0,,0.00956778793922367,0.7566463259296459,-0.000162142603437799,False,0.0,False,False,False,True,,76561198202334069,lukethesky,5.0,0.0,-4661.72998046875,17.010000228881836,0.0,5266.099853515625,2.3999999463558197,-0.7999999821186066,0.0,0.0,255.0,,,0.009422337250361307,1.5707879730550718,-3.971379655246247e-08,True,False,False,False,116.0,False,,enpitsu,76561198039309853,29,0.0,2705.830078125,17.049999237060547,0.0,-11415.899658203125,2.8999999165534973,-0.7999999821186066,0.0,0.0,255.0,,,0.01677723478325004,-1.5707751159724168,1.7821409641411384e-07,True,False,False,False,146.0,False,,games5425898691,bf81d8692db,20.0,117.0,386.8399963378906,88.58999633789062,-976.6000366210938,-22657.099609375,2372.2999572753906,5367.39990234375,1188.0999755859375,169.69999313354492,128.0,182.0,0.6474389470739088,-1.6969677933701757,-0.1906517924136266,True,4,0.0,False,3,False,,
3,621,7,False,False,1,5340.798201052581,-156.77000427246094,-96.01000213623047,161.8699951171875,-21599.29931640625,23443.40087890625,13125.30029296875,3366.099853515625,373.1999969482422,4952.699890136719,1.0,0.34332997740615473,-0.17309710886651078,0.19026573788848988,bf81d8692db,games5425898691,20.0,-108.81999969482422,-202.86000061035156,102.2699966430664,713.3999633789062,18481.300048828125,-58.89999866485596,-1405.3999328613281,-2177.5,4851.000061035156,128.0,205.0,,-1.136116095659938,2.0262159285870704,-0.7069296551440828,3,0.0,False,4,False,True,,76561198039309853,enpitsu,29.0,-0.0,-2628.679931640625,17.049999237060547,-0.0,11691.400146484375,2.8999999165534973,0.7000000029802322,-0.0,0.0,255.0,,,-0.01677723478325004,1.5707751159724168,1.7821409641411384e-07,True,False,False,False,146.0,False,,mognes,76561198072514579,7,13.449999809265137,-2.049999952316284,16.1200008392334,-13918.800048828125,-9753.900146484375,125.29999732971191,262.8000068664551,-12.400000095367432,-2437.2000122070312,255.0,6.0,,0.0004150121543577133,-0.5119103272917275,0.01336981666132463,True,False,False,False,0.0,False,,lukethesky,76561198202334069,5.0,-0.019999999552965164,4613.89990234375,17.010000228881836,-10.700000524520874,-6114.5001220703125,2.3999999463558197,0.7999999821186066,0.09999999776482582,-28.900001049041748,255.0,124.0,-0.009429968520738616,-1.570208340053571,4.857143645428751e-06,True,False,116.0,False,False,False,,
4,725,10,False,False,0,9010.821467692604,240.67999267578125,-3798.840087890625,248.44000244140625,-11008.599853515625,10875.699462890625,4451.099853515625,2255.500030517578,-2604.2001342773438,4912.200012207031,0.0,0.6369442463638179,-1.9126952070848438,0.9926966876517003,76561198202334069,lukethesky,5.0,265.6000061035156,-3886.030029296875,79.70999908447266,-10426.199951171875,9319.299926757812,3059.7000122070312,-3285.7998657226562,-3856.300048828125,17.899999618530273,0.0,125.0,,-0.14989688642935536,-0.7246810210342632,0.0011611018336795682,3,116.0,False,4,False,True,,76561198072514579,mognes,7.0,3330.590087890625,-2922.199951171875,17.0,-8901.900024414062,-20248.499755859375,3.400000035762787,0.0,0.5000000074505806,-83.59999656677246,255.0,,,0.009573432942928336,-1.9939603290069898,6.619286685621457e-05,True,False,False,False,213.0,False,,enpitsu,76561198039309853,29,440.989990234375,885.719970703125,17.049999237060547,-11673.900146484375,7836.199951171875,3.3000001311302185,-2.3000000417232513,1.2999999523162842,1234.8999786376953,255.0,255.0,,0.016747819360192057,2.5468236165637452,0.0002784438173742595,True,False,False,False,105.0,False,,games5425898691,bf81d8692db,20.0,1513.489990234375,-2130.0,17.010000228881836,-8987.2998046875,9444.500122070312,2.3999999463558197,-3.1999999284744263,3.4999999403953552,-1574.7000122070312,255.0,,0.009562161857835528,2.2560804389474374,5.742052531482631e-05,True,4,61.0,False,4,False,,
5,775,12,False,False,0,7079.698951258457,-1688.969970703125,-1895.1500244140625,145.74000549316406,-9993.699951171875,19407.2998046875,900.8000183105469,1061.8000030517578,-4315.400085449219,-984.5999908447266,0.0,0.6007524253741048,2.351633447185737,1.3708731280076831,76561198202334069,lukethesky,5.0,-1633.239990234375,-2120.7099609375,116.73999786376953,-12372.39990234375,14546.500244140625,201.5999984741211,-4190.0,-3562.7999877929688,0.5999999865889549,0.0,128.0,,-1.384633902811607,-0.8654398183124228,-0.0006703181012219539,5,116.0,False,6,False,True,,76561198072514579,mognes,7.0,650.1799926757812,-4987.4501953125,17.0,-13567.2998046875,-9001.099853515625,3.6000001430511475,-0.9000000357627869,-0.7000000029802322,-1785.8999633789062,128.0,1.0,,0.009594851984883438,-2.5972606259664497,-0.00016185921000631747,True,False,False,False,244.0,False,,enpitsu,76561198039309853,29,-1787.43994140625,-1064.47998046875,70.13999938964844,-3373.5000610351562,-22435.80078125,3775.2999877929688,0.19999999552965164,-0.19999999552965164,53.29999923706055,128.0,0.0,,0.016864936750953245,-1.7074377108991339,-7.574902199405813e-05,True,2,False,False,4.0,False,,games5425898691,bf81d8692db,20.0,-1212.72998046875,-689.8099975585938,15.850000381469727,-17986.600341796875,4247.0001220703125,136.09999656677246,72.30000019073486,61.39999866485596,1157.3999786376953,255.0,255.0,0.014946868651335656,2.921689591843124,0.004662333756163055,True,6,61.0,False,6,False,,
6,781,12,False,False,1,3568.236813519893,1855.0400390625,1703.06005859375,167.47000122070312,-939.4000244140625,26004.89990234375,3748.699951171875,-1328.3000183105469,318.8999938964844,5842.39990234375,1.0,-0.5147340354202463,-1.2832502992373027,0.44144095045917775,76561198039309853,enpitsu,29.0,1875.6700439453125,1530.5699462890625,147.80999755859375,10906.500244140625,13672.7001953125,2693.3999633789062,3402.9000854492188,2733.900146484375,3345.7998657226562,128.0,0.0,,0.28967216232660054,1.509709237202188,0.07733750200141543,1,4.0,False,2,False,True,,bf81d8692db,games5425898691,20.0,1680.52001953125,665.8099975585938,17.010000228881836,17849.200439453125,2391.199951171875,2.5,-2.5,-2.0999999344348907,735.0,255.0,129.0,,-0.009695741562893594,2.953070608197925,-0.00012919663545076087,True,6,False,6,61.0,False,,mognes,76561198072514579,7,-285.29998779296875,5122.490234375,17.0,15237.2998046875,1757.1000671386719,3.6000001430511475,-0.09999999776482582,-0.0,-2061.4999389648438,233.0,1.0,,-0.009556506309586087,3.0924456574583603,2.4422847751139356e-05,True,False,False,False,244.0,False,,lukethesky,76561198202334069,5.0,1950.550048828125,1782.969970703125,113.25,13274.599609375,-9816.199951171875,-262.99999237060547,3892.0999145507812,3650.4000854492188,1332.4000549316406,37.0,128.0,-0.027438685182404398,-2.3019458659113083,3.022749786569465,True,6,116.0,False,5,False,,
7,782,12,False,False,0,6947.896577744068,-1834.5,-1744.219970703125,191.91000366210938,11449.7998046875,-5895.2001953125,8668.099975585938,4172.200012207031,1676.199951171875,-3972.60009765625,0.0,0.3255391789129661,1.1923135205383124,0.6017880461746485,76561198202334069,lukethesky,5.0,-1950.550048828125,-1782.969970703125,113.25,-13274.599609375,9816.199951171875,-262.99999237060547,-3892.0999145507812,-3650.4000854492188,1332.4000549316406,37.0,128.0,,0.027438685182404398,2.3019458659113083,3.022749786569465,5,116.0,False,6,False,True,,76561198072514579,mognes,7.0,285.29998779296875,-5122.490234375,17.0,-15237.2998046875,-1757.1000671386719,3.6000001430511475,0.09999999776482582,0.0,-2061.4999389648438,233.0,1.0,,0.009556506309586087,-3.0924456574583603,2.4422847751139356e-05,True,False,False,False,244.0,False,,enpitsu,76561198039309853,29,-1875.6700439453125,-1530.5699462890625,147.80999755859375,-10906.500244140625,-13672.7001953125,2693.3999633789062,-3402.9000854492188,-2733.900146484375,3345.7998657226562,128.0,0.0,,-0.28967216232660054,-1.509709237202188,0.07733750200141543,True,2,False,1,4.0,False,,games5425898691,bf81d8692db,20.0,-1680.52001953125,-665.8099975585938,17.010000228881836,-17849.200439453125,-2391.199951171875,2.5,2.5,2.0999999344348907,735.0,255.0,129.0,0.009695741562893594,-2.953070608197925,-0.00012919663545076087,True,6,61.0,False,6,False,,
8,858,15,False,False,0,8596.283019788194,1231.47998046875,-3188.860107421875,104.91000366210938,12834.100341796875,21003.20068359375,1863.9999389648438,2847.2000122070312,1318.699951171875,-2972.7999877929688,0.0,1.280226599123326,-0.9094985250706393,3.053609660581336,76561198072514579,mognes,7.0,1127.0999755859375,-3460.610107421875,17.0,10779.7998046875,13335.999755859375,1.0000000149011612,3.3000001311302185,4.300000071525574,-697.6000213623047,255.0,128.0,False,0.009562515092729538,0.8639531978363335,-0.00011226330382205738,False,199.9071485893701,True,False,False,True,,76561198202334069,lukethesky,5.0,-3567.929931640625,-115.87999725341797,17.010000228881836,4830.799865722656,4621.400146484375,2.800000011920929,-0.09999999776482582,-0.19999999552965164,2489.499969482422,255.0,255.0,False,0.009524444208939518,0.7829686546388757,1.5398508443314327e-05,True,6,False,6,255.0,False,,enpitsu,76561198039309853,29,-2356.31005859375,-4417.7998046875,17.059999465942383,11090.799560546875,5912.9998779296875,2.199999988079071,0.09999999776482582,0.0,2345.8999633789062,255.0,255.0,,0.0167349127384343,0.552954347611506,-2.383039850968648e-05,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,20.0,-469.260009765625,-1543.3399658203125,87.62000274658203,15289.49951171875,10237.100219726562,-139.7000026702881,-4031.400146484375,3735.8999633789062,200.20000457763672,255.0,128.0,-1.3756778718227078,-1.224758185675515,2.052707659475072,True,8,92.0,False,8,False,,
9,924,18,False,False,0,6242.50383394656,3951.75,1207.0400390625,137.17999267578125,6023.699951171875,13374.599609375,5540.0,-4660.5999755859375,3268.699951171875,-1895.5999755859375,0.0,0.15066170991363007,-2.6874084889696666,-0.6906684483344958,76561198072514579,mognes,7.0,3875.320068359375,948.0800170898438,21.469999313354492,3490.10009765625,21985.70068359375,648.7000274658203,263.1999969482422,-1267.300033569336,-1024.7000122070312,255.0,1.0,False,-0.0248612972511496,1.405657549857481,-0.13774166289364875,4,135.0,False,4,False,True,,76561198202334069,lukethesky,5.0,-1498.760009765625,391.760009765625,17.010000228881836,10232.7001953125,7647.39990234375,2.7000001072883606,0.09999999776482582,0.19999999552965164,2840.5999755859375,255.0,255.0,True,0.009567872511659877,0.7815335003136964,7.312798749373009e-05,True,6,False,6,255.0,False,,enpitsu,76561198039309853,29,-908.6199951171875,-447.54998779296875,99.86000061035156,3139.5999145507812,22700.10009765625,-167.60000228881836,-5490.10009765625,327.79998779296875,20.899999141693115,255.0,128.0,,1.0669764207794892,-1.6373468203470636,3.133692660833209,True,6,False,5,255.0,False,,games5425898691,bf81d8692db,20.0,2415.97998046875,2636.389892578125,16.989999771118164,8362.999877929688,21038.1005859375,4.799999892711639,0.0,-0.19999999552965164,-21.30000114440918,255.0,128.0,0.009595440146368346,1.189740334175904,3.7469322172079226e-05,True,8,47.0,False,8,False,,
