,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,167,0.0,False,False,1,5175.444943349055,27.780000686645508,37.900001525878906,93.44999694824219,18015.899658203125,21848.798828125,1309.9000549316406,-604.5999908447266,484.90001678466797,5949.69970703125,1.0,0.011475075673579749,-0.13049919124033924,0.012533781036617791,2319995250763482971,KazZ-_-op,8.0,-90.20999908447266,-127.05000305175781,67.95999908447266,18733.299560546875,13029.000244140625,2848.699951171875,965.2999877929688,4239.4000244140625,284.3000030517578,255.0,0.0,,-0.04774788580656408,2.015713607366904,0.05853453521334298,True,0.0,False,6,5,False,,2472213069813468964,Mxrgan-_-45,9.0,2581.18994140625,-4211.85009765625,17.010000228881836,17501.099853515625,-3002.0999145507812,2.3000000417232513,-0.3999999910593033,-0.0,1931.3999938964844,255.0,255.0,,-0.009590624612230016,-3.0371599140991536,3.357284653007931e-05,True,False,False,False,0.0,False,,enpitsu,76561198039309853,27.0,-32.970001220703125,3659.22998046875,17.049999237060547,211.10000610351562,-11915.899658203125,-1.899999976158142,0.9000000357627869,-0.0,0.0,255.0,128.0,False,-0.016663480089824646,-1.5885324253769126,2.751014002575358e-06,True,72.08892043431597,True,False,False,False,,games5425898691,bf81d8692db,21.0,208.9199981689453,429.6700134277344,79.0,-5638.2000732421875,-22105.2001953125,2291.6000366210938,4763.599853515625,-2747.39990234375,97.79999732971191,128.0,89.0,,-0.5931282416114949,-1.5090314718979947,0.2890426053629562,True,0.0,False,4,3,False,
1,170,0.0,False,True,0,5322.089777588112,-152.57000732421875,-129.91000366210938,128.10000610351562,-333.6000061035156,21269.49951171875,7342.7001953125,5174.1998291015625,-2700.0,1391.7999267578125,0.0,-0.39789194002268174,0.528448667149473,0.28094754128143684,bf81d8692db,games5425898691,21.0,-169.33999633789062,-260.2799987792969,91.0,3540.5999755859375,18047.60009765625,339.39998626708984,-4698.500061035156,1500.7000732421875,2433.300018310547,128.0,105.0,,1.1590202071948346,2.2431430641473225,0.9300978062571206,True,0.0,False,4,3,False,,76561198039309853,enpitsu,27.0,31.1200008392334,-3554.85009765625,17.049999237060547,-230.49999237060547,13010.699462890625,-1.899999976158142,-0.7000000029802322,0.0,0.0,255.0,128.0,False,0.016693998215882074,1.5885321764091391,3.019584660831272e-06,True,False,False,False,62.75303242539843,True,,Mxrgan-_-45,2472213069813468964,9.0,-2727.320068359375,4224.0400390625,17.010000228881836,-17493.800048828125,193.60000610351562,2.3000000417232513,0.29999999329447746,-0.09999999776482582,1951.7999267578125,255.0,255.0,,0.009578507809946936,-3.0839401384134137,4.411580401988639e-05,True,0.0,False,False,False,False,,KazZ-_-op,2319995250763482971,8.0,-51.560001373291016,37.09000015258789,89.87000274658203,-17114.7998046875,-11005.30029296875,2379.2999267578125,-2109.7999572753906,-5065.299987792969,374.7999954223633,255.0,0.0,,-0.05171208560574659,-2.0719710401206504,0.6174583594034607,True,0.0,False,6,5,False,
2,171,0.0,False,False,1,5061.241890456247,265.3699951171875,118.19999694824219,201.4199981689453,22613.89892578125,57.69999980926514,10824.89990234375,3290.8999633789062,-149.49999809265137,-399.00001525878906,1.0,0.5415594062595931,-0.7341231571718058,0.37471789745510137,2319995250763482971,KazZ-_-op,8.0,181.5500030517578,-3.490000009536743,104.76000213623047,13107.60009765625,-481.19998931884766,415.9000015258789,4154.599914550781,3486.9000244140625,911.2000274658203,255.0,0.0,,0.438998425999018,2.0813088708685927,1.281045014021118,True,0.0,False,6,5,False,,2472213069813468964,Mxrgan-_-45,9.0,2885.409912109375,-4210.39990234375,17.010000228881836,16954.69970703125,2872.9998779296875,2.3000000417232513,-0.29999999329447746,-0.0,1968.800048828125,255.0,255.0,,-0.00957510420818087,2.904194829008538,2.814813702795541e-05,True,False,False,False,0.0,False,,enpitsu,76561198039309853,27.0,-28.479999542236328,3406.260009765625,17.049999237060547,252.99999237060547,-14274.200439453125,-1.899999976158142,0.7999999821186066,-0.0,0.0,255.0,128.0,False,-0.01672451503259505,-1.588531927904061,3.2881361962017826e-06,True,59.60782798900395,True,False,False,False,,games5425898691,bf81d8692db,21.0,169.33999633789062,260.2799987792969,91.0,-3540.5999755859375,-18047.60009765625,339.39998626708984,4698.500061035156,-1500.7000732421875,2433.300018310547,128.0,105.0,,-1.1590202071948346,-2.2431430641473225,0.9300978062571206,True,0.0,False,4,3,False,
3,259,3.0,False,False,1,5142.89890099554,2108.52001953125,142.0800018310547,282.0899963378906,-14014.300537109375,-8235.10009765625,-4390.199890136719,2994.7000122070312,-4121.600036621094,-3169.2001342773438,1.0,0.5276250834021406,1.0062893835213194,2.814456201334722,2472213069813468964,Mxrgan-_-45,9.0,2134.10009765625,238.94000244140625,232.22000122070312,-7247.5,-2851.9000244140625,-2185.8999633789062,1587.7999877929688,-4535.7000732421875,2675.0,255.0,255.0,True,0.22211743455984664,1.2522836363952292,2.433610032288591,True,143.0,False,4,3,False,,2319995250763482971,KazZ-_-op,7.0,3881.260009765625,-1130.489990234375,22.15999984741211,-7086.400146484375,-11878.00048828125,-1540.8999633789062,223.99999618530273,1838.3999633789062,-2031.6999816894531,222.0,0.0,,-0.09618572590041267,-0.9504181011002251,0.1855751885223655,True,6,6,False,255.0,False,,enpitsu,76561198039309853,27.0,2093.85009765625,375.57000732421875,264.760009765625,-10548.399658203125,5125.30029296875,980.6999969482422,-36.600000858306885,-5185.999755859375,1831.3999938964844,255.0,0.0,False,-0.1780008601622586,-1.6834687785541982,1.2042593200062417,True,68.0,False,2,False,1,,games5425898691,bf81d8692db,21.0,51.66999816894531,1338.0400390625,81.95999908447266,-2110.8999633789062,15681.099853515625,-675.5000305175781,-4173.599853515625,-562.599983215332,-0.09999999776482582,255.0,128.0,,1.1118280313649977,1.4366859872508855,2.393179635724622e-05,True,31.0,False,6,6,False,
4,329,5.0,False,False,1,6685.0473543785765,-509.2099914550781,-1395.68994140625,121.20999908447266,-14198.1005859375,21121.0009765625,9408.200073242188,5677.7001953125,-1204.4999694824219,1520.5000305175781,1.0,0.5586018018889597,0.640042552321704,-0.014426982821613336,2319995250763482971,KazZ-_-op,7.0,-408.7699890136719,-1633.2900390625,17.010000228881836,-12470.699462890625,19325.6005859375,-0.19999999552965164,2.3999999463558197,-3.799999952316284,-1188.3999633789062,255.0,0.0,,-0.009598886817407379,1.0290176676120346,2.1093358053092993e-05,True,154.4013420433126,True,6,6,False,,2472213069813468964,Mxrgan-_-45,8.0,113.16000366210938,-1104.050048828125,16.989999771118164,-7308.699951171875,-12228.499755859375,4.600000083446503,-0.5000000074505806,-0.7000000029802322,55.19999980926514,255.0,128.0,,-0.009601643082483943,-1.0398666283531242,-0.00010418956883549134,True,4,4,False,161.0,False,21.0,enpitsu,76561198039309853,27.0,-865.3800048828125,214.14999389648438,17.040000915527344,-8834.69970703125,-14750.0,3.8999998569488525,2.3999999463558197,4.300000071525574,778.3999633789062,255.0,0.0,,-0.01678885513980949,-1.0733516233252047,-3.694780338169401e-05,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,-2680.669921875,4090.7900390625,17.010000228881836,-18016.600341796875,1812.5999450683594,2.0999999344348907,-3.799999952316284,0.29999999329447746,704.7000122070312,255.0,255.0,,-0.00959165657888468,0.10141833599557419,6.957965616922485e-05,True,0.0,False,6,6,False,
5,429,9.0,False,False,0,10444.931204085648,2815.830078125,-4623.14013671875,244.32000732421875,8244.299926757812,688.8999938964844,5169.1998291015625,610.9000015258789,-1880.8999633789062,5543.499755859375,0.0,0.0819404960398061,-3.133718030032774,-1.2724337286584284,bf81d8692db,games5425898691,21.0,2656.449951171875,-4654.8798828125,151.41000366210938,5371.5997314453125,-5063.2000732421875,1967.7999877929688,-1229.1999816894531,479.70001220703125,3210.0,255.0,193.0,,-0.2928362242658197,0.37155822385218806,-0.22725716303888668,True,207.0,False,8,6,False,,76561198039309853,enpitsu,27.0,2792.469970703125,-3605.550048828125,17.030000686645508,-13529.300537109375,-18597.19970703125,5.199999809265137,0.0,0.09999999776482582,-0.5000000074505806,128.0,128.0,,0.016780434282334836,-2.1998125012627616,1.2999642514862306e-05,True,2,2,False,172.0,False,,Mxrgan-_-45,2472213069813468964,8.0,3830.2099609375,1913.72998046875,17.489999771118164,-2076.999969482422,-18843.599853515625,-30.299999713897705,26.30000114440918,311.70000076293945,710.8000183105469,255.0,128.0,,0.0125939878501824,-1.6380902873098346,0.022829425926575442,True,255.0,False,4,False,4,,KazZ-_-op,2319995250763482971,7.0,2900.10009765625,-3846.139892578125,232.8000030517578,225.0,-22948.20068359375,1415.5999755859375,3749.89990234375,1894.4000244140625,-3549.4000244140625,0.0,255.0,,-0.6364026809582016,-2.465042667030009,-0.44879918292336546,True,117.0,False,8,7,False,
6,488,11.0,False,False,0,10063.710549498739,3366.85009765625,-3976.27001953125,198.5399932861328,11914.599609375,11897.099609375,6251.6998291015625,-2471.6000366210938,-616.3000106811523,-2749.1000366210938,0.0,-0.0987682169345267,2.9036458440728414,1.6891884086539721,bf81d8692db,games5425898691,21.0,3242.080078125,-4074.239990234375,107.83000183105469,4579.200134277344,12040.999755859375,3229.89990234375,3389.8001098632812,-2139.1000366210938,-1459.7000122070312,255.0,17.0,,-0.2300539922548247,1.15213689562346,-0.007025695927873289,True,147.0,False,10,6,False,,76561198039309853,enpitsu,27.0,397.79998779296875,-5175.77978515625,17.030000686645508,-1428.2000732421875,-1724.1999816894531,5.099999904632568,-0.29999999329447746,-0.7999999821186066,0.0,255.0,128.0,False,0.016723882147859446,0.8790799935750686,7.218185074519808e-05,True,2,2,False,172.0,False,,Mxrgan-_-45,2472213069813468964,8.0,3629.669921875,-799.5700073242188,17.0,313.700008392334,4345.799865722656,3.400000035762787,-0.7999999821186066,0.0,0.0,0.0,128.0,,0.009787491757878396,-1.6429143398655068,5.735938060870734e-06,True,255.0,False,4,False,4,,KazZ-_-op,2319995250763482971,7.0,2264.93994140625,-4840.22998046875,15.569999694824219,-1522.7000427246094,11550.799560546875,263.6000061035156,-227.29999542236328,68.00000190734863,-28.19999933242798,255.0,128.0,,-0.0036558934702363463,1.6996835180169232,-0.006849102219839036,True,95.07686912116182,True,8,8,False,
7,504,12.0,False,False,0,9754.113600209483,3981.75,-3306.909912109375,443.42999267578125,-7023.4002685546875,9065.399780273438,1532.2999572753906,-1424.1999816894531,1071.1000061035156,-5729.1998291015625,0.0,1.145814200590893,1.259661972985852,2.2074805573282483,bf81d8692db,games5425898691,21.0,3837.300048828125,-3443.090087890625,155.63999938964844,11503.499755859375,11767.80029296875,-147.89999961853027,652.5,4959.200134277344,2286.7999267578125,255.0,255.0,,-0.5300515999721478,2.015659526510207,3.1149898751836376,True,147.0,False,10,7,False,,76561198039309853,enpitsu,27.0,452.32000732421875,-5060.43017578125,17.040000915527344,1251.9999694824219,5506.6998291015625,4.300000071525574,0.0,-0.3999999910593033,2177.7000427246094,128.0,128.0,False,0.016641059097614937,1.3083382739294693,8.150164155560608e-05,True,2,2,False,172.0,False,,Mxrgan-_-45,2472213069813468964,8.0,3636.169921875,-680.5499877929688,17.0,-785.5999755859375,-2811.199951171875,3.4999999403953552,0.29999999329447746,0.0,-1458.800048828125,255.0,0.0,,0.009478960776663263,-1.712113619301168,-0.00018138430850604518,True,255.0,False,4,False,4,,KazZ-_-op,2319995250763482971,7.0,2148.27001953125,-3948.169921875,100.6500015258789,-2307.5,17599.3994140625,-159.49999809265137,-5448.3001708984375,-750.8999633789062,39.000000953674316,203.0,128.0,,0.3749856875214573,-1.4366374525664265,3.1339200344823253,True,91.0,False,10,9,False,
8,541,13.0,False,True,1,4921.129040280473,-3024.320068359375,2165.340087890625,138.1199951171875,14776.600341796875,11715.699462890625,10812.099609375,5655.9002685546875,309.4000053405762,-1978.3000183105469,1.0,-1.0271813686501237,1.4977724720549215,1.1228016258157805,2472213069813468964,Mxrgan-_-45,8.0,-3155.179931640625,1982.6099853515625,17.0,4421.600036621094,13663.1005859375,3.6000001430511475,0.3999999910593033,1.4000000059604645,-1822.7999877929688,255.0,0.0,,-0.009596448466104844,1.9122686691217945,-0.0002455285921459173,True,215.0,False,4,4,False,,2319995250763482971,KazZ-_-op,7.0,-1546.9300537109375,1744.6500244140625,17.010000228881836,13798.399658203125,-8673.699951171875,2.3999999463558197,0.19999999552965164,-0.0,2014.9000549316406,185.0,255.0,,-0.00957120424748744,-2.649834881731254,-4.690814322641775e-06,True,10,10,False,122.0,False,,enpitsu,76561198039309853,27.0,-356.510009765625,5186.97021484375,17.040000915527344,439.7999954223633,608.6999893188477,3.799999952316284,-0.7999999821186066,0.9000000357627869,-0.7000000029802322,255.0,0.0,False,-0.01634119272327785,-0.9412699517402454,1.526270219123396e-05,True,172.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,-3793.8798828125,1990.1400146484375,12.920000076293945,13404.100341796875,-2311.199951171875,-95.60000419616699,814.8000335693359,-990.9999847412109,2018.5000610351562,255.0,255.0,,0.017133923792578644,-3.0207958052327597,0.00490061679896401,True,116.0,False,10,8,False,
9,759,21.0,False,False,1,3981.2897416388714,3812.760009765625,2430.169921875,98.01000213623047,-5759.89990234375,-15009.599609375,3191.7001342773438,278.8999938964844,4591.499938964844,-3852.2000122070312,1.0,-0.8550964976484348,2.5324876881361154,2.723545617860743,2319995250763482971,KazZ-_-op,7.0,3929.550048828125,2587.179931640625,37.290000915527344,334.3000030517578,-14483.00048828125,148.50000381469727,145.9000015258789,-228.70000839233398,-341.1000061035156,200.0,2.0,,0.01327692962191586,-1.6361067814872867,0.3799117716990901,True,255.0,False,12,10,4,,2472213069813468964,Mxrgan-_-45,8.0,3745.510009765625,-1213.1099853515625,16.989999771118164,419.7999954223633,-17568.699951171875,4.600000083446503,-0.0,0.5000000074505806,-10.299999713897705,128.0,128.0,False,-0.009651129024106182,-1.5932011499903334,6.234123642894243e-05,True,6,4,4,255.0,False,,enpitsu,76561198039309853,27.0,3786.77001953125,2979.699951171875,17.030000686645508,177.70000457763672,-14057.5,5.199999809265137,-0.0,-7.599999904632568,-1086.500015258789,255.0,128.0,False,-0.016754883986302087,-1.5451045825781036,-7.033178463303784e-05,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,21.0,1848.260009765625,2480.590087890625,17.010000228881836,6540.2001953125,-12369.100341796875,2.3000000417232513,0.5999999865889549,-1.0000000149011612,-2078.300018310547,255.0,0.0,,-0.009579298224462327,-2.0058213189470955,-0.0001410013850334118,True,61.0,False,12,10,False,
