,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,1255,39.0,False,1,4153.813850064692,-1485.97998046875,1737.010009765625,441.8699951171875,8549.500122070312,21563.798828125,-6146.199951171875,497.09999084472656,5956.099853515625,525.9999847412109,1.0,-0.11006844808234857,-2.959441180583777,-3.1244783845943935,bf81d8692db,games5425898691,19.0,-1600.8499755859375,1620.2900390625,394.7699890136719,-1859.7000122070312,15786.199951171875,-759.4999694824219,-5168.599853515625,-341.3999938964844,-1848.699951171875,255.0,38.0,,0.051008127353400164,-2.2306016605152252,-2.7083418737503333,True,0.0,False,14,False,11,,76561198039309853,enpitsu,27.0,-1718.5799560546875,1357.6400146484375,49.119998931884766,4246.300048828125,13640.2001953125,3520.0,-475.2000045776367,206.90000534057617,-2072.100067138672,255.0,128.0,,-0.02966333205377118,2.0419413026860145,-0.0006703833511780109,True,143.63187068508518,True,False,8,7,,♿ DerKrabbo ♿,76561198164411581,8,287.1300048828125,4250.9599609375,17.010000228881836,-3632.39990234375,6993.0999755859375,2.0000000298023224,0.5999999865889549,-0.09999999776482582,1898.0999755859375,255.0,128.0,False,-0.009523561254302471,0.5030686483944437,-0.00011346506977384652,True,147.0,False,20,False,20,,El Rasho Macuin,76561198094309427,9.0,-131.30999755859375,2759.919921875,17.010000228881836,3964.4000244140625,12862.39990234375,1.899999976158142,-0.09999999776482582,-0.7999999821186066,-1.5000000596046448,231.0,128.0,False,-0.00955506072687013,1.870030077401613,7.190013276034066e-05,True,20,4,22,209.0,False,
1,1373,43.0,True,0,5584.192076385817,1424.719970703125,60.880001068115234,284.010009765625,-5646.300048828125,23149.49951171875,5978.4002685546875,2394.7999572753906,5477.9998779296875,505.99998474121094,0.0,0.14111092589373053,-0.4826612928227288,-1.0414632363008849,76561198164411581,♿ DerKrabbo ♿,8.0,1508.6500244140625,-172.1699981689453,175.44000244140625,-10840.6005859375,20253.900146484375,1121.500015258789,-1766.9000244140625,-5183.599853515625,-507.59998321533203,255.0,255.0,False,0.2473754728026809,1.895246569833952,-0.5079095291695533,True,0.0,False,24,4,21,,76561198094309427,El Rasho Macuin,9.0,2009.75,-1354.739990234375,23.559999465942383,10142.000122070312,20531.4990234375,-1186.3999938964844,2608.5000610351562,4388.399963378906,-340.60001373291016,227.0,128.0,False,0.0339816840447066,1.1068354247434258,-0.29515216723533066,True,111.0,False,4,24,22,,enpitsu,76561198039309853,27,1035.050048828125,-20.989999771118164,226.16000366210938,18280.999755859375,13920.699462890625,1006.9999694824219,-285.3000068664551,3708.699951171875,58.89999866485596,255.0,255.0,False,-0.3769008957102429,0.07049145102090698,0.16489665462154302,True,0.0,False,10,False,9,,games5425898691,bf81d8692db,19.0,3714.31005859375,-1217.3900146484375,17.84000015258789,1941.6000366210938,22288.40087890625,-1404.7000122070312,-1381.6999816894531,102.5,-93.4000015258789,255.0,140.0,,-0.01493681955416579,1.4825872755944502,-0.0001503643041635577,True,14,False,16,8.910331180018764,True,
2,1911,54.0,False,0,3751.1061560741914,-2243.760009765625,1639.3800048828125,173.10000610351562,14815.899658203125,25708.1005859375,-601.8000030517578,-1690.8999633789062,-389.7999954223633,5094.89990234375,0.0,-0.5153230988638365,-1.5933158100741636,-2.1962691964001935,76561198094309427,El Rasho Macuin,9.0,-2382.260009765625,1441.739990234375,82.43000030517578,14064.000244140625,17843.1005859375,3421.7001342773438,-171.39999389648438,23.09999942779541,1432.5999450683594,249.0,146.0,True,0.012381609059065261,1.1765678641860347,-0.0002942759617455308,True,63.0,False,10,False,8,,76561198164411581,♿ DerKrabbo ♿,9.0,-92.23999786376953,-2212.389892578125,17.010000228881836,-5276.6998291015625,19332.099609375,-0.29999999329447746,-0.19999999552965164,1.0999999940395355,146.09999656677246,255.0,128.0,,0.00959943952930727,1.8532148386939191,-0.00014578998905289163,True,239.48299351302526,True,False,4,4,,enpitsu,76561198039309853,27,-1864.5799560546875,1610.1199951171875,87.63999938964844,-18508.599853515625,13127.39990234375,3321.4999389648438,12.599999904632568,-7.799999713897705,-910.5000305175781,255.0,0.0,False,0.016449429029053438,2.359855856197044,-0.0038784362398557367,True,126.0,False,4,False,2,,games5425898691,bf81d8692db,19.0,-1585.0400390625,-507.17999267578125,17.020000457763672,-356.8000030517578,22970.2001953125,0.7000000029802322,0.0,0.7999999821186066,0.5000000074505806,255.0,128.0,,0.009598654395118455,1.5864136113756793,-7.001011833689923e-05,True,False,False,False,112.0,False,
3,2235,66.0,True,1,3292.0061476087126,-836.0,2340.449951171875,140.3300018310547,694.8000335693359,24687.7001953125,-3491.4999389648438,-400.8000183105469,1277.300033569336,5848.699951171875,1.0,0.04108906935234865,-1.1202590832358092,1.2487989832451312,76561198039309853,enpitsu,27.0,-924.6099853515625,2061.889892578125,160.5800018310547,13883.00048828125,14638.900146484375,2023.5000610351562,-2781.400146484375,530.6999969482422,1196.9999694824219,255.0,255.0,False,-0.0946826811951888,2.2892130846520335,-0.011176647473669492,True,55.0,False,10,False,3,,bf81d8692db,games5425898691,19.0,-1954.3499755859375,3244.85009765625,17.010000228881836,-856.5000152587891,-14546.099853515625,2.0999999344348907,-0.09999999776482582,-2.5,438.6000061035156,255.0,206.0,,-0.009596970956945514,-1.5075088203122224,6.261082160433882e-05,True,147.0,False,False,8,6,,♿ DerKrabbo ♿,76561198164411581,8,387.489990234375,4998.7998046875,17.010000228881836,-117.79999732971191,-221.29999160766602,2.0999999344348907,-0.9000000357627869,0.29999999329447746,0.0,255.0,128.0,False,-0.00944078021123543,-1.0814937647754062,-1.3563139355277914e-05,True,157.0,False,10,False,10,,El Rasho Macuin,76561198094309427,9.0,-834.0800170898438,4043.1201171875,77.9000015258789,-5263.3001708984375,-8503.200073242188,-4021.4999389648438,442.00000762939453,25.59999942779541,-35.69999933242798,255.0,168.0,False,0.37288213421288113,-1.0790289397977166,-0.09810044951581448,True,12,False,14,142.0,False,
4,3409,99.0,True,1,1900.2425860023982,-179.4499969482422,3573.3701171875,887.22998046875,1331.9999694824219,8919.199829101562,2611.7001342773438,2735.4998779296875,5147.80029296875,1420.0999450683594,1.0,0.5756224010052513,-1.13793980552425,0.43775694233853735,bf81d8692db,games5425898691,19.0,-192.6199951171875,3563.5,736.7000122070312,-10355.6005859375,16800.6005859375,4797.0001220703125,319.20000076293945,-596.8000030517578,-238.70000839233398,255.0,194.0,,0.6958982434170223,0.015996298422692,-1.6133694391094373,True,61.0,False,16,False,10,,76561198039309853,enpitsu,27.0,527.1099853515625,2978.56005859375,17.059999465942383,-6070.8001708984375,7737.19970703125,1.1999999731779099,-0.7000000029802322,-0.19999999552965164,0.0,255.0,128.0,False,-0.01678125225617691,0.9055014640279538,-2.221773536718895e-05,True,162.0,False,False,10,10,,♿ DerKrabbo ♿,76561198164411581,8,-406.5799865722656,4154.27978515625,285.32000732421875,1594.2999267578125,-7338.900146484375,5932.5,-1350.8000183105469,54.40000057220459,478.3000183105469,128.0,128.0,False,0.9714427486031058,-2.0739569622808194,-0.24792940560483415,True,74.76848156477816,True,16,4,14,,El Rasho Macuin,76561198094309427,9.0,-161.60000610351562,540.5700073242188,52.209999084472656,-905.1999664306641,21118.00048828125,-3000.7000732421875,-1411.0000610351562,-53.400001525878906,-32.799999713897705,203.0,128.0,False,0.24712158971767564,1.5263345017411687,-0.02424794268834756,True,14,False,16,32.0,False,
5,3720,101.0,False,1,5220.443453807172,-2.619999885559082,-2.5199999809265137,92.77999877929688,-960.6999969482422,27073.701171875,285.2000045776367,2310.399932861328,205.49999237060547,5533.4002685546875,1.0,0.0014274817149429616,-0.05924179811941595,-0.05221198353835411,bf81d8692db,games5425898691,19.0,0.9100000262260437,-226.9199981689453,85.51000213623047,-581.3000106811523,22813.20068359375,210.30000686645508,-5449.0997314453125,-746.2000274658203,-14.299999475479126,128.0,131.0,,-1.267771578573392,1.6285985315853522,-0.18633765083443188,True,31.0,False,4,False,3,,76561198039309853,enpitsu,27.0,-0.0,-4909.60009765625,17.049999237060547,-0.0,4554.800109863281,2.5999999046325684,-0.7999999821186066,-0.0,0.0,255.0,,,-0.016533086658730115,1.5707730827122464,1.9234572461725115e-07,True,116.0,False,False,False,False,,♿ DerKrabbo ♿,76561198164411581,8,-0.0,2355.139892578125,17.010000228881836,-0.0,-13600.6005859375,2.0999999344348907,-0.09999999776482582,-0.0,0.0,255.0,,,-0.009590185467852546,-1.5707887708715014,-3.637918141942189e-08,False,116.0,False,False,False,False,,El Rasho Macuin,76561198094309427,9.0,10.670000076293945,230.85000610351562,116.45999908447266,4144.700012207031,-22608.5009765625,179.20000076293945,3868.900146484375,3909.1000366210938,1.0999999940395355,255.0,255.0,True,-0.21465815050453044,-0.8514925091928388,-1.2902382869643627,True,3,False,4,31.0,False,
6,4617,134.0,False,0,5913.9912435781425,2308.780029296875,169.6199951171875,141.6199951171875,-8651.199951171875,22747.60009765625,-1108.7999725341797,-1816.3999938964844,3496.099853515625,2553.699951171875,0.0,-0.5741178002098167,0.7132165016742137,-2.2450325961189335,76561198094309427,El Rasho Macuin,9.0,2399.679931640625,35.08000183105469,119.08000183105469,-5705.5999755859375,21698.5009765625,-198.09999465942383,-1704.1000366210938,-5154.7998046875,-879.4000244140625,255.0,255.0,True,0.33213345953398726,1.0248090641225907,-2.0029928483797352,True,77.84192685670752,True,20,False,17,,76561198164411581,♿ DerKrabbo ♿,8.0,-3726.52001953125,-4070.820068359375,31.950000762939453,-1708.3000183105469,3896.9000244140625,-424.3000030517578,253.29999923706055,-587.400016784668,-577.2999954223633,255.0,0.0,False,0.2022419416491641,1.420065497166878,0.22273535618673687,True,0.0,False,False,8,8,,enpitsu,76561198039309853,27,3249.860107421875,-2355.239990234375,17.059999465942383,7729.6002197265625,2805.10009765625,1.899999976158142,0.0,0.0,2483.2000732421875,255.0,255.0,False,0.01666265234079184,0.37261046713952395,-4.927809314142603e-06,True,242.0,False,8,False,6,,games5425898691,bf81d8692db,19.0,3334.550048828125,971.030029296875,17.0,-9149.600219726562,21101.69921875,0.9000000357627869,-0.5000000074505806,1.0000000149011612,-855.1000213623047,255.0,53.0,,0.009585499884864103,1.978542243386677,-0.00027756888012898484,True,14,False,16,214.2746666041754,True,
7,4638,135.0,False,0,4207.049805996775,1692.47998046875,1823.52001953125,93.88999938964844,-7254.1998291015625,20087.7001953125,971.6000366210938,-5700.7000732421875,104.79999542236328,1868.0999755859375,0.0,-0.16742175268896162,-1.642768937582729,0.5383179710500626,76561198094309427,El Rasho Macuin,9.0,1988.93994140625,1737.1800537109375,64.66999816894531,-5279.69970703125,22267.60009765625,-2296.4999389648438,-264.50000762939453,-1153.0999755859375,592.2000122070312,255.0,128.0,False,-0.28344019784246816,1.821752094308323,0.2280364943268954,True,104.87348834929928,True,20,False,18,,76561198164411581,♿ DerKrabbo ♿,8.0,-3687.39990234375,-3572.18994140625,17.0,377.00000762939453,9407.7001953125,3.400000035762787,0.09999999776482582,7.200000286102295,-1044.1999816894531,255.0,128.0,False,0.00952491351724012,1.497571763681038,-8.167657326118495e-05,True,0.0,False,False,8,8,,enpitsu,76561198039309853,28,3595.39990234375,-1624.280029296875,17.059999465942383,1080.2999877929688,11826.400146484375,1.1999999731779099,0.0,-1.0000000149011612,437.5,255.0,128.0,False,0.016710668985085553,1.5127814314404044,-0.0001719928020103985,True,242.0,False,8,False,6,,games5425898691,bf81d8692db,19.0,2197.800048828125,2396.4599609375,17.0,-21390.30029296875,8452.80029296875,1.0999999940395355,0.5999999865889549,-0.29999999329447746,1377.1000671386719,255.0,201.0,,0.009585714476452276,2.8297853390985406,-5.949669247488632e-05,True,14,False,16,148.48957423240907,True,
8,4826,142.0,False,1,3127.1369600099642,1849.1400146484375,2161.659912109375,96.04000091552734,-6114.4000244140625,16405.699462890625,1524.2999267578125,-3357.9000854492188,2066.7999267578125,3556.4999389648438,1.0,-0.08681426554479028,-2.6389341144942065,-2.637940438167538,bf81d8692db,games5425898691,19.0,1986.6300048828125,1952.9200439453125,17.0,-320.2000045776367,17250.30029296875,1.0999999940395355,-0.0,-0.7999999821186066,1912.7999877929688,255.0,255.0,,-0.009578429733123056,1.494377918430403,9.130322383026673e-05,True,62.8825377674513,True,18,False,16,,76561198039309853,enpitsu,27.0,1407.1500244140625,1291.27001953125,17.059999465942383,-5652.60009765625,10736.500244140625,-4.099999964237213,-1.0999999940395355,2.0000000298023224,431.19998931884766,255.0,128.0,False,-0.016715684235836088,1.048499186701461,-0.00037372491369423396,True,166.66818942049497,True,False,8,6,,♿ DerKrabbo ♿,76561198164411581,8,-2819.8701171875,1825.3699951171875,16.989999771118164,1178.7000274658203,21060.400390625,4.699999988079071,0.19999999552965164,3.4999999403953552,-1438.6000061035156,255.0,128.0,False,-0.00960357108974224,1.673471476036616,-0.00013440215488885277,True,140.0,False,10,False,10,,El Rasho Macuin,76561198094309427,9.0,2117.43994140625,4226.31005859375,16.989999771118164,-8358.499755859375,-12538.399658203125,2.0999999344348907,-1.1999999731779099,-1.8000000715255737,870.5999755859375,255.0,235.0,False,-0.009558701877895476,-0.969375008548674,0.0002228640800973882,True,22,False,24,183.00637425914888,True,
9,4839,142.0,True,1,2283.503541527868,1485.800048828125,2933.97998046875,128.92999267578125,-15021.99951171875,20353.199462890625,1439.7000122070312,-4431.099853515625,3403.2998657226562,-2186.7999267578125,1.0,-0.8506986437449633,-2.609584518145418,1.392239146596406,bf81d8692db,games5425898691,19.0,1619.800048828125,2767.14990234375,77.3499984741211,-15427.2998046875,14122.19970703125,1993.5000610351562,759.8999786376953,-5384.1998291015625,826.2000274658203,255.0,255.0,,-0.4459777890202508,0.9004381485868966,-0.5358965885324964,True,79.0,False,20,False,17,,76561198039309853,enpitsu,27.0,1088.3900146484375,1824.0400390625,17.059999465942383,-8719.69970703125,14283.399658203125,-4.099999964237213,-0.3999999910593033,0.29999999329447746,0.5000000074505806,255.0,128.0,False,-0.016763656033769624,1.0226300485162385,-3.400573512746371e-05,True,140.0,False,False,8,6,,♿ DerKrabbo ♿,76561198164411581,8,-2631.580078125,2691.3701171875,16.989999771118164,7990.999755859375,19159.599609375,4.600000083446503,-0.0,0.09999999776482582,-330.8000183105469,255.0,128.0,False,-0.009596206460558495,1.9982222102733562,0.00015017492371242495,True,140.0,False,10,False,10,,El Rasho Macuin,76561198094309427,9.0,1750.8599853515625,3537.60009765625,80.75,-14432.2998046875,-10621.800537109375,3185.8999633789062,-3062.0999145507812,-4081.0000610351562,-2053.8999938964844,255.0,0.0,True,-0.007491158432858788,-0.8063934910592141,0.07741284462960382,True,23,False,26,169.0,False,
