,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,167,0.0,False,False,1,5204.825641274998,-12.800000190734863,15.130000114440918,100.02999877929688,-14506.8994140625,22864.7998046875,7781.199951171875,4340.10009765625,4063.0999755859375,-808.3000183105469,1.0,0.03716495990156763,0.0066338234567192254,-0.03942496827944733,76561198381668455,KyYomi,9.0,118.05999755859375,-172.3699951171875,19.770000457763672,-15221.300048828125,16650.699462890625,-1722.7999877929688,-4693.2000732421875,2861.7001342773438,183.70000839233398,255.0,255.0,,-0.006382429168494573,0.6989676856067926,-0.2072295998421054,True,0.0,False,4,4,False,,1121353984912220357,KxrL_StxLz,21.0,-2803.81005859375,-3926.340087890625,15.850000381469727,-5620.0,-9912.899780273438,133.80000114440918,-69.89999771118164,29.500000476837158,36.40000104904175,206.0,128.0,,-0.003564856092062221,2.09784679946963,0.0038111399382122738,True,76.0,False,4,False,4,,enpitsu,76561198039309853,26,-217.3699951171875,350.9200134277344,79.55000305175781,10514.49951171875,-20254.69970703125,2848.800048828125,3054.1000366210938,972.6000213623047,-345.09998321533203,255.0,0.0,,-0.14434766563335463,-2.362160008404985,0.011439795645806064,True,2,1,0.0,False,False,,games5425898691,bf81d8692db,18.0,3333.47998046875,1937.989990234375,17.010000228881836,6991.7999267578125,13592.39990234375,2.0000000298023224,-0.29999999329447746,-0.7999999821186066,563.4000015258789,255.0,128.0,,-0.009593518741679567,1.9942699105757806,-0.00020493239491285977,,0.0,False,False,False,False,
1,168,0.0,False,False,0,5269.6224478749855,38.11000061035156,-46.16999816894531,143.55999755859375,-8804.69970703125,18748.699951171875,14234.000244140625,5432.9998779296875,2510.2999877929688,-425.0,0.0,-0.037761883385874336,-0.051589359792194575,0.055825969838593406,76561198039309853,enpitsu,26.0,125.83000183105469,-174.3300018310547,101.22000122070312,-7815.7000732421875,15275.799560546875,1669.4000244140625,-5001.499938964844,-1718.800048828125,1509.9000549316406,255.0,0.0,,0.6598146940587397,2.5326458829456135,0.48877118317997686,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,18.0,-3392.699951171875,-2064.739990234375,17.010000228881836,-6150.4998779296875,-13958.800048828125,2.0000000298023224,-0.3999999910593033,-1.0000000149011612,127.39999771118164,255.0,128.0,,0.00959820847497861,-1.9692590289496323,-0.0001477957594706093,,0.0,False,False,False,False,,KyYomi,76561198381668455,9,-118.05999755859375,172.3699951171875,19.770000457763672,15221.300048828125,-16650.699462890625,-1722.7999877929688,4693.2000732421875,-2861.7001342773438,183.70000839233398,255.0,255.0,,0.006382429168494573,-0.6989676856067926,-0.2072295998421054,True,4,4,0.0,False,False,,KxrL_StxLz,1121353984912220357,21.0,2803.81005859375,3926.340087890625,15.850000381469727,5620.0,9912.899780273438,133.80000114440918,69.89999771118164,-29.500000476837158,36.40000104904175,206.0,128.0,,0.003564856092062221,-2.09784679946963,0.0038111399382122738,True,76.0,False,4,4,False,
2,334,6.0,False,True,0,4130.223400345759,-3811.68994140625,2214.679931640625,540.0,-25023.30078125,17553.699951171875,1064.1999816894531,5054.5001220703125,-2031.6000366210938,-2514.7000122070312,0.0,-0.484659069422597,-0.5641819218197057,-2.3425329340321004,bf81d8692db,games5425898691,19.0,-3698.159912109375,2099.340087890625,505.6199951171875,-17145.0,9917.60009765625,2579.2001342773438,-1786.3999938964844,-3736.6000366210938,3618.800048828125,255.0,174.0,,-0.16748601476031585,2.1172060830016686,-0.19016467336492796,True,170.46516136456563,True,4,3,False,,76561198039309853,enpitsu,26.0,-2540.22998046875,-1437.7099609375,17.049999237060547,1335.2999877929688,7173.0999755859375,2.5999999046325684,-0.19999999552965164,-1.5000000596046448,-242.70000457763672,255.0,128.0,False,0.01664639194518958,1.3638976991119909,0.00023542412892647537,True,255.0,False,2,False,2,,KyYomi,76561198381668455,10,-2799.4599609375,4227.5400390625,17.010000228881836,-7405.9002685546875,10735.10009765625,2.3000000417232513,0.0,0.0,-2291.1000061035156,255.0,0.0,,0.009560101922512243,2.106906257767567,-8.860576624587019e-06,True,4,4,153.0,False,False,,KxrL_StxLz,1121353984912220357,9.0,81.27999877929688,5322.68994140625,17.149999618530273,-1351.1000061035156,-860.6999969482422,-10.0,-43.29999923706055,-4.699999988079071,-4.000000059604645,250.0,128.0,,0.011919017992110304,-2.574326712729924,-0.004859270332207985,True,255.0,False,4,4,False,
3,377,7.0,False,False,1,9207.522497223892,1889.8299560546875,-4013.72998046875,152.83999633789062,-12114.100341796875,24535.80078125,14037.2998046875,5741.6998291015625,-1279.3000030517578,1181.2999725341797,1.0,-0.4887143307549959,-1.013858721963249,-1.173853241239043,76561198381668455,KyYomi,10.0,1916.6300048828125,-4233.60986328125,70.80999755859375,-7631.500244140625,20865.0,3054.7000122070312,-2747.6998901367188,-1281.4999389648438,-521.3000106811523,255.0,206.0,False,-0.10018774118510443,1.5459411181232994,-0.01049600065615339,True,80.540301094773,True,6,5,False,,1121353984912220357,KxrL_StxLz,9.0,1197.300048828125,-4521.02978515625,37.689998626708984,14165.799560546875,8898.099975585938,3269.7000122070312,-54.20000076293945,88.90000343322754,408.49998474121094,249.0,163.0,,-0.010427835528529886,2.568026903599554,0.00013366958136896764,True,200.0,False,6,False,4,,enpitsu,76561198039309853,26,1375.1500244140625,1112.18994140625,17.049999237060547,-8682.899780273438,9398.900146484375,2.5999999046325684,0.7000000029802322,-0.7999999821186066,-81.89999580383301,255.0,128.0,False,-0.016734674247085288,0.8347246338558634,0.00011576443322589958,True,2,2,255.0,False,False,,games5425898691,bf81d8692db,19.0,3716.89990234375,-4026.860107421875,189.64999389648438,-2674.1000366210938,-12806.600341796875,-6390.30029296875,3999.1000366210938,1447.5999450683594,-697.2000122070312,255.0,67.0,,-0.9004191651045047,-1.7032706958434394,1.452666296306845,True,159.0,False,4,4,False,
4,534,13.0,True,True,1,4806.560252998305,-3450.179931640625,3087.260009765625,492.04998779296875,23239.49951171875,11385.400390625,5334.2999267578125,5001.700134277344,-1543.6000061035156,-2932.5,1.0,0.09525758300176325,0.6758030092083979,1.8072607948577064,76561198381668455,KyYomi,10.0,-3638.580078125,2991.280029296875,425.30999755859375,5854.6002197265625,16651.199951171875,2670.4000854492188,-2668.0999755859375,-898.7000274658203,-4724.700012207031,255.0,160.0,True,0.8413605842081444,2.5881686105154054,1.874727434903892,True,161.0181244727103,True,8,7,False,,1121353984912220357,KxrL_StxLz,9.0,-1399.1600341796875,2188.06005859375,17.0,-2150.8999633789062,11492.2998046875,3.6000001430511475,-0.0,-0.0,-2369.1000366210938,250.0,0.0,,-0.009554855528329244,1.4483869700845566,-3.0346432383447255e-06,True,255.0,False,8,False,8,,enpitsu,76561198039309853,26,-348.69000244140625,5294.2099609375,17.049999237060547,-0.0,-0.0,3.0000001192092896,0.19999999552965164,-0.5000000074505806,0.0,128.0,128.0,False,-0.016713493081294238,-0.743920916237625,-1.760635896497152e-05,True,2,2,255.0,False,False,,games5425898691,bf81d8692db,19.0,1787.6800537109375,4583.7099609375,17.010000228881836,-18528.1005859375,8967.19970703125,2.0000000298023224,-1.8000000715255737,0.7000000029802322,462.59998321533203,255.0,187.0,,-0.009586603013581716,0.44544404021865713,2.690593294296835e-06,True,207.0,False,8,8,False,
5,837,15.0,False,True,1,5196.331696217921,7.110000133514404,20.260000228881836,95.80000305175781,3560.1998901367188,26638.30078125,2735.4998779296875,1301.199951171875,-858.0000305175781,2651.300048828125,1.0,-0.007278146733421069,-0.02206441355499818,-0.010758632696518245,76561198381668455,KyYomi,10.0,-40.0,-203.13999938964844,55.56999969482422,13809.200439453125,18226.500244140625,-2469.600067138672,695.4000091552734,656.6000366210938,-1991.9000244140625,255.0,0.0,,0.1478996721802152,1.9724819586721078,-0.40589740838730454,True,0.0,False,4,4,False,,1121353984912220357,KxrL_StxLz,9.0,-18.110000610351562,-5366.77001953125,17.90999984741211,193.1999969482422,-3373.9999389648438,113.69999885559082,-200.9000015258789,-16.00000023841858,1.0999999940395355,250.0,128.0,,-0.027031815071011468,1.5141956839345079,0.00226898975402105,True,116.0,False,False,False,False,,enpitsu,76561198039309853,26,291.2200012207031,367.25,100.05999755859375,-18219.69970703125,-13787.39990234375,2613.0999755859375,1740.3999328613281,-4871.9000244140625,-1866.7999267578125,255.0,0.0,,-0.3048655053153711,-0.8285885001229852,0.021940932288714774,True,2,1,0.0,False,False,,games5425898691,bf81d8692db,19.0,2567.3701171875,4085.820068359375,17.010000228881836,17393.399658203125,698.7000274658203,2.3000000417232513,0.5000000074505806,0.29999999329447746,-1895.2999877929688,128.0,0.0,,-0.00961897437905655,-3.1174496288487688,-5.677432606924832e-05,True,0.0,False,False,False,False,
6,838,15.0,False,False,0,5347.794269550323,26.770000457763672,-127.58000183105469,113.44000244140625,25930.2001953125,4079.5999145507812,4097.39990234375,836.8000030517578,-1104.7000122070312,-5837.7001953125,0.0,0.0014405627179189591,-0.10760720979400708,-0.028328884097561412,76561198039309853,enpitsu,26.0,-124.0199966430664,-240.6699981689453,120.9000015258789,18254.3994140625,13825.6005859375,1986.3999938964844,-93.80000114440918,5253.4002685546875,-1625.5000305175781,255.0,0.0,,0.7726778971448623,0.9086734219389806,0.5441514736726554,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,19.0,-2722.719970703125,-4077.610107421875,17.010000228881836,-16499.100341796875,2203.000030517578,2.3000000417232513,-0.29999999329447746,0.0,-1937.7000427246094,128.0,0.0,,0.00963079514826175,2.9416001590747025,-3.9121179415770096e-05,True,0.0,False,False,False,False,,KyYomi,76561198381668455,10,-78.08000183105469,52.709999084472656,30.729999542236328,-12123.900146484375,-16224.3994140625,-1885.2999877929688,-2162.4000549316406,-4501.499938964844,2304.2999267578125,255.0,0.0,,-0.37022155054980505,-1.8556560812869811,-0.2328160635268508,True,4,4,0.0,False,False,,KxrL_StxLz,1121353984912220357,9.0,18.110000610351562,5366.77001953125,17.90999984741211,-193.1999969482422,3373.9999389648438,113.69999885559082,200.9000015258789,16.00000023841858,1.0999999940395355,250.0,128.0,,0.027031815071011468,-1.5141956839345079,0.00226898975402105,True,116.0,False,False,False,False,
7,968,20.0,False,False,0,5974.633222609526,3820.64990234375,1472.6500244140625,1526.1400146484375,-11036.500244140625,17588.900146484375,-5915.999755859375,-5634.1998291015625,548.4000015258789,-1988.6000061035156,0.0,-0.6273263904006017,-2.727786677961154,-0.5254470894555112,76561198039309853,enpitsu,26.0,3853.330078125,1348.8800048828125,1619.4200439453125,-11499.100341796875,11658.499755859375,5792.7001953125,-927.7999877929688,-5420.2001953125,-100.9000015258789,128.0,255.0,,0.07736329913668541,1.4884197103721624,-2.2576144098012714,True,176.0,False,4,3,False,,bf81d8692db,games5425898691,19.0,781.5499877929688,1121.3599853515625,17.010000228881836,960.1999664306641,15348.900146484375,2.199999988079071,0.0,-2.199999988079071,-1306.3999938964844,255.0,0.0,,0.009604915352749063,1.5009474294803686,-0.0001829025434543766,True,231.0,False,False,False,False,,KyYomi,76561198381668455,10,-1488.9300537109375,3565.25,17.020000457763672,7325.0,14997.19970703125,0.7999999821186066,0.0,0.0,-986.9999694824219,255.0,52.0,,0.009602678881977746,1.0956827993575688,-8.786839292278702e-05,True,6,6,255.0,False,False,,KxrL_StxLz,1121353984912220357,9.0,3173.8701171875,3160.260009765625,17.010000228881836,-9109.000244140625,5815.3997802734375,2.3000000417232513,-2.199999988079071,1.4000000059604645,-2048.0999755859375,249.0,88.0,,0.009536523085181116,2.5100764087134286,2.302696275243304e-05,True,255.0,False,False,False,False,
8,1070,23.0,False,False,0,2187.7470977856938,922.0,3922.989990234375,447.8699951171875,-7796.5997314453125,-1879.2999267578125,17301.99951171875,-1075.6999969482422,-611.8999862670898,-5870.9002685546875,0.0,-0.026263286977005217,0.1713830159957888,0.2644553203006113,bf81d8692db,games5425898691,19.0,1069.550048828125,3769.510009765625,330.45001220703125,-21575.90087890625,7355.7000732421875,3061.300048828125,-1896.9000244140625,-3059.2999267578125,-163.50000381469727,255.0,43.0,,-0.68216818394708,3.1335145974795986,0.03722265863843827,True,152.52921296447838,True,4,3,False,,76561198039309853,enpitsu,26.0,-319.05999755859375,5827.330078125,44.72999954223633,-13702.80029296875,6058.800048828125,1717.5,3783.2998657226562,-1120.8999633789062,3498.2998657226562,255.0,255.0,False,0.021772543361915534,-3.130392581507669,-0.2887651678445377,True,145.0,False,4,False,4,,KyYomi,76561198381668455,10,915.8200073242188,3976.919921875,296.04998779296875,3991.0000610351562,-16138.299560546875,1959.1000366210938,2677.2000122070312,534.3000030517578,2868.599853515625,255.0,128.0,,-0.5888392196215634,-1.4249930516619638,0.13522023858115517,True,8,7,182.9751742398867,True,False,,KxrL_StxLz,1121353984912220357,8.0,1063.8299560546875,4046.300048828125,17.010000228881836,-1871.300048828125,-9054.89990234375,2.199999988079071,0.5000000074505806,2.5999999046325684,-547.9999923706055,249.0,20.0,,0.0095269781873944,-1.7573880260717458,-0.00014046679624460381,True,255.0,False,4,False,False,
9,1148,26.0,False,False,0,1690.5013745849583,-819.510009765625,3451.22998046875,114.0199966430664,-2462.100067138672,-742.9000091552734,9577.000122070312,814.5999908447266,-2699.8001098632812,-4207.5,0.0,-1.1366844903392923,2.709930936037904,-1.3078111109345778,76561198039309853,enpitsu,26.0,-909.760009765625,3254.64990234375,195.8300018310547,-1421.9999694824219,-2199.4000244140625,-52.69999980926514,-5496.199951171875,204.20000076293945,1.8000000715255737,0.0,128.0,False,-1.33134509306362,-1.6065503343849727,-0.0013865081840021066,True,119.0,False,6,5,False,,bf81d8692db,games5425898691,19.0,-1915.8299560546875,1524.0999755859375,17.010000228881836,6571.7999267578125,7439.1998291015625,2.0999999344348907,-0.09999999776482582,-0.09999999776482582,18.300000429153442,255.0,128.0,,0.009535022044803972,0.8491629365285027,6.387155415976299e-06,True,172.0,False,4,False,4,,KyYomi,76561198381668455,10,122.76000213623047,2058.81005859375,17.010000228881836,-8185.10009765625,9865.900268554688,2.3999999463558197,-0.9000000357627869,1.0000000149011612,-2188.800048828125,255.0,0.0,False,0.009561317923301671,2.2149054743261556,-0.00013944037860219474,True,8,8,167.0,False,False,,KxrL_StxLz,1121353984912220357,9.0,-1001.4000244140625,3781.969970703125,434.760009765625,-9732.19970703125,1420.5000305175781,192.29999542236328,1015.0,504.90001678466797,2562.60009765625,128.0,128.0,,0.21285173477724786,-0.5983550214745728,-0.4084761313769553,True,214.0,False,6,False,4,
