,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,594,15.0,True,0,1615.8142750786224,553.030029296875,4425.0400390625,335.7900085449219,8515.700073242188,28066.201171875,4172.39990234375,4332.5,3846.400146484375,-1560.0,0.0,1.0873147049134424,0.1545727682830254,-1.2022988368250846,370a0fd018c648e080cc09bc6e27ff7d,ToufToufTTV,7.0,572.0599975585938,4252.6298828125,239.32000732421875,5498.3001708984375,22293.20068359375,1333.3000183105469,-4582.099914550781,2795.1998901367188,1200.1000213623047,255.0,39.0,,0.006765699432249352,1.8554774267895107,0.3685519803545943,True,68.18725169602263,True,12,False,11,,99bbc23477fd487a8b6a15e3660f40b0,KAFEKEIS,7.0,1077.6800537109375,3375.27001953125,943.8099975585938,17096.099853515625,-11953.599853515625,-5218.499755859375,-1365.2999877929688,-1692.7999877929688,-3134.2999267578125,255.0,128.0,,-0.14965444409740733,-0.9650280385125297,1.0092990185650346,True,69.0,False,10,10,False,,enpitsu,76561198039309853,25,457.8599853515625,4465.89990234375,190.2100067138672,9844.299926757812,-14994.3994140625,3311.300048828125,736.8000030517578,3063.2998657226562,-1301.4999389648438,255.0,255.0,,-0.5484942167340603,-1.282501288038399,-0.04375317311327839,True,79.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,-10.0,4820.60009765625,469.760009765625,15241.8994140625,1207.6000213623047,-170.20000457763672,-3341.7001342773438,-667.0999908447266,4317.0001220703125,255.0,128.0,,1.4800437960832549,0.8409800600528738,-0.848913087045307,True,,False,5,False,6,
1,861,15.0,False,1,5167.371784883661,0.07000000029802322,50.88999938964844,97.76000213623047,-1445.5999755859375,31046.79931640625,3738.699951171875,21.099998950958252,-1.2999999523162842,2.7000001072883606,1.0,-2.698223397863022e-05,-4.854858347296208e-05,-0.00033987152649427694,bf81d8692db,games5425898691,24.0,17.049999237060547,-198.9499969482422,58.790000915527344,1382.5,22793.798828125,2725.7998657226562,-4322.900085449219,715.4000091552734,-381.19998931884766,255.0,111.0,,-0.09139105089507629,1.614912758823388,0.00644662842125987,True,22.0,False,4,False,3,,76561198039309853,enpitsu,26.0,-0.0,-2925.679931640625,17.059999465942383,-0.0,-551.5999984741211,1.899999976158142,2.3999999463558197,-0.0,0.0,0.0,,,-0.017219875396990266,1.5708596415844394,-5.451224575225047e-07,True,116.0,False,2,False,False,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,416.4800109863281,367.70001220703125,15.90999984741211,-2804.1000366210938,-9266.099853515625,-34.60000038146973,-73.60000133514404,193.70000839233398,-2342.899932861328,255.0,0.0,,-0.011568175715048291,-0.11939351878442023,0.0005887260558637065,False,11.938451602894773,True,4,False,4,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,-3272.56005859375,3874.949951171875,16.84000015258789,-8009.6002197265625,-14841.500244140625,38.80000114440918,-8.100000023841858,-23.69999885559082,2075.8999633789062,255.0,255.0,,-0.0092958338601024,-1.1566445825959895,-0.0013214724194998012,True,247.0,False,4,False,4,
2,4745,148.0,False,1,1158.4660714837207,154.25,4250.14013671875,449.54998779296875,-2978.2998657226562,17544.89990234375,4695.899963378906,600.099983215332,-5965.30029296875,-232.00000762939453,1.0,0.16773079344081834,2.763543928302093,-3.1135995698687147,76561198039309853,enpitsu,26.0,129.35000610351562,4069.7900390625,328.2699890136719,4721.400146484375,9561.900024414062,2478.6000061035156,-2109.2999267578125,-1803.0999755859375,731.6000366210938,128.0,128.0,,0.40155600481183673,0.9756387479461529,-0.5326316611002949,True,196.0,False,36,2,30,,bf81d8692db,games5425898691,24.0,2200.3701171875,4325.1298828125,16.860000610351562,-3306.300048828125,-5698.2000732421875,31.80000066757202,-29.600000381469727,-55.19999980926514,-1738.0000305175781,255.0,0.0,,-0.009474282091941878,-1.0824309527077762,-0.004860921216615955,True,61.0,False,36,26,4,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,1808.800048828125,4152.85986328125,17.010000228881836,-10807.900390625,14758.900146484375,2.5999999046325684,-0.5000000074505806,0.7000000029802322,39.000000953674316,255.0,128.0,,-0.009604486117374926,0.9334472895613676,-8.503545590988392e-05,True,31.0,False,62,12,46,2.0,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,282.30999755859375,4540.97021484375,217.2899932861328,-11673.800048828125,-6506.7999267578125,2760.4998779296875,327.09999084472656,-1421.9000244140625,5302.8997802734375,128.0,128.0,,0.7350710106773172,-2.590837237305982,-0.21404676785565846,True,152.9722925796304,True,40,False,50,
3,4821,150.0,False,1,1876.1542612625212,-375.6199951171875,3760.530029296875,284.55999755859375,2288.6000061035156,8268.499755859375,1759.2999267578125,2980.10009765625,2311.9000244140625,-4666.199951171875,1.0,-0.25558105215479593,0.7301892419723409,-1.28224128827854,bf81d8692db,games5425898691,24.0,-407.1199951171875,3661.7099609375,188.13999938964844,-11419.49951171875,8809.000244140625,1458.3999633789062,-4487.9998779296875,2326.7999267578125,2166.3999938964844,255.0,0.0,,0.4447707537371274,0.5188336702295543,0.801556979484147,True,7.729135449214655,True,38,4,27,,76561198039309853,enpitsu,25.0,142.80999755859375,4982.81005859375,17.020000457763672,-13964.000244140625,-3588.2998657226562,5.5000001192092896,-1.0999999940395355,-0.5999999865889549,-1918.5000610351562,255.0,128.0,,-0.01676073941332949,-0.21587779050208195,-0.00018616600057426213,True,128.0,False,36,30,2,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,-818.3900146484375,5363.8701171875,288.79998779296875,243.1999969482422,107.29999542236328,961.5000152587891,55.39999961853027,-264.3000030517578,397.09999084472656,255.0,128.0,,0.20947830648183183,-1.8423843512395472,-2.6567113083112894,True,31.0,False,62,12,46,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,-1559.3599853515625,3826.659912109375,17.010000228881836,5612.7001953125,12055.10009765625,0.0,-0.19999999552965164,-0.7000000029802322,-6.600000262260437,255.0,128.0,,-0.009538885222013575,2.007408312830955,5.642422061717035e-05,True,91.11910538006852,True,40,False,50,
4,5591,178.0,False,1,3946.349974976877,1674.75,1271.25,202.89999389648438,-5963.699951171875,26938.701171875,3320.2999877929688,-3889.5001220703125,929.8999786376953,-4472.799987792969,1.0,-1.1513713568925656,1.5172275356269038,-3.1283363071238734,bf81d8692db,games5425898691,24.0,1708.5899658203125,1136.989990234375,169.5,-8207.2998046875,18956.400146484375,5871.500244140625,2780.4998779296875,2082.7000427246094,255.10000228881836,255.0,255.0,,0.10154176378754821,1.4533237507698382,0.060711789447700545,True,155.0,False,50,5,38,,76561198039309853,enpitsu,26.0,3553.02001953125,-3032.77001953125,83.5199966430664,-1127.9000091552734,-21892.5,-1344.7000122070312,3147.2000122070312,-997.3999786376953,-569.5999908447266,0.0,0.0,,0.7223786907314175,-1.4165810146322215,0.04639350267945467,True,36.0,False,48,40,2,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,3037.840087890625,-3011.31005859375,60.5,3861.7999267578125,19723.499755859375,3319.2001342773438,-930.1999664306641,91.00000381469727,658.7999725341797,255.0,128.0,False,-0.04854747573289341,1.6452656647295807,-0.0001745380636149747,False,83.0,False,74,14,53,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,2179.320068359375,3535.52001953125,17.010000228881836,-9537.7001953125,-13338.00048828125,2.3000000417232513,-1.2999999523162842,-1.7000000178813934,-1783.2000732421875,240.0,0.0,False,-0.009579306146176083,-0.9141492268194976,-0.00022461763643793567,True,220.0,False,50,False,60,
5,6021,194.0,False,0,5367.685106076344,-2904.3701171875,162.1999969482422,222.97999572753906,13942.19970703125,20752.7001953125,2936.6000366210938,-1121.9000244140625,-3961.6000366210938,-2013.3999633789062,0.0,-0.2541111871565622,0.9260638953087619,0.7928573784268816,370a0fd018c648e080cc09bc6e27ff7d,ToufToufTTV,7.0,-3026.60009765625,20.559999465942383,141.97000122070312,10177.899780273438,20525.400390625,2028.8999938964844,-1423.2000732421875,3984.5001220703125,444.39998626708984,255.0,0.0,,-0.09964844647523946,1.7459069953379525,0.03690609392840264,True,75.24541078588015,True,66,False,53,,99bbc23477fd487a8b6a15e3660f40b0,KAFEKEIS,7.0,-2237.169921875,-2371.530029296875,17.010000228881836,15915.999755859375,5175.8001708984375,0.09999999776482582,1.8000000715255737,0.5000000074505806,-625.6999969482422,255.0,128.0,,0.009589581606815077,0.2641190191202749,0.00020169655017017321,True,32.81338488414723,True,78,58,14,,enpitsu,76561198039309853,25,-1676.530029296875,1623.199951171875,17.049999237060547,-6269.1998291015625,9489.400024414062,3.4999999403953552,7.200000286102295,-8.500000238418579,808.0999755859375,255.0,0.0,False,0.01682966347457306,2.308445091879967,-0.00034967523193652356,True,222.0,False,50,2,42,,games5425898691,bf81d8692db,24.0,-3113.35009765625,-1934.8499755859375,156.99000549316406,3084.2999267578125,-4258.599853515625,-3267.0999145507812,-191.29999160766602,1716.199951171875,-915.9999847412109,255.0,128.0,,-1.0490133831318906,0.5813482672705755,-0.6345779057615767,True,163.0,False,42,6,54,
6,6376,207.0,False,1,1910.2608917401128,1407.02001953125,3299.360107421875,183.47999572753906,-8549.69970703125,16566.8994140625,3787.7999877929688,2580.1998901367188,-2088.300018310547,4997.9998779296875,1.0,-0.5610375601934926,-0.14891798320231928,-1.8662410787251098,76561198039309853,enpitsu,26.0,1476.4100341796875,3137.610107421875,125.58000183105469,10595.899658203125,11984.69970703125,2949.5999145507812,-3997.0999145507812,-1425.3999328613281,222.60000228881836,128.0,128.0,,-0.016741867927526174,2.7971913025981308,-0.05338331103235038,True,194.0,False,54,2,47,,bf81d8692db,games5425898691,24.0,1096.8900146484375,5085.47998046875,94.16000366210938,-4464.2999267578125,286.70000076293945,-1706.3999938964844,-3070.4998779296875,-4051.300048828125,2099.499969482422,255.0,255.0,,0.6107276272151659,-0.14529846681167566,-1.460228543971014,True,32.0,False,58,46,6,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,1170.81005859375,3889.52001953125,1587.3199462890625,-1444.7000122070312,-5262.5,-7454.69970703125,28.69999885559082,-0.7000000029802322,-5.199999809265137,128.0,,,-0.3454440468291479,-1.4328390185662296,3.137755921824158,True,0.0,False,80,14,60,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,264.79998779296875,4882.919921875,14.460000038146973,-8433.099975585938,-2208.000030517578,49.60000038146973,-378.6000061035156,-537.5,-664.8999786376953,255.0,101.0,False,-9.917276794182994e-05,2.7846907514679766,0.009813991837831484,True,255.0,False,58,False,72,
7,7368,243.0,False,1,7261.66419953962,-3265.800048828125,-810.72998046875,426.3299865722656,13251.8994140625,26435.90087890625,490.09998321533203,-1747.2999572753906,-5447.9998779296875,130.6999969482422,1.0,-0.643863175017357,2.4014685967534994,0.34126216756822053,76561198039309853,enpitsu,26.0,-3362.969970703125,-964.5,303.94000244140625,2519.2999267578125,17397.19970703125,1074.1000366210938,-2248.300018310547,3017.2000122070312,-4011.300048828125,255.0,128.0,,0.607883807889903,1.8408005166424464,0.06069563346835076,True,187.0,False,64,2,55,,bf81d8692db,games5425898691,24.0,-2851.14990234375,-1552.6600341796875,17.010000228881836,12534.300537109375,5055.0,2.5999999046325684,1.5000000596046448,0.5999999865889549,-733.3000183105469,255.0,128.0,,-0.009567794010985916,2.8177971440022014,0.00022343976810052895,True,184.0,False,68,56,6,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,-3092.199951171875,-1377.9300537109375,165.69000244140625,1620.5000305175781,250.20000457763672,-15977.2998046875,3741.099853515625,-1408.2000732421875,2978.900146484375,128.0,255.0,False,-0.9673600131096246,0.18618853385946216,-2.903947034323205,,130.0,False,90,20,64,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,-2711.739990234375,3575.35009765625,17.010000228881836,10411.400146484375,-1697.2999572753906,2.8999999165534973,0.29999999329447746,-0.0,2400.7000732421875,251.0,255.0,False,-0.009511746908638272,-3.0331616937362225,-4.6150437291934546e-05,True,255.0,False,False,False,False,
8,8497,284.0,False,1,4832.926384769231,-717.3400268554688,584.3099975585938,216.99000549316406,4974.200134277344,24211.69921875,1524.7999572753906,-2025.0999450683594,1630.8999633789062,-2652.0001220703125,1.0,-1.0897338026907712,2.026845503468996,-2.4039837679645326,76561198039309853,enpitsu,26.0,-746.1599731445312,394.8599853515625,202.58999633789062,5393.0999755859375,16470.400390625,1838.699951171875,-2561.400146484375,1076.8000030517578,-113.59999656677246,255.0,128.0,False,-0.07873004837356602,1.9715353775905642,0.0006596924631919187,True,22.0,False,78,2,69,,bf81d8692db,games5425898691,24.0,-1946.77001953125,4071.070068359375,17.010000228881836,-14107.39990234375,-2592.2000122070312,0.9000000357627869,1.0999999940395355,-0.0,2076.999969482422,255.0,255.0,,-0.009575735066753676,-0.23485560093183835,0.00010296440949732545,True,24.768963442053845,True,82,64,6,,KAFEKEIS,99bbc23477fd487a8b6a15e3660f40b0,7,1566.199951171875,4874.39990234375,17.0,9386.799926757812,8785.700073242188,10.0,-2.5,-2.5999999046325684,2289.199981689453,255.0,255.0,,-0.009578020327350155,2.3254501891814634,0.00020896577046882275,True,120.0,False,110,30,74,,ToufToufTTV,370a0fd018c648e080cc09bc6e27ff7d,7.0,234.3000030517578,2167.89990234375,17.020000457763672,7318.800048828125,-6735.7000732421875,1.7000000178813934,-0.19999999552965164,0.3999999910593033,2415.5999755859375,255.0,255.0,,-0.009506264695245932,-2.445145210265055,2.1334712898839356e-05,True,180.0,False,12,False,14,
9,9726,323.0,False,0,1929.7704917698097,868.9600219726562,4359.66015625,240.5500030517578,-1103.0000305175781,6854.4000244140625,7059.000244140625,1866.6999816894531,-740.1000213623047,528.8999938964844,0.0,-0.5650767568517708,0.552653316715313,-2.909443785523824,99bbc23477fd487a8b6a15e3660f40b0,KAFEKEIS,7.0,893.8200073242188,4322.490234375,90.38999938964844,2297.100067138672,6435.3997802734375,1838.9999389648438,26.30000114440918,-5477.80029296875,-492.00000762939453,255.0,178.0,False,-0.2794851989450533,1.2228742676936708,-0.557323602751703,False,27.0,False,10,False,11,,370a0fd018c648e080cc09bc6e27ff7d,ToufToufTTV,7.0,-2379.5,4044.139892578125,17.010000228881836,-15295.50048828125,-9919.400024414062,5.799999833106995,1.7000000178813934,3.4999999403953552,1962.5999450683594,218.0,255.0,False,0.009669849715808252,-2.5008965021779326,0.00020139495070892129,True,227.0,False,14,14,False,,enpitsu,76561198039309853,26,2488.360107421875,3647.6201171875,17.06999969482422,5494.1998291015625,8527.5,1.899999976158142,0.0,-0.5999999865889549,3141.7999267578125,255.0,255.0,False,0.01671827319743301,1.1917658360019758,1.5688898203677864e-06,True,150.0,False,6,False,4,,games5425898691,bf81d8692db,24.0,356.7699890136719,5162.1298828125,154.5399932861328,7584.5001220703125,1353.0000305175781,-157.70000457763672,-4133.2000732421875,3285.5999755859375,1539.7000122070312,255.0,128.0,,0.18470069112920737,-0.6903315724693966,1.7741891960790204,True,0.0,False,9,False,10,
