,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,762,21,True,0,2454.845279805959,538.3099975585938,3147.760009765625,282.79998779296875,-439.70001220703125,28970.400390625,-2254.9000549316406,749.7000122070312,-2208.5000610351562,5528.0999755859375,0.0,1.2103669025790096,0.33254139565462104,-2.8791011371616775,76561198042061385,OgolCromgog,7.0,463.3299865722656,2935.68994140625,225.8000030517578,9800.399780273438,20772.5,1204.800033569336,-318.0999946594238,2570.2999877929688,-1481.300048828125,255.0,128.0,False,-0.4660136945559487,0.4148624256359491,0.33923693869642213,11,36.0,False,4,14,True,,76561198018685722,Evolution,8.0,1673.93994140625,4348.66015625,16.989999771118164,-1058.499984741211,-16047.39990234375,2.0999999344348907,0.09999999776482582,0.0,16.699999570846558,255.0,128.0,False,0.009586687506272711,-1.6343210548023126,-2.2167101500348182e-05,True,116.8832776982297,True,10,14,False,,enpitsu,76561198039309853,25,1905.8299560546875,4110.77978515625,17.049999237060547,-15507.900390625,14267.80029296875,2.5,-0.09999999776482582,0.3999999910593033,0.0,255.0,255.0,,0.0167962001104954,2.3978215841146207,-3.6563758111660636e-05,True,0.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,2158.89990234375,5103.0400390625,396.1499938964844,-19260.10009765625,-14.500000476837158,-2505.0,-10.399999618530273,-378.6000061035156,-14.700000286102295,255.0,230.0,0.10539858324274877,3.132734631008339,-1.5721611228180632,True,6,False,10,71.6933763155373,True,,
1,2449,74,False,0,3362.499228837403,510.9200134277344,2085.989990234375,121.22000122070312,-1732.2999572753906,13978.699951171875,4657.5,-5738.0999755859375,88.10000419616699,-1751.1000061035156,0.0,1.300642022750291,-0.12447063281394778,-0.7256080094976598,76561198018685722,Evolution,7.0,547.989990234375,1906.8499755859375,113.79000091552734,-230.49999237060547,16800.999755859375,715.1999664306641,-4972.9998779296875,53.29999923706055,-2348.3999633789062,255.0,137.0,False,-0.799175430730213,-1.275675451582879,2.9447588819556794,13,0.0,False,False,16,False,,76561198042061385,OgolCromgog,7.0,-185.02000427246094,-425.1499938964844,16.989999771118164,-5594.7998046875,16381.600341796875,4.4999998807907104,0.0,0.0,0.0,255.0,128.0,False,0.009601449508869046,1.8999051679524748,2.4397169748070306e-05,True,34.0,False,14,18,False,,enpitsu,76561198039309853,25,2962.909912109375,-5013.43017578125,842.4199829101562,10904.7998046875,5557.7001953125,7428.0999755859375,-1184.800033569336,2463.5000610351562,1534.6000671386719,255.0,255.0,True,0.013858174762624671,0.45066946621801407,-1.5756272822992639,True,73.80203009420822,True,12,False,12,,games5425898691,bf81d8692db,19.0,2444.52001953125,1131.9300537109375,96.44000244140625,-7240.8001708984375,21610.70068359375,-152.29999542236328,-4387.60009765625,-3310.7000732421875,193.70000839233398,255.0,128.0,-0.3181739247155403,-0.6772637065864584,3.028593736026628,True,13,4,24,0.0,False,,
2,4473,147,False,0,1013.4804303253065,-438.8500061035156,4235.47998046875,171.9600067138672,-5668.900146484375,19220.10009765625,-1946.1000061035156,-1389.9000549316406,2513.0999755859375,-5267.9998779296875,0.0,0.6477086545994494,-0.5358598349034359,1.341669574314292,76561198042061385,OgolCromgog,7.0,-428.9700012207031,4039.31005859375,149.97999572753906,-12532.900390625,14340.899658203125,2140.500030517578,-2636.7999267578125,-3251.6000366210938,590.4999923706055,255.0,104.0,,-0.1346302073340861,2.614825548649075,-0.03063164084435677,33,129.0,False,4,42,True,,76561198018685722,Evolution,7.0,448.3599853515625,4108.3701171875,17.010000228881836,-6155.0,-9576.099853515625,2.0999999344348907,0.29999999329447746,0.19999999552965164,-632.400016784668,255.0,91.0,,0.009539205434620413,-2.1386202656888176,-0.00012899458492544326,True,243.0,False,32,46,4,,enpitsu,76561198039309853,25,421.8500061035156,4987.43994140625,80.41000366210938,-17366.600341796875,109.30000305175781,2579.2999267578125,2734.2001342773438,-4719.5001220703125,706.9000244140625,255.0,255.0,,0.3667973265264567,2.83545655611266,-0.2961942356309986,True,,False,19,False,20,,games5425898691,bf81d8692db,19.0,-212.32000732421875,4496.81005859375,112.94000244140625,-19791.8994140625,671.6999816894531,2394.4000244140625,2467.5,-4855.400085449219,765.5000305175781,255.0,135.0,0.7468582914730706,-3.0461490709233594,-0.18384394004908153,True,33,4,44,65.0,False,,
3,6320,215,True,1,848.7116623199116,1040.2099609375,4303.6298828125,595.7999877929688,-9768.900146484375,19794.100341796875,-9484.89990234375,-4762.9998779296875,-3626.9000244140625,-398.3000183105469,1.0,0.8919542192427233,-1.6230651250067103,1.9019598344402084,bf81d8692db,games5425898691,19.0,1076.9599609375,4164.72998046875,602.9400024414062,-10473.499755859375,10919.89990234375,2690.7000732421875,2046.6000366210938,-951.9999694824219,-4068.3999633789062,255.0,128.0,,0.42952741582832343,0.924769497651393,-0.2004106693742216,46,0.0,False,4,62,True,,76561198039309853,enpitsu,25.0,-382.94000244140625,1793.030029296875,17.059999465942383,1558.0000305175781,10035.499877929688,1.1999999731779099,-0.3999999910593033,-0.5000000074505806,-8.299999833106995,255.0,128.0,False,-0.016832093066235943,1.726100236146311,5.2536014218805664e-05,True,132.0,False,30,30,False,,OgolCromgog,76561198042061385,7,1284.72998046875,4400.25,444.3699951171875,-14776.600341796875,-5170.30029296875,3308.699951171875,-339.90001678466797,840.6999969482422,-410.29998779296875,255.0,128.0,,0.4353113974145355,-0.17210086731668892,0.08419093871130161,True,12.64711413844939,True,50,8,62,,Evolution,76561198018685722,7.0,932.4099731445312,4251.02001953125,420.7200012207031,2592.9998779296875,-5293.3001708984375,3959.1000366210938,-724.7000122070312,1711.9000244140625,-71.70000076293945,255.0,176.0,0.7722295923597018,2.7037743017372953,-1.4606855633208435,True,46,14,74,3.2412303211868605,True,,False
4,7651,254,True,1,2881.5645285609276,-696.72998046875,2738.6201171875,243.39999389648438,3132.60009765625,26672.39990234375,4557.39990234375,5575.9002685546875,2140.8999633789062,570.2000045776367,1.0,0.1912781659640306,2.3185315021524775,-1.0300104256089095,76561198039309853,enpitsu,25.0,-710.1799926757812,2617.080078125,170.32000732421875,-2238.699951171875,20161.500244140625,1458.699951171875,-2812.9000854492188,4653.800048828125,-824.1000366210938,128.0,0.0,,-0.08036714992797088,1.1501099921827633,0.7091416479924513,5,47.0,False,False,6,True,,bf81d8692db,games5425898691,19.0,-1423.5799560546875,4077.679931640625,17.010000228881836,9435.599975585938,-16842.80029296875,0.0,0.7000000029802322,-0.5999999865889549,-1896.300048828125,255.0,41.0,,-0.009567870052790084,-2.008355104188611,-6.39108760302002e-06,True,192.33470991093634,True,10,18,4,,OgolCromgog,76561198042061385,7,-1344.75,3506.389892578125,27.059999465942383,8097.9998779296875,-4264.89990234375,3081.7001342773438,1.5999999642372131,-2.0000000298023224,1187.0999908447266,253.0,198.0,,-0.009482006309279409,-2.6532618722648693,0.0002785598214673382,True,199.0,False,18,4,21,,Evolution,76561198018685722,7.0,-520.02001953125,3981.010009765625,17.010000228881836,4000.1998901367188,-13089.89990234375,2.3999999463558197,1.7000000178813934,3.100000023841858,1607.5999450683594,0.0,255.0,-0.009765006271733752,-1.8969326100037416,0.00023806544159972007,True,8,4,14,130.0,False,,False
5,7937,255,False,1,5206.742898412771,0.46000000834465027,10.850000381469727,94.33000183105469,-2203.800048828125,23233.701171875,2618.699951171875,5964.4000244140625,-335.2000045776367,559.0000152587891,1.0,-0.004570398250469042,-0.007000256463454195,-0.07641002048994902,bf81d8692db,games5425898691,19.0,25.709999084472656,-156.5800018310547,88.80000305175781,1673.0999755859375,22768.00048828125,1129.000015258789,-5495.30029296875,-11.399999856948853,226.00000381469727,128.0,196.0,,-1.09325287908556,1.8588743475103315,-0.23982586202246833,3,22.0,False,False,4,True,,76561198039309853,enpitsu,25.0,-162.7899932861328,-4070.449951171875,17.049999237060547,-5181.199951171875,5083.2000732421875,3.4999999403953552,2.0999999344348907,-1.5999999642372131,-1510.5999755859375,255.0,0.0,,-0.016658163831593884,0.734700738636049,-0.00028879580857458186,True,116.0,False,False,2,False,,OgolCromgog,76561198042061385,7,-0.0,5192.18017578125,17.010000228881836,-0.0,-854.0000152587891,2.0999999344348907,0.9000000357627869,-0.0,0.0,255.0,128.0,,-0.009391819022345399,-1.5707878295104034,-3.9981008938747724e-08,True,116.0,False,False,False,False,,Evolution,76561198018685722,7.0,325.80999755859375,304.30999755859375,113.68000030517578,-95.10000228881836,-14308.499755859375,2800.1998901367188,-3108.3999633789062,-4535.10009765625,-140.6999969482422,255.0,0.0,0.08347296113815594,-1.068695158039937,0.6689523485889723,True,5,False,6,0.0,False,,True
