,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,178,0,False,0,5109.22069684228,-2.5199999809265137,109.51000213623047,92.54000091552734,-266.1000061035156,27868.5009765625,0.0,-1143.0000305175781,790.8999633789062,5836.6998291015625,0.0,0.04033252238744785,0.253302178287931,-0.040042258007033434,bf81d8692db,games5425898691,24.0,-10.680000305175781,-49.560001373291016,98.52999877929688,-463.3000183105469,20074.7998046875,-6.899999976158142,-5026.9000244140625,-709.8000335693359,-2115.5999755859375,128.0,153.0,1.163817882951559,-0.8444199729925699,-2.4499566256898233,True,3,False,4,31.0,False,,76561198039309853,enpitsu,27.0,0.0,-2179.3798828125,17.049999237060547,0.0,14099.3994140625,2.7000001072883606,-0.7000000029802322,0.0,0.0,255.0,255.0,,0.016700997939493475,1.570774477373452,-2.4226578640790356e-07,True,False,False,116.0,False,False,,MühendisBey,76561198271889310,21.0,-2910.4599609375,4112.3701171875,17.010000228881836,-17226.400146484375,-2200.0999450683594,2.3000000417232513,1.0999999940395355,0.0,2371.0000610351562,255.0,246.0,True,0.009584563721907644,-2.8403531816225693,0.0001614293892918782,True,255.0,False,False,False,False,,Kisacaberk,76561198073293026,21.0,26.479999542236328,953.1400146484375,17.010000228881836,-921.6000366210938,-14731.500244140625,0.0,0.0,0.19999999552965164,-48.400001525878906,255.0,128.0,,0.009597627365022374,-1.639434159509363,5.2186803427431366e-05,True,False,21.61200855880655,True,False,False,,
1,539,13,True,1,2271.6864658885447,1195.4000244140625,2888.1298828125,139.08999633789062,-16516.700439453125,20849.3994140625,1419.4999694824219,-3714.89990234375,-1558.3999633789062,-1771.1000061035156,1.0,-0.2676670663144116,1.607435052768029,1.8503076929139803,76561198271889310,MühendisBey,21.0,1257.0899658203125,2767.110107421875,112.44999694824219,-20250.50048828125,10783.00048828125,1624.9000549316406,4434.2999267578125,-3253.0999755859375,-58.89999866485596,255.0,255.0,0.09770743101792807,0.960571413874565,-0.445708927326303,True,3,4,6,106.68184080687902,True,,76561198073293026,Kisacaberk,21.0,1872.22998046875,-2011.52001953125,17.010000228881836,-4228.599853515625,13429.599609375,2.0999999344348907,-0.0,-0.3999999910593033,-185.79999923706055,255.0,128.0,False,-0.009593016549715271,1.2862453485463732,0.00012555377318705644,True,6,False,172.0,False,6,,enpitsu,76561198039309853,27.0,40.36000061035156,-1750.0,17.049999237060547,-519.7000122070312,19810.50048828125,2.5,-0.19999999552965164,-0.29999999329447746,0.0,255.0,128.0,False,-0.016755406671132022,1.5445624831439404,2.9039247034365085e-05,True,39.0,False,2,2,False,,games5425898691,bf81d8692db,24.0,-269.739990234375,3752.2900390625,17.010000228881836,13885.999755859375,16978.00048828125,2.3000000417232513,-0.29999999329447746,0.5000000074505806,-1946.3999938964844,128.0,0.0,,-0.009587136143028703,2.3316535714929723,-4.922099738753696e-06,True,6,93.0,False,6,False,,True
2,1562,41,True,0,3010.573387602344,1923.02001953125,4083.27001953125,271.7900085449219,-28711.0009765625,18975.10009765625,-9739.89990234375,-3521.199951171875,-1726.9999694824219,4540.5999755859375,0.0,-0.35586941808303485,-2.305443491449202,-0.46831004871257564,bf81d8692db,games5425898691,24.0,2110.10009765625,3979.010009765625,262.9700012207031,-13559.49951171875,15232.2998046875,698.7000274658203,-303.700008392334,-5286.7999267578125,-1485.7000732421875,255.0,244.0,-0.3436976112736922,2.0780795363117477,-0.8750471805156314,True,11,4,12,121.35550968877732,True,,76561198039309853,enpitsu,27.0,-884.4099731445312,1902.510009765625,17.059999465942383,11404.300537109375,-8294.400024414062,1.1999999731779099,-0.3999999910593033,0.5999999865889549,-0.09999999776482582,255.0,255.0,,0.01675981318929304,-0.6288531474997627,5.7922037667464036e-05,True,6,False,255.0,False,4,,MühendisBey,76561198271889310,21.0,-158.7100067138672,4421.7998046875,17.010000228881836,3770.5999755859375,13490.6005859375,2.0999999344348907,-0.3999999910593033,-2.5999999046325684,-386.1000061035156,255.0,58.0,,0.00958267693948293,1.302081982585856,-1.7302765909675022e-05,True,255.0,False,10,10,False,,Kisacaberk,76561198073293026,21.0,1937.489990234375,4264.2099609375,224.2899932861328,4719.100036621094,-4447.5,-257.7000045776367,-3827.39990234375,-3949.7000122070312,-19.90000009536743,0.0,128.0,,-0.09231973862644222,2.372292811615693,3.137281010378372,True,8,210.0,False,6,False,,
3,2746,75,True,0,4976.340495207423,1022.8300170898438,548.47998046875,828.030029296875,-3268.2000732421875,29160.6005859375,-525.2999877929688,-5735.4998779296875,-349.3000030517578,1536.0000610351562,0.0,0.5576163589223447,1.4350157443082867,2.8763133461993884,bf81d8692db,games5425898691,24.0,1048.18994140625,313.79998779296875,721.77001953125,-5850.2001953125,17672.2998046875,6320.9002685546875,-2456.300048828125,398.4000015258789,-309.4000053405762,255.0,114.0,-0.8394476743208505,1.549098794134571,0.29741713154976834,True,10,False,14,76.95012467394596,True,,76561198039309853,enpitsu,27.0,3738.2900390625,142.8800048828125,16.93000030517578,-5960.999755859375,-12358.299560546875,27.999999523162842,2.800000011920929,-39.90000009536743,-1751.4999389648438,255.0,0.0,False,0.015493734617613294,-2.0385272634907117,-0.0024204100214079817,True,8,False,79.0,False,8,,MühendisBey,76561198271889310,21.0,1040.5799560546875,520.530029296875,641.3499755859375,-2128.3999633789062,-4744.2999267578125,4851.499938964844,2592.5,-836.6000366210938,385.2000045776367,255.0,128.0,False,-1.186897927672916,1.616512157736603,2.7838807531147673,True,107.26694180119416,True,16,10,6,,Kisacaberk,76561198073293026,21.0,2663.47998046875,-2531.090087890625,17.010000228881836,-12556.199951171875,-5856.500244140625,2.5,0.09999999776482582,0.0,-2201.0000610351562,255.0,0.0,False,0.009571882406614066,-2.772865839282163,2.3384928595000872e-05,True,16,89.0,False,14,4,,
4,3498,93,False,1,423.9433648595049,628.0399780273438,4811.47998046875,587.469970703125,-1589.2999267578125,14443.1005859375,-6241.300048828125,-3233.3999633789062,-148.29999923706055,5052.0001220703125,1.0,-0.09559981632219074,2.4155581046222845,2.908080530606234,76561198073293026,Kisacaberk,21.0,737.5700073242188,4686.14990234375,573.9099731445312,15606.600341796875,13194.300537109375,4776.9000244140625,-573.4000015258789,-1111.1000061035156,5355.9002685546875,255.0,255.0,0.886618410929078,1.0025248280243586,-1.1415565368957301,True,8,False,10,112.54171195337855,True,,76561198271889310,MühendisBey,21.0,-1432.2900390625,3871.919921875,16.989999771118164,5918.699951171875,-9604.400024414062,4.799999892711639,1.0999999940395355,-1.5000000596046448,1506.6000366210938,255.0,255.0,False,-0.009530379278067127,-2.1190524948037295,0.00023901039585503238,True,6,4,213.0,False,4,,enpitsu,76561198039309853,27.0,556.0999755859375,5037.4501953125,17.049999237060547,5852.2998046875,-1975.8999633789062,2.5999999046325684,5.099999904632568,-1.7000000178813934,-959.8000335693359,128.0,128.0,,-0.01685845987022221,-2.77940899344266,0.0001436550198039456,True,,False,4,4,False,,games5425898691,bf81d8692db,25.0,626.72998046875,5100.1298828125,462.3699951171875,4440.299987792969,552.0000076293945,5677.39990234375,168.89999389648438,2650.2999877929688,-4816.300048828125,255.0,150.0,,1.2535353250982637,-0.7225985420822304,2.913932428251421,True,10,53.083784949394996,True,7,False,,
5,5671,172,False,0,4137.57059199386,207.44000244140625,1152.280029296875,243.44000244140625,-5022.0001220703125,24127.39990234375,8357.5,4105.4998779296875,-4020.7000732421875,-1725.5999755859375,0.0,-0.8679025983213389,-1.0405425594222406,1.6338148221810338,76561198039309853,enpitsu,27.0,214.86000061035156,948.030029296875,185.24000549316406,-9862.999877929688,16799.200439453125,2381.4999389648438,-0.3999999910593033,-0.29999999329447746,0.5999999865889549,128.0,128.0,0.016951659284918347,2.10182186927558,1.403147803344853e-07,True,10,False,16,113.0,False,,bf81d8692db,games5425898691,24.0,1809.1099853515625,343.67999267578125,17.010000228881836,-9028.800048828125,-18828.00048828125,2.3000000417232513,-0.5000000074505806,-1.0000000149011612,-1831.3999938964844,255.0,0.0,,0.009595456763333713,-2.073563618865451,-0.00014843150731600675,True,38,False,197.0,False,34,,MühendisBey,76561198271889310,21.0,-79.19000244140625,2326.85009765625,161.44000244140625,-5120.30029296875,-17744.300537109375,2569.4000244140625,-1941.300048828125,994.7000122070312,1565.8999633789062,255.0,128.0,,-0.7554294857167866,-1.3019832775298223,-0.2370021723521188,True,61.19851162613079,True,40,28,10,,Kisacaberk,76561198073293026,21.0,1846.050048828125,443.6400146484375,354.989990234375,-355.8000183105469,-12295.0,-8048.0999755859375,633.8999938964844,281.1000061035156,1776.6999816894531,,255.0,False,-0.1435855739222362,2.4221930555370723,0.32439930284939816,True,16,,False,8,8,,False
6,5742,175,True,0,1356.982238157236,-948.9199829101562,3784.050048828125,163.6300048828125,7637.8997802734375,29797.19970703125,-1963.6000061035156,-5952.0001220703125,-608.6999893188477,-449.7999954223633,0.0,1.5155820220269995,0.8693922485636949,-0.3343037985043655,bf81d8692db,games5425898691,24.0,-991.5,3549.39990234375,132.11000061035156,2852.9000854492188,22799.29931640625,1024.1000366210938,-1889.6000671386719,5117.900085449219,697.2000122070312,255.0,37.0,0.08307617016545635,1.4192428892298379,0.5209366724529719,True,35,False,40,135.21137196017852,True,,76561198039309853,enpitsu,27.0,-1226.6500244140625,3035.64990234375,17.040000915527344,5738.499755859375,8520.2001953125,3.799999952316284,-2.0000000298023224,-1.4000000059604645,871.6000366210938,128.0,128.0,False,0.016790174076111244,1.0418073070285618,-0.0002870059580300188,True,16,False,82.0,False,10,,MühendisBey,76561198271889310,21.0,-1480.9599609375,2041.0400390625,17.010000228881836,-6544.5001220703125,7703.4002685546875,2.0999999344348907,0.29999999329447746,-0.7999999821186066,-15.499999523162842,255.0,128.0,False,0.009524328639332107,2.272456192102551,8.153408751534149e-05,True,25.0,False,40,30,10,,Kisacaberk,76561198073293026,21.0,288.1700134277344,1263.199951171875,17.010000228881836,-4593.299865722656,14027.2998046875,2.0999999344348907,0.0,-0.5000000074505806,-0.09999999776482582,255.0,128.0,False,0.009593319110085536,1.8872081087938297,6.258793557926924e-05,True,16,0.0,False,8,8,,
7,7149,217,True,0,1886.320651890101,982.030029296875,4963.33984375,170.38999938964844,-24393.40087890625,14090.799560546875,2722.5,3043.699951171875,359.3000030517578,788.4999847412109,0.0,0.012361900031464644,1.7885539992601345,-0.8912325810581766,bf81d8692db,games5425898691,24.0,1129.18994140625,4784.39990234375,129.77000427246094,-11162.19970703125,13009.300537109375,-122.79999732971191,473.69998931884766,-5479.1998291015625,57.69999980926514,255.0,132.0,0.011527079355653001,1.6693108851326934,-1.6529778467444676,True,17,4,20,208.0,False,,76561198039309853,enpitsu,28.0,-82.31999969482422,-1541.8199462890625,17.049999237060547,719.8000335693359,14075.999755859375,2.5999999046325684,0.0,-0.7000000029802322,-92.29999542236328,255.0,128.0,False,0.016772881055088885,1.5091673043431273,9.358001963488647e-05,True,10,False,61.0,False,8,,MühendisBey,76561198271889310,21.0,2247.27001953125,5104.93017578125,273.1600036621094,-7689.69970703125,-355.8000183105469,10330.6005859375,-277.00000762939453,-2059.7000122070312,27.200000286102295,255.0,255.0,False,-0.9157596758181529,-3.134724184451636,-1.5919477197330085,True,255.0,False,22,16,False,,Kisacaberk,76561198073293026,21.0,4079.43994140625,2004.75,304.44000244140625,123.29999923706055,-3587.60009765625,5324.2999267578125,-2472.5,-566.3000106811523,374.90001678466797,255.0,255.0,False,-1.0345838751972092,-1.5631210831558866,1.5667685915769356,True,4,136.0,False,False,False,,
8,8020,239,True,0,4376.684478836869,864.6699829101562,1133.0799560546875,163.7899932861328,-9722.80029296875,28038.20068359375,3664.5001220703125,-2724.4000244140625,3994.5999145507812,-3552.5,0.0,0.608675543320151,2.157012104395806,-0.9491469597441521,bf81d8692db,games5425898691,24.0,1014.3800048828125,850.030029296875,120.69999694824219,-9002.60009765625,20680.6005859375,2195.8999633789062,195.10000228881836,-4487.0001220703125,2097.7000427246094,255.0,255.0,-0.02738001509381123,2.045310068301217,-0.07602918819684361,True,9,False,12,52.0,False,,76561198039309853,enpitsu,27.0,-912.760009765625,-969.6900024414062,17.049999237060547,7157.0001220703125,12149.89990234375,2.5999999046325684,-0.3999999910593033,-0.3999999910593033,0.0,255.0,128.0,,0.01675484294406537,1.038440191758696,5.008866673290532e-05,True,8,False,251.0,False,8,,MühendisBey,76561198271889310,21.0,3242.280029296875,-259.7699890136719,17.010000228881836,15554.49951171875,10885.50048828125,1.899999976158142,0.0,-0.29999999329447746,11.699999570846558,255.0,133.0,False,0.009623576658792031,0.610485188683378,2.880482565679422e-05,True,0.0,False,6,4,False,,Kisacaberk,76561198073293026,21.0,969.4299926757812,1523.1800537109375,149.64999389648438,6608.2000732421875,17972.19970703125,-1561.300048828125,429.70001220703125,-1344.7999572753906,-1278.3999633789062,128.0,128.0,False,-0.7356690525336144,1.8804856079937056,0.10925137769726764,True,6,56.0,False,6,False,,
