,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,170,0.0,False,False,1,5227.758863131913,24.59000015258789,-14.619999885559082,91.94999694824219,11305.400390625,2087.899932861328,-837.3000335693359,-5671.5997314453125,1956.1000061035156,73.89999866485596,1.0,0.09819022524287996,0.1296453378596915,0.4497870146121829,bb0d2c807cb,M4Kodik,5.0,-75.66999816894531,-156.30999755859375,121.4000015258789,9202.999877929688,8589.600219726562,4184.89990234375,1888.8999938964844,-950.2999877929688,5077.200012207031,255.0,67.0,,-0.5260535396912966,2.034178121658272,0.16590513950983246,True,4,0.0,False,False,3,,b3dbbf7820b,Zathaus,5.0,17.739999771118164,-2774.510009765625,17.010000228881836,-1301.3999938964844,5950.3997802734375,2.0999999344348907,-0.0,-0.0,0.0,163.0,128.0,,-0.009585471566083848,1.355436453965896,-7.475599663478543e-06,False,False,116.0,False,False,True,,enpitsu,76561198039309853,23,-256.0,3840.0,17.049999237060547,-0.0,-0.0,2.7000001072883606,-0.3999999910593033,-0.0,0.0,,,,-0.016815442850063967,-1.5707755005357953,7.394987129267032e-06,True,False,False,False,85.0,False,,games5425898691,bf81d8692db,22.0,76.05999755859375,178.55999755859375,79.62000274658203,-9273.200073242188,-20865.50048828125,2112.5999450683594,5064.800109863281,-2144.199981689453,7.799999713897705,128.0,128.0,,-0.6952261087605227,-1.1715081298437124,0.0009598568857423931,True,4,0.0,False,False,3,
1,172,0.0,False,False,0,5155.089773341191,-91.06999969482422,48.13999938964844,92.9800033569336,-12240.30029296875,10778.800048828125,325.99998474121094,3002.3001098632812,727.0999908447266,5143.599853515625,0.0,-0.10449851125040653,0.02325207474045078,0.7868456792829712,bf81d8692db,games5425898691,22.0,-44.2400016784668,-102.70999908447266,76.79000091552734,523.8000106811523,2885.5999755859375,396.5999984741211,-2437.5,2253.9999389648438,2683.900146484375,128.0,128.0,,1.5123053546508012,-1.799767268410825,2.979852003581955,True,4,0.0,False,False,3,,76561198039309853,enpitsu,23.0,256.0,-3840.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,0.0,0.0,,,,0.016815442850063967,1.5707755005357953,7.394987129267032e-06,False,False,85.0,False,False,True,,M4Kodik,bb0d2c807cb,5,31.110000610351562,167.1300048828125,162.52000427246094,-5383.2000732421875,1941.7999267578125,1053.6000061035156,2458.2000732421875,-4796.499938964844,-1095.4000091552734,255.0,52.0,,0.5752149827622429,-2.162777752805003,0.44667640192141206,True,4,False,3,0.0,False,,Zathaus,b3dbbf7820b,5.0,-6.590000152587891,2723.5,17.010000228881836,1376.0000610351562,-6290.999755859375,2.0999999344348907,-0.29999999329447746,0.0,0.0,201.0,128.0,,0.009585471566083848,-1.355436453965896,-7.475599663478543e-06,True,False,116.0,False,False,False,
2,225,2.0,False,False,1,7002.236671113838,2135.27001953125,-1751.699951171875,104.69999694824219,13962.900390625,6138.4002685546875,3649.89990234375,2836.400146484375,985.4000091552734,5194.5001220703125,1.0,-0.3661280508983603,1.5654286382934186,1.7856762839471727,b3dbbf7820b,Zathaus,5.0,1989.6700439453125,-1908.3299560546875,17.010000228881836,16286.300048828125,3616.4999389648438,2.199999988079071,1.8000000715255737,0.19999999552965164,-1600.2999877929688,255.0,0.0,,-0.009599580843677843,2.942859764560268,-0.00030619787238379343,True,False,60.0,False,False,False,,bb0d2c807cb,M4Kodik,5.0,1135.25,-186.5,17.0,9839.500122070312,3088.699951171875,3.1999999284744263,-0.0,-0.0,-122.5,255.0,121.0,,-0.009514474964404584,2.838902574617241,-1.6921521213018545e-05,False,4,0.0,False,4,False,,enpitsu,76561198039309853,23,109.13999938964844,4079.5,17.049999237060547,5481.099853515625,-3562.3001098632812,3.100000023841858,-0.0,0.19999999552965164,2335.2000427246094,255.0,255.0,False,-0.01665207578446333,-2.5518757388912277,4.512922750062154e-05,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,22.0,629.989990234375,-59.59000015258789,17.010000228881836,8844.89990234375,4584.100036621094,2.0999999344348907,-2.8999999165534973,-1.4000000059604645,1285.2999877929688,255.0,146.0,,-0.009521628383923862,2.6158095488722775,-6.890458414792712e-05,True,4,0.0,False,False,4,
3,265,3.0,False,False,1,6488.705121125156,3985.419921875,-566.030029296875,214.55999755859375,1050.999984741211,13753.900146484375,8806.799926757812,-2426.1000061035156,4141.700134277344,-3599.8001098632812,1.0,1.088754725819881,0.42276736138110743,1.8809032823997636,b3dbbf7820b,Zathaus,5.0,4006.389892578125,-653.1699829101562,84.04000091552734,7264.2999267578125,16103.199462890625,6312.1002197265625,512.599983215332,-4247.799987792969,-34.100000858306885,255.0,87.0,,0.3810738931169687,2.003914510707731,-0.6734580387497114,True,False,15.86344080073859,True,False,False,,bb0d2c807cb,M4Kodik,5.0,3185.989990234375,20.229999542236328,96.08000183105469,17763.299560546875,1026.1000061035156,-138.99999618530273,-364.1999816894531,5487.8997802734375,-1.899999976158142,255.0,127.0,,1.5154784248878586,3.0685169948597633,-0.006394905794276096,False,6,0.0,False,6,True,,enpitsu,76561198039309853,23,1787.7099609375,4398.2001953125,17.049999237060547,18079.200439453125,4952.0001220703125,-1.7000000178813934,8.799999952316284,2.3000000417232513,-1163.3999633789062,255.0,128.0,False,-0.016784794027569584,2.9119043244527263,-0.0001763652714770928,True,False,False,False,37.69199130868399,True,,games5425898691,bf81d8692db,22.0,2451.2900390625,1146.1099853515625,52.810001373291016,13920.799560546875,9261.199951171875,-2355.2999877929688,-1291.300048828125,1529.7000122070312,432.90000915527344,255.0,255.0,,0.2891595464071994,2.5417967399747226,0.06171358470597938,False,6,31.0,False,False,6,
4,269,3.0,False,False,1,6323.702348697133,3999.8798828125,-369.54998779296875,333.260009765625,-1297.5999450683594,17594.100341796875,10241.600341796875,1205.8000183105469,2844.1000366210938,-17.799999713897705,1.0,0.9479194479763565,2.058789038503188,-3.109237077223909,b3dbbf7820b,Zathaus,5.0,4057.10009765625,-502.4700012207031,155.4499969482422,4316.600036621094,16831.400146484375,8374.099731445312,-895.1999664306641,-4288.299865722656,754.7000122070312,255.0,255.0,,0.4884495351263527,1.820867214838624,-1.058128409784944,True,False,3.3177548659745084,True,False,False,,bb0d2c807cb,M4Kodik,5.0,3497.159912109375,38.290000915527344,84.20999908447266,17810.899658203125,1028.499984741211,-1172.3999786376953,-208.60000610351562,3297.2000122070312,-5.699999928474426,255.0,127.0,,0.7704906707803253,3.076407377087042,0.0012302128640374955,False,6,255.0,False,6,True,160.0,enpitsu,76561198039309853,23,1959.199951171875,4438.22021484375,17.049999237060547,19215.0,3930.4998779296875,-2.0999999344348907,-0.7000000029802322,-0.09999999776482582,-277.39999771118164,255.0,0.0,True,-0.016776987568767627,2.9637259050790457,0.00021233037843962303,True,False,False,False,38.0,False,,games5425898691,bf81d8692db,22.0,2581.2900390625,1233.300048828125,29.0,14357.80029296875,9961.099853515625,-2760.10009765625,-1594.2999267578125,1527.5,537.2999954223633,255.0,255.0,,0.10814916579068724,2.4674019577330357,0.039739845607682796,False,6,18.454314065235916,True,False,6,
5,365,7.0,False,False,0,9739.851677106926,-2891.64990234375,-4393.2099609375,101.08999633789062,-2984.1000366210938,13217.7001953125,7288.4002685546875,828.7999725341797,4754.800109863281,-3564.2999267578125,0.0,1.457461575123583,-2.981540908126426,-3.0543670031100456,76561198039309853,enpitsu,23.0,-2798.889892578125,-4514.259765625,69.94999694824219,-2265.7000732421875,8720.800170898438,2593.0999755859375,-2988.5000610351562,1699.7999572753906,-2377.7000427246094,255.0,128.0,False,0.07908108679791666,2.125202137974036,0.03410906923231264,True,2,21.0,False,False,1,,bf81d8692db,games5425898691,22.0,1558.7900390625,-4821.89013671875,17.010000228881836,21550.50048828125,1352.1000671386719,2.3000000417232513,-0.5999999865889549,0.0,1929.2999267578125,255.0,240.0,,0.009606586059237233,0.1362020178008672,3.338629099910099e-05,False,8,0.0,False,8,False,,M4Kodik,bb0d2c807cb,5,-1970.3399658203125,2069.159912109375,17.010000228881836,12659.89990234375,-4450.5999755859375,2.199999988079071,0.19999999552965164,0.0,-2279.7000122070312,255.0,0.0,,0.009536846482348062,-0.40508724140644836,-3.640084761705411e-05,True,6,False,6,247.0,False,,Zathaus,b3dbbf7820b,5.0,-3613.580078125,2199.030029296875,103.04000091552734,731.2999725341797,18969.200439453125,-284.7999954223633,-5109.89990234375,199.3000030517578,-0.5999999865889549,255.0,128.0,False,-1.3433632274147895,1.5326520403110546,-0.000886012586606265,False,4,0.0,False,False,4,
6,420,9.0,False,False,0,7411.854160450429,-3469.2900390625,-1810.81005859375,239.36000061035156,-1547.7000427246094,25898.701171875,7017.19970703125,2567.6998901367188,468.6000061035156,-51.19999885559082,0.0,1.2193120524058911,-0.10222974508613869,-0.5009444362804445,76561198039309853,enpitsu,23.0,-3457.8701171875,-1909.7900390625,107.9800033569336,1564.1999816894531,22868.5009765625,1883.699951171875,-3094.7000122070312,4340.400085449219,-1353.8999938964844,255.0,0.0,False,0.6703406872811571,1.5010560548018854,0.5027644979144176,True,4,157.0,False,False,3,,bf81d8692db,games5425898691,22.0,2160.0400390625,-2647.780029296875,17.010000228881836,-14497.5,5849.0997314453125,2.0999999344348907,-0.7000000029802322,0.29999999329447746,-305.2000045776367,255.0,128.0,,0.009597545316005924,2.729046134486527,0.00011370827863381557,False,8,255.0,False,8,True,,M4Kodik,bb0d2c807cb,5,-3127.169921875,-659.5900268554688,107.37000274658203,-11974.000244140625,-19352.39990234375,3043.9999389648438,-505.8000183105469,320.49999237060547,-444.0999984741211,255.0,128.0,,-0.12305564391205319,-2.2284448361120957,0.004751275770864737,True,8,False,6,152.0,False,,Zathaus,b3dbbf7820b,5.0,-1629.0699462890625,4393.43994140625,16.989999771118164,7121.099853515625,-13174.300537109375,4.900000095367432,0.0,0.5999999865889549,-2109.4000244140625,255.0,0.0,False,0.0095596510129086,-1.1522860314369803,4.9035717846126475e-05,True,4,255.0,False,False,4,
7,483,11.0,False,False,1,9522.136818556166,3837.2099609375,-3916.510009765625,140.41000366210938,19711.8994140625,-7026.9000244140625,7481.400146484375,4543.399963378906,-3696.6000366210938,-1300.7000732421875,1.0,-1.011297742561326,0.985055059384942,-1.4545875325739883,b3dbbf7820b,Zathaus,5.0,3699.739990234375,-3953.070068359375,17.18000030517578,19337.099609375,-4648.599853515625,225.6999969482422,-900.8000183105469,-663.7000274658203,1717.5,255.0,228.0,False,-0.0027262846527396343,-2.955793791176917,-0.006154391597066687,True,4,175.61425362607486,True,False,4,,bb0d2c807cb,M4Kodik,5.0,4078.989990234375,2778.469970703125,547.9299926757812,-3.1999999284744263,5897.39990234375,2806.6000366210938,-2371.4999389648438,-0.0,0.0,255.0,255.0,,0.49433384705052463,1.581573154548857,-1.5656707181421807,False,8,135.0,False,8,False,,enpitsu,76561198039309853,23,3628.02001953125,-2884.659912109375,17.030000686645508,-393.69998931884766,-9469.500122070312,5.099999904632568,-0.0,0.7000000029802322,-160.0,0.0,128.0,False,-0.01731655757830414,-1.5075584153659671,0.00013159384280737844,True,4,False,4,81.0,False,,games5425898691,bf81d8692db,22.0,-1190.300048828125,-675.4299926757812,17.010000228881836,-11507.19970703125,-16922.80029296875,2.0999999344348907,0.5000000074505806,0.7000000029802322,-131.09999656677246,255.0,103.0,,-0.009591904305869703,-0.9699228429081461,2.34822363402245e-05,True,8,198.0,False,False,8,
8,507,12.0,False,False,1,9473.86815940424,3894.8701171875,-3846.7099609375,1066.1400146484375,-3177.6998901367188,5889.5001220703125,9807.80029296875,12.200000286102295,790.1000213623047,1833.3000183105469,1.0,-0.752224447444908,3.00455798175453,2.2252752232363604,b3dbbf7820b,Zathaus,5.0,3980.699951171875,-3997.2099609375,980.77001953125,-1230.0,4064.5999145507812,11181.300048828125,-1907.4000549316406,1113.499984741211,544.1999816894531,218.0,254.0,False,1.2599383617913844,2.0774354887388387,-1.54364905453678,True,5,175.0,False,False,4,,bb0d2c807cb,M4Kodik,5.0,3985.719970703125,3523.840087890625,63.650001525878906,-11643.299560546875,5691.400146484375,-9369.400024414062,-417.7000045776367,5423.0999755859375,815.4000091552734,255.0,255.0,,-0.5903554221856306,0.40002601757728456,-0.2314867423915144,False,8,63.480903307596876,True,8,False,,enpitsu,76561198039309853,23,3453.590087890625,-3206.4599609375,17.040000915527344,-5959.69970703125,-2983.0999755859375,4.4999998807907104,-0.09999999776482582,-0.09999999776482582,-2611.4999389648438,255.0,0.0,False,-0.016683258000387453,-0.37302731771492814,-5.246811063760959e-05,True,4,False,4,81.0,False,,games5425898691,bf81d8692db,22.0,-1946.1099853515625,-2156.010009765625,17.010000228881836,2124.600067138672,-18601.99951171875,2.3000000417232513,0.29999999329447746,0.3999999910593033,1973.6000061035156,128.0,255.0,,-0.009607398859358698,-1.7598384041843786,2.94976183675757e-05,True,8,198.0,False,False,8,
9,550,13.0,False,False,1,8453.847430764432,3400.219970703125,-2934.429931640625,1774.4100341796875,-5770.3997802734375,7613.4002685546875,-1173.3999633789062,-218.70000839233398,-120.0,1039.7000122070312,1.0,-0.40275859544257253,-0.6632428382044301,3.1279246365898175,b3dbbf7820b,Zathaus,5.0,3527.8798828125,-3078.52001953125,1846.5,-4765.7000732421875,7308.0999755859375,-916.5000152587891,100.10000228881836,326.3999938964844,153.99999618530273,128.0,128.0,False,-0.8710528272731863,1.105070422370341,-0.8237343172626207,True,6,144.0,False,False,4,,bb0d2c807cb,M4Kodik,5.0,1730.6099853515625,1629.3900146484375,95.0199966430664,-12613.00048828125,-18924.100341796875,-333.69998931884766,4154.89990234375,-2759.4000244140625,-106.5999984741211,255.0,124.0,,1.3113826005883003,-1.387701582568065,-0.39278600052003365,False,10,13.0,False,10,False,,enpitsu,76561198039309853,23,2956.219970703125,-2092.610107421875,17.040000915527344,7621.199951171875,9915.900268554688,3.799999952316284,-0.5999999865889549,-0.7999999821186066,-40.79999923706055,255.0,255.0,False,-0.016728436367795547,2.2313126099434943,9.657957488990341e-05,True,4,False,4,81.0,False,,games5425898691,bf81d8692db,22.0,-782.1799926757812,-2066.25,17.010000228881836,3009.7000122070312,12365.799560546875,2.0999999344348907,-0.0,-0.0,-168.70000839233398,255.0,104.0,,-0.009554701674949768,1.807478842145004,-9.111456927947649e-05,True,8,229.0,False,False,8,
