,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_jump_active,opp_1_ball_cam,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,False,0,5199.799880126264,34.150001525878906,24.06999969482422,112.06999969482422,9479.400024414062,24531.59912109375,6037.0001220703125,2353.699951171875,946.9000244140625,-5437.1002197265625,0.0,0.010046558849740428,-0.28647838189844005,-0.08663113124759098,76561198039309853,enpitsu,25.0,45.90999984741211,-94.44999694824219,117.68000030517578,-5883.499755859375,11454.49951171875,168.29999923706055,-5268.599853515625,-1577.5,55.900001525878906,255.0,0.0,,1.0570132484853552,-3.0676597429000196,1.5065602810610799,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,20.0,0.0,-5182.39013671875,17.010000228881836,0.0,-4480.0,2.0999999344348907,0.5999999865889549,0.0,0.0,255.0,,,0.009307895008490451,1.5707874726900763,7.588230171302808e-06,True,False,False,False,116.0,False,,YeetusMcTweetus,bbdbb11cb3b,7,-104.30000305175781,132.8699951171875,64.47000122070312,13174.49951171875,-4046.6000366210938,3031.7001342773438,-5188.699951171875,-1711.0000610351562,631.5999984741211,255.0,253.0,,-0.09703622766149718,-0.7347196193117803,-0.07076767844890715,0.0,False,False,3,4,True,,sneaky66,2533274807041921,10.0,0.0,2650.760009765625,17.0,0.0,-13788.900146484375,3.1999999284744263,0.5000000074505806,0.0,0.0,254.0,,,0.009491002051939094,-1.570788333951418,-7.591492694921523e-06,False,False,False,False,146.0,False,
1,170,0,False,False,1,5291.622105506088,-100.69000244140625,-56.90999984741211,120.7300033569336,-25723.89892578125,-7305.999755859375,2206.3999938964844,1059.800033569336,-1515.8000183105469,5707.7001953125,1.0,-0.0677000206283882,0.3842053246118802,-0.041784540617557826,bbdbb11cb3b,YeetusMcTweetus,7.0,104.30000305175781,-132.8699951171875,64.47000122070312,-13174.49951171875,4046.6000366210938,3031.7001342773438,5188.699951171875,1711.0000610351562,631.5999984741211,255.0,253.0,,0.09703622766149718,0.7347196193117803,-0.07076767844890715,True,0.0,False,4,False,3,,2533274807041921,sneaky66,10.0,-0.0,-2535.179931640625,17.0,-0.0,13934.000244140625,3.1999999284744263,-0.5000000074505806,-0.0,0.0,255.0,,,-0.009491002051939094,1.570788333951418,-7.591492694921523e-06,True,False,False,False,146.0,False,,enpitsu,76561198039309853,25,-45.90999984741211,94.44999694824219,117.68000030517578,5883.499755859375,-11454.49951171875,168.29999923706055,5268.599853515625,1577.5,55.900001525878906,255.0,0.0,,-1.0570132484853552,3.0676597429000196,1.5065602810610799,0.0,False,False,1,2,True,,games5425898691,bf81d8692db,20.0,-0.0,5182.39013671875,17.010000228881836,-0.0,4480.0,2.0999999344348907,-0.5999999865889549,-0.0,0.0,255.0,,,-0.009307895008490451,-1.5707874726900763,7.588230171302808e-06,True,False,False,False,116.0,False,
2,300,4,False,False,0,5576.0981954262215,3764.580078125,2078.64990234375,517.8800048828125,1688.6000061035156,6132.5,12103.299560546875,3932.0999145507812,-4468.800048828125,-753.0999755859375,0.0,0.6966641850033045,-2.4957563305655444,1.3283604717018,76561198039309853,enpitsu,25.0,3776.93994140625,2078.8798828125,352.0899963378906,16040.30029296875,14694.7998046875,1520.2999877929688,-1226.3999938964844,-1047.3999786376953,-48.400001525878906,255.0,,,-0.9623033051042718,0.7709201325704356,-0.03559512361815827,True,0.0,False,4,False,3,,bf81d8692db,games5425898691,20.0,3118.68994140625,-2119.739990234375,17.010000228881836,-3263.0999755859375,13656.500244140625,2.0999999344348907,0.0,0.7000000029802322,-250.6999969482422,255.0,128.0,,0.009580944906539834,1.7823311507048896,8.879998032922971e-05,True,False,False,False,255.0,False,,YeetusMcTweetus,bbdbb11cb3b,7,3545.6201171875,1525.4300537109375,29.719999313354492,-17182.39990234375,7596.199951171875,63.80000114440918,-2524.499969482422,-3787.0001220703125,294.6999931335449,255.0,66.0,,0.10508020983972619,2.779704794224642,0.1797264232211999,255.0,False,False,8,8,True,,sneaky66,2533274807041921,9.0,3758.43994140625,3272.43994140625,16.950000762939453,-4105.10009765625,-4011.099853515625,12.599999904632568,-5.400000214576721,-29.30000066757202,-2248.6000061035156,255.0,0.0,,0.008651314380177388,-2.337973705023396,-0.0016403594242702312,True,False,False,False,255.0,False,
3,385,7,False,False,1,10079.806611333252,-3803.010009765625,-3777.5,896.7899780273438,5137.80029296875,14142.099609375,3889.89990234375,5981.6998291015625,37.99999952316284,-466.19998931884766,1.0,0.4707039855446473,1.417729635074489,0.3647661949134527,2533274807041921,sneaky66,9.0,-3813.800048828125,-3835.22998046875,777.7899780273438,708.0999755859375,15190.899658203125,-18.99999976158142,-2318.300018310547,4875.199890136719,1052.300033569336,254.0,0.0,False,0.12150458753385161,1.297906330212758,2.774703557670573,True,208.12155703062658,True,4,False,3,,bbdbb11cb3b,YeetusMcTweetus,7.0,271.510009765625,-4084.949951171875,17.049999237060547,-6724.2999267578125,-10808.00048828125,4.000000059604645,-0.29999999329447746,-0.19999999552965164,-3329.2001342773438,255.0,0.0,False,-0.016750134918192806,-0.7246030074398045,-9.555927204985957e-05,True,10,False,8,255.0,False,,enpitsu,76561198039309853,25,-3826.909912109375,-3715.409912109375,18.440000534057617,-5162.2998046875,9087.80029296875,198.50000381469727,-293.1999969482422,541.8999862670898,-1154.4000244140625,255.0,128.0,,-8.49388649270199e-06,1.1117934778705136,0.04574585979661684,0.0,False,False,4,4,True,,games5425898691,bf81d8692db,20.0,-3753.8701171875,-3528.260009765625,563.0399780273438,-2215.7000732421875,-22119.599609375,5900.0,1264.000015258789,-360.40000915527344,267.2999954223633,255.0,139.0,,1.0295045137109973,-0.9469779154162885,0.4691040001377537,True,4,False,False,127.08427528155751,True,
4,485,11,False,True,1,5624.910284498764,-2187.969970703125,435.8800048828125,370.3900146484375,13543.800048828125,21599.69970703125,719.7000122070312,754.8000335693359,1513.5000610351562,-5756.5997314453125,1.0,0.025296649137666428,2.1631213789908426,0.7569741181904347,bbdbb11cb3b,YeetusMcTweetus,7.0,-2319.22998046875,283.30999755859375,279.2300109863281,-417.09999084472656,20868.60107421875,2170.2999877929688,1269.4000244140625,4136.9000244140625,1792.2000122070312,128.0,0.0,False,0.7357813584185816,1.4765110101847068,0.7855137391277461,True,156.0,False,10,False,11,,2533274807041921,sneaky66,9.0,-2894.340087890625,2601.10009765625,16.989999771118164,-3095.4000854492188,19268.199462890625,4.399999976158142,0.5000000074505806,-3.100000023841858,393.3000183105469,243.0,88.0,False,-0.009571280983953852,1.3583614773695187,-0.00017645987665786643,True,4,False,4,145.0,False,,enpitsu,76561198039309853,25,-3359.820068359375,2342.72998046875,94.55999755859375,3200.4000854492188,22652.39990234375,-154.7000026702881,-5444.0997314453125,782.0999908447266,0.7999999821186066,128.0,128.0,,0.4160600697762612,-1.4281570987226706,3.1414288827670607,0.0,False,False,8,8,True,,games5425898691,bf81d8692db,20.0,-1930.72998046875,-4523.8798828125,17.0,307.39999771118164,11266.99951171875,0.9000000357627869,-0.09999999776482582,-0.29999999329447746,-421.3999938964844,255.0,128.0,,-0.009535318770513819,1.6376022092506937,0.00025390200566669793,True,4,4,False,79.08436136091909,True,
5,542,13,False,False,1,863.3511738903106,363.7900085449219,4460.2001953125,121.7300033569336,14560.30029296875,10568.00048828125,1765.8000183105469,-2275.2000427246094,413.10001373291016,-5536.400146484375,1.0,0.1254391768657558,2.1050530334934057,0.7221311446241555,2533274807041921,sneaky66,9.0,270.67999267578125,4512.4599609375,16.989999771118164,18290.0,13833.499755859375,4.399999976158142,1.4000000059604645,1.0000000149011612,1091.500015258789,247.0,211.0,False,-0.009563448535695726,2.4951870156741047,0.00023908170196517125,False,95.0,False,4,False,4,,bbdbb11cb3b,YeetusMcTweetus,7.0,-2840.64990234375,4357.77001953125,17.059999465942383,-16176.99951171875,11092.2998046875,1.899999976158142,-0.19999999552965164,0.09999999776482582,2061.3999938964844,255.0,255.0,False,-0.01677757161340833,0.524936152986742,-3.3040069144598517e-05,True,12,False,10,156.0,False,,enpitsu,76561198039309853,25,-619.1400146484375,4852.47021484375,101.6500015258789,22708.798828125,-3179.1000366210938,-16.799999475479126,3805.4998779296875,3928.800048828125,-575.8000183105469,128.0,128.0,,-0.8284305609583148,2.464040137513296,1.3866871369880918,0.0,False,False,9,10,True,,games5425898691,bf81d8692db,20.0,-1818.47998046875,-486.42999267578125,16.06999969482422,192.90000915527344,22998.9990234375,77.30000019073486,24.600000381469727,-4.300000071525574,-124.30000305175781,255.0,128.0,,-0.011936863808112548,1.5889260395421665,0.00043350805873773406,True,6,6,False,64.9832861526038,True,
6,558,14,False,False,1,315.69654323211296,1179.3900146484375,5000.8798828125,135.02000427246094,8036.9000244140625,-6420.0,3403.2000732421875,-1008.0999755859375,2889.2999267578125,5160.9002685546875,1.0,0.4648944932393592,-1.4174947863116516,-0.17979808829752733,2533274807041921,sneaky66,9.0,895.2999877929688,5090.02978515625,62.040000915527344,2687.7999877929688,1728.0000305175781,1403.3000183105469,3800.0,-2835.0,1394.9000549316406,255.0,0.0,,1.1472201747145756,2.4904858800623724,0.44239749841379844,True,95.0,False,4,False,4,,bbdbb11cb3b,YeetusMcTweetus,7.0,-3847.139892578125,4187.14013671875,233.88999938964844,-11291.400146484375,-11742.2998046875,632.9000091552734,1619.9000549316406,-946.3999938964844,1345.7000732421875,255.0,255.0,,0.00708436305218343,-0.8070498937702483,-1.482766015661517,True,12,False,10,156.0,False,,enpitsu,76561198039309853,25,706.6099853515625,4668.89990234375,87.30999755859375,22730.50048828125,-3147.9998779296875,-966.2000274658203,2189.7000122070312,2471.699981689453,-733.4999847412109,0.0,,,0.46471465806032347,2.8239569830292135,-0.8602910793612356,,False,False,10,10,True,,games5425898691,bf81d8692db,20.0,-1559.3399658203125,824.469970703125,16.989999771118164,8505.10009765625,21368.701171875,3.0000001192092896,-0.09999999776482582,-0.19999999552965164,-127.20000267028809,255.0,128.0,,-0.009589396102550343,1.9628141984373637,7.165145925113607e-05,True,6,6,False,22.0,False,
7,624,16,False,False,0,9111.380734359349,-2801.550048828125,-3769.889892578125,112.6500015258789,7704.2999267578125,3057.0001220703125,5219.0997314453125,-696.2000274658203,-5687.19970703125,-1780.7000732421875,0.0,0.6584595080116583,2.428306451628941,-1.101037205110129,76561198039309853,enpitsu,25.0,-2993.919921875,-3812.449951171875,17.049999237060547,4671.000061035156,6312.80029296875,3.1999999284744263,0.09999999776482582,0.19999999552965164,-2450.0,255.0,0.0,False,0.016664179897520785,0.919466986449289,-3.868748942323133e-05,True,242.0,False,10,False,10,,bf81d8692db,games5425898691,21.0,3052.830078125,-4956.8701171875,200.57000732421875,-13169.599609375,-10185.499877929688,4227.900085449219,-1260.6999969482422,-2972.0999145507812,-1591.0000610351562,255.0,0.0,,-0.22300867506130567,-2.480955265151778,1.392641725052707,True,6,False,6,255.0,False,,YeetusMcTweetus,bbdbb11cb3b,7,1596.760009765625,-1072.1500244140625,16.989999771118164,-13453.900146484375,14348.800048828125,19.600000381469727,4.4999998807907104,4.399999976158142,46.19999885559082,255.0,128.0,,0.01710885583632274,2.3290132527825413,-2.536771356061403e-05,156.0,False,False,14,12,True,,sneaky66,2533274807041921,9.0,-3220.8701171875,-3788.52001953125,16.989999771118164,-2905.2999877929688,19268.599853515625,4.600000083446503,-0.29999999329447746,0.19999999552965164,-2036.300048828125,253.0,0.0,,0.009544087254542715,1.6454487515617948,-1.7692268689544798e-05,True,4,4,False,0.0,False,
8,667,18,False,False,0,8462.644553123551,-1629.68994140625,-3290.780029296875,131.89999389648438,3076.300048828125,13132.099609375,2850.8999633789062,3070.7000732421875,1698.8999938964844,-4866.600036621094,0.0,-0.6970118229262576,-0.1984893461809916,2.9145051655589356,76561198039309853,enpitsu,25.0,-1630.25,-3462.659912109375,17.059999465942383,2701.099853515625,11596.8994140625,2.0000000298023224,0.0,-0.09999999776482582,2377.2000122070312,255.0,0.0,False,0.01671550530040959,1.4019403485316744,9.538368097660733e-06,True,238.8632257753803,True,10,False,10,,bf81d8692db,games5425898691,21.0,578.5399780273438,-4841.72021484375,17.0,-15449.100341796875,4890.0,3.4999999403953552,-0.29999999329447746,0.0,-1985.0,255.0,0.0,,0.009593064319175157,2.7709010220945642,-3.6765242401869225e-05,True,6,False,6,255.0,False,,YeetusMcTweetus,bbdbb11cb3b,7,-710.0700073242188,962.9500122070312,17.049999237060547,-18099.000244140625,6648.2000732421875,2.5999999046325684,-0.19999999552965164,0.0,336.50001525878906,255.0,128.0,,0.01676971850902195,2.8199646650968524,-0.00015703709211345205,156.0,False,False,14,12,True,,sneaky66,2533274807041921,9.0,-3634.47998046875,-817.969970703125,16.989999771118164,-1156.9999694824219,18232.5,4.399999976158142,0.0,-0.29999999329447746,-2.0999999344348907,233.0,128.0,,0.009570958904845705,1.6339068136839647,3.495162935025932e-05,True,4,4,False,0.0,False,
9,686,18,False,False,0,7558.828625970251,-1423.3599853515625,-2400.409912109375,179.72999572753906,925.5999755859375,15556.300048828125,3433.2000732421875,3291.7001342773438,286.70000076293945,-4767.39990234375,0.0,-0.08428470038947077,2.2519982630432858,1.8737953829539242,76561198039309853,enpitsu,25.0,-1386.6500244140625,-2488.52001953125,55.13999938964844,4656.400146484375,16337.60009765625,3662.7999877929688,-699.8000335693359,186.90000534057617,1813.0999755859375,255.0,255.0,False,0.04078925257682823,1.4082961990032,0.0032242477978234123,True,201.0,False,12,False,11,,bf81d8692db,games5425898691,21.0,-117.9000015258789,-4096.3701171875,17.0,-2842.6998901367188,14516.99951171875,3.4999999403953552,-0.29999999329447746,0.19999999552965164,-2059.600067138672,255.0,0.0,,0.009565850008016671,1.6983851697808297,-3.1100894672989783e-05,True,6,False,6,255.0,False,,YeetusMcTweetus,bbdbb11cb3b,7,-1801.97998046875,1621.75,17.049999237060547,-13008.199462890625,13469.3994140625,2.5,0.5000000074505806,-0.3999999910593033,-35.0,255.0,128.0,,0.016787179355294397,2.3348024190230174,6.759658230838106e-05,156.0,False,False,14,12,True,,sneaky66,2533274807041921,9.0,-3598.02001953125,379.9700012207031,16.989999771118164,6837.7001953125,16244.7998046875,4.600000083446503,0.09999999776482582,0.3999999910593033,-1973.9999389648438,253.0,0.0,,0.009560592868921787,1.105315707148272,-5.5089432706941615e-05,True,4,4,False,255.0,False,
