,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect
0,167,0.0,False,False,1,5204.447304048928,-8.140000343322754,14.6899995803833,95.52999877929688,-10930.699462890625,27593.60107421875,4518.999938964844,26.30000114440918,-471.30001068115234,2555.500030517578,1.0,-0.003934827074606064,-0.021304164244630237,-0.00016849365507230716,dbfe38a966f84966b0aefd115d279448,NoobSlayer.2013,14.0,46.18000030517578,-149.27999877929688,56.029998779296875,-11763.1005859375,15980.10009765625,3170.0,455.8000183105469,2654.5001220703125,-4795.299987792969,255.0,0.0,,-0.0023500736935797416,1.0362560728107828,0.019122105440257192,True,5,False,4,0.0,False,,c3e6b58a4f9a490b827ab694c3ff6a1f,Stefnir97,15.0,-1820.27001953125,-4258.75,17.010000228881836,-17388.499755859375,-7259.2999267578125,2.5,-1.0000000149011612,-0.3999999910593033,-1740.7000732421875,255.0,0.0,,-0.00959445671324905,-0.3524718537786571,-0.00018188167708597805,True,False,False,False,31.0,False,,enpitsu,76561198039309853,26,-135.42999267578125,378.19000244140625,86.77999877929688,14474.89990234375,-17696.8994140625,2502.5,2856.400146484375,2336.300048828125,0.0,255.0,0.0,,-0.19546138302865426,-2.2564168810516727,1.536777414304508e-05,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-1502.010009765625,3697.889892578125,17.010000228881836,-15401.800537109375,8421.599731445312,0.0,0.5999999865889549,-0.5000000074505806,-11.000000238418579,255.0,128.0,,-0.009584719727826705,0.5019316469540395,4.336568595230574e-05,True,1.7724130999657413,True,False,False,False,
1,170,0.0,False,False,0,5381.026990137868,89.83999633789062,-149.9499969482422,181.3000030517578,14674.7998046875,5899.69970703125,17097.19970703125,3275.0,362.90000915527344,-5014.200134277344,0.0,0.1120679909859466,-0.24520446534437562,0.12043481435117702,76561198039309853,enpitsu,26.0,9.779999732971191,-247.85000610351562,103.38999938964844,-12596.199951171875,9255.900268554688,1546.0000610351562,-967.5,-752.3999786376953,-5361.5997314453125,255.0,0.0,,0.831004134505751,2.2174200537233966,0.12520371197563768,True,2,False,1,0.0,False,,bf81d8692db,games5425898691,24.0,1646.739990234375,-3777.219970703125,17.010000228881836,15966.600341796875,-8765.10009765625,1.5999999642372131,-0.29999999329447746,0.29999999329447746,-2.5,255.0,128.0,,0.009584730153780793,-0.5024329155029111,4.0963337869918174e-05,True,False,False,False,0.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,14,53.060001373291016,17.040000915527344,80.08999633789062,3728.2000732421875,-13055.999755859375,1974.7000122070312,-3656.0000610351562,-3285.8999633789062,-2423.5000610351562,255.0,0.0,,-0.2405327156110907,-1.443552047278916,0.1666880455122111,True,0.0,False,6,False,5,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,2103.47998046875,4346.330078125,17.010000228881836,18167.80029296875,4391.600036621094,2.3000000417232513,-0.5999999865889549,0.0,-215.79999923706055,255.0,128.0,,0.00958281344295025,0.21330295111445763,0.00014153487160678094,True,31.0,False,False,False,False,
2,248,2.0,True,False,1,7885.629739159307,-3580.60009765625,-1351.780029296875,836.1799926757812,1659.4000244140625,5113.299865722656,362.7000045776367,3533.3999633789062,-4679.100036621094,1272.9000091552734,1.0,-0.34639473391801695,-0.258602244352035,-2.4719913140895238,c3e6b58a4f9a490b827ab694c3ff6a1f,Stefnir97,15.0,-3644.590087890625,-1423.97998046875,742.010009765625,13912.80029296875,14557.80029296875,-2299.4000244140625,4981.7999267578125,1763.0000305175781,1524.1000366210938,255.0,33.0,True,-0.003739398236123706,2.282875564438414,2.614044380337766,True,4,False,3,201.75692050687732,True,,dbfe38a966f84966b0aefd115d279448,NoobSlayer.2013,14.0,-2395.389892578125,1034.8800048828125,140.19000244140625,-14582.7001953125,-11030.0,-146.19999885559082,2928.2998657226562,-4618.699951171875,-584.7000122070312,255.0,128.0,,0.714270596598978,-3.12753012562849,-2.6581916582816603,False,False,8,7,0.0,False,,enpitsu,76561198039309853,26,3071.889892578125,220.4499969482422,17.059999465942383,7318.599853515625,9032.19970703125,2.199999988079071,1.0000000149011612,0.19999999552965164,-2189.4000244140625,255.0,0.0,True,-0.016852688643562305,2.296444904699102,-0.00010578738951578927,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-4010.97998046875,367.3399963378906,92.16999816894531,-1985.5999755859375,-18736.099853515625,2081.4999389648438,1149.7000122070312,1226.9999694824219,658.7999725341797,255.0,236.0,,0.10710778803860377,-1.4518196786691313,-0.7922176492233435,True,205.0,False,False,False,False,
3,290,4.0,False,False,0,6222.217022658404,3337.7099609375,580.2100219726562,144.13999938964844,2086.9000244140625,-9583.900146484375,-957.2000122070312,-2950.0,3157.0999145507812,1094.7000122070312,0.0,0.010964035087594519,-2.0508477247273666,0.36534901325835023,bf81d8692db,games5425898691,25.0,3320.56005859375,684.25,17.020000457763672,-4587.39990234375,-7846.300048828125,1.4000000059604645,0.29999999329447746,0.19999999552965164,2471.199951171875,255.0,255.0,,0.00951476497769304,-2.0590537115220258,3.5843559356329364e-05,True,False,False,False,205.0,False,,76561198039309853,enpitsu,26.0,-3435.590087890625,195.72000122070312,17.059999465942383,10273.900146484375,507.09999084472656,-0.9000000357627869,0.0,0.0,-2403.8999938964844,255.0,128.0,,0.01668630445839506,0.0030590350797666623,9.337637978029184e-06,True,False,2,2,236.28804308111953,True,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,14,3075.510009765625,911.3099975585938,18.31999969482422,-3379.5001220703125,14801.500244140625,4.4999998807907104,0.0,-0.29999999329447746,-429.70001220703125,255.0,128.0,,0.01705092270341155,1.7530270280608342,0.00020181597430791884,True,227.0,False,8,False,8,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,1498.25,-792.3499755859375,385.6300048828125,-14510.2001953125,-14648.699951171875,-6660.7000732421875,940.2999877929688,116.30000114440918,-1527.2999572753906,235.0,106.0,,0.5594640005090611,2.9796205646036302,1.4052722289383153,True,200.0,False,4,4,False,
4,329,5.0,False,False,0,7225.408888061443,3640.22998046875,-483.9800109863281,93.41000366210938,2179.600067138672,-5705.2001953125,138.1999969482422,5535.10009765625,2139.600067138672,885.2999877929688,0.0,-1.0078888531001793,1.8447714905814605,1.375998822027621,bf81d8692db,games5425898691,25.0,3526.56005859375,-621.3200073242188,17.010000228881836,12065.50048828125,-1347.2999572753906,2.5999999046325684,0.09999999776482582,0.0,2354.4000244140625,255.0,255.0,,0.009545247702552538,-0.046114255182731156,-3.125642447865459e-05,True,False,False,False,205.0,False,,76561198039309853,enpitsu,26.0,-1904.3699951171875,-1239.9000244140625,17.059999465942383,4845.199890136719,-15917.39990234375,1.5999999642372131,-0.19999999552965164,0.5000000074505806,-39.40000057220459,255.0,255.0,,0.016785458654643978,-1.279924146325768,6.0485374512128735e-05,True,False,2,2,228.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,15,2309.070068359375,1724.43994140625,18.329999923706055,3206.300048828125,-5969.4000244140625,3.3000001311302185,-1.8000000715255737,2.7000001072883606,1409.4999694824219,255.0,133.0,False,0.016943441225659554,-1.0098501486174987,-0.00024823431827870326,True,210.0,False,8,False,8,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,796.4299926757812,-1416.4599609375,17.010000228881836,3934.8001098632812,6312.7001953125,2.800000011920929,-0.7000000029802322,-0.7999999821186066,2078.0999755859375,255.0,255.0,,0.009508925431900912,0.9918307930249743,0.0002803876967264147,True,200.0,False,4,4,False,
5,346,6.0,False,False,0,7131.103789564198,3942.1201171875,-98.81999969482422,265.3900146484375,-2508.3999633789062,11283.699951171875,3778.2000732421875,705.4000091552734,656.8000030517578,1606.1000061035156,0.0,-0.11351250763644487,-0.3602941372394122,0.6244015130098498,bf81d8692db,games5425898691,25.0,4045.39990234375,-223.55999755859375,203.83999633789062,-536.3000106811523,10503.599853515625,5919.6002197265625,-2509.4000244140625,-2984.5999145507812,-742.3000335693359,255.0,241.0,,-0.42195382338388754,1.466223058188446,-1.3171056145194846,True,5,False,False,205.0,False,,76561198039309853,enpitsu,26.0,-1358.4599609375,-2012.2900390625,17.059999465942383,14184.49951171875,-5925.3997802734375,2.0000000298023224,0.0,0.0,2077.2999572753906,255.0,128.0,,0.016774118390332313,-0.3295651608192603,5.254054839534099e-06,True,False,2,2,228.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,15,2667.35009765625,1318.3699951171875,18.329999923706055,8512.2998046875,-6464.6002197265625,3.3000001311302185,1.1999999731779099,-0.7000000029802322,85.79999923706055,255.0,128.0,False,0.016982366188713436,-0.6347583467795421,-0.00014413757521018763,True,210.0,False,8,False,8,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,827.02001953125,-867.6199951171875,80.38999938964844,508.1999969482422,14884.599609375,2579.1000366210938,-5253.4002685546875,1585.2999877929688,-371.6999816894531,255.0,84.0,,0.43751285167301673,1.719271670504992,0.16618368667490882,True,200.0,False,5,6,False,
6,416,9.0,False,True,0,3285.841894342203,2024.6500244140625,3634.489990234375,164.22999572753906,-19982.39990234375,15485.699462890625,1815.2000427246094,-3263.699951171875,4602.099914550781,660.8000183105469,0.0,-0.3865592193732132,-2.862539538337154,-0.1832809784616831,bf81d8692db,games5425898691,24.0,2178.56005859375,3584.6201171875,112.80000305175781,-17713.800048828125,13817.39990234375,2718.599853515625,-1643.6000061035156,-5240.3997802734375,293.29999923706055,128.0,145.0,,0.8447170445249517,2.725538299379066,-0.05731051602676329,True,8,False,5,144.0,False,,76561198039309853,enpitsu,26.0,-69.31999969482422,262.42999267578125,17.059999465942383,-1446.6000366210938,14013.599853515625,1.7000000178813934,0.3999999910593033,-5.199999809265137,-288.1999969482422,255.0,0.0,,0.016764582824642035,1.679552622349589,-1.2067915634875476e-05,True,False,2,2,250.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,15,2506.409912109375,3370.64990234375,18.329999923706055,-14326.99951171875,17992.60009765625,-0.5999999865889549,1.2999999523162842,-1.8000000715255737,1634.4000244140625,255.0,255.0,False,0.017057852696912377,2.2851559902873793,0.00022554423279549007,True,59.650056131424364,True,8,False,8,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,1788.1500244140625,3510.419921875,162.52000427246094,16497.099609375,16015.2001953125,596.6999816894531,-98.00000190734863,4132.300109863281,-188.1999969482422,248.0,59.0,,-0.1414172754068728,0.6738608640218151,0.06708907408084894,True,143.0,False,7,8,False,
7,800,13.0,False,False,1,5175.032314812847,-34.939998626708984,49.38999938964844,102.43000030517578,-12060.999755859375,-4926.099853515625,7140.0,-5450.9002685546875,-2362.5,-839.8999786376953,1.0,-0.04080087920216994,-0.02247967492386292,0.2837109839796399,dbfe38a966f84966b0aefd115d279448,NoobSlayer.2013,15.0,4.929999828338623,-115.72000122070312,102.06999969482422,-3114.5001220703125,10117.19970703125,4176.600036621094,1538.0000305175781,-150.9000015258789,5278.4002685546875,255.0,154.0,,0.040844539705632475,1.3827243564388734,-0.01972685063193379,True,4,False,3,12.0,False,,c3e6b58a4f9a490b827ab694c3ff6a1f,Stefnir97,15.0,-30.010000228881836,-5349.06982421875,17.709999084472656,142.10000038146973,3943.599853515625,-93.29999923706055,185.9000015258789,-6.899999976158142,0.0,255.0,128.0,,-0.02240255162588316,1.6069944354863999,-0.0009320733209494976,True,False,False,False,116.0,False,,enpitsu,76561198039309853,26,11.350000381469727,185.80999755859375,106.75,-2422.2999572753906,-5368.0999755859375,930.9999847412109,4576.499938964844,-1606.9999694824219,-2592.7999877929688,255.0,0.0,,-0.929988396644869,-1.8379866632357642,0.6481006320407046,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,3256.659912109375,4005.780029296875,17.010000228881836,13564.49951171875,-9282.80029296875,2.5,0.3999999910593033,-0.0,-2009.4000244140625,255.0,0.0,,-0.00958441746793982,-2.4718491387732726,-5.069675577682859e-05,True,255.0,False,False,False,False,
8,956,19.0,False,False,0,10137.423373594169,3519.889892578125,-3985.090087890625,131.3699951171875,4136.099853515625,7234.4000244140625,5885.3997802734375,1178.7000274658203,-5049.599914550781,3018.3999633789062,0.0,-0.3885159301157352,-0.7870982699613776,-1.5239808049038144,76561198039309853,enpitsu,26.0,3401.5,-4094.889892578125,17.059999465942383,8422.5,1863.0000305175781,2.5,-3.8999998569488525,-1.0000000149011612,-1202.5,128.0,255.0,,0.016665786777513965,0.2522508175833902,-0.0003284978554011589,True,2,False,2,255.0,False,,bf81d8692db,games5425898691,24.0,670.02001953125,-5077.52001953125,17.010000228881836,7902.9998779296875,3410.5999755859375,2.3999999463558197,-3.6000001430511475,-1.4000000059604645,1003.6000061035156,255.0,133.0,,0.009522544878377616,0.42639190346634864,4.677485539171587e-05,True,False,False,False,231.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,15,3249.610107421875,-269.1400146484375,18.350000381469727,2012.7000427246094,-15402.7001953125,-1.7000000178813934,0.0,0.3999999910593033,-22.899999618530273,255.0,128.0,False,0.01706911105202897,-1.4432364738133332,3.513143871183875e-05,True,214.0,False,6,False,6,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,2746.14990234375,2327.300048828125,17.020000457763672,10643.1005859375,4062.3001098632812,1.5000000596046448,-0.29999999329447746,-0.09999999776482582,-2402.100067138672,242.0,1.0,False,0.009555023051043146,0.29467068385436707,3.8230484662672034e-05,True,247.0,False,4,4,False,
9,995,20.0,False,False,0,9457.570074291069,4000.9599609375,-2951.070068359375,329.3500061035156,-5192.7001953125,15094.49951171875,1682.7000427246094,-115.39999961853027,118.69999885559082,-5997.7001953125,0.0,-0.6705281559233291,-2.1554217342614193,0.3606521504557007,76561198039309853,enpitsu,26.0,3944.6298828125,-3116.320068359375,218.1300048828125,7995.10009765625,10653.900146484375,2013.9999389648438,-511.6999816894531,4682.60009765625,2839.1000366210938,255.0,128.0,False,-0.18021328705034098,1.018334797735779,0.5208524931114878,True,4,False,3,203.0,False,,bf81d8692db,games5425898691,24.0,1918.52001953125,-3884.25,17.010000228881836,6390.10009765625,12124.599609375,2.5999999046325684,-0.3999999910593033,-0.9000000357627869,2110.5999755859375,255.0,255.0,,0.009575925897931178,1.1370002541597077,0.00013198596106853323,True,False,False,False,255.0,False,,NoobSlayer.2013,dbfe38a966f84966b0aefd115d279448,15,3895.72998046875,-2563.679931640625,234.58999633789062,6270.10009765625,-19567.5,2900.4000854492188,630.6000137329102,-168.99999618530273,-264.50000762939453,255.0,97.0,False,-0.9001862686896824,-1.2972024737710683,0.030248411192576402,True,160.74627947550945,True,8,False,6,,Stefnir97,c3e6b58a4f9a490b827ab694c3ff6a1f,15.0,3372.1298828125,1221.550048828125,17.020000457763672,-3277.0001220703125,-11677.7001953125,1.0999999940395355,0.09999999776482582,0.7999999821186066,-1.2999999523162842,255.0,128.0,False,0.009560431762334315,-1.8446461501229936,7.666938153023992e-05,True,247.0,False,4,4,False,
