,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,168,0.0,False,False,0,5156.750900877647,-1.059999942779541,61.5,137.3800048828125,8676.099853515625,14263.499755859375,11016.99951171875,518.8999938964844,206.39999389648438,-5973.900146484375,0.0,-0.06860019507688783,-0.6777937862030138,-0.18417088953103222,76561198351155815,[ RALV ] Sefw,29.0,-18.09000015258789,-100.22000122070312,60.220001220703125,-3176.400146484375,7628.499755859375,1962.8999328613281,5077.5,319.50000762939453,-2089.600067138672,255.0,0.0,True,-0.25660508364523354,1.9740981218399452,-0.008431614818247628,True,19.0,False,6,5,False,,76561198209700341,REED4K,21.0,-2403.989990234375,-4067.590087890625,17.049999237060547,-15237.19970703125,-1320.0,2.5999999046325684,-0.5000000074505806,0.0,0.09999999776482582,255.0,128.0,,0.016790373673336238,-3.055143499469871,-4.59781213546177e-05,True,False,False,False,0.0,False,,enpitsu,76561198039309853,24,-11.3100004196167,198.5399932861328,116.22000122070312,15862.60009765625,-7503.699951171875,118.10000419616699,3428.599853515625,3417.3001098632812,2610.7000732421875,255.0,255.0,,1.0957376472077192,-1.3556858472071687,-1.3176667930908086,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,20.0,-2235.780029296875,3837.169921875,17.010000228881836,-17476.099853515625,10926.099853515625,1.899999976158142,0.5000000074505806,-0.3999999910593033,-4.4999998807907104,255.0,128.0,0.009586861778325855,2.5822221992813934,5.859781323928961e-05,True,False,0.0,False,False,False,,
1,169,0.0,False,False,1,5300.018865713931,-29.3700008392334,-78.61000061035156,171.07000732421875,-8113.599853515625,3579.2999267578125,10432.5,3578.3999633789062,-1772.8999328613281,-4477.799987792969,1.0,0.11965729340046777,0.9309293534857856,-0.31198388582933323,76561198039309853,enpitsu,24.0,11.3100004196167,-198.5399932861328,116.22000122070312,-15862.60009765625,7503.699951171875,118.10000419616699,-3428.599853515625,-3417.3001098632812,2610.7000732421875,255.0,255.0,,-1.0957376472077192,1.3556858472071687,-1.3176667930908086,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,20.0,2235.780029296875,-3837.169921875,17.010000228881836,17476.099853515625,-10926.099853515625,1.899999976158142,-0.5000000074505806,0.3999999910593033,-4.4999998807907104,255.0,128.0,,-0.009586861778325855,-2.5822221992813934,5.859781323928961e-05,True,False,False,False,0.0,False,,[ RALV ] Sefw,76561198351155815,29,18.09000015258789,100.22000122070312,60.220001220703125,3176.400146484375,-7628.499755859375,1962.8999328613281,-5077.5,-319.50000762939453,-2089.600067138672,255.0,0.0,True,0.25660508364523354,-1.9740981218399452,-0.008431614818247628,True,19.0,False,6,False,5,,REED4K,76561198209700341,21.0,2403.989990234375,4067.590087890625,17.049999237060547,15237.19970703125,1320.0,2.5999999046325684,0.5000000074505806,-0.0,0.09999999776482582,255.0,128.0,-0.016790373673336238,3.055143499469871,-4.59781213546177e-05,True,False,0.0,False,False,False,,
2,268,3.0,False,False,1,5433.898666868055,-2722.300048828125,1085.969970703125,289.4700012207031,18990.6005859375,12724.69970703125,7793.599853515625,-1010.2999877929688,-5874.000244140625,689.1000366210938,1.0,0.3266610856492383,2.27686305930121,-2.461893177692984,76561198039309853,enpitsu,24.0,-2872.389892578125,1016.760009765625,233.14999389648438,11667.2998046875,5257.60009765625,1658.0999755859375,4779.89990234375,1376.7999267578125,605.6000137329102,255.0,0.0,False,0.24865093201773683,-3.048533157339453,0.23113668987691433,True,173.0,False,4,3,False,,bf81d8692db,games5425898691,20.0,14.5600004196167,-2171.719970703125,16.989999771118164,-21506.39892578125,5609.0997314453125,4.4999998807907104,1.8000000715255737,-0.19999999552965164,-154.0999984741211,255.0,78.0,,-0.009607204333722938,0.2575341468905446,4.527117899816737e-05,True,False,False,False,188.0,False,,[ RALV ] Sefw,76561198351155815,29,3537.0,-41.560001373291016,17.049999237060547,2663.3999633789062,12963.399658203125,3.700000047683716,-0.09999999776482582,-1.0999999940395355,3010.0,255.0,255.0,False,-0.016744503582423634,1.6097931286423985,0.00010843325806925682,True,255.0,False,8,False,8,,REED4K,76561198209700341,21.0,-1403.93994140625,3652.52001953125,17.059999465942383,-10735.799560546875,15878.699951171875,2.5999999046325684,-0.0,0.19999999552965164,-3260.7000732421875,255.0,0.0,-0.016781974178895924,1.219050128405702,-0.00011729976420426743,True,4,236.0,False,4,False,,False
3,340,6.0,False,False,0,9452.67631721873,-2065.35009765625,-4240.06982421875,97.45999908447266,-23655.70068359375,9397.2998046875,691.5000152587891,1006.2000274658203,4622.900085449219,2565.4000854492188,0.0,0.5064270276448164,-1.0834707371801409,0.8567417795557088,76561198209700341,REED4K,21.0,-1850.1099853515625,-4406.75,17.059999465942383,-18145.400390625,3219.5999145507812,-3.4999999403953552,-1.5999999642372131,0.0,-1558.0000305175781,255.0,32.0,,0.016760610405294047,2.940660339388878,-0.0003177530218959064,True,190.9607398945798,True,4,4,False,,76561198351155815,[ RALV ] Sefw,29.0,-1323.699951171875,-3430.280029296875,17.049999237060547,5539.89990234375,-12208.499755859375,3.1999999284744263,0.0,0.0,-2275.0999450683594,255.0,0.0,,0.016740702961772914,-1.2094059868445295,-2.0713475275912833e-05,True,8,False,8,160.0,False,,enpitsu,76561198039309853,24,-1487.2099609375,-1685.5400390625,17.040000915527344,-22175.400390625,-1033.499984741211,3.8999998569488525,5.099999904632568,0.29999999329447746,1222.0999908447266,255.0,128.0,,0.016768466051634744,-3.0198016757244193,-0.00012885401258742204,True,21.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-1170.010009765625,835.27001953125,16.989999771118164,-13906.300048828125,9762.80029296875,4.600000083446503,1.0999999940395355,-0.7000000029802322,368.10001373291016,255.0,128.0,0.009605552558453072,2.5599015880919973,-9.902552065627949e-05,True,False,176.0,False,False,False,,
4,384,7.0,False,False,0,8794.932756470562,-3993.510009765625,-3091.419921875,869.25,5157.19970703125,11277.900390625,15052.5,2661.099853515625,-3221.9000244140625,65.59999942779541,0.0,-0.16123677460211583,-2.562413228832525,2.488391085812659,76561198209700341,REED4K,26.0,-4043.550048828125,-3127.7900390625,721.2100219726562,3544.1000366210938,12094.100341796875,10001.699829101562,1084.000015258789,-725.8999633789062,-1647.7000427246094,128.0,128.0,,-0.7527483306309819,1.5762671070240941,1.5168837553296366,True,137.0,False,6,4,False,,76561198351155815,[ RALV ] Sefw,29.0,-2187.22998046875,-4127.2001953125,17.049999237060547,-2639.5001220703125,11678.399658203125,3.400000035762787,0.0,0.0,-2373.9999389648438,255.0,0.0,False,0.01671050013337175,1.732780574071038,-6.188806870629159e-06,True,8,False,8,160.0,False,,enpitsu,76561198039309853,24,-3916.0400390625,-1897.8299560546875,31.989999771118164,-5026.199951171875,11309.200439453125,1552.7999877929688,-604.3999862670898,2376.4999389648438,-2379.2999267578125,255.0,0.0,,-0.13479728630944166,1.9549704900877716,0.2816522131198844,False,21.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-3287.679931640625,2353.56005859375,16.989999771118164,-3982.7999877929688,15109.69970703125,4.600000083446503,0.0,0.7999999821186066,-571.1999893188477,255.0,98.0,0.0096108804965462,1.789810610497696,0.00012796543784714625,True,False,176.0,False,False,False,,
5,419,9.0,False,False,0,7328.756840884711,-3346.9599609375,-1766.77001953125,1729.18994140625,15475.30029296875,203.1999969482422,-651.6999816894531,5771.5997314453125,1589.2999267578125,403.1999969482422,0.0,-0.29420269127136867,-1.76409113017884,2.08414617338203,76561198209700341,REED4K,26.0,-3505.320068359375,-1736.9599609375,1586.3299560546875,6368.499755859375,9034.500122070312,6446.099853515625,-1209.000015258789,3622.60009765625,-3957.7999877929688,104.0,128.0,,-0.8150515315190461,-1.4653862923037413,-1.4636572084121329,True,79.0,False,6,4,False,,76561198351155815,[ RALV ] Sefw,29.0,-1213.27001953125,-3156.469970703125,17.049999237060547,6263.2000732421875,3819.89990234375,3.400000035762787,4.699999988079071,0.7999999821186066,773.8999938964844,128.0,219.0,False,0.017241121164363656,0.5222015377294595,0.00015628943208948438,True,8,False,8,160.0,False,,enpitsu,76561198039309853,24,-3766.570068359375,-54.310001373291016,46.27000045776367,1900.5000305175781,16125.999755859375,3482.60009765625,-417.7000045776367,68.60000133514404,0.0,255.0,128.0,,0.025520868481063264,1.453551443119053,0.0005504104061921771,False,0.0,False,6,False,5,,games5425898691,bf81d8692db,20.0,-2626.739990234375,3775.14990234375,16.989999771118164,9884.600219726562,-594.5000076293945,4.900000095367432,0.19999999552965164,0.0,-2221.3999938964844,128.0,0.0,0.009654107617958395,-0.1123212277011925,-2.9434650350225435e-05,True,False,176.0,False,False,False,,
6,478,11.0,False,False,0,6870.221465567123,-133.1699981689453,-1687.739990234375,125.68000030517578,1870.2000427246094,23851.298828125,-4495.0,1950.7000732421875,2334.7000122070312,-3284.1000366210938,0.0,-0.013080850521604796,-1.7781582919297712,1.9176387500433547,76561198351155815,[ RALV ] Sefw,29.0,-83.31999969482422,-1941.9000244140625,84.91000366210938,320.40000915527344,15633.499755859375,3338.9999389648438,-1901.199951171875,-4906.499938964844,1600.5000305175781,255.0,254.0,False,0.02662291500912203,1.3804103625293396,-0.2505199138577371,True,119.25535501972325,True,10,9,False,,76561198209700341,REED4K,21.0,-2122.81005859375,13.140000343322754,683.7999877929688,7077.39990234375,6574.2999267578125,-15411.8994140625,-17.59999990463257,1024.1999816894531,-208.29999923706055,128.0,128.0,,0.5974864870975569,-2.983845926158374,0.1533014404774367,True,4,False,6,15.0,False,,enpitsu,76561198039309853,25,-2903.030029296875,4264.10009765625,17.049999237060547,16218.699951171875,11563.900146484375,3.0000001192092896,0.0,0.0,-2062.7999877929688,255.0,0.0,,0.0167680181324352,0.5428451280825307,1.2886375836200496e-05,True,255.0,False,6,False,6,,games5425898691,bf81d8692db,20.0,-248.5,1203.780029296875,65.83000183105469,14563.399658203125,-16533.599853515625,-1473.0000305175781,2142.7999877929688,1887.2999572753906,0.0,255.0,128.0,-0.6614578137159612,-0.8486845582663552,1.7891446630476674e-05,True,4,125.0,False,4,False,,
7,521,12.0,False,True,0,3842.6687042279777,153.3699951171875,1443.3900146484375,96.41999816894531,-2041.6000366210938,26118.701171875,3031.9000244140625,-1774.4999694824219,2743.599853515625,-3324.5001220703125,0.0,-0.4253690620481246,1.5701429305393675,-1.9992289601682616,76561198351155815,[ RALV ] Sefw,28.0,209.5,1296.3199462890625,21.809999465942383,-3101.099853515625,21784.69970703125,2818.3999633789062,871.6000366210938,-59.699997901916504,2080.2000427246094,255.0,254.0,True,0.00970462360261922,1.7352466445294255,-0.0014585545864693687,True,26.0,False,11,10,False,,76561198209700341,REED4K,21.0,-2310.320068359375,187.72999572753906,17.049999237060547,-10229.69970703125,-3873.800048828125,2.5,0.0,-0.5000000074505806,0.09999999776482582,255.0,128.0,,0.016659492633068915,-2.779550836441934,-1.67262883863353e-05,False,4,False,6,0.0,False,,enpitsu,76561198039309853,24,-307.6600036621094,3964.02001953125,17.049999237060547,4122.799987792969,-809.1000366210938,2.5,-0.09999999776482582,-3.0000001192092896,0.0,128.0,128.0,,0.017260182572068346,-0.19381745231255376,-3.556957522118801e-05,True,241.0,False,6,False,6,,games5425898691,bf81d8692db,20.0,2088.56005859375,1704.4599609375,17.010000228881836,-3862.6998901367188,22673.30078125,0.0,0.0,-0.29999999329447746,1829.1000366210938,255.0,241.0,0.00959760274139086,1.814061967151867,2.0243277258764768e-05,True,4,111.65648159416773,True,4,False,,
8,546,13.0,False,False,1,8942.900469939534,32.25,-3761.090087890625,102.70999908447266,2040.3999328613281,6105.3997802734375,315.40000915527344,-4368.500061035156,-1522.5999450683594,-3820.5999755859375,1.0,-0.16135765890383413,2.8393872231312978,3.002527373798177,76561198039309853,enpitsu,24.0,73.01000213623047,-3915.02001953125,78.94999694824219,-1095.999984741211,315.9000015258789,5407.5,345.09998321533203,1316.1000061035156,-995.4000091552734,255.0,128.0,,0.11019055154515617,0.33397148370238444,0.002992605683961839,True,224.0,False,8,6,2,,bf81d8692db,games5425898691,20.0,-1257.719970703125,-3611.489990234375,17.010000228881836,321.50001525878906,-22384.599609375,2.3000000417232513,-0.0,-0.5000000074505806,-1947.4000549316406,255.0,0.0,,-0.009584889307116257,-1.5110626295279987,-6.500378022481264e-05,True,4,False,4,84.0,False,,[ RALV ] Sefw,76561198351155815,28,75.33000183105469,-3241.639892578125,80.29000091552734,3096.300048828125,-20714.09912109375,-1231.6999816894531,2989.5999145507812,1257.300033569336,-305.79999923706055,255.0,128.0,False,0.7811635970850214,-2.657465376301871,-0.6743965348538461,True,57.0,False,12,False,12,,REED4K,76561198209700341,21.0,3429.969970703125,-35.849998474121094,17.049999237060547,12409.200439453125,4791.000061035156,3.100000023841858,-0.7999999821186066,-0.29999999329447746,2199.499969482422,255.0,255.0,-0.01674672035554714,2.7206863661144016,8.538112545392064e-05,True,6,255.0,False,4,False,,
9,551,13.0,True,True,0,1677.6521047061271,-48.95000076293945,3691.889892578125,101.08000183105469,11457.5,18713.800048828125,1282.2999572753906,2397.4000549316406,468.10001373291016,-5480.2001953125,0.0,-0.12063035623419743,2.657203134710781,2.2976094282735025,76561198351155815,[ RALV ] Sefw,28.0,-129.57000732421875,3583.429931640625,50.619998931884766,-4359.599914550781,18476.800537109375,-2384.499969482422,3743.800048828125,-3310.1998901367188,482.59998321533203,255.0,,,-0.4476142257339297,2.5233556160742294,-0.5404953921258063,True,57.0,False,12,12,False,,76561198209700341,REED4K,21.0,-3616.31005859375,-80.30999755859375,17.049999237060547,-9793.900146484375,-8837.60009765625,3.1999999284744263,0.3999999910593033,0.19999999552965164,2286.999969482422,255.0,255.0,,0.01673116912296926,-2.344435396948431,3.891842026076278e-05,True,4,False,6,255.0,False,,enpitsu,76561198039309853,24,-41.459999084472656,3953.7900390625,152.77999877929688,2378.699951171875,2612.3001098632812,3912.2000122070312,-89.30000305175781,1261.2999725341797,4173.399963378906,,,,-0.0425861958222929,0.3800467211800387,0.05734599337902397,True,224.0,False,8,2,6,,games5425898691,bf81d8692db,20.0,1313.8499755859375,3972.699951171875,17.010000228881836,6635.8001708984375,20658.40087890625,2.3000000417232513,-0.19999999552965164,0.0,-1997.4000549316406,255.0,0.0,0.009565571669993039,1.1811542277250904,2.1826918712722454e-06,True,4,84.0,False,4,False,,
