,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,170,0,False,False,0,5173.26815540495,18.3700008392334,48.18000030517578,110.38999938964844,7271.300048828125,21665.400390625,7148.599853515625,5315.2001953125,-2783.2998657226562,22.200000286102295,0.0,-0.07540820216057878,-0.00485488366317671,0.1446637632105691,76561198039309853,enpitsu,26.0,-61.040000915527344,-190.27999877929688,17.049999237060547,9145.700073242188,17262.099609375,2.5999999046325684,0.19999999552965164,0.3999999910593033,54.60000038146973,255.0,255.0,,0.016781880128686418,1.0895489949120836,-5.6447118713906676e-05,True,0.0,False,False,False,False,,bf81d8692db,games5425898691,18.0,2901.6201171875,-3979.969970703125,17.010000228881836,17701.99951171875,483.10001373291016,2.3000000417232513,-0.3999999910593033,0.09999999776482582,1945.7000732421875,255.0,255.0,0.009584725569711202,0.09489391859088075,3.923907071193462e-05,True,0.0,False,False,False,False,50.0,M1rosl@f,76561198046843816,7,594.9500122070312,951.4000244140625,17.010000228881836,-7768.499755859375,-9517.19970703125,1.899999976158142,0.7000000029802322,-0.5999999865889549,0.0,0.0,128.0,,0.009886994709860725,-2.2553746928474405,1.6502487423531386e-05,True,34.0,False,False,False,False,,Hi-On_110100100,4375295033816264785,11.0,434.4700012207031,3118.949951171875,17.0,-58.80000114440918,9690.499877929688,3.1999999284744263,0.0,-2.7000001072883606,1818.800048828125,255.0,159.0,False,0.009506517225340442,1.6360218831031141,-8.679803796897771e-05,True,116.0,False,False,False,False,,
1,232,2,False,False,1,10146.962819543161,-1582.9300537109375,-4699.5,120.25,-3855.0,1998.6000061035156,9190.399780273438,5473.4002685546875,-71.19999885559082,-2456.699981689453,1.0,0.30925151325595934,0.07785350078428255,0.35802343149197363,4375295033816264785,Hi-On_110100100,11.0,-1547.6800537109375,-4835.35009765625,17.0,-7379.5001220703125,3000.8999633789062,3.3000001311302185,-4.799999892711639,2.199999988079071,-1621.1000061035156,159.0,153.0,False,-0.009560993474202568,0.4412737563157565,0.00010582255591927838,True,116.0,False,False,False,False,,76561198046843816,M1rosl@f,7.0,1890.4000244140625,-387.19000244140625,17.020000457763672,8564.099731445312,-8642.999877929688,1.2999999523162842,0.9000000357627869,-0.7000000029802322,-2352.5,255.0,0.0,-0.009545650463493925,-2.2864930803553785,-6.327493981745314e-05,False,0.0,False,4,False,4,,enpitsu,76561198039309853,26,-1866.0699462890625,-2813.070068359375,17.049999237060547,-15313.900146484375,-10556.600341796875,2.5,0.19999999552965164,0.3999999910593033,0.0,255.0,128.0,,-0.016797986555214355,-0.6035351246814787,3.6265156431907086e-05,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-3520.85009765625,-183.7100067138672,17.010000228881836,958.8999938964844,-22970.30029296875,2.0000000298023224,-0.0,-1.8000000715255737,263.700008392334,255.0,194.0,,-0.00959939436309107,-1.6119043101170878,2.1819793155432756e-05,True,255.0,False,False,False,False,,
2,302,4,False,False,0,3535.741440141577,2518.56005859375,4222.259765625,312.95001220703125,-6527.80029296875,9653.200073242188,1883.0000305175781,-609.900016784668,4143.999938964844,-4295.899963378906,0.0,-0.46527017425469014,-0.08501202573911625,-2.3706847495048406,76561198039309853,enpitsu,26.0,2607.199951171875,4164.669921875,202.35000610351562,-9341.900024414062,3910.5999755859375,1814.4999694824219,-5389.2999267578125,-1018.3999633789062,-408.69998931884766,128.0,0.0,,0.033064836606004656,-2.9866594076036543,0.6551365921750437,True,209.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,2263.27001953125,4645.3798828125,710.3699951171875,-5484.1998291015625,21902.5,4334.200134277344,2915.7000732421875,1982.7000427246094,-4221.000061035156,255.0,4.0,-0.6340581778355056,0.10263947406128507,0.8563720706510232,True,140.0,False,False,False,4,,M1rosl@f,76561198046843816,7,-2993.25,4524.6201171875,17.010000228881836,6795.2001953125,13516.99951171875,2.7000001072883606,0.5999999865889549,0.5000000074505806,-2978.699951171875,255.0,0.0,False,0.009609456914119572,0.9138615593831877,-4.283195173024378e-05,True,255.0,False,6,6,False,,Hi-On_110100100,4375295033816264785,10.0,2975.590087890625,4908.56005859375,64.54000091552734,-1351.6000366210938,-5944.2999267578125,-4687.5,-1953.3000183105469,3421.0000610351562,-2804.89990234375,255.0,6.0,False,0.6232238417135398,-2.04319714845436,0.11636974273308177,True,116.0,False,False,False,False,,
3,362,7,False,False,0,2458.1702088679763,1445.4000244140625,4391.3701171875,101.66999816894531,-19541.8994140625,3048.599853515625,6437.7001953125,4495.199890136719,2224.199981689453,-3293.2000732421875,0.0,-0.284259759467681,-1.0100268974408801,-2.5920405597578022,bf81d8692db,games5425898691,18.0,1623.5899658203125,4334.18017578125,16.989999771118164,-16983.399658203125,-2079.199981689453,2.199999988079071,0.3999999910593033,0.0,-380.09998321533203,255.0,128.0,,0.009586532641096306,-3.0577468761459947,0.00020234854231488778,True,58.75754825530514,True,4,False,False,,76561198039309853,enpitsu,26.0,1065.77001953125,3848.18994140625,17.059999465942383,-4415.299987792969,-9342.100219726562,1.1999999731779099,0.9000000357627869,0.5999999865889549,-143.50000381469727,128.0,128.0,0.01682033054612077,-2.0284019827026225,0.00014075709023282502,True,209.0,False,2,False,2,,M1rosl@f,76561198046843816,7,-533.7899780273438,4987.169921875,17.0,4824.100036621094,225.30000686645508,3.400000035762787,0.3999999910593033,0.3999999910593033,-30.799999237060547,128.0,127.0,False,0.009611986801000167,0.04719314623366854,-4.8360638152576936e-05,True,228.0,False,6,6,False,,Hi-On_110100100,4375295033816264785,10.0,1572.260009765625,4570.35986328125,17.0,-8280.30029296875,-7401.6998291015625,0.9000000357627869,2.199999988079071,1.8000000715255737,1868.8999938964844,255.0,175.0,False,0.009520999904988912,-2.356055443406521,-2.050144883118845e-05,False,94.09699786606656,True,False,False,False,,
4,460,10,False,False,1,9633.50772464859,3659.320068359375,-4088.679931640625,100.87000274658203,25950.90087890625,7813.900146484375,5887.2998046875,-5406.7999267578125,-2523.300018310547,-631.6999816894531,1.0,-0.35569108461456844,-2.0337220964810188,-2.0225622667858474,4375295033816264785,Hi-On_110100100,11.0,3467.739990234375,-4113.02001953125,17.0,21462.19970703125,-2196.199951171875,0.9000000357627869,-1.5999999642372131,-0.0,1406.7999267578125,255.0,255.0,False,-0.009557610120880751,-3.0520903644202666,0.0003442348268712976,True,25.972120623434748,True,False,False,False,,76561198046843816,M1rosl@f,7.0,904.219970703125,-5010.0498046875,18.8700008392334,282.5,401.6999816894531,-46.70000076293945,123.19999694824219,114.49999809265137,39.20000076293945,128.0,128.0,-0.03972211140175676,2.1280055412056615,-0.061275735063769717,True,228.0,False,6,False,6,,enpitsu,76561198039309853,26,3777.760009765625,-728.1199951171875,17.059999465942383,8096.400146484375,2819.2001342773438,1.2999999523162842,1.0999999940395355,0.29999999329447746,-2822.0001220703125,128.0,128.0,False,-0.017161880959525647,-2.2910924665736414,6.289672576665371e-05,True,162.0,False,2,2,False,,games5425898691,bf81d8692db,18.0,3377.97998046875,-1363.81005859375,82.4800033569336,3054.2001342773438,22584.09912109375,-774.4000244140625,-3988.5000610351562,430.9000015258789,4.600000083446503,255.0,128.0,,1.0105902057834555,1.6804938517879406,0.0023011571915003653,False,0.0,False,6,4,False,,False
5,471,10,False,False,1,9288.501694977485,4000.7900390625,-3614.22998046875,486.94000244140625,-9.700000286102295,13028.199462890625,8974.89990234375,76.5999984741211,3711.0000610351562,-4713.999938964844,1.0,0.49339773336017234,-0.7024866932053634,2.8509928731568297,4375295033816264785,Hi-On_110100100,11.0,4068.030029296875,-3725.639892578125,222.0500030517578,3663.599853515625,17283.00048828125,7420.0,-451.1000061035156,-2236.4999389648438,1371.1000061035156,255.0,128.0,False,0.4045563949808847,1.7726120346410539,-1.4183860117740126,True,12.0,False,False,False,False,,76561198046843816,M1rosl@f,7.0,905.3499755859375,-5008.35009765625,18.670000076293945,-6.899999976158142,8.399999737739563,2.800000011920929,-0.3999999910593033,-11.499999761581421,11.100000143051147,128.0,128.0,-0.037049786988911905,2.1249485434657163,-0.055522819467566,True,228.0,False,6,False,6,,enpitsu,76561198039309853,26,3905.68994140625,-723.3699951171875,28.780000686645508,105.10000228881836,-1062.5,52.800002098083496,108.50000381469727,-49.20000076293945,-347.2999954223633,0.0,128.0,False,-0.01895367813211028,-1.5787457187873049,0.273309337763426,True,162.0,False,2,2,False,,games5425898691,bf81d8692db,18.0,3503.39990234375,-419.8500061035156,15.710000038146973,2981.9000244140625,22658.9990234375,99.79999542236328,45.10000228881836,9.100000262260437,-69.60000038146973,255.0,128.0,,-0.014327168260830875,1.7062015832465653,-0.0010632533350233627,True,0.0,False,6,4,False,,False
6,490,11,False,False,1,8445.821820623238,3997.669921875,-2715.669921875,952.9099731445312,-6263.499755859375,6307.80029296875,11303.900146484375,4700.0,34.20000076293945,-3729.2999267578125,1.0,0.24499156978921774,-2.0431593521655533,-2.17361451610963,4375295033816264785,Hi-On_110100100,11.0,4078.97998046875,-2685.929931640625,784.510009765625,-2.0000000298023224,11088.1005859375,13558.1005859375,2024.9000549316406,0.19999999552965164,0.19999999552965164,255.0,4.0,False,0.9700244694547722,1.5877087913948726,-1.5568792530934337,True,0.0,False,False,False,False,,76561198046843816,M1rosl@f,7.0,921.0499877929688,-4968.22021484375,16.75,1057.0999908447266,3155.4000854492188,8.799999952316284,-32.99999952316284,-3.3000001311302185,1462.5999450683594,255.0,224.0,-0.006142473040329099,1.9880464390681305,0.007722527839361676,True,228.0,False,6,False,6,,enpitsu,76561198039309853,26,3884.31005859375,-482.80999755859375,24.459999084472656,-2100.399932861328,6741.300048828125,-460.49999237060547,-87.29999542236328,582.599983215332,14.600000381469727,0.0,128.0,False,0.0494876511806559,-1.8953524347622845,0.1764970461111532,True,162.0,False,2,2,False,,games5425898691,bf81d8692db,18.0,3226.929931640625,1008.3599853515625,17.010000228881836,-15001.99951171875,14819.300537109375,2.3999999463558197,-0.19999999552965164,-0.0,2008.5000610351562,255.0,255.0,,-0.009587367345210394,0.7003749443710322,-2.6947074615030156e-05,True,255.0,False,6,4,False,,False
7,584,15,False,False,0,4578.634185315789,-2004.22998046875,697.510009765625,961.3099975585938,-14490.799560546875,8854.299926757812,1544.1000366210938,-8.899999856948853,-534.3000030517578,733.4999847412109,0.0,0.9313799788646366,0.8411605777134475,-2.35573924101082,bf81d8692db,games5425898691,18.0,-1861.6400146484375,595.9000244140625,827.1400146484375,-2461.300048828125,6842.9998779296875,4492.099914550781,-2857.39990234375,-3059.7000122070312,-720.5000305175781,255.0,130.0,,-0.9952436223385548,2.6593411770383875,-0.4744291501604239,True,169.0,False,8,False,4,,76561198039309853,enpitsu,26.0,-1940.1099853515625,63.27000045776367,457.6199951171875,7046.199951171875,9766.599731445312,4453.999938964844,-427.20001220703125,-868.4999847412109,251.49999618530273,255.0,255.0,-1.3154097353474092,1.186342881483264,-0.23024859576697018,True,68.47929450004332,True,3,False,4,,M1rosl@f,76561198046843816,7,-963.5999755859375,3301.93994140625,17.010000228881836,-279.89999771118164,-994.4000244140625,2.0999999344348907,0.5999999865889549,-0.09999999776482582,0.0,128.0,128.0,,0.009597452002098711,-1.8454582049691117,6.0588417144894316e-06,True,255.0,False,6,6,False,,Hi-On_110100100,4375295033816264785,11.0,-3267.889892578125,4469.16015625,20.700000762939453,3712.9000854492188,-4848.2000732421875,-991.6000366210938,-1934.7999572753906,-1213.499984741211,-2217.5,227.0,4.0,,0.09936812981492567,-0.8926488333678383,-0.022024154077011613,True,,False,False,False,False,,
8,644,17,False,False,1,7874.980946704779,3407.080078125,-2323.89990234375,166.24000549316406,-12566.400146484375,21592.39990234375,9136.400146484375,4592.900085449219,-2308.699951171875,3094.2999267578125,1.0,0.5425773335938977,0.12454555720169803,2.006732779647102,4375295033816264785,Hi-On_110100100,10.0,3444.580078125,-2552.590087890625,87.83999633789062,349.59999084472656,16001.600341796875,3310.5999755859375,-2033.6000061035156,-3616.7001342773438,544.0000152587891,253.0,255.0,True,0.01145459835391061,2.1057835770701283,-0.08412953653905443,True,217.42826664319605,True,4,False,3,,76561198046843816,M1rosl@f,7.0,1234.780029296875,-2830.090087890625,17.100000381469727,-1345.5999755859375,1674.2999267578125,211.70000076293945,646.5000152587891,-43.00000190734863,-523.4000015258789,255.0,131.0,0.025081905343417248,0.9771039860353085,0.018299611045920015,True,234.0,False,6,False,6,,enpitsu,76561198039309853,26,1235.989990234375,-2803.64990234375,62.939998626708984,-1607.2999572753906,1409.4999694824219,574.5999908447266,552.7000045776367,-202.00000762939453,169.69999313354492,255.0,255.0,,0.08978909910509761,-1.2597971866001196,0.0770811737494598,False,68.0,False,4,4,False,,games5425898691,bf81d8692db,18.0,2179.85009765625,-1756.719970703125,16.219999313354492,3337.7999877929688,-4668.0999755859375,65.0,-16.399999856948853,-52.69999980926514,641.3999938964844,255.0,171.0,,-0.013551834283530705,-2.1654298045656137,-0.0021436971399214156,True,169.0,False,8,4,False,,
9,790,22,False,False,0,9476.629298089474,1864.3599853515625,-3925.699951171875,209.1300048828125,20049.49951171875,-502.2999954223633,11157.80029296875,-4459.2999267578125,-3753.0999755859375,-1424.1000366210938,0.0,-0.9935853227628144,0.06037800604064067,-0.20386687486982377,bf81d8692db,games5425898691,18.0,1672.7900390625,-3885.280029296875,46.220001220703125,20671.10107421875,-4112.900085449219,3472.60009765625,1120.5000305175781,-439.7999954223633,-1795.5999755859375,128.0,0.0,,0.008506519929382438,-0.34475570445664255,0.025423526768206098,True,123.0,False,11,False,6,,76561198039309853,enpitsu,26.0,-1177.219970703125,2757.14990234375,41.91999816894531,230.0,814.1999816894531,-329.00001525878906,-682.9000091552734,236.49999618530273,-1282.1000671386719,255.0,0.0,-0.40211660578984176,0.9149994296079635,-0.33480541440575134,True,68.0,False,4,False,4,,M1rosl@f,76561198046843816,7,-1092.43994140625,2715.5400390625,15.949999809265137,1763.2000732421875,-2276.699981689453,35.49999952316284,14.800000190734863,27.59999990463257,774.8999786376953,255.0,245.0,,-0.020078505434665193,-1.1994871516105714,0.028074716415185413,True,164.0,False,6,6,False,,Hi-On_110100100,4375295033816264785,10.0,-1577.949951171875,-4029.02001953125,98.44999694824219,17234.69970703125,11266.300048828125,2420.8999633789062,-3371.199951171875,4344.2999267578125,107.5,255.0,141.0,False,0.8441633941116019,0.5155637732963071,-0.10188359864881158,True,255.0,False,6,5,False,,
