,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,166,0,False,True,0,5201.130211016138,3.1500000953674316,17.18000030517578,92.66000366210938,2927.0999145507812,30655.6005859375,1282.1000671386719,-883.0000305175781,55.300002098083496,-540.2999877929688,0.0,0.0004528209723069689,-0.004495564780913036,-0.007354160270716157,b0de405f66b,EL_JoBarr,6.0,-37.20000076293945,-192.35000610351562,67.58000183105469,9111.599731445312,20913.798828125,2902.5,-4084.5999145507812,-1722.2000122070312,1614.6000671386719,255.0,255.0,,0.08500013685222768,0.8763355204251593,-0.048746981433052845,True,6,5,0.0,False,False,,bbef21fef2b,b-o-b-o.,5.0,3206.909912109375,-4206.81982421875,52.27000045776367,7699.5001220703125,-11773.199462890625,-2470.800018310547,1702.4000549316406,1110.199966430664,-0.3999999910593033,255.0,128.0,,0.353678509688682,2.148966817883259,4.470511178410271e-05,True,4,255.0,False,4,False,,enpitsu,76561198039309853,24,3135.39990234375,4135.7099609375,26.469999313354492,6821.7999267578125,10122.7001953125,-2892.3001098632812,-3359.89990234375,2248.3999633789062,-3.700000047683716,255.0,128.0,,0.16177620112107952,-2.163715546668583,-2.220750111646945e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,17.0,-68.44000244140625,539.22998046875,60.9900016784668,5685.2001953125,-22079.49951171875,2866.099853515625,5395.2001953125,896.5000152587891,-580.9000015258789,128.0,130.0,,0.14330480359155787,-1.4205894050405377,-0.0007351869007809293,True,3,0.0,False,False,4,
1,169,0,False,False,1,5447.870730226216,-50.61000061035156,-225.0,134.32000732421875,-14900.999755859375,14091.600341796875,12277.60009765625,5960.30029296875,288.799991607666,625.2000045776367,1.0,0.021680804720119646,0.0074206514672477035,-0.4003264239241208,bf81d8692db,games5425898691,17.0,13.0,-331.5299987792969,81.69000244140625,-5344.89990234375,17907.2998046875,1263.3999633789062,-4729.5001220703125,-2233.8999938964844,1700.2000427246094,128.0,137.0,,-0.9528601965106727,1.3866969490592456,-0.1728672036299242,True,4,3,0.0,False,False,,76561198039309853,enpitsu,24.0,-3221.929931640625,-4264.10009765625,16.600000381469727,-3643.0999755859375,-5405.10009765625,90.29999732971191,-49.80000019073486,32.69999980926514,0.0,255.0,128.0,,-0.013048329159802021,2.1638578683261716,4.1988107803768244e-05,True,2,255.0,False,2,False,,EL_JoBarr,b0de405f66b,6,-20.360000610351562,70.9800033569336,85.80999755859375,-8587.999877929688,-17905.799560546875,2551.9000244140625,3643.2000732421875,4090.10009765625,497.59998321533203,255.0,255.0,,-0.047598387550778117,-0.9693018496605986,-0.44468705612445736,True,0.0,False,5,False,6,,b-o-b-o.,bbef21fef2b,5.0,-3269.949951171875,4303.240234375,29.200000762939453,-7280.7000732421875,11137.2998046875,-2946.4999389648438,-2594.89990234375,-1696.4999389648438,6.9999998807907104,255.0,128.0,,-0.1726530458043535,-2.1491683812236984,1.9209684508573818e-05,True,4,255.0,False,False,4,
2,248,2,False,False,1,8410.79508136089,-2969.419921875,-2329.93994140625,429.9200134277344,2036.9999694824219,10049.299926757812,19438.00048828125,4805.899963378906,3591.7999267578125,-28.299999237060547,1.0,-0.6877929164539033,-2.6181376363389663,-1.959403043339008,76561198039309853,enpitsu,24.0,-2949.31005859375,-2391.070068359375,254.39999389648438,-6032.19970703125,17302.099609375,3057.6998901367188,-713.0000305175781,-630.4000091552734,63.20000171661377,255.0,128.0,,0.9515390321138761,0.9453268251786073,-0.1706848975821773,True,4,3,199.0,False,False,,bf81d8692db,games5425898691,18.0,1541.5400390625,1088.1700439453125,112.94999694824219,16200.0,-8982.000122070312,-150.50000190734863,2173.6000061035156,5049.700012207031,159.399995803833,255.0,128.0,,0.43687241206998356,0.24164339554892295,3.044831050812004,False,5,0.0,False,6,False,,EL_JoBarr,b0de405f66b,6,-3691.330078125,-178.64999389648438,62.91999816894531,-14945.10009765625,12026.800537109375,-1939.1999816894531,-3041.199951171875,-354.59999084472656,-1774.6000671386719,255.0,0.0,,0.36980656112455096,1.2279150762304554,0.29744008564440744,True,255.0,False,8,False,8,,b-o-b-o.,bbef21fef2b,5.0,-886.3800048828125,3913.8798828125,17.059999465942383,7000.10009765625,-11397.39990234375,2.0999999344348907,-0.19999999552965164,-0.0,-2278.6000061035156,255.0,0.0,,-0.016755694858868967,-2.0569349193749686,1.2373665434343697e-05,True,6,255.0,False,False,6,
3,352,6,False,False,0,6507.055474987849,2703.179931640625,-281.0400085449219,851.6099853515625,6334.69970703125,17299.300537109375,3900.8999633789062,-3886.300048828125,3098.3999633789062,2796.199951171875,0.0,-0.45097721943783703,-2.636984985489313,1.329151658411906,bbef21fef2b,b-o-b-o.,5.0,2634.659912109375,-470.8399963378906,780.7000122070312,9563.699951171875,17470.30029296875,5349.7998046875,-78.09999942779541,2729.5001220703125,-61.500000953674316,195.0,46.0,,-1.0132612771742395,0.0652428288589581,1.0121664049753154,True,8,6,134.0,False,False,,b0de405f66b,EL_JoBarr,6.0,2526.260009765625,-1929.5,17.010000228881836,-6995.8001708984375,14654.200439453125,-0.29999999329447746,-0.19999999552965164,0.7000000029802322,-331.1000061035156,255.0,128.0,False,0.009606041990524608,1.9863076690918964,0.00018481591014317544,True,8,213.3546409760752,True,8,False,,enpitsu,76561198039309853,25,1466.22998046875,407.5799865722656,17.040000915527344,-1349.1999816894531,17367.7001953125,3.700000047683716,0.0,-0.5000000074505806,-0.29999999329447746,255.0,128.0,False,0.016780429105885952,1.6482882341032536,4.725867514456711e-05,True,159.0,False,4,False,4,,games5425898691,bf81d8692db,18.0,-2406.3798828125,4734.89013671875,17.010000228881836,18960.10009765625,-17.59999990463257,2.0000000298023224,2.0999999344348907,0.0,-807.6000213623047,255.0,128.0,,0.009586235947137338,-0.06372886892529492,0.0001748204827191599,True,6,199.0,False,False,6,
4,414,9,False,False,1,9794.810953639271,-3964.510009765625,-3363.75,152.8800048828125,-8600.499877929688,14266.800537109375,-834.4000244140625,-381.8000030517578,980.1000213623047,-5907.0001220703125,1.0,-0.1944713444013664,-2.5368381014992827,1.5201594842100912,76561198039309853,enpitsu,25.0,-3837.469970703125,-3540.050048828125,117.37999725341797,-22415.6005859375,1906.6000366210938,2651.0000610351562,-4158.699951171875,-689.4999694824219,-1895.2000427246094,128.0,0.0,False,-0.017700063479081547,-0.1422436270723907,0.05022004442533994,True,6,5,132.0,False,False,,bf81d8692db,games5425898691,18.0,-1683.219970703125,-4902.2998046875,17.010000228881836,-8671.199951171875,2578.900146484375,2.5,-1.0000000149011612,0.3999999910593033,-2396.7999267578125,255.0,0.0,,-0.009550169636645513,0.3167780333772624,-9.952444116339655e-05,True,6,140.0,False,6,False,,EL_JoBarr,b0de405f66b,6,-878.4400024414062,-674.3300170898438,17.010000228881836,-9731.199951171875,-88.50000381469727,2.0999999344348907,-1.0999999940395355,0.09999999776482582,-697.5,237.0,128.0,False,-0.009563259461475276,0.04618831114932857,0.00028095930464960606,True,223.0,False,8,False,8,,b-o-b-o.,bbef21fef2b,5.0,-4078.070068359375,-2130.4599609375,266.7799987792969,406.3999938964844,-7353.900146484375,-12803.399658203125,434.3000030517578,-1282.2000122070312,-71.99999809265137,216.0,128.0,False,-1.0787905006891092,-1.5907232239370455,-1.5269396607631789,True,6,134.0,False,False,8,
5,466,10,False,False,0,5940.277148935893,3798.6298828125,1500.31005859375,118.70999908447266,22234.09912109375,18868.399658203125,5848.499755859375,1109.000015258789,4026.0000610351562,1472.7000427246094,0.0,1.237359870714627,2.908174289035356,2.724308132896032,b0de405f66b,EL_JoBarr,6.0,3699.68994140625,1370.1600341796875,93.01000213623047,17590.400390625,7594.2999267578125,1797.5999450683594,2331.4999389648438,-4041.099853515625,2912.5,246.0,128.0,False,0.002379160926248763,0.8891649050692586,-0.44789811395636897,True,10,8,134.0,False,False,,bbef21fef2b,b-o-b-o.,5.0,2596.340087890625,1818.9200439453125,17.049999237060547,-1675.8000183105469,-14805.0,2.3999999463558197,-0.09999999776482582,-0.7000000029802322,41.500000953674316,255.0,128.0,False,0.016790175889054893,-1.6785383743960463,-7.255961601209034e-05,True,6,135.0,False,8,False,,enpitsu,76561198039309853,24,3849.1298828125,3619.469970703125,20.43000030517578,-2205.5999755859375,5610.10009765625,-206.39999389648438,68.29999923706055,474.39998626708984,1911.0000610351562,0.0,128.0,False,-0.05001404974875584,-0.997642365181787,0.05993579409659508,True,132.0,False,6,False,6,,games5425898691,bf81d8692db,18.0,1371.489990234375,3482.320068359375,17.010000228881836,-12868.1005859375,3105.1998901367188,2.3000000417232513,-0.29999999329447746,0.0,-2261.999969482422,255.0,0.0,,0.009561296642004936,2.838727641050018,-3.4713897477977214e-05,True,6,125.0,False,False,6,
6,569,14,False,False,1,10745.016612947056,-2693.719970703125,-4987.64990234375,106.3499984741211,-14961.800537109375,3269.1000366210938,-8066.099853515625,-1750.3999328613281,-3897.9000854492188,-4212.0001220703125,1.0,-0.8868064403172127,0.23334479444501158,-2.662298148024506,76561198039309853,enpitsu,24.0,-2573.050048828125,-4962.7998046875,140.00999450683594,-7272.9998779296875,-2.0000000298023224,196.20000839233398,-1573.2000732421875,-3955.0,2891.199951171875,255.0,0.0,,-0.9874903789212944,3.126993757120266,3.048433536702283,True,8,7,255.0,False,False,,bf81d8692db,games5425898691,18.0,398.8999938964844,-5073.7001953125,17.010000228881836,-6897.8997802734375,-1658.6000061035156,2.0999999344348907,-2.7000001072883606,-0.3999999910593033,-643.3000183105469,255.0,128.0,,-0.00950937102860431,-0.20074131466636075,0.00017147588564598985,True,6,125.0,False,6,False,,EL_JoBarr,b0de405f66b,6,-3192.330078125,-3147.320068359375,17.010000228881836,-0.29999999329447746,-785.8999633789062,2.0000000298023224,1.2999999523162842,1.7000000178813934,-346.3999938964844,255.0,63.0,,-0.009368813072992538,-1.7231585853140876,-4.2399647770856626e-05,True,115.0,False,8,False,10,,b-o-b-o.,bbef21fef2b,5.0,-171.27999877929688,-1350.6500244140625,17.049999237060547,-6322.9998779296875,-1916.199951171875,3.100000023841858,-0.0,-0.0,-2345.0999450683594,255.0,0.0,,-0.016647313956879354,-0.3058408615631449,-2.706986863995873e-05,True,6,165.0,False,False,8,
7,581,15,False,False,1,10693.054588171723,-3141.43994140625,-4761.5400390625,179.14999389648438,-8088.4002685546875,6587.80029296875,2222.2999572753906,-3057.2000122070312,-4386.499938964844,-219.0999984741211,1.0,-0.8757687455542106,-2.4486915155226976,1.2453069690576293,76561198039309853,enpitsu,25.0,-2851.719970703125,-4908.419921875,164.00999450683594,-6512.2998046875,1281.300048828125,-316.3999938964844,92.10000038146973,-4970.799865722656,1197.699966430664,128.0,128.0,,1.1943723227127825,0.6370120241768593,0.7357187101194061,True,8,8,248.74667515036882,True,False,,bf81d8692db,games5425898691,18.0,38.15999984741211,-5068.31982421875,17.010000228881836,-9437.899780273438,2158.000030517578,2.0999999344348907,1.7000000178813934,-1.0000000149011612,-534.0000152587891,128.0,93.0,,-0.009555688494375941,0.23620199871988737,8.853647041927059e-05,True,6,125.0,False,6,False,,EL_JoBarr,b0de405f66b,6,-3217.570068359375,-3309.340087890625,17.010000228881836,-1557.2999572753906,-6193.2000732421875,0.5999999865889549,1.0000000149011612,4.1999998688697815,-1311.6999816894531,255.0,14.0,,-0.009487505315592084,-1.3651777907797054,-0.00015050390287615418,True,108.7466751503688,True,8,False,10,,b-o-b-o.,bbef21fef2b,5.0,-489.55999755859375,-1276.5,17.049999237060547,-7066.099853515625,5791.7999267578125,2.8999999165534973,-2.0000000298023224,1.4000000059604645,-2203.9999389648438,255.0,43.0,,-0.01666824025696415,0.7307686331023654,4.0674171595271694e-05,True,6,165.0,False,False,8,
8,601,15,False,False,0,4616.4510891012515,3639.39990234375,4278.740234375,217.24000549316406,-8123.599853515625,1795.8000183105469,15945.10009765625,-4311.7999267578125,3299.2999267578125,-2553.8999938964844,0.0,0.09733500616770113,-0.5311013019612423,-1.6158353944367239,b0de405f66b,EL_JoBarr,6.0,3634.43994140625,4128.330078125,99.08999633789062,6318.2000732421875,15236.400146484375,2566.0000610351562,-603.4999847412109,-2282.7000427246094,931.1000061035156,255.0,144.0,,-0.11667077097728606,1.39823633140977,-0.5048439576184294,True,12,8,45.81022782992293,True,False,,bbef21fef2b,b-o-b-o.,5.0,1120.02001953125,1002.989990234375,17.049999237060547,8084.0997314453125,5230.8001708984375,3.4999999403953552,-0.09999999776482582,-0.29999999329447746,2628.5000610351562,255.0,252.0,False,0.016699401726924055,0.6598396229054985,-5.806726940404705e-05,True,6,165.0,False,8,False,,enpitsu,76561198039309853,25,3341.0,4693.77001953125,250.64999389648438,5395.10009765625,-8961.400146484375,3166.6000366210938,2622.0999145507812,679.1000366210938,-35.09999990463257,255.0,0.0,,-0.303305906615676,-0.7636627969806161,1.5095944940417603,True,197.55378057110696,True,9,False,10,,games5425898691,bf81d8692db,18.0,-51.81999969482422,5075.3798828125,17.010000228881836,-5354.2999267578125,1504.7000122070312,2.0999999344348907,-0.9000000357627869,-1.899999976158142,0.0,128.0,128.0,,0.009713763059934252,-0.2739717229591534,2.7869924364110985e-05,True,6,125.0,False,False,6,
9,698,19,True,True,0,2112.3713337868667,1138.469970703125,4571.6298828125,563.2100219726562,-19731.800537109375,22630.50048828125,-3436.7999267578125,857.9000091552734,-1589.2999267578125,5721.6998291015625,0.0,-0.5192055006467573,-2.8731852840803804,-2.588098022089563,bbef21fef2b,b-o-b-o.,5.0,1229.449951171875,4299.27978515625,471.6300048828125,940.9999847412109,22747.19970703125,3238.3999633789062,-4871.9000244140625,17.899999618530273,419.0999984741211,223.0,169.0,False,-0.5939541386753826,1.3419046208727987,0.01772342124583624,True,10,7,81.0,False,False,,b0de405f66b,EL_JoBarr,6.0,2515.780029296875,2549.449951171875,26.739999771118164,-6299.6002197265625,-8218.900146484375,-3323.900146484375,-396.5999984741211,-71.90000057220459,1096.1000061035156,255.0,188.0,False,0.0583590724347925,-1.5385194952425754,0.0032551664048526404,True,12,0.0,False,14,False,,enpitsu,76561198039309853,25,1998.8599853515625,4263.5,17.030000686645508,-16445.999755859375,8769.500122070312,5.099999904632568,-0.5999999865889549,0.09999999776482582,40.39999961853027,255.0,255.0,False,0.016762774064891618,2.6562943941630794,-6.433995050386207e-05,True,157.0,False,10,False,10,,games5425898691,bf81d8692db,18.0,519.010009765625,4889.18017578125,461.1400146484375,2709.4000244140625,-3642.60009765625,54.20000076293945,664.1000366210938,-5340.8001708984375,-1133.0000305175781,255.0,44.0,,-0.7755075794939023,-0.8059706356455992,0.8450149927549386,True,7,30.999613064591614,True,False,8,
