,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,562,14,True,0,1109.2507531699616,-136.38999938964844,4331.64990234375,669.0999755859375,-12084.69970703125,19704.3994140625,-4370.0,-3853.2000732421875,4307.200012207031,1612.4000549316406,0.0,0.3087552808861272,0.23792187985198385,1.307729808651282,76561198254068037,Shaquille O'Wheel,10.0,-0.9800000190734863,4291.580078125,769.25,-1292.1000671386719,18176.099853515625,-4443.900146484375,2531.7999267578125,2998.900146484375,-3285.1998901367188,255.0,108.0,True,0.2601337309180081,-0.13970591893227338,1.8629679830475578,True,12,0.0,False,10,4,,bc1c0cad5fb,Mavric1184,8.0,1063.56005859375,-172.8000030517578,17.010000228881836,-15156.8994140625,2290.2999877929688,0.29999999329447746,0.5000000074505806,0.3999999910593033,-103.50000381469727,255.0,94.0,,0.009641680665925283,2.9930914575805,-5.182353041499524e-05,True,206.48109225303898,True,False,6,6,,enpitsu,76561198039309853,26.0,-137.60000610351562,5097.10009765625,259.0799865722656,-8641.900024414062,7730.10009765625,-150.79999923706055,-3541.400146484375,3205.4000854492188,2726.400146484375,128.0,128.0,,-0.2185557667235918,0.7080357191210204,-2.565216215489875,True,3,80.0,False,4,False,,games5425898691,bf81d8692db,24.0,-50.29999923706055,4788.72998046875,223.99000549316406,-1630.2000427246094,186.10000610351562,3633.699951171875,78.29999923706055,1672.2999572753906,-2.800000011920929,128.0,,-1.0530863075355112,3.0905141864306644,0.0030251042367887586,True,12,False,229.96179771679707,True,10,,
1,2241,66,False,0,4002.5916716870825,-1725.949951171875,1224.4000244140625,232.52999877929688,8694.299926757812,22780.70068359375,5871.6998291015625,4174.4000244140625,841.3999938964844,-684.5999908447266,0.0,-0.665404833864866,-0.3485659241923224,-1.6300421426901552,bc1c0cad5fb,Mavric1184,9.0,-1801.6800537109375,1018.969970703125,83.13999938964844,6751.300048828125,18700.400390625,6100.2001953125,0.0,0.0,-3.400000035762787,255.0,128.0,False,0.00959186541088161,1.2230587852891772,1.1683792705352216e-05,True,24,82.0,False,22,3,,76561198254068037,Shaquille O'Wheel,10.0,1780.199951171875,-3000.4599609375,17.010000228881836,12934.89990234375,-14416.500244140625,2.7000001072883606,0.0,0.0,12.599999904632568,255.0,128.0,False,0.009586346709393054,-0.8378338438394661,-2.2524299297068167e-05,True,0.0,False,False,42,38,,enpitsu,76561198039309853,25.0,103.16999816894531,5858.18994140625,61.40999984741211,131.5999984741211,-57.30000019073486,-16.399999856948853,-55.10000228881836,56.10000133514404,43.20000171661377,255.0,128.0,False,0.4089877858083862,-1.9837693232611504,-0.2025700751863762,True,16,219.0,False,16,False,,games5425898691,bf81d8692db,24.0,2706.320068359375,4496.56005859375,17.010000228881836,1631.199951171875,-4826.099853515625,2.8999999165534973,0.0,1.0999999940395355,1996.4999389648438,255.0,255.0,0.009487117660931335,-1.3028541550174522,0.00020858145249262226,True,False,False,85.0,False,False,,
2,3767,121,False,0,2977.6872797705164,1753.9100341796875,3781.840087890625,346.2200012207031,-21858.30078125,18257.60009765625,2996.9000244140625,1662.4000549316406,-1834.2999267578125,395.99998474121094,0.0,0.08553446912973456,-2.0213604896986053,-1.1157306385296146,76561198254068037,Shaquille O'Wheel,10.0,1984.18994140625,3586.300048828125,238.3000030517578,-15760.50048828125,16540.699462890625,2647.3001098632812,410.09998321533203,3739.2999267578125,4012.3001098632812,255.0,103.0,True,-0.6276552454986298,2.3224762832345838,2.5188991966624354,True,72,122.59723013190812,True,63,6,,bc1c0cad5fb,Mavric1184,16.0,1300.6099853515625,-2231.080078125,17.010000228881836,17989.300537109375,4839.800109863281,2.800000011920929,0.0,0.0,1480.8000183105469,255.0,255.0,,0.009585523848714118,0.28451999183993787,0.0002338893989120895,True,209.0,False,4,38,34,,enpitsu,76561198039309853,25.0,-257.7300109863281,5671.0,29.489999771118164,3146.4999389648438,-2185.2999877929688,-65.50000190734863,-2.0999999344348907,0.09999999776482582,2.0999999344348907,128.0,,,0.039031071343456264,-0.60348475245635,0.03260480569472646,True,24,149.0,False,30,2,,games5425898691,bf81d8692db,24.0,581.0599975585938,4803.10009765625,222.27000427246094,11249.100341796875,-3087.0999145507812,3152.9998779296875,327.09999084472656,-669.3000030517578,-608.6999893188477,255.0,128.0,-0.8491562678042853,-0.737347700371397,0.30871001372334583,True,12,False,159.86170338046168,True,8,,
3,5000,166,True,1,1183.3189805039099,1085.1099853515625,3971.889892578125,224.00999450683594,-15220.799560546875,20920.50048828125,1389.4000244140625,1682.8999328613281,4239.89990234375,-3897.39990234375,1.0,-0.7435768187088903,2.2626047596786814,1.5999829353005224,bf81d8692db,games5425898691,24.0,1242.72998046875,3827.219970703125,170.02000427246094,-16118.499755859375,6181.300048828125,2923.0999755859375,-1918.800048828125,-601.6999816894531,-276.5999984741211,255.0,36.0,,0.36918390311129873,0.25831864374364727,0.04445992700982428,True,24,47.0,False,21,False,,76561198039309853,enpitsu,26.0,42.709999084472656,2064.570068359375,17.049999237060547,14194.599609375,-88.80000114440918,3.100000023841858,-0.7000000029802322,-0.0,-20.199999809265137,255.0,128.0,False,-0.016773183204751334,-3.132740050457854,7.1420662609853e-05,True,186.0,False,2,44,38,,Mavric1184,bc1c0cad5fb,10.0,496.8800048828125,4483.81982421875,17.020000457763672,6760.5999755859375,-2725.0,1.7000000178813934,-0.0,-0.0,-2463.699951171875,255.0,0.0,False,-0.009513632531527946,-2.746612099539115,5.446873337042106e-06,True,50,115.0,False,58,6,,Shaquille O'Wheel,76561198254068037,10.0,853.7000122070312,5329.18994140625,59.43000030517578,-1752.5,3688.9999389648438,-2827.9998779296875,16.299999952316284,5364.4000244140625,-1213.499984741211,255.0,128.0,-0.1956865175550812,1.2474700446418236,-1.3000368857216233,True,104,12,27.197978540133406,True,90,,False
4,5540,177,False,0,3111.77176183968,1909.550048828125,3793.889892578125,234.58999633789062,-9774.099731445312,9559.299926757812,5202.0001220703125,3098.0999755859375,-575.2999877929688,2665.5999755859375,0.0,-0.6645450968244616,-1.2815744621382843,-2.081679036978939,bc1c0cad5fb,Mavric1184,9.0,1966.1099853515625,3669.050048828125,138.05999755859375,-3031.7001342773438,4645.7000732421875,2883.599853515625,-4515.4998779296875,-3005.4000854492188,909.4999694824219,128.0,39.0,False,-0.7050761408725787,-1.8785964894005591,0.49097007864022624,True,8,169.0,False,7,False,,76561198254068037,Shaquille O'Wheel,10.0,1574.8699951171875,2430.169921875,17.0,7721.199951171875,13727.60009765625,4.000000059604645,-2.8999999165534973,1.0999999940395355,1408.699951171875,120.0,255.0,False,0.009644709856797497,1.077357384091077,0.00021451328404275663,True,71.0,False,False,False,False,,enpitsu,76561198039309853,26.0,463.30999755859375,5129.7099609375,17.059999465942383,-4326.099853515625,5661.500244140625,2.0000000298023224,-0.29999999329447746,0.5999999865889549,-0.7000000029802322,255.0,128.0,,0.016688214542832498,-0.919563181341474,6.210564046546133e-05,True,4,255.0,False,4,False,,games5425898691,bf81d8692db,24.0,1445.0899658203125,4256.9599609375,17.0,-3948.9999389648438,-1316.7999267578125,3.799999952316284,0.7000000029802322,-0.3999999910593033,-62.39999771118164,128.0,92.0,0.009596425837490302,-2.788309762968661,-0.00018861292434157545,True,6,False,242.0,False,4,,
5,6267,194,False,0,5885.915424052788,1503.6500244140625,-234.5399932861328,98.33000183105469,-8163.699951171875,28803.89892578125,4811.600036621094,-5589.89990234375,1398.3000183105469,1672.5,0.0,0.08030434254237746,2.0794272318633023,0.13137796775584545,76561198254068037,Shaquille O'Wheel,10.0,1534.1800537109375,-407.05999755859375,84.93000030517578,-5762.60009765625,17287.60009765625,2833.2000732421875,3686.7001342773438,-4054.5999145507812,465.99998474121094,255.0,255.0,True,0.018834261299696557,1.7422422373688857,-0.7537006624149609,True,10,156.48302780171878,True,9,False,,bc1c0cad5fb,Mavric1184,8.0,-2586.52001953125,-993.719970703125,17.020000457763672,16439.7998046875,-5460.3997802734375,-1.1999999731779099,1.5000000596046448,0.0,176.8000030517578,255.0,128.0,False,0.009584659942435549,-0.3000281087001613,-0.00015562422027960574,True,86.33952690452658,True,False,4,4,,enpitsu,76561198039309853,25.0,1649.550048828125,4856.10986328125,17.049999237060547,-5630.7000732421875,3156.099853515625,3.6000001430511475,-0.9000000357627869,0.19999999552965164,2191.300048828125,0.0,128.0,,0.016905484125984974,-0.2850046169297856,0.00010879072409577232,True,False,208.0,False,False,False,,games5425898691,bf81d8692db,24.0,-2034.030029296875,1840.25,17.010000228881836,-12257.900390625,13810.0,3.0000001192092896,0.19999999552965164,0.09999999776482582,-1990.8000183105469,255.0,0.0,0.009628874429885376,2.2229187446337204,1.0142576671785806e-05,True,8,False,157.0,False,8,,
6,6518,203,False,0,3976.8869833414315,-2158.530029296875,1368.8399658203125,101.04000091552734,13622.2998046875,20153.699951171875,2681.9000244140625,-862.5,2434.2999267578125,5415.5999755859375,0.0,0.7993215827320025,-0.4162160488333198,-0.28337853336192564,76561198254068037,Shaquille O'Wheel,10.0,-2288.550048828125,1136.9599609375,59.9900016784668,19966.400146484375,11085.799560546875,2728.3999633789062,692.3999786376953,3651.7999267578125,336.5999984741211,255.0,0.0,True,0.06266625205428152,0.9050661737485746,0.04776355145987316,True,12,186.0490581938016,True,11,False,,bc1c0cad5fb,Mavric1184,9.0,-3327.06005859375,971.2100219726562,16.989999771118164,-5056.600036621094,-22437.19970703125,5.0,-0.09999999776482582,-0.3999999910593033,0.0,255.0,128.0,,0.009598924805382674,-1.7924642766884251,-3.9610840681191126e-05,True,125.0,False,False,6,6,,enpitsu,76561198039309853,26.0,-1391.75,3241.0,106.16000366210938,5379.0997314453125,-14774.49951171875,4125.799865722656,-1531.9999694824219,-590.4000091552734,-959.5999908447266,128.0,128.0,,-0.15765003242358033,-1.2957053480287837,0.006974756453150278,True,2,183.0,False,4,False,,games5425898691,bf81d8692db,24.0,181.11000061035156,5500.10986328125,22.780000686645508,-349.3000030517578,-629.900016784668,-24.800000190734863,0.5999999865889549,-0.3999999910593033,-0.29999999329447746,255.0,128.0,0.04372539823968945,-2.085842080933752,-0.01943277679865943,True,10,False,66.0,False,8,,
7,7183,227,True,0,894.3246035292432,-1409.3599853515625,4407.68994140625,378.9100036621094,26419.7998046875,18772.19970703125,-3556.199951171875,-2197.2000122070312,177.90000915527344,-3755.2999877929688,0.0,-0.9492933209244174,-0.3747561754088545,-2.728130131491845,bc1c0cad5fb,Mavric1184,8.0,-1566.4300537109375,4230.2900390625,322.79998779296875,15416.99951171875,16793.299560546875,3049.2999267578125,-3821.199951171875,845.8999633789062,-931.3999938964844,128.0,119.0,,-0.5299654417201977,1.5378018334462307,-0.4254030954272769,True,16,37.84754407277673,True,13,4,,76561198254068037,Shaquille O'Wheel,10.0,3025.14990234375,-4125.43994140625,17.020000457763672,-9080.30029296875,-7226.300048828125,-0.19999999552965164,0.7999999821186066,0.3999999910593033,-2922.39990234375,255.0,0.0,True,0.009561673810724265,-2.6137416097540127,4.115810754527076e-05,True,236.23471839453583,True,False,30,30,,enpitsu,76561198039309853,25.0,-1068.7099609375,4446.9501953125,143.5500030517578,10975.400390625,4354.100036621094,3422.3001098632812,-1.2999999523162842,5.099999904632568,96.09999656677246,128.0,255.0,,0.02034526076465614,0.43619418044259256,-0.00017138801709357058,True,1,48.51784941201569,True,2,False,,games5425898691,bf81d8692db,24.0,-1072.72998046875,4918.85986328125,72.55000305175781,11675.50048828125,-5707.0001220703125,-2089.499969482422,-1150.199966430664,-1432.2999572753906,-3137.0001220703125,255.0,128.0,-0.06839516411770948,-0.6372277074330729,0.9907285285780809,True,20,False,251.86083453957752,True,16,,
8,7503,230,False,0,4358.84937841904,-1166.949951171875,789.5800170898438,166.97999572753906,4788.500061035156,17838.1005859375,9767.80029296875,3512.5,-4556.400146484375,-1703.3000183105469,0.0,0.5293283765957563,-0.012603788614110586,2.349784980466567,bc1c0cad5fb,Mavric1184,9.0,-1231.6600341796875,673.760009765625,61.709999084472656,2788.2998657226562,15547.2998046875,1996.1000061035156,-4156.300048828125,1107.2000122070312,-2432.2000122070312,255.0,158.0,,0.08059863602737856,1.018069273939418,-0.01625203541345543,True,6,0.0,False,5,False,,76561198254068037,Shaquille O'Wheel,10.0,-566.489990234375,-361.7200012207031,17.010000228881836,-20553.00048828125,10323.299560546875,0.3999999910593033,-0.19999999552965164,0.0,1977.5,255.0,250.0,False,0.009589943075891413,2.7546633107696175,-1.5203868040041615e-05,False,0.0,True,False,False,False,,enpitsu,76561198039309853,26.0,448.5,281.9599914550781,17.049999237060547,-4429.200134277344,7284.7998046875,3.1999999284744263,0.5000000074505806,-1.1999999731779099,-55.300002098083496,255.0,128.0,,0.01664486812474663,2.110032750629183,0.00011955978611954283,True,2,0.0,False,2,False,,games5425898691,bf81d8692db,24.0,-8.59000015258789,5677.52001953125,29.709999084472656,-877.6999664306641,-4246.400146484375,-154.20000076293945,16.200000047683716,37.10000038146973,-1127.300033569336,255.0,113.0,0.047353249698269595,-1.7464744493758224,-0.007036264699037174,True,False,False,116.0,False,False,,
9,7697,237,False,1,5230.977443649569,-313.1099853515625,50.68000030517578,105.91999816894531,793.7999725341797,21846.4990234375,320.9000015258789,2314.4000244140625,-904.4000244140625,-175.59999465942383,1.0,-0.7727563087684416,0.4564479199068534,0.6659294361171813,bf81d8692db,games5425898691,24.0,-330.92999267578125,-235.66000366210938,62.2599983215332,60.19999980926514,17287.7001953125,-1933.9999389648438,-2293.699951171875,90.50000190734863,37.59999990463257,255.0,128.0,,0.46156482983643715,1.6188755244023723,0.035695865323568346,True,6,0.0,False,4,False,,76561198039309853,enpitsu,26.0,-15.109999656677246,-1628.1199951171875,17.059999465942383,-587.9999923706055,17420.0,1.899999976158142,-0.0,-0.0,0.09999999776482582,255.0,128.0,False,-0.016787238810716063,1.5370302473140274,1.1157591314022723e-06,True,31.0,False,False,2,2,,Mavric1184,bc1c0cad5fb,9.0,-2660.429931640625,742.5499877929688,16.989999771118164,6603.699951171875,22031.4990234375,2.8999999165534973,0.5000000074505806,-1.7000000178813934,-35.79999923706055,255.0,128.0,False,-0.009658628850421394,1.866298971304564,0.00011285647254383863,True,8,129.88138477007547,True,8,False,,Shaquille O'Wheel,76561198254068037,10.0,-3503.89990234375,-1839.239990234375,83.41999816894531,-5782.7001953125,18608.00048828125,-250.10000228881836,-3212.3001098632812,-3972.39990234375,0.0,255.0,135.0,0.46564118907231233,2.0265398805778454,1.098162404736057,True,6,4,0.0,False,4,,False
