,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,171,0,False,False,0,5150.96402263639,11.789999961853027,69.66000366210938,108.12000274658203,18855.400390625,5380.2001953125,3353.800048828125,-1801.6000366210938,-2393.6000061035156,-5198.499755859375,0.0,-0.19749867666064336,-0.2245615630925004,-0.3937190704869436,bc019ebf85b,Zrocken,16.0,-57.22999954223633,-113.87000274658203,135.5500030517578,-13881.8994140625,15229.3994140625,3183.2000732421875,-3497.60009765625,-3181.0000610351562,-2810.1998901367188,255.0,141.0,,0.592504804814648,1.4040188634148518,-0.367974705830254,4,3,True,False,0.0,False,,ba52e0253bb,ratail83,7.0,-4.840000152587891,-2520.10009765625,17.010000228881836,-1111.2999725341797,13827.099609375,2.800000011920929,-0.29999999329447746,0.29999999329447746,1692.1000671386719,255.0,255.0,,0.009544463400470084,1.666223255547879,0.00022660341908652059,True,False,False,146.0,False,False,,enpitsu,76561198039309853,24,0.0,2097.219970703125,17.049999237060547,0.0,-14101.400146484375,3.0000001192092896,0.7999999821186066,0.0,0.0,255.0,128.0,,0.016701057873966443,-1.5708181470774263,-1.8233262217731253e-07,True,False,False,False,102.0,False,,games5425898691,bf81d8692db,19.0,-60.08000183105469,236.50999450683594,90.0,-1179.4999694824219,-16774.599609375,1451.3999938964844,5392.1002197265625,-80.20000457763672,1080.999984741211,255.0,103.0,,0.8273819543311428,-1.6504469868177085,0.0295608623997675,True,0.0,False,False,4,3,
1,337,6,False,False,1,8373.301418210156,-3422.0400390625,-2034.030029296875,101.23999786376953,2802.9998779296875,25768.60107421875,9858.400268554688,5431.7999267578125,2167.899932861328,-1339.6000671386719,1.0,0.4571899217439091,2.657065003214521,-2.1897684598968814,76561198039309853,enpitsu,24.0,-3415.080078125,-2131.5400390625,15.140000343322754,121.70000076293945,19243.800048828125,68.29999923706055,61.19999885559082,289.0999984741211,803.6000061035156,255.0,128.0,,-0.016486238051993035,1.5744013790739464,-0.0223775334281774,False,False,True,False,133.4221334534307,True,,bf81d8692db,games5425898691,19.0,1874.530029296875,-4710.58984375,17.010000228881836,-18717.19970703125,5744.7998046875,0.5999999865889549,-0.19999999552965164,-0.0,-1999.6000671386719,255.0,0.0,,-0.009584434557565169,0.37171262748771566,-2.9064858116190073e-05,True,6,False,239.3198109057642,True,6,,ratail83,ba52e0253bb,8,-2779.8798828125,-5078.35986328125,1140.25,4155.400085449219,-970.8999633789062,-20282.19970703125,445.2000045776367,1894.7999572753906,356.8000030517578,255.0,241.0,,-1.419270394070701,-2.878046182085137,-1.6194680878988017,True,4,False,False,141.7315354654866,True,,Zrocken,bc019ebf85b,16.0,1405.449951171875,2631.699951171875,17.020000457763672,1441.9000244140625,14026.199951171875,1.4000000059604645,-0.0,-0.7999999821186066,-0.09999999776482582,170.0,128.0,,-0.009591276060783631,1.6732814373393,7.340782966842921e-05,True,255.0,False,False,4,4,
2,460,10,False,False,0,8874.792422401322,2178.110107421875,-3185.3701171875,121.06999969482422,9906.699829101562,333.69998931884766,6273.4002685546875,-4349.800109863281,73.49999904632568,4132.0001220703125,0.0,-0.20312228127595666,2.387524114157294,0.16614323214742013,ba52e0253bb,ratail83,8.0,2063.2099609375,-3104.419921875,17.010000228881836,-8535.30029296875,-15254.89990234375,2.800000011920929,0.3999999910593033,0.7999999821186066,1815.5999755859375,128.0,255.0,,0.009642091082744034,-2.0268686985046673,0.00010415635071355108,6,4,True,False,87.0,False,,bc019ebf85b,Zrocken,17.0,3175.5400390625,-3803.0,17.0,-12952.39990234375,-4103.399963378906,4.099999964237213,0.29999999329447746,-0.19999999552965164,2244.199981689453,255.0,255.0,False,0.00955658545499065,-2.7657073160726147,2.1814284929100836e-05,True,6,False,152.0,False,6,,enpitsu,76561198039309853,24,375.510009765625,-3785.06005859375,17.040000915527344,-16208.800048828125,9239.199829101562,4.399999976158142,0.19999999552965164,0.0,-4.1999998688697815,255.0,128.0,False,0.016788100507444576,2.6230001818970186,1.7389157694148317e-05,True,False,False,False,255.0,False,,games5425898691,bf81d8692db,19.0,-9.270000457763672,-2293.0,17.010000228881836,7778.800048828125,15975.899658203125,2.800000011920929,-0.3999999910593033,0.0,1976.4999389648438,255.0,255.0,,0.00955364727622664,1.1898704017947552,2.2840255408925016e-05,True,243.0,False,False,6,6,
3,543,13,False,False,1,4861.028308013641,-3549.080078125,3172.550048828125,346.20001220703125,-7265.7000732421875,30322.099609375,2452.4000549316406,4838.299865722656,-737.2000122070312,450.8000183105469,1.0,0.5931496172721182,-1.7741208578385907,-0.005147848319042773,bf81d8692db,games5425898691,19.0,-3517.090087890625,2997.429931640625,282.5799865722656,-9745.800170898438,17348.199462890625,1594.4999694824219,-2288.3999633789062,1223.1999969482422,-3844.1000366210938,255.0,128.0,,0.16699055707412844,1.284889097079822,0.10836546082889836,8,7,True,False,88.63641290254488,True,,76561198039309853,enpitsu,24.0,-107.6500015258789,-229.5500030517578,17.040000915527344,-6684.1998291015625,-12008.399658203125,5.5000001192092896,-0.3999999910593033,-0.5999999865889549,-2899.7000122070312,255.0,0.0,False,-0.016755352639258408,-0.9150862841324469,-0.0001384770137770328,True,False,False,255.0,False,False,,ratail83,ba52e0253bb,8,-3548.139892578125,3385.830078125,280.8800048828125,-8301.799926757812,-13599.000244140625,3336.7001342773438,2416.4999389648438,4749.800109863281,-1359.6000671386719,128.0,252.0,False,-0.012049920083722932,-1.3404857060897473,-1.2358805252689118,True,8,4,4,42.87391820774283,True,,Zrocken,bc019ebf85b,17.0,-2521.27001953125,4195.02001953125,17.0,591.1999893188477,514.3999862670898,3.8999998569488525,-0.09999999776482582,0.7999999821186066,-86.89999580383301,24.0,128.0,False,-0.009770016906913917,-0.6948300058630018,6.648999052153637e-05,True,152.0,False,False,6,6,
4,545,13,False,False,0,9498.072004287269,3626.550048828125,-3212.239990234375,468.5199890136719,11799.100341796875,2887.9998779296875,24290.2001953125,5036.600036621094,316.5999984741211,-3245.1998901367188,0.0,-0.4731805505958559,1.6311416790499267,0.059219152026315884,ba52e0253bb,ratail83,8.0,3548.139892578125,-3385.830078125,280.8800048828125,8301.799926757812,13599.000244140625,3336.7001342773438,-2416.4999389648438,-4749.800109863281,-1359.6000671386719,128.0,252.0,False,0.012049920083722932,1.3404857060897473,-1.2358805252689118,8,4,True,4,36.60501507533494,True,,bc019ebf85b,Zrocken,17.0,2521.27001953125,-4195.02001953125,17.0,-591.1999893188477,-514.3999862670898,3.8999998569488525,0.09999999776482582,-0.7999999821186066,-86.89999580383301,24.0,128.0,False,0.009770016906913917,0.6948300058630018,6.648999052153637e-05,True,6,False,152.0,False,6,,enpitsu,76561198039309853,24,181.82000732421875,327.3800048828125,17.040000915527344,9227.2998046875,9394.199829101562,5.5000001192092896,0.7000000029802322,0.3999999910593033,-2942.9000854492188,255.0,0.0,False,0.016749568102897686,0.6444630371102487,-3.288914481119485e-05,True,False,False,False,255.0,False,,games5425898691,bf81d8692db,19.0,3517.090087890625,-2997.429931640625,282.5799865722656,9745.800170898438,-17348.199462890625,1594.4999694824219,2288.3999633789062,-1223.1999969482422,-3844.1000366210938,255.0,128.0,,-0.16699055707412844,-1.284889097079822,0.10836546082889836,True,82.36750977013698,True,False,8,7,
5,613,16,False,False,0,8387.308808128724,2412.5,-2567.18994140625,191.4199981689453,2875.10009765625,32377.7001953125,-14349.3994140625,-4255.4998779296875,3164.89990234375,2805.8999633789062,0.0,-0.6419606295177231,-1.1291020057829355,1.799616360482177,bc019ebf85b,Zrocken,16.0,2388.0400390625,-2707.489990234375,202.9499969482422,5920.7000732421875,18289.000244140625,1413.699951171875,-1600.2999877929688,5011.000061035156,1605.8000183105469,255.0,0.0,,-0.3094074271719091,1.683434748452512,0.7011995662826228,8,7,True,False,70.53927732795795,True,,ba52e0253bb,ratail83,8.0,3872.3798828125,-4162.47998046875,427.82000732421875,-4681.400146484375,-5752.9998779296875,44.89999771118164,1863.0999755859375,-1629.4999694824219,-917.7999877929688,255.0,0.0,False,-0.03910983371794844,-2.2849128570402617,1.5707000683362002,True,8,4,27.0,False,4,,enpitsu,76561198039309853,24,1250.9300537109375,95.1500015258789,17.040000915527344,288.700008392334,8146.300048828125,4.4999998807907104,0.0,1.0000000149011612,-17.799999713897705,0.0,255.0,,0.016889675450966365,-1.61143808804437,9.934327001332885e-05,True,False,False,False,236.0,False,,games5425898691,bf81d8692db,19.0,3502.260009765625,-2989.489990234375,17.010000228881836,-7217.39990234375,3981.199951171875,3.100000023841858,-0.29999999329447746,0.0,-2503.9999389648438,255.0,0.0,,0.009518001616490506,2.6072899569368917,-2.6539876664295222e-05,True,82.0,False,False,8,8,
6,741,20,False,False,1,10111.018665320038,-1701.3800048828125,-4631.7099609375,111.63999938964844,-16949.100341796875,15314.7998046875,560.6000137329102,4951.300048828125,3353.0999755859375,490.60001373291016,1.0,1.041289411865482,-0.8430019829635415,-2.5981261589459956,76561198039309853,enpitsu,24.0,-1492.510009765625,-4766.9599609375,74.5999984741211,-11733.1005859375,8710.10009765625,3130.4998779296875,-1626.9999694824219,-2810.0,3426.7001342773438,255.0,128.0,,-0.1293701003523775,0.3677977750746604,0.028272302056375456,4,3,True,False,238.0,False,,bf81d8692db,games5425898691,19.0,-2113.449951171875,-5103.31005859375,269.1499938964844,17362.39990234375,54.000000953674316,3488.699951171875,198.4000015258789,1854.4999694824219,-75.19999980926514,255.0,255.0,,0.15520239163890512,-3.137697535246113,-1.5786694688415253,True,10,False,255.0,False,10,,ratail83,ba52e0253bb,8,3707.830078125,2801.080078125,16.989999771118164,-1270.5999755859375,-21184.89990234375,5.299999713897705,-0.0,-0.29999999329447746,-1920.8999633789062,255.0,0.0,False,-0.009605694255539008,-1.443120904193611,-6.360068871753138e-05,True,10,6,4,242.0,False,,Zrocken,bc019ebf85b,17.0,-2327.10009765625,-3338.050048828125,17.010000228881836,12009.599609375,-1236.8000030517578,2.8999999165534973,-0.7000000029802322,0.19999999552965164,2158.800048828125,128.0,255.0,,-0.009634726265113197,-3.090805579210405,7.368505800853036e-05,True,184.0,False,False,8,8,
7,823,23,False,False,1,8135.387530483324,-3974.280029296875,-1376.510009765625,758.219970703125,5637.8997802734375,16949.3994140625,324.39998626708984,-2446.1000061035156,-3566.0000610351562,-3435.7000732421875,1.0,0.08758932413007768,1.9322691397938787,0.6161037165370882,76561198039309853,enpitsu,24.0,-4078.93994140625,-1600.449951171875,714.9400024414062,2.0000000298023224,16413.900146484375,-95.10000228881836,-458.69998931884766,0.09999999776482582,-0.09999999776482582,255.0,0.0,,-0.027711922983304056,1.5539880091992748,1.571501344516744,4,4,True,False,164.0,False,,bf81d8692db,games5425898691,19.0,-191.97999572753906,-1739.760009765625,17.0,-4895.7000732421875,18702.19970703125,1.5000000596046448,-0.0,0.29999999329447746,153.69999885559082,255.0,128.0,,-0.009599192521620208,1.2986531748526884,-8.721201995235473e-05,True,10,False,220.20843018254925,True,10,,ratail83,ba52e0253bb,8,802.219970703125,4439.33984375,16.989999771118164,-12648.399658203125,11803.199462890625,5.299999713897705,-0.29999999329447746,0.09999999776482582,1969.4000244140625,255.0,255.0,False,-0.00958166932592861,0.6804009109696009,-4.3711040938677906e-05,True,10,6,4,255.0,False,,Zrocken,bc019ebf85b,17.0,-442.0,382.2799987792969,98.19999694824219,9304.299926757812,16806.8994140625,-1450.2999877929688,-2481.9000244140625,1541.7999267578125,-82.20000267028809,248.0,128.0,,0.5706410354928295,2.0622030785249015,-0.058786450866129755,True,214.0,False,False,10,10,
8,872,25,True,True,1,5407.763943935001,-3052.9599609375,1445.4599609375,229.69000244140625,14563.00048828125,15866.700439453125,9344.69970703125,-359.39998626708984,-4746.300048828125,-3652.7999877929688,1.0,-0.10888118693923288,-3.0923799936561274,-2.3240772679430406,76561198039309853,enpitsu,24.0,-3181.6201171875,1337.9200439453125,84.0999984741211,11936.800537109375,19580.2001953125,1768.2000732421875,-2089.600067138672,5070.299987792969,-418.10001373291016,255.0,0.0,,-0.4182726777102572,1.8546324705576391,0.4520906044691772,6,5,True,False,64.0,False,,bf81d8692db,games5425898691,19.0,387.0199890136719,1801.47998046875,17.0,11630.400390625,17965.10009765625,3.799999952316284,1.1999999731779099,1.8000000715255737,450.8000183105469,255.0,210.0,,-0.009593269443567583,2.14560158839262,7.616257082769037e-05,True,10,False,188.0,False,10,,ratail83,ba52e0253bb,8,-1421.6199951171875,3623.280029296875,46.13999938964844,-9489.099731445312,-8525.499877929688,3461.400146484375,-70.79999923706055,77.69999980926514,109.89999771118164,255.0,128.0,,-0.008627183301129411,-0.750018938900084,-0.00025079161061369024,True,11,6,4,231.37339355868676,True,,Zrocken,bc019ebf85b,17.0,487.54998779296875,3747.5,17.010000228881836,2415.7000732421875,18496.500244140625,2.5999999046325684,-0.09999999776482582,1.0000000149011612,90.69999694824219,128.0,146.0,,-0.009623810176970702,1.701057003206274,-3.133042275417888e-05,True,245.0,False,False,10,10,
9,1198,28,False,False,0,5191.200283594483,-29.780000686645508,21.579999923706055,109.4000015258789,-7639.7998046875,14229.100341796875,5331.9000244140625,-547.9999923706055,-5077.9998779296875,-3148.3999633789062,0.0,-0.09938674433637038,-0.46563631182505977,0.08640308363857052,ba52e0253bb,ratail83,8.0,11.15999984741211,-138.1199951171875,119.33000183105469,-9423.800048828125,6079.0997314453125,3586.300048828125,-4410.400085449219,-3238.5000610351562,556.8000030517578,255.0,216.0,,0.5944551481520015,1.1471039897113844,-1.120051091904763,4,3,True,False,0.0,False,,bc019ebf85b,Zrocken,16.0,-3149.72998046875,-4370.25,23.920000076293945,-6279.2999267578125,-11160.6005859375,-2858.5000610351562,2109.4000244140625,-934.8000335693359,-285.3000068664551,255.0,128.0,,0.06570526341152888,1.0666958029256228,-0.013489886363867656,True,4,False,255.0,False,4,,enpitsu,76561198039309853,24,22.889999389648438,142.85000610351562,100.38999938964844,11376.500244140625,-14713.499755859375,542.9000091552734,5298.2000732421875,-895.2999877929688,-1173.3000183105469,255.0,0.0,,0.7666233198355571,-0.6415130998835441,0.8093925564201686,True,2,1,False,0.0,False,,games5425898691,bf81d8692db,19.0,3462.9599609375,2495.35009765625,17.010000228881836,3314.2001342773438,14969.69970703125,2.5999999046325684,0.09999999776482582,1.0000000149011612,49.40000057220459,255.0,128.0,,0.009594542912432233,1.3599414114744734,-0.00010232319741962458,False,31.0,False,False,False,False,
