,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,171,0,False,False,1,5170.861437045463,71.72000122070312,35.2599983215332,116.68000030517578,13903.299560546875,-795.5000305175781,2198.5000610351562,-5049.800109863281,-182.80000686645508,3234.89990234375,1.0,-0.46871268409398414,0.45962872364403956,0.44577093028708764,76561198179274217,Breize,8.0,15.279999732971191,-104.0,99.1500015258789,-6165.5999755859375,5120.3997802734375,2560.2999877929688,3182.2000122070312,-24.600000381469727,-4485.799865722656,255.0,1.0,,-0.6899557896115256,-0.10041242476795152,1.6007098111559592,False,4,3,5.0,False,False,,7602338126977542521,Chxrlie309,8.0,2.7200000286102295,-3822.3798828125,17.049999237060547,42.60000228881836,8880.10009765625,2.5999999046325684,-0.0,-0.09999999776482582,-18.300000429153442,223.0,128.0,,-0.016693620567744944,1.5778859175737767,2.4750073710809153e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27,-47.040000915527344,140.35000610351562,84.25,7655.999755859375,-4679.4000244140625,-267.5,4584.2999267578125,2770.7998657226562,1247.5,255.0,128.0,,-1.0061576268772199,-2.2098322925053075,0.11877190186238885,True,1,0.0,False,2,False,,games5425898691,bf81d8692db,17.0,-0.0,4545.02001953125,17.010000228881836,-0.0,-7028.3001708984375,2.0999999344348907,0.7999999821186066,-0.0,0.0,255.0,,-0.009437596099305234,-1.5707880450025669,-3.8982555224187095e-08,True,116.0,False,False,False,False,,
1,269,3,False,False,0,5881.397539137202,-3695.300048828125,-32.5,95.63999938964844,-13604.3994140625,6383.4002685546875,2009.7999572753906,2243.3999633789062,-1284.4999694824219,-3222.7999877929688,0.0,-0.628138153904885,-1.169564220005269,-2.4986076285218424,76561198039309853,enpitsu,27.0,-3478.580078125,-142.72000122070312,17.049999237060547,-13790.10009765625,-555.2000045776367,3.0000001192092896,0.7000000029802322,0.09999999776482582,-1483.0000305175781,255.0,128.0,,0.01673822295491361,-3.1041678600236353,-0.00030727580528134375,True,2,2,251.87887327645416,True,False,,bf81d8692db,games5425898691,18.0,-2923.260009765625,-5032.2900390625,800.5999755859375,11390.799560546875,-4713.999938964844,-3699.7000122070312,786.2999725341797,2152.5999450683594,1468.699951171875,255.0,255.0,,0.3194409470881999,-0.40987299617561224,-1.568315032303951,True,255.0,False,False,False,False,,Breize,76561198179274217,9,3048.81005859375,-148.10000610351562,17.010000228881836,14099.7998046875,-75.50000190734863,1.8000000715255737,0.0,0.5999999865889549,-0.09999999776482582,255.0,128.0,,0.009511129421099721,-0.005389411328621626,1.2134189559426847e-05,True,4,0.0,False,4,False,,Chxrlie309,7602338126977542521,8.0,-2842.68994140625,4987.97998046875,61.75,6696.6998291015625,4458.599853515625,690.6999969482422,508.80001068115234,233.99999618530273,-1193.7999725341797,128.0,30.0,-0.10989274895461168,0.6049334332274855,0.6765311799913535,True,255.0,False,False,False,False,,False
2,284,4,False,False,0,5819.119468229262,-3963.429931640625,195.0,382.04998779296875,7332.39990234375,7034.89990234375,9456.199951171875,-1153.3999633789062,2101.7999267578125,-3292.9998779296875,0.0,-0.21064347611187062,-1.8987538629271838,-0.05593408923296048,76561198039309853,enpitsu,27.0,-4082.679931640625,126.0,270.7300109863281,-479.00001525878906,6871.300048828125,12550.6005859375,-1220.1000213623047,2268.6000061035156,-312.1999931335449,255.0,0.0,,-1.1021547162049363,1.558263328448768,1.5839018591723206,True,2,2,212.0,False,False,,bf81d8692db,games5425898691,18.0,-2487.300048828125,-5102.31005859375,177.58999633789062,1089.000015258789,561.3999938964844,-16469.100341796875,1905.5999755859375,2021.9999694824219,66.70000076293945,255.0,251.0,,1.5524148170209382,1.4167974950183253,-0.15713937975726328,True,242.46010308624594,True,False,False,False,,Breize,76561198179274217,9,3683.39990234375,76.08000183105469,17.010000228881836,10266.99951171875,10922.2998046875,0.0,-0.09999999776482582,-0.19999999552965164,2137.5999450683594,255.0,255.0,,0.009573439616000953,0.8832085789066295,8.538398064388723e-06,True,4,236.2211182809645,True,4,False,,Chxrlie309,7602338126977542521,7.0,-2459.110107421875,5034.52001953125,43.58000183105469,5941.099853515625,-1363.9999389648438,-874.7000122070312,-1144.1999816894531,-182.90000915527344,-54.49999809265137,,128.0,0.13713712426021488,-0.23376868470199738,0.5844857914907117,True,255.0,False,False,False,False,,
3,363,7,False,False,0,3136.209698841958,-1854.530029296875,2153.860107421875,404.1000061035156,24398.1005859375,9724.099731445312,1845.2000427246094,-1135.4000091552734,-5357.9998779296875,-2449.9000549316406,0.0,-0.12150214918058988,-1.2581945704232393,0.6934405256766117,76561198039309853,enpitsu,27.0,-1990.8800048828125,2105.409912109375,282.1400146484375,19529.49951171875,6332.80029296875,205.40000915527344,-1516.9000244140625,5269.6002197265625,423.80001068115234,255.0,128.0,False,0.22906054518131985,0.20174725422828838,-0.0024920285850095598,True,4,3,152.0,False,False,,bf81d8692db,games5425898691,18.0,-54.43000030517578,-1324.2900390625,16.989999771118164,8857.999877929688,15837.2998046875,4.600000083446503,0.19999999552965164,0.5999999865889549,24.800000190734863,255.0,128.0,,0.009594031162462904,1.064271024200944,-7.947965892382156e-05,True,181.0,False,False,False,False,,Breize,76561198179274217,9,463.4800109863281,3805.590087890625,17.010000228881836,-13254.49951171875,74.89999771118164,2.0000000298023224,0.5000000074505806,-0.3999999910593033,1341.199951171875,0.0,223.0,,0.009877245717236029,-3.1194132686739677,0.00011493619490166456,True,4,164.0,False,4,False,,Chxrlie309,7602338126977542521,7.0,-1230.5799560546875,4820.93994140625,17.059999465942383,4813.999938964844,2552.4000549316406,1.5999999642372131,0.0,-0.19999999552965164,-1158.7999725341797,223.0,46.0,0.01668046410308679,0.5288008177760645,-0.0001955508976270679,True,255.0,False,False,False,False,,
4,464,10,False,False,0,4728.617703700091,3647.429931640625,3829.6298828125,996.8499755859375,-17365.50048828125,2443.300018310547,727.5,-3366.400146484375,2123.6000061035156,-2839.8001098632812,0.0,-1.2655880259213463,-0.5492460908722017,0.04759288550089261,76561198039309853,enpitsu,27.0,3818.570068359375,3750.4599609375,1026.5899658203125,-8556.099853515625,2450.0999450683594,2749.2001342773438,-148.100004196167,-4717.5,2823.599853515625,128.0,255.0,False,0.0707085907145585,2.2988506971174774,-2.601512299561918,True,6,5,39.0,False,False,,bf81d8692db,games5425898691,18.0,3838.77001953125,3025.080078125,1064.2900390625,-4757.0001220703125,17870.10009765625,4026.7999267578125,-1143.3000183105469,-10.90000033378601,-650.5000305175781,255.0,161.0,,0.20185413138865987,1.4615630061607578,-1.5708547874112477,True,146.11341926615725,True,4,False,False,,Breize,76561198179274217,9,649.5700073242188,5006.8798828125,17.010000228881836,-5677.0001220703125,8208.599853515625,2.7000001072883606,0.09999999776482582,0.0,3373.5000610351562,255.0,255.0,True,0.009526809783143832,2.4809817842128226,2.427273925125712e-05,True,4,171.0,False,4,False,,Chxrlie309,7602338126977542521,7.0,862.1400146484375,5102.93994140625,810.8800048828125,-5462.0001220703125,-2.5,4790.4998779296875,0.7000000029802322,-2289.499969482422,-1.0999999940395355,224.0,255.0,-0.7549258936351315,3.118696853995123,-1.5549472041732741,True,218.0,False,False,False,False,,True
5,513,12,False,False,1,9499.087152563217,-664.0900268554688,-4230.10009765625,139.33999633789062,4590.299987792969,14352.7001953125,5978.800048828125,2871.6000366210938,4100.400085449219,-3307.5,1.0,0.25306613575830306,0.1816102614455888,-2.4949131556428505,76561198179274217,Breize,9.0,-631.0599975585938,-4338.39013671875,14.300000190734863,-2534.9000549316406,8592.000122070312,-640.1999664306641,-1258.499984741211,171.70000076293945,-3016.7999267578125,255.0,25.0,False,-0.0674157916262605,1.2512893205138964,0.020315110749080535,True,4,4,131.320387083997,True,False,,7602338126977542521,Chxrlie309,7.0,-193.6300048828125,-4588.6298828125,179.55999755859375,2651.0000610351562,5472.7001953125,-9883.800048828125,848.0000305175781,773.0999755859375,-727.6999664306641,219.0,0.0,False,-0.2954037101760882,1.6098008292664807,0.24728516340327575,True,218.0,False,4,False,False,,enpitsu,76561198039309853,27,-2318.0400390625,-4155.990234375,488.6700134277344,8563.400268554688,-2343.5000610351562,-8120.10009765625,751.9999694824219,4458.299865722656,3131.6000366210938,128.0,128.0,False,0.8541446279849927,-2.1392601686902752,0.4958634030998758,True,6,39.0,False,6,False,,games5425898691,bf81d8692db,18.0,-3644.330078125,-4395.58984375,380.4599914550781,-4694.100036621094,4693.999938964844,-11192.5,-637.2000122070312,-640.2999877929688,4.099999964237213,255.0,18.0,-1.0400694362763447,0.7665082810526476,1.5872155572335835,True,133.0,False,False,4,False,,
6,557,14,False,False,1,7141.717563980123,59.7599983215332,-1952.5899658203125,250.8699951171875,3769.5999145507812,25212.60009765625,1428.9999389648438,-901.6000366210938,2430.2000427246094,-252.5,1.0,0.14032103553951533,-2.034263257076523,-0.5163302128147315,76561198179274217,Breize,9.0,61.90999984741211,-2178.969970703125,145.35000610351562,6893.699951171875,19310.10009765625,3673.599853515625,624.5000076293945,-208.70000839233398,192.60000228881836,255.0,128.0,,0.20511587420094834,1.83149423721605,-0.006309291085751236,True,6,4,90.95009918366712,True,False,,7602338126977542521,Chxrlie309,7.0,729.8900146484375,-2830.14990234375,85.11000061035156,7500.5999755859375,20257.39990234375,1042.3999786376953,-5065.899963378906,2141.300048828125,-28.399999141693115,221.0,123.0,,-1.1136118534928894,1.8847159479167879,0.07666124056627252,True,188.0,False,6,3,False,,enpitsu,76561198039309853,27,-913.4000244140625,-3188.139892578125,17.030000686645508,7888.3001708984375,13364.89990234375,2.5,1.5999999642372131,2.7000001072883606,1164.000015258789,255.0,128.0,,-0.01677378173096681,2.104393452468972,0.00022441365821574473,True,6,12.237290367003409,True,6,False,,games5425898691,bf81d8692db,18.0,-2124.830078125,-2699.5,173.25999450683594,10873.800048828125,19972.60009765625,3442.39990234375,-424.00001525878906,142.29999542236328,157.89999961853027,255.0,128.0,0.2796063717085671,1.9970311077642418,-0.0111537346486627,True,229.95009918366708,True,False,6,False,,
7,634,16,True,True,1,1028.7415616889011,993.719970703125,4115.91015625,96.12000274658203,-13009.599609375,27884.09912109375,1149.000015258789,-2266.300048828125,1930.2000427246094,-5209.2999267578125,1.0,-0.9676333197693441,-2.690882392121055,-1.5136652675034483,76561198179274217,Breize,9.0,1136.8599853515625,3951.570068359375,49.29999923706055,-14391.300048828125,17733.399658203125,2714.2999267578125,428.4000015258789,-2111.7999267578125,2548.5000610351562,255.0,255.0,,-0.017392204701166994,1.0638266353206336,-0.016814362364847856,True,8,7,0.0,False,False,,7602338126977542521,Chxrlie309,7.0,2155.89990234375,1682.9300537109375,17.049999237060547,-904.5999908447266,9855.599975585938,2.5999999046325684,0.3999999910593033,-2.3000000417232513,640.4000091552734,223.0,128.0,,-0.016724498164058285,1.4419282867712673,-0.00018236622392165,True,219.0,False,6,4,False,,enpitsu,76561198039309853,27,385.3900146484375,2309.510009765625,19.8799991607666,2895.7000732421875,21823.701171875,-2042.2999572753906,1896.0000610351562,3977.3001098632812,1267.7999877929688,128.0,128.0,,-0.053563407882577074,1.527650534357524,-0.10096171049072576,True,8,31.0,False,8,False,,games5425898691,bf81d8692db,18.0,384.20001220703125,3090.300048828125,16.989999771118164,2922.9998779296875,22813.5009765625,2.199999988079071,-0.0,0.29999999329447746,2.5,255.0,128.0,-0.009599551952762042,1.6978822666766846,-3.7442742868353114e-05,True,11.948851405933341,True,False,6,4,,
8,905,17,False,False,1,5223.410552525716,26.010000228881836,-10.449999809265137,112.30000305175781,8749.600219726562,-13325.899658203125,931.2000274658203,3242.0001220703125,-4184.2999267578125,2425.8999633789062,1.0,-0.08140114675740952,0.1270066971291285,0.11495042389179398,7602338126977542521,Chxrlie309,6.0,-37.599998474121094,-134.72999572753906,108.2300033569336,-2131.9000244140625,22788.798828125,68.49999904632568,-5138.599853515625,-1917.2000122070312,409.90001678466797,222.0,167.0,,-1.2224495292499435,2.3499675412382186,-1.1175413629482636,True,4,3,31.0,False,False,,76561198179274217,Breize,9.0,-668.8400268554688,-2445.72998046875,17.0,5823.2000732421875,12415.0,3.100000023841858,-0.19999999552965164,-0.7999999821186066,-1.8000000715255737,255.0,128.0,,-0.009560479182613064,2.0096588538950284,7.215500031935445e-05,True,94.0,False,False,False,False,,enpitsu,76561198039309853,27,-0.0,2840.530029296875,17.049999237060547,-0.0,-13530.400390625,2.7000001072883606,0.7999999821186066,-0.0,0.0,255.0,0.0,,-0.016670479252160426,-1.5707742227540715,-2.4338197291840506e-07,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,17.0,-1.6200000047683716,212.55999755859375,77.23999786376953,-1746.7999267578125,-22850.10009765625,1889.1999816894531,5459.5001220703125,-665.8000183105469,-13.799999952316284,255.0,134.0,-0.7458467088325049,-1.4471263548234883,-0.0024628022417091198,True,22.0,False,False,4,3,,
9,906,17,False,False,0,5190.745330715169,-71.22000122070312,15.199999809265137,119.66000366210938,-17382.2998046875,7762.39990234375,2444.499969482422,2123.300018310547,1361.4999389648438,4510.199890136719,0.0,0.13920441221150479,-0.18464082096598214,0.13352575455227628,bf81d8692db,games5425898691,17.0,16.290000915527344,-104.52999877929688,80.27999877929688,1220.999984741211,3977.3001098632812,-316.5999984741211,-3635.10009765625,-1704.7000122070312,3758.900146484375,255.0,153.0,,1.429925670600731,0.9010161597193818,-1.0275843145413492,True,4,3,22.0,False,False,,76561198039309853,enpitsu,27.0,0.0,-2749.820068359375,17.049999237060547,0.0,13664.89990234375,2.7000001072883606,-0.7999999821186066,0.0,0.0,255.0,128.0,,0.016670479252160426,1.5707742227540715,-2.4338197291840506e-07,True,116.0,False,False,False,False,,Breize,76561198179274217,9,620.0,2341.639892578125,17.0,-5891.099853515625,-12550.50048828125,3.100000023841858,0.19999999552965164,0.7999999821186066,-0.3999999910593033,255.0,128.0,,0.009560481966763481,-2.009735552091386,7.178838392807081e-05,True,False,94.0,False,False,False,,Chxrlie309,7602338126977542521,6.0,37.599998474121094,134.72999572753906,108.2300033569336,2131.9000244140625,-22788.798828125,68.49999904632568,5138.599853515625,1917.2000122070312,409.90001678466797,222.0,167.0,1.2224495292499435,-2.3499675412382186,-1.1175413629482636,True,31.0,False,False,4,3,,
