,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,2703,92.0,False,0,7112.977398871972,674.1599731445312,-1797.510009765625,123.97000122070312,-1494.1999816894531,26110.70068359375,7411.7999267578125,1929.2999267578125,3571.0000610351562,-4418.599853515625,0.0,0.5523612969095788,0.40258708947209,-2.0909199121983253,76561198039309853,enpitsu,25.0,712.1199951171875,-2047.760009765625,47.650001525878906,1824.1999816894531,16447.39990234375,2256.0000610351562,1188.0999755859375,-3026.199951171875,4436.199951171875,255.0,128.0,False,0.011795469051011396,1.5451117907587604,-0.029856901195077883,True,False,92.0,False,8,7,,bf81d8692db,games5425898691,19.0,2410.070068359375,1071.780029296875,17.0,10770.799560546875,9015.800170898438,3.3000001311302185,-2.199999988079071,-1.8000000715255737,714.4999694824219,255.0,128.0,0.009571478289892079,0.7501485376019861,-0.00014516265636638264,True,175.0,False,False,22,28,,WhizzKILL,be361f7876b,10.0,-2678.669921875,4577.259765625,16.420000076293945,1074.7000122070312,-3073.2000732421875,79.29999828338623,7.5,2.199999988079071,1628.3999633789062,255.0,255.0,,0.008948793981041928,-1.3535089097185646,0.00013953544501324778,True,False,False,75.54584932583636,True,False,,Only,76561198134479336,10.0,,,,,,,,,,,,,,,,True,,,,,,,
1,4146,144.0,True,1,3095.451081372145,2767.47998046875,2674.360107421875,105.0,-17791.300048828125,18500.400390625,1744.4999694824219,935.5999755859375,-1943.9999389648438,-2128.300018310547,1.0,0.7306441999518646,-0.3479073403479373,-0.11466721510492987,be361f7876b,WhizzKILL,10.0,2956.4599609375,2484.320068359375,17.010000228881836,-12366.400146484375,19392.5,0.0,0.3999999910593033,-0.5999999865889549,1605.5000305175781,255.0,255.0,,-0.009595985401322041,0.9646201829649541,0.00021905041769318474,True,False,186.11970732288972,True,16,14,,76561198134479336,Only,10.0,3448.780029296875,-1687.81005859375,17.059999465942383,-3285.8999633789062,18725.0,1.2999999523162842,-0.0,0.7000000029802322,219.89999771118164,255.0,128.0,-0.016780258822346798,1.3753631150600993,-0.00014891163103977683,True,205.0,False,False,False,4,,games5425898691,bf81d8692db,19.0,113.58999633789062,1219.5899658203125,89.37999725341797,-322.79998779296875,22805.0,-149.49999809265137,-5234.7998046875,-1673.0000305175781,215.9000015258789,255.0,128.0,,0.502980880883188,-2.077906323375347,3.008882904992751,True,46,False,91.0,False,37,,enpitsu,76561198039309853,25.0,2615.89990234375,2274.570068359375,17.079999923706055,7454.2999267578125,21207.2998046875,-886.5000152587891,-2321.9000244140625,796.6999816894531,-663.3999633789062,255.0,255.0,,0.007442429947184681,1.9717774574993803,-0.005323126231504807,True,22,9.108206423380047,True,26,2,,
2,4510,148.0,False,1,2234.080551805207,-267.57000732421875,3232.85009765625,246.0800018310547,3997.60009765625,22927.900390625,-572.0000076293945,2844.4000244140625,4493.800048828125,-2777.39990234375,1.0,-0.2592034631445478,3.105750206807457,-0.5709154944986907,76561198134479336,Only,10.0,-361.42999267578125,3150.5400390625,138.22999572753906,-3071.300048828125,22499.29931640625,352.79998779296875,-2160.0,-3471.099853515625,-3678.9999389648438,255.0,255.0,,0.8983076949463549,2.1523775718254123,-0.9438711049862127,True,False,0.0,False,4,3,,be361f7876b,WhizzKILL,10.0,-1120.5799560546875,466.5799865722656,17.010000228881836,-10895.2001953125,3298.3999633789062,2.0999999344348907,-0.5000000074505806,0.09999999776482582,5.799999833106995,255.0,128.0,-0.0095519018642673,0.2929909442743592,-5.155372872891593e-05,True,0.0,False,False,4,4,,games5425898691,bf81d8692db,19.0,1415.47998046875,4375.56982421875,17.010000228881836,-12694.200439453125,18308.00048828125,2.3000000417232513,0.5000000074505806,-1.0000000149011612,1760.2000427246094,255.0,255.0,,-0.00958444993953539,0.9130073901834831,0.00016739349259766484,True,False,False,153.0,False,False,,enpitsu,76561198039309853,25.0,522.1900024414062,168.6199951171875,17.049999237060547,-5234.5001220703125,-1253.0000305175781,2.8999999165534973,-0.09999999776482582,-0.19999999552965164,-2148.5000610351562,255.0,0.0,,-0.016629145232332842,-0.27947920510435764,-5.2662623518520864e-05,True,2,0.0,False,2,False,,False
3,4662,154.0,False,0,4370.086800557438,2017.8499755859375,1883.1400146484375,103.19999694824219,-15168.499755859375,19551.199951171875,1782.7999877929688,-1149.4000244140625,988.3000183105469,483.10001373291016,0.0,-0.25385404667750777,2.5355009434184406,1.0356405603280385,bf81d8692db,games5425898691,19.0,2182.169921875,1720.3199462890625,16.979999542236328,-13410.999755859375,18685.30029296875,3.400000035762787,-1.0999999940395355,1.5000000596046448,300.3000068664551,255.0,222.0,,0.009596323690458838,2.191570811398087,5.743246192085684e-05,True,False,164.1731614323073,True,4,4,,76561198039309853,enpitsu,25.0,-840.25,-4411.0498046875,17.049999237060547,-15304.7998046875,-3095.8999633789062,-1.4000000059604645,-2.3999999463558197,-0.5999999865889549,-1897.2000122070312,255.0,128.0,0.016781951606017816,-2.9841398333760085,-0.0001426336219497697,True,13.741599998166496,True,False,2,2,,WhizzKILL,be361f7876b,10.0,4070.780029296875,-839.3300170898438,205.3699951171875,-806.2999725341797,6854.7998046875,-4023.2000732421875,194.89999771118164,870.6999969482422,49.099998474121094,128.0,128.0,,0.5203388343118981,1.7143445901363985,-1.3606244214880217,True,6,False,,False,6,,Only,76561198134479336,10.0,-2839.580078125,-2047.9300537109375,20.559999465942383,-8954.69970703125,15215.899658203125,-2173.9999389648438,-1694.7000122070312,-957.3000335693359,-86.09999656677246,255.0,81.0,,-0.02800639346307466,2.0993443959230684,-0.0004886560662176905,True,6,,False,6,False,,False
4,4700,155.0,False,0,1178.683259522527,47.95000076293945,4434.1298828125,93.31999969482422,-12869.7998046875,16821.400146484375,155.9000015258789,-5211.199951171875,-2948.699951171875,384.59999084472656,0.0,-0.16883749027375472,-1.7547854886646226,-0.7911979157341134,bf81d8692db,games5425898691,19.0,59.47999954223633,4167.580078125,206.5500030517578,-11565.50048828125,19857.19970703125,962.9000091552734,-5474.0997314453125,-252.90000915527344,468.1999969482422,255.0,90.0,,0.47715447170421327,1.8434656997834018,0.20201887908504973,True,False,97.0,False,6,5,,76561198039309853,enpitsu,25.0,-2739.1298828125,-3186.43994140625,17.049999237060547,-9211.900024414062,13704.100341796875,2.5999999046325684,0.29999999329447746,-0.29999999329447746,-0.3999999910593033,255.0,128.0,0.016786642961512756,2.162560297943737,3.624469148590155e-05,True,46.0,False,False,2,2,,WhizzKILL,be361f7876b,10.0,3592.02001953125,-496.1400146484375,17.010000228881836,-1194.1999816894531,-1574.9000549316406,2.3000000417232513,0.09999999776482582,0.0,1051.9999694824219,128.0,253.0,,0.009625304213786424,-2.337941681143964,-4.2265661202736974e-05,True,6,False,,False,6,,Only,76561198134479336,10.0,-3664.949951171875,716.989990234375,33.790000915527344,-5609.0997314453125,21274.09912109375,-2755.8999633789062,-1765.2999877929688,-723.0000305175781,376.8000030517578,255.0,128.0,,-0.23623361586169123,1.7467239817430802,0.04421968227832685,True,8,255.0,False,8,False,,False
5,4710,156.0,True,0,533.6317107967317,-381.92999267578125,4996.83984375,93.1500015258789,-12275.50048828125,16092.2998046875,0.0,-5064.700012207031,-3204.8001098632812,277.5,0.0,-0.6627408989839529,3.033052653327616,1.613586349443168,bf81d8692db,games5425898691,19.0,-336.1300048828125,4846.10009765625,206.6999969482422,-11598.00048828125,19799.7998046875,-159.399995803833,-5478.0999755859375,-140.50000190734863,469.70001220703125,255.0,128.0,,0.14380946166525516,-1.7221297089378824,3.030238662849924,True,False,97.0,False,6,5,,76561198039309853,enpitsu,26.0,-3045.0,-2746.3701171875,17.049999237060547,-10423.299560546875,12672.39990234375,3.0000001192092896,0.7000000029802322,-0.9000000357627869,1656.3999938964844,255.0,128.0,0.016777357208868488,2.286105944513886,0.0002428884400665036,True,46.0,False,False,2,2,,WhizzKILL,be361f7876b,10.0,3574.35009765625,-526.7899780273438,17.010000228881836,-6.600000262260437,9.900000095367432,2.0999999344348907,-0.29999999329447746,0.19999999552965164,-13.300000429153442,128.0,250.0,,0.00963802935203177,-2.1404896446284463,-7.148511380895165e-05,True,6,False,,False,6,,Only,76561198134479336,10.0,-3761.8701171875,1452.3499755859375,17.049999237060547,2095.5999755859375,21359.29931640625,4.900000095367432,2.3000000417232513,-0.9000000357627869,-1980.8999633789062,255.0,0.0,,0.016899236560385254,1.4037498208089663,2.4591397959739234e-05,True,8,255.0,False,8,False,,False
6,5646,181.0,False,1,3865.852150415488,92.79000091552734,1358.510009765625,131.41000366210938,4723.999938964844,25931.69921875,5465.7000732421875,-1899.4000244140625,-4844.200134277344,-1016.2999725341797,1.0,-1.2939949865734537,-1.9626170704877264,2.0618812974888825,76561198134479336,Only,10.0,-10.470000267028809,1223.6600341796875,67.19000244140625,-1368.8999938964844,21305.0,1917.7000427246094,836.5000152587891,-677.7999877929688,-1185.5999755859375,255.0,118.0,,-0.00925753617955128,1.7169761257703815,-0.0024908709136118087,True,False,131.0,False,6,4,,be361f7876b,WhizzKILL,10.0,347.260009765625,622.469970703125,159.8000030517578,-9344.89990234375,11163.599853515625,-2258.300018310547,-195.59999465942383,-313.50000381469727,99.39999580383301,255.0,128.0,0.06926607949654677,0.73070812209568,-0.25026145469628086,True,160.0,False,False,12,12,,games5425898691,bf81d8692db,19.0,-415.7200012207031,1051.8399658203125,17.010000228881836,9560.499877929688,18650.10009765625,0.0,0.3999999910593033,-0.0,-1939.9000549316406,255.0,0.0,,-0.009618878336931189,2.113665551793008,-3.98141482764054e-05,True,12,False,109.59170745521466,True,12,,enpitsu,76561198039309853,26.0,407.2099914550781,1270.97998046875,71.55999755859375,-16080.699462890625,15050.2001953125,2803.3999633789062,-2830.8999633789062,-3967.0001220703125,1036.9000244140625,255.0,128.0,,-0.15052869341416392,0.5909227700663686,0.004071776275468019,True,5,0.0,False,6,False,,
7,6103,197.0,False,1,6624.014855047502,-3106.10009765625,-138.3300018310547,170.38999938964844,12997.7001953125,20930.2001953125,7065.2001953125,3489.5999145507812,-4472.5,1954.1999816894531,1.0,1.0431905767429812,2.4333515340014022,2.1004832464620895,76561198134479336,Only,10.0,-3223.64990234375,-301.510009765625,48.34000015258789,13526.099853515625,18421.500244140625,2586.0000610351562,-452.59998321533203,428.3000183105469,-1744.7999572753906,255.0,130.0,,-0.034953969420344316,2.3854356586630803,-0.0005888979520273178,True,False,6.840877307358625,True,12,6,,be361f7876b,WhizzKILL,10.0,-2514.3701171875,-2544.75,17.0,7743.499755859375,9333.400268554688,3.6000001430511475,0.5000000074505806,1.0999999940395355,-2240.2000427246094,255.0,6.0,-0.009546612530056864,2.3102748422209363,-0.00013240138014477258,True,255.0,False,False,16,16,,games5425898691,bf81d8692db,19.0,-3356.56005859375,-1982.9200439453125,18.350000381469727,-1959.1000366210938,14333.699951171875,-1589.2999267578125,-2250.399932861328,-320.0,-696.9999694824219,255.0,0.0,,0.04161592414210274,1.4353327315289803,-0.0005900621272508297,True,20,4,0.0,False,18,,enpitsu,76561198039309853,25.0,-2190.81005859375,918.5700073242188,17.059999465942383,-6226.400146484375,9907.899780273438,2.0000000298023224,-0.0,-0.0,-2377.2999572753906,255.0,0.0,False,-0.016709711658971286,1.0675562040628779,-5.60190298293031e-06,True,8,248.72329442731797,True,8,False,,False
8,6324,205.0,False,1,2400.625251967982,1431.4000244140625,2799.840087890625,317.3900146484375,-14668.499755859375,24556.8994140625,2404.9000549316406,791.6999816894531,-842.5,5887.5,1.0,-0.9877331660379202,-2.7228144987232334,-0.08410804476910326,be361f7876b,WhizzKILL,10.0,1482.0799560546875,2653.110107421875,255.77999877929688,8169.69970703125,19851.099853515625,1841.0000610351562,-5184.2999267578125,153.99999618530273,-1829.9000549316406,255.0,252.0,True,0.244019958915275,2.9191864161967835,-0.028809770590375348,True,False,170.0,False,18,17,,76561198134479336,Only,10.0,2219.110107421875,2289.93994140625,17.049999237060547,3220.8999633789062,-12327.099609375,3.100000023841858,-0.29999999329447746,2.3999999463558197,2093.8999938964844,255.0,176.0,-0.016705259410031387,-1.8850540847138628,2.0257859256838698e-05,True,0.0,False,False,10,14,,games5425898691,bf81d8692db,19.0,4078.97998046875,1797.5999755859375,528.5800170898438,-2.5999999046325684,-11715.30029296875,4271.7999267578125,2277.899932861328,2.800000011920929,3.400000035762787,255.0,0.0,,0.3139295315942812,-1.580587464568989,1.5678145229111098,True,24,4,140.0,False,22,,enpitsu,76561198039309853,26.0,-158.4499969482422,5374.22021484375,18.1299991607666,3136.199951171875,-2742.2000122070312,-87.20000267028809,-90.0,-70.59999942779541,1922.2000122070312,255.0,128.0,False,-0.036566104285140635,-2.3341254386856063,0.01787541444274474,True,10,213.0,False,10,False,,False
9,6817,223.0,True,1,4134.24013654447,-1083.1600341796875,1510.280029296875,130.97000122070312,12280.999755859375,25328.798828125,-11916.400146484375,-4911.000061035156,-3370.2999877929688,-722.9000091552734,1.0,-0.814562041596044,0.9564663419136881,2.932133307247443,76561198134479336,Only,10.0,-1140.239990234375,1319.72998046875,223.77000427246094,2243.800048828125,22889.89990234375,-118.90000343322754,-5470.8001708984375,-65.99999904632568,-561.8999862670898,230.0,128.0,,-0.8186102739598992,1.5180718024795032,-0.04039797086890336,True,False,18.0,False,20,15,,be361f7876b,WhizzKILL,10.0,-1525.5799560546875,605.77001953125,16.959999084472656,19904.69970703125,8887.80029296875,10.700000524520874,-0.0,1.8000000715255737,1661.1000061035156,255.0,255.0,-0.009484570218681272,2.6854882823037634,5.7984589428010583e-05,True,52.39663663730826,True,False,22,22,,games5425898691,bf81d8692db,19.0,-1869.1700439453125,802.8699951171875,112.86000061035156,11962.60009765625,16275.899658203125,-2045.2000427246094,-841.6000366210938,485.9000015258789,-869.4999694824219,255.0,128.0,,-0.5299162204704932,2.3817977621986177,-0.037880787055063016,True,32,4,22.0,False,30,,enpitsu,76561198039309853,26.0,-1183.469970703125,774.3099975585938,17.049999237060547,2827.39990234375,20819.19921875,2.7000001072883606,0.29999999329447746,0.19999999552965164,0.0,255.0,128.0,,-0.01680615372050888,1.7057764494659138,-2.7175148475844676e-05,True,18,0.0,False,18,False,,
10,7148,226.0,False,1,5171.4503046157015,-187.32000732421875,83.29000091552734,124.02999877929688,2628.2000732421875,19878.1005859375,6923.2000732421875,5845.0,17.100000381469727,1354.4999694824219,1.0,0.3754059475131768,0.1456429538745067,-0.6300629455771944,76561198134479336,Only,10.0,-239.49000549316406,-131.77999877929688,15.899999618530273,-2768.800048828125,16118.499755859375,-774.0000152587891,-489.00001525878906,3336.4999389648438,-4344.89990234375,255.0,0.0,,-0.01898107679802613,1.483842524016721,0.03315453724848814,True,False,51.28564315201133,True,False,False,,be361f7876b,WhizzKILL,10.0,216.86000061035156,-77.4800033569336,65.37000274658203,3128.800048828125,867.9000091552734,-2400.8999633789062,-1843.9999389648438,262.09999084472656,267.99999237060547,255.0,128.0,-0.17950364221387152,1.8274334252809166,0.12142099585445512,True,0.0,False,False,4,4,,games5425898691,bf81d8692db,19.0,-3737.75,3304.169921875,17.010000228881836,2476.7999267578125,-13724.69970703125,2.3000000417232513,-0.0,-0.0,2184.9000549316406,255.0,255.0,,-0.009582424227136777,-1.816690839879749,3.0986998371139284e-05,True,False,False,255.0,False,False,,enpitsu,76561198039309853,25.0,-921.9000244140625,466.1499938964844,68.22000122070312,-10502.60009765625,3350.2999877929688,-2954.4000244140625,-99.0999984741211,-2063.0999755859375,-4986.7999267578125,255.0,0.0,,0.06067882990850736,-0.3360898019491478,-0.2957834930163833,True,2,7.0,False,2,False,,False
11,7198,228.0,True,1,1677.9695319083075,273.8299865722656,3581.639892578125,300.2099914550781,3445.7998657226562,21744.49951171875,729.4999694824219,1216.500015258789,5822.7001953125,-174.40000534057617,1.0,-0.37274442095875127,0.5959093826334164,1.0015914483054769,76561198134479336,Only,10.0,259.0199890136719,3404.81005859375,148.9199981689453,-3146.199951171875,19302.39990234375,216.29999160766602,785.8999633789062,-1389.1000366210938,-5263.3001708984375,255.0,250.0,,1.2942152661037745,0.9190462873831464,-1.3049173003136305,True,False,22.0,False,4,3,,be361f7876b,WhizzKILL,10.0,-85.5999984741211,1271.1700439453125,17.010000228881836,5098.699951171875,10826.199951171875,2.3999999463558197,-0.0,0.09999999776482582,-2359.9000549316406,255.0,3.0,-0.009561206746302347,2.0747786319279173,-1.1535510763926244e-05,True,0.0,False,False,4,4,,games5425898691,bf81d8692db,19.0,-1356.75,4307.89990234375,17.010000228881836,15283.800048828125,17187.2998046875,0.0,0.7999999821186066,0.9000000357627869,-1656.9999694824219,255.0,0.0,,-0.009596215786381788,2.340755353855044,-0.0002086886339496716,True,False,False,107.77218908391966,True,False,,enpitsu,76561198039309853,26.0,-1917.4100341796875,2370.429931640625,17.049999237060547,7041.300048828125,11689.7998046875,3.100000023841858,-0.0,-0.0,-2248.000030517578,255.0,128.0,,-0.01673955222601805,2.177458371829234,-2.8778136339977472e-06,True,2,31.0,False,2,False,12.0,False
