,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,False,1,5219.393557184097,-2.930000066757202,-1.399999976158142,95.37999725341797,-1694.2999267578125,-7321.500244140625,7102.2998046875,-2277.100067138672,-1249.1000366210938,-5408.699951171875,1.0,-0.04412653422135289,0.38037199789507053,0.15493047513954822,bc83babb4bb,fvbio._,10.0,65.91999816894531,-162.4499969482422,92.19000244140625,-5498.800048828125,21559.89990234375,3087.0001220703125,-4113.500061035156,3072.5,-1971.6999816894531,255.0,0.0,,-0.11476546225237438,1.416159536111673,0.11031945307744515,True,0.0,False,4,3,False,,2533274993326893,goldenhaz,8.0,-3204.080078125,-4296.009765625,21.209999084472656,-7260.5999755859375,-10243.399658203125,-2081.300048828125,5330.999755859375,-643.0999755859375,217.99999237060547,255.0,255.0,True,0.07185524016479239,-0.695964719590303,0.05719112222695862,True,255.0,False,4,4,False,,enpitsu,76561198039309853,25,-14.130000114440918,159.52999877929688,105.4000015258789,16582.5,-12825.400390625,1649.7999572753906,1834.4999694824219,5182.7001953125,154.399995803833,255.0,255.0,,-0.7670609454031333,-2.0007127872555013,-0.6919798733457364,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,3490.429931640625,2418.409912109375,17.010000228881836,4475.199890136719,14699.3994140625,2.199999988079071,0.29999999329447746,1.0999999940395355,1511.6000366210938,255.0,255.0,,-0.009592604615289888,1.8489064104296602,0.00017508181798365786,,False,False,False,0.0,False,9.0
1,278,3,False,False,0,9597.740739247723,2869.780029296875,-3688.110107421875,122.73999786376953,8424.600219726562,23332.60009765625,9068.499755859375,5845.0,1338.2000732421875,-209.79999542236328,0.0,-0.8241404407754941,0.5445230199367496,2.127733283294729,bf81d8692db,games5425898691,20.0,2838.31005859375,-3890.800048828125,15.539999961853027,9497.80029296875,16511.500244140625,-440.60001373291016,58.00000190734863,-1321.1000061035156,4204.100036621094,255.0,237.0,,-0.01218389817964205,1.1971569453038862,-0.040211631530777635,True,110.46852464573358,True,False,False,False,,76561198039309853,enpitsu,25.0,-3650.35009765625,-2344.1298828125,17.049999237060547,8458.599853515625,-12747.80029296875,3.4999999403953552,-0.9000000357627869,1.0999999940395355,2569.8001098632812,255.0,128.0,,0.01678980184300803,-0.871038474862478,5.966805151796445e-05,True,,False,2,2,False,,fvbio._,bc83babb4bb,10,3071.820068359375,-3317.699951171875,74.37999725341797,12297.7001953125,-13930.6005859375,-1985.5999755859375,3354.8001098632812,107.20000267028809,-1741.9999694824219,255.0,0.0,,-0.3675505732767235,-1.337442366442582,0.4210353137641655,True,,False,8,False,8,,goldenhaz,2533274993326893,8.0,3620.429931640625,684.9199829101562,17.010000228881836,10414.69970703125,-2082.5999450683594,2.5,-0.09999999776482582,0.19999999552965164,2252.7000427246094,128.0,255.0,,0.009632548916166593,-0.13851623451339085,1.8587466741220353e-05,True,6,False,6,182.0,False,
2,352,6,False,False,1,8075.16700335856,-3385.72998046875,-1706.5400390625,250.07000732421875,341.3999938964844,4029.4000244140625,10371.700439453125,4621.000061035156,-280.79999923706055,-3816.6000366210938,1.0,-0.5926606758316174,2.1509680193526566,-1.9920538981364067,2533274993326893,goldenhaz,8.0,-3348.18994140625,-1754.739990234375,109.3499984741211,2482.899932861328,3312.6998901367188,868.6000061035156,-2345.0,-3320.5999755859375,3704.5001220703125,254.0,244.0,False,-0.05668854691526776,2.943386887576712,-0.5956840113697445,True,182.0,False,8,7,False,,bc83babb4bb,fvbio._,10.0,-3009.610107421875,4250.8798828125,17.010000228881836,-6074.4000244140625,-7111.9000244140625,2.5,0.29999999329447746,0.19999999552965164,2439.4000244140625,255.0,255.0,False,-0.009523730814892379,-0.9045064384070731,3.865846504107158e-05,True,255.0,False,8,8,False,,enpitsu,76561198039309853,25,2781.72998046875,1258.239990234375,17.049999237060547,13151.800537109375,-4962.0001220703125,2.5,0.5000000074505806,-0.0,0.0,255.0,0.0,,-0.016734717827361596,-2.780833491036671,-4.114924219224275e-05,True,61.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3141.110107421875,-1501.8599853515625,73.23999786376953,-10033.200073242188,-20562.19970703125,2335.0,5219.000244140625,-1726.6000366210938,173.60000610351562,255.0,169.0,,-0.242741298930106,-1.044533511183885,-0.034413472272248856,True,3,False,4,20.0,False,
3,443,9,False,False,1,6975.65187812972,-3279.989990234375,-447.55999755859375,102.01000213623047,142.29999542236328,1387.5999450683594,6498.0999755859375,-1521.1000061035156,156.09999656677246,-3816.6000366210938,1.0,-0.11250310287040916,2.618290487294742,-1.5624784188077983,2533274993326893,goldenhaz,8.0,-3444.260009765625,-666.3200073242188,17.020000457763672,5675.2001953125,12433.699951171875,0.7000000029802322,-0.0,0.19999999552965164,-384.39998626708984,254.0,100.0,False,-0.009576980991753612,2.0111672399303315,-1.2833278328983295e-06,True,166.0,False,8,8,False,,bc83babb4bb,fvbio._,10.0,-4002.93994140625,-1054.4599609375,84.83999633789062,529.7000122070312,-14473.499755859375,-532.400016784668,-14.09999966621399,-291.5999984741211,-31.500000953674316,255.0,128.0,False,-0.03704888424948301,-1.5886532644669742,-0.7646295072349396,True,228.0,False,10,10,False,,enpitsu,76561198039309853,25,1644.8499755859375,2249.830078125,47.34000015258789,-11185.0,16996.500244140625,-2046.4999389648438,-2041.1000061035156,-1167.699966430664,-5.0,255.0,0.0,False,0.47386331768374,1.04971246474929,-0.0027171550635973797,True,218.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-1823.25,-2739.43994140625,91.73999786376953,13056.400146484375,11424.7998046875,-145.20000457763672,-3879.5001220703125,3892.0001220703125,225.40000915527344,255.0,128.0,,0.8178530403020038,-0.8275901455101913,3.081555544644865,True,5,False,6,20.0,False,
4,504,12,False,False,1,6698.075981542502,-3257.18994140625,-115.0199966430664,177.57000732421875,-3155.1998901367188,22948.5009765625,9121.900024414062,1509.7000122070312,177.90000915527344,-2379.600067138672,1.0,0.3704103922760429,-0.9126054349970979,-2.138938518030518,bc83babb4bb,fvbio._,10.0,-3236.110107421875,-270.8800048828125,86.52999877929688,-3858.900146484375,15560.0,3263.5000610351562,4401.499938964844,1630.5000305175781,-1067.699966430664,128.0,128.0,False,0.17379616835667047,1.3536369093919383,0.010936028873934169,True,181.0,False,12,10,False,,2533274993326893,goldenhaz,8.0,-1682.77001953125,2241.530029296875,74.19999694824219,10258.499755859375,15411.99951171875,-6431.199951171875,1883.9999389648438,-131.49999618530273,-314.3000030517578,255.0,40.0,False,0.49879310509374497,1.7317269702297744,0.43893016467908874,False,156.85842599920048,True,8,10,4,,enpitsu,76561198039309853,25,172.64999389648438,5183.89990234375,17.049999237060547,-729.0000152587891,392.7000045776367,2.5999999046325684,0.09999999776482582,0.7000000029802322,5.5000001192092896,128.0,128.0,False,-0.016800213994595935,-1.0767947183480941,9.926048757548272e-05,True,218.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-887.77001953125,1020.4400024414062,68.83999633789062,-1473.9999389648438,21282.900390625,-1833.3999633789062,-2407.5,-104.20000076293945,6.000000238418579,255.0,153.0,,0.47919822744240176,1.5283796355965227,-0.004880440634307736,True,8,False,8,20.0,False,
5,583,15,True,False,1,3496.133167703821,-2489.699951171875,4268.22998046875,161.69000244140625,23393.5009765625,18528.199462890625,-6175.5999755859375,810.6999969482422,4104.599914550781,-4300.4998779296875,1.0,1.0121371567887174,-0.8248838559648674,-1.9023283709964702,bc83babb4bb,fvbio._,10.0,-2655.219970703125,4113.7900390625,171.3800048828125,5759.2999267578125,18076.600341796875,-554.900016784668,-3831.199951171875,-3290.7998657226562,-2177.5999450683594,128.0,255.0,,0.19270338041930712,2.1080355890394302,-1.9022015901108023,True,175.0,False,14,11,False,,2533274993326893,goldenhaz,8.0,-196.22999572753906,4904.990234375,17.079999923706055,-3788.900146484375,6886.199951171875,-41.79999828338623,-197.00000762939453,48.60000133514404,2464.9000549316406,255.0,255.0,,-0.004379692154323189,1.0434913992227195,-0.005100246410008192,,67.43474428115351,True,8,10,4,,enpitsu,76561198039309853,25,-120.91999816894531,5007.4501953125,26.700000762939453,2085.7000732421875,3491.6000366210938,110.9000015258789,-506.19998931884766,267.2999954223633,-1769.7999572753906,128.0,128.0,,-0.03184256602388243,0.4753711175400052,0.3037683233745118,True,218.0,False,6,False,4,,games5425898691,bf81d8692db,20.0,-1396.6099853515625,4660.759765625,17.010000228881836,2950.7000732421875,-71.19999885559082,2.0999999344348907,0.29999999329447746,-0.0,-1625.0999450683594,255.0,0.0,,-0.009489469708858486,3.031617221006283,-0.0001314311392888463,True,8,False,8,20.0,False,
6,603,15,False,False,0,10132.365660675283,1135.219970703125,-4786.68017578125,227.24000549316406,-7366.400146484375,-5529.1998291015625,1785.5999755859375,1678.6000061035156,-1006.3999938964844,402.00000762939453,0.0,0.5710155115698706,-1.597483819965149,0.5855064367868951,bf81d8692db,games5425898691,20.0,1095.1700439453125,-4630.81982421875,216.25,-5042.300109863281,1721.9000244140625,884.4999694824219,-1616.1000061035156,-1282.1000671386719,-5098.399963378906,255.0,0.0,,-0.5406534227514663,1.9959331120625239,0.3824754503999859,True,20.0,False,10,8,False,,76561198039309853,enpitsu,25.0,47.349998474121094,-5031.14990234375,17.049999237060547,-2173.9999389648438,2360.500030517578,2.5999999046325684,-0.7000000029802322,0.0,1456.300048828125,0.0,0.0,True,0.01691787001393236,-0.564279973018929,0.00013437428905025664,True,218.0,False,4,6,False,,fvbio._,bc83babb4bb,10,2272.77001953125,-5098.85986328125,136.30999755859375,-4443.299865722656,128.69999885559082,4.799999892711639,234.50000762939453,-2003.0000305175781,-305.5999946594238,255.0,0.0,,-0.160815735590003,-3.110099292490972,1.3830651161263177,True,175.0,False,14,False,12,,goldenhaz,2533274993326893,10.0,457.95001220703125,-5650.97998046875,28.719999313354492,-3387.6998901367188,-11303.499755859375,451.6999816894531,2.5,-124.60000038146973,-3052.5,255.0,0.0,True,-0.024840147822712308,-2.094095102003465,0.019503746534158695,True,8,4,10,50.0,False,
7,876,16,False,False,1,5189.122802265269,28.700000762939453,23.8700008392334,106.29000091552734,16849.200439453125,16694.300537109375,7319.69970703125,3304.1000366210938,-5006.600036621094,128.29999923706055,1.0,-0.08550249406550138,0.0002168375910016057,-0.056449600831020776,bc83babb4bb,fvbio._,11.0,-74.51000213623047,-98.30000305175781,14.630000114440918,14382.60009765625,10959.49951171875,-39.700000286102295,-1104.4000244140625,-2163.9999389648438,2345.399932861328,255.0,0.0,,0.01895845435779805,2.4976237641587353,-0.056178979758672684,True,0.0,False,4,4,False,,2533274993326893,goldenhaz,8.0,2548.89990234375,-4319.2900390625,17.010000228881836,21741.4990234375,-1966.3999938964844,0.0,0.7999999821186066,0.29999999329447746,75.50000190734863,255.0,139.0,,-0.009562750390523006,-3.0515593741096456,-2.575251100254473e-05,True,0.0,True,False,False,False,,enpitsu,76561198039309853,25,134.94000244140625,244.19000244140625,106.16000366210938,-13081.500244140625,-18851.8994140625,1573.699951171875,4559.4000244140625,-3075.8999633789062,13.200000524520874,255.0,128.0,,-0.7115554416913584,-0.9793504145877786,0.0018679509350988906,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,20.0,-2186.489990234375,3793.10009765625,17.010000228881836,-17243.800048828125,11466.800537109375,1.899999976158142,0.5999999865889549,-0.29999999329447746,-18.700000047683716,255.0,128.0,,-0.009599559634985728,0.5893307608943891,6.892884393357195e-05,True,False,False,False,0.0,False,
8,878,16,False,False,0,5205.144021818781,-73.06999969482422,0.3199999928474426,174.1999969482422,-140.2999973297119,21925.2001953125,11266.199951171875,4151.400146484375,-3455.5999755859375,2612.3001098632812,0.0,-0.0784064457887989,0.18125249307837862,0.19103020440555446,76561198039309853,enpitsu,25.0,-57.43000030517578,-131.0,113.62000274658203,10830.10009765625,16227.099609375,1202.5,-4874.4000244140625,1671.0000610351562,1922.7999877929688,255.0,128.0,,1.2155019380965821,1.0764673038358832,-0.18616581133078366,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,20.0,2301.340087890625,-3869.699951171875,17.010000228881836,17225.10009765625,-11494.000244140625,1.899999976158142,-0.29999999329447746,0.09999999776482582,31.500000953674316,255.0,137.0,,0.009599568331197522,-0.5895788220237543,6.773832039214042e-05,True,0.0,False,False,False,False,,fvbio._,bc83babb4bb,11,-21.860000610351562,26.309999465942383,16.489999771118164,-14474.49951171875,-10736.099853515625,168.29999923706055,-281.00000381469727,-605.9000015258789,-728.8999938964844,255.0,0.0,,-0.016812898565681196,-2.4778652734822852,-0.045895161721670866,True,0.0,False,4,False,4,,goldenhaz,2533274993326893,8.0,-2693.909912109375,4331.259765625,17.010000228881836,-21763.30078125,1577.2999572753906,2.0000000298023224,-1.8000000715255737,-0.09999999776482582,670.1000213623047,255.0,197.0,,0.009561639291854277,3.0761037158005973,7.003525777619276e-05,True,False,False,False,1.0,False,
9,970,20,True,True,0,1494.0222891352307,-37.650001525878906,3917.159912109375,254.0,5502.60009765625,23659.3994140625,-2149.7999572753906,420.0,-2463.8999938964844,-665.2999877929688,0.0,-0.8891969819774287,0.5844222994729804,0.7804470934925042,76561198039309853,enpitsu,25.0,-71.11000061035156,3751.39990234375,209.1699981689453,2850.5999755859375,10117.5,-917.5,759.7000122070312,5444.000244140625,186.29999160766602,128.0,128.0,,-0.281524885739789,1.2627276533293135,1.603021533521818,True,0.0,False,4,3,False,,bf81d8692db,games5425898691,20.0,662.4000244140625,-1279.97998046875,17.040000915527344,-8848.400268554688,19766.199951171875,-5.600000023841858,-0.29999999329447746,0.0,-1981.300048828125,255.0,0.0,,0.009574194313127555,1.9168993882111767,-7.119216207840753e-06,True,150.63915683120803,True,False,False,False,,fvbio._,bc83babb4bb,10,-3843.31005859375,1283.9599609375,18.600000381469727,-1411.9999694824219,14026.199951171875,73.89999866485596,-29.500000476837158,281.1000061035156,-4.000000059604645,255.0,128.0,,0.006396051428183461,1.6756896187888866,0.056496925238015146,True,0.0,False,4,False,4,,goldenhaz,2533274993326893,8.0,-1676.6300048828125,4864.080078125,17.020000457763672,13720.899658203125,-1499.1999816894531,0.7000000029802322,-0.5000000074505806,0.09999999776482582,-1.4000000059604645,254.0,128.0,False,0.009560127213196868,-0.10941395005325205,4.3776806550623194e-05,True,False,False,False,0.0,False,
