,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0.0,False,False,0,5231.65070817384,-65.12000274658203,-25.25,96.33999633789062,-24128.701171875,6212.39990234375,1852.2000122070312,4558.599853515625,-1818.800048828125,3451.199951171875,0.0,-0.04351329820346585,-0.01920105493718066,0.2722311528748422,76561198039309853,enpitsu,27.0,2.430000066757202,-174.2100067138672,107.81999969482422,-14139.69970703125,9719.199829101562,1935.5999755859375,-5362.19970703125,-1016.6000366210938,-679.8000335693359,255.0,128.0,,0.9495630985856107,2.277513174929791,0.11163304799904436,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-3494.360107421875,-2212.110107421875,17.010000228881836,-5404.5001220703125,-14366.300048828125,2.3000000417232513,0.19999999552965164,0.5999999865889549,1975.2000427246094,255.0,255.0,,0.009581233553860643,-1.873098976180349,7.641905980036719e-05,,0.0,False,False,False,False,,Struts3gg,bf3fc230f1b,12,-2882.330078125,3850.4599609375,87.5199966430664,-7190.7000732421875,11511.800537109375,-1081.2000274658203,-3230.4998779296875,-1868.6000061035156,-83.29999923706055,255.0,0.0,,0.9419983496687745,-1.0156127404529118,-0.002641353842962823,True,85.0,False,4,4,False,,joffrey2bjoff,454601914555363196,9.0,80.83999633789062,189.8699951171875,99.0999984741211,-13210.899658203125,-18738.699951171875,164.89999771118164,4512.900085449219,-3143.2000732421875,-55.59999942779541,255.0,105.0,,1.33105635332973,-2.2206280040651847,-0.03244356124307354,True,4,3,False,0.0,False,
1,170,0.0,False,False,1,5161.5098118806145,150.64999389648438,32.59000015258789,96.55000305175781,28139.49951171875,7814.0997314453125,-748.1999969482422,-1006.6999816894531,-925.5000305175781,-5842.0001220703125,1.0,0.02827158684262339,0.16949687251922146,0.33828205965767866,454601914555363196,joffrey2bjoff,9.0,34.650001525878906,-69.58999633789062,103.9000015258789,10971.400146484375,6639.000244140625,1019.8000335693359,-3391.7001342773438,2090.5999755859375,-3791.400146484375,255.0,108.0,,-1.3727743394248142,-0.9513747713203581,-3.080032001336583,True,0.0,False,4,False,3,,bf3fc230f1b,Struts3gg,12.0,2954.110107421875,-3965.3798828125,72.91999816894531,7166.7999267578125,-11470.6005859375,-1777.7999877929688,2765.7998657226562,837.3999786376953,-738.0999755859375,255.0,0.0,,-0.6204146343575737,1.0930567255096726,-0.055006453741712195,True,255.0,False,4,4,False,310.0,enpitsu,76561198039309853,27,-2.430000066757202,174.2100067138672,107.81999969482422,14139.69970703125,-9719.199829101562,1935.5999755859375,5362.19970703125,1016.6000366210938,-679.8000335693359,255.0,128.0,,-0.9495630985856107,-2.277513174929791,0.11163304799904436,True,0.0,False,1,2,False,,games5425898691,bf81d8692db,24.0,3502.7900390625,2236.199951171875,17.010000228881836,4938.399963378906,14486.300048828125,2.3000000417232513,-0.19999999552965164,-0.5000000074505806,1990.0,255.0,255.0,,-0.00957125303322653,1.8399848549026707,6.666153271120717e-05,,False,False,False,0.0,False,
2,323,5.0,False,False,0,8235.064022820405,-3894.969970703125,-2529.580078125,152.89999389648438,1063.7000274658203,20476.199951171875,10989.200439453125,2933.900146484375,4269.700012207031,-3026.7001342773438,0.0,-0.2762991122821128,-2.390713414776637,0.6384652114132231,bf81d8692db,games5425898691,24.0,-3837.489990234375,-2782.0400390625,46.09000015258789,-7204.000244140625,13501.600341796875,3436.400146484375,0.0,3.3000001311302185,-634.7000122070312,255.0,128.0,,0.009541404552234473,2.0094162079251516,-2.2847695403563557e-05,True,173.0,False,3,False,False,,76561198039309853,enpitsu,27.0,-849.3099975585938,-3031.5,17.049999237060547,11927.099609375,-7523.0999755859375,2.5999999046325684,0.5000000074505806,0.0,0.0,255.0,,,0.016751186397418804,-0.5627084166168915,-4.0052337152369014e-05,True,255.0,False,2,2,False,,Struts3gg,bf3fc230f1b,12,-3093.330078125,898.7899780273438,17.049999237060547,-4568.800048828125,-4339.4000244140625,3.100000023841858,-3.700000047683716,-2.5999999046325684,253.4000015258789,128.0,255.0,,0.01690013633740445,-2.396570387770078,1.818857644464744e-05,True,255.0,False,4,4,False,,joffrey2bjoff,454601914555363196,9.0,-2103.2099609375,4012.8701171875,16.719999313354492,14881.600341796875,4468.999938964844,67.5,-7.200000286102295,-9.200000166893005,-287.2999954223633,255.0,123.0,,0.009956015205766057,0.25751467691435725,0.0003697098261143104,True,10,8,False,,False,
3,470,10.0,False,False,0,1417.6805545600762,-2256.5,4741.43017578125,137.91000366210938,4221.499938964844,-9528.900146484375,2998.2000732421875,-4606.199951171875,2006.6000366210938,3279.5999145507812,0.0,-0.7404255671248934,-1.2329029453807074,2.936743001172097,bf81d8692db,games5425898691,24.0,-2270.169921875,4903.33984375,14.140000343322754,4730.5999755859375,-9955.399780273438,287.2999954223633,-204.69999313354492,400.29998779296875,-1462.5,128.0,0.0,,-0.02033433666802289,-1.143546474423323,-0.021540723506447455,True,152.0,False,6,False,4,,76561198039309853,enpitsu,27.0,-343.6499938964844,1393.4100341796875,17.049999237060547,-10815.0,4441.9000244140625,3.3000001311302185,-0.09999999776482582,0.0,2378.6000061035156,255.0,255.0,False,0.016719205673780446,2.8097849316497445,-1.5300855943150714e-05,True,222.0,False,2,2,False,,Struts3gg,bf3fc230f1b,12,587.5499877929688,4886.91015625,17.049999237060547,-9724.500122070312,10624.300537109375,3.3000001311302185,-0.09999999776482582,0.19999999552965164,2261.699981689453,255.0,255.0,False,0.016783880408205498,2.3935575073548594,-4.440206418102825e-05,True,186.0,False,6,6,False,,joffrey2bjoff,454601914555363196,9.0,-1952.4599609375,4774.75,69.83000183105469,-15157.60009765625,-5687.1002197265625,3400.1998901367188,2142.2000122070312,-100.79999923706055,2736.9000244140625,255.0,255.0,False,0.02259844046402264,-2.998469213214547,-0.015467251180880768,True,12,9,False,16.0,False,
4,473,11.0,False,False,1,9883.429440383094,2256.72998046875,-4649.31005859375,169.57000732421875,18388.699951171875,17108.199462890625,8124.5001220703125,2070.399932861328,-1606.0000610351562,5397.5,1.0,0.9161517234239134,0.5000606003342478,2.4181712358879683,454601914555363196,joffrey2bjoff,9.0,2053.669921875,-4736.81005859375,90.87000274658203,15200.699462890625,5695.9002685546875,2964.2999267578125,-5413.0999755859375,-630.6000137329102,741.9000244140625,255.0,255.0,False,-0.08713566099850863,2.894180041380061,-0.45948150021223355,True,16.0,False,12,False,9,,bf3fc230f1b,Struts3gg,12.0,-498.6700134277344,-4965.02001953125,17.049999237060547,11355.6005859375,-8332.5,3.3000001311302185,0.19999999552965164,-0.19999999552965164,2222.4000549316406,255.0,255.0,False,-0.016772018282823105,-2.5797601596449216,-3.8722558765326224e-05,True,186.0,False,6,6,False,,enpitsu,76561198039309853,27,437.4200134277344,-1420.489990234375,17.049999237060547,11545.899658203125,-2248.300018310547,3.3000001311302185,-0.0,-0.0,2379.600067138672,255.0,255.0,False,-0.01671366514962576,-3.008058918058613,1.2463411078431804e-05,True,222.0,False,2,2,False,,games5425898691,bf81d8692db,24.0,2237.949951171875,-4823.08984375,15.470000267028809,-3054.8001098632812,9327.000122070312,360.40000915527344,-44.699997901916504,301.8000030517578,-1809.4999694824219,128.0,0.0,,-0.0359271182184636,1.2828109759969153,0.037533344601443454,True,6,4,False,152.0,False,
5,535,13.0,False,False,0,3872.120164152242,-2651.39990234375,1688.6400146484375,179.8300018310547,-19230.0,13072.900390625,-8347.80029296875,-3948.800048828125,-3550.8999633789062,2792.39990234375,0.0,-0.9965257304545521,3.124985382554914,-3.05260195054131,76561198039309853,enpitsu,27.0,-2425.429931640625,1530.68994140625,225.7899932861328,-14361.800537109375,9563.599853515625,942.3999786376953,-1777.2000122070312,-5192.0001220703125,366.6999816894531,255.0,0.0,False,0.2980246669315144,2.8322650218247314,0.0021445681964208777,True,203.0,False,4,False,3,,bf81d8692db,games5425898691,24.0,-3621.699951171875,1632.780029296875,17.0,1459.6000671386719,-22920.30029296875,3.1999999284744263,0.0,-0.3999999910593033,4.1999998688697815,255.0,128.0,,0.00959650755275301,-1.506635821403301,-4.31706510641474e-05,True,196.0,False,6,4,False,,Struts3gg,bf3fc230f1b,12,-604.2000122070312,4577.14990234375,17.049999237060547,184.50000762939453,592.9999923706055,1.899999976158142,1.2999999523162842,3.6000001430511475,-103.99999618530273,255.0,0.0,False,0.016423957446077254,-1.9146520577358996,-2.1689571986676948e-06,True,186.0,False,6,6,False,,joffrey2bjoff,454601914555363196,9.0,-3359.7099609375,2964.929931640625,17.020000457763672,13415.10009765625,-2416.300048828125,1.1999999731779099,-0.5000000074505806,0.09999999776482582,2188.3999633789062,255.0,245.0,False,0.009579904736079552,-0.10939250452716458,1.0378839487269955e-05,True,12,10,False,0.0,False,
6,592,15.0,False,False,1,8875.770029244228,3036.419921875,-3473.820068359375,122.37000274658203,9262.2998046875,24912.60009765625,2374.4000244140625,-114.30000305175781,-362.99999237060547,5987.8997802734375,1.0,0.9476352482013864,-0.2145994342577096,0.33721941690877655,bf3fc230f1b,Struts3gg,12.0,2900.68994140625,-3656.340087890625,122.91999816894531,20500.400390625,10143.300170898438,2417.2999572753906,-5.0,-1.5000000596046448,-340.6999969482422,128.0,128.0,,-0.01677021499556408,2.7700734394944164,-0.0018711893640805041,True,97.38557414341997,True,8,False,6,,454601914555363196,joffrey2bjoff,9.0,-153.0,-2972.800048828125,65.38999938964844,-20973.89892578125,-8922.60009765625,3050.4998779296875,2756.199951171875,-3609.1000366210938,1326.199951171875,255.0,156.0,False,-0.10557888249223,-0.48193856508466626,-0.005367340381569297,False,31.0,False,16,13,False,,enpitsu,76561198039309853,27,4048.81005859375,-2781.929931640625,150.3699951171875,-1091.6999816894531,558.3000183105469,-1902.5,1248.499984741211,843.3000183105469,-377.90000915527344,255.0,0.0,,-0.549389041915019,1.1995077453767222,-1.0305922675677168,True,181.0,False,4,4,False,,games5425898691,bf81d8692db,24.0,843.3400268554688,-833.0900268554688,17.0,-15041.800537109375,3831.9000244140625,3.4999999403953552,-0.0,-0.09999999776482582,-2041.300048828125,255.0,0.0,,-0.009576135065241501,0.31802328997661927,-1.1296859877519775e-05,True,6,4,False,196.0,False,
7,684,18.0,False,False,0,8695.139906374525,-4002.070068359375,-2981.43994140625,243.11000061035156,-403.6000061035156,2910.8999633789062,15023.499755859375,-691.8000030517578,-5887.2998046875,927.3000335693359,0.0,0.03678619365507905,-0.9468495339997838,2.118779654619629,bf81d8692db,games5425898691,24.0,-3901.530029296875,-3145.239990234375,97.08999633789062,-19844.3994140625,-6303.4002685546875,1780.8999633789062,776.6000366210938,1125.199966430664,3655.7000732421875,255.0,192.0,,-0.2080281256060886,-2.6621523321592355,-0.09802959904492034,True,94.43481277137674,True,8,False,4,,76561198039309853,enpitsu,27.0,-3513.679931640625,-2455.409912109375,17.049999237060547,2502.2999572753906,-17134.7998046875,3.0000001192092896,-0.19999999552965164,1.2999999523162842,1723.0000305175781,255.0,128.0,,0.01678975534294212,-1.3886339532788619,0.0002080837637549006,True,255.0,False,4,4,False,,Struts3gg,bf3fc230f1b,12,-3614.52001953125,-547.0,16.81999969482422,12408.399658203125,1073.0000305175781,62.60000228881836,-50.300002098083496,87.60000228881836,2275.8999633789062,255.0,255.0,,0.011875905615370028,0.14023144042202773,0.0026998868530335495,True,70.0,False,8,8,False,,joffrey2bjoff,454601914555363196,9.0,2096.18994140625,2580.43994140625,17.010000228881836,-17614.300537109375,-5636.099853515625,1.899999976158142,0.3999999910593033,0.29999999329447746,0.0,255.0,128.0,False,0.009608757789109752,-2.8319368885365197,4.185170258031072e-05,True,16,14,False,200.0,False,
8,737,20.0,False,False,0,8160.054644919618,-3845.43994140625,-2468.3701171875,1784.4100341796875,15981.99951171875,5143.699951171875,6504.2999267578125,4198.999938964844,-3903.3999633789062,-1769.6000671386719,0.0,0.3259749674435181,-1.2732505689364861,0.7376497659408151,bf81d8692db,games5425898691,24.0,-3997.81005859375,-2515.8798828125,1675.6700439453125,11512.2998046875,17108.800048828125,1830.8999633789062,-2020.3999328613281,2879.8001098632812,2181.4999389648438,255.0,0.0,,-3.194935292160729e-05,1.60161701715859,1.9657200481577344,True,8.0,False,10,False,5,,76561198039309853,enpitsu,27.0,-2442.389892578125,-4557.2001953125,17.049999237060547,3318.599853515625,5490.5999755859375,2.5,0.29999999329447746,0.7999999821186066,87.39999771118164,255.0,255.0,False,0.016625242728252523,1.041795566436237,-0.00010805689419077183,True,255.0,False,4,4,False,,Struts3gg,bf3fc230f1b,12,-3682.780029296875,665.3200073242188,17.059999465942383,1654.6000671386719,5113.299865722656,0.09999999776482582,-1.0000000149011612,-3.3000001311302185,1232.0999908447266,0.0,0.0,False,0.016921810621979817,-1.7776781263436185,0.0003757870385153169,True,70.0,False,8,8,False,,joffrey2bjoff,454601914555363196,9.0,-1112.97998046875,2774.530029296875,17.010000228881836,-13578.900146484375,-4749.200134277344,2.3000000417232513,0.19999999552965164,0.0,1991.300048828125,128.0,255.0,False,0.009644843560072294,-2.747469973321562,4.967752932907063e-05,True,16,14,False,230.0,False,
9,799,22.0,False,False,0,6527.965531758778,-844.2000122070312,-1387.760009765625,291.44000244140625,-2390.800018310547,30195.2001953125,-10275.2001953125,-1549.4999694824219,-5576.300048828125,1582.1000671386719,0.0,0.8898591150190183,-1.43979385505129,1.503282363412584,76561198039309853,enpitsu,27.0,-753.4099731445312,-1518.0,285.20001220703125,7475.10009765625,19771.300048828125,1211.8000030517578,-4267.0001220703125,-3176.4999389648438,-1397.1000671386719,255.0,255.0,False,0.12680785050015375,1.271958064220126,-0.6111415092594933,True,123.0,False,6,False,5,,bf81d8692db,games5425898691,24.0,-1501.300048828125,1364.219970703125,795.9500122070312,10752.2998046875,17441.300048828125,-10449.200439453125,428.49998474121094,863.6000061035156,-933.6000061035156,255.0,128.0,,-0.7086296396295747,1.698830385666319,1.651369487535389,True,8.0,False,10,6,False,,Struts3gg,bf3fc230f1b,12,-2178.2099609375,1269.02001953125,17.059999465942383,12728.599853515625,9597.999877929688,-4.000000059604645,0.19999999552965164,0.5000000074505806,0.0,255.0,128.0,False,0.01677690514998547,0.6460900433016015,-3.287564968477679e-05,True,6.554399987702727,True,8,8,False,,joffrey2bjoff,454601914555363196,9.0,-835.510009765625,-1029.5899658203125,222.55999755859375,3454.89990234375,-22738.60107421875,-134.7000026702881,5463.3001708984375,-614.3999862670898,-154.7000026702881,255.0,45.0,False,0.32199664586804266,-0.9533712269206269,0.28477208419155836,True,18,15,False,152.0,False,
