,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,174,0,False,False,1,5074.488779548642,50.349998474121094,136.47000122070312,142.50999450683594,9357.60009765625,24006.8994140625,8219.299926757812,5640.2001953125,-244.0999984741211,-2031.6000366210938,1.0,0.007329491791395725,0.12750820182061892,-0.3539033472609225,b0f3597202b,Brainy_rl,7.0,-60.369998931884766,-56.0099983215332,15.130000114440918,1101.2999725341797,20477.80029296875,161.49999618530273,-50.70000171661377,-409.90001678466797,-3295.4000854492188,255.0,0.0,False,-0.014339245760861586,1.7366165164900613,0.030198865681142564,True,4,False,4,19.0,False,,2535415867892561,eeast11,7.0,3066.389892578125,-4067.409912109375,17.010000228881836,8807.80029296875,-15638.199462890625,2.5,-0.0,0.19999999552965164,-2671.7999267578125,255.0,3.0,True,-0.009586276711683602,-1.9431498439796373,-7.313607125082055e-05,False,False,255.0,False,False,True,,enpitsu,76561198039309853,27,12.069999694824219,387.6400146484375,72.30999755859375,1567.5,-22783.60107421875,2710.10009765625,4848.699951171875,514.0000152587891,213.1999969482422,255.0,128.0,,-0.15068215908748722,-1.681749048389465,-1.4830540149754001e-05,True,1,31.0,False,2,False,,games5425898691,bf81d8692db,24.0,2082.739990234375,3668.090087890625,17.010000228881836,16783.299560546875,5589.000244140625,1.899999976158142,-0.3999999910593033,-0.0,-0.7999999821186066,255.0,128.0,-0.00959395336245388,2.8202794692663073,5.1802668973702405e-05,True,0.0,False,False,False,False,,
1,176,0,False,False,0,5472.00380115875,-122.0199966430664,-276.989990234375,203.14999389648438,-20396.199951171875,-9538.200073242188,15084.300537109375,5338.499755859375,-478.3000183105469,2696.4999389648438,0.0,-0.029265398057137595,-0.14732610124903914,-0.4735901746822036,76561198039309853,enpitsu,27.0,-12.069999694824219,-387.6400146484375,72.30999755859375,-1567.5,22783.60107421875,2710.10009765625,-4848.699951171875,-514.0000152587891,213.1999969482422,255.0,128.0,,0.15068215908748722,1.681749048389465,-1.4830540149754001e-05,True,1,False,2,31.0,False,,bf81d8692db,games5425898691,24.0,-2222.639892578125,-3714.68994140625,17.010000228881836,-16783.599853515625,-5586.5997314453125,1.899999976158142,0.3999999910593033,0.0,0.0,255.0,128.0,,0.009593953834357502,-2.8202904176282435,5.175021017821878e-05,False,False,0.0,False,False,True,,Brainy_rl,b0f3597202b,7,39.349998474121094,-77.01000213623047,16.209999084472656,-4719.200134277344,-19444.69970703125,127.5,74.0999984741211,168.89999389648438,-2526.699981689453,255.0,0.0,False,0.014735173777629845,-1.9228916388970478,0.011738495149317902,True,4,19.0,False,4,False,,eeast11,2535415867892561,7.0,-3128.320068359375,4200.52001953125,17.010000228881836,-6346.199951171875,16133.399658203125,2.5999999046325684,0.0,0.0,-3094.4000244140625,255.0,3.0,0.00960028368535696,1.7004105075069011,-8.034556238550912e-05,True,255.0,False,False,False,False,,False
2,352,6,False,False,0,8894.171863756803,-2665.909912109375,-3576.2900390625,106.05000305175781,3110.0,-2811.400146484375,6345.10009765625,3082.7999877929688,3410.0,-3193.0999755859375,0.0,-0.4543422898540568,-0.33600701652844694,-1.8925283420695642,bf81d8692db,games5425898691,24.0,-2370.320068359375,-3694.6201171875,155.27999877929688,8463.099975585938,2572.7999877929688,-2041.6999816894531,1221.2999725341797,270.0,1463.2000732421875,255.0,2.0,,-0.22042016245399054,1.2449102140951454,-0.6461595843627531,True,4,False,4,183.0,False,,76561198039309853,enpitsu,27.0,-1776.5899658203125,-3907.27001953125,17.059999465942383,-3114.5999145507812,-6.800000071525574,1.2999999523162842,0.5999999865889549,0.0,-2.5999999046325684,128.0,128.0,False,0.0168481974005488,-3.140033072961412,5.090330077367974e-05,False,2,122.0,False,2,True,,Brainy_rl,b0f3597202b,8,-3959.449951171875,-640.6599731445312,51.630001068115234,230.40000915527344,-12252.900390625,-31.500000953674316,1298.0000305175781,-27.40000009536743,1993.3000183105469,255.0,255.0,False,0.043498105603076785,-1.5246982460173053,-0.5643894625046983,True,6,248.8045246626741,True,6,False,,eeast11,2535415867892561,7.0,-1660.2099609375,172.8800048828125,16.989999771118164,-3335.10009765625,-4792.799987792969,4.600000083446503,-2.5,-4.099999964237213,-1473.2000732421875,254.0,121.0,0.00948473765814095,-2.187455728194704,1.3897162452882407e-05,True,255.0,False,4,False,4,,
3,381,7,False,False,0,9121.839167890023,-2356.989990234375,-3864.080078125,411.010009765625,-8985.499877929688,1557.5999450683594,4336.499938964844,5022.60009765625,2600.5999755859375,-114.70000267028809,0.0,-0.7210247742415723,-0.006132947603276158,-2.0329825049073764,76561198039309853,enpitsu,27.0,-2248.110107421875,-3908.260009765625,291.9200134277344,-6206.500244140625,-260.0,2257.2000122070312,359.00001525878906,2789.8001098632812,-3451.6000366210938,128.0,128.0,False,-1.1803521199392255,3.097805895631991,-0.014760254575495695,True,2,False,4,74.0,False,,bf81d8692db,games5425898691,24.0,-1501.02001953125,-3611.860107421875,17.010000228881836,7847.1002197265625,-6822.19970703125,2.5,-0.3999999910593033,-0.09999999776482582,-2380.8999633789062,255.0,0.0,,0.00958028256917224,-0.7687601172655261,1.798799659619471e-05,False,4,183.0,False,4,True,,Brainy_rl,b0f3597202b,8,-3445.570068359375,-2370.780029296875,17.030000686645508,3921.4999389648438,-11688.299560546875,5.699999928474426,1.2999999523162842,-1.5999999642372131,-1540.8000183105469,0.0,0.0,False,0.01726185791579041,-1.2591997386580165,-0.0003006476535664836,True,6,202.0,False,6,False,,eeast11,2535415867892561,7.0,-1890.1199951171875,-185.42999267578125,16.989999771118164,965.8999633789062,1825.2000427246094,4.4999998807907104,-0.7000000029802322,-0.19999999552965164,186.70000076293945,0.0,100.0,0.009760908336820348,-2.0214479970230186,1.2250404542554083e-06,True,255.0,False,4,False,4,,
4,424,9,False,False,1,3223.216655775161,3746.169921875,3634.7900390625,281.5299987792969,9370.499877929688,23004.09912109375,5293.900146484375,3720.0,-4375.299987792969,1736.9000244140625,1.0,-0.9287707530132872,-0.43258602394727724,0.3701682840777878,b0f3597202b,Brainy_rl,8.0,3731.52001953125,3497.929931640625,182.5800018310547,9970.700073242188,14273.499755859375,1614.9000549316406,-1484.1000366210938,5001.300048828125,-1741.6999816894531,255.0,0.0,False,0.0790735660963989,2.0041700640744113,-0.39302260944621037,True,7,False,8,117.40761299287117,True,,2535415867892561,eeast11,7.0,2115.25,553.6799926757812,16.989999771118164,511.8000030517578,7815.30029296875,5.0,-0.19999999552965164,-1.0999999940395355,2307.7000427246094,254.0,255.0,,-0.009516864210852308,1.6358440405544612,0.0001712751499250523,False,4,255.0,False,4,True,,enpitsu,76561198039309853,27,3170.35009765625,3947.7900390625,75.20999908447266,5746.500244140625,326.89998626708984,-567.0999908447266,-1286.6999816894531,5249.000244140625,1020.5999755859375,255.0,255.0,False,0.024047943489936864,2.644480934706023,-0.47486993862702775,True,2,74.0,False,4,False,,games5425898691,bf81d8692db,24.0,2456.47998046875,4847.0,17.010000228881836,11305.30029296875,-1557.2000122070312,2.3999999463558197,0.7999999821186066,-0.5000000074505806,-2155.0,255.0,28.0,-0.009631897400679408,-2.9437907652822,-1.783545303018815e-05,True,183.0,False,4,False,4,,
5,492,11,True,True,1,742.1930211793251,848.9500122070312,4399.2998046875,94.62999725341797,-10519.000244140625,16618.900146484375,-284.6999931335449,-1770.7000732421875,-2922.5,-4931.7999267578125,1.0,-1.026015305552697,-3.034703068728526,-2.5736905414497504,2535415867892561,eeast11,7.0,849.9299926757812,4227.2001953125,93.16999816894531,-15765.6005859375,10990.2001953125,167.99999237060547,122.79999732971191,-5248.900146484375,1638.0999755859375,255.0,230.0,,-0.6705405880239209,1.044329974800226,-1.1023134050043595,True,5,False,6,179.0,False,,b0f3597202b,Brainy_rl,8.0,2338.860107421875,4508.68017578125,99.05999755859375,-19333.199462890625,-5589.2999267578125,-154.20000076293945,5137.0001220703125,-1964.7999572753906,6.200000047683716,128.0,255.0,True,-0.34795574714686367,0.4871997418110381,-2.01290032491005,False,9,36.0,False,10,True,,enpitsu,76561198039309853,27,1458.8499755859375,4915.72998046875,17.049999237060547,-20704.3994140625,4742.200012207031,2.5,6.200000047683716,-1.0999999940395355,1005.2999877929688,255.0,128.0,False,-0.016792282916607757,0.1719726182621923,9.123245373817394e-06,True,2,171.0,False,4,False,,games5425898691,bf81d8692db,24.0,661.2899780273438,4327.919921875,59.22999954223633,-19384.3994140625,12379.000244140625,-53.89999866485596,-201.49999618530273,11.200000047683716,320.09998321533203,255.0,0.0,0.057886729366279296,-0.25742392810972803,0.21524677496057804,True,41.0,False,4,False,4,,
6,502,11,False,False,0,10123.73698589683,-439.510009765625,-4973.43994140625,96.4000015258789,30758.89892578125,-5045.5999755859375,2141.6000366210938,2475.5999755859375,1853.9999389648438,-5141.300048828125,0.0,-0.3026920435016913,1.3045604111307645,-2.150932884093696,76561198039309853,enpitsu,27.0,-575.7999877929688,-5023.72998046875,66.8499984741211,22669.19921875,2802.2000122070312,2692.9998779296875,-519.7000122070312,847.6000213623047,1544.2999267578125,255.0,255.0,False,0.006191768367892949,-0.019798848316317556,0.041651311180490334,True,3,False,6,155.0,False,,bf81d8692db,games5425898691,24.0,-11.479999542236328,-4716.14990234375,25.3700008392334,19802.5,-8334.400024414062,-1157.9000091552734,-1113.6000061035156,687.0999908447266,-2800.7998657226562,255.0,115.0,,0.00033633282328831963,-0.2503714512762089,0.23108681952292554,False,4,41.0,False,4,True,,Brainy_rl,b0f3597202b,8,-1533.3599853515625,-4275.68017578125,92.43000030517578,19333.199462890625,5589.2999267578125,-262.7000045776367,-4867.699890136719,1511.4999389648438,326.30001068115234,128.0,255.0,False,-0.3622778814910887,-0.19471419260445474,1.1471891308362836,True,10,36.0,False,10,False,,eeast11,2535415867892561,7.0,-305.1099853515625,-4603.080078125,108.02999877929688,15489.300537109375,-10645.899658203125,-123.29999923706055,-1411.199951171875,5211.500244140625,1048.0000305175781,128.0,229.0,-0.14855708490348477,-1.7984120134297426,2.4845664719878964,True,179.0,False,6,False,5,,
7,511,12,False,False,0,10384.876785431155,533.7100219726562,-5145.990234375,143.52999877929688,12947.5,-12046.400146484375,9360.0,-1215.6999969482422,5332.39990234375,-2467.100067138672,0.0,0.034874772690723276,-0.6188164201412182,-1.423361977429072,bf81d8692db,games5425898691,24.0,588.75,-5088.6298828125,17.010000228881836,13408.900146484375,-14840.699462890625,3.3000001311302185,6.3999998569488525,-7.400000095367432,-716.8000030517578,128.0,128.0,,0.009652750420683002,-0.89708893060422,-0.00023303088351446294,True,4,False,4,41.0,False,,76561198039309853,enpitsu,27.0,149.55999755859375,-4945.75,95.79000091552734,19534.000244140625,522.5,-10.59999942779541,-3653.3999633789062,3590.2999877929688,-2002.7999877929688,255.0,255.0,False,0.6122605251050879,-1.419682749441486,-2.376034228908326,False,3,155.0,False,6,True,,Brainy_rl,b0f3597202b,8,-1001.72998046875,-4121.89990234375,59.900001525878906,19333.199462890625,5589.2999267578125,-2048.000030517578,-1486.0000610351562,344.3000030517578,683.7999725341797,128.0,128.0,False,-0.192471535852406,0.2426506620077411,0.33414339103952445,True,10,36.0,False,10,False,,eeast11,2535415867892561,7.0,202.44000244140625,-4946.22021484375,90.11000061035156,18569.300537109375,-8681.400146484375,-1738.800048828125,2855.7000732421875,-3791.099853515625,-1890.7000732421875,128.0,128.0,-0.2147253381726935,-0.9178570077040411,0.8865564895761885,True,179.0,False,6,False,6,,
8,761,12,False,False,1,5225.461113800711,-58.959999084472656,2.5399999618530273,97.9800033569336,-20567.900390625,-175.40000915527344,1709.7999572753906,1523.8999938964844,2370.800018310547,5296.7999267578125,1.0,0.09123563557236798,-0.22527701976791994,-0.07438752287587755,b0f3597202b,Brainy_rl,8.0,215.7100067138672,-42.459999084472656,52.689998626708984,-12556.8994140625,18254.69970703125,-2464.7000122070312,-968.1999969482422,-2176.6000366210938,807.7999877929688,128.0,128.0,,0.2078656788976083,0.490273662017478,-0.414134434023037,True,4,False,4,17.0,False,,2535415867892561,eeast11,7.0,-2721.27001953125,-3876.570068359375,17.010000228881836,-17303.599853515625,-5913.599853515625,2.199999988079071,0.3999999910593033,-0.0,1582.2000122070312,255.0,255.0,,-0.009584593261345137,-0.35820698266982215,0.00020560760696558482,False,False,0.0,False,False,True,,enpitsu,76561198039309853,27,20.43000030517578,2487.469970703125,17.049999237060547,-204.20000076293945,-6830.9002685546875,2.5999999046325684,-0.19999999552965164,-0.0,0.0,255.0,128.0,,-0.01666475113138191,-1.5408750180293165,2.407564396930656e-06,True,False,93.0,False,False,False,,games5425898691,bf81d8692db,24.0,-109.77999877929688,730.1900024414062,19.479999542236328,1596.6999816894531,-18282.099609375,2958.699951171875,0.09999999776482582,-3.400000035762787,-730.1000213623047,255.0,128.0,-0.009595968597995342,-1.5982514188262569,0.00020040996979390363,True,0.0,False,4,False,False,,
9,922,18,False,False,1,6886.267218456565,-3622.260009765625,-56.72999954223633,115.5,-2759.7000122070312,10191.199951171875,1886.4999389648438,372.2999954223633,4792.799987792969,-3590.1998901367188,1.0,-0.9582452857214381,2.0936975012660843,2.3939179999986715,b0f3597202b,Brainy_rl,8.0,-3549.6201171875,-192.42999267578125,17.049999237060547,-8744.600219726562,2994.2001342773438,3.400000035762787,0.09999999776482582,-0.0,-1826.9000244140625,255.0,0.0,False,-0.016675544434617953,0.3158259321790027,-0.00028999487381809234,True,6,False,4,251.84106694754735,True,,2535415867892561,eeast11,8.0,-2780.070068359375,-755.469970703125,17.020000457763672,3715.10009765625,6529.69970703125,1.0999999940395355,-0.5000000074505806,0.7000000029802322,-2381.1000061035156,143.0,1.0,,-0.009515983361689984,2.1112611443890317,2.647455811661996e-07,False,False,232.0,False,False,True,,enpitsu,76561198039309853,27,-3014.949951171875,2987.159912109375,17.059999465942383,-4265.5999755859375,-6894.4000244140625,1.2999999523162842,-4.000000059604645,1.0999999940395355,175.10000228881836,255.0,0.0,False,-0.01714298048804598,-1.038527354623023,-0.00014988541330101393,True,False,202.0,False,False,False,,games5425898691,bf81d8692db,24.0,2960.820068359375,4212.43017578125,17.010000228881836,-18884.3994140625,9783.800048828125,2.0000000298023224,-1.0000000149011612,0.19999999552965164,171.8000030517578,255.0,128.0,-0.009577356003094327,0.4578441474354786,-0.0001432611642279284,True,255.0,False,6,False,6,,
