,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,170,0,False,False,0,5221.425339579739,46.540000915527344,4.349999904632568,126.77999877929688,9528.499755859375,-1872.5999450683594,3311.300048828125,-4080.2999877929688,-2075.500030517578,-1473.8999938964844,0.0,-0.15588291383313735,0.031131010269508735,-0.37751141549480766,76561198161522453,Big,5.0,44.61000061035156,-166.63999938964844,108.76000213623047,641.3999938964844,-815.8000183105469,4192.300109863281,896.6999816894531,5128.599853515625,-1772.8999328613281,255.0,8.0,,-0.17934587531761914,1.598871740451364,0.46037327582433046,0.0,False,4,False,3,True,,76561198039431110,7orraN,21.0,-3193.830078125,-4091.7900390625,52.65999984741211,-19805.699462890625,-4714.700012207031,-2477.899932861328,908.1999969482422,-1688.8999938964844,1564.6000671386719,255.0,255.0,,-0.056280257498772496,-2.348452866744244,-0.17764960321292475,True,255.0,False,4,4,False,,enpitsu,76561198039309853,25,-18.920000076293945,113.79000091552734,93.2300033569336,7186.199951171875,-1322.5,-1771.199951171875,3439.1000366210938,699.1000366210938,-4234.800109863281,255.0,128.0,,1.4842606383957575,0.11571483418732122,1.489360351749273,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-118.18000030517578,4701.6298828125,17.010000228881836,2042.2999572753906,-5364.5001220703125,2.0999999344348907,0.7999999821186066,0.0,0.0,255.0,128.0,0.009425967214320624,-1.2070127672648885,-3.989121027065279e-06,True,4,False,4,116.0,False,,
1,171,0,False,False,1,5237.325648946965,-75.98999786376953,-6.340000152587891,134.10000610351562,-9628.200073242188,1087.699966430664,1185.8999633789062,3029.5999145507812,2571.0000610351562,-1302.7000427246094,1.0,0.22229990404711322,0.0633684837172951,-0.46217235720788374,76561198039309853,enpitsu,25.0,18.920000076293945,-113.79000091552734,93.2300033569336,-7186.199951171875,1322.5,-1771.199951171875,-3439.1000366210938,-699.1000366210938,-4234.800109863281,255.0,128.0,,-1.4842606383957575,-0.11571483418732122,1.489360351749273,0.0,False,2,False,1,True,,bf81d8692db,games5425898691,24.0,118.18000030517578,-4701.6298828125,17.010000228881836,-2042.2999572753906,5364.5001220703125,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,128.0,,-0.009425967214320624,1.2070127672648885,-3.989121027065279e-06,True,116.0,False,4,4,False,,7orraN,76561198039431110,21,3193.830078125,4091.7900390625,52.65999984741211,19805.699462890625,4714.700012207031,-2477.899932861328,-908.1999969482422,1688.8999938964844,1564.6000671386719,255.0,255.0,,0.056280257498772496,2.348452866744244,-0.17764960321292475,True,255.0,False,4,False,4,,Big,76561198161522453,5.0,-44.61000061035156,166.63999938964844,108.76000213623047,-641.3999938964844,815.8000183105469,4192.300109863281,-896.6999816894531,-5128.599853515625,-1772.8999328613281,255.0,8.0,0.17934587531761914,-1.598871740451364,0.46037327582433046,True,3,False,4,0.0,False,,
2,173,0,False,False,0,5240.554341362927,147.7100067138672,4.429999828338623,135.32000732421875,11990.2001953125,3565.7998657226562,-810.6999969482422,371.8000030517578,-2006.0000610351562,-5642.39990234375,0.0,-0.3820815745038633,-0.2890852400408176,-0.532722008863959,76561198161522453,Big,5.0,52.2599983215332,-175.02000427246094,137.19000244140625,1202.699966430664,-1251.9000244140625,1102.300033569336,-565.2999877929688,5470.8001708984375,20.0,255.0,6.0,,-0.11061421130223648,1.522902268517589,1.034318671463636,0.0,False,4,False,3,True,,76561198039431110,7orraN,21.0,-3387.5400390625,-4141.990234375,24.809999465942383,-17602.900390625,-6074.89990234375,-2805.7998657226562,-1037.6000213623047,-1758.0000305175781,4201.000061035156,255.0,255.0,,0.09440930151742752,-2.1008809582262185,-0.08357886241459128,True,255.0,False,4,4,False,,enpitsu,76561198039309853,25,37.900001525878906,137.75,91.16999816894531,6867.80029296875,3048.900146484375,-110.79999923706055,4468.0999755859375,2382.5,2146.7999267578125,255.0,128.0,,1.222734610326277,1.8096007765655995,2.85193017572415,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-99.81999969482422,4653.39990234375,17.010000228881836,2330.2000427246094,-6120.7000732421875,2.0999999344348907,0.7999999821186066,0.09999999776482582,0.0,255.0,128.0,0.009434851330388112,-1.2070128353408336,-1.0112914231725876e-05,True,4,False,4,116.0,False,,
3,265,3,False,False,1,6951.886764608678,-2749.6298828125,-779.2999877929688,97.30999755859375,-5820.10009765625,13504.3994140625,4861.199951171875,3724.1000366210938,-2152.2999572753906,-4182.9998779296875,1.0,-0.6569339626875892,1.8792642028621958,-0.5577311065329156,76561198039309853,enpitsu,25.0,-2737.139892578125,-936.8699951171875,16.350000381469727,-9800.800170898438,8670.399780273438,-552.7999877929688,-551.1999893188477,-41.599998474121094,-393.49998474121094,255.0,255.0,,-0.021007189708444663,0.8253461284422776,0.0034707856880831205,0.0,False,2,False,2,True,,bf81d8692db,games5425898691,24.0,-3418.25,-1456.02001953125,17.010000228881836,12002.60009765625,19591.500244140625,1.2999999523162842,-1.0999999940395355,-1.8000000715255737,-684.4000244140625,255.0,46.0,,-0.009600631631584079,2.150817341952457,0.00012861689149768252,True,0.0,False,4,4,False,,7orraN,76561198039431110,21,-77.30000305175781,4338.18994140625,18.329999923706055,-10035.599975585938,-2139.7999572753906,3.799999952316284,-0.0,-0.0,2373.8999938964844,255.0,255.0,,-0.016972027954878073,-0.2636022150154823,1.3288876672143537e-05,True,255.0,False,6,False,6,,Big,76561198161522453,6.0,-2835.489990234375,9.050000190734863,129.13999938964844,-20079.3994140625,-269.0999984741211,-187.60000228881836,65.70000171661377,-5367.60009765625,0.0,255.0,128.0,1.3442818313522762,-0.012139608529121186,0.00012317428250302746,True,6,False,6,2.0,False,,
4,343,6,False,False,0,8935.83899614553,3941.679931640625,-2373.06005859375,244.02999877929688,7332.60009765625,-1739.9000549316406,5245.9002685546875,4402.5,-2547.2000122070312,3182.5,0.0,-0.5104837101800945,-2.5723726373053477,-2.601161149626558,76561198161522453,Big,6.0,3832.340087890625,-2419.56005859375,114.36000061035156,7621.500244140625,-4752.39990234375,2186.999969482422,-5496.7999267578125,-45.50000190734863,181.00000381469727,0.0,244.0,,-0.2357847856632253,-0.23021827854938412,-0.640108984114225,233.0,False,8,False,7,True,,76561198039431110,7orraN,21.0,3621.159912109375,-2732.77001953125,147.05999755859375,20883.798828125,5626.5997314453125,3796.0000610351562,-2841.9000244140625,-4676.600036621094,549.5999908447266,161.0,255.0,,-0.3846772872589369,0.7710175743191284,-0.6430425091483628,True,181.1599309957156,True,8,6,False,,enpitsu,76561198039309853,25,3984.469970703125,-2088.570068359375,180.55999755859375,-610.2999877929688,-19092.60009765625,2372.2000122070312,3328.5000610351562,818.0999755859375,4301.300048828125,255.0,128.0,,0.3800162686121578,-0.8006032342440323,1.0025404816655417,True,,False,4,False,3,,games5425898691,bf81d8692db,24.0,-1647.3399658203125,-718.760009765625,17.010000228881836,-19787.900390625,5782.5,2.0999999344348907,-0.09999999776482582,0.0,2.3999999463558197,255.0,128.0,0.009582554172473346,2.8576295856724894,-2.3698092817116242e-05,False,6,False,6,,False,,
5,346,6,False,False,1,5608.051926653515,-4000.360107421875,2405.7900390625,299.55999755859375,-2420.2000427246094,21336.201171875,7737.80029296875,3512.5,196.10000610351562,2540.5999755859375,1.0,0.06318050139237721,2.172730948555492,-2.8137968018432162,76561198039309853,enpitsu,25.0,-3979.570068359375,2247.81005859375,192.13999938964844,569.0999984741211,19116.700439453125,97.70000457763672,-3321.400146484375,-825.1999664306641,4305.400085449219,255.0,128.0,,-0.6295417403230765,0.16781996144020028,1.3193177696676344,,False,4,False,3,True,,bf81d8692db,games5425898691,24.0,1812.239990234375,670.6199951171875,17.010000228881836,19789.599609375,-5775.2001953125,2.0999999344348907,0.09999999776482582,-0.0,0.5999999865889549,255.0,128.0,,-0.009582555258094004,-2.857738553116784,-2.3175941464925856e-05,False,,False,6,6,False,,7orraN,76561198039431110,21,-3977.81005859375,2627.889892578125,206.92999267578125,-21671.39892578125,-6928.3001708984375,3368.3999633789062,3059.7000122070312,1686.9000244140625,677.5,255.0,255.0,,0.29415127814804465,-1.1675877546553552,-1.4064725787009729,True,171.77927733493112,True,8,False,6,,Big,76561198161522453,6.0,-3890.409912109375,2462.2099609375,122.44999694824219,-6945.8001708984375,5112.799987792969,89.39999580383301,5497.8997802734375,-99.0999984741211,111.19999885559082,0.0,247.0,0.31096549110236704,0.08447116148230803,-1.2657568741616239,True,7,False,8,233.0,False,,
6,348,6,False,False,0,9033.932061065778,3957.929931640625,-2479.139892578125,383.6700134277344,-8216.300048828125,945.5000305175781,10529.49951171875,2486.1000061035156,-290.10000228881836,5452.8997802734375,0.0,0.03576585731481863,-1.5648450261694002,-2.802381764210982,76561198039431110,7orraN,21.0,4082.02001953125,-2572.02001953125,237.67999267578125,-813.7999725341797,5679.2999267578125,2566.7001342773438,-2186.1000061035156,-1000.2999877929688,739.8999786376953,255.0,255.0,,-0.17719296587203295,1.5678747266495066,-1.4783986624902319,165.47874400436243,True,8,False,6,True,,76561198161522453,Big,6.0,3948.050048828125,-2504.81005859375,121.4800033569336,6892.80029296875,-5112.9998779296875,-156.00000381469727,-5496.099853515625,101.80000305175781,178.99999618530273,0.0,246.0,,-0.2847969731063943,0.13081858157848553,-1.9126138600057885,True,233.0,False,8,7,False,,enpitsu,76561198039309853,25,3966.31005859375,-2437.0400390625,190.39999389648438,-2213.3999633789062,-14328.00048828125,350.6999969482422,4661.700134277344,2807.5,-797.0999908447266,255.0,128.0,,0.6714201214365823,0.6230807173990606,1.643385603929761,True,,False,4,False,3,,games5425898691,bf81d8692db,24.0,-2026.6099853515625,-608.0900268554688,17.010000228881836,-19789.599609375,5773.3001708984375,2.0999999344348907,-0.09999999776482582,0.0,0.0,255.0,128.0,0.009582555258094004,2.857738553116784,-2.3175941464925856e-05,True,6,False,6,,False,,
7,425,9,False,False,0,7814.251413787497,1721.2099609375,-2222.929931640625,753.1300048828125,-22401.69921875,3363.800048828125,3334.2999267578125,-5083.399963378906,1275.5999755859375,-806.2999725341797,0.0,-0.3347363042831728,2.4115352056770587,-2.0298202627632684,76561198039431110,7orraN,21.0,1963.4100341796875,-2226.800048828125,604.6599731445312,-15618.1005859375,-3977.7999877929688,3622.3001098632812,-4607.699890136719,-1951.199951171875,2282.7000427246094,128.0,132.0,,-0.40894712672816136,-2.813270465066188,0.44742222138086757,39.86155714783614,True,10,False,6,True,,76561198161522453,Big,6.0,2608.8701171875,-3820.10009765625,16.989999771118164,-13711.400146484375,-2087.2999572753906,4.399999976158142,-1.0999999940395355,-0.29999999329447746,-447.09999084472656,255.0,128.0,,0.009522128206800911,-3.0223217012693464,9.834662788068036e-05,True,170.0,False,8,8,False,,enpitsu,76561198039309853,25,2526.389892578125,-3291.800048828125,17.059999465942383,-1367.4000549316406,12583.900146484375,1.1999999731779099,0.0,-0.7999999821186066,-6.600000262260437,255.0,255.0,,0.016736392610605832,1.6781617308883015,7.408835418290315e-05,True,255.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-2287.77001953125,1811.72998046875,17.010000228881836,13749.200439453125,-4758.800048828125,2.3000000417232513,-0.09999999776482582,0.0,-2092.5999450683594,255.0,0.0,0.00959406875878742,-0.399768382764985,-5.998802002274818e-07,True,6,False,6,233.0,False,,
8,478,11,False,True,1,3828.9027784490368,2418.080078125,1626.6300048828125,201.74000549316406,-9737.80029296875,16864.69970703125,-4237.900085449219,3643.699951171875,-842.7999877929688,4691.700134277344,1.0,-0.1106116762564462,2.5482257939495416,1.9607956008113046,bf81d8692db,games5425898691,24.0,2573.949951171875,1404.4599609375,181.85000610351562,-755.0,20108.1005859375,963.0000305175781,2134.2999267578125,-4099.2999267578125,-2981.4999389648438,255.0,255.0,,0.5513540758488641,1.038318657976458,-1.4554142875934273,106.9676905242346,True,8,False,7,True,,76561198039309853,enpitsu,25.0,-1022.8400268554688,1160.1700439453125,17.059999465942383,9166.699829101562,-10715.0,1.1999999731779099,0.5000000074505806,-0.09999999776482582,0.0,255.0,128.0,,-0.016746700286881477,-2.278484103282739,-4.41463476874051e-05,True,255.0,False,4,4,False,,7orraN,76561198039431110,21,1875.199951171875,3148.0400390625,91.18000030517578,20062.900390625,4934.89990234375,-8857.60009765625,277.60000228881836,-539.0000152587891,-841.8000030517578,255.0,128.0,,0.3188192352959023,2.1864743369649595,-0.428425569514247,True,0.0,False,10,False,6,,Big,76561198161522453,6.0,-39.779998779296875,4210.66015625,16.989999771118164,6459.7998046875,-746.9000244140625,4.399999976158142,-0.29999999329447746,0.3999999910593033,-1.8000000715255737,0.0,128.0,-0.009886485402625935,-3.0259862576673884,4.933461050359559e-05,True,8,False,8,201.0,False,,
9,516,12,False,False,0,8679.819350938496,-1267.8599853515625,-3531.85009765625,120.13999938964844,2249.4000244140625,20291.400146484375,14141.99951171875,4596.9000244140625,3609.89990234375,-1354.9000549316406,0.0,-0.03459253235157725,-1.194951217040463,1.8824563310662712,76561198161522453,Big,6.0,-1227.18994140625,-3737.280029296875,19.459999084472656,-10021.599731445312,14194.49951171875,2958.2998657226562,-0.19999999552965164,0.19999999552965164,-2007.7000427246094,255.0,0.0,,0.00956181242539289,2.118927662555396,-1.4285591248640235e-05,110.17401288145321,True,9,False,8,True,,76561198039431110,7orraN,21.0,-3047.080078125,-4871.47998046875,78.9000015258789,7815.7000732421875,-12910.799560546875,3927.7999877929688,-1572.4000549316406,2510.500030517578,2209.199981689453,255.0,255.0,,-0.23402002083494397,-1.0061289148743717,-0.6978225322313072,True,255.0,False,10,6,False,,enpitsu,76561198039309853,25,20.030000686645508,450.94000244140625,17.059999465942383,-5745.3997802734375,12877.900390625,1.1999999731779099,0.19999999552965164,-0.5999999865889549,0.0,255.0,128.0,,0.016775317343867786,1.9904209887192565,5.413247429575296e-05,True,255.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-2956.320068359375,-3946.280029296875,16.90999984741211,-12773.399658203125,-4679.599914550781,28.69999885559082,-1.5999999642372131,-13.200000524520874,-2348.8999938964844,255.0,0.0,0.008861373509104233,-2.8860619931463587,-0.00034651237179752505,True,8,False,8,99.0,False,,
