,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,173,0,False,0,5158.485900671818,-3.2100000381469727,59.36000061035156,110.52999877929688,-1874.1999816894531,27617.19970703125,8074.69970703125,4929.5001220703125,26.600000858306885,20.199999809265137,0.0,0.0006516148114034788,0.0005644925473568607,0.12323648001653527,bf81d8692db,games5425898691,20.0,15.989999771118164,-142.55999755859375,16.299999237060547,-85.29999732971191,19256.99951171875,-856.3999938964844,2883.599853515625,-1716.0000610351562,2201.7999267578125,255.0,128.0,,-0.01419441374800489,1.5963776174810795,-0.014755459426739233,True,False,0.0,False,False,False,,76561198039309853,enpitsu,28.0,24.65999984741211,-3573.739990234375,17.049999237060547,-1354.7000122070312,10254.69970703125,2.8999999165534973,-0.09999999776482582,0.3999999910593033,7.400000095367432,255.0,0.0,False,0.016679222008081994,1.7031680124090978,-4.145181163848745e-05,True,False,False,False,116.0,False,,vf09,2535444513882403,11,75.87000274658203,4803.580078125,17.010000228881836,-82.89999961853027,-2669.1000366210938,2.199999988079071,0.0,0.0,-123.4000015258789,254.0,115.0,,0.009452625992150276,-1.5847184667834833,-6.580177483441599e-05,True,116.0,False,4,4,False,,Roufail,2535459428935740,15.0,2976.2099609375,3950.989990234375,17.010000228881836,-2090.7000732421875,-2652.6998901367188,0.0,0.0,-0.29999999329447746,-1566.6999816894531,255.0,0.0,,0.009497066125126356,-2.1247388323456495,-0.00018545407464580897,True,236.22859353660257,True,4,4,False,
1,1763,39,True,0,2045.7112637585176,868.0599975585938,4104.1298828125,268.0400085449219,-6760.7000732421875,16544.3994140625,-5037.200012207031,-146.8000030517578,-898.3999633789062,5930.4998779296875,0.0,-0.7524433859280004,-2.3723992023016094,-2.17777736042849,76561198039309853,enpitsu,28.0,930.1199951171875,3931.340087890625,240.4499969482422,4082.0999145507812,12984.100341796875,23.299999237060547,-1471.4999389648438,-4909.5001220703125,-1995.2999877929688,128.0,255.0,,-0.3734945042783932,1.3220579227309166,-1.524903347890117,True,5,0.0,False,False,6,,bf81d8692db,games5425898691,21.0,-2486.090087890625,4301.06005859375,17.020000457763672,4195.199890136719,-11001.99951171875,1.5000000596046448,0.0,0.0,2369.600067138672,255.0,255.0,,0.009554769201218736,-1.1432155842144014,5.521127645872689e-06,True,4,False,4,113.0,False,,vf09,2535444513882403,11,-2919.25,3270.110107421875,17.010000228881836,8887.000122070312,9115.399780273438,2.3000000417232513,-0.7999999821186066,-0.9000000357627869,-98.59999656677246,255.0,128.0,False,0.009575320827737089,0.7844869694608767,0.00012541685561158423,True,,False,8,8,False,,Roufail,2535459428935740,14.0,942.5399780273438,4358.6298828125,49.15999984741211,2908.599853515625,-9911.900024414062,3537.0999145507812,0.9000000357627869,-9.200000166893005,-951.3999938964844,254.0,128.0,,0.009489569476871395,-1.405145520938667,0.0009638668315473684,True,228.0,False,4,False,False,
2,2876,70,True,1,1391.712640019362,603.510009765625,3779.3701171875,182.5,-7677.0001220703125,16454.3994140625,5241.5997314453125,-2079.1000366210938,2054.9000549316406,-1190.0,1.0,0.223856055910646,-0.26957369254688196,-0.21364846849369168,2535444513882403,vf09,11.0,716.3699951171875,3589.199951171875,153.14999389648438,-1810.2000427246094,12059.100341796875,5665.10009765625,24.600000381469727,8.600000143051147,653.7000274658203,177.0,128.0,False,-0.00011247485758439002,1.181125956257355,9.996092092355708e-05,True,8,0.0,False,6,16,,2535459428935740,Roufail,14.0,-641.3900146484375,5232.52978515625,103.05000305175781,2233.8999938964844,1487.5,-1289.2999267578125,-4484.200134277344,-580.2999877929688,3131.199951171875,238.0,0.0,,-0.6040750767376493,-1.2823719029865908,-2.3964103019878147,True,18,4,14,53.0,False,,enpitsu,76561198039309853,27,-3789.97998046875,3522.89990234375,17.059999465942383,400.2000045776367,11155.0,2.3999999463558197,-0.19999999552965164,-0.5000000074505806,-2458.6000061035156,255.0,0.0,False,-0.016694750988023054,1.6725268231706565,5.152985396381586e-05,True,0.0,False,16,16,False,,games5425898691,bf81d8692db,21.0,94.68000030517578,4096.22021484375,77.19999694824219,9125.30029296875,-5167.60009765625,3659.2001342773438,-415.0,-1388.8999938964844,2687.3001098632812,255.0,197.0,,0.0808513124015315,-3.010762211415613,-0.008720143552417082,True,234.0,False,10,6,False,
3,3539,85,False,1,5146.457050465736,2578.969970703125,276.5,1166.239990234375,-11090.0,20083.00048828125,4246.400146484375,-622.9999923706055,-1456.1000061035156,1858.3999633789062,1.0,0.5398867962497848,-0.30829006577234,0.839629666978258,2535459428935740,Roufail,14.0,2646.530029296875,138.19000244140625,1005.0700073242188,-4802.900085449219,14957.5,4897.200012207031,222.09999084472656,-293.4000015258789,100.39999961853027,254.0,,,1.300044091189065,1.0782312424420535,-0.07989841723739716,True,8,132.0,False,4,12,,2535444513882403,vf09,12.0,3016.659912109375,-686.3099975585938,17.010000228881836,-11390.10009765625,8227.5,2.3000000417232513,0.3999999910593033,-0.7000000029802322,-15.399999618530273,254.0,,,-0.009549794977732642,0.6279302442946544,8.117546085750901e-05,True,4,False,4,141.0,False,,enpitsu,76561198039309853,27,1412.6800537109375,1905.02001953125,17.049999237060547,-7.799999713897705,-19.09999966621399,2.7000001072883606,-1.2999999523162842,-0.09999999776482582,-2.3999999463558197,,,,-0.01674436913646726,-2.6164892461586473,7.997892930112373e-06,True,227.0,False,6,6,False,,games5425898691,bf81d8692db,20.0,2087.219970703125,4939.080078125,17.399999618530273,-4995.5999755859375,-888.7999725341797,-32.89999961853027,-135.600004196167,48.20000171661377,-1690.8999633789062,255.0,71.0,,-0.018190334652021665,-0.21059087611365135,-0.014271555393636424,True,255.0,False,6,6,False,
4,3932,99,True,0,3514.753389662988,-184.3800048828125,1698.0400390625,106.08999633789062,3859.89990234375,22469.69970703125,-1234.4999694824219,-87.79999732971191,2158.6000061035156,2116.199951171875,0.0,0.026615503864191984,-0.5195596472226718,1.2945978053491747,76561198039309853,enpitsu,28.0,-262.3599853515625,1527.3299560546875,41.4900016784668,-2755.7000732421875,11412.60009765625,1796.7999267578125,-4255.0,3130.0,-1460.8999633789062,255.0,0.0,False,0.1210046104319003,1.6319561945004764,0.09550181386376087,True,9,83.0,False,False,10,,bf81d8692db,games5425898691,20.0,3265.56005859375,-970.760009765625,17.010000228881836,-12555.10009765625,-4575.7000732421875,2.3000000417232513,0.7000000029802322,0.0,-397.7000045776367,255.0,128.0,,0.00955441263555181,-2.833988829726106,0.0002419345353105969,True,12,False,10,72.0,False,,vf09,2535444513882403,11,-1197.449951171875,308.82000732421875,51.029998779296875,-216.49999618530273,22879.69970703125,-2339.1000366210938,-1821.0000610351562,412.99999237060547,121.80000305175781,255.0,128.0,,-0.2867822424877184,1.4857227571656393,0.023979213876708406,True,83.0,False,10,10,4,,Roufail,2535459428935740,14.0,-2376.0,4409.8701171875,17.010000228881836,-3815.4000854492188,-5258.800048828125,2.3999999463558197,-3.100000023841858,-4.4999998807907104,-1451.199951171875,255.0,128.0,,0.009489611613156177,-2.2270815337914183,8.16904922046644e-05,True,85.0,False,False,False,False,
5,4239,101,False,0,5197.327188482098,-1.0800000429153442,20.299999237060547,101.5999984741211,-4272.39990234375,26100.6005859375,8695.800170898438,5975.2001953125,451.3999938964844,-304.0999984741211,0.0,0.004368604820213792,-0.0027527853830668137,0.05666347714220788,bf81d8692db,games5425898691,20.0,30.709999084472656,-177.3800048828125,17.010000228881836,-195.20000457763672,22010.6005859375,0.0,0.0,1.2999999523162842,1100.2999877929688,255.0,233.0,,0.009604136494280737,1.5980552002572268,0.0001614289625763769,True,False,0.0,False,False,False,,76561198039309853,enpitsu,28.0,-16.739999771118164,-3495.330078125,17.049999237060547,182.80000686645508,10881.8994140625,2.8999999165534973,-0.5999999865889549,-0.19999999552965164,0.0,255.0,128.0,False,0.016648348889354687,1.5539679520471075,2.0080020285968256e-05,True,False,False,False,116.0,False,,vf09,2535444513882403,11,56.47999954223633,4942.35009765625,17.010000228881836,-8.199999928474426,-81.80000305175781,2.3999999463558197,4.699999988079071,-0.3999999910593033,0.0,51.0,128.0,,0.009556889504106625,-1.6720462361939783,4.678498589761694e-06,True,116.0,False,4,4,False,,Roufail,2535459428935740,14.0,3123.699951171875,4085.8701171875,17.010000228881836,-882.5,-986.5000152587891,2.0999999344348907,0.3999999910593033,-0.7000000029802322,-942.3000335693359,255.0,9.0,,0.009439679725981488,-2.078724476246031,-0.00016439372444577841,True,255.0,False,4,4,False,
6,4389,106,True,0,3815.613236818708,2602.72998046875,3617.570068359375,135.0800018310547,-12757.7001953125,7714.6002197265625,4931.099853515625,1173.8999938964844,768.7999725341797,5308.0999755859375,0.0,0.07367938470151102,2.7438987922406004,0.15013686286776096,76561198039309853,enpitsu,28.0,2772.6298828125,3491.179931640625,75.12000274658203,-3656.199951171875,9508.699951171875,2875.7000732421875,218.70000839233398,-2118.699951171875,3398.5000610351562,128.0,255.0,,0.016987458330755982,1.6985056351494705,-0.015297783139682492,True,1,131.0,False,False,2,,bf81d8692db,games5425898691,20.0,-3007.18994140625,297.9800109863281,17.010000228881836,11320.699462890625,4992.300109863281,2.0999999344348907,-0.09999999776482582,0.0,-95.39999961853027,255.0,128.0,,0.009555782729279958,0.40628806719183524,5.704835254243681e-05,True,4,False,4,243.77752262802534,True,,vf09,2535444513882403,12,-3051.9599609375,4374.83984375,17.010000228881836,-5890.30029296875,-6955.10009765625,2.7000001072883606,1.0999999940395355,1.0000000149011612,2400.0999450683594,255.0,255.0,,0.009520953742476218,-2.24454045673859,0.00013350364654324693,True,42.0,False,4,6,4,,Roufail,2535459428935740,14.0,2933.72998046875,3607.050048828125,17.010000228881836,7955.10009765625,-7418.699951171875,2.3999999463558197,1.899999976158142,0.9000000357627869,0.9000000357627869,255.0,128.0,,0.009389676909045398,2.388068521196751,5.0185157268629666e-05,True,255.0,False,4,4,False,
7,5738,146,True,0,1145.8299302410937,35.31999969482422,4472.490234375,279.1499938964844,-1080.199966430664,24172.39990234375,-8920.30029296875,-4044.2001342773438,-811.9999694824219,4357.099914550781,0.0,0.20066478032095558,-1.621037937785998,-2.3876095954401024,76561198039309853,enpitsu,28.0,93.9800033569336,4318.759765625,291.3900146484375,10263.00048828125,14970.400390625,1268.7000274658203,-4732.900085449219,2739.4000244140625,587.2000122070312,255.0,128.0,False,0.2443752618408375,1.9473812333450928,0.3205302269168826,True,7,139.0,False,False,10,,bf81d8692db,games5425898691,20.0,255.3000030517578,5023.85986328125,257.3999938964844,15029.100341796875,16374.599609375,-795.1999664306641,2519.499969482422,-610.2999877929688,4365.4998779296875,255.0,95.0,,0.37350466406469024,-0.6976270806783407,-2.5106157225392067,True,14,False,10,110.0,False,,vf09,2535444513882403,11,-320.7699890136719,4617.91015625,17.010000228881836,11460.30029296875,10550.50048828125,2.5,0.7999999821186066,0.9000000357627869,-1931.199951171875,255.0,7.0,,0.00957971553420488,0.6917886757900857,-0.00012020212480250568,True,41.0,False,18,20,4,,Roufail,2535459428935740,14.0,-2832.10009765625,4882.93994140625,19.940000534057617,12152.80029296875,3581.099853515625,-504.90001678466797,-1236.1000061035156,-918.6000061035156,-2078.800048828125,254.0,97.0,False,0.05651603194015538,0.22811567860252682,0.1278251318032851,True,255.0,False,False,False,False,
8,6370,160,False,1,3679.2513329179,2963.6298828125,2096.679931640625,650.8400268554688,-16474.000244140625,13932.60009765625,899.0000152587891,4073.3999633789062,-952.5,4301.099853515625,1.0,-0.09361530341497823,-0.6298506179324398,0.2234446376341486,2535459428935740,Roufail,14.0,3135.989990234375,1928.0899658203125,516.1300048828125,-2998.699951171875,16997.80029296875,4077.60009765625,296.200008392334,-1605.0999450683594,-5252.1002197265625,128.0,255.0,False,1.146090507070518,0.9644165227401643,-1.501666899450192,True,6,0.0,False,4,10,,2535444513882403,vf09,11.0,3060.580078125,1911.75,17.010000228881836,-6367.7001953125,-1996.4999389648438,2.5,-0.09999999776482582,-0.0,2402.5999450683594,255.0,247.0,,-0.00951284267384294,-0.3014677522481252,-1.2069112451719288e-05,True,6,False,4,185.0,False,,enpitsu,76561198039309853,28,90.33000183105469,5200.169921875,17.040000915527344,3883.0999755859375,-832.6000213623047,4.000000059604645,-0.5999999865889549,-1.0000000149011612,-932.6999664306641,255.0,128.0,False,-0.0171894049986431,-2.556621056371366,0.00014816269146668062,True,255.0,False,6,6,False,,games5425898691,bf81d8692db,21.0,806.9299926757812,1986.4100341796875,16.31999969482422,-5052.5,22281.69921875,116.30000114440918,50.39999961853027,-11.59999966621399,51.39999866485596,255.0,128.0,,-0.012431902788622275,1.3420144836474475,0.001282436046423372,True,188.0,False,8,8,False,
9,8453,236,False,1,1814.194619665469,56.81999969482422,3531.56005859375,96.12999725341797,1533.0000305175781,7220.30029296875,1220.6999969482422,-5917.0001220703125,993.7000274658203,-31.600000858306885,1.0,0.5738416193886736,2.0039690459030703,-0.7126883853550261,2535459428935740,Roufail,15.0,60.40999984741211,3272.77001953125,21.959999084472656,-1545.0,19414.200439453125,3001.7001342773438,0.19999999552965164,-2.5,339.39998626708984,254.0,128.0,,-0.009612654923474477,1.4598978548170465,-0.0001388628045663786,True,26,30.0,False,12,43,,2535444513882403,vf09,12.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,28,2268.929931640625,3732.68994140625,17.059999465942383,19646.600341796875,6983.699951171875,4.900000095367432,1.2999999523162842,1.2999999523162842,-1998.9999389648438,255.0,255.0,True,-0.016728011565783494,2.87027288169187,-0.00012874259690772965,True,103.0,False,24,26,False,,games5425898691,bf81d8692db,20.0,82.41999816894531,3922.0400390625,17.010000228881836,-3753.699951171875,-18470.2001953125,0.0,-0.0,0.29999999329447746,33.09999942779541,255.0,128.0,,-0.009591180595795274,-1.3731038113927907,-4.6288042665768994e-07,True,146.26381080381327,True,26,24,False,
