,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,170,0,False,False,1,5107.765340220461,62.5,100.69999694824219,104.81999969482422,13515.10009765625,21921.0009765625,2647.3001098632812,4988.599853515625,-3317.60009765625,325.6999969482422,1.0,-0.17756759322733107,0.006427309101721934,-0.2679685800228372,76561198039309853,enpitsu,31.0,-101.2300033569336,-169.27999877929688,100.05999755859375,12814.599609375,18993.199462890625,1936.3999938964844,-4626.700134277344,2973.599853515625,11.799999475479126,255.0,128.0,,-0.7653108500280267,2.139963559206538,0.0019738676387736445,True,1,0.0,False,2,False,,bf81d8692db,games5425898691,19.0,2625.31005859375,-4126.66015625,17.010000228881836,16994.100341796875,-3037.6998901367188,2.3000000417232513,-0.3999999910593033,0.19999999552965164,1919.9000549316406,255.0,255.0,,-0.009583596568932134,-3.027391326098849,5.197743199779991e-05,True,False,0.0,False,False,False,,Chase Carneson,bc9c52d485b,9.0,-64.93000030517578,5118.60009765625,17.049999237060547,72.69999980926514,-517.0000076293945,2.7000001072883606,2.0999999344348907,0.29999999329447746,0.0,255.0,128.0,,-0.016351453018835626,-1.7107166675630134,6.180737149054291e-06,True,False,116.0,False,False,False,,Jimmy FiveTimes,76561198021881499,27,-30.3799991607666,294.8800048828125,52.38999938964844,466.50001525878906,-19403.800048828125,2821.199951171875,727.9000091552734,2014.7000122070312,2606.4999389648438,128.0,255.0,,-0.02470940472041719,-1.3766075532218693,-0.01666591950607323,True,0.0,False,4,False,3,
1,171,0,False,False,0,5268.373167635575,-163.83999633789062,-77.25,127.3499984741211,-30195.0,6789.6002197265625,6159.4000244140625,995.5999755859375,933.3000183105469,5842.7001953125,0.0,0.22207827880681152,0.35851648474277525,-0.1982412686099332,76561198021881499,Jimmy FiveTimes,27.0,32.33000183105469,-177.6199951171875,67.97000122070312,586.8999862670898,16217.7001953125,2068.8999938964844,752.6999664306641,-5229.2999267578125,1528.6000061035156,128.0,255.0,,-0.03632412374779839,1.5554311139861488,-0.41480139969785057,True,3,0.0,False,4,False,,bc9c52d485b,Chase Carneson,9.0,63.06999969482422,-5105.39013671875,17.049999237060547,-278.4000015258789,1977.5,2.7000001072883606,-0.7999999821186066,-0.09999999776482582,0.0,255.0,128.0,,0.0165128842169963,1.7107153758096354,-5.462120702372114e-06,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,19.0,-2767.280029296875,4139.60986328125,17.010000228881836,-17008.699951171875,325.40000915527344,2.3000000417232513,0.19999999552965164,-0.09999999776482582,1963.8999938964844,255.0,255.0,,0.009577573236374657,-3.0935680369354355,4.115111355445611e-05,True,False,0.0,False,False,False,,enpitsu,76561198039309853,31,-16.790000915527344,-5.329999923706055,110.94000244140625,-11601.99951171875,-17159.69970703125,12.799999713897705,4733.2000732421875,-2801.099853515625,11.000000238418579,255.0,128.0,,1.5360198912312988,-2.2960638866734095,-0.1938732627074074,True,0.0,False,2,False,1,
2,232,2,False,False,1,6643.049710013361,2527.4599609375,-1299.5999755859375,165.41000366210938,-1192.300033569336,12633.499755859375,8645.399780273438,2608.3999633789062,0.29999999329447746,-5403.3001708984375,1.0,-1.0942942015165256,-0.022366039021939243,-0.9809551337214976,bf81d8692db,games5425898691,19.0,2462.9599609375,-1433.550048828125,77.95999908447266,-14083.00048828125,17722.900390625,4070.0,1229.4000244140625,759.1000366210938,-2167.7999877929688,255.0,30.0,,0.08016832622007822,1.1390721052579496,0.004603792661481678,True,False,164.16156576525785,True,3,False,,76561198039309853,enpitsu,31.0,2210.030029296875,-655.4099731445312,17.049999237060547,10658.499755859375,1121.3999938964844,3.1999999284744263,-0.7000000029802322,-0.0,2340.2000427246094,255.0,128.0,,-0.016695764412054705,2.9928280013009383,5.941646261196e-05,False,2,0.0,False,2,False,,Chase Carneson,bc9c52d485b,9.0,644.1300048828125,3765.52001953125,17.049999237060547,-655.0,1705.0999450683594,2.5999999046325684,-0.7999999821186066,-0.3999999910593033,2.8999999165534973,0.0,128.0,,-0.017063642282608607,-1.9370991168610543,-5.189993683048503e-06,True,False,116.0,False,False,False,,Jimmy FiveTimes,76561198021881499,27,770.719970703125,-1124.760009765625,17.010000228881836,11948.00048828125,1930.2000427246094,2.3999999463558197,-1.4000000059604645,-0.09999999776482582,2205.2999877929688,255.0,255.0,,-0.009555413206658064,2.9389211248507197,0.0001528164512458738,True,31.0,False,4,False,4,
3,346,6,False,False,0,8247.228418434415,-2120.889892578125,-3015.760009765625,190.0500030517578,-9160.2001953125,22269.7998046875,4920.7000732421875,3183.2000732421875,1678.5000610351562,-4800.899963378906,0.0,-1.5433859294748797,2.5802361541635817,-2.8119707412486603,bc9c52d485b,Chase Carneson,9.0,-2003.97998046875,-3276.89990234375,146.27999877929688,-10122.39990234375,20248.800048828125,3349.89990234375,-4980.899963378906,2189.7999572753906,-803.0999755859375,255.0,73.0,,0.5058946299096748,2.0180388036244543,0.4188715737504786,True,3,9.0,False,4,False,,76561198021881499,Jimmy FiveTimes,28.0,3396.580078125,-4043.7099609375,17.0,4240.400085449219,-7882.80029296875,5.899999737739563,-5.699999928474426,9.599999785423279,-2644.5001220703125,255.0,0.0,True,0.00965933643657875,-1.2665093015175253,0.0005316690092064706,True,6,0.0,False,6,False,,games5425898691,bf81d8692db,19.0,808.010009765625,18.18000030517578,17.010000228881836,-12881.99951171875,7885.30029296875,2.199999988079071,-1.8000000715255737,1.2999999523162842,1374.4999694824219,255.0,255.0,,0.009606425853386379,2.6044263381494295,0.00015930048032477336,True,False,215.0,False,4,False,,enpitsu,76561198039309853,31,-2297.139892578125,-2880.81005859375,88.18000030517578,11405.10009765625,-19602.19970703125,3700.0,9.200000166893005,-7.599999904632568,1416.7999267578125,128.0,255.0,,0.017078286807894694,-0.8633814036575624,-0.0012089703842419143,True,92.0,False,4,False,3,
4,347,6,False,False,1,2521.1071497374005,2115.7099609375,2933.580078125,239.4499969482422,-14935.899658203125,-10396.8994140625,15433.1005859375,4450.4998779296875,3891.7999267578125,1022.6999664306641,1.0,1.2990745965893085,-2.4261807023977715,-2.716128984664836,76561198039309853,enpitsu,31.0,2249.260009765625,2934.320068359375,98.7699966430664,-16561.8994140625,11674.300537109375,2524.600067138672,3235.8999633789062,-3111.6000366210938,3177.39990234375,128.0,255.0,,-0.01674522995741605,0.7701728188195678,-0.09951301010106346,True,3,92.0,False,4,False,,bf81d8692db,games5425898691,19.0,-808.010009765625,-18.18000030517578,17.010000228881836,12881.99951171875,-7885.30029296875,2.199999988079071,1.8000000715255737,-1.2999999523162842,1374.4999694824219,255.0,255.0,,-0.009606425853386379,-2.6044263381494295,0.00015930048032477336,True,False,215.0,False,4,False,,Chase Carneson,bc9c52d485b,9.0,2092.77001953125,3106.010009765625,164.8300018310547,9337.80029296875,-17500.2001953125,228.4000015258789,5427.5,-871.9999694824219,-177.29999542236328,255.0,76.0,,-0.9505171677631117,-2.554677946952332,1.0752288378934562,True,3,9.0,False,4,False,,Jimmy FiveTimes,76561198021881499,28,-3433.22998046875,4118.1201171875,17.0,-3752.3001098632812,8301.799926757812,3.4999999403953552,0.3999999910593033,-2.0999999344348907,-2866.9000244140625,255.0,0.0,True,-0.009568676630974222,1.5202579777452014,6.631199847883796e-05,True,0.0,False,6,False,6,
5,460,10,False,False,1,7457.623006657071,-3500.7099609375,-883.7100219726562,400.0899963378906,-26714.7998046875,16950.50048828125,2656.199951171875,-239.69999313354492,-372.90000915527344,5983.499755859375,1.0,1.1844864691706172,0.6710550831387925,0.29995230246186194,bf81d8692db,games5425898691,19.0,-3380.2900390625,-1021.3099975585938,269.29998779296875,-15186.600341796875,11404.300537109375,3786.4999389648438,-3976.199951171875,3065.1998901367188,1471.0000610351562,255.0,0.0,,0.6583090720384795,1.3570756492419636,0.725796578834148,True,3,101.2745893745012,True,6,False,,76561198039309853,enpitsu,31.0,-3031.2900390625,1445.02001953125,17.030000686645508,-7295.3997802734375,-18565.699462890625,5.099999904632568,-0.19999999552965164,-0.7999999821186066,220.49999237060547,255.0,128.0,,-0.016781590752268562,-1.2181663075654858,-0.00015353282134993292,False,4,34.0,False,4,False,,Chase Carneson,bc9c52d485b,9.0,-1843.8800048828125,4277.31982421875,17.049999237060547,-11853.299560546875,4112.200012207031,3.799999952316284,0.09999999776482582,-0.0,3233.2000732421875,255.0,251.0,False,-0.01674078729923902,-0.135016088343655,7.746020594814858e-05,True,4,70.0,False,4,False,,Jimmy FiveTimes,76561198021881499,27,-3652.199951171875,-809.5700073242188,47.63999938964844,-110.10000228881836,-14376.700439453125,2930.0,-500.99998474121094,-66.70000076293945,2177.899932861328,0.0,255.0,False,0.0020987150789030184,-1.7413053865775583,-0.00017170252444103517,True,255.0,False,8,False,6,
6,517,12,False,False,0,7244.633965988064,1249.3699951171875,-1779.68994140625,228.02000427246094,-2583.800048828125,24577.900390625,14515.899658203125,5680.9002685546875,-1797.7000427246094,-703.0999755859375,0.0,0.5617066198308298,0.01108195861249662,0.56191326794748,bc9c52d485b,Chase Carneson,9.0,1262.0799560546875,-2018.6400146484375,136.67999267578125,-4637.0001220703125,22233.1005859375,3392.9000854492188,-5123.2000732421875,1959.6000671386719,-402.90000915527344,255.0,45.0,False,0.41106538459892183,2.047169706337095,0.3861570870104926,True,5,4.0,False,6,False,,76561198021881499,Jimmy FiveTimes,28.0,1723.8499755859375,2445.77001953125,16.979999542236328,-11511.099853515625,-1911.300048828125,5.699999928474426,-0.3999999910593033,-0.5000000074505806,0.19999999552965164,128.0,128.0,False,0.009612131120043724,-2.9769657593061227,-4.603840872156715e-05,True,8,242.0,False,8,False,,games5425898691,bf81d8692db,19.0,3492.389892578125,-514.5,17.020000457763672,-8867.60009765625,2331.199951171875,1.2999999523162842,-0.3999999910593033,0.0,-2477.2000122070312,255.0,0.0,,0.009529329717864868,2.8413470101742413,-1.735054664816451e-05,True,4,82.0,False,6,False,,enpitsu,76561198039309853,31,1611.030029296875,331.989990234375,17.030000686645508,-13360.6005859375,-13593.00048828125,5.400000214576721,-1.2999999523162842,-1.5000000596046448,-1569.7000122070312,255.0,0.0,,0.016772841685139775,-2.371547060758296,-0.0003219416627584776,True,0.0,False,4,False,4,
7,627,16,False,False,1,8892.153108179553,-366.1000061035156,-3662.1298828125,396.2699890136719,-11778.399658203125,12419.69970703125,4482.60009765625,-5096.199951171875,-2187.7999877929688,-2289.4000244140625,1.0,-0.6904161083413448,0.7561870437365662,-0.8288312793917519,bf81d8692db,games5425898691,19.0,-290.79998779296875,-3664.3701171875,215.25,1471.6999816894531,-7260.2001953125,3361.4999389648438,-2816.099853515625,1651.9999694824219,-695.8999633789062,255.0,128.0,,0.805581373793518,-0.7915263770347069,0.2468101977622237,True,7,75.41304951329386,True,10,False,,76561198039309853,enpitsu,31.0,-504.6199951171875,-5622.8798828125,27.670000076293945,391.8000030517578,-260.40000915527344,10.099999904632568,4.399999976158142,-21.600000858306885,-490.29998779296875,255.0,0.0,False,-0.04958935144558079,0.9914932797212503,0.021590635512668137,True,6,53.0,False,6,False,,Chase Carneson,bc9c52d485b,9.0,-430.2200012207031,-3296.68994140625,190.8699951171875,8719.400024414062,-17214.100341796875,2309.7999572753906,4497.200012207031,3165.5999755859375,54.099998474121094,255.0,128.0,,-0.7528781291220954,-2.193397707770279,0.009699690002040195,True,7,4.0,False,8,False,,Jimmy FiveTimes,76561198021881499,27,-375.1700134277344,-3570.5400390625,194.02000427246094,3070.8999633789062,-15964.000244140625,2862.60009765625,1171.6999816894531,-1747.4000549316406,1084.8999786376953,128.0,0.0,,0.4441059604366089,-2.624251131379348,-0.054733961600697496,True,204.0,False,10,False,9,
8,772,21,False,True,1,6249.894532482832,-3960.340087890625,1205.9000244140625,163.2899932861328,9854.89990234375,23261.79931640625,77.60000228881836,209.3000030517578,-1325.0,-5807.9998779296875,1.0,-0.2781458655253257,-0.053892885443268965,0.22497221750618696,76561198039309853,enpitsu,31.0,-4020.669921875,1088.5999755859375,102.36000061035156,2528.000030517578,19777.7001953125,-3147.39990234375,1947.5999450683594,-2315.7000732421875,896.3999938964844,255.0,128.0,False,-0.126860823679679,1.6883076314625274,0.8401053190700101,True,6,184.0,False,6,False,,bf81d8692db,games5425898691,19.0,2316.18994140625,-720.1099853515625,16.989999771118164,19910.699462890625,8565.499877929688,4.600000083446503,-0.09999999776482582,-0.19999999552965164,4.099999964237213,255.0,128.0,,-0.009608934632467623,2.7347869612686115,1.540333760724777e-05,True,10,0.0,False,12,False,,Chase Carneson,bc9c52d485b,9.0,179.49000549316406,-2235.35009765625,69.83000183105469,-1730.5000305175781,16350.799560546875,3289.1000366210938,-1145.999984741211,-0.9000000357627869,-1547.2000122070312,255.0,120.0,False,-0.07480272813705312,1.6623241522787935,-0.005185078329882216,True,11,0.0,False,12,False,,Jimmy FiveTimes,76561198021881499,28,194.49000549316406,898.010009765625,16.899999618530273,-3822.9998779296875,21760.30029296875,27.5,-2.0000000298023224,6.000000238418579,1595.8999633789062,255.0,128.0,,-0.009505505421797362,1.3319608804918193,-0.0004500694909970384,True,82.0,False,12,False,12,
9,835,24,False,False,1,3045.066861278275,-2146.719970703125,5020.47021484375,548.4000244140625,13622.099609375,-6159.6002197265625,12698.800048828125,-2576.7999267578125,-1497.7999877929688,-3350.10009765625,1.0,0.23080437704516188,2.044944650355207,2.101669853738998,76561198039309853,enpitsu,31.0,-2236.3701171875,5103.25,411.80999755859375,13453.399658203125,13.200000524520874,9484.400024414062,-111.49999618530273,-2026.6999816894531,-947.0999908447266,128.0,,,0.6609987122683402,-3.139287277963887,1.5561215926658771,True,6,124.0,False,6,False,,bf81d8692db,games5425898691,19.0,3334.2900390625,3222.419921875,16.989999771118164,-5488.2000732421875,19023.699951171875,4.699999988079071,-0.0,-0.29999999329447746,1623.3999633789062,128.0,255.0,,-0.009639054784555517,1.2530119008545555,0.00016923001927820686,True,10,255.0,False,12,False,,Chase Carneson,bc9c52d485b,9.0,190.22000122070312,2639.39990234375,17.049999237060547,1504.1000366210938,21053.1005859375,2.800000011920929,-0.0,-5.799999833106995,-491.89998626708984,255.0,41.0,,-0.01681475984548459,1.6387408798978695,-8.288893774691237e-05,True,12,31.0,False,12,False,,Jimmy FiveTimes,76561198021881499,28,-327.32000732421875,5712.08984375,31.110000610351562,-5063.999938964844,12386.99951171875,499.70001220703125,-7.900000214576721,-92.29999542236328,2211.3999938964844,255.0,255.0,False,-0.017196186210441777,-0.20216165040672499,-0.03911866414781224,True,71.0,False,12,False,12,
