,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_ball_cam,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,165,0,False,False,0,5183.172281965094,-52.63999938964844,25.899999618530273,93.05000305175781,-25169.19921875,11262.5,161.5999984741211,-884.8999786376953,712.2000122070312,5891.400146484375,0.0,0.02186493689209962,0.16444887301395392,-0.02298673998400939,76561198164411581,♿ DerKrabbo ♿,8.0,172.97999572753906,-89.33999633789062,74.9800033569336,-13068.00048828125,18830.899658203125,-1903.2000732421875,-1871.1000061035156,159.89999771118164,-779.0000152587891,255.0,0.0,,-0.08635095804880402,2.135956824775734,-0.21806926037865126,4,0.0,False,False,4,False,,76561198094309427,El Rasho Macuin,9.0,117.06999969482422,-1521.7099609375,15.890000343322754,-80.20000457763672,15326.700439453125,-16.299999952316284,-7.200000286102295,-218.4000015258789,1437.7999877929688,207.0,255.0,False,0.01500082600476095,1.5621726811800627,-0.00862526914904154,True,63.0,False,4,False,4,,enpitsu,76561198039309853,25,-228.5800018310547,358.42999267578125,102.52999877929688,9438.200073242188,-20806.69921875,2482.2999572753906,4966.9000244140625,-2029.4000244140625,-1208.7999725341797,255.0,0.0,,0.5609918812316549,-1.112222878014117,0.40735028026555287,True,False,0.0,False,2,1,,games5425898691,bf81d8692db,20.0,2553.449951171875,4019.580078125,17.010000228881836,16688.199462890625,6384.4000244140625,2.3000000417232513,1.0999999940395355,0.5000000074505806,-1741.199951171875,128.0,0.0,,0.009639056989111754,0.3204814594033535,-0.00016349529760744926,True,False,False,False,0.0,False,
1,167,0,False,False,1,5260.354721375739,230.8300018310547,-78.12999725341797,96.69000244140625,20606.79931640625,13707.5,2303.2000732421875,2113.9999389648438,1925.2999877929688,-5274.7998046875,1.0,-0.03268415757349829,-0.2714987621105356,-0.17708564188967252,76561198039309853,enpitsu,25.0,228.5800018310547,-358.42999267578125,102.52999877929688,-9438.200073242188,20806.69921875,2482.2999572753906,-4966.9000244140625,2029.4000244140625,-1208.7999725341797,255.0,0.0,,-0.5609918812316549,1.112222878014117,0.40735028026555287,1,0.0,False,False,2,True,,bf81d8692db,games5425898691,20.0,-2679.169921875,-4058.449951171875,17.010000228881836,-16788.199462890625,-4172.200012207031,2.3000000417232513,-0.5999999865889549,-0.29999999329447746,-1857.7999877929688,128.0,0.0,,-0.009634777019432317,-0.18429582919066792,-7.944135601661387e-05,True,0.0,False,False,False,False,,♿ DerKrabbo ♿,76561198164411581,8,-70.88999938964844,-71.0199966430664,56.2599983215332,10955.999755859375,-17379.3994140625,-2289.199981689453,-246.20000839233398,-3841.6000366210938,386.50001525878906,255.0,0.0,,0.31393309810410797,-2.141772805938829,0.1133417843092555,True,False,0.0,False,4,4,,El Rasho Macuin,76561198094309427,9.0,-109.44000244140625,1381.8900146484375,16.68000030517578,1670.2999877929688,-15132.900390625,62.69999980926514,-19.299999475479126,-56.39999866485596,1897.7999877929688,208.0,255.0,True,-0.010924788821270511,-1.7209842514361076,-0.0031413168999250016,True,4,4,False,63.0,False,
2,272,3,False,False,0,9103.677743195103,-3882.989990234375,-3459.699951171875,899.5399780273438,16185.400390625,10513.599853515625,7291.500244140625,4118.699951171875,-2631.9000244140625,-3479.7000122070312,0.0,-0.2739660471889173,2.275572362151316,0.27221638347629656,76561198094309427,El Rasho Macuin,9.0,-4049.389892578125,-3621.860107421875,766.6099853515625,6468.0999755859375,16451.8994140625,2256.999969482422,-2178.699951171875,4965.7000732421875,-919.0000152587891,255.0,0.0,True,0.02470049765041199,1.606211767085389,1.68554478800111,5,242.0,False,False,6,True,,76561198164411581,♿ DerKrabbo ♿,8.0,3598.419921875,-1341.72998046875,68.4800033569336,-7909.0997314453125,-21406.0009765625,2751.7999267578125,5105.299987792969,-2045.5000305175781,-34.000000953674316,255.0,128.0,,0.42816379796122817,-1.9546745722392331,-0.0009149388283139588,True,255.0,False,8,False,7,,enpitsu,76561198039309853,25,3566.419921875,62.529998779296875,17.059999465942383,1221.2000274658203,16724.300537109375,1.1999999731779099,0.09999999776482582,0.5000000074505806,30.499999523162842,255.0,128.0,,0.016793084650139067,1.5014788594405954,-5.557058621320651e-05,True,False,0.0,False,2,2,,games5425898691,bf81d8692db,20.0,-655.5599975585938,2205.7099609375,17.010000228881836,-17704.69970703125,1166.1000061035156,2.0999999344348907,0.19999999552965164,-0.09999999776482582,-5.600000023841858,255.0,132.0,,0.00958331447267599,3.072573234060956,5.241188024842132e-05,True,False,False,False,239.0,False,
3,347,6,False,False,1,4569.627162726467,-342.3999938964844,741.3800048828125,451.0899963378906,-6212.9998779296875,27440.0,-7049.0997314453125,-5104.2999267578125,1709.7000122070312,2649.89990234375,1.0,0.6245456842306648,3.0608828641580637,2.2577485956761785,bf81d8692db,games5425898691,20.0,-313.9800109863281,460.4599914550781,419.0299987792969,-8655.2001953125,18781.500244140625,1707.2000122070312,-2189.499969482422,2283.699951171875,-823.6000061035156,255.0,6.0,,0.18929082343870432,1.7038536929386217,0.4837886930973923,3,132.53707528883416,True,False,4,True,,76561198039309853,enpitsu,25.0,-2388.6298828125,-4621.68017578125,17.049999237060547,15318.399658203125,94.49999809265137,2.8999999165534973,4.000000059604645,-0.0,1244.800033569336,255.0,255.0,False,-0.016772252730205495,3.124872272255421,0.00012404026368059262,True,,False,4,False,4,,♿ DerKrabbo ♿,76561198164411581,8,-1094.780029296875,3815.27001953125,17.010000228881836,-1356.9000244140625,-7495.10009765625,2.0999999344348907,-0.7999999821186066,1.5000000596046448,-56.30000114440918,255.0,128.0,,-0.009598244764998163,-1.382581121643565,0.00012094390331582477,True,False,255.0,False,8,8,,El Rasho Macuin,76561198094309427,9.0,1612.4100341796875,286.30999755859375,42.29999923706055,-18180.400390625,-385.6999969482422,2918.2998657226562,-889.5999908447266,-269.89999771118164,-630.9000015258789,235.0,0.0,True,-0.013369838038806914,-0.04408348517466105,0.01404984027864277,True,8,6,False,111.0,False,
4,472,11,False,False,1,3666.3233536980074,-1781.9300537109375,2635.8798828125,109.95999908447266,5925.8001708984375,19974.49951171875,9966.699829101562,5788.699951171875,-383.4000015258789,-1530.8999633789062,1.0,-0.2455476751234643,-0.2892234840910802,-1.7277673860769798,76561198039309853,enpitsu,25.0,-1838.280029296875,2486.31005859375,15.220000267028809,-2628.900146484375,16425.699462890625,-485.60001373291016,-359.3000030517578,874.3000030517578,-3684.5999145507812,255.0,128.0,False,-0.028280269585038032,1.5347547224258518,0.04830224755445879,6,31.0,False,False,6,True,,bf81d8692db,games5425898691,20.0,-997.5,3708.610107421875,17.010000228881836,1223.7000274658203,-6451.5997314453125,2.199999988079071,-0.19999999552965164,2.0000000298023224,1716.3999938964844,255.0,178.0,,-0.009501485390095763,-1.7459952094246078,0.00012219411421485277,True,110.0,False,4,False,4,,♿ DerKrabbo ♿,76561198164411581,8,-783.3499755859375,3276.68994140625,22.079999923706055,-692.6000213623047,-5857.2998046875,-2025.5999755859375,372.40001678466797,-4389.100036621094,3293.2998657226562,255.0,255.0,False,-0.06736298057253118,-2.2605877200977096,-0.12414496150329424,True,False,174.0,False,10,10,,El Rasho Macuin,76561198094309427,10.0,-1545.949951171875,3341.18994140625,83.13999938964844,-4694.5001220703125,-11684.49951171875,3551.7999267578125,-531.3999938964844,211.5999984741211,7.699999809265137,255.0,128.0,False,0.06177881271441738,-1.1914774915251602,4.14184388534138e-05,True,10,8,False,34.0,False,
5,549,13,False,False,1,2338.908934629301,-519.4199829101562,3277.989990234375,149.2899932861328,-10435.999755859375,-1930.8999633789062,-1048.3000183105469,3040.2999877929688,2089.1000366210938,4732.0001220703125,1.0,0.18920201309333737,0.30450968649106996,3.056761145288929,bf81d8692db,games5425898691,20.0,-351.3900146484375,3212.85009765625,231.6999969482422,-4203.699951171875,-899.0000152587891,96.49999618530273,2927.7999877929688,-4633.699951171875,-454.00001525878906,255.0,255.0,,0.09727343073323695,0.9347126666743082,-1.3452265828633658,5,124.0,False,False,6,True,,76561198039309853,enpitsu,25.0,-582.0599975585938,4051.3701171875,220.7899932861328,2128.0999755859375,5468.0999755859375,-857.7999877929688,-442.40001678466797,-2256.3999938964844,-2278.000030517578,128.0,0.0,False,0.7807865680532704,1.764600031115043,0.48834229535720847,True,0.0,False,8,False,8,,♿ DerKrabbo ♿,76561198164411581,8,-467.42999267578125,4692.77978515625,17.010000228881836,945.2999877929688,1115.199966430664,2.0999999344348907,0.09999999776482582,-1.1999999731779099,-937.3999786376953,255.0,0.0,False,-0.009540353654591473,2.0695498519137288,-9.932367341936427e-05,True,False,174.0,False,10,10,,El Rasho Macuin,76561198094309427,10.0,-3604.260009765625,2085.9599609375,17.0,3941.099853515625,13083.1005859375,3.1999999284744263,-0.09999999776482582,-0.0,155.2999973297119,244.0,128.0,False,-0.009545692144789009,1.8516229831918678,-6.244420251983521e-05,True,10,10,False,0.0,False,
6,612,16,False,False,1,3847.6708646487673,-2193.969970703125,2847.260009765625,93.1500015258789,-5029.89990234375,-1535.5000305175781,0.0,1682.7000427246094,-5512.2998046875,1561.0000610351562,1.0,-0.10794478488303234,-0.6331143887760657,1.468052178754582,bf81d8692db,games5425898691,20.0,-2016.8399658203125,2706.010009765625,16.989999771118164,-14708.1005859375,3361.400146484375,4.600000083446503,-0.0,-0.0,-395.6999969482422,255.0,128.0,,-0.009597998399360732,0.2646831695409046,0.00018632673872989516,6,46.0,False,False,6,True,,76561198039309853,enpitsu,25.0,-15.270000457763672,3752.679931640625,17.059999465942383,-169.59999084472656,-11128.1005859375,1.7000000178813934,-0.0,-0.0,868.0000305175781,255.0,128.0,False,-0.01671135129615,-1.5493141751310562,0.00016378604167191786,True,,False,8,False,8,,♿ DerKrabbo ♿,76561198164411581,8,-1251.8599853515625,3774.320068359375,17.010000228881836,-16854.49951171875,-5485.7000732421875,1.899999976158142,-0.5000000074505806,-0.3999999910593033,11.399999856948853,128.0,128.0,False,-0.009609346365700136,-0.31628557359323417,-6.821050940020214e-05,True,False,130.0,False,10,10,,El Rasho Macuin,76561198094309427,9.0,-3098.1201171875,4929.77978515625,362.1700134277344,-7771.5997314453125,-6136.099853515625,1575.8999633789062,1671.6000366210938,-2171.3999938964844,1225.2999877929688,255.0,255.0,False,0.08909996955762339,-0.6490775179698485,-1.5709838621305097,True,12,12,False,244.0,False,
7,643,17,False,False,0,10017.935211105356,3871.31005859375,-3670.889892578125,112.62999725341797,-1126.6999816894531,12415.50048828125,2138.3999633789062,-792.3999786376953,-1025.6999969482422,5858.3001708984375,0.0,-1.4564626632218742,-1.7806871402170104,-1.1673708076244498,76561198094309427,El Rasho Macuin,9.0,3931.989990234375,-3825.010009765625,54.869998931884766,8224.89990234375,12683.499755859375,2560.4000854492188,976.8000030517578,-3013.900146484375,-1091.6999816894531,255.0,0.0,False,-0.21141910437731326,0.9440665930933855,-0.5034542610169885,12,222.07088173845764,True,False,12,True,,76561198164411581,♿ DerKrabbo ♿,8.0,2980.239990234375,-4189.77001953125,17.010000228881836,11111.300048828125,-11600.899658203125,2.3000000417232513,0.5999999865889549,-0.5999999865889549,-1867.8999328613281,255.0,0.0,False,0.00959652327608032,-0.8545072557033673,-0.00013102398778603815,True,114.0,False,10,False,10,,enpitsu,76561198039309853,25,7.210000038146973,-2334.639892578125,17.059999465942383,2053.3999633789062,13673.900146484375,2.0999999344348907,0.0,1.0999999940395355,-2464.4000244140625,255.0,128.0,False,0.01674896922310787,1.334451533747531,-0.0002598475314186937,True,False,31.0,False,8,8,,games5425898691,bf81d8692db,20.0,3546.969970703125,-3491.5400390625,172.27999877929688,21780.2001953125,-7326.300048828125,972.5,-297.5,3205.8999633789062,-39.60000038146973,255.0,151.0,,-0.25790644350871633,-0.03286688837757911,-0.15411347031061787,True,8,7,False,0.0,False,
8,647,17,False,False,1,5128.560010263451,-3971.25,3523.830078125,167.1300048828125,-4881.400146484375,-9362.80029296875,6039.89990234375,617.0000076293945,2142.7000427246094,-683.4999847412109,1.0,1.2493366262582342,0.21509608294287919,-2.183396284303629,bf81d8692db,games5425898691,20.0,-3822.6298828125,3585.239990234375,217.0800018310547,-4551.199951171875,1756.3999938964844,2180.500030517578,126.30000114440918,-359.00001525878906,4939.800109863281,255.0,255.0,,-0.39930594566345884,-0.35241734160427407,-0.310997908784991,7,0.0,False,False,8,True,,76561198039309853,enpitsu,25.0,-71.8499984741211,2108.56005859375,17.059999465942383,-5546.300048828125,-11802.5,1.4000000059604645,-2.3000000417232513,-2.5999999046325684,-2402.2000122070312,255.0,128.0,False,-0.016770897303739145,-0.8492679067205149,5.764946650378242e-05,True,31.0,False,8,False,8,,♿ DerKrabbo ♿,76561198164411581,8,-3071.659912109375,4303.58984375,17.010000228881836,-8936.500244140625,13069.100341796875,2.3000000417232513,-0.29999999329447746,0.3999999910593033,-1986.1000061035156,255.0,0.0,False,-0.009591040555860108,1.0326886287434995,-5.4095506392354396e-05,True,False,114.0,False,10,10,,El Rasho Macuin,76561198094309427,9.0,-4063.5,3650.530029296875,162.91000366210938,-4760.5999755859375,-7286.9000244140625,9595.2001953125,-750.6999969482422,4411.7999267578125,447.59998321533203,248.0,255.0,False,0.782962375399719,-1.0261064339651025,-1.0688005254744175,True,12,12,False,224.0,False,
9,674,18,False,False,0,8851.881219560992,3992.969970703125,-2239.280029296875,380.0400085449219,-1917.4000549316406,16632.900390625,-99.79999542236328,1526.300048828125,-1964.6000671386719,-689.4999694824219,0.0,0.15317657540966856,1.7002617139356837,-0.558386266560983,76561198094309427,El Rasho Macuin,9.0,4079.0,-2464.52001953125,303.1600036621094,-3.8999998569488525,16304.599609375,-2119.4000244140625,1277.9000091552734,0.29999999329447746,-0.19999999552965164,237.0,55.0,False,0.0901390171378701,1.5612271472791468,-1.5718083566025376,12,191.0,False,False,12,True,,76561198164411581,♿ DerKrabbo ♿,8.0,2561.52001953125,-5046.43017578125,50.18000030517578,-4320.5999755859375,6371.099853515625,-5278.3001708984375,5316.5997314453125,-675.2999877929688,-1235.8999633789062,255.0,0.0,False,0.5888429243307021,2.0170951632445884,0.22292464863193798,True,114.0,False,10,False,10,,enpitsu,76561198039309853,25,1257.8499755859375,-1299.9000244140625,17.059999465942383,14952.900390625,7367.7001953125,1.2999999523162842,5.799999833106995,2.800000011920929,-811.6000366210938,255.0,128.0,False,0.0167782587954355,0.42334411109288184,-4.191205882891923e-05,True,False,0.0,False,8,8,,games5425898691,bf81d8692db,20.0,4044.64990234375,-3698.300048828125,221.92999267578125,1158.1999969482422,-268.799991607666,-897.5,-3970.7000732421875,-981.8000030517578,-2352.7999877929688,255.0,255.0,,-1.048698128876344,2.0746154072905707,-1.771507678794633,True,8,8,False,0.0,False,
