,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,165,0,False,False,1,5162.120384010216,-15.829999923706055,59.04999923706055,93.7699966430664,-5922.1002197265625,26488.30078125,469.3000030517578,-701.2000274658203,-27.699999809265137,-1257.699966430664,1.0,0.0016664099441940133,0.031452999058971046,0.006225609027469301,76561198119420759,Twitch | Loxyspace,7.0,5.190000057220459,-154.91000366210938,78.16999816894531,-13820.6005859375,15193.800048828125,-846.9000244140625,41.19999885559082,-1072.699966430664,-5394.1998291015625,255.0,128.0,,0.25179560868770107,1.3530051354424009,0.30826597068841455,True,0.0,False,4,False,4,,1390732736629905397,DmaxCiao_,14.0,-205.92999267578125,-3429.679931640625,77.83000183105469,568.3000183105469,3030.2999877929688,-1843.8999938964844,2646.7001342773438,-276.9000053405762,-191.70000076293945,255.0,127.0,,-0.763226193706931,1.6080136043783277,0.11488137720695316,True,False,85.0,False,6,False,,enpitsu,76561198039309853,27,-239.82000732421875,499.2900085449219,81.9800033569336,8822.5,-21065.10009765625,2713.699951171875,3224.89990234375,593.4999847412109,-660.0,255.0,0.0,,-0.1589342120629717,-2.2098534236331266,0.011178827601286408,True,2,False,1,0.0,False,,games5425898691,bf81d8692db,18.0,-252.6999969482422,4960.60986328125,17.010000228881836,467.2999954223633,-942.9000091552734,2.5999999046325684,0.5000000074505806,1.5999999642372131,0.0,255.0,128.0,,-0.009370721921249731,-2.0306949446148885,7.012377359527185e-05,True,4,False,4,116.0,False,
1,168,0,False,False,0,5437.57857056821,22.920000076293945,-219.3699951171875,93.3499984741211,-23986.8994140625,13465.899658203125,172.90000915527344,13.09999942779541,-164.40000534057617,2032.1000671386719,0.0,0.0008967769072486075,-0.08139747237491923,0.05317971324557146,76561198039309853,enpitsu,27.0,171.77999877929688,-332.30999755859375,102.70999908447266,-5555.7000732421875,15960.699462890625,2541.999969482422,-2272.899932861328,-911.1000061035156,4820.299987792969,255.0,0.0,,0.5374635191284972,2.3890803796475466,0.3345872389150182,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,235.74000549316406,-4926.419921875,17.010000228881836,-1484.7999572753906,2997.7999877929688,2.0999999344348907,-0.09999999776482582,-0.3999999910593033,0.0,255.0,128.0,,0.00943489430654731,2.030694413918987,3.0294263540515062e-05,True,4,116.0,False,4,False,,Twitch | Loxyspace,76561198119420759,7,63.88999938964844,78.97000122070312,73.01000213623047,13824.000244140625,-15225.50048828125,-1163.499984741211,50.0,700.1000213623047,-4808.299865722656,255.0,128.0,,-0.24657622096995627,-1.5948553700728763,0.264754487628613,True,4,False,4,0.0,False,,DmaxCiao_,1390732736629905397,14.0,201.22000122070312,3404.22998046875,59.81999969482422,-570.2000045776367,-3073.9999389648438,-2418.800048828125,-3672.9000854492188,403.3000183105469,-286.49999618530273,255.0,127.0,,0.494457226646524,-1.639139745594195,0.09669655478863494,True,False,False,6,85.0,False,
2,363,7,False,False,1,9220.856064064303,2804.06005859375,-3881.280029296875,97.2699966430664,276.00000381469727,3161.6000366210938,2757.2000122070312,-1202.5,-3726.199951171875,561.5999984741211,1.0,-0.4753519758205097,0.840000272808198,0.7605563187093085,1390732736629905397,DmaxCiao_,14.0,2689.419921875,-3929.300048828125,17.059999465942383,-762.2000122070312,2658.900146484375,2.3000000417232513,0.09999999776482582,1.5000000596046448,-967.6999664306641,0.0,19.0,False,-0.017252152130636682,1.2924659631509092,0.00014385159747869831,True,173.0,False,6,False,False,,76561198119420759,Twitch | Loxyspace,7.0,2201.5400390625,-4222.3798828125,17.0,18179.000244140625,12310.0,3.3000001311302185,-0.19999999552965164,-0.19999999552965164,1743.6000061035156,255.0,255.0,,-0.009563743420802502,2.4974174119209147,0.0001260559023304844,True,8,196.0,False,8,False,,enpitsu,76561198039309853,27,2262.330078125,2882.550048828125,17.049999237060547,-1122.5,-13385.999755859375,2.5,-0.0,-1.1999999731779099,81.00000381469727,255.0,128.0,,-0.016738137417147737,-1.4969669607741725,-0.0001296076460441969,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,19.0,2634.77001953125,-3370.639892578125,19.479999542236328,13373.499755859375,-17949.3994140625,2957.7999877929688,1.0999999940395355,-1.2999999523162842,-1492.5999450683594,255.0,42.0,,-0.009583639274790601,-2.170010049935333,-0.0001857078416951353,True,4,False,5,129.0,False,
3,367,7,False,False,0,2298.6308311928133,-2805.080078125,3859.719970703125,135.5399932861328,4175.199890136719,18215.699462890625,6250.7000732421875,4249.100036621094,1976.3999938964844,-3746.7001342773438,0.0,1.067881643645426,-1.1349796643208143,0.38679938820007936,bf81d8692db,games5425898691,19.0,-2784.52001953125,3584.909912109375,55.779998779296875,-12653.800048828125,19041.8994140625,2502.7999877929688,-2258.300018310547,-1239.800033569336,-785.8000183105469,255.0,128.0,,0.05533421308959867,2.0604146272496227,-0.00020739175223400284,True,129.0,False,6,False,5,,76561198039309853,enpitsu,27.0,-2245.550048828125,-2656.31005859375,17.049999237060547,963.7000274658203,13733.499755859375,2.5,0.0,0.9000000357627869,6.3999998569488525,255.0,128.0,,0.016754171294995936,1.50159643406717,-7.613971884762242e-05,True,2,255.0,False,2,False,,Twitch | Loxyspace,76561198119420759,7,-2485.280029296875,3994.89990234375,17.0,-16875.899658203125,-13763.599853515625,3.3000001311302185,-1.1999999731779099,-0.7999999821186066,-1400.2999877929688,255.0,0.0,,0.009569271248208411,-2.4699541796287576,-0.0003226172307373144,True,8,False,8,196.0,False,,DmaxCiao_,1390732736629905397,15.0,-2685.3701171875,3927.989990234375,16.920000076293945,-284.4000053405762,1352.7999877929688,31.19999885559082,-1.0999999940395355,2.8999999165534973,-161.20000839233398,0.0,136.0,False,0.01702146424333575,-1.3465011973149263,0.0002048325275379324,True,False,False,6,173.0,False,
4,431,9,False,False,1,8681.774402498902,2179.800048828125,-3446.330078125,213.2100067138672,465.60001373291016,22079.69970703125,4987.0001220703125,-1831.0000610351562,-2148.300018310547,695.8000183105469,1.0,-0.8676389854026885,2.826418172440523,3.1259744068060913,76561198119420759,Twitch | Loxyspace,7.0,2161.070068359375,-3605.699951171875,111.68000030517578,1276.9000244140625,15835.699462890625,3052.0001220703125,1789.2999267578125,-1733.3000183105469,613.6000061035156,255.0,128.0,False,0.2093587530696287,1.8518419052914206,-0.023335926723423293,True,112.27552670560854,True,10,False,8,,1390732736629905397,DmaxCiao_,15.0,3970.2099609375,-2604.0400390625,213.9499969482422,-482.79998779296875,4961.700134277344,-4080.5999755859375,-78.89999866485596,-816.5000152587891,-3278.900146484375,255.0,153.0,False,-0.19974175396474636,1.0424991806511037,0.05400831643642725,True,False,173.0,False,6,False,,enpitsu,76561198039309853,27,1872.6199951171875,-462.55999755859375,17.049999237060547,187.39999771118164,2727.39990234375,2.5,-0.7000000029802322,-0.0,0.0,128.0,128.0,,-0.01705445259908343,-1.5021160562099662,1.8750424383961713e-06,True,2,False,2,229.0,False,,games5425898691,bf81d8692db,19.0,4075.429931640625,-3366.199951171875,228.97000122070312,-1016.5000152587891,12304.49951171875,-7784.4000244140625,-1491.9999694824219,2685.5999755859375,457.2999954223633,255.0,255.0,,-0.5736496254928961,1.4906400558061748,-1.4510337636925463,True,6,False,6,129.0,False,
5,474,11,False,False,0,5188.433387790676,-2255.14990234375,132.75,205.47000122070312,-14914.300537109375,-4797.200012207031,1498.3999633789062,4570.4998779296875,3847.39990234375,554.5000076293945,0.0,0.38839559937363194,-1.483630084700473,-0.8083407441500362,76561198039309853,enpitsu,26.0,-2162.639892578125,29.6299991607666,108.12000274658203,-6260.2001953125,-6551.500244140625,-551.6999816894531,587.0999908447266,-5352.80029296875,1118.7999725341797,128.0,128.0,,-0.4528301844035012,2.2476890223612993,-2.738954755480685,True,229.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,-2693.0400390625,570.030029296875,16.979999542236328,4655.7000732421875,-22523.798828125,3.400000035762787,0.0,0.3999999910593033,-197.70000457763672,255.0,128.0,,0.00960457776625307,-1.3876691619131305,0.00011574459987611584,True,6,26.065668621370882,True,6,False,,Twitch | Loxyspace,76561198119420759,7,-2741.64990234375,146.7899932861328,16.979999542236328,-9529.89990234375,-20064.89990234375,10.399999618530273,-4.4999998807907104,7.200000286102295,-1924.9000549316406,255.0,0.0,False,0.009944927447834649,-2.080435526066211,0.00022411809420585493,True,10,False,10,92.0,False,,DmaxCiao_,1390732736629905397,15.0,-3772.929931640625,1264.52001953125,17.049999237060547,-6178.0999755859375,-9580.2001953125,2.5999999046325684,-3.100000023841858,-3.1999999284744263,-8.600000143051147,255.0,237.0,False,0.01670772262661793,-2.3249212647796837,0.0004981996314423776,True,False,False,6,173.0,False,
6,504,12,False,False,1,5492.524174522259,3812.77001953125,485.94000244140625,164.5800018310547,7255.30029296875,28542.5,8456.500244140625,1419.4999694824219,4333.0999755859375,-3899.8001098632812,1.0,-0.44011106604180067,1.5746500807436894,0.6180509663597432,76561198119420759,Twitch | Loxyspace,7.0,4079.969970703125,544.2000122070312,354.3500061035156,-175.59999465942383,-8760.0,7641.199951171875,2371.300048828125,266.49999618530273,77.89999961853027,255.0,0.0,False,0.6786438522497823,-1.5633350497510305,1.5872813116922053,True,92.0,False,10,False,10,,1390732736629905397,DmaxCiao_,14.0,3803.969970703125,174.6300048828125,53.939998626708984,-9302.7001953125,19849.100341796875,2402.899932861328,-2128.8999938964844,-2551.3999938964844,542.5,255.0,241.0,False,-0.013802875739504205,1.463767073400053,0.06095589175693811,True,3,128.0,False,8,False,,enpitsu,76561198039309853,27,2717.679931640625,542.969970703125,16.979999542236328,2424.1000366210938,-1070.0,17.799999713897705,-12.100000381469727,-11.100000143051147,1399.4000244140625,255.0,255.0,,-0.017506032242120644,-2.5053716510751975,0.00032984359163705713,True,4,False,4,229.0,False,,games5425898691,bf81d8692db,19.0,3439.469970703125,1615.18994140625,16.989999771118164,5791.7999267578125,20515.30029296875,4.600000083446503,1.1999999731779099,4.4999998807907104,978.7000274658203,255.0,255.0,,-0.009591881073094756,1.8277510121520424,-8.312957364533508e-06,False,6,False,6,0.0,False,
7,574,14,False,False,0,10148.828437804796,-1987.7099609375,-4949.93994140625,209.55999755859375,20671.39892578125,-587.0999908447266,8730.499877929688,1441.300048828125,-589.7999954223633,-5794.2999267578125,0.0,0.944844307703188,3.0259173166497417,1.8986339277835091,bf81d8692db,games5425898691,19.0,-2055.8701171875,-4966.240234375,70.33000183105469,16173.399658203125,2780.4998779296875,2661.099853515625,378.6000061035156,4182.39990234375,-841.9999694824219,255.0,118.0,,0.11358958989117685,0.10339280257825971,-0.17893392758254054,True,255.0,False,8,False,7,,76561198039309853,enpitsu,27.0,-2399.570068359375,-3838.719970703125,17.049999237060547,18035.0,-14220.0,0.9000000357627869,-1.0999999940395355,0.7999999821186066,1692.8999328613281,255.0,128.0,,0.016782235315959588,-0.6217644877421749,0.0002233534388279405,True,4,46.0,False,4,False,,Twitch | Loxyspace,76561198119420759,7,-1948.3399658203125,-1156.1300048828125,64.75,13434.7998046875,-12601.400146484375,-1835.5000305175781,1575.8000183105469,1807.7999877929688,106.30000114440918,255.0,128.0,,-0.46361717195568247,-0.8049964735277814,0.07933593335251082,True,12,False,12,123.0,False,,DmaxCiao_,1390732736629905397,14.0,-2067.7900390625,-4557.919921875,17.049999237060547,11162.099609375,-19112.099609375,2.5,0.29999999329447746,-0.19999999552965164,153.80000114440918,255.0,139.0,,0.016750870828022905,-1.0400057978944568,3.851177337594969e-05,True,4,False,8,82.0,False,
8,655,17,False,False,0,10478.64445031723,3323.52001953125,-4451.5400390625,107.02999877929688,7176.199951171875,2618.2000732421875,2323.9999389648438,-4880.199890136719,1858.9999389648438,-1797.2000122070312,0.0,-0.36667224657731307,-2.5810963826236133,1.6000874461763956,76561198039309853,enpitsu,27.0,3251.820068359375,-4362.35009765625,17.049999237060547,7342.39990234375,4827.60009765625,2.5,0.5000000074505806,-0.29999999329447746,0.0,128.0,128.0,,0.016907005629037842,0.5816598224163848,-2.4551313739387896e-05,True,77.0,False,4,False,4,,bf81d8692db,games5425898691,19.0,2123.360107421875,-3202.27001953125,16.989999771118164,9558.800048828125,10837.900390625,4.799999892711639,-0.3999999910593033,0.09999999776482582,-2031.3999938964844,128.0,0.0,,0.009606611677950232,0.7826419655444359,1.272749645111629e-05,True,8,245.0,False,8,False,,Twitch | Loxyspace,76561198119420759,7,3386.070068359375,-107.0,17.0,11072.39990234375,18372.7001953125,3.400000035762787,0.09999999776482582,0.09999999776482582,1723.5000610351562,128.0,255.0,True,0.009567872211813475,1.0685070494636473,0.0001760111854647971,True,14,False,14,255.0,False,,DmaxCiao_,1390732736629905397,14.0,1120.3900146484375,-2214.820068359375,69.9800033569336,6384.5001220703125,21933.60107421875,2625.8999633789062,-4892.200012207031,-1951.1000061035156,1583.8999938964844,255.0,204.0,,0.24300050601268786,1.340356507580822,-0.121752690039297,True,7,False,12,40.0,False,
9,661,18,False,False,0,10484.46651909893,3478.070068359375,-4388.4599609375,146.08999633789062,5233.3001708984375,3916.7999267578125,2048.8999938964844,-3889.5001220703125,3802.6998901367188,-2531.699981689453,0.0,-0.8311675285381056,2.3692415050818134,2.9778771445537395,76561198039309853,enpitsu,27.0,3425.43994140625,-4251.080078125,17.59000015258789,6648.4002685546875,3752.0999145507812,100.50000190734863,-208.1999969482422,-174.59999084472656,-37.40000009536743,128.0,255.0,,0.0008522805563276178,0.5004902178091207,-0.01747276392251359,True,77.0,False,4,False,4,,bf81d8692db,games5425898691,19.0,2301.85009765625,-3061.260009765625,16.989999771118164,11470.30029296875,6224.000244140625,4.799999892711639,0.0,0.0,-2159.600067138672,128.0,0.0,,0.00962750127529114,0.43257608984780577,-1.0133362262500386e-07,True,8,245.0,False,8,False,,Twitch | Loxyspace,76561198119420759,7,3569.840087890625,371.45001220703125,17.0,2577.0999145507812,18697.19970703125,4.000000059604645,0.0,-0.29999999329447746,3375.4000854492188,128.0,255.0,False,0.009596522171016182,1.749653147905781,0.00010215439032087706,True,14,False,14,255.0,False,,DmaxCiao_,1390732736629905397,14.0,1280.6099853515625,-1664.989990234375,94.93000030517578,6444.1998291015625,22022.19970703125,-165.59999465942383,-4671.499938964844,-2816.400146484375,703.3999633789062,255.0,128.0,,0.8248670344491753,-0.01939580647162966,-2.3553830671706595,False,7,False,12,40.0,False,
