,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,177,0.0,False,True,1,5194.163429323187,0.28999999165534973,23.649999618530273,92.05999755859375,-1988.800048828125,29139.7998046875,2019.6000671386719,-1119.000015258789,-73.00000190734863,-1013.0999755859375,1.0,-0.0006489254687662247,0.008429158117811721,0.00932498532750242,76561198039309853,enpitsu,25.0,13.970000267028809,-215.14999389648438,111.88999938964844,4933.299865722656,22382.099609375,1850.2000427246094,-3788.5000610351562,3686.4999389648438,-1518.6000061035156,255.0,0.0,,-0.6955214836050694,1.4884445773954575,0.44827860229658834,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,28.309999465942383,-4244.3798828125,17.010000228881836,-3277.7999877929688,8117.60009765625,2.0999999344348907,-0.29999999329447746,-1.0999999940395355,-134.20000076293945,255.0,94.0,-0.009475728456676972,1.1829212982687012,-2.827956058255582e-05,True,4,4,False,116.0,False,,mattechico,8511338488574566948,10,-49.52000045776367,320.45001220703125,79.44000244140625,-1871.6000366210938,-22116.8994140625,3478.2000732421875,-236.8000030517578,-21.500000953674316,-363.10001373291016,255.0,128.0,,0.02098433214805529,-1.425875610294259,0.007780871100076436,False,False,False,4,0.0,True,,MT-MqtteX,8597310274638842067,15.0,3346.659912109375,4022.320068359375,17.010000228881836,13022.7001953125,-7320.5999755859375,2.800000011920929,0.7000000029802322,-0.5000000074505806,-2972.6998901367188,255.0,0.0,False,-0.00959314668792016,-2.4307201017244906,1.048090261577881e-06,True,255.0,False,False,False,False,,
1,178,0.0,False,False,0,5282.258746770575,-13.630000114440918,-68.04000091552734,96.97000122070312,-17122.19970703125,21016.8994140625,1345.3999328613281,-602.400016784668,-203.99999618530273,5966.099853515625,0.0,-0.0007756957639962652,0.0879556480719567,0.024866161030265857,8511338488574566948,mattechico,10.0,49.52000045776367,-320.45001220703125,79.44000244140625,1871.6000366210938,22116.8994140625,3478.2000732421875,236.8000030517578,21.500000953674316,-363.10001373291016,255.0,128.0,,-0.02098433214805529,1.425875610294259,0.007780871100076436,False,0.0,False,4,False,False,,8597310274638842067,MT-MqtteX,15.0,-3346.659912109375,-4022.320068359375,17.010000228881836,-13022.7001953125,7320.5999755859375,2.800000011920929,-0.7000000029802322,0.5000000074505806,-2972.6998901367188,255.0,0.0,0.00959314668792016,2.4307201017244906,1.048090261577881e-06,True,False,False,False,255.0,False,,enpitsu,76561198039309853,25,-13.970000267028809,215.14999389648438,111.88999938964844,-4933.299865722656,-22382.099609375,1850.2000427246094,3788.5000610351562,-3686.4999389648438,-1518.6000061035156,255.0,0.0,,0.6955214836050694,-1.4884445773954575,0.44827860229658834,True,1,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,-28.309999465942383,4244.3798828125,17.010000228881836,3277.7999877929688,-8117.60009765625,2.0999999344348907,0.29999999329447746,1.0999999940395355,-134.20000076293945,255.0,94.0,,0.009475728456676972,-1.1829212982687012,-2.827956058255582e-05,True,116.0,False,4,4,False,,False
2,179,0.0,False,False,1,5099.465560353961,106.62999725341797,102.0,106.13999938964844,17565.400390625,12914.200439453125,1406.4999389648438,1484.6000671386719,-92.89999961853027,-5812.60009765625,1.0,0.043581558322245466,0.19062682851707613,-0.40818907880598404,76561198039309853,enpitsu,25.0,65.30000305175781,-58.97999954223633,124.1500015258789,8056.9000244140625,8458.400268554688,290.10000228881836,-4903.800048828125,-268.0999946594238,2475.8999633789062,255.0,0.0,,-1.213586930867063,0.3430807295335355,1.4838412456016805,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,4.239999771118164,-4173.3798828125,17.010000228881836,-2514.499969482422,8843.699951171875,2.5,-0.0,-0.29999999329447746,-1868.5000610351562,255.0,0.0,-0.009513589422556359,1.2844004062794883,-0.0002778671442785041,True,4,4,False,116.0,False,,mattechico,8511338488574566948,10,-60.88999938964844,192.5800018310547,103.48999786376953,951.9000244140625,-10524.3994140625,2976.9000244140625,-2551.6000366210938,1726.6999816894531,4017.9998779296875,255.0,229.0,,0.13973537333367297,-1.5677031741246967,0.015512736966907829,False,3,False,4,0.0,False,,MT-MqtteX,8597310274638842067,15.0,3448.050048828125,3938.8798828125,17.010000228881836,9435.30029296875,-10382.2998046875,2.5999999046325684,-0.0,-0.29999999329447746,-2547.899932861328,255.0,0.0,False,-0.009588200295833318,-2.179236525387378,7.56111633248772e-05,True,255.0,False,False,False,False,,
3,220,1.0,False,False,0,7010.808380556709,-2424.39990234375,-1702.1800537109375,184.74000549316406,5385.10009765625,20345.0,14566.099853515625,3611.9000244140625,-4782.300109863281,287.7000045776367,0.0,0.021447559600087818,-2.840257651583848,0.2978548336177152,8597310274638842067,MT-MqtteX,15.0,-2520.550048828125,-1940.6800537109375,17.010000228881836,10820.799560546875,15272.39990234375,2.199999988079071,-2.5999999046325684,-4.099999964237213,662.0999908447266,255.0,128.0,False,0.009607344666569186,0.9891932427285631,6.329533954544101e-05,True,206.0,False,False,False,False,,8511338488574566948,mattechico,10.0,-30.670000076293945,1455.7099609375,17.020000457763672,4735.799865722656,10233.900146484375,5.199999809265137,10.299999713897705,14.40000057220459,-2378.2000732421875,255.0,0.0,0.009770853426426123,1.078194822050979,-0.0008752156973520264,True,4,4,False,0.0,False,,enpitsu,76561198039309853,25,-1419.6700439453125,-1047.68994140625,17.020000457763672,-15134.89990234375,-684.4000244140625,5.699999928474426,1.0999999940395355,0.0,-406.30001068115234,255.0,128.0,,0.016793541278517878,-3.1353268547826634,0.0002630193935798228,True,2,False,2,0.0,False,,games5425898691,bf81d8692db,24.0,-1175.18994140625,3297.719970703125,17.010000228881836,-12466.600341796875,3185.4998779296875,2.3999999463558197,-0.09999999776482582,0.0,-2300.500030517578,255.0,0.0,,0.009563785884281202,2.8250117533170616,-1.3344717022939083e-05,True,146.0,False,4,4,False,,
4,386,7.0,False,False,1,7806.064504704612,32.43000030517578,-2618.14990234375,574.8300170898438,-13434.89990234375,22522.099609375,9152.19970703125,651.5000152587891,5902.7001953125,-856.3999938964844,1.0,1.4077931218210307,-2.874999612612001,-3.033482662530609,76561198039309853,enpitsu,26.0,150.13999938964844,-2763.60009765625,407.5799865722656,-14644.599609375,16553.699951171875,4297.699890136719,-1497.7000427246094,-2923.2998657226562,-2510.5999755859375,255.0,255.0,,1.1284408523111653,1.0247674897245593,-0.09881887058190744,True,170.0,False,4,False,3,,bf81d8692db,games5425898691,24.0,-187.07000732421875,-5336.27001953125,17.31999969482422,-1765.0,4508.500061035156,-101.40000343322754,196.39999389648438,79.0999984741211,-800.1000213623047,255.0,16.0,-0.015522794404390135,1.1597465945667074,0.010141253123567489,True,4,4,False,99.0,False,,mattechico,8511338488574566948,10,-819.7100219726562,-1199.7099609375,310.3999938964844,11149.599609375,-15748.399658203125,4164.2999267578125,-2994.89990234375,-1599.4000244140625,-460.8000183105469,255.0,175.0,,1.160762957246752,-2.245032216096517,-0.056697812682127334,True,4,4,6,196.24142772151572,True,,MT-MqtteX,8597310274638842067,15.0,-273.8399963378906,-5877.60986328125,68.0999984741211,-4858.800048828125,7825.5999755859375,-5076.7999267578125,4307.39990234375,-1038.499984741211,-968.4999847412109,255.0,128.0,False,-0.4927022970817074,1.1248667271018187,0.2209396551937834,True,0.0,False,4,False,False,,
5,515,12.0,False,False,1,2948.837493480021,-1894.300048828125,4186.1298828125,210.66000366210938,19805.0,4524.599914550781,2947.5,-1098.7999725341797,-4237.799987792969,1968.3000183105469,1.0,-1.02983579281041,1.7507067773257923,-1.3101101866366447,76561198039309853,enpitsu,25.0,-2001.5699462890625,4132.7998046875,91.55000305175781,19377.19970703125,1489.1999816894531,3366.9000244140625,920.5000305175781,2165.5999755859375,-1490.0,255.0,128.0,False,-0.04525477378318172,2.8699220963326657,0.010222045869266323,True,184.0,False,6,False,5,,bf81d8692db,games5425898691,24.0,854.9299926757812,2867.260009765625,17.010000228881836,7731.199951171875,16923.199462890625,2.3000000417232513,-0.7000000029802322,-1.8000000715255737,1682.5,255.0,210.0,-0.009604868793570049,1.9354569018919958,4.445080605434109e-05,True,6,6,False,172.0,False,,mattechico,8511338488574566948,9,3272.510009765625,-3221.2099609375,17.010000228881836,-2148.699951171875,14993.299560546875,2.0000000298023224,-0.0,0.19999999552965164,4.000000059604645,255.0,128.0,,-0.009601695830842706,1.4278095196366698,-3.1372925516756736e-05,True,4,4,6,133.0,False,,MT-MqtteX,8597310274638842067,15.0,-1993.719970703125,277.8999938964844,16.799999237060547,13326.500244140625,18039.89990234375,47.199997901916504,1.1999999731779099,13.09999942779541,-70.79999923706055,255.0,128.0,False,-0.009169741590050108,2.21640517741623,-0.0006538422491748873,True,142.0,False,6,4,False,,
6,544,13.0,True,True,1,935.4332465173376,64.5999984741211,4711.27001953125,162.25999450683594,-13107.099609375,22340.6005859375,-1406.7999267578125,2693.800048828125,5177.0001220703125,-503.4000015258789,1.0,-0.2684056273918317,1.1277662093599687,0.4121961208951536,bf81d8692db,games5425898691,24.0,210.50999450683594,4599.14990234375,180.05999755859375,-10185.999755859375,16350.10009765625,356.19998931884766,-3846.6000366210938,-3391.6000366210938,-1987.4000549316406,255.0,20.0,,-0.9045639214601455,0.19999061870731483,0.4930187108771792,True,202.0,False,8,False,7,,76561198039309853,enpitsu,25.0,107.94000244140625,4338.31982421875,50.52000045776367,19662.19970703125,1978.0000305175781,-2913.800048828125,300.5999946594238,1020.9999847412109,-510.29998779296875,128.0,128.0,0.05340535570471286,2.896931571568071,-0.5312497650253483,True,6,6,False,245.0,False,,mattechico,8511338488574566948,9,3020.840087890625,-1639.510009765625,17.010000228881836,-3888.900146484375,14597.5,2.0000000298023224,-0.29999999329447746,-0.0,570.2999877929688,255.0,163.0,,-0.009558619440414383,1.2943886713040018,4.620195315948186e-06,True,4,4,6,133.0,False,,MT-MqtteX,8597310274638842067,15.0,-609.5999755859375,2112.090087890625,17.010000228881836,12299.000244140625,18660.999755859375,2.199999988079071,-0.0,-0.09999999776482582,1546.9000244140625,255.0,228.0,False,-0.009591607460002852,2.121004460401729,0.00019413831190054397,True,142.0,False,6,4,False,,False
7,812,13.0,False,False,0,5237.5761430706,-5.389999866485596,-21.299999237060547,91.22000122070312,-6043.800048828125,-4694.2999267578125,-2323.699951171875,-277.8000068664551,293.0999946594238,4761.9000244140625,0.0,0.06682406834500643,0.3722805453646064,-0.20682464032723935,8511338488574566948,mattechico,10.0,-9.229999542236328,-199.52999877929688,97.37000274658203,9173.699951171875,20879.599609375,2951.199951171875,-90.50000190734863,5472.9998779296875,536.3000106811523,255.0,8.0,True,-0.0734186411532489,1.4977489136064048,0.3152709517732981,True,0.0,False,4,False,3,,8597310274638842067,MT-MqtteX,15.0,2802.22998046875,-4278.47021484375,17.010000228881836,22903.701171875,-1658.2000732421875,2.0999999344348907,1.5999999642372131,0.0,1231.8000030517578,255.0,255.0,0.009574843530910206,-0.05733827985693815,0.00020575991299206858,True,False,False,False,20.0,False,,enpitsu,76561198039309853,25,4.340000152587891,209.0399932861328,95.41000366210938,591.1999893188477,-22925.400390625,44.000000953674316,5498.0999755859375,142.2000026702881,0.0,255.0,128.0,,1.386767835408801,-1.5446743815361665,0.0002405383544144741,True,1,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,0.0,5280.7001953125,17.010000228881836,0.0,-2239.9000549316406,2.0999999344348907,0.7000000029802322,0.0,0.0,255.0,,,0.009391819022345399,-1.5707878295104034,3.9981008938747724e-08,True,116.0,False,False,False,False,,
8,813,13.0,False,False,1,5185.48587652308,12.0,30.420000076293945,92.41000366210938,3163.3999633789062,10000.2001953125,-297.00000762939453,1202.2000122070312,944.1999816894531,-1375.5999755859375,1.0,-0.03744362200286405,-0.4003976023405357,-0.21226199825428246,76561198039309853,enpitsu,25.0,-0.25999999046325684,-103.02999877929688,91.61000061035156,1711.199951171875,5116.600036621094,-41.500000953674316,-4793.599853515625,1453.699951171875,-661.5000152587891,255.0,128.0,,-1.2274181144600227,-1.4686887504745343,-3.0715447920001226,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-0.0,-5256.9501953125,17.010000228881836,-0.0,3337.7999877929688,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,,-0.009391819022345399,1.5707878295104034,3.9981008938747724e-08,True,False,False,False,116.0,False,,mattechico,8511338488574566948,10,-72.41000366210938,95.91000366210938,132.86000061035156,-9870.30029296875,-6823.0999755859375,4612.699890136719,-1378.3000183105469,-4987.0001220703125,1865.3999328613281,255.0,63.0,True,0.3352431151724143,-1.4522437123269507,0.9433107121335038,True,3,False,4,0.0,False,,MT-MqtteX,8597310274638842067,15.0,-2802.22998046875,4278.47021484375,17.010000228881836,-22903.701171875,1658.2000732421875,2.0999999344348907,-1.5999999642372131,-0.0,1231.8000030517578,255.0,255.0,,-0.009574843530910206,0.05733827985693815,0.00020575991299206858,True,20.0,False,False,False,False,,
9,825,14.0,False,False,1,4749.991746737469,149.14999389648438,449.0899963378906,92.73999786376953,2924.1000366210938,8752.19970703125,0.0,-1848.5000610351562,1583.2000732421875,-1375.5999755859375,1.0,0.4813459218016542,0.3399221856077354,0.013374983286412578,76561198039309853,enpitsu,25.0,73.02999877929688,114.08000183105469,84.29000091552734,1675.7000732421875,4940.199890136719,-430.99998474121094,-4669.5001220703125,895.4000091552734,-28.399999141693115,255.0,128.0,,1.3487604940169684,1.7334153412014803,-0.027575534593994398,True,31.0,False,2,False,2,,bf81d8692db,games5425898691,24.0,-0.0,-5007.89013671875,17.010000228881836,-0.0,7745.4998779296875,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,,-0.009437596099305234,1.5707880450025669,3.8982555224187095e-08,True,False,False,False,116.0,False,,mattechico,8511338488574566948,10,-466.4100036621094,-181.3800048828125,156.77000427246094,-9817.19970703125,-7035.999755859375,-143.99999618530273,167.90000915527344,-4477.300109863281,3189.8001098632812,255.0,128.0,False,0.7902737447879626,-1.9333047671409211,-2.646656500060016,True,3,False,4,0.0,False,,MT-MqtteX,8597310274638842067,15.0,-3658.35009765625,4024.35009765625,17.8700008392334,-11519.200439453125,-14736.800537109375,-71.70000076293945,-72.5,-165.59999465942383,2731.7999267578125,255.0,255.0,False,-0.024554928638314166,-1.0742401820445766,-0.03862494663363095,True,255.0,False,False,False,False,,
