,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,team_mate_handbrake
0,169,0.0,False,False,0,5139.97242051893,37.72999954223633,85.55000305175781,96.80999755859375,10774.89990234375,25988.20068359375,1063.499984741211,1563.3999633789062,-1005.0,2201.999969482422,0.0,-0.03536537276957226,0.07252716347274786,0.05085207050100287,76561198039309853,enpitsu,27.0,-82.0999984741211,-181.66000366210938,93.56999969482422,14932.099609375,17423.299560546875,535.8000183105469,-3598.9999389648438,4158.299865722656,-71.39999866485596,255.0,128.0,,1.2165055569739258,0.6782337617891286,-0.03660874144180894,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,17.0,0.0,-5367.60986328125,18.15999984741211,0.0,2837.3001098632812,-67.8000020980835,132.2000026702881,0.0,0.0,255.0,,0.030969009865990275,1.5708160573952779,2.4627158516995205e-07,True,False,False,False,85.0,False,,POP,76561198362923691,22,191.72999572753906,579.8699951171875,46.16999816894531,-8532.2998046875,-21030.0,3464.7000122070312,94.70000267028809,-1274.8999786376953,2330.5999755859375,255.0,255.0,,0.017497993855168422,-1.7775343394104808,0.02603007282731027,True,0.0,False,3,False,False,,SMOKE,76561198335365205,15.0,2527.639892578125,4092.300048828125,17.010000228881836,18308.900146484375,2434.1000366210938,2.5999999046325684,0.5000000074505806,0.0,0.29999999329447746,255.0,128.0,,0.009600858298582727,0.13225443128853243,-6.165127410146132e-05,True,False,0.0,False,False,False,,
1,173,0.0,False,False,1,5424.636145810864,-132.92999267578125,-186.16000366210938,92.52999877929688,-4760.0,10766.099853515625,-2023.9999389648438,-2941.6000366210938,-935.8999633789062,5144.89990234375,1.0,0.1909262793963597,-1.130088153456323,0.26475932796280394,76561198362923691,POP,22.0,-80.69999694824219,-354.6300048828125,89.2300033569336,7851.5997314453125,8237.7001953125,1954.9000549316406,2680.10009765625,436.3999938964844,4782.900085449219,255.0,255.0,,0.28940766465229373,1.3884787290314957,0.25419774380746163,True,0.0,False,4,False,3,,76561198335365205,SMOKE,15.0,-2833.06005859375,-4127.06005859375,17.010000228881836,-18349.300537109375,-1132.5,2.8999999165534973,0.19999999552965164,-0.0,-1693.800048828125,255.0,0.0,-0.009580846140145965,-0.03175987652809217,-0.00024171708509582274,True,False,False,False,0.0,False,,enpitsu,76561198039309853,27,-150.3699951171875,-60.099998474121094,92.91000366210938,-14186.700439453125,-4490.10009765625,526.1999893188477,-4794.100036621094,-2541.7999267578125,897.2000122070312,255.0,128.0,,-0.8988567753843902,2.3608656875085727,2.900165690494762,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,17.0,-0.0,5317.7998046875,16.959999084472656,-0.0,-4493.500061035156,-106.5999984741211,-210.9000015258789,-0.0,0.0,255.0,,,-0.007591265420468843,-1.5708123856634433,6.111166689425029e-08,True,False,85.0,False,False,False,,True
2,174,0.0,False,False,0,5064.399976811841,136.1300048828125,181.88999938964844,94.38999938964844,-452.99999237060547,1091.8000030517578,1036.500015258789,663.3000183105469,-186.8000030517578,5960.2001953125,0.0,-0.2069481381207715,1.2691497929721716,0.2663400334154572,76561198039309853,enpitsu,27.0,258.9100036621094,64.87999725341797,94.52999877929688,14453.299560546875,34.40000057220459,-132.7999973297119,-3614.7000122070312,2947.0999145507812,2915.0,255.0,128.0,,0.6494238611504931,-2.3791568378628667,2.558133852125046,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,17.0,0.0,-5317.7998046875,16.959999084472656,0.0,4493.500061035156,-106.5999984741211,210.9000015258789,0.0,0.0,255.0,,0.007591265420468843,1.5708123856634433,6.111166689425029e-08,True,False,False,False,85.0,False,,POP,76561198362923691,22,80.69999694824219,354.6300048828125,89.2300033569336,-7851.5997314453125,-8237.7001953125,1954.9000549316406,-2680.10009765625,-436.3999938964844,4782.900085449219,255.0,255.0,,-0.28940766465229373,-1.3884787290314957,0.25419774380746163,True,0.0,False,4,3,False,,SMOKE,76561198335365205,15.0,2833.06005859375,4127.06005859375,17.010000228881836,18349.300537109375,1132.5,2.8999999165534973,-0.19999999552965164,0.0,-1693.800048828125,255.0,0.0,True,0.009580846140145965,0.03175987652809217,-0.00024171708509582274,True,False,255.0,False,False,False,,
3,175,0.0,False,False,1,5415.013009417764,-144.42999267578125,-174.1199951171875,94.91999816894531,-5387.0001220703125,5644.4000244140625,-890.5000305175781,334.00001525878906,1147.5,5879.69970703125,1.0,0.2171535289716229,-1.5867098317763837,0.23273159285987852,76561198362923691,POP,22.0,-5.760000228881836,-290.0,104.11000061035156,8281.799926757812,6717.2998046875,1486.199951171875,-4531.7999267578125,-1406.3999938964844,2781.099853515625,255.0,128.0,,-0.02508835039941794,0.9511696332684504,0.3432733234828569,True,0.0,False,4,False,3,,76561198335365205,SMOKE,15.0,-3000.35009765625,-4127.2099609375,17.010000228881836,-18095.6005859375,934.4000244140625,3.0000001192092896,-0.5999999865889549,-0.0,-2574.4000244140625,255.0,0.0,-0.009582191518511108,0.1703993310494046,-0.0002065486915883651,True,False,False,False,255.0,False,300.0,enpitsu,76561198039309853,27,-258.9100036621094,-64.87999725341797,94.52999877929688,-14453.299560546875,-34.40000057220459,-132.7999973297119,3614.7000122070312,-2947.0999145507812,2915.0,255.0,128.0,,-0.6494238611504931,2.3791568378628667,2.558133852125046,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,17.0,-0.0,5280.6298828125,16.829999923706055,-0.0,-5317.39990234375,21.400001049041748,42.5,-0.0,0.0,255.0,,,-0.006721508959402815,-1.5708155112520115,6.459155434749235e-08,True,False,85.0,False,False,False,,True
4,324,5.0,False,False,0,7377.694025639888,1852.1600341796875,-1706.75,101.77999877929688,-8102.80029296875,6100.7000732421875,5019.100036621094,3894.7000122070312,2923.2998657226562,3505.0,0.0,0.10372223016016155,2.113788062144603,0.970476212469361,76561198039309853,enpitsu,27.0,1969.9000244140625,-1819.489990234375,16.049999237060547,-1170.2999877929688,7304.69970703125,-292.5,-190.6999969482422,-244.89999771118164,1085.0,255.0,128.0,False,0.027185583808323314,1.7316814246081353,-0.00547084113778621,True,210.0,False,2,False,2,,bf81d8692db,games5425898691,17.0,749.1699829101562,-4772.1201171875,17.010000228881836,9302.999877929688,6440.9002685546875,2.5999999046325684,-0.5000000074505806,-0.19999999552965164,0.0,255.0,128.0,0.009539303332064278,0.6055772348283894,5.7976768385900916e-05,False,4,False,4,77.0,False,,POP,76561198362923691,21,-225.9600067138672,-329.3699951171875,29.920000076293945,20334.200439453125,-9853.800048828125,-3034.2999267578125,1188.7000274658203,2256.999969482422,1414.1999816894531,255.0,128.0,,-0.07769884625881494,-0.7969016192747314,0.06939498520254536,True,194.0,False,8,8,False,,SMOKE,76561198335365205,15.0,1367.27001953125,1695.550048828125,17.010000228881836,-9363.900146484375,-9654.400024414062,2.8999999165534973,0.0,0.0,-2248.699951171875,255.0,0.0,,0.009559198560745927,-2.4086922367264934,1.0899830316420964e-05,True,False,205.0,False,False,False,,
5,347,6.0,False,False,1,4484.11336436933,-1245.5400390625,1200.3199462890625,317.1099853515625,-12452.39990234375,-7885.30029296875,8377.7001953125,13.600000143051147,1806.4999389648438,5721.500244140625,1.0,-0.869464636957455,-0.7169779580188063,-0.10991274301872982,76561198362923691,POP,22.0,-1093.699951171875,1239.72998046875,158.0,-10055.499877929688,4925.299987792969,3455.10009765625,4177.0001220703125,3500.4000854492188,-740.9999847412109,128.0,255.0,,0.7159334998380895,-0.16237280592154377,-0.6264889545801142,False,180.0,False,10,False,9,,76561198335365205,SMOKE,15.0,-442.8999938964844,-1704.719970703125,17.010000228881836,9980.599975585938,-8684.000244140625,2.8999999165534973,0.5000000074505806,-0.19999999552965164,-2242.5,255.0,0.0,-0.009557984662828468,-2.362929033403494,-5.530247448916308e-05,True,False,False,False,205.0,False,,enpitsu,76561198039309853,27,-1396.199951171875,1314.0400390625,116.66000366210938,12111.099853515625,-4411.400146484375,4055.1998901367188,-460.40000915527344,-1780.2999877929688,502.09999084472656,255.0,0.0,False,0.24534121699587413,-2.9630309064880005,-0.014049728067806022,True,177.9058495054963,True,4,3,False,,games5425898691,bf81d8692db,17.0,-2032.31005859375,4223.77001953125,17.010000228881836,-19739.300537109375,-2166.3999938964844,0.09999999776482582,-0.0,-0.0,-246.90000534057617,255.0,128.0,,-0.009589591384147465,-0.08547616632348859,0.0001347043262269545,True,4,37.12969468998653,True,False,4,,
6,430,9.0,False,False,0,6158.848956541378,3523.39990234375,850.4400024414062,181.36000061035156,-6667.5,24379.7998046875,13082.39990234375,4245.10009765625,-4237.200012207031,158.29999923706055,0.0,-0.47797065039179415,-3.073980882587303,0.5579882717969443,bf81d8692db,games5425898691,17.0,3553.110107421875,638.3699951171875,51.02000045776367,3693.900146484375,22444.89990234375,3402.5,-330.2000045776367,44.89999771118164,1241.500015258789,255.0,229.0,,0.019337465879006668,1.4894401387119236,0.0006484515222137631,True,138.2468474731651,True,5,False,4,,76561198039309853,enpitsu,27.0,1883.1400146484375,881.8099975585938,17.059999465942383,374.59999084472656,16489.300537109375,-2.5999999046325684,0.0,-2.3000000417232513,1889.9000549316406,255.0,255.0,0.016769294526626528,1.5946040790212366,0.00013090240591169612,True,4,False,4,123.0,False,,POP,76561198362923691,22,-1337.3499755859375,-481.19000244140625,27.079999923706055,1880.8000183105469,13237.2998046875,3080.4000854492188,2.0000000298023224,8.799999952316284,-1313.8999938964844,255.0,128.0,,0.009578686051094926,1.3497372509890793,0.00019584842925455677,True,116.0,False,12,10,False,,SMOKE,76561198335365205,16.0,609.6099853515625,2678.47998046875,17.010000228881836,-5757.9998779296875,12602.099609375,2.5999999046325684,-0.19999999552965164,1.0999999940395355,50.999999046325684,255.0,128.0,False,0.00958766350300364,2.00680656635929,-0.00010318579782694334,True,False,185.0,False,False,False,,False
7,526,12.0,False,False,0,3521.1367595606534,1636.9200439453125,2694.0400390625,429.2699890136719,23011.39892578125,9885.30029296875,1990.5999755859375,564.3999862670898,-4475.899963378906,-3955.7000732421875,0.0,-0.8264365878366194,2.3243714526003205,-1.8612683408901545,76561198039309853,enpitsu,27.0,1494.719970703125,2601.60009765625,333.42999267578125,14061.099853515625,4656.300048828125,2953.9999389648438,-2466.300048828125,3455.7998657226562,-1663.3999633789062,255.0,255.0,False,-0.731434058809582,-0.022973551940271612,-0.034713474695591245,True,81.0,False,6,False,5,,bf81d8692db,games5425898691,17.0,2538.429931640625,3775.4599609375,17.010000228881836,-6902.9998779296875,-9528.400268554688,3.0000001192092896,0.29999999329447746,0.19999999552965164,2369.7000122070312,255.0,255.0,0.009548335276954763,-2.1345935691447635,3.0611675925966716e-05,True,4,False,6,255.0,False,,POP,76561198362923691,21,-2215.570068359375,4872.580078125,16.989999771118164,17689.3994140625,-1677.5,2.8999999165534973,6.499999761581421,2.8999999165534973,-3.100000023841858,255.0,128.0,False,0.009422069995385019,-0.09489501745832463,-0.0002799638626168111,True,211.1410238665919,True,12,12,False,,SMOKE,76561198335365205,15.0,1375.800048828125,3038.18994140625,187.3699951171875,13456.199951171875,-18456.500244140625,2698.900146484375,563.1000137329102,-1074.800033569336,493.80001068115234,255.0,0.0,False,-0.4704940975685506,-0.8859082963496925,1.256325618562656,True,False,48.14102386659195,True,False,4,,
8,589,15.0,False,False,1,9808.136855788174,-2490.2099609375,-4065.06005859375,187.75999450683594,5654.5001220703125,18521.099853515625,-985.1000213623047,1011.2999725341797,2023.800048828125,-5557.0001220703125,1.0,0.5688636487484805,-1.1851886184748135,-2.495059721879359,76561198362923691,POP,21.0,-2361.110107421875,-4299.41015625,144.2899932861328,-20256.099853515625,10628.00048828125,2393.8999938964844,-4331.199951171875,943.7000274658203,529.0999984741211,255.0,128.0,,0.2787556302385096,0.5183609811549695,0.19586457278287378,False,127.30383664561853,True,14,False,13,,76561198335365205,SMOKE,15.0,-3165.419921875,1010.0900268554688,17.0,1198.499984741211,-358.80001068115234,8.00000011920929,-5.400000214576721,9.599999785423279,-1862.1000671386719,255.0,0.0,-0.009306685964141146,-2.2942320280838397,0.0005194534174497819,True,4,False,4,38.0,False,,enpitsu,76561198039309853,27,-3639.2900390625,-3610.85009765625,17.059999465942383,7334.2999267578125,-8309.299926757812,2.7000001072883606,-0.0,-0.0,2449.499969482422,255.0,255.0,False,-0.016709784620272335,-2.3576002379667864,-3.674387300735604e-05,True,68.46245170152316,True,6,6,False,,games5425898691,bf81d8692db,17.0,-2813.929931640625,-3897.239990234375,17.010000228881836,14984.3994140625,-6060.3997802734375,0.3999999910593033,-1.4000000059604645,0.5000000074505806,1841.300048828125,255.0,216.0,,-0.009584745853986486,-2.8192632895465515,2.1334656806702162e-05,True,4,198.64050767754992,True,False,6,,
9,646,17.0,False,False,0,4903.17081092291,1479.5699462890625,850.739990234375,99.01000213623047,9375.599975585938,-9399.400024414062,4109.700012207031,1585.8999633789062,-2678.0999755859375,5129.5001220703125,0.0,0.568781035528281,1.9792919265433546,2.215394683400845,bf81d8692db,games5425898691,17.0,1363.1199951171875,798.8900146484375,17.010000228881836,8289.299926757812,-19105.0,2.5999999046325684,-0.5000000074505806,0.09999999776482582,-864.8000335693359,255.0,51.0,,0.009626046688722809,-1.1688531174371228,-0.00016458051848889142,True,113.0,False,6,False,4,,76561198039309853,enpitsu,27.0,2205.27001953125,1007.3499755859375,89.55000305175781,-1526.4999389648438,-22705.400390625,-140.20000457763672,5499.4000244140625,-78.49999904632568,14.299999475479126,255.0,128.0,-1.331765239183133,1.567208370361998,3.1305759001406424,True,8,False,8,31.0,False,,POP,76561198362923691,21,3933.31005859375,2035.0799560546875,35.27000045776367,-10474.49951171875,-15566.400146484375,-5332.60009765625,-58.60000133514404,5040.799865722656,-431.89998626708984,255.0,128.0,,0.25456112866138303,-2.2357567356207464,0.3165660604048938,True,31.816610631122366,True,14,14,False,,SMOKE,76561198335365205,15.0,2720.35009765625,394.29998779296875,17.010000228881836,-12341.700439453125,-3772.39990234375,2.5999999046325684,4.600000083446503,1.5000000596046448,1224.800033569336,255.0,128.0,False,0.009563746560659447,-2.773777480405314,-0.00011419062761498127,True,4,244.0,False,False,4,,False
