,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_ball_cam,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,663,18,False,1,1225.075214496575,710.9600219726562,3928.97998046875,151.92999267578125,-5341.9000244140625,32067.80029296875,-980.9999847412109,-1993.0000305175781,-1941.3999938964844,-1163.6000061035156,1.0,0.6981781412141284,-2.92175317364966,3.0526450738360427,76561198039309853,enpitsu,29.0,723.760009765625,3761.969970703125,168.67999267578125,-4152.900085449219,18253.599853515625,2142.100067138672,-3242.3001098632812,-4138.599853515625,1615.0999450683594,255.0,255.0,,-0.4201437367489742,1.6131838879499247,-0.4005246453421374,True,125.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,3046.6201171875,4398.60009765625,17.010000228881836,7245.7000732421875,-11958.00048828125,2.0999999344348907,0.09999999776482582,-0.0,-64.60000038146973,255.0,128.0,,-0.009566720876098927,-2.1078124666758535,2.8943554048830348e-05,True,0.0,False,False,10,10,,Mehdiingue38,b4baea5869b,7.0,489.9100036621094,4195.35986328125,49.040000915527344,10015.2001953125,-16023.699951171875,3514.5999145507812,-343.69998931884766,-239.20000076293945,858.0000305175781,128.0,222.0,False,-0.0060715362200678205,-2.1690929148837736,0.0007387568570719039,45.806615037302805,True,16,False,14,True,,Genos ジェノス,b1d1eaf951b,6.0,3849.68994140625,236.9499969482422,18.6299991607666,9387.39990234375,10801.99951171875,665.4000091552734,434.50000762939453,-2070.5999755859375,2247.7000427246094,255.0,255.0,,0.038873054017124556,2.22874471799263,-0.03965226509005183,True,255.0,False,6,False,6,
1,1185,37,False,0,1368.6527723128227,-268.0,3923.929931640625,322.19000244140625,15344.599609375,22380.400390625,7329.69970703125,5865.7000732421875,-1240.4000091552734,-231.70000076293945,0.0,0.06014950046998934,3.0415006897896832,-2.6948588604073036,b1d1eaf951b,Genos ジェノス,6.0,-333.6499938964844,3742.169921875,204.85000610351562,14682.900390625,13831.300048828125,664.8999786376953,-4617.9998779296875,-2426.3999938964844,-1742.5,255.0,253.0,,-0.23380732134064564,0.8152775550439009,-0.736839473911705,True,166.37450325360865,True,10,False,9,,b4baea5869b,Mehdiingue38,7.0,-151.80999755859375,4788.41015625,17.049999237060547,12443.900146484375,-6513.3001708984375,2.8999999165534973,-1.2999999523162842,0.5000000074505806,-1468.6000061035156,255.0,19.0,,0.016780385352263713,-0.5217187849431263,4.375268641013857e-06,True,177.0,False,4,26,22,,enpitsu,76561198039309853,29.0,-344.4700012207031,4628.35009765625,19.520000457763672,11717.39990234375,-1757.2999572753906,2957.6998901367188,7.5,-1.0000000149011612,-921.3999938964844,128.0,0.0,False,0.016869636992484994,-0.2095943516941872,0.0002489986647902507,,False,10,False,8,True,,games5425898691,bf81d8692db,18.0,341.1099853515625,5020.81005859375,17.010000228881836,-10575.699462890625,758.0000305175781,2.3999999463558197,0.19999999552965164,0.0,2240.2000427246094,128.0,255.0,,0.009630160600657644,3.1270966466433086,2.1913811933724327e-05,True,163.0,False,16,4,14,
2,3170,109,True,1,1137.8802090812344,1752.77001953125,4391.18994140625,376.0199890136719,-24742.099609375,8380.800170898438,-96.40000343322754,5124.2999267578125,-2068.3999633789062,2337.100067138672,1.0,0.128337953782473,-2.209159407655501,2.976448660378006,bf81d8692db,games5425898691,19.0,1877.3299560546875,4319.14990234375,287.4800109863281,-13738.299560546875,8443.099975585938,1499.2999267578125,-2677.7999877929688,-4043.2998657226562,2594.2999267578125,255.0,255.0,,-0.3332719395020205,1.6852864638548002,0.38805776825422056,True,198.5602237460434,True,46,4,41,,76561198039309853,enpitsu,29.0,1697.1700439453125,681.2999877929688,17.059999465942383,-2351.4999389648438,432.2999954223633,1.2999999523162842,-0.19999999552965164,-0.5999999865889549,-567.9999923706055,255.0,128.0,False,-0.016805500980798294,0.848544769670835,5.118863058581904e-05,True,252.0,False,False,20,20,,Mehdiingue38,b4baea5869b,7.0,1672.5999755859375,4585.35986328125,267.4599914550781,11432.5,-3053.2000732421875,6190.10009765625,-158.90000343322754,-1330.8999633789062,-558.8999938964844,238.0,128.0,False,0.8354485798049858,-2.542711145665227,0.18709588690598175,90.62406884470293,True,56,10,42,True,,Genos ジェノス,b1d1eaf951b,6.0,413.4100036621094,4288.18994140625,17.010000228881836,-9631.900024414062,17270.50048828125,2.3999999463558197,-0.09999999776482582,0.3999999910593033,-2306.9000244140625,255.0,0.0,True,-0.009591426278095658,1.1451290415705084,-0.0002454783753105922,True,255.0,False,36,False,34,
3,3914,127,True,1,1312.6231389322513,1060.1400146484375,3837.679931640625,599.780029296875,-15742.60009765625,22071.4990234375,-4444.700012207031,-2158.000030517578,2648.599853515625,3477.60009765625,1.0,0.9951426559058181,2.163268249771154,-2.2821324981252604,bf81d8692db,games5425898691,19.0,1148.699951171875,3635.43994140625,562.3400268554688,-12538.599853515625,14278.800048828125,2286.4999389648438,-4332.0001220703125,-1089.8999786376953,3208.599853515625,255.0,113.0,,0.2646657408769439,1.076136975787655,0.5939393048285059,True,0.0,False,14,False,13,,76561198039309853,enpitsu,29.0,-15.079999923706055,-1148.800048828125,17.049999237060547,-0.19999999552965164,-3.400000035762787,2.5999999046325684,-0.3999999910593033,-0.0,0.0,128.0,128.0,False,-0.016826791600356,1.6118881486836931,5.260057354364508e-06,True,200.0,False,False,2,2,,Mehdiingue38,b4baea5869b,7.0,959.3599853515625,4267.97021484375,228.6999969482422,4794.700012207031,-2942.39990234375,-154.20000076293945,-2642.7999877929688,3892.60009765625,-2848.0999755859375,128.0,121.0,False,0.02950706514972452,-2.3508559298353084,1.8758095576694036,146.0,False,12,False,11,True,,Genos ジェノス,b1d1eaf951b,6.0,-1243.1600341796875,4853.7998046875,17.010000228881836,10845.400390625,27.699999809265137,2.0999999344348907,-0.5999999865889549,-0.3999999910593033,-3.4999999403953552,255.0,128.0,,-0.009597329774190009,3.1396987812366275,5.7641878101522544e-05,True,255.0,False,14,False,12,
4,4982,157,False,0,5086.038270312695,2408.550048828125,1273.77001953125,184.92999267578125,-17023.900146484375,23480.2001953125,2898.5000610351562,3187.2000122070312,2546.4999389648438,-4399.5001220703125,0.0,-0.7023341879886517,-0.3276742026221826,2.1460294516690017,b4baea5869b,Mehdiingue38,7.0,2518.2900390625,1116.1600341796875,63.380001068115234,-8333.599853515625,19738.599853515625,2826.6000366210938,276.200008392334,-2118.5000610351562,2829.5999145507812,0.0,255.0,False,0.024448994124812155,1.855873198127673,-0.015892823699626454,True,143.0,False,14,False,11,,b1d1eaf951b,Genos ジェノス,6.0,3609.449951171875,159.80999755859375,96.94999694824219,-3092.6998901367188,16953.299560546875,-5606.300048828125,457.7000045776367,1208.1999969482422,765.5999755859375,255.0,128.0,,0.3065132572350459,2.3204646455366653,-0.21843336646119826,True,255.0,False,False,10,8,,enpitsu,76561198039309853,29.0,3155.39990234375,-3409.639892578125,97.9800033569336,5359.89990234375,16553.299560546875,-147.10000038146973,-5299.7998046875,1470.0999450683594,11.90000057220459,255.0,128.0,False,-0.6684439036604681,-1.8396921262850812,3.1388348652918796,0.0,False,10,False,10,True,,games5425898691,bf81d8692db,19.0,1336.6600341796875,1350.449951171875,17.010000228881836,-9110.30029296875,21115.80078125,2.0999999344348907,0.5000000074505806,0.09999999776482582,0.0,255.0,128.0,,0.00964350908169195,1.9781172030635041,5.053688868303712e-06,True,0.0,False,10,False,6,
5,6349,206,False,1,2175.7121101345942,-240.1199951171875,3284.47998046875,239.42999267578125,5008.900146484375,16344.200439453125,5476.9000244140625,34.50000047683716,1860.7000732421875,5704.000244140625,1.0,-0.5855094961938148,-3.119957212008602,-2.2260083308347363,bf81d8692db,games5425898691,19.0,-329.0400085449219,3040.64990234375,201.7899932861328,16919.69970703125,10900.899658203125,4623.399963378906,-0.0,-0.0,151.00000381469727,255.0,128.0,,-0.009714019539860449,2.462830650644222,-0.0005009887733103684,True,57.0,False,22,6,18,,76561198039309853,enpitsu,29.0,-51.779998779296875,-2429.5400390625,17.049999237060547,297.2999954223633,-6203.2000732421875,2.5,0.29999999329447746,0.5000000074505806,4.300000071525574,0.0,128.0,,-0.016966847034756902,1.5217352043750432,-5.688252620289266e-05,True,169.0,False,False,16,12,,Mehdiingue38,b4baea5869b,7.0,-984.2100219726562,4274.06982421875,17.040000915527344,1849.1999816894531,-1318.9999389648438,4.799999892711639,-1.5999999642372131,-6.3999998569488525,851.1000061035156,255.0,255.0,,-0.01708821026710905,-2.407910902292847,8.622621946052077e-05,226.0,False,36,4,30,True,,Genos ジェノス,b1d1eaf951b,6.0,-137.49000549316406,3647.6201171875,150.02999877929688,-1362.2000122070312,-17828.399658203125,3510.2999877929688,-421.50001525878906,48.69999885559082,42.69999980926514,255.0,144.0,False,0.2563813500192614,-1.480153134082102,0.0008648478473587855,True,0.0,False,10,False,8,
6,7043,232,False,0,4858.566459105096,3829.110107421875,4009.070068359375,446.6700134277344,-19793.299560546875,5963.599853515625,3607.39990234375,5951.500244140625,-595.9999847412109,-473.4000015258789,0.0,0.49993771875602655,-3.060212966363182,0.751924598293984,b1d1eaf951b,Genos ジェノス,6.0,4011.409912109375,3945.909912109375,287.6700134277344,-8296.900024414062,20993.00048828125,3782.6998901367188,2170.5999755859375,-103.10000419616699,2837.0001220703125,255.0,0.0,,-0.24776639562308633,1.9703897153720658,-1.5622787194239298,True,44.32448185900206,True,12,False,12,,b4baea5869b,Mehdiingue38,7.0,1921.8299560546875,1231.0899658203125,17.0,-5506.300048828125,8989.400024414062,16.299999952316284,-3.700000047683716,10.499999523162842,254.89999771118164,0.0,128.0,,0.017422583423078203,2.142936619408117,-0.0008320024380972203,True,92.0,False,4,48,42,,enpitsu,76561198039309853,29.0,948.7899780273438,4983.35009765625,17.030000686645508,-921.1000061035156,142.89999961853027,5.0,0.5000000074505806,-3.100000023841858,2.3999999463558197,,,,0.016915574561822896,-0.15508441106915505,-6.433901173607836e-05,255.0,False,18,False,14,True,,games5425898691,bf81d8692db,19.0,-1369.8900146484375,4040.0400390625,17.010000228881836,12237.7001953125,13985.400390625,2.0999999344348907,-1.0000000149011612,-1.0000000149011612,-199.40000534057617,255.0,102.0,,0.00958836362380313,0.8413905527466358,8.778131442685606e-05,True,180.0,False,30,6,26,
7,7407,245,True,0,817.5414124849098,-298.30999755859375,4582.2001953125,105.94000244140625,-10538.399658203125,21832.19970703125,11166.8994140625,4493.500061035156,3937.0001220703125,-554.7000122070312,0.0,1.191769333672591,-0.23152946604919716,1.6985474590979628,b1d1eaf951b,Genos ジェノス,6.0,-215.75,4424.9501953125,17.010000228881836,-9532.000122070312,16795.30029296875,-0.09999999776482582,-1.4000000059604645,2.3999999463558197,1105.4000091552734,255.0,255.0,,0.009585091494496193,2.094532798797307,0.00019151563261077652,True,126.20219348579326,True,14,False,14,,b4baea5869b,Mehdiingue38,7.0,1720.9200439453125,-5099.39013671875,147.27999877929688,-16416.600341796875,988.3000183105469,-7347.7001953125,2235.8999633789062,-1714.2999267578125,-780.1000213623047,255.0,1.0,,0.4742079906452021,3.0767779295688915,1.4590954808386434,True,236.20219348579326,True,4,54,48,,enpitsu,76561198039309853,29.0,-3848.820068359375,752.4299926757812,19.1200008392334,-1423.0999755859375,20430.699462890625,76.70000076293945,-29.40000057220459,236.90000534057617,-103.90000343322754,255.0,128.0,False,0.014382521015114115,1.6332435163390073,0.06718462867046092,255.0,False,24,False,20,True,,games5425898691,bf81d8692db,19.0,2035.8699951171875,4835.64990234375,17.010000228881836,-19378.599853515625,2723.2998657226562,-0.29999999329447746,-2.0000000298023224,0.19999999552965164,-171.49999618530273,255.0,128.0,,0.009601048596303946,2.9940762171731463,-1.1614530435223818e-05,True,120.81544951213301,True,34,6,30,
8,7970,256,True,1,4084.441423975931,-1397.6500244140625,1760.3800048828125,109.3499984741211,10564.49951171875,23811.59912109375,4866.000061035156,-678.8999938964844,-4774.89990234375,-975.5000305175781,1.0,1.083136113809185,-1.084312505742593,1.043957096218533,bf81d8692db,games5425898691,19.0,-1537.699951171875,1573.449951171875,16.989999771118164,7603.4002685546875,21613.1005859375,4.600000083446503,-0.0,0.19999999552965164,0.0,255.0,128.0,,-0.009585095973992404,1.9090695341882165,-2.6937160885808473e-05,True,82.0,False,8,False,8,,76561198039309853,enpitsu,29.0,-10.770000457763672,-1943.719970703125,17.049999237060547,782.2000122070312,-9031.900024414062,2.5999999046325684,0.7000000029802322,-0.0,0.0,128.0,128.0,False,-0.01680056895373119,-1.6572222135190966,9.160741559313699e-07,True,255.0,False,False,2,2,,Mehdiingue38,b4baea5869b,7.0,379.54998779296875,1219.77001953125,17.020000457763672,-3834.4000244140625,22678.1005859375,3.799999952316284,1.8000000715255737,-0.09999999776482582,-39.90000009536743,255.0,128.0,,-0.016875233525304997,1.4072274392921584,5.1234898709687396e-05,65.85547533599278,True,6,False,6,True,,Genos ジェノス,b1d1eaf951b,6.0,-2770.2900390625,97.02999877929688,17.010000228881836,2545.0,22665.10009765625,2.0999999344348907,0.5000000074505806,-0.0,-0.09999999776482582,255.0,128.0,,-0.009643558437960434,1.682636270491247,2.7067452418613113e-06,True,96.0,False,10,False,10,
9,8262,257,False,0,5179.39827995725,6.119999885559082,39.77000045776367,94.02999877929688,3391.6000366210938,29150.10009765625,1540.8000183105469,1099.000015258789,-356.30001068115234,-5179.4000244140625,0.0,-0.005132892022177968,-0.08636852006469461,0.018554540175069113,b1d1eaf951b,Genos ジェノス,6.0,-25.18000030517578,-205.6999969482422,58.869998931884766,3940.7000732421875,22460.400390625,2972.39990234375,-2815.8999633789062,-3176.4999389648438,2400.2999877929688,255.0,255.0,,0.03665621218235549,1.2146484920205654,-0.05019820917768037,True,0.0,False,6,False,5,,b4baea5869b,Mehdiingue38,7.0,23.329999923706055,-2915.4599609375,17.049999237060547,-400.8000183105469,4117.799987792969,2.5999999046325684,-0.29999999329447746,-0.3999999910593033,651.9999694824219,255.0,174.0,,0.01657721987446036,1.6346635636686944,7.912303662943283e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,30.0,-50.61000061035156,5167.240234375,17.049999237060547,-87.79999732971191,1906.9000244140625,2.5999999046325684,-0.5000000074505806,0.0,0.0,128.0,128.0,False,0.016308657661840125,-1.5246813439551932,-5.4721773215002976e-06,116.0,False,False,False,False,True,,games5425898691,bf81d8692db,19.0,121.4800033569336,402.94000244140625,81.5,-9255.399780273438,-20879.3994140625,2066.999969482422,4720.799865722656,-2814.89990234375,199.89999771118164,128.0,128.0,,0.6824455892764938,-1.793907578739601,0.22859229680008622,True,0.0,False,4,False,3,
