,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,170,0.0,False,0,5185.311616248433,-0.10000000149011612,32.66999816894531,105.95999908447266,-1063.3000183105469,21228.9990234375,6743.499755859375,4209.599914550781,-2100.800018310547,3723.599853515625,0.0,-0.04792462375258962,0.07688851265026724,0.0874376131964646,76561198039309853,enpitsu,25.0,22.950000762939453,-129.6999969482422,15.529999732971191,9234.000244140625,14973.599853515625,-305.0,-116.19999885559082,-299.3000030517578,2981.099853515625,255.0,255.0,,0.018623487556543732,1.123090476316706,-0.017151408253689084,True,0.0,False,False,False,False,,bf81d8692db,games5425898691,24.0,50.689998626708984,-4339.58984375,17.010000228881836,-2122.7000427246094,7196.9000244140625,2.3999999463558197,-0.29999999329447746,-0.3999999910593033,0.0,255.0,128.0,0.00946139011637057,1.857624891699875,3.26980343772424e-05,True,4,4,False,116.0,False,,EvO_Fakto-21,b9aced9ae4b,14,2036.5999755859375,2547.889892578125,17.010000228881836,-1807.7000427246094,-1898.6000061035156,0.0,0.19999999552965164,0.7000000029802322,133.100004196167,255.0,,,0.009475422458330022,-2.3433198588872735,9.219418071205733e-06,True,False,72.44267513675074,True,False,False,,TTV_Markinho191,1728827380407430719,8.0,1241.9300537109375,4245.2998046875,17.010000228881836,-10091.500244140625,955.8999633789062,2.3000000417232513,-1.1999999731779099,0.0,275.49999237060547,255.0,128.0,False,0.009530110398613522,3.078498847768876,-0.00023057945302574638,True,False,8.0,False,False,False,,
1,612,16.0,False,1,2415.3322406070424,2232.159912109375,3127.909912109375,260.75,-7535.7000732421875,7416.099853515625,8178.499755859375,5345.5999755859375,1634.2999267578125,2180.0999450683594,1.0,1.069498349750423,-2.3128886164353517,1.1844875913130852,b9aced9ae4b,EvO_Fakto-21,14.0,2266.469970703125,3044.3798828125,122.95999908447266,-4875.299987792969,12708.499755859375,633.1000137329102,-3081.0000610351562,1630.2999877929688,-4254.200134277344,128.0,255.0,,-0.17175689550613293,1.8407451507945276,-0.6428291878656689,True,224.0,False,4,False,3,,1728827380407430719,TTV_Markinho191,7.0,-3548.699951171875,2911.239990234375,17.010000228881836,7049.000244140625,-10354.200439453125,2.7000001072883606,0.19999999552965164,1.5000000596046448,-2220.2999877929688,255.0,0.0,-0.009500066302179257,-2.1204121919706207,1.5035725752029617e-05,True,8,8,False,61.0,False,,enpitsu,76561198039309853,25,3621.110107421875,3686.840087890625,17.030000686645508,-2695.8999633789062,895.2999877929688,1.5999999642372131,-0.19999999552965164,-1.1999999731779099,-1267.3999786376953,255.0,128.0,False,-0.016564915931553386,0.18715233208892457,-0.00022707847910005298,True,4,0.0,True,False,4,,games5425898691,bf81d8692db,24.0,568.0399780273438,4422.830078125,17.010000228881836,1349.9000549316406,3443.9999389648438,2.3000000417232513,-0.0,-0.09999999776482582,1877.5,255.0,255.0,,-0.009501468277383731,2.0445567379245917,8.435155465076965e-05,True,8,228.0,False,6,False,,False
2,711,19.0,True,1,1858.268628187114,-648.1300048828125,4106.16015625,202.6999969482422,14255.699462890625,23653.40087890625,5056.300048828125,1262.6000213623047,-2914.5999145507812,5090.199890136719,1.0,-1.072236200297149,-1.9874784090958633,-2.4846316474517574,1728827380407430719,TTV_Markinho191,7.0,-762.0399780273438,3933.070068359375,163.1199951171875,14184.69970703125,12931.199951171875,1997.2999572753906,1110.1000213623047,5377.5,-315.2000045776367,255.0,0.0,False,-0.08370194669671938,1.8814962921768943,0.6561397104214488,True,107.0,False,10,False,9,,b9aced9ae4b,EvO_Fakto-21,14.0,2133.22998046875,4341.81005859375,17.010000228881836,-9897.7001953125,359.90001678466797,2.800000011920929,-0.19999999552965164,-0.09999999776482582,-2228.0999755859375,128.0,0.0,-0.00963868966450442,0.08970924324630238,-1.6810918174303315e-05,True,4,4,False,246.0,False,,enpitsu,76561198039309853,26,-814.25,5295.3798828125,161.07000732421875,774.1999816894531,-1793.8999938964844,-4181.7999267578125,3015.8999633789062,2998.5000610351562,-3487.5,128.0,255.0,False,-0.5801990195118921,-1.341996813549348,-1.617015152905794,True,6,113.85796146751733,True,False,6,,games5425898691,bf81d8692db,24.0,1787.2900390625,4922.9501953125,44.72999954223633,3192.9998779296875,239.20000076293945,-177.80000686645508,-2719.2001342773438,-2037.7000427246094,35.39999961853027,255.0,0.0,,0.02931784288649442,-1.126967477877791,-1.1570759380814826,True,10,124.0,False,8,False,,
3,977,20.0,False,1,5171.731625823238,-2.9200000762939453,46.9900016784668,104.9000015258789,-519.1999816894531,22374.3994140625,5545.4998779296875,2637.0001220703125,2037.8999328613281,-4989.200134277344,1.0,0.06681186035930502,0.14743265507509407,-0.07440531815300769,1728827380407430719,TTV_Markinho191,7.0,52.08000183105469,-236.67999267578125,17.010000228881836,-10926.800537109375,16303.299560546875,2.3000000417232513,0.5999999865889549,-0.7999999821186066,924.4999694824219,255.0,189.0,,-0.009602995421052226,0.9590466827309868,0.00012019547373138036,True,0.0,False,False,False,False,,b9aced9ae4b,EvO_Fakto-21,14.0,-235.9199981689453,-2154.909912109375,17.010000228881836,-3295.7998657226562,9663.200073242188,2.3000000417232513,0.19999999552965164,-0.7000000029802322,1239.4000244140625,232.0,201.0,-0.009557072939969734,1.2298793252042846,0.00011220801317967286,True,False,False,False,116.0,False,,enpitsu,76561198039309853,25,24.350000381469727,3532.3798828125,17.049999237060547,27.699999809265137,-10464.000244140625,2.8999999165534973,0.19999999552965164,-0.5000000074505806,0.0,255.0,128.0,False,-0.016662927641307668,-1.5734867351804764,-4.631098321702907e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,24.0,-33.130001068115234,483.010009765625,61.08000183105469,-2347.2000122070312,-22137.80029296875,2902.0999145507812,2480.7000732421875,-1874.7999572753906,-1504.1000366210938,128.0,102.0,,-0.07460139158214671,-1.3489423976937036,0.05757850256213513,True,4,31.0,False,3,False,,
4,1398,35.0,True,1,2416.9553255253227,-224.30999755859375,2998.3701171875,106.8499984741211,-8117.1002197265625,28046.298828125,366.89998626708984,-5002.799987792969,1814.2999267578125,-2771.199951171875,1.0,-0.8326031209112532,2.6417410143417213,-2.160533113305026,1728827380407430719,TTV_Markinho191,7.0,-103.27999877929688,2858.909912109375,95.9000015258789,-2662.3001098632812,20891.201171875,2593.900146484375,1239.000015258789,2385.2000427246094,-599.5999908447266,255.0,128.0,,0.019248425268046983,1.365800403347238,0.0352908784546364,True,193.0,False,6,False,4,8.0,b9aced9ae4b,EvO_Fakto-21,14.0,-3464.949951171875,-345.3299865722656,16.989999771118164,-10403.599853515625,18415.999755859375,2.5999999046325684,-0.19999999552965164,0.19999999552965164,-1621.6000366210938,255.0,0.0,-0.009589718423091382,1.0940412115620308,-0.00017433173991435503,True,4,4,False,48.410898793128254,True,,enpitsu,76561198039309853,26,-544.719970703125,2878.300048828125,46.11000061035156,6804.2999267578125,21492.19970703125,3336.300048828125,-380.99998474121094,164.89999771118164,-2401.999969482422,255.0,0.0,,-0.02540432862079683,2.0563827049325045,-0.0005385327430180685,True,5,17.0,False,False,6,,games5425898691,bf81d8692db,24.0,-4002.760009765625,-873.6400146484375,81.19000244140625,5425.2001953125,19788.499755859375,-5195.5999755859375,-637.7999877929688,-2707.0999145507812,786.6999816894531,255.0,126.0,,-0.2572139708214315,1.836139001361143,0.7222284804121323,True,8,0.0,False,8,False,,
5,1677,36.0,False,0,5203.048407259979,0.5099999904632568,14.770000457763672,92.29000091552734,-1678.699951171875,25255.0,154.3000030517578,-482.90000915527344,-679.5999908447266,-5941.6998291015625,0.0,-0.01315196346240944,-0.11084216924409197,-0.008288332079585474,76561198039309853,enpitsu,26.0,35.130001068115234,-175.35000610351562,106.4000015258789,-9624.000244140625,20860.6005859375,-49.60000038146973,-5211.5997314453125,1265.199966430664,-1219.8999786376953,255.0,0.0,,0.9481755814591393,2.768457428750938,1.435497195148789,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,0.0,-5211.759765625,17.010000228881836,0.0,-4433.699951171875,2.3999999463558197,0.5999999865889549,0.0,0.0,255.0,,0.009307895008490451,1.5707874726900763,7.588230171302808e-06,True,False,False,False,116.0,False,,EvO_Fakto-21,b9aced9ae4b,14,-2.490000009536743,175.72999572753906,78.05999755859375,13810.899658203125,-14198.299560546875,3235.5999755859375,405.9000015258789,474.70001220703125,-1092.5,239.0,0.0,,0.06740661177828666,-0.8354544106023246,-0.004375619647991153,True,False,0.0,False,False,4,,TTV_Markinho191,1728827380407430719,7.0,2959.669921875,4147.2998046875,64.51000213623047,20497.19970703125,-743.0000305175781,-1474.4999694824219,1874.6000671386719,2856.400146484375,-1114.8999786376953,255.0,0.0,,-0.6134743652884571,-0.34892171640134784,0.26358603994811336,True,4,255.0,False,4,False,300.0,
6,2082,51.0,True,1,1577.1249185786642,531.77001953125,3605.510009765625,91.16999816894531,-11423.800048828125,16168.299560546875,0.0,-4799.5001220703125,-1550.5999755859375,3249.5999145507812,1.0,-0.5320002161717301,-2.4275772203166492,0.8866594531208629,1728827380407430719,TTV_Markinho191,7.0,705.4400024414062,3596.340087890625,117.08999633789062,-2433.6000061035156,20389.3994140625,2453.699951171875,1528.5000610351562,-5251.199951171875,-581.1000061035156,255.0,255.0,,-0.09230307361330554,1.271625012000915,-0.6334741278213141,True,132.0,False,8,False,5,,b9aced9ae4b,EvO_Fakto-21,14.0,610.8800048828125,2847.89990234375,17.010000228881836,20889.89990234375,4189.599914550781,2.7000001072883606,0.19999999552965164,-0.0,-1991.1000061035156,235.0,0.0,-0.009595140350964372,3.0205820127988754,-2.9465629861113505e-05,True,10,10,False,,False,,enpitsu,76561198039309853,26,-489.7699890136719,4356.08984375,40.349998474121094,14400.6005859375,17522.80029296875,3316.099853515625,-6.600000262260437,-6.9999998807907104,-1836.6999816894531,0.0,0.0,,-0.01676346422478835,2.352348475640234,-0.0006099447784976062,True,6,0.0,False,False,8,,games5425898691,bf81d8692db,24.0,192.80999755859375,3843.260009765625,82.36000061035156,19325.400390625,11822.099609375,3970.5999755859375,241.70000076293945,-663.3000183105469,-3249.2001342773438,255.0,0.0,,0.0499829219864191,3.038458445846203,0.006978813597602568,True,6,179.82798298199972,True,4,False,,
7,2710,64.0,True,1,1853.2130190735752,-509.7900085449219,3932.4599609375,115.88999938964844,14640.899658203125,26432.19970703125,6847.19970703125,2256.9000244140625,3348.0999755859375,4437.9998779296875,1.0,0.09293535193393031,-2.566298219960846,-1.9262721666292395,b9aced9ae4b,EvO_Fakto-21,14.0,-599.4400024414062,3713.419921875,71.0199966430664,9919.600219726562,20499.69970703125,3197.9998779296875,263.6000061035156,2101.199951171875,-2193.3999633789062,239.0,0.0,False,-0.028278319552565177,1.808713569742341,0.013764155410798644,True,137.0,False,12,False,11,,1728827380407430719,TTV_Markinho191,7.0,769.9199829101562,3719.85009765625,17.010000228881836,4375.5999755859375,-11800.50048828125,2.3999999463558197,-0.0,0.7000000029802322,0.0,255.0,128.0,-0.009532539731888627,-1.9258781777268985,5.16544670612372e-05,True,8,4,False,215.0,False,,enpitsu,76561198039309853,26,-3116.840087890625,4552.1298828125,17.440000534057617,4987.799987792969,-1005.9999847412109,-152.60000228881836,-372.40001678466797,-180.10000228881836,-5.600000023841858,255.0,128.0,False,-0.024095737631927388,-2.932330113798496,0.02627117238412583,True,2,0.0,False,False,2,,games5425898691,bf81d8692db,24.0,-1134.7099609375,4131.85986328125,17.0,11006.8994140625,-8381.099853515625,1.5999999642372131,0.19999999552965164,-0.0,2265.2999877929688,255.0,255.0,,-0.009558983167735463,-2.558662914421501,-3.469810436165779e-05,True,10,157.8963613253767,True,10,False,,
8,2976,65.0,False,1,5184.655016303712,5.570000171661377,32.380001068115234,98.19000244140625,3356.7999267578125,21876.201171875,2629.5001220703125,3363.2000732421875,-1818.5000610351562,4623.900146484375,1.0,-0.04511161083097727,-0.10324903550589025,-0.07399916180269056,1728827380407430719,TTV_Markinho191,7.0,-0.6299999952316284,-152.24000549316406,97.44000244140625,14985.10009765625,17345.50048828125,174.3000030517578,-3732.0999145507812,4034.4000244140625,-211.70000076293945,255.0,69.0,,-1.2101351307068982,1.5838578886556174,0.7896487335046171,True,0.0,False,4,False,3,,b9aced9ae4b,EvO_Fakto-21,14.0,-58.689998626708984,-2098.820068359375,17.010000228881836,-321.50001525878906,13023.399658203125,2.3000000417232513,-0.0,0.09999999776482582,12.200000286102295,241.0,128.0,-0.009568580736376158,1.544275856602558,-3.334314730965372e-05,True,False,False,False,116.0,False,,enpitsu,76561198039309853,26,-26.829999923706055,1963.3499755859375,17.049999237060547,148.59999656677246,-13668.1005859375,2.8999999165534973,0.29999999329447746,0.3999999910593033,0.0,255.0,128.0,,-0.016708671797095627,-1.5816840371986332,3.74946008521042e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,24.0,61.56999969482422,379.57000732421875,78.4000015258789,-5741.300048828125,-22084.599609375,2231.6000366210938,5346.7999267578125,-1288.699951171875,9.300000071525574,128.0,128.0,,-0.6858701259567502,-1.3356600998744825,0.0010903890675156205,True,4,0.0,False,3,False,,
9,2977,65.0,True,0,5327.22020353412,-17.170000076293945,-114.2300033569336,116.43000030517578,2266.1000061035156,18955.400390625,9116.400146484375,5964.0997314453125,-535.8000183105469,375.8000183105469,0.0,0.08433191135818784,0.31242343652798216,-0.04457675613780408,bf81d8692db,games5425898691,24.0,-24.190000534057617,-236.94000244140625,89.18000030517578,4933.699951171875,17576.800537109375,7.900000214576721,-4656.9000244140625,-73.4000015258789,2925.2999877929688,128.0,175.0,,1.2439836174771628,1.3392244657062875,-0.09873513452671544,True,0.0,False,4,False,3,,76561198039309853,enpitsu,26.0,25.600000381469727,-1848.72998046875,17.049999237060547,-150.39999961853027,13823.399658203125,2.8999999165534973,-0.29999999329447746,-0.3999999910593033,0.0,255.0,128.0,0.016708671797095627,1.5816840371986332,3.74946008521042e-05,True,False,False,False,116.0,False,,EvO_Fakto-21,b9aced9ae4b,14,58.689998626708984,2098.820068359375,17.010000228881836,321.50001525878906,-13023.399658203125,2.3000000417232513,0.0,-0.09999999776482582,12.200000286102295,241.0,128.0,,0.009568580736376158,-1.544275856602558,-3.334314730965372e-05,True,False,116.0,False,False,False,,TTV_Markinho191,1728827380407430719,7.0,0.6299999952316284,152.24000549316406,97.44000244140625,-14985.10009765625,-17345.50048828125,174.3000030517578,3732.0999145507812,-4034.4000244140625,-211.70000076293945,255.0,69.0,,1.2101351307068982,-1.5838578886556174,0.7896487335046171,True,4,0.0,False,3,False,,
