,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,False,1,5241.4732654703275,28.940000534057617,-29.260000228881836,96.51000213623047,-10930.10009765625,18598.199462890625,5869.0997314453125,4946.9000244140625,3335.7998657226562,-632.7999877929688,1.0,0.11594428749026982,0.0709910089181785,-0.15796598038032514,76561198039309853,enpitsu,27.0,117.52999877929688,-155.75999450683594,101.16999816894531,-13729.69970703125,18369.300537109375,325.09998321533203,-4468.900146484375,-3199.5001220703125,204.40000534057617,255.0,255.0,,-1.2892689276485212,0.820422512434937,0.09106586249624206,True,1,False,0.0,False,2,,bf81d8692db,games5425898691,20.0,-3537.360107421875,-2555.090087890625,17.010000228881836,-1183.6000061035156,-15180.10009765625,2.3000000417232513,-0.0,0.09999999776482582,2038.8999938964844,255.0,255.0,,-0.009598049992039701,-1.559483349784469,1.4374266606569685e-05,,False,27.899647417888847,True,False,False,,perovich03,7161128909422019723,16.0,-75.72000122070312,121.8499984741211,88.29000091552734,16435.6005859375,-11318.699951171875,2299.7999572753906,-4633.299865722656,1901.4999389648438,-2272.7999877929688,242.0,236.0,,-0.13891223624694393,-2.2292540288464244,-0.486994568712815,True,3,False,4,0.0,False,,diegoagds13,4494689699271527630,11.0,1915.1099853515625,2427.659912109375,17.010000228881836,-2615.10009765625,-2559.199981689453,2.0000000298023224,-0.0,-0.09999999776482582,-39.60000038146973,255.0,125.0,,-0.009466338673438011,-0.7760863324363757,-1.7815215999486646e-05,True,False,False,False,73.0,False,
1,173,0,False,False,0,5212.439661615072,23.09000015258789,9.229999542236328,92.4000015258789,4687.0001220703125,-2642.3001098632812,0.0,-1602.8999328613281,-757.2000122070312,266.200008392334,0.0,-0.31047883221979133,-0.06007015374252812,-0.4617849510331101,7161128909422019723,perovich03,16.0,5.599999904632568,-139.33999633789062,119.91000366210938,-6092.60009765625,-4157.0001220703125,3359.2001342773438,836.2000274658203,-4667.300109863281,-2786.7001342773438,238.0,242.0,,-0.1088510478696973,1.8988386682282317,-1.045629214438518,True,3,False,0.0,False,4,,4494689699271527630,diegoagds13,11.0,-1861.3800048828125,-2377.97998046875,17.010000228881836,4080.1998901367188,3604.2999267578125,2.0000000298023224,0.7000000029802322,0.5999999865889549,-411.89998626708984,255.0,117.0,,0.009492510882803472,0.7304158596053212,-3.8027798555237595e-05,True,False,103.0,False,False,False,,enpitsu,76561198039309853,27.0,-96.11000061035156,137.92999267578125,98.16000366210938,485.6999969482422,968.0999755859375,-171.8000030517578,4518.699951171875,3026.0000610351562,820.9999847412109,255.0,255.0,,1.0353951904977383,2.1110729213361346,2.989071007305328,True,1,False,2,0.0,False,,games5425898691,bf81d8692db,20.0,3536.090087890625,2697.340087890625,17.010000228881836,-1051.3999938964844,15849.89990234375,-0.29999999329447746,0.29999999329447746,-2.800000011920929,754.1999816894531,255.0,128.0,,0.009598598623459157,1.695263505926902,-0.00020451700413610436,,False,False,False,19.0,False,
2,231,2,False,False,0,5697.995301766191,768.4600219726562,-309.4700012207031,109.16000366210938,22218.798828125,18258.599853515625,8789.7998046875,5864.69970703125,-1227.0999908447266,-313.50000381469727,0.0,-0.6102935431864688,0.19600102076543677,-1.1354596184959873,4494689699271527630,diegoagds13,11.0,630.47998046875,-441.0400085449219,17.010000228881836,15655.799560546875,16667.2998046875,2.3000000417232513,0.9000000357627869,1.0999999940395355,-1556.0000610351562,255.0,0.0,,0.009590274058143979,0.7860150076896585,-0.0002698344935470175,True,False,False,21.0,False,False,,7161128909422019723,perovich03,16.0,-1568.2900390625,-841.7000122070312,17.049999237060547,-10502.7001953125,-5078.900146484375,3.1999999284744263,1.7000000178813934,0.7000000029802322,2234.2999267578125,255.0,250.0,,0.01671565896626078,-2.6535252530082474,0.0001870386214495381,False,4,0.0,False,False,4,,enpitsu,76561198039309853,27.0,622.4500122070312,-34.380001068115234,51.900001525878906,8317.000122070312,-4193.599853515625,3361.7999267578125,185.6999969482422,348.6000061035156,-1780.8000183105469,255.0,128.0,,0.03186908909277155,-0.5724732810190621,-4.731510583195829e-06,True,3,False,4,0.0,False,,games5425898691,bf81d8692db,21.0,1915.3699951171875,3637.85009765625,17.010000228881836,1500.3999328613281,-14534.69970703125,2.0999999344348907,0.3999999910593033,-3.6000001430511475,1254.1000366210938,255.0,243.0,,0.009593374488755128,-1.43558886061915,-6.162320929299258e-05,True,False,False,False,236.0,False,
3,324,5,False,False,1,9860.216455100783,-1832.72998046875,-4335.1201171875,308.0199890136719,19353.599853515625,9390.10009765625,4211.000061035156,2665.7000732421875,4477.900085449219,-2973.3999633789062,1.0,-0.6267732468788614,3.038103954903217,-1.0729807706265935,bf81d8692db,games5425898691,21.0,-1961.8800048828125,-4492.64013671875,226.07000732421875,13199.69970703125,3890.4000854492188,2643.2000732421875,-2530.0,-994.4999694824219,-4781.099853515625,255.0,131.0,,0.08260072539182918,2.2437231575038488,-0.7386311775335201,True,3,False,204.6921203649172,True,4,,76561198039309853,enpitsu,27.0,-3306.159912109375,-636.2999877929688,107.81999969482422,-1034.000015258789,-19103.299560546875,2128.800048828125,5485.5999755859375,395.6999969482422,38.09999942779541,255.0,128.0,,-1.1096272057955823,-1.6568108003605782,0.01447357790934737,True,5,,False,False,6,,perovich03,7161128909422019723,10.0,1991.3299560546875,4913.81982421875,15.640000343322754,-10886.099853515625,-8452.19970703125,-54.699997901916504,-832.6999664306641,-107.10000038146973,2056.199951171875,255.0,247.0,False,-0.009823137354309048,-0.7312079970728687,0.00722067460252933,True,6,False,6,255.0,False,,diegoagds13,4494689699271527630,10.0,-3111.830078125,561.2000122070312,17.0,14263.900146484375,-461.1000061035156,1.4000000059604645,0.19999999552965164,0.29999999329447746,-2213.6000061035156,255.0,0.0,False,-0.009565730977813052,-3.040303638344586,-1.4914819933769467e-05,True,False,False,False,211.17481265016778,True,
4,425,9,False,False,0,4658.833070256189,-3991.3798828125,1658.1400146484375,283.82000732421875,6025.2001953125,12528.1005859375,18034.200439453125,5190.9002685546875,-1004.8000335693359,-2836.300048828125,0.0,-0.3495953098628426,-1.5573749084843185,2.7056777043426345,4494689699271527630,diegoagds13,11.0,-3974.85009765625,1484.800048828125,55.66999816894531,-12920.799560546875,14292.7001953125,7676.7999267578125,-150.2999973297119,5444.4000244140625,-765.0,255.0,0.0,False,-0.43746978585835106,2.3058358269559123,0.41980491448587526,True,4,False,188.0,False,4,,7161128909422019723,perovich03,9.0,-3764.06005859375,-1881.9300537109375,17.059999465942383,-3346.199951171875,9650.0,2.3000000417232513,0.0,0.19999999552965164,-2725.7000732421875,255.0,2.0,False,0.01670821194423429,1.7984027677932446,8.200241122281976e-05,True,8,255.0,False,False,8,,enpitsu,76561198039309853,27.0,104.54000091552734,4166.4501953125,17.049999237060547,-5621.300048828125,179.50000762939453,2.5999999046325684,-0.29999999329447746,1.0000000149011612,0.29999999329447746,255.0,128.0,,0.016914522605301865,3.1097442012507046,-3.736590623418602e-05,True,6,False,6,,False,,games5425898691,bf81d8692db,21.0,-4079.1201171875,2924.169921875,412.9200134277344,37.200000286102295,-17824.7998046875,7879.69970703125,-10.0,-76.5999984741211,0.0,255.0,128.0,,-0.429069953961852,-1.5792802391811915,-1.5709896595174866,True,4,False,4,255.0,False,
5,565,14,False,False,0,1457.1996944804039,-2205.7099609375,4501.18017578125,541.9000244140625,10935.400390625,8676.300048828125,-4434.599914550781,-5513.3001708984375,2364.1000366210938,118.00000190734863,0.0,-0.35756689997987995,0.04676348536598631,0.6616296517548529,4494689699271527630,diegoagds13,11.0,-2352.429931640625,4376.509765625,484.1600036621094,8145.7000732421875,2674.1000366210938,3797.3001098632812,268.1999969482422,2451.199951171875,4725.10009765625,208.0,198.0,,-0.719777350889437,0.7019208880147314,0.12848565965338044,True,4,4,140.0,False,6,,7161128909422019723,perovich03,9.0,-1878.9100341796875,1840.6400146484375,17.059999465942383,5535.3997802734375,12351.600341796875,1.2999999523162842,-0.29999999329447746,-0.7000000029802322,-14.40000057220459,255.0,129.0,,0.016741667596289454,1.1468796620267145,8.090386841581241e-05,True,8,255.0,False,False,8,,enpitsu,76561198039309853,27.0,-1730.3199462890625,4589.509765625,301.2200012207031,-6469.0997314453125,-972.0999908447266,1982.4000549316406,0.0,-0.3999999910593033,5.600000023841858,,,,0.017364970723512715,-2.978368098890729,6.171815090824678e-05,True,6,2,8,,False,,games5425898691,bf81d8692db,21.0,1312.719970703125,4660.830078125,17.0,-8692.999877929688,12779.200439453125,3.4999999403953552,0.0,0.0,2043.0999755859375,255.0,255.0,,0.009576420233894562,2.2366185045878413,-6.518938826521413e-06,True,6,False,6,255.0,False,
6,603,15,False,False,1,9719.459642759146,1056.1500244140625,-4578.14013671875,121.33000183105469,15402.60009765625,20697.900390625,9301.900024414062,-137.5,-5685.30029296875,1912.5999450683594,1.0,1.312639812494255,2.3998452097574225,-2.0161399380597076,bf81d8692db,games5425898691,21.0,857.5399780273438,-4732.47021484375,17.0,20093.800048828125,8706.099853515625,1.0000000149011612,3.6000001430511475,1.4000000059604645,931.8000030517578,255.0,251.0,,-0.009602541383870108,2.720652620102533,5.9953092185430445e-05,True,6,False,179.83612895011905,True,6,,76561198039309853,enpitsu,27.0,2639.010009765625,-4451.7998046875,15.390000343322754,7519.4000244140625,1271.2000274658203,281.5999984741211,-3.3000001311302185,23.499999046325684,11.000000238418579,255.0,,,-0.014237704241382243,2.9722967768948334,-4.260822271153104e-05,True,6,,False,2,8,,perovich03,7161128909422019723,9.0,1178.56005859375,-3977.780029296875,170.3800048828125,64.29999828338623,-22414.7998046875,2770.5999755859375,2563.3999633789062,4846.499938964844,435.2000045776367,253.0,251.0,,-0.20770127193660853,-1.2096625897686986,-1.0173821986225056,True,9,False,10,207.0,False,,diegoagds13,4494689699271527630,11.0,1247.010009765625,-4612.43017578125,344.739990234375,-9624.600219726562,-630.2999877929688,-5477.39990234375,-1426.1000061035156,-2533.800048828125,-64.89999771118164,153.0,40.0,,-0.2715004234128686,0.46548211669500983,0.5815072598669747,True,4,4,6,118.07445160804255,True,
7,606,15,False,False,0,801.8318750740647,-1212.22998046875,4403.16015625,213.39999389648438,-20466.400146484375,23601.10107421875,12609.300537109375,3591.099853515625,1321.4999389648438,4621.400146484375,0.0,-1.0794735979585184,-0.48399538287851807,2.653142267883884,4494689699271527630,diegoagds13,11.0,-1180.6199951171875,4615.509765625,305.739990234375,10211.300048828125,332.20001220703125,-6160.8001708984375,1555.2000427246094,3141.099853515625,-357.79998779296875,156.0,11.0,,0.48912808364450866,-0.4792399223140614,0.5843677745636886,True,4,4,108.61186239027207,True,6,,7161128909422019723,perovich03,9.0,-1178.9300537109375,4127.35986328125,173.7100067138672,-47.69999980926514,22453.60107421875,-65.10000228881836,-2555.8999633789062,-4850.799865722656,432.2999954223633,252.0,250.0,,0.2508537063895031,1.132063826946082,-1.523433261902519,True,9,207.0,False,False,10,,enpitsu,76561198039309853,27.0,-2691.110107421875,4442.9599609375,16.559999465942383,-8037.39990234375,-1372.4000549316406,108.10000419616699,2.5,-15.499999523162842,3.400000035762787,255.0,,,0.0156856721826485,-2.9718949330159115,-3.224956030467852e-06,True,6,2,8,,False,,games5425898691,bf81d8692db,21.0,-1120.219970703125,4574.72998046875,16.06999969482422,-15519.49951171875,-13233.499755859375,129.89999771118164,-219.0999984741211,-241.8000030517578,1876.6000366210938,255.0,159.0,,0.00711501007339714,-2.3316756635744667,-0.018063435951589345,True,6,False,6,170.37353973234855,True,
8,728,20,False,False,1,5915.303193594783,2466.070068359375,-563.1300048828125,220.64999389648438,-5091.499938964844,15853.00048828125,8462.100219726562,5415.7000732421875,1341.9000244140625,-2206.6000366210938,1.0,-0.12034433189528801,1.6544869476127972,0.029182567324755104,bf81d8692db,games5425898691,21.0,2470.090087890625,-631.8900146484375,78.0999984741211,-8574.7998046875,18259.000244140625,4156.7999267578125,1247.5,742.9000091552734,627.0000076293945,255.0,116.0,,0.08107198705528355,0.9917170832883166,-0.003553999563746808,True,6,False,101.07258489311381,True,7,,76561198039309853,enpitsu,27.0,2137.64990234375,1091.9300537109375,17.049999237060547,-22665.0,-3667.0999145507812,-2.3000000417232513,-2.3999999463558197,-0.09999999776482582,327.79998779296875,255.0,128.0,False,-0.0167954191313202,-0.19118061039159814,-0.00022686324215381756,True,6,218.0,False,2,8,,perovich03,7161128909422019723,9.0,-30.65999984741211,68.79000091552734,95.9800033569336,259.6999931335449,22962.19970703125,-120.9000015258789,-5480.4998779296875,-459.1999816894531,-54.699997901916504,255.0,73.0,,-1.4511536938055356,-0.23116412384546536,1.7341411187235907,False,11,False,14,31.0,False,,diegoagds13,4494689699271527630,11.0,2781.429931640625,2126.3798828125,17.0,3035.5999755859375,22753.798828125,3.400000035762787,-0.0,-0.19999999552965164,113.00000190734863,238.0,134.0,,-0.009604409409042997,1.6985575193055822,3.545534834762104e-05,False,6,4,8,19.0,False,
9,800,22,False,False,0,8522.73138995156,-1253.97998046875,-3375.2099609375,199.0399932861328,-27972.2998046875,-121.40000343322754,-827.7999877929688,-3596.0000610351562,-4228.399963378906,2277.7999877929688,0.0,0.07646312713928219,2.263168941229187,2.364901353768162,7161128909422019723,perovich03,9.0,-1088.4100341796875,-3452.0,173.61000061035156,-16074.200439453125,-4462.699890136719,1928.9999389648438,2376.6000366210938,-3154.5999145507812,-3827.39990234375,255.0,245.0,,0.3128125873309751,2.6515903969551275,-0.5375407605313057,True,13,False,100.0,False,16,,4494689699271527630,diegoagds13,11.0,-1374.9599609375,-3749.320068359375,17.010000228881836,8050.30029296875,15477.5,2.0999999344348907,-0.09999999776482582,-0.5000000074505806,-955.1999664306641,244.0,28.0,False,0.009592773320913545,1.0951639183152615,-0.00026067382793440463,True,6,243.0,False,4,8,,enpitsu,76561198039309853,27.0,926.3900146484375,-3122.56005859375,17.049999237060547,-11514.89990234375,-1332.7999877929688,3.6000001430511475,-0.7999999821186066,0.0,-2775.8999633789062,255.0,0.0,False,0.01671874479404926,-3.140076511574225,1.8069279940748844e-05,True,6,2,8,218.0,False,,games5425898691,bf81d8692db,21.0,-1508.9599609375,-2939.830078125,17.010000228881836,4766.199951171875,-7597.39990234375,2.3999999463558197,0.19999999552965164,0.0,2489.4000244140625,255.0,255.0,,0.009509998892174215,-0.9695567725086227,-1.5169629036836237e-05,True,6,False,8,87.0,False,
