,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,172,0,False,False,0,5200.980432224278,5.130000114440918,17.68000030517578,94.45999908447266,6522.0001220703125,30254.49951171875,4257.699890136719,4771.7999267578125,-1235.8999633789062,-1528.8999938964844,0.0,-0.010043205553596564,-0.012940031843862212,0.03983414889909004,bf81d8692db,games5425898691,20.0,-50.38999938964844,-259.95001220703125,54.599998474121094,4742.5,22347.7001953125,2654.5001220703125,-2547.2000122070312,373.8999938964844,-220.40000915527344,255.0,155.0,0.054986399879916936,1.2469713569144605,-0.0033152612539812123,True,0.0,False,4,3,False,,76561198039309853,enpitsu,25.0,0.0,-2673.989990234375,17.049999237060547,0.0,12604.69970703125,2.7000001072883606,0.19999999552965164,0.0,0.0,255.0,255.0,,0.016754405483581963,1.5707596451795003,7.262847108554872e-06,True,2,False,2,146.0,False,,cold,76561198861492046,16,429.3699951171875,621.1799926757812,19.520000457763672,-11085.999755859375,-16464.100341796875,2959.2001342773438,2.3000000417232513,3.700000047683716,-263.1999969482422,255.0,0.0,,0.01678733325091993,-2.15982064195647,-3.736756020976378e-05,True,0.0,False,3,False,False,,zeeUUuuUUUuu,76561198163023541,12.0,0.0,4445.83984375,17.010000228881836,0.0,3193.2998657226562,1.899999976158142,-3.100000023841858,0.0,0.0,255.0,,,0.009468113676140606,-1.5707881892427578,3.87095515291164e-08,True,False,False,107.0,False,False,,
1,176,0,False,False,1,5604.754271464885,22.700000762939453,-396.29998779296875,172.49000549316406,25036.79931640625,-18295.50048828125,9710.800170898438,1257.5,-1168.8999938964844,-5749.0997314453125,1.0,0.04159960049138686,0.6348735620382465,0.4012077014593953,76561198861492046,cold,16.0,-212.22999572753906,-309.6700134277344,83.66999816894531,10693.699951171875,16151.800537109375,2520.2000427246094,-1557.7999877929688,3657.60009765625,-3800.5999755859375,255.0,128.0,-0.17650052473349093,2.4584470584240274,0.03669719291828284,True,0.0,False,4,3,False,,76561198163023541,zeeUUuuUUUuu,12.0,-0.44999998807907104,-4458.6298828125,17.010000228881836,-193.09999465942383,-240.6999969482422,1.5999999642372131,-0.7000000029802322,2.5999999046325684,529.5999908447266,255.0,255.0,,-0.009391491424009826,1.5570254374332413,7.992526347858311e-05,True,False,False,False,107.0,False,,enpitsu,76561198039309853,25,-0.0,2459.699951171875,17.049999237060547,-0.0,-13070.999755859375,2.7000001072883606,-0.19999999552965164,-0.0,0.0,255.0,255.0,,-0.016754405483581963,-1.5707596451795003,7.262847108554872e-06,True,146.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-21.309999465942383,-91.4800033569336,84.01000213623047,-3917.0001220703125,-19433.900146484375,119.49999809265137,5499.1998291015625,86.80000305175781,-35.19999980926514,255.0,182.0,,-1.178256673424502,-0.9115716591889382,-0.66218314496104,True,4,3,0.0,False,False,,
2,256,3,False,False,1,9911.614184524871,2254.31005859375,-4678.10009765625,216.94000244140625,11940.30029296875,-11953.800048828125,406.1000061035156,3904.8001098632812,-4349.2999267578125,703.0000305175781,1.0,0.7480077532807139,3.0416771695928793,0.7410148441367473,76561198163023541,zeeUUuuUUUuu,11.0,2062.300048828125,-4583.02001953125,148.66000366210938,8975.700073242188,-7479.2999267578125,3294.7000122070312,-2935.8999633789062,4178.299865722656,-764.1999816894531,128.0,128.0,0.03029130688300537,-2.0942617116019324,-0.6402180772476623,True,89.0,False,4,False,False,,76561198861492046,cold,16.0,1386.7099609375,1017.219970703125,17.049999237060547,10966.300048828125,-3943.9999389648438,3.1999999284744263,-0.29999999329447746,0.29999999329447746,1836.9999694824219,255.0,255.0,,-0.016692210593500907,-2.802553610876545,0.00027913948523736935,True,4,False,4,0.0,False,,enpitsu,76561198039309853,25,2990.010009765625,4451.0498046875,17.049999237060547,-7285.0,17921.199951171875,3.1999999284744263,-0.19999999552965164,0.19999999552965164,2144.2999267578125,255.0,255.0,False,-0.016759428327443593,1.0986336230301204,-5.659480731809194e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,21.0,1644.3800048828125,-2200.489990234375,17.010000228881836,1166.8000030517578,-12833.199462890625,2.199999988079071,-0.29999999329447746,2.5999999046325684,1929.7000122070312,255.0,173.0,,-0.009563354478000123,-1.733584743873245,-3.12805128934034e-05,True,4,4,31.0,False,False,,False
3,310,5,False,False,0,3053.13287584271,-3760.080078125,4082.330078125,145.14999389648438,-8201.799926757812,1204.8999786376953,11975.6005859375,-1487.5,-5780.10009765625,613.6000061035156,0.0,0.0458220895946991,-1.279002851809691,-2.181343260010285,bf81d8692db,games5425898691,21.0,-3565.2900390625,3974.639892578125,106.5199966430664,-10733.499755859375,6561.099853515625,2733.800048828125,2353.3999633789062,1567.7000427246094,439.70001220703125,255.0,128.0,-0.3731605643134917,2.6495328320681395,-0.20258473656596018,True,61.0,False,6,4,False,,76561198039309853,enpitsu,25.0,-2000.030029296875,-3391.1298828125,17.059999465942383,-2855.10009765625,13734.89990234375,1.8000000715255737,-0.19999999552965164,1.7000000178813934,-1916.7999267578125,255.0,128.0,,0.01676837531192252,1.7438397564869696,-0.00023039487280914031,True,2,False,2,255.0,False,,cold,76561198861492046,16,-3562.419921875,564.3699951171875,17.049999237060547,41.79999828338623,18628.599853515625,-2.199999988079071,0.0,-0.7000000029802322,-20.199999809265137,255.0,128.0,,0.016785070998769268,1.5662792253478446,4.5956154314583246e-05,True,223.66764721050055,True,4,False,4,,zeeUUuuUUUuu,76561198163023541,11.0,-2544.169921875,5012.8798828125,32.68000030517578,6167.8997802734375,2222.5,1047.2000122070312,1977.2000122070312,-1319.7999572753906,1995.2999877929688,255.0,255.0,True,-0.18859484143045646,0.42827076344345366,0.2956671294456486,True,4,False,89.0,False,False,,
4,400,8,False,False,1,8344.038524923752,3519.75,-2780.7900390625,109.23999786376953,1252.5,21236.79931640625,235.79999923706055,1266.1000061035156,4192.60009765625,27.699999809265137,1.0,0.35240186998394213,1.349425786249443,-1.5677275630838767,76561198163023541,zeeUUuuUUUuu,11.0,3512.639892578125,-2925.050048828125,15.4399995803833,2589.2999267578125,12810.0,-1296.7999267578125,-3386.4999389648438,-3014.2999267578125,2472.4000549316406,255.0,128.0,-0.034339173472514625,1.7227363123607315,-0.030447503579788635,True,236.2317849487387,True,4,False,False,,76561198861492046,cold,16.0,1960.27001953125,-4465.009765625,17.059999465942383,2032.5,12130.999755859375,1.8000000715255737,1.0000000149011612,5.199999809265137,-2076.7999267578125,255.0,128.0,False,-0.016714834271795848,1.8119280136479876,5.77107582981027e-05,True,4,False,4,250.0,False,,enpitsu,76561198039309853,25,2179.0400390625,1057.8299560546875,17.059999465942383,2539.2999267578125,-3496.7001342773438,1.5000000596046448,-0.19999999552965164,0.3999999910593033,1951.9000244140625,255.0,255.0,,-0.01663143852134702,-2.1167737191728704,0.00010865689690294663,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,3734.68994140625,-2249.93994140625,16.950000762939453,-2847.39990234375,-4761.300048828125,16.00000023841858,-0.29999999329447746,-31.30000114440918,1356.199951171875,255.0,190.0,,-0.0085896565797759,-1.0435283010796164,-0.0014650340139174595,True,6,4,61.0,False,False,,False
5,441,9,False,False,0,5909.096720199314,-3744.239990234375,-37.349998474121094,117.37999725341797,-8730.399780273438,12874.7998046875,11282.60009765625,5778.3001708984375,167.09999084472656,1607.1000671386719,0.0,-0.5898074629876167,-1.2082554109153638,0.17153039538813092,76561198039309853,enpitsu,25.0,-3719.419921875,-153.5399932861328,14.180000305175781,-6599.89990234375,11923.499755859375,135.39999961853027,365.6999969482422,-548.8000106811523,-3562.7999877929688,255.0,0.0,0.021867388824910333,1.931419378150346,0.046893612953783255,True,193.0,False,2,2,False,,bf81d8692db,games5425898691,20.0,-2734.18994140625,2090.0400390625,17.0,5283.599853515625,-13605.30029296875,3.3000001311302185,0.09999999776482582,-0.5000000074505806,635.2000045776367,255.0,195.0,,0.009592590770690525,-1.20350271567941,0.00015990400170541044,True,7,False,4,31.0,False,,cold,76561198861492046,16,-1586.739990234375,2573.77001953125,17.059999465942383,495.29998779296875,-13944.300537109375,1.899999976158142,0.0,-0.7999999821186066,-2136.7999267578125,255.0,0.0,False,0.016761935794192277,-1.589439907864944,-9.521967567703813e-05,True,250.0,False,4,False,4,,zeeUUuuUUUuu,76561198163023541,11.0,-3736.860107421875,478.6700134277344,132.6999969482422,-624.7999954223633,-22463.798828125,2767.2000122070312,80.60000419616699,5469.89990234375,568.1999969482422,128.0,255.0,False,0.03085840734797611,-1.543115921048661,-0.5264191473517039,True,6,3,129.3028904520054,True,False,,
6,509,12,False,False,0,3434.864304929968,-2921.27001953125,2365.72998046875,311.1700134277344,-638.3000183105469,20885.10009765625,2310.2999877929688,5104.100036621094,2578.800048828125,1815.5999755859375,0.0,0.6366785209884882,0.254795585878559,1.6664929077941022,76561198039309853,enpitsu,25.0,-2901.239990234375,2160.739990234375,196.97999572753906,-959.3000030517578,19293.00048828125,2253.5000610351562,-1790.5999755859375,-1482.7999877929688,1147.6000213623047,255.0,255.0,-0.054773176937694366,1.5048038754204647,-0.023804982372502177,True,145.0,False,4,3,False,,bf81d8692db,games5425898691,21.0,68.68000030517578,-1959.8399658203125,106.63999938964844,16975.799560546875,-14261.199951171875,-135.2999973297119,3381.7999267578125,4335.799865722656,-114.30000305175781,255.0,128.0,,-1.1480859885721886,2.432904628254187,-3.0908400952734842,True,10,False,7,0.0,False,,cold,76561198861492046,16,-2079.72998046875,4168.81005859375,169.6999969482422,7259.0997314453125,16823.800048828125,-154.49999809265137,-4839.89990234375,2611.6000366210938,-64.49999809265137,128.0,128.0,False,-1.240585846006975,1.1102929769351837,-0.036278323313055576,True,255.0,False,6,False,5,,zeeUUuuUUUuu,76561198163023541,11.0,-2112.409912109375,-1952.1700439453125,17.0,3662.5,21674.49951171875,1.1999999731779099,-0.09999999776482582,0.0,2001.6000366210938,255.0,255.0,False,0.009591734292124565,1.4812108770128014,-9.888198499177738e-06,True,6,4,77.0,False,False,,
7,542,13,False,False,0,2110.736849121801,-2984.800048828125,4836.47998046875,133.6699981689453,6800.0,6232.80029296875,9521.500244140625,-4588.900146484375,628.3000183105469,3813.900146484375,0.0,0.5472158052458764,1.1765217643290675,2.6294992654763094,76561198039309853,enpitsu,25.0,-2926.639892578125,4611.56005859375,75.06999969482422,-140.0,19646.400146484375,-4048.800048828125,-707.9000091552734,-365.0,480.8000183105469,255.0,128.0,-0.09298163155677411,1.7105570972710953,0.3446388217058621,True,145.0,False,4,4,False,,bf81d8692db,games5425898691,21.0,2213.409912109375,-3741.52001953125,17.010000228881836,17233.00048828125,-14239.49951171875,2.0999999344348907,0.29999999329447746,-0.5000000074505806,16.00000023841858,255.0,135.0,,0.00961338581075399,-0.6906885864760984,-3.573431727990976e-05,True,10,False,8,0.0,False,,cold,76561198861492046,16,-1490.1800537109375,5082.85009765625,104.70999908447266,3015.1998901367188,628.1999969482422,650.8999633789062,363.6000061035156,-620.2999877929688,-2400.5999755859375,255.0,0.0,True,-0.7967125702982192,0.4839866462198109,0.9761121349151779,True,255.0,False,6,False,6,,zeeUUuuUUUuu,76561198163023541,11.0,-2373.639892578125,805.469970703125,17.0,-6289.5001220703125,20903.701171875,3.3000001311302185,0.0,0.5999999865889549,8.00000011920929,255.0,128.0,False,0.009595632430764936,1.864123073535552,-6.324117141035686e-05,True,6,4,107.0,False,False,,
8,570,14,False,False,0,1354.755137792022,-2241.919921875,4985.52978515625,661.6799926757812,13611.500244140625,-4713.800048828125,677.6999664306641,-5432.0001220703125,-852.6999664306641,1355.5999755859375,0.0,0.5204788445721829,1.1378526999563905,2.8864101042031076,76561198039309853,enpitsu,25.0,-2445.860107421875,5098.31982421875,666.8900146484375,10632.7001953125,-3058.5000610351562,-374.70001220703125,24.500000476837158,3026.199951171875,53.60000133514404,128.0,128.0,0.1521162382440522,0.012994838064828242,1.571429731683719,True,136.0,False,6,4,False,,bf81d8692db,games5425898691,21.0,3958.510009765625,-3594.56005859375,48.75,7016.5997314453125,18578.900146484375,3521.199951171875,130.10000228881836,-3029.4000244140625,2718.3999633789062,255.0,255.0,,-0.15335133477752552,1.2531125532926328,-0.4868607488851512,True,10,False,8,233.07710113063933,True,,cold,76561198861492046,16,-987.3200073242188,5102.93994140625,214.60000610351562,6320.30029296875,-3.6000001430511475,1632.5999450683594,-3.799999952316284,-2661.9000244140625,-6.200000047683716,128.0,255.0,False,-0.9292981535494735,0.02761453251421483,1.548754923824649,True,255.0,False,6,False,6,,zeeUUuuUUUuu,76561198163023541,11.0,-3005.719970703125,2894.75,17.0,-6222.0001220703125,20914.3994140625,3.400000035762787,0.7000000029802322,-1.899999976158142,-279.4000053405762,255.0,0.0,,0.009595568885425808,1.862241005410031,-7.227123643460054e-05,True,6,4,107.0,False,False,,False
9,625,16,False,False,1,9419.16019798683,-217.00999450683594,-4213.169921875,274.55999755859375,-27823.30078125,5870.10009765625,2211.0000610351562,-149.60000038146973,-93.90000343322754,-3174.7000122070312,1.0,0.6408889649177107,2.6402815458867908,2.9444471089251523,76561198163023541,zeeUUuuUUUuu,11.0,34.150001525878906,-4272.18994140625,210.08999633789062,-22961.79931640625,1078.3999633789062,769.1000366210938,2254.600067138672,-3726.0000610351562,1306.9999694824219,255.0,255.0,0.24504981666866407,0.33246723627449637,0.2739867513394473,True,0.0,False,8,5,False,,76561198861492046,cold,16.0,-245.1300048828125,-5175.7998046875,17.010000228881836,-11172.099609375,9107.999877929688,3.400000035762787,-3.3000001311302185,1.0999999940395355,-886.2000274658203,255.0,128.0,False,-0.01671807353689206,0.7478936535370763,0.0002028390914160697,True,6,False,6,179.80224499138453,True,,enpitsu,76561198039309853,25,1052.27001953125,-4427.41015625,17.030000686645508,-1491.199951171875,9368.800048828125,1.5000000596046448,-0.09999999776482582,-0.3999999910593033,2433.3999633789062,255.0,128.0,False,-0.0166723996064127,1.3826467302015235,3.2759890016372493e-05,True,79.59283421629219,True,6,False,4,,games5425898691,bf81d8692db,21.0,-3340.64990234375,-739.6099853515625,17.010000228881836,6174.7998046875,-21756.201171875,2.0999999344348907,-0.19999999552965164,0.5999999865889549,377.99999237060547,255.0,128.0,,-0.009595634797385432,-1.8814710266430381,-0.00012676300337407425,True,10,8,255.0,False,False,,
10,658,17,False,False,0,4634.151523403114,3455.8798828125,3547.360107421875,105.58000183105469,15609.89990234375,22654.29931640625,7214.5001220703125,2474.4000244140625,4556.400146484375,3019.2999267578125,0.0,-0.5356300712300602,-0.12992837546920388,3.0340080534047678,bf81d8692db,games5425898691,21.0,3467.1201171875,3393.030029296875,50.540000915527344,14678.1005859375,15618.00048828125,3027.2000122070312,3439.2999267578125,2641.099853515625,-3382.9998779296875,255.0,128.0,0.000994520162034029,0.7321453389453192,0.08350505978187146,True,198.64023208618158,True,11,8,False,,76561198039309853,enpitsu,25.0,-763.6500244140625,2767.389892578125,17.030000686645508,6488.599853515625,-12619.300537109375,5.899999737739563,-0.5999999865889549,0.9000000357627869,2522.7999877929688,255.0,255.0,False,0.016784441596023002,-0.9998127863304345,8.403897052150303e-05,True,6,False,4,81.0,False,,cold,76561198861492046,16,1969.800048828125,4546.4501953125,17.040000915527344,15962.39990234375,-402.79998779296875,3.8999998569488525,0.3999999910593033,0.0,4.399999976158142,255.0,128.0,False,0.016773405819324634,-0.024683105161954294,-3.976794173500993e-05,True,159.0,False,6,False,6,,zeeUUuuUUUuu,76561198163023541,11.0,2466.77001953125,4175.02978515625,104.83999633789062,21276.298828125,-833.3999633789062,-3617.0999145507812,-540.6999969482422,624.5999908447266,206.20000839233398,128.0,0.0,,-0.6556653911352698,0.0029420502081610265,0.43331599259313286,True,8,6,0.0,False,False,,
