,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,169,0,False,False,0,5150.955602627539,19.139999389648438,70.98999786376953,103.08999633789062,6795.3997802734375,23086.69921875,3342.9998779296875,4514.4000244140625,-1274.800033569336,3740.7998657226562,0.0,-0.05987318687595959,0.13686200479087465,0.16698588018269467,b497dcf8b2b,あSENPAIあ,18.0,-55.15999984741211,-112.22000122070312,82.08000183105469,7119.0997314453125,18774.89990234375,1401.9000244140625,-3849.8001098632812,480.9000015258789,-3898.2998657226562,255.0,240.0,,0.8095014039031964,0.5243062524545143,-1.097828762761608,True,4,3,False,0.0,False,,b26c0f948eb,死.ツ,19.0,3.259999990463257,-1889.97998046875,17.049999237060547,1190.4000091552734,13679.000244140625,2.5999999046325684,0.0,0.0,3.1999999284744263,255.0,128.0,,0.016739583444238166,1.4843993454086415,1.8434701903919483e-06,False,False,False,116.0,False,False,,enpitsu,76561198039309853,26.0,5.380000114440918,3661.530029296875,17.049999237060547,74.89999771118164,-10054.400024414062,2.7000001072883606,0.7000000029802322,0.0,0.0,255.0,128.0,False,0.016617152881558694,-1.563326002967571,-6.597802860399098e-06,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,17.0,78.61000061035156,346.7099914550781,85.56999969482422,-5787.1002197265625,-22052.19970703125,2329.7999572753906,5440.4998779296875,-802.9000091552734,74.49999809265137,128.0,137.0,0.7549363507025144,-1.710668392266267,0.008856891372899528,True,0.0,False,4,3,False,,
1,171,0,False,False,1,5281.887892408355,-59.40999984741211,-54.7599983215332,178.52999877929688,-14419.300537109375,-2999.5001220703125,12002.39990234375,-5744.000244140625,111.49999618530273,-1730.0,1.0,0.05704661722349366,-0.30010008947639777,0.12151965323470654,bf81d8692db,games5425898691,17.0,-32.77000045776367,-176.75999450683594,95.54000091552734,4914.700012207031,17038.399658203125,-143.29999923706055,-5440.5999755859375,800.5999755859375,88.99999618530273,128.0,156.0,,-1.4507379497242043,1.655733458693054,0.05610131083039848,True,4,3,False,0.0,False,,76561198039309853,enpitsu,26.0,-6.130000114440918,-3558.010009765625,17.049999237060547,-78.80000114440918,10593.900146484375,2.7000001072883606,-0.7999999821186066,-0.0,0.0,255.0,128.0,False,-0.016624753654150396,1.563326001864629,1.059973628546524e-06,True,False,False,116.0,False,False,,あSENPAIあ,b497dcf8b2b,18.0,7.110000133514404,12.119999885559082,89.87000274658203,-5069.599914550781,-4666.400146484375,1457.2999572753906,-3754.2999267578125,-395.6999969482422,-3999.8001098632812,255.0,248.0,,-0.8803407106882022,-0.03662565865076685,-0.7700848318446613,True,4,0.0,False,3,False,,死.ツ,b26c0f948eb,19.0,-13.199999809265137,1775.2900390625,17.049999237060547,-1197.2000122070312,-13829.200439453125,2.5999999046325684,-0.0,-0.0,0.7000000029802322,255.0,128.0,-0.016739583662521217,-1.4845311954837246,2.9466789767719075e-06,False,116.0,False,False,False,False,,
2,279,4,False,False,0,5545.676504718318,3124.8798828125,1320.699951171875,96.62999725341797,-9219.69970703125,16987.80029296875,591.1000061035156,-968.7000274658203,-5916.5997314453125,234.79999542236328,0.0,0.25095644953410434,0.22057028359138764,-1.9079353739669274,b26c0f948eb,死.ツ,18.0,3210.639892578125,1110.77001953125,16.700000762939453,-4663.900146484375,12458.599853515625,41.79999828338623,397.09999084472656,-207.5,25.199999809265137,255.0,128.0,,0.030002047100042895,1.9297068831329134,0.015004684313615922,,False,False,False,127.06980644246586,True,,b497dcf8b2b,あSENPAIあ,18.0,2718.409912109375,-2801.340087890625,17.049999237060547,6752.80029296875,-18004.49951171875,2.5,-0.09999999776482582,0.09999999776482582,0.0,255.0,,,0.016783682384072227,-1.2119645469623188,1.9951404816011695e-05,,4,False,,False,4,,enpitsu,76561198039309853,26.0,1875.719970703125,5075.169921875,83.02999877929688,-10567.099609375,-5386.099853515625,-8406.199951171875,-5489.4000244140625,-303.8999938964844,152.60000228881836,255.0,255.0,,0.6628354419709096,-2.5626699364034895,-0.6950788048109771,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,18.0,-3619.139892578125,57.27000045776367,17.010000228881836,-15942.099609375,6002.9998779296875,0.0,-0.19999999552965164,0.0,-1997.2000122070312,255.0,0.0,0.00959264597333627,2.713886908584291,-3.513790215509713e-05,True,236.06980644246588,True,6,6,False,,
3,310,5,False,True,0,3660.096564936687,2128.840087890625,3079.260009765625,93.88999938964844,-19644.000244140625,19875.30029296875,975.8999633789062,-4303.500061035156,-2191.4999389648438,-3145.10009765625,0.0,-0.25413103964687117,-0.542156242900687,-1.9652366273652804,b26c0f948eb,死.ツ,18.0,2246.2900390625,2990.760009765625,102.52999877929688,-16394.3994140625,14275.30029296875,2410.0,1538.800048828125,-5280.30029296875,17.100000381469727,255.0,184.0,,0.5804932181826566,2.6072932753545013,-0.34746644809740534,,4,3,False,40.0,False,,b497dcf8b2b,あSENPAIあ,18.0,3016.27001953125,-4945.89013671875,120.47000122070312,-7860.4998779296875,-12573.00048828125,8462.000122070312,-3983.0999755859375,-3549.8001098632812,-1335.2999877929688,255.0,0.0,,-0.5536767397586829,-2.1561921219631817,0.9581520069083966,,4,False,255.0,False,4,,enpitsu,76561198039309853,26.0,1891.9000244140625,3637.360107421875,59.79999923706055,4407.0001220703125,-17983.1005859375,3177.60009765625,920.8000183105469,147.39999771118164,-1344.7000122070312,255.0,128.0,,0.055531800400634615,-1.4809598427431336,-0.003118726696041903,True,2,225.0,False,1,False,,games5425898691,bf81d8692db,18.0,-3898.110107421875,2233.8701171875,24.530000686645508,6798.2000732421875,21879.7998046875,-1995.0,973.8999938964844,-3159.7000122070312,-74.49999809265137,255.0,128.0,0.0768207587474787,1.2570706012993265,0.24232327065874984,True,155.0,False,6,6,False,,
4,312,5,False,False,1,8839.968601870576,-1953.6400146484375,-3228.070068359375,102.31999969482422,10998.199462890625,26981.79931640625,5319.69970703125,2121.9000244140625,1041.6999816894531,-5514.69970703125,1.0,0.6895735835597004,0.8906314678119813,-2.19375543652122,76561198039309853,enpitsu,26.0,-1928.489990234375,-3483.570068359375,83.70999908447266,-4274.5001220703125,22452.7001953125,2561.6000366210938,-3677.3001098632812,-169.89999771118164,-1173.0999755859375,255.0,128.0,,-0.1945831230088571,1.5853854465352155,-0.013881058496214866,True,2,1,False,225.0,False,,bf81d8692db,games5425898691,18.0,3834.949951171875,-2434.820068359375,16.270000457763672,-6883.3001708984375,-21944.49951171875,-238.79999160766602,402.79998779296875,1407.7999877929688,73.69999885559082,255.0,128.0,,-0.017664883299071732,-1.2583111724655545,0.024514006892554983,True,6,False,155.0,False,6,,あSENPAIあ,b497dcf8b2b,18.0,-2922.68994140625,5033.259765625,201.17999267578125,12104.89990234375,6719.6002197265625,8695.700073242188,2053.300018310547,2518.8999938964844,-2246.7999267578125,255.0,0.0,,0.5657140212482964,2.6562122601865643,1.4615812188890642,,4,255.0,False,4,False,,死.ツ,b26c0f948eb,18.0,-2246.2900390625,-2990.760009765625,102.52999877929688,16394.3994140625,-14275.30029296875,2410.0,-1538.800048828125,5280.30029296875,17.100000381469727,255.0,184.0,-0.5804932181826566,-2.6072932753545013,-0.34746644809740534,,40.0,False,4,3,False,,
5,499,12,False,False,0,9637.474556572486,-2873.3701171875,-4292.43994140625,99.16000366210938,-12928.499755859375,5285.10009765625,-4771.499938964844,3071.199951171875,-4602.099914550781,2321.0000610351562,0.0,-0.1630768768638745,2.2942048305484772,-1.7106011757796675,b497dcf8b2b,あSENPAIあ,18.0,-2764.89990234375,-4354.990234375,17.049999237060547,3266.7001342773438,11828.900146484375,3.0000001192092896,-9.300000071525574,5.299999713897705,1918.2000732421875,101.0,255.0,,0.01672848670771132,1.3486124005897426,-0.00013112834609985003,False,4,4,False,188.0,False,,b26c0f948eb,死.ツ,22.0,-2420.93994140625,-4889.22998046875,15.890000343322754,3718.2998657226562,8040.30029296875,146.30000114440918,-184.3000030517578,-80.79999923706055,2434.600067138672,255.0,255.0,False,0.0010127923195899955,1.1836191778386522,0.013414920211376958,True,8,False,255.0,False,8,,enpitsu,76561198039309853,26.0,-1480.760009765625,550.5399780273438,17.049999237060547,-6178.800048828125,-14749.69970703125,2.7000001072883606,-0.5999999865889549,0.09999999776482582,0.0,255.0,128.0,,0.016831557422679905,-1.9675035259623401,-5.605335428269542e-06,True,4,255.0,False,4,False,,games5425898691,bf81d8692db,18.0,-3890.330078125,-1504.5,24.149999618530273,4597.200012207031,-12231.99951171875,-1121.2999725341797,188.09999465942383,-1806.7999267578125,-77.30000019073486,255.0,128.0,0.06950880187889547,-1.187913309128685,-0.2168332885312171,True,145.0,False,6,6,False,,
6,544,13,False,False,0,9278.928397561807,-3992.8701171875,-3606.8798828125,363.8399963378906,3283.9999389648438,15567.900390625,2655.2999877929688,-5895.10009765625,-222.60000228881836,-1094.4999694824219,0.0,0.42138628031455083,-0.16605096138317957,-0.048426725575993326,b497dcf8b2b,あSENPAIあ,18.0,-4049.7900390625,-3834.260009765625,289.0199890136719,-2599.89990234375,10134.69970703125,11053.1005859375,-1517.4000549316406,572.0999908447266,-867.6999664306641,255.0,0.0,,-0.8286974703947659,1.807185168675322,1.619237768490743,True,4,4,False,111.0,False,,b26c0f948eb,死.ツ,22.0,-2463.0400390625,-4352.75,17.059999465942383,6189.89990234375,-4832.099914550781,1.4000000059604645,0.7000000029802322,-0.29999999329447746,-81.89999580383301,0.0,128.0,False,0.016914752615457388,2.463098469435241,0.00012373822672442043,False,8,False,255.0,False,8,,enpitsu,76561198039309853,26.0,-1903.3499755859375,-1779.1600341796875,17.049999237060547,5770.2001953125,-13969.100341796875,3.0000001192092896,-0.3999999910593033,1.0999999940395355,1803.6000061035156,255.0,0.0,True,0.016779661407882646,-1.1452465908476483,0.00019074456293715573,True,4,255.0,False,4,False,,games5425898691,bf81d8692db,18.0,-3960.590087890625,-4046.47998046875,483.0899963378906,9145.0,-16039.89990234375,-2707.9000854492188,826.2999725341797,2275.5999755859375,2606.300048828125,255.0,255.0,0.18679838831624465,-1.0242737697377167,-1.5691916976675337,True,82.0,False,6,6,False,,
7,583,15,True,False,0,7085.227007843861,-3533.25,-1436.1199951171875,98.43000030517578,12349.300537109375,21458.20068359375,6016.099853515625,1097.300033569336,-3902.60009765625,-3364.2999267578125,0.0,-0.7064490849067272,-0.4064355208918112,-2.1006929072214806,b497dcf8b2b,あSENPAIあ,18.0,-3676.659912109375,-1616.8699951171875,16.81999969482422,7942.19970703125,21585.10009765625,44.80000019073486,-17.799999713897705,41.19999885559082,881.3999938964844,255.0,128.0,,0.01497732850274124,1.255432263037789,-0.0022964889418490837,False,4,4,False,26.616593694174156,True,,b26c0f948eb,死.ツ,23.0,-2386.27001953125,-3652.280029296875,17.059999465942383,2025.0999450683594,14952.099609375,-4.099999964237213,-0.09999999776482582,-0.9000000357627869,-60.59999942779541,255.0,128.0,,0.01678512137286286,1.429321912920536,5.740856234096424e-05,,8,False,192.38544532047803,True,8,,enpitsu,76561198039309853,26.0,-2624.68994140625,-2454.199951171875,17.049999237060547,-9674.299926757812,13680.400390625,-1.0999999940395355,0.0,0.0,-2056.6000366210938,255.0,0.0,,0.016784849384436456,2.1191237035718546,4.944575468588003e-06,True,4,176.8957763846202,True,4,False,,games5425898691,bf81d8692db,18.0,-2434.639892578125,-3028.090087890625,17.010000228881836,2746.4999389648438,22835.400390625,-0.29999999329447746,0.09999999776482582,0.7000000029802322,11.699999570846558,255.0,128.0,0.009596919268171036,1.4525682439093566,-4.062359507493565e-05,True,7.047131315354377,True,6,6,False,,
8,932,18,False,False,1,5256.473873055419,4.889999866485596,-40.38999938964844,112.38999938964844,-6.499999761581421,2865.7998657226562,-1759.4000244140625,1108.0000305175781,1258.7000274658203,5760.8001708984375,1.0,-0.2158242796439839,-0.7661752182945427,-0.2064533983420011,76561198039309853,enpitsu,26.0,-30.450000762939453,-146.77999877929688,112.2699966430664,11577.80029296875,9799.299926757812,1101.2000274658203,-3611.099853515625,1032.300033569336,4017.9000854492188,255.0,128.0,,-1.3293225237191628,2.4442790260237643,-0.44427563200236664,True,2,1,False,0.0,False,,bf81d8692db,games5425898691,17.0,2842.830078125,-4082.52001953125,17.010000228881836,17645.6005859375,-3181.300048828125,2.3000000417232513,-0.5999999865889549,0.09999999776482582,1893.3000183105469,255.0,255.0,,-0.009596366820205173,-3.023295148933447,6.40238654988106e-05,True,False,False,255.0,False,False,,あSENPAIあ,b497dcf8b2b,17.0,31.690000534057617,87.44999694824219,91.31999969482422,-2432.7999877929688,284.50000762939453,368.8999938964844,439.3000030517578,-445.6999969482422,-2162.7999877929688,255.0,253.0,,-0.9361924389475033,0.19329720543473744,-1.3649820974120601,,4,0.0,False,3,False,,死.ツ,b26c0f948eb,20.0,-51.68000030517578,1825.1800537109375,17.049999237060547,-81.00000381469727,-13843.399658203125,2.5999999046325684,-0.0,-0.0,-0.3999999910593033,255.0,128.0,-0.016739231822884636,-1.5648782609359986,3.8145745183978204e-06,,116.0,False,False,False,False,,
9,933,18,False,False,0,5174.057534972158,-3.2699999809265137,43.540000915527344,104.69999694824219,1304.4999694824219,6239.4000244140625,-2738.2998657226562,-808.0999755859375,-1674.2999267578125,3077.3001098632812,0.0,0.20230980709799254,0.8786153066430183,-0.2664221539814111,b497dcf8b2b,あSENPAIあ,17.0,-31.690000534057617,-87.44999694824219,91.31999969482422,2432.7999877929688,-284.50000762939453,368.8999938964844,-439.3000030517578,445.6999969482422,-2162.7999877929688,255.0,253.0,,0.9361924389475033,-0.19329720543473744,-1.3649820974120601,,4,3,False,0.0,False,,b26c0f948eb,死.ツ,20.0,51.68000030517578,-1825.1800537109375,17.049999237060547,81.00000381469727,13843.399658203125,2.5999999046325684,0.0,0.0,-0.3999999910593033,255.0,128.0,,0.016739231822884636,1.5648782609359986,3.8145745183978204e-06,,False,False,116.0,False,False,,enpitsu,76561198039309853,26.0,-33.970001220703125,180.9499969482422,115.61000061035156,-7464.2999267578125,4516.400146484375,-19.500000476837158,5404.4000244140625,-520.6000137329102,878.0000305175781,255.0,128.0,,1.0900326596628718,1.7494811060735318,-2.948473650835056,True,2,0.0,False,1,False,,games5425898691,bf81d8692db,17.0,-2990.320068359375,4096.60009765625,17.010000228881836,-17677.7001953125,441.19998931884766,2.3000000417232513,0.29999999329447746,-0.09999999776482582,1941.7999267578125,255.0,255.0,0.009576971935435519,-3.0994930809783074,4.513897783934468e-05,True,255.0,False,False,False,False,310.0,
