,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,177,0.0,False,True,1,5208.218450032324,1.159999966621399,9.229999542236328,93.72000122070312,1581.6000366210938,22783.60107421875,3235.8999633789062,5920.999755859375,-646.5000152587891,-723.4999847412109,1.0,-0.00953259107652562,0.011700026200065891,-0.09217507044417259,bf81d8692db,games5425898691,24.0,-20.059999465942383,-297.82000732421875,74.98999786376953,2169.600067138672,22763.60107421875,1929.4999694824219,-5417.80029296875,944.0000152587891,-73.60000133514404,128.0,128.0,-0.5846109584855265,1.7520874421195118,-0.005999362082293354,True,3,22.0,False,False,4,,76561198039309853,enpitsu,25.0,-0.0,-2461.050048828125,17.049999237060547,-0.0,14028.199462890625,3.1999999284744263,-0.9000000357627869,-0.0,0.0,255.0,,,-0.016670538527997613,1.570818398243494,-1.841074450765501e-07,True,False,False,False,116.0,False,,Harry7IA,2535450121922735,8,0.4399999976158142,2859.81005859375,17.010000228881836,-69.0999984741211,5178.4002685546875,2.7000001072883606,-0.9000000357627869,-0.0,0.0,1.0,128.0,,-0.00977348262301102,-1.5842013150315242,4.470964137774951e-06,,False,92.0,False,4,4,,ALC3002,2535441211156040,10.0,10.680000305175781,754.8900146484375,21.979999542236328,-1007.7999877929688,-19912.19970703125,2999.5999145507812,-0.0,0.29999999329447746,16.399999856948853,254.0,130.0,,-0.009602275020923208,-1.5200503153498564,5.395258773005453e-05,True,31.0,False,False,4,False,,
1,181,0.0,False,False,0,5456.997235997782,-64.8499984741211,-253.3300018310547,188.8699951171875,-23962.900390625,-1187.2000122070312,22802.19970703125,-2676.9000244140625,1885.5000305175781,-5027.799987792969,0.0,0.11269406650208928,-0.3748100262856928,-0.8069657777701927,2535441211156040,ALC3002,10.0,4.510000228881836,-400.8599853515625,75.6500015258789,-8.00000011920929,22867.39990234375,2456.699981689453,-4977.799987792969,-408.80001068115234,580.4999923706055,255.0,142.0,0.15949066747898488,1.5785296844260834,-0.0027037917798886256,True,3,31.0,False,False,4,,2535450121922735,Harry7IA,8.0,0.9900000095367432,-2966.56005859375,17.010000228881836,91.99999809265137,-6886.500244140625,2.7000001072883606,0.7999999821186066,0.0,0.0,0.0,128.0,,0.009758224026547486,1.5842014085792595,4.3694265800295465e-06,,4,False,4,92.0,False,,enpitsu,76561198039309853,25,0.0,2249.8798828125,17.049999237060547,0.0,-14096.099853515625,3.1999999284744263,0.7999999821186066,0.0,0.0,255.0,,,0.016701057873966443,-1.5708181470774263,-1.8233262217731253e-07,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,24.0,-15.569999694824219,-81.56999969482422,86.52999877929688,-1958.3999633789062,-21038.1005859375,-149.60000038146973,5468.599853515625,-579.7000122070312,-88.80000114440918,128.0,128.0,,1.243901698206833,1.5335958283842903,-3.0725326591890205,True,22.0,False,3,4,False,,
2,288,4.0,False,False,0,6031.627158317305,-2345.409912109375,-714.8900146484375,706.97998046875,7717.2998046875,6544.4000244140625,17416.199951171875,3363.2998657226562,4948.900146484375,442.2999954223633,0.0,-0.7888835598371339,0.08794533989925538,-0.5387434343404806,2535450121922735,Harry7IA,7.0,-2311.68994140625,-779.0399780273438,508.9599914550781,-10687.19970703125,11132.099609375,5236.500244140625,-2673.900146484375,-45.39999961853027,4806.000061035156,255.0,0.0,-1.3218480108362414,3.013577537689135,0.7742844219273135,True,4,48.07796984334148,True,4,6,,2535441211156040,ALC3002,9.0,3677.760009765625,-244.27999877929688,17.010000228881836,8911.400146484375,-15487.5,0.5999999865889549,0.19999999552965164,0.0,-1967.2999572753906,255.0,0.0,,0.009560750570761844,-1.1177379436018247,-4.293712577158406e-06,True,6,False,6,236.1295828511638,True,,enpitsu,76561198039309853,25,-3011.860107421875,-318.2699890136719,17.049999237060547,7686.400146484375,8670.2001953125,3.100000023841858,0.5000000074505806,0.7999999821186066,32.799999713897705,255.0,128.0,,0.01669739078882629,0.8497518294712604,-8.997013252555822e-05,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,24.0,-2375.389892578125,1204.949951171875,96.18000030517578,-5214.1998291015625,17426.99951171875,-164.3000030517578,-5451.5997314453125,-725.4000091552734,-59.80000019073486,255.0,128.0,,0.4972489965604897,-1.4325758511423532,-3.1292333483942416,True,31.0,False,5,6,False,,
3,356,6.0,False,False,1,5802.523995149355,1045.800048828125,-660.5900268554688,107.27999877929688,-1776.1000061035156,19379.7998046875,-2079.1000366210938,1905.7000732421875,981.9999694824219,3390.7000732421875,1.0,-1.154462516449056,2.6374258581057717,0.9856852338677211,76561198039309853,enpitsu,26.0,1046.0,-814.7899780273438,14.210000038146973,-5093.2000732421875,7951.7999267578125,-644.8000335693359,-1791.9000244140625,583.4999847412109,-90.9000015258789,255.0,0.0,-0.0709684390263141,1.089384391898338,0.06508230717360854,True,False,245.55305828330336,True,False,False,,bf81d8692db,games5425898691,24.0,2490.9599609375,-4953.39013671875,18.020000457763672,-12044.3994140625,-133.100004196167,3.6000001430511475,-71.5999984741211,-84.79999542236328,-2213.0999755859375,128.0,0.0,,-0.014314113793382113,0.047426174290284256,0.04299216966430406,True,6,False,6,255.0,False,,Harry7IA,2535450121922735,7,4078.1298828125,-1837.550048828125,269.07000732421875,-395.60001373291016,-6657.80029296875,-11363.199462890625,2257.5999450683594,1300.5000305175781,-222.90000915527344,254.0,5.0,,-1.0932610669230935,-1.527168750798635,1.514573696951803,True,4,11.0,False,4,6,,ALC3002,2535441211156040,9.0,-275.9700012207031,1106.8199462890625,17.010000228881836,12588.1005859375,-4256.700134277344,2.8999999165534973,-0.29999999329447746,0.19999999552965164,2228.2000732421875,254.0,255.0,,-0.009558106583433824,-2.876625863150167,4.877899631404667e-05,True,163.0,False,6,6,False,,False
4,398,8.0,False,True,1,3263.5046122844246,828.1900024414062,1877.199951171875,93.41000366210938,-304.3000030517578,20440.50048828125,232.60000228881836,-3340.5999755859375,-1067.5,-680.8999633789062,1.0,-1.0747386901193736,-3.059956851193614,-1.1130882185150248,76561198039309853,enpitsu,25.0,764.010009765625,1782.280029296875,145.6699981689453,-4325.199890136719,17106.099853515625,1380.2999877929688,-4225.4998779296875,-3519.5001220703125,-89.60000038146973,128.0,128.0,-0.1994446929036596,-2.841827461012388,2.402150884040267,True,1,208.0,False,False,2,,bf81d8692db,games5425898691,24.0,1917.8399658203125,-2691.389892578125,17.0,-2229.199981689453,22891.69921875,1.5000000596046448,-0.0,0.19999999552965164,109.0999984741211,255.0,128.0,,-0.009600320461475147,1.4620704154902222,-6.591854521285489e-05,True,6,False,6,170.08260648481308,True,,Harry7IA,2535450121922735,7,3129.260009765625,-299.8900146484375,101.66999816894531,-2184.2999267578125,18630.10009765625,-159.49999809265137,-5302.19970703125,-1447.1000671386719,205.40000915527344,255.0,151.0,,-0.15177342155102486,-2.0833266106943986,3.129707273122333,True,4,0.0,False,5,8,,ALC3002,2535441211156040,8.0,219.92999267578125,2564.580078125,17.010000228881836,-2967.5,12359.000244140625,2.8999999165534973,-0.19999999552965164,0.09999999776482582,-2183.800048828125,128.0,0.0,,-0.009628149295442732,1.3980498241905694,-2.4003878695555994e-05,True,169.0,False,6,6,False,,False
5,401,8.0,False,True,1,3026.291402782501,824.6400146484375,2114.550048828125,93.30999755859375,-309.0999984741211,20206.099853515625,-63.69999885559082,-3783.2000732421875,-1050.2999877929688,-680.8999633789062,1.0,-0.8050382629093253,-2.5052751144854364,-1.690417142801429,76561198039309853,enpitsu,25.0,735.2100219726562,1896.3499755859375,153.24000549316406,-4325.199890136719,17106.099853515625,946.6999816894531,-4514.4000244140625,-1491.9999694824219,2764.5999145507812,128.0,128.0,0.07503083743142801,-3.0167851395872094,2.061766702837363,True,2,208.0,False,False,2,,bf81d8692db,games5425898691,24.0,1897.6300048828125,-2500.110107421875,17.0,-2520.800018310547,22861.39892578125,1.5000000596046448,-0.0,0.19999999552965164,31.700000762939453,255.0,128.0,,-0.009600452426836614,1.4571914880557908,-4.249882634018396e-05,True,6,False,6,192.84689890953803,True,,Harry7IA,2535450121922735,7,3111.179931640625,-144.86000061035156,100.37000274658203,-2156.3999938964844,18582.900390625,-150.50000190734863,-5301.400146484375,-1443.0999755859375,247.90000915527344,255.0,133.0,,0.43055800090879115,-2.1329499892626234,2.9692386935152357,True,4,0.0,False,5,8,,ALC3002,2535441211156040,8.0,207.36000061035156,2643.699951171875,17.010000228881836,-1058.499984741211,11357.5,2.8999999165534973,-0.3999999910593033,-0.0,-2120.7000732421875,128.0,0.0,,-0.00971345309361774,1.5408454932340254,-7.132003134491887e-06,True,169.0,False,6,6,False,,False
6,412,8.0,False,True,1,2274.8340685981657,812.2000122070312,2866.7099609375,93.13999938964844,-337.79998779296875,19081.400146484375,0.0,-5897.0001220703125,-900.2999877929688,-643.3000183105469,1.0,0.9608441622891818,-2.3048361469265948,-2.7179968530947614,76561198039309853,enpitsu,25.0,548.010009765625,2637.860107421875,133.0399932861328,-4325.199890136719,17106.099853515625,-1832.5999450683594,-1625.7000732421875,51.39999866485596,1199.3000030517578,128.0,128.0,-0.4274289745735092,2.029030087877787,0.5016744077879101,True,2,208.0,False,False,2,,bf81d8692db,games5425898691,24.0,1787.93994140625,-1545.75,17.0,-2498.000030517578,22859.19921875,3.799999952316284,0.19999999552965164,-1.8000000715255737,-377.59998321533203,255.0,45.0,,-0.009600322748151207,1.4619978762811774,-6.557043856603396e-05,True,6,False,6,175.0,False,,Harry7IA,2535450121922735,7,3019.780029296875,659.8800048828125,71.0999984741211,-2088.9999389648438,18644.200439453125,-1789.1000366210938,-2332.7000427246094,-540.9000015258789,342.5,255.0,130.0,,0.48333083866696697,1.5867711604896617,0.21961741798766066,True,4,0.0,False,6,8,,ALC3002,2535441211156040,8.0,416.2099914550781,3083.659912109375,19.479999542236328,9505.30029296875,6675.3997802734375,2959.8001098632812,-0.0,-0.09999999776482582,-2374.600067138672,254.0,0.0,,-0.009557182635390321,2.5912416921975296,2.006210832504591e-06,True,169.0,False,6,7,False,,False
7,417,8.0,False,False,0,8392.637172256653,-849.7999877929688,-3252.510009765625,96.54000091552734,-20720.50048828125,-16024.69970703125,2010.2999877929688,3732.9998779296875,1732.5999450683594,4366.000061035156,0.0,-0.8489848276140308,-1.7738219280779464,1.1770888498716177,2535441211156040,ALC3002,8.0,-556.1799926757812,-3169.840087890625,61.09000015258789,-13808.1005859375,-9828.099975585938,2901.6000366210938,2770.10009765625,-3580.4998779296875,-1890.8999633789062,255.0,181.0,0.09626465547175733,-2.8940360350047967,-0.024247686822998597,True,7,169.0,False,False,8,,2535450121922735,Harry7IA,7.0,-2984.97998046875,-971.47998046875,32.20000076293945,2089.9000549316406,-18731.400146484375,-2794.7000122070312,1899.7000122070312,891.8000030517578,217.5,254.0,129.0,,-0.1706642627848309,-1.5152566298707015,0.14826447583328736,True,8,4,6,0.0,False,,enpitsu,76561198039309853,26,-476.010009765625,-2923.030029296875,93.04000091552734,4325.199890136719,-17106.099853515625,-2914.5999145507812,935.0,-183.79999160766602,641.8000030517578,255.0,128.0,False,0.6244320029649124,-1.9150558365799741,0.4348455810381744,True,False,208.0,False,2,2,,games5425898691,bf81d8692db,24.0,-1775.18994140625,1164.8199462890625,17.0,-1566.7999267578125,-22691.39892578125,4.099999964237213,0.0,-1.0000000149011612,-1826.300048828125,255.0,0.0,,0.009594593500661708,-1.6998083105765973,-0.00012282380383104373,True,175.0,False,6,6,False,,
8,489,11.0,False,False,0,9978.711229111352,-3380.8798828125,-4524.3701171875,1278.3599853515625,-4641.7999267578125,12523.699951171875,6930.5999755859375,-4419.2999267578125,-3611.099853515625,-898.4999847412109,0.0,0.14129523281306441,0.8270329181891964,-2.7973096133591304,2535441211156040,ALC3002,9.0,-3352.679931640625,-4687.6298828125,1202.530029296875,-3860.2999877929688,3511.199951171875,12198.499755859375,-1873.699951171875,25.299999713897705,-148.99999618530273,255.0,128.0,-1.1524386181155581,2.3536723337457555,1.5764680215751266,True,8,140.95027094758964,True,False,8,,2535450121922735,Harry7IA,7.0,-2907.9599609375,-4063.1201171875,17.010000228881836,-6004.1998291015625,1989.7999572753906,2.199999988079071,0.0,0.0,-1573.0999755859375,1.0,243.0,,0.009673700417815775,-0.44015967738219675,-0.00042267213026796007,True,8,4,6,255.0,False,,enpitsu,76561198039309853,25,-1935.9100341796875,-1772.81005859375,17.049999237060547,-4036.0000610351562,12931.500244140625,3.700000047683716,-0.19999999552965164,0.5000000074505806,-2230.0999450683594,255.0,128.0,False,0.01673851167561467,1.8131753708842522,-5.209250230064518e-05,True,False,208.0,False,2,2,,games5425898691,bf81d8692db,24.0,-4078.989990234375,-3057.320068359375,1261.8399658203125,3.1999999284744263,-15753.900146484375,9545.2001953125,1047.300033569336,1.7000000178813934,-1.0999999940395355,255.0,173.0,,-0.5314821090147835,-1.5819240948555886,-1.5650304435542604,True,139.0,False,6,6,False,,
9,533,12.0,False,False,0,8312.1750289309,-3934.27001953125,-2597.0,1539.6500244140625,7340.5999755859375,23668.9990234375,-1107.3999786376953,-1635.8999633789062,465.6999969482422,-4338.900146484375,0.0,0.5676867373923312,1.412412385700374,1.2384062129496496,2535441211156040,ALC3002,9.0,-4019.0,-2877.2099609375,1460.8299560546875,5162.8997802734375,22412.2998046875,175.79999923706055,1625.3999328613281,-543.4000015258789,4628.500061035156,255.0,97.0,-0.3739136190759346,1.6948468560362877,1.5452959682005714,True,9,82.0,False,False,10,,2535450121922735,Harry7IA,7.0,-2721.1298828125,-3956.669921875,17.010000228881836,6602.1002197265625,5351.6998291015625,2.8999999165534973,-0.19999999552965164,0.0,2506.3999938964844,254.0,253.0,False,0.009518596862339704,0.7163074823946564,8.650502214318328e-06,True,8,4,6,255.0,False,,enpitsu,76561198039309853,26,-1562.300048828125,383.5299987792969,17.049999237060547,-6293.2000732421875,9869.400024414062,3.3000001311302185,4.1999998688697815,-4.4999998807907104,2181.9000244140625,255.0,0.0,False,0.016732735385074,2.32258358660301,-0.00018773022601895937,True,False,238.0,False,2,2,,games5425898691,bf81d8692db,24.0,-3051.6201171875,-4962.22021484375,247.1999969482422,8762.899780273438,-5383.699951171875,-17540.10009765625,2259.1000366210938,-153.29999923706055,1469.1999816894531,255.0,255.0,,1.0516441501465847,-0.5381451714222366,-1.504149861489691,True,139.0,False,6,6,False,,
