,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,175,0.0,False,False,0,5335.865639155966,-94.98999786376953,-135.39999389648438,93.06999969482422,-4367.0001220703125,-6799.4000244140625,240.6999969482422,105.39999961853027,253.09999465942383,3778.9999389648438,0.0,0.3782762390162781,1.1254679305833628,-0.17122401409227977,76561198365550325,vicente98agu,13.0,-23.6200008392334,-242.07000732421875,93.8499984741211,3982.60009765625,-5150.5999755859375,-148.4000015258789,2533.2000732421875,4700.7000732421875,1317.2999572753906,128.0,0.0,,-0.17433498661931687,1.0470908001056147,1.713763426398925,True,3,False,4,0.0,False,,76561198263480025,Baguette,13.0,3447.0,-4022.0,17.020000457763672,15759.100341796875,5034.5001220703125,3.4999999403953552,-1.7000000178813934,-3.1999999284744263,2833.2998657226562,255.0,255.0,False,0.009737096706402576,0.4760662367499909,0.00011424735467469554,True,False,4,4,255.0,False,,enpitsu,76561198039309853,27,31.25,103.3499984741211,102.55000305175781,-969.1999816894531,694.1999816894531,-156.40000343322754,3967.6998901367188,-3803.5000610351562,-201.29999160766602,255.0,128.0,,-0.05551245257865509,0.8043846248662458,-3.1049565862823862,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,-3120.77001953125,4074.760009765625,17.010000228881836,-16157.2998046875,-4917.900085449219,2.800000011920929,0.29999999329447746,0.0,1985.0,255.0,255.0,,0.009587257621639011,-2.776695680091149,4.0802602267533025e-05,True,255.0,False,False,False,False,
1,180,0.0,False,False,0,5445.792323486232,-173.41000366210938,-257.6400146484375,93.13999938964844,-4154.5001220703125,-6486.7999267578125,0.0,857.0999908447266,-262.5,3778.9999389648438,0.0,0.31121363563515164,1.8211281393487457,-0.16571283897616537,76561198365550325,vicente98agu,13.0,62.70000076293945,-353.6099853515625,90.47000122070312,3982.60009765625,-5150.5999755859375,-154.49999809265137,2528.9999389648438,4700.4998779296875,1326.0000610351562,128.0,0.0,,-0.21592386607552605,1.1490149943047983,-2.9790285058781363,True,3,False,4,0.0,False,,76561198263480025,Baguette,13.0,3666.1298828125,-3880.760009765625,17.020000457763672,10697.5,10930.400390625,1.7000000178813934,0.0,0.09999999776482582,2203.5000610351562,255.0,255.0,False,0.009595641231607334,0.8887615468293341,-6.183405464790604e-05,True,False,4,4,255.0,False,,enpitsu,76561198039309853,27,15.699999809265137,115.5199966430664,100.08000183105469,-908.0999755859375,752.7999877929688,-140.6999969482422,3967.39990234375,-3803.800048828125,-201.10000610351562,255.0,128.0,,-1.2592329275811422,0.6925103511873051,-3.0219385850435208,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-3366.429931640625,3950.239990234375,17.010000228881836,-13215.999755859375,-9612.60009765625,2.800000011920929,0.3999999910593033,0.19999999552965164,2013.6000061035156,255.0,255.0,,0.009586452938838603,-2.443193032939026,5.158503521999359e-05,True,255.0,False,False,False,False,
2,254,3.0,False,False,1,3635.812374920232,952.0700073242188,1504.6199951171875,94.06999969482422,-3995.4000854492188,12485.899658203125,2452.2999572753906,-919.1000366210938,5874.2999267578125,-804.3000030517578,1.0,-0.5262686763998239,2.7194906006229993,-1.6417816166045214,76561198039309853,enpitsu,27.0,1052.1300048828125,1324.3800048828125,17.049999237060547,-2398.000030517578,10261.8994140625,3.799999952316284,0.19999999552965164,-0.0,2366.3999938964844,255.0,128.0,,-0.01672099182905872,1.2938291187731235,1.9531516796899952e-05,True,2,False,2,0.0,False,,bf81d8692db,games5425898691,19.0,2049.320068359375,1225.1300048828125,17.010000228881836,3319.4000244140625,21418.701171875,2.800000011920929,0.19999999552965164,0.9000000357627869,-1665.7000732421875,255.0,49.0,,-0.009598982142362997,1.7982737301680343,1.5942197399811221e-06,True,False,False,False,215.0,False,,vicente98agu,76561198365550325,13,590.02001953125,1820.510009765625,130.00999450683594,15831.700439453125,1730.0999450683594,231.90000534057617,3594.7000122070312,4154.200134277344,-263.799991607666,0.0,0.0,,-0.13814993715591503,2.294372908630149,1.4571835217362068,True,0.0,False,6,False,5,,Baguette,76561198263480025,14.0,-289.010009765625,3380.0400390625,17.010000228881836,17236.700439453125,-4135.299987792969,2.800000011920929,0.3999999910593033,-0.0,-1927.5,255.0,0.0,False,-0.00957944061671055,-2.8412049837776814,-4.743607599531145e-05,True,230.0,False,4,False,4,
3,259,3.0,False,False,0,6814.083065773231,-944.5599975585938,-1673.9100341796875,122.55000305175781,-13662.099609375,9100.30029296875,-818.8999938964844,3482.0001220703125,-3286.099853515625,-3616.199951171875,0.0,1.4749560188561004,-0.29305637914947164,1.1844115045059302,76561198365550325,vicente98agu,13.0,-837.6099853515625,-1849.949951171875,128.4199981689453,-13954.89990234375,-3495.7000732421875,113.10000419616699,-1870.3999328613281,-3576.300048828125,-3736.400146484375,0.0,0.0,,0.10447396788964007,-2.259496284417989,2.689263643130971,True,5,False,6,0.0,False,,76561198263480025,Baguette,14.0,-105.91999816894531,-3176.27001953125,17.010000228881836,-13515.30029296875,10481.600341796875,2.5999999046325684,0.09999999776482582,0.0,-387.90000915527344,254.0,128.0,False,0.009593113833400866,2.4420456492947302,0.0001816620742012276,True,False,4,4,230.0,False,,enpitsu,76561198039309853,27,-961.6599731445312,-1503.1500244140625,16.989999771118164,6314.000244140625,-8089.4000244140625,12.000000476837158,29.30000066757202,34.90000009536743,942.2000122070312,255.0,0.0,,0.015022467385050737,-0.8388642240357369,2.9512100429884032e-05,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-2189.77001953125,-1762.449951171875,17.010000228881836,-4681.300048828125,-20892.80029296875,2.800000011920929,0.19999999552965164,1.5000000596046448,1679.4999694824219,255.0,255.0,,0.009596330505514486,-1.7515909339980082,0.0002256291030895303,True,215.0,False,False,False,False,
4,314,5.0,False,False,0,5880.181627642229,-3249.780029296875,-248.52999877929688,96.0,-9967.899780273438,23510.10009765625,4477.699890136719,2096.4999389648438,-4196.099853515625,-2067.7999877929688,0.0,0.5724503186440393,3.043135582267658,-0.9055763527768288,76561198263480025,Baguette,14.0,-3215.469970703125,-443.6400146484375,17.010000228881836,-13344.000244140625,18379.000244140625,2.7000001072883606,2.0000000298023224,-2.5999999046325684,-1238.6000061035156,255.0,0.0,,0.00960548711854021,2.1727670427261154,-6.19392740479794e-05,True,4,False,4,162.0,False,,76561198365550325,vicente98agu,13.0,-3450.820068359375,-1531.699951171875,17.059999465942383,-6378.2000732421875,12206.8994140625,2.3999999463558197,0.0,0.19999999552965164,-2226.0000610351562,255.0,0.0,,0.016743239645796635,1.9889280026908263,-2.7598697903351615e-05,True,False,6,6,,False,,enpitsu,76561198039309853,27,-1857.9300537109375,-1660.3499755859375,17.049999237060547,-3876.7999267578125,12024.200439453125,3.100000023841858,0.3999999910593033,-1.2999999523162842,-129.49999809265137,255.0,0.0,,0.016739660354599496,1.8674342846270042,0.00015600932316700604,True,,False,2,False,2,,games5425898691,bf81d8692db,20.0,78.55999755859375,-1506.1400146484375,90.5,8971.799926757812,21111.8994140625,-168.09999465942383,-5278.3001708984375,1545.2000427246094,35.79999923706055,255.0,128.0,,0.9182827709861683,-1.8641533196459417,3.1308191650853803,True,167.0,False,4,False,3,
5,370,7.0,False,False,0,2849.1421653204384,-3300.77001953125,3612.030029296875,159.13999938964844,17130.30029296875,628.8000106811523,7433.499755859375,-3971.6000366210938,-3937.2000122070312,-2173.5000610351562,0.0,-0.1337329567226732,1.9285775743043028,2.1279065296668573,76561198263480025,Baguette,14.0,-3390.72998046875,3707.5400390625,59.38999938964844,19478.299560546875,9010.999755859375,3076.7999267578125,3494.2999267578125,2392.7000427246094,-2802.7999877929688,255.0,0.0,,0.010634398547350979,0.5657653820086718,0.0529802176080802,True,5,False,6,219.0,False,,76561198365550325,vicente98agu,13.0,-2342.949951171875,1316.25,86.16999816894531,10515.30029296875,15838.299560546875,-139.79999542236328,-5117.799987792969,2008.800048828125,148.1999969482422,255.0,128.0,,-1.3658587110163825,-1.0831614963545053,2.286716498821311,True,False,7,8,,False,,enpitsu,76561198039309853,27,-2314.8798828125,2096.659912109375,94.9000015258789,1907.4000549316406,22828.60107421875,-166.10000610351562,-5306.9000244140625,1416.6000366210938,-281.299991607666,128.0,128.0,,0.6512271949324563,-1.7926181537992074,-3.0754374281405257,True,,False,6,False,5,,games5425898691,bf81d8692db,20.0,1934.56005859375,2901.75,17.010000228881836,5443.499755859375,22013.1005859375,2.7000001072883606,0.0,0.0,954.1000366210938,255.0,205.0,,0.009597178145717264,1.351022401418242,9.248861903690617e-05,True,197.0,False,4,False,4,
6,427,9.0,False,False,1,8843.353006497799,-106.81999969482422,-3646.31005859375,309.6000061035156,3478.2998657226562,28330.80078125,6139.69970703125,1892.5999450683594,-2409.9000549316406,5158.4002685546875,1.0,0.29884074945466693,-2.188158407462336,2.357373615283405,bf81d8692db,games5425898691,20.0,-204.24000549316406,-3881.719970703125,174.1300048828125,16032.39990234375,15208.399658203125,2453.6000061035156,-464.50000762939453,2263.6000061035156,-60.19999980926514,255.0,22.0,,0.618441410826261,1.8983692335290383,0.03682040094655175,True,5,False,6,187.28934184453823,True,,76561198039309853,enpitsu,28.0,204.11000061035156,-4433.509765625,159.72999572753906,-9162.5,9419.199829101562,3095.8999633789062,-1995.2999877929688,4967.5,-1261.8000030517578,128.0,0.0,,0.22856577873686806,1.1888683038942,0.2033499637565952,True,False,7,8,,False,,vicente98agu,76561198365550325,13,-342.42999267578125,-3694.260009765625,170.7100067138672,-8405.10009765625,-11721.300048828125,-161.8000030517578,266.299991607666,4883.999938964844,-2514.9000549316406,0.0,255.0,,0.4749141356285116,-1.5162951692053537,2.8291856730288516,True,13.0,False,10,False,9,,Baguette,76561198263480025,14.0,-668.6400146484375,-4776.2099609375,16.989999771118164,-21250.90087890625,7677.2998046875,5.099999904632568,0.5000000074505806,-0.0,-131.00000381469727,255.0,128.0,,-0.00960863908649529,0.3612871948401425,9.325708274403794e-05,True,193.0,False,6,False,6,
7,558,14.0,False,False,1,1595.923108861223,1251.52001953125,3584.179931640625,103.38999938964844,38487.5,10427.900390625,6398.0999755859375,2685.0,1537.1000671386719,-5140.7000732421875,1.0,0.20127101844163295,2.3135146463208613,1.7302245020035758,bf81d8692db,games5425898691,19.0,1105.81005859375,3457.68994140625,17.010000228881836,15041.400146484375,17399.7998046875,0.19999999552965164,-1.5000000596046448,-1.7000000178813934,-352.40001678466797,255.0,56.0,,-0.009595747590730966,2.28476177504328,-1.2311229369674758e-05,True,6,False,6,147.51956993533722,True,,76561198039309853,enpitsu,27.0,-2044.050048828125,1469.1500244140625,17.059999465942383,17720.999755859375,11856.8994140625,1.8000000715255737,-0.19999999552965164,-0.09999999776482582,0.0,255.0,,,-0.016776884640735536,2.551919849674431,2.6236443343665122e-05,True,False,10,10,208.0,False,,vicente98agu,76561198365550325,13,-2811.070068359375,-583.260009765625,113.29000091552734,4147.699890136719,21412.39990234375,-794.3000030517578,-3655.7998657226562,-498.80001068115234,1069.000015258789,255.0,,,0.6942686484719478,2.360029060583177,0.8837607642765709,True,202.0,False,12,False,12,,Baguette,76561198263480025,14.0,1055.7900390625,3602.449951171875,74.55000305175781,16682.60009765625,11290.2001953125,3129.2999267578125,1779.1999816894531,-3486.7001342773438,-3539.8001098632812,255.0,128.0,,0.10613222047008138,2.7197620569240635,-0.0026061745143542317,True,156.0,False,10,False,8,
8,629,16.0,False,False,1,5333.581154943488,2748.39990234375,138.42999267578125,208.14999389648438,5474.69970703125,1658.699951171875,11872.7001953125,4152.900085449219,-3656.6000366210938,2320.0,1.0,-0.17257675267172962,-0.15968596000335905,2.5330344139887546,76561198039309853,enpitsu,27.0,2710.31005859375,64.5,70.06999969482422,18931.099853515625,3136.099853515625,1887.8999328613281,-3674.5001220703125,1356.7999267578125,1351.0000610351562,128.0,255.0,,-0.03143598594998467,3.043464887244922,-0.029286566705253213,True,11,False,12,153.0,False,,bf81d8692db,games5425898691,20.0,4078.989990234375,1213.81005859375,793.3099975585938,-2.5999999046325684,-19688.800048828125,3526.7999267578125,-38.80000114440918,-0.0,-0.09999999776482582,255.0,128.0,,0.19499624200853596,-1.5805844929473367,1.5688788011794577,True,False,6,6,206.0,False,,vicente98agu,76561198365550325,14,955.8900146484375,2003.800048828125,17.059999465942383,20530.0,-6144.6002197265625,2.3000000417232513,0.5999999865889549,-0.09999999776482582,-1792.5,255.0,0.0,,-0.016777244413169832,-2.8002399637233752,-0.0001379902511564482,True,183.0,False,12,False,12,,Baguette,76561198263480025,14.0,3261.070068359375,3852.35009765625,17.010000228881836,-577.9000091552734,-12283.900146484375,2.5999999046325684,-0.0,-2.5999999046325684,526.5999984741211,255.0,183.0,False,-0.009556552322997862,-1.5185024901528947,4.771791886469652e-05,True,186.0,False,10,False,8,
9,724,20.0,False,False,0,6312.607492635096,-3687.56005859375,-521.8200073242188,385.75,4002.6998901367188,29993.30078125,-1452.5999450683594,685.1000213623047,2019.9000549316406,5370.0,0.0,1.2917121875079471,-0.4820617773822677,0.7144461454308587,76561198263480025,Baguette,14.0,-3716.969970703125,-789.3400268554688,281.17999267578125,4276.700134277344,20365.30029296875,3533.800048828125,-1895.8999633789062,1258.499984741211,584.900016784668,255.0,11.0,False,-0.6518126427099398,1.8953494706265452,-0.122686185360264,True,9,False,12,147.9880256011922,True,,76561198365550325,vicente98agu,13.0,-2863.1201171875,-1673.0999755859375,17.059999465942383,-7496.7999267578125,-8828.099975585938,1.8000000715255737,-0.7999999821186066,-0.9000000357627869,150.9000015258789,255.0,128.0,,0.016717958690000256,-2.2579333950521385,-0.00015482575173015958,True,False,12,12,213.0,False,,enpitsu,76561198039309853,27,-3341.489990234375,-1089.5400390625,29.610000610351562,1614.9000549316406,-3757.2000122070312,-1275.999984741211,-373.10001373291016,5385.3997802734375,1052.6000213623047,255.0,0.0,True,0.10700492568036316,-1.4863633069261188,0.4198996434648919,True,255.0,False,12,False,12,,games5425898691,bf81d8692db,20.0,-1209.1300048828125,1157.77001953125,17.020000457763672,12527.80029296875,7379.5001220703125,1.5999999642372131,-0.09999999776482582,0.0,2095.8999633789062,255.0,255.0,,0.009579920198128958,0.5992725191216898,6.5327223626261375e-06,True,206.0,False,6,False,6,
