,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,178,0.0,False,1,5079.033837605327,0.5199999809265137,140.52999877929688,92.73999786376953,-204.20000076293945,29211.59912109375,0.0,2855.1998901367188,-365.29998779296875,-725.5999755859375,1.0,-0.015574811927629221,0.03748559699012351,-0.14941709419396115,bf81d8692db,games5425898691,19.0,21.549999237060547,-29.3700008392334,94.38999938964844,1244.1999816894531,19907.7001953125,-119.20000076293945,-5372.1002197265625,-200.20000457763672,1161.6000366210938,128.0,144.0,,-1.2676073047312413,-1.7019606821415887,-3.125398542658013,True,31.0,False,3,False,4,,76561198039309853,enpitsu,25.0,-0.0,-2529.5400390625,17.049999237060547,-0.0,7821.5997314453125,2.5999999046325684,1.1999999731779099,-0.0,0.0,255.0,,,-0.01679249477401522,1.5707752440494631,1.76960554836063e-07,True,116.0,False,False,False,False,,Ny7r0z_03,4316478241743035207,15,-0.0,4802.5498046875,17.010000228881836,-0.0,6843.699951171875,2.0999999344348907,-0.7000000029802322,-0.0,0.0,128.0,,,-0.009605445130296007,-1.5707888441012139,-3.643707061766433e-08,True,116.0,False,False,False,False,,IceFired04,8943181586384415657,16.0,315.9200134277344,228.3000030517578,17.049999237060547,15397.60009765625,-14062.80029296875,3.0000001192092896,-0.09999999776482582,-0.0,2061.4999389648438,204.0,255.0,,-0.016770967534746807,-2.4790603336849175,1.0990642455560012e-05,True,False,False,False,8.0,False,
1,436,9.0,False,0,2788.155794643768,429.9800109863281,2687.330078125,286.3599853515625,630.9000015258789,22658.1005859375,2112.2000122070312,3131.099853515625,3133.5000610351562,149.49999809265137,0.0,-0.6501218812021127,0.5849359001073056,-0.33868994954231624,8943181586384415657,IceFired04,12.0,490.3800048828125,2535.0,217.13999938964844,3075.7000732421875,17077.60009765625,2846.199951171875,-5079.100036621094,-1605.8000183105469,1368.6000061035156,156.0,143.0,True,0.10150622839442668,1.912475030926998,0.21555221971584013,True,89.69113977237416,True,5,False,6,,4316478241743035207,Ny7r0z_03,15.0,-990.0999755859375,-3020.4599609375,16.989999771118164,7676.6998291015625,20230.899658203125,4.600000083446503,-1.0999999940395355,-3.100000023841858,522.0000076293945,230.0,128.0,,0.009593920424988628,1.238452809475618,7.743998219260874e-06,True,255.0,False,8,False,6,,enpitsu,76561198039309853,25,-3228.929931640625,4026.3701171875,17.049999237060547,10682.39990234375,9130.999755859375,2.800000011920929,5.899999737739563,5.099999904632568,-1324.7999572753906,255.0,128.0,,0.016745522303816988,0.6686506438652313,-0.00011699920405912138,True,248.73671380422448,True,2,False,2,,games5425898691,bf81d8692db,20.0,996.489990234375,4674.18017578125,17.010000228881836,-4106.499938964844,994.1000366210938,2.0000000298023224,-0.3999999910593033,0.19999999552965164,-208.99999618530273,255.0,139.0,,0.009493046952878278,2.894445764570734,0.0001419185894159555,True,6,False,6,255.0,False,
2,642,16.0,False,0,486.0667762178633,-591.5900268554688,4761.06005859375,859.219970703125,1368.9999389648438,13491.800537109375,-9511.500244140625,-3448.2998657226562,-2349.4000244140625,4311.400146484375,0.0,-0.008124514104075588,0.1826939301339285,-2.14407815112696,4316478241743035207,Ny7r0z_03,15.0,-576.969970703125,4584.33984375,862.6799926757812,10922.099609375,11877.099609375,-95.39999961853027,-2597.60009765625,-4537.60009765625,-1706.3999938964844,255.0,140.0,True,-0.31564857030303234,1.051061939192428,0.7296561300041742,True,20.0,False,7,False,8,,8943181586384415657,IceFired04,12.0,1690.7900390625,1988.530029296875,17.030000686645508,-8895.900268554688,-8601.400146484375,5.199999809265137,1.7000000178813934,1.5999999642372131,-234.79999542236328,166.0,54.0,,0.016753411851634117,-2.3469658076601267,-0.0002303638479574293,True,207.0,False,8,False,8,,enpitsu,76561198039309853,25,-56.59000015258789,5311.16015625,17.059999465942383,-1274.800033569336,-2128.6000061035156,-20.59999942779541,-81.89999580383301,-57.800002098083496,1.1999999731779099,255.0,128.0,,0.017453589550897042,-2.105001224187097,-0.001517083165468736,True,213.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-120.2699966430664,4841.47021484375,496.45001220703125,267.7000045776367,-3818.3999633789062,-62.89999961853027,2733.800048828125,-1834.4000244140625,-4405.7000732421875,255.0,11.0,,-0.393395746559032,2.2346484220936853,-1.8579363106872662,True,9,False,10,150.02732025166992,True,
3,855,24.0,True,1,1965.4266309549682,1449.18994140625,3254.030029296875,118.36000061035156,-15313.900146484375,21526.99951171875,4703.0999755859375,-5164.0997314453125,2321.6000366210938,1089.3000030517578,1.0,0.7111669477677163,0.47334730157771626,-0.7176478501199967,76561198039309853,enpitsu,25.0,1631.52001953125,3174.3798828125,45.18000030517578,-7872.19970703125,20448.1005859375,2850.4000854492188,-1242.300033569336,1047.3999786376953,557.2000122070312,255.0,255.0,,-0.0345558233761792,1.065540514891219,0.0843014676251617,True,30.650830089405023,True,7,False,8,,bf81d8692db,games5425898691,19.0,3962.830078125,-921.75,53.83000183105469,-1261.8000030517578,-19605.30029296875,-768.7999725341797,1063.6000061035156,465.0,-1579.2999267578125,255.0,0.0,,-0.08064916896044047,-1.4631333111562708,0.5780613552068875,True,251.80925569226665,True,14,4,12,,Ny7r0z_03,4316478241743035207,15,821.4400024414062,2897.590087890625,17.0,-2722.5,21897.2998046875,3.3000001311302185,-0.0,0.7999999821186066,5.699999928474426,237.0,128.0,,-0.009598147669806545,1.4463142175908739,-7.452084521117955e-05,True,,False,10,False,10,,IceFired04,8943181586384415657,12.0,1418.97998046875,2851.610107421875,21.920000076293945,1926.7999267578125,22729.19921875,2944.5001220703125,0.29999999329447746,4.900000095367432,478.6000061035156,255.0,193.0,,-0.01678909093399985,1.6527658594652315,0.0001285611260479959,True,10,False,11,0.0,False,
4,1482,38.0,False,0,4718.491870818883,2451.2900390625,1814.3699951171875,187.25999450683594,-9533.200073242188,18038.800048828125,-5570.999755859375,-1845.8000183105469,2161.7999267578125,-5283.800048828125,0.0,0.317010130756984,1.926079784693296,0.6455912619530112,8943181586384415657,IceFired04,12.0,2519.469970703125,1564.989990234375,215.27999877929688,-17172.099609375,15051.400146484375,2751.400146484375,-2843.5000610351562,465.09998321533203,4684.800109863281,236.0,48.0,True,-0.17879351642995073,2.531918822729912,1.313714582884393,True,179.42012025463967,True,5,False,6,,4316478241743035207,Ny7r0z_03,15.0,739.6500244140625,1271.739990234375,17.010000228881836,-12739.200439453125,16405.799560546875,2.0999999344348907,3.100000023841858,-3.700000047683716,-769.0000152587891,255.0,0.0,False,0.009605204680491542,2.22896894078412,-3.328348057053635e-05,True,147.8742622483161,True,10,False,10,,enpitsu,76561198039309853,25,3263.429931640625,3574.330078125,17.030000686645508,-3587.39990234375,22632.2998046875,5.400000214576721,0.0,-0.7999999821186066,1542.2000122070312,255.0,255.0,,0.01676835663089441,1.7600250475898702,0.00024240317272945498,True,97.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-94.29000091552734,4452.1298828125,17.010000228881836,1775.0,8168.4002685546875,2.3999999463558197,0.3999999910593033,0.0,-2472.5,255.0,0.0,,0.009558804600257946,1.326955200445899,-2.593841407916884e-05,True,4,False,4,238.0,False,
5,2088,60.0,False,0,7813.730592916028,377.6400146484375,-2569.22998046875,377.5,-1924.9000549316406,30095.30029296875,1345.0999450683594,-1330.0999450683594,908.6000061035156,2065.800018310547,0.0,1.2103980929024367,-3.0027831293909495,-3.1329806357116077,4316478241743035207,Ny7r0z_03,14.0,394.9100036621094,-2801.3701171875,343.7900085449219,-1768.0000305175781,17588.199462890625,876.6999816894531,2398.9999389648438,-744.8000335693359,-391.6999816894531,255.0,128.0,True,-0.6469407455121254,1.1261804470148684,-0.827520801213885,True,13.686391227988802,True,17,False,16,,8943181586384415657,IceFired04,12.0,3341.030029296875,-1216.5400390625,17.059999465942383,-16057.099609375,-3460.4000854492188,2.0999999344348907,-1.899999976158142,-2.5999999046325684,-2042.7999877929688,188.0,0.0,False,0.016676053261688605,-2.996767872034119,-0.0001480030616732648,True,238.0,False,10,False,10,,enpitsu,76561198039309853,25,1998.06005859375,5006.580078125,28.829999923706055,-15456.099853515625,-1859.2999267578125,-576.8999862670898,-1334.6000671386719,-389.0999984741211,1423.3000183105469,255.0,255.0,,0.05888053940606506,-3.0030371179151643,-0.35126096203834856,True,255.0,False,8,False,8,,games5425898691,bf81d8692db,20.0,-1244.719970703125,1846.050048828125,17.010000228881836,2751.7001342773438,18178.299560546875,2.199999988079071,0.0,0.7000000029802322,-1661.6000366210938,255.0,0.0,,0.009576570896244281,1.3839103371132195,-0.00018483299718436143,True,14,False,14,202.0,False,
6,2336,69.0,True,0,2682.183452997429,-1496.22998046875,2525.840087890625,545.469970703125,13659.69970703125,15287.39990234375,5583.800048828125,1719.7999572753906,-1105.999984741211,1705.8000183105469,0.0,0.504253704340991,-2.8012230636428446,-2.2544085188610916,8943181586384415657,IceFired04,12.0,-1620.1099853515625,2357.8798828125,375.75,12369.89990234375,11809.300537109375,4435.299987792969,-794.8999786376953,-3189.4000244140625,-4409.700012207031,207.0,223.0,True,-0.8720682847931148,1.2628261027387473,-2.1835097144939772,True,103.04819781293153,True,12,4,14,,4316478241743035207,Ny7r0z_03,15.0,-1570.2900390625,1090.550048828125,17.0,12944.200439453125,18925.30029296875,3.400000035762787,-2.3000000417232513,-3.4999999403953552,933.3000183105469,254.0,128.0,False,0.009594513343079909,1.009624326503477,9.334216725378024e-05,True,87.0,False,18,False,20,,enpitsu,76561198039309853,25,-65.05999755859375,5590.14990234375,26.3799991607666,2.8999999165534973,-1.4000000059604645,-0.09999999776482582,3.3000001311302185,0.7999999821186066,0.0,255.0,128.0,False,0.05418177467378413,-1.2566378549966677,0.012184481575953265,True,255.0,False,8,False,8,,games5425898691,bf81d8692db,20.0,-2931.300048828125,3127.14990234375,17.0,10862.2998046875,13277.80029296875,1.0000000149011612,-0.9000000357627869,-1.0999999940395355,-1191.6000366210938,255.0,0.0,,0.009597067377357896,0.880391800730847,-0.00023235062357178122,True,16,False,18,88.38836122840962,True,
7,3672,108.0,False,1,3560.1119563872203,2586.159912109375,2006.6700439453125,147.25999450683594,-15533.499755859375,27052.099609375,-2291.6000366210938,-1804.6000671386719,1791.199951171875,-5434.5001220703125,1.0,1.2193633800742159,-1.6861354166332965,0.2803337088904835,bf81d8692db,games5425898691,19.0,2710.89990234375,1851.7900390625,139.75999450683594,-16198.800048828125,16326.99951171875,155.50000190734863,526.8000030517578,-5415.4998779296875,-802.9000091552734,255.0,241.0,,-0.13167853966324836,0.9825464555596605,-0.5856305484909631,True,204.96554845122884,True,17,False,20,,76561198039309853,enpitsu,25.0,1765.81005859375,1547.1500244140625,17.040000915527344,6194.7998046875,6693.4002685546875,3.799999952316284,-0.09999999776482582,-0.29999999329447746,-586.5000152587891,255.0,128.0,,-0.016683078375415848,2.3652861004617396,0.00032297153913084356,True,31.0,False,12,False,10,,Ny7r0z_03,4316478241743035207,15,2487.409912109375,2164.550048828125,55.9900016784668,6879.6002197265625,-3176.199951171875,3062.6998901367188,1994.7999572753906,-1566.9000244140625,-3315.4000854492188,0.0,0.0,False,0.022938180802690254,-3.0130860196466682,0.037370511649293045,True,,False,22,False,21,,IceFired04,8943181586384415657,12.0,2256.7099609375,2322.1298828125,17.020000457763672,4150.4998779296875,9787.999877929688,11.499999761581421,3.1999999284744263,-3.400000035762787,367.7000045776367,210.0,128.0,,-0.01694810676523814,1.9354239739644892,-6.007697547078165e-05,True,6,False,8,173.0,False,
8,4432,136.0,False,0,3497.4254490757594,1887.030029296875,3021.81005859375,146.57000732421875,-16892.900390625,24623.1005859375,-6779.0997314453125,-360.49999237060547,-1386.6999816894531,5826.300048828125,0.0,-0.9440574249265916,2.8200543839747256,-2.1940682601755004,4316478241743035207,Ny7r0z_03,15.0,1952.469970703125,2760.330078125,167.85000610351562,9321.199951171875,21001.79931640625,1017.3000335693359,-2430.7000732421875,1355.8000183105469,4743.699951171875,255.0,106.0,True,-0.1013133521254139,1.8657171467512421,1.0192172251604228,True,51.0,False,31,False,32,,8943181586384415657,IceFired04,12.0,3733.340087890625,3073.18994140625,17.030000686645508,1940.7000732421875,-20344.69970703125,5.5000001192092896,0.0,-0.09999999776482582,-2069.9000549316406,206.0,0.0,,0.01677792678368653,-1.5536813739317321,-9.015292183191534e-06,True,88.0,False,16,4,12,,enpitsu,76561198039309853,25,1741.3299560546875,4892.0498046875,16.389999389648438,-18235.400390625,-7227.80029296875,73.80000114440918,25.69999933242798,25.09999990463257,339.59999084472656,0.0,128.0,False,0.014731300044223966,-2.7268971677430414,0.0033251298781082584,True,188.0,False,22,2,18,,games5425898691,bf81d8692db,19.0,-623.4400024414062,5035.58984375,17.0,8585.800170898438,6784.1998291015625,3.400000035762787,-0.29999999329447746,-0.19999999552965164,-56.90000057220459,128.0,114.0,,0.00963585601390643,0.6668995457965728,2.0607371021101907e-05,True,6,False,6,31.0,False,
9,4651,144.0,True,0,2009.8775229174898,1098.4000244140625,4891.0498046875,121.61000061035156,-14088.900146484375,5248.499755859375,4033.599853515625,3452.9998779296875,-547.2000122070312,-3193.2000732421875,0.0,-0.8925455899709591,1.3984665333932733,-0.26427500200111304,8943181586384415657,IceFired04,12.0,1256.7099609375,4784.27001953125,19.520000457763672,-11314.7998046875,3937.0999145507812,2959.8001098632812,-1.5999999642372131,0.7000000029802322,1822.2000122070312,227.0,255.0,False,0.016730900069958893,2.8176506069823186,0.00025626071415333447,True,50.0,False,14,4,19,,4316478241743035207,Ny7r0z_03,15.0,-187.47000122070312,2895.1298828125,17.010000228881836,-9782.5,20683.20068359375,2.3000000417232513,-0.19999999552965164,0.7000000029802322,-1668.2000732421875,255.0,0.0,False,0.009598722091511958,1.9685583223672911,-0.00016678975125527208,True,165.0,False,34,False,34,,enpitsu,76561198039309853,25,4078.93994140625,2579.31005859375,341.3299865722656,-2.7000001072883606,1579.7000122070312,-157.10000038146973,23.69999885559082,0.7000000029802322,-2.8999999165534973,128.0,128.0,False,-0.18281663728725792,1.5541308051163167,-1.5678078263306747,True,153.0,False,26,2,22,,games5425898691,bf81d8692db,19.0,1475.6700439453125,2430.080078125,23.829999923706055,-7954.69970703125,19842.900390625,-2267.5,-1436.9000244140625,-387.2999954223633,415.60001373291016,255.0,128.0,,-0.0387286710187397,1.9314124969248871,-0.015810002665971466,True,10,False,10,2.8081806936571656,True,
