,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_double_jump_active,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_1_handbrake
0,166,0,False,True,1,5185.272273010055,7.369999885559082,31.440000534057617,101.36000061035156,3730.4000854492188,24200.10009765625,6401.7999267578125,2762.2000122070312,-2421.6000366210938,4743.999938964844,1.0,-0.055048582950714096,-0.10061515013345088,-0.05674727980172756,76561198310925576,Ramos,14.0,-57.08000183105469,-230.57000732421875,47.900001525878906,15469.300537109375,16961.8994140625,1411.3999938964844,-2423.5000610351562,1628.2000732421875,410.9000015258789,255.0,0.0,False,-0.2335621213323798,1.9752465312744838,-0.1398558257651105,True,0.0,False,6,False,5,,15bef0b02cf844dd8010f0433210421f,DawnShrek,14.0,3040.2099609375,-4148.02001953125,50.630001068115234,6105.5999755859375,-10317.7001953125,-464.3000030517578,4504.100036621094,408.1999969482422,-1286.6999816894531,205.0,128.0,,-0.03002553852075984,-2.5044196647194505,-1.2548500252294068,True,255.0,False,4,4,False,,games5425898691,bf81d8692db,18.0,3377.239990234375,2232.6298828125,17.010000228881836,6642.8997802734375,12183.199462890625,2.8999999165534973,-0.29999999329447746,-0.5000000074505806,2171.999969482422,255.0,255.0,-0.009581075650308482,2.007152228488492,7.173446550035875e-05,False,False,False,False,0.0,False,,enpitsu,76561198039309853,26.0,-164.8000030517578,386.69000244140625,68.83000183105469,12402.39990234375,-19188.00048828125,2629.2001342773438,4138.500061035156,2384.7000122070312,-309.20000076293945,255.0,128.0,,-0.138542803517313,-2.0866062378421364,0.00022826209547847573,True,False,2,1,0.0,False,,
1,168,0,False,False,0,5367.570154274663,-48.869998931884766,-160.3000030517578,149.3800048828125,-18831.700439453125,-427.09999084472656,12289.49951171875,4954.89990234375,2145.0999450683594,2616.7001342773438,0.0,0.20226741930854136,0.4934726098864487,0.08226269130726444,76561198039309853,enpitsu,26.0,82.04000091552734,-258.6300048828125,84.69000244140625,-12422.19970703125,19223.900146484375,2180.800018310547,-4800.5999755859375,-2683.599853515625,-40.79999923706055,255.0,128.0,,0.6148364928573344,2.075480540964969,-0.002851493983840552,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,-3422.169921875,-2338.47998046875,17.010000228881836,-4330.10009765625,-13066.099853515625,2.8999999165534973,0.09999999776482582,0.09999999776482582,2205.5999755859375,255.0,255.0,,0.009570142277220008,-1.8244515116212485,1.7974871672426724e-05,False,0.0,False,False,False,False,,DawnShrek,15bef0b02cf844dd8010f0433210421f,14.0,-3090.639892578125,4233.14013671875,47.849998474121094,-6019.2999267578125,10150.2001953125,-300.5999946594238,-4129.5001220703125,2785.7998657226562,-262.7000045776367,211.0,128.0,0.14477478843635272,2.494131701231303,-0.894370875740016,True,4,False,4,255.0,False,,Ramos,76561198310925576,14.0,-66.93000030517578,98.97000122070312,54.16999816894531,-14150.6005859375,-15136.99951171875,235.6999969482422,2483.0999755859375,-4858.999938964844,-688.0000305175781,0.0,0.0,False,0.7112206891797179,-1.8100674897346665,0.14708835774983756,True,False,6,5,0.0,False,,
2,278,4,False,False,0,5415.010523280444,-2210.260009765625,-113.0999984741211,257.67999267578125,-1239.3000030517578,29147.5,9377.60009765625,1944.2999267578125,5365.10009765625,1853.3000183105469,0.0,0.8445743286235029,0.6944496403883955,-2.4348760508188865,bf81d8692db,games5425898691,18.0,-2164.14990234375,-438.5400085449219,176.49000549316406,-738.1999969482422,22432.39990234375,4344.200134277344,-241.39999389648438,7.5,913.1999969482422,255.0,,,0.11435476914323507,1.9891169796689268,0.024220664837466294,True,171.0,False,4,4,False,,76561198039309853,enpitsu,26.0,-3807.31005859375,-1823.02001953125,70.4800033569336,-2250.800018310547,-19466.800537109375,-2371.699981689453,916.3999938964844,1127.5,872.0999908447266,255.0,,,-0.3692561826663402,-1.5721923350803546,0.40632361681892387,True,255.0,False,4,4,False,,DawnShrek,15bef0b02cf844dd8010f0433210421f,14.0,-1432.3800048828125,3714.0,17.010000228881836,3608.3999633789062,7600.9002685546875,3.0000001192092896,-0.3999999910593033,-0.09999999776482582,2438.8999938964844,167.0,255.0,0.009538901609118623,1.1636817424256025,1.7534031851996425e-05,True,4,False,4,237.0,False,,Ramos,76561198310925576,14.0,-4057.989990234375,1283.530029296875,161.1300048828125,2418.0999755859375,14214.3994140625,-6208.599853515625,-348.69998931884766,-2734.7000122070312,828.3000183105469,255.0,,,0.41074209767647424,1.3676086114169006,1.1411743409173103,True,False,8,8,,False,,
3,418,9,False,True,0,4599.831181549481,-2104.389892578125,701.72998046875,151.05999755859375,10562.7001953125,28771.79931640625,5354.000244140625,-470.29998779296875,2951.199951171875,-4619.700012207031,0.0,0.4406434394348308,-0.28753739906663317,3.089484852692698,76561198039309853,enpitsu,26.0,-2155.280029296875,517.02001953125,128.02999877929688,7206.500244140625,20520.50048828125,3648.900146484375,-0.09999999776482582,0.0,-9.900000095367432,255.0,128.0,False,0.016803974683662327,1.2281703940584163,1.1810223590463202e-05,True,158.0,False,6,False,5,,bf81d8692db,games5425898691,18.0,-3433.219970703125,4023.0,16.420000076293945,9237.2998046875,-7527.5,125.9000015258789,49.099998474121094,68.4000015258789,1380.0999450683594,255.0,239.0,,0.00465437732884025,-0.6698045595191906,0.0005222819964247385,True,171.0,False,6,4,4,,DawnShrek,15bef0b02cf844dd8010f0433210421f,14.0,-586.75,5024.93994140625,17.010000228881836,-36.90000057220459,-645.8000183105469,2.7000001072883606,1.4000000059604645,0.0,0.0,202.0,128.0,0.009418493386435448,-1.628008998905879,-2.36327485243516e-06,True,4,False,4,190.0,False,,Ramos,76561198310925576,14.0,-852.8699951171875,4435.18017578125,17.010000228881836,-2339.600067138672,1161.8000030517578,2.7000001072883606,-0.5000000074505806,-0.29999999329447746,0.0,128.0,128.0,,0.009587511892875036,-0.46102352136679464,2.748275789470718e-05,True,False,8,8,31.0,False,,False
4,453,10,False,False,1,9455.224399676146,773.4500122070312,-4314.43017578125,315.3999938964844,-4807.300109863281,-1133.7999725341797,15005.799560546875,4521.400146484375,-3871.300048828125,-754.0000152587891,1.0,-0.6343978108239959,1.2281555318950894,2.567502956184287,76561198310925576,Ramos,14.0,777.1699829101562,-4399.490234375,141.30999755859375,-866.5000152587891,-284.50000762939453,2777.5,1641.199951171875,2049.499969482422,-3118.9999389648438,128.0,128.0,,0.5117984553643377,1.4057981685839884,0.1999298930620284,True,24.781857913540257,True,10,3,8,,15bef0b02cf844dd8010f0433210421f,DawnShrek,14.0,589.2000122070312,-4709.1298828125,97.2699966430664,522.0000076293945,2153.2000732421875,3277.5,771.2000274658203,-184.69999313354492,-688.0000305175781,128.0,128.0,False,0.1198256654296027,1.914386272085147,0.006921860377939195,True,190.0,False,6,4,False,,games5425898691,bf81d8692db,18.0,2143.60009765625,-3032.080078125,17.010000228881836,-2011.9999694824219,14440.899658203125,2.5999999046325684,-0.0,-0.7000000029802322,-266.9000053405762,255.0,128.0,-0.009594338057144451,1.4629390120824795,0.00018172965944538805,True,4,4,6,144.0,False,,enpitsu,76561198039309853,26.0,1250.1700439453125,-3181.580078125,73.55999755859375,-7302.19970703125,-21520.50048828125,-3541.300048828125,1091.500015258789,-875.5999755859375,-314.89999771118164,255.0,128.0,False,0.17194481090905658,-0.9337847535452076,0.4336670481004518,True,False,6,6,158.0,False,,
5,557,14,False,False,1,9965.191806638815,-862.3800048828125,-4668.830078125,948.75,2325.0999450683594,-2128.800048828125,10541.800537109375,-845.6999969482422,3624.1000366210938,-511.30001068115234,1.0,0.42943539364066524,1.6239449234435854,1.6936410409414107,15bef0b02cf844dd8010f0433210421f,DawnShrek,14.0,-883.5800170898438,-4649.1201171875,765.5700073242188,-5320.0,-1788.0999755859375,6357.8997802734375,552.0000076293945,-3048.9999389648438,-2317.5,216.0,135.0,,0.9092321512424427,-1.4684215623595993,-2.150723021239015,True,164.96679553421592,True,8,False,4,,76561198310925576,Ramos,14.0,-338.42999267578125,-4404.56982421875,17.010000228881836,-1356.9999694824219,-879.1000366210938,2.7000001072883606,-0.5000000074505806,-0.29999999329447746,0.0,,,,-0.009642540069173762,-0.5748573534450071,-5.796102115092457e-05,True,47.0,False,10,8,4,,games5425898691,bf81d8692db,18.0,-863.030029296875,-4467.35986328125,732.0999755859375,-10387.80029296875,-11161.700439453125,4438.2000732421875,389.50000762939453,291.49999618530273,141.00000381469727,255.0,255.0,1.2142911688511848,0.039878849274799684,0.907781583291857,True,4,4,8,106.96679553421593,True,,enpitsu,76561198039309853,26.0,-928.5,-3988.4599609375,17.059999465942383,-693.7000274658203,9921.199951171875,2.5999999046325684,-0.0,-1.2999999523162842,1921.1000061035156,255.0,255.0,,-0.01666953188339453,1.5023319254484337,0.00031131054689177706,True,False,6,6,158.0,False,,
6,650,17,True,True,0,1236.0881357483838,285.9200134277344,4778.08984375,350.2699890136719,-12636.99951171875,25169.29931640625,-13306.700439453125,-4594.5001220703125,-3445.5999755859375,1736.9999694824219,0.0,-0.4370563540858419,-2.0436897351826184,1.400985978902314,76561198039309853,enpitsu,26.0,428.42999267578125,4503.66015625,353.8399963378906,-8330.399780273438,16935.50048828125,2744.1000366210938,-2411.6000366210938,-1952.7999877929688,-406.8000030517578,255.0,128.0,False,-0.6054070290775337,2.3421072844385957,-0.2425714787776185,True,111.0,False,8,False,7,,bf81d8692db,games5425898691,18.0,3006.2900390625,3804.280029296875,17.010000228881836,3000.10009765625,-13684.89990234375,2.8999999165534973,0.09999999776482582,-1.4000000059604645,-2034.4000244140625,255.0,0.0,,0.009591551834415955,-1.4009557305993885,-0.00014830403062427615,True,255.0,False,8,4,4,,DawnShrek,15bef0b02cf844dd8010f0433210421f,14.0,315.1199951171875,5105.18994140625,46.95000076293945,-7632.80029296875,-1537.4000549316406,1831.1000061035156,-3299.2001342773438,-1521.9000244140625,1985.8000183105469,223.0,134.0,-0.023037477078064892,-2.4793808791164436,0.6073188271136817,True,4,False,10,57.30142800013223,True,,Ramos,76561198310925576,14.0,54.599998474121094,4844.990234375,494.7900085449219,2324.600067138672,1384.1999816894531,-204.59999084472656,710.1999664306641,1904.6000671386719,-245.10000228881836,128.0,128.0,,1.344005928644894,-2.946849347254264,-2.4062734826681944,True,6,12,8,0.0,False,,False
7,653,17,False,False,1,10216.65285776701,-162.7100067138672,-5021.64990234375,225.85000610351562,9876.099853515625,-5870.4998779296875,8761.799926757812,5526.6998291015625,854.4000244140625,2173.6000061035156,1.0,0.7109171501576764,2.1967120456759357,2.0563282362490267,15bef0b02cf844dd8010f0433210421f,DawnShrek,14.0,-181.97999572753906,-5076.0,70.83999633789062,9255.2001953125,810.8000183105469,-920.8999633789062,3792.39990234375,3882.0001220703125,-892.7999877929688,128.0,189.0,False,0.28504137156438275,2.4056298309459025,1.1023367558699784,True,54.0,False,10,False,4,,76561198310925576,Ramos,14.0,-74.0,-4856.490234375,490.5899963378906,-2324.600067138672,-1384.1999816894531,-745.5999755859375,-537.7000045776367,-1506.1000061035156,-186.49999618530273,128.0,128.0,,-1.208135947928356,-3.1125106790253927,-2.6211022482618396,True,0.0,False,12,8,6,,games5425898691,bf81d8692db,18.0,-3014.840087890625,-3562.18994140625,17.010000228881836,1923.0000305175781,13677.099609375,2.8999999165534973,-0.0,0.09999999776482582,-2196.1000061035156,255.0,0.0,-0.009575930515555204,1.776136065346912,-3.557212707021187e-05,True,4,4,8,255.0,False,,enpitsu,76561198039309853,26.0,-287.70001220703125,-4781.31005859375,390.0400085449219,7869.6002197265625,-15333.499755859375,212.19999313354492,4360.799865722656,3033.2000732421875,-1425.3999328613281,255.0,128.0,False,-0.565646390381443,-2.0011440527928475,-0.3117508856277048,True,False,8,7,111.0,False,,
8,914,18,False,False,1,5180.089735368977,-73.73999786376953,51.4900016784668,124.76000213623047,-21759.49951171875,-2427.5999450683594,4257.60009765625,-3225.7000732421875,2196.9000244140625,-4557.200012207031,1.0,0.2906020266927668,-0.11763654646948724,0.4126291739664369,15bef0b02cf844dd8010f0433210421f,DawnShrek,14.0,-35.97999954223633,-157.8699951171875,83.97000122070312,10383.900146484375,20330.50048828125,2727.9000854492188,-4714.200134277344,742.6000213623047,2733.900146484375,184.0,128.0,,-0.1903321540811016,1.6744855232390055,0.021674751532938737,True,5.0,False,6,False,5,,76561198310925576,Ramos,14.0,45.970001220703125,-2308.60009765625,17.010000228881836,-727.9000091552734,10431.700439453125,2.7000001072883606,0.3999999910593033,-0.0,0.0,255.0,128.0,,-0.009580808912570559,1.5011103870545828,-1.9397243018994518e-06,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,-2502.610107421875,3941.75,17.010000228881836,-17554.7998046875,9614.000244140625,2.5,-0.0,0.3999999910593033,-7.099999785423279,255.0,128.0,-0.00962894087658865,0.5019876266992286,-1.656519040068099e-06,True,False,False,False,12.0,False,,enpitsu,76561198039309853,26.0,14.869999885559082,135.97999572753906,98.56999969482422,-9071.099853515625,-1592.5999450683594,-279.50000762939453,240.10000228881836,-1000.8999633789062,-5402.80029296875,255.0,128.0,,-1.4953229951741174,-0.18797719722334844,-0.6318539771145052,True,False,2,1,0.0,False,,
9,992,20,False,False,0,6699.766871784836,3998.68994140625,565.1900024414062,1011.1500244140625,-8483.200073242188,12601.99951171875,3786.9000244140625,891.5000152587891,1707.5,-5682.2998046875,0.0,-0.6675220251507432,3.0731693986305566,-0.35167101809723694,bf81d8692db,games5425898691,18.0,3856.02001953125,448.9100036621094,961.5499877929688,-4853.999938964844,21535.10009765625,958.3000183105469,1817.2999572753906,-1009.3000030517578,-5091.9000244140625,255.0,124.0,,-0.05603006414787352,0.8223875149964442,-1.560411990144202,True,173.0,False,4,False,3,,76561198039309853,enpitsu,26.0,3434.510009765625,-0.05000000074505806,17.040000915527344,13724.3994140625,-4702.9998779296875,5.299999713897705,0.3999999910593033,0.0,-2640.2999877929688,255.0,0.0,False,0.016766063642267934,-0.4423479720735296,-0.00017015304732195832,True,255.0,False,2,2,False,,DawnShrek,15bef0b02cf844dd8010f0433210421f,14.0,-1583.219970703125,-939.260009765625,89.69999694824219,-13606.700439453125,770.5000305175781,-162.99999237060547,-960.5000305175781,-5408.599853515625,-271.200008392334,211.0,60.0,0.830664736635452,-0.22267834638747763,-3.0991794731608358,False,7,False,8,0.0,False,,Ramos,76561198310925576,15.0,3074.429931640625,3879.300048828125,17.010000228881836,5665.4998779296875,15047.19970703125,2.800000011920929,0.0,-0.5000000074505806,1911.6000366210938,128.0,255.0,,0.009660719753494904,1.2700345537789568,4.8597956070764355e-05,True,False,False,False,4.0,False,,False
