,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,179,0,False,False,1,5236.803421502996,-28.290000915527344,-14.59000015258789,93.30000305175781,-2570.5999755859375,-1283.8999938964844,358.8999938964844,-1015.5000305175781,-2159.7999572753906,-3534.7000122070312,1.0,-0.1958931617790147,0.30911182030587125,0.4842941732890158,5803f8ddea8b4e339834f6e8cdcedd07,KidBuuJohan,16.0,-19.209999084472656,-163.39999389648438,117.18000030517578,-5745.3997802734375,2463.6000061035156,6383.4002685546875,5089.100036621094,-1636.4999389648438,-1292.8999328613281,255.0,255.0,,-0.10113642430880843,1.6693074636306464,-0.3971086432863138,True,31.0,False,4,False,3,,2c599168fea841bfa07cd37d5736a030,TrumpyNL_2,7.0,-991.5800170898438,-3262.070068359375,17.010000228881836,-3850.4000854492188,9314.400024414062,2.5,-0.09999999776482582,0.09999999776482582,-2380.2000427246094,255.0,0.0,,-0.009526461133923466,1.2279517809516143,-1.5491900593240555e-05,True,False,False,False,146.0,False,,enpitsu,76561198039309853,25.0,22.1299991607666,117.1500015258789,92.80000305175781,1308.2000732421875,762.5,132.29999542236328,5053.800048828125,-311.8000030517578,-2147.4000549316406,255.0,128.0,,-1.0711793062150212,1.7948060190790776,-3.0992706218968573,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-0.0,5501.31005859375,22.799999237060547,-0.0,1330.0999450683594,58.89999866485596,-6.700000166893005,-0.0,0.0,255.0,,-0.0490850588211804,-1.5707424079565582,-1.3234120196870805e-06,True,False,116.0,False,False,False,,
1,191,0,False,False,1,5217.4670589733105,-103.06999969482422,19.079999923706055,93.0999984741211,-1647.8999328613281,1002.2000122070312,123.90000343322754,-1098.3000183105469,-1805.8999633789062,-940.8000183105469,1.0,-1.1115778887874999,0.9136061919253642,0.4304668805389558,5803f8ddea8b4e339834f6e8cdcedd07,KidBuuJohan,16.0,-297.3299865722656,-141.88999938964844,157.52999877929688,-6475.4998779296875,609.1999816894531,-150.20000457763672,-3091.300048828125,-4174.599914550781,-1807.1000671386719,255.0,128.0,,0.39730900412673226,2.991207886271025,-3.0756778893853918,True,31.0,False,4,False,3,,2c599168fea841bfa07cd37d5736a030,TrumpyNL_2,7.0,-987.6900024414062,-2825.179931640625,17.010000228881836,1807.5,12341.300048828125,-0.3999999910593033,-0.5000000074505806,-3.700000047683716,240.20000457763672,255.0,128.0,,-0.009562873356284344,1.7029512857252131,-3.641551810416172e-05,True,False,False,False,133.44812896174773,True,,enpitsu,76561198039309853,26.0,87.62000274658203,173.0,91.37000274658203,1554.7999572753906,1358.5000610351562,-334.1999816894531,4582.39990234375,-1889.4999694824219,-604.7000122070312,255.0,0.0,,1.1868235691361173,-1.4866505949405757,-0.2989758879293474,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-0.0,5387.60986328125,18.489999771118164,-0.0,-5325.8001708984375,-147.5,-212.90000915527344,-0.0,0.0,255.0,,-0.044109282877826145,-1.570748562259901,-9.925408237183203e-07,True,False,116.0,False,False,False,,
2,227,1,False,False,0,5420.569677101977,317.3299865722656,-143.02999877929688,93.4000015258789,7641.500244140625,7915.9002685546875,641.9999694824219,182.70000457763672,1918.0999755859375,5682.1002197265625,0.0,-0.6796698549263454,1.8845056582610067,-1.3718010704709338,76561198039309853,enpitsu,26.0,220.2100067138672,-275.5,70.22000122070312,10446.099853515625,2585.4000854492188,2922.60009765625,1521.9000244140625,1653.8999938964844,572.2000122070312,255.0,255.0,,0.09675037383621553,0.009824300021553163,0.021178721093313053,True,31.0,False,4,False,3,,bf81d8692db,games5425898691,24.0,0.0,-5582.14990234375,26.020000457763672,0.0,4322.799987792969,-170.0,-0.5999999865889549,0.0,0.0,255.0,,,0.048879004365879525,1.5708554929279939,9.077006271014003e-06,True,False,False,False,116.0,False,,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,16.0,772.7100219726562,25.350000381469727,17.040000915527344,-5977.7001953125,-1779.9000549316406,0.3999999910593033,2.7000001072883606,0.09999999776482582,1719.2999267578125,255.0,255.0,False,0.0166189767205432,-2.9131043737213758,0.0005004989444915215,True,5.824051382721113,True,4,False,4,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,557.6900024414062,432.4700012207031,44.380001068115234,1668.5000610351562,-22764.3994140625,2827.5,555.2000045776367,-1138.0000305175781,410.2000045776367,255.0,128.0,0.018173964475201133,-1.4427963074784467,0.024934862661502848,False,False,20.530090119249078,True,False,4,,
3,231,1,False,False,1,5251.665557191512,-408.7300109863281,52.9900016784668,102.26000213623047,9839.89990234375,12602.60009765625,3216.400146484375,4510.4998779296875,-2167.5,-3310.0,1.0,0.774672162672329,-2.1662310613693623,-0.8635485211992578,2c599168fea841bfa07cd37d5736a030,TrumpyNL_2,7.0,-521.2899780273438,-74.37000274658203,75.25,5025.7000732421875,22415.90087890625,1125.4000091552734,-2653.800048828125,4811.099853515625,-243.99999618530273,255.0,0.0,,-0.3012609981012861,1.333706324885101,0.843281393939209,False,12.0,False,4,False,3,,5803f8ddea8b4e339834f6e8cdcedd07,KidBuuJohan,16.0,-646.2000122070312,24.100000381469727,17.040000915527344,7991.500244140625,3548.800048828125,3.4999999403953552,1.1999999731779099,0.5000000074505806,263.4000015258789,255.0,128.0,False,-0.016680372862830847,2.7007744428484197,-0.0002489098224009897,True,4,False,4,0.0,False,,enpitsu,76561198039309853,26.0,-307.5,253.9499969482422,92.04000091552734,-10498.699951171875,-2586.7001342773438,2365.5999755859375,3938.599853515625,-3645.5999755859375,1202.3999786376953,255.0,255.0,,-0.5160710156460482,-0.01700616987678443,-0.3092559526464455,True,31.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,-0.0,5541.72998046875,24.43000030517578,-0.0,-5268.3001708984375,-208.09999465942383,0.9000000357627869,-0.0,0.0,255.0,,-0.048886635887734224,-1.5708551554618264,1.4376856968673812e-06,True,False,116.0,False,False,False,,
4,337,5,False,False,0,6870.236802004655,-3962.830078125,-1007.739990234375,916.739990234375,16118.900146484375,17540.400390625,338.49998474121094,-756.9000244140625,-1420.5999755859375,-5780.0,0.0,-0.8487093983172567,2.598650221991914,0.9878228220026556,bf81d8692db,games5425898691,24.0,-4079.010009765625,-1262.18994140625,890.280029296875,3.400000035762787,22981.4990234375,921.9999694824219,-1851.3999938964844,0.7000000029802322,0.09999999776482582,255.0,0.0,,0.010588658516829628,1.580381852669748,1.5708293517048153,True,126.57706675990934,True,False,False,False,,76561198039309853,enpitsu,26.0,2997.47998046875,-3977.090087890625,17.040000915527344,8086.6998291015625,-11260.899658203125,4.699999988079071,0.5999999865889549,-1.0999999940395355,-2588.5000610351562,255.0,0.0,False,0.016757233051281607,-1.041388228461101,-0.00020059250255322335,True,4,False,4,255.0,False,50.0,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,16.0,-4076.510009765625,-644.97998046875,866.489990234375,2958.699951171875,-13895.6005859375,11396.199951171875,1757.5,-1.0000000149011612,-0.09999999776482582,255.0,255.0,,-0.6564126387235091,-1.5919186874560614,-1.5578195624826092,True,173.60877410058058,True,5,False,4,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,-3021.43994140625,-2163.090087890625,112.16000366210938,-7640.4998779296875,17687.60009765625,-155.2999973297119,-4989.89990234375,1966.7999267578125,-1217.300033569336,128.0,255.0,0.7441522218606061,-2.922500679684737,2.4958928955948974,True,7,,False,False,8,,
5,431,9,True,True,0,1842.579477662849,564.25,4016.27001953125,157.07000732421875,2905.7998657226562,22231.59912109375,4319.599914550781,3042.5,5136.6998291015625,-596.6999816894531,0.0,-0.24174631930072843,-1.2544287919457537,2.391119848377246,bf81d8692db,games5425898691,24.0,601.25,3822.97998046875,21.959999084472656,4166.000061035156,19633.900146484375,3001.9000244140625,-0.5000000074505806,0.5000000074505806,1667.5999450683594,128.0,236.0,,0.009642970106294843,1.4263680385715485,-3.972717904799679e-05,True,31.0,False,3,False,False,,76561198039309853,enpitsu,26.0,3483.2099609375,-657.5700073242188,17.040000915527344,11864.300537109375,18366.199951171875,4.300000071525574,-0.3999999910593033,-0.7999999821186066,1858.3999633789062,255.0,255.0,False,0.016786463438619583,1.0546725479349808,0.00013012915258264534,True,4,False,4,130.0,False,,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,16.0,-1925.0699462890625,-4858.4501953125,17.049999237060547,721.1000061035156,-4841.9000244140625,2.8999999165534973,0.5000000074505806,-1.2999999523162842,-1808.800048828125,255.0,0.0,True,0.01666023769423502,-1.3870644905253466,-0.00020440357448022947,True,155.0,False,6,False,6,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,-611.7100219726562,3581.969970703125,17.010000228881836,15703.299560546875,14400.10009765625,2.0999999344348907,-3.100000023841858,-2.8999999165534973,922.2000122070312,255.0,128.0,0.009585603146558134,0.8043424496777751,-5.583055029837091e-05,True,10,31.0,False,False,10,,
6,703,9,False,True,0,5179.760631128362,3.049999952316284,38.86000061035156,96.20999908447266,2018.699951171875,27227.19970703125,2033.699951171875,5966.9000244140625,-549.1999816894531,306.200008392334,0.0,-0.010752248369168963,0.0052198726109847025,0.11345015905429777,bf81d8692db,games5425898691,24.0,-7.829999923706055,-132.58999633789062,97.4000015258789,2360.500030517578,22687.2998046875,225.49999237060547,-5483.2000732421875,370.09998321533203,215.6999969482422,128.0,173.0,,1.3080176389020857,1.4489788274412125,-0.04225987718277769,True,31.0,False,4,False,3,,76561198039309853,enpitsu,26.0,0.0,-4262.5498046875,17.049999237060547,0.0,8132.7001953125,2.5,-0.29999999329447746,0.0,0.0,255.0,,,0.016624701214700947,1.5707738416867683,-2.4633792924850446e-07,True,False,False,False,107.0,False,,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,16.0,0.0,1127.06005859375,178.64999389648438,0.0,-21540.70068359375,2659.2999267578125,0.3999999910593033,0.0,0.0,255.0,,,0.016746835284743453,-1.570817855487399,-1.800088497519415e-07,True,19.0,False,4,False,False,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,3096.219970703125,4378.580078125,17.010000228881836,-4609.4000244140625,10423.599853515625,1.2999999523162842,0.9000000357627869,-0.29999999329447746,3028.699951171875,255.0,255.0,0.009597024732245855,2.18846382950361,9.077336311008878e-05,True,4,243.8132213238747,True,False,4,,False
7,743,11,False,False,1,9067.170861711611,-1360.0,-3642.030029296875,114.3499984741211,-540.2000045776367,18250.799560546875,13301.8994140625,4358.800048828125,-3644.5001220703125,1928.2000732421875,1.0,-1.2435627130767657,-0.1680617011324466,1.0062755199153641,2c599168fea841bfa07cd37d5736a030,TrumpyNL_2,7.0,-1374.22998046875,-3810.02001953125,14.699999809265137,7983.4002685546875,9019.500122070312,-803.3999633789062,237.29999542236328,-1781.3999938964844,2563.3999633789062,255.0,0.0,False,0.033836424731355653,2.1399403702656663,-0.03367196775293928,True,214.0,False,4,False,4,,5803f8ddea8b4e339834f6e8cdcedd07,KidBuuJohan,16.0,-19.540000915527344,1744.3800048828125,89.2699966430664,-132.29999542236328,18947.80029296875,-4386.600036621094,-937.6999664306641,-31.700000762939453,-483.80001068115234,255.0,0.0,,0.10745765110771867,1.480823755965636,0.3248316072316305,True,4,False,4,19.0,False,,enpitsu,76561198039309853,26.0,-373.5,2824.669921875,17.049999237060547,-11808.199462890625,-4291.700134277344,3.1999999284744263,0.19999999552965164,-0.0,-2345.399932861328,128.0,128.0,,-0.016723812615664094,-0.28563763598261216,2.304545119670886e-05,True,107.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,-685.1300048828125,-2153.110107421875,16.989999771118164,-15350.10009765625,-9278.300170898438,4.699999988079071,0.19999999552965164,-0.0,-1976.300048828125,255.0,0.0,-0.009577030543914462,-0.47168117757298444,2.1086662789822003e-05,False,4,0.0,False,False,4,,
8,856,15,False,False,0,8845.830352558945,1580.9599609375,-3351.9599609375,174.08999633789062,8301.300048828125,9490.999755859375,9862.5,5763.2000732421875,-301.299991607666,-1641.300048828125,0.0,0.05172275410153146,0.6615326416387736,2.416118386560724,76561198039309853,enpitsu,26.0,1504.02001953125,-3501.830078125,122.5,1622.2999572753906,7497.39990234375,-152.89999961853027,-5140.5999755859375,-1882.5999450683594,528.6000061035156,128.0,128.0,,-0.7821621023901834,-3.083480238013289,1.9536905262182518,True,107.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,3175.070068359375,-4043.1201171875,17.010000228881836,-11568.599853515625,-19471.400146484375,2.3000000417232513,-0.5000000074505806,-0.3999999910593033,-1873.9999389648438,255.0,0.0,,0.009603480893950403,-2.1724262723387433,-7.160439904537491e-05,True,6,False,6,255.0,False,50.0,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,17.0,-2441.64990234375,903.9199829101562,17.040000915527344,17892.7001953125,1442.8999328613281,3.700000047683716,-0.7000000029802322,0.0,-12.200000286102295,255.0,128.0,False,0.016761617797254682,0.0790525996191673,6.357397642671669e-05,True,230.0,False,4,False,4,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,1412.43994140625,-3162.389892578125,63.91999816894531,1890.7000732421875,-20607.60009765625,-1318.3000183105469,-371.6999816894531,5470.8001708984375,426.3999938964844,255.0,255.0,0.28684427022683756,-1.4971525144308182,0.8336506432528021,False,4,85.0,False,False,6,,
9,965,19,False,False,0,6762.564424434902,3409.169921875,-75.1500015258789,207.16000366210938,21321.79931640625,18483.900146484375,-462.7000045776367,-1278.3000183105469,546.5000152587891,-2079.9000549316406,0.0,0.6760327236301278,1.328290231707734,1.9665538098554527,bf81d8692db,games5425898691,24.0,3189.47998046875,-235.57000732421875,184.2100067138672,11493.800048828125,16622.80029296875,2089.9000549316406,-5105.10009765625,-916.9999694824219,-1829.4000244140625,255.0,255.0,,-0.12511452000371856,0.56716961156697,-0.6557692498737249,True,162.21510554129077,True,8,False,7,,76561198039309853,enpitsu,25.0,2935.52001953125,-445.7900085449219,127.91000366210938,10905.50048828125,14116.500244140625,3643.0999755859375,-410.60001373291016,317.1999931335449,-0.09999999776482582,255.0,128.0,False,0.02975715455193837,0.9129737690316663,2.5781288253204742e-05,True,3,False,4,15.0,False,,KidBuuJohan,5803f8ddea8b4e339834f6e8cdcedd07,16.0,3100.580078125,1222.6600341796875,17.040000915527344,3001.6000366210938,-22011.79931640625,3.4999999403953552,-0.29999999329447746,1.5000000596046448,482.7000045776367,255.0,128.0,False,0.016795007107080828,-1.399641520491022,-0.00011368524791526048,True,172.0,False,4,False,4,,TrumpyNL_2,2c599168fea841bfa07cd37d5736a030,7.0,1546.9200439453125,1146.9100341796875,17.010000228881836,-4483.599853515625,21924.89990234375,2.0999999344348907,0.9000000357627869,-3.1999999284744263,-1182.699966430664,255.0,0.0,0.009611843455209339,1.7561527814870665,-0.00011805764950726134,True,6,53.0,False,False,8,,False
