,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect,opp_2_handbrake
0,178,0,False,False,0,5245.977643957571,32.75,-23.110000610351562,121.30999755859375,11499.69970703125,6345.2001953125,6712.8997802734375,-1191.500015258789,-2852.60009765625,-5142.19970703125,0.0,-0.10877013692308402,-0.14911250324313052,-0.2564589440959842,8103191170931081510,Speedfreek52,7.0,-9.180000305175781,-191.77999877929688,62.619998931884766,-6408.3001708984375,22034.7998046875,1546.300048828125,-2753.9999389648438,-4725.299987792969,-579.900016784668,236.0,240.0,True,0.3276121690913207,1.4521938689279872,-0.794423604933454,True,6,63.877772192801196,True,False,5,,8804005501172738206,ethernat_cable,8.0,-589.4000244140625,-3882.550048828125,17.010000228881836,-9671.099853515625,5938.900146484375,2.3999999463558197,-1.7000000178813934,0.7999999821186066,-1968.699951171875,255.0,18.0,,0.009543712499123534,2.5686464959869655,-0.00022992539176835435,True,116.0,False,False,False,False,,enpitsu,76561198039309853,24.0,0.0,3265.909912109375,17.049999237060547,0.0,-12670.50048828125,2.5,0.7999999821186066,0.0,0.0,255.0,,,0.016655160615188423,-1.5707740956181881,1.8463962586854095e-07,True,106.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-13.670000076293945,158.75,86.68000030517578,266.1000061035156,-22840.90087890625,357.59998321533203,5487.0001220703125,375.9000015258789,-25.69999933242798,128.0,130.0,1.2271794068573576,-1.5993347443612196,-0.09309303764555646,True,31.0,False,4,False,3,,
1,286,3,False,False,0,9310.209040630563,3971.080078125,-2796.719970703125,200.60000610351562,-12177.60009765625,15820.10009765625,1131.9999694824219,2093.8999938964844,3430.10009765625,4455.199890136719,0.0,0.9692809833745082,-1.2443471091666354,-0.31570810027384344,8804005501172738206,ethernat_cable,7.0,4077.429931640625,-3004.969970703125,251.0500030517578,-94.79999542236328,14432.7001953125,-1405.0999450683594,-2094.199981689453,278.1999969482422,69.00000095367432,255.0,255.0,,0.13518123715398217,1.5676985012109765,-1.5222219672856123,True,False,215.33557857749284,True,False,False,,8103191170931081510,Speedfreek52,7.0,-3728.1298828125,-661.27001953125,16.8799991607666,8094.0997314453125,-14392.60009765625,27.699999809265137,-12.000000476837158,51.19999885559082,2019.1000366210938,236.0,255.0,,0.008587090631561987,-0.9899252950426093,0.00342658447078522,True,210.0,False,8,8,False,,enpitsu,76561198039309853,24.0,3213.989990234375,1289.6800537109375,17.049999237060547,-1479.7000122070312,10090.0,2.5999999046325684,-0.29999999329447746,1.5999999642372131,201.49999618530273,255.0,128.0,,0.016678368484800067,1.738987148999682,-0.00020970416108140246,True,37.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,3976.699951171875,230.47000122070312,58.7599983215332,8089.69970703125,10963.499755859375,4708.299865722656,-976.2999725341797,-4222.0001220703125,1993.2000732421875,255.0,255.0,-0.3802391108705147,0.9832209723650609,-0.48327436102256804,True,255.0,False,6,False,6,,
2,328,5,False,False,0,6497.832741374881,2250.659912109375,-545.0999755859375,98.5,-9363.300170898438,12493.699951171875,1096.6000366210938,-4179.89990234375,-2301.3999938964844,3637.5,0.0,0.28086861470347185,1.858876052884255,-0.26348651180529825,8804005501172738206,ethernat_cable,7.0,2388.659912109375,-838.0700073242188,16.989999771118164,-15333.399658203125,15864.49951171875,4.799999892711639,-1.0000000149011612,-2.800000011920929,1744.7000122070312,107.0,250.0,,0.009643882657462214,2.402066159901727,8.657862782442181e-05,True,False,141.0,False,False,False,,8103191170931081510,Speedfreek52,7.0,-1883.199951171875,209.63999938964844,17.020000457763672,6065.999755859375,17103.800048828125,0.7999999821186066,0.09999999776482582,0.7999999821186066,1.0999999940395355,225.0,128.0,,0.009594923695178925,1.2301702272031976,-7.087544258169163e-05,True,164.0,False,8,8,False,,enpitsu,76561198039309853,24.0,3165.1298828125,3391.14990234375,17.049999237060547,-703.0000305175781,17108.1005859375,2.5999999046325684,0.0,0.5000000074505806,46.39999866485596,255.0,128.0,,0.01677559630470088,1.6172351358015558,-6.0732099288903e-05,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,2757.0400390625,1172.68994140625,17.0,-18672.5,-6514.4000244140625,0.9000000357627869,1.8000000715255737,0.5000000074505806,508.49998474121094,255.0,128.0,0.009584817506725282,-2.7655652027513167,-0.00012590073167900782,True,166.76788845369887,True,6,False,6,,
3,346,6,False,False,1,5866.9488840035365,-1705.6400146484375,-118.56999969482422,101.80999755859375,-4779.200134277344,22243.1005859375,1705.7000732421875,1316.1000061035156,397.59998321533203,5840.30029296875,1.0,0.5154641501465984,0.11462245353476551,1.4410654790889939,bf81d8692db,games5425898691,19.0,-1655.1099853515625,-400.6400146484375,80.30000305175781,10270.0,20361.400146484375,2834.8001098632812,-3113.900146484375,-4501.099853515625,540.9000015258789,255.0,255.0,,-0.02982125000405319,2.1355780866183514,-0.5297628144706377,True,8,138.0,False,False,7,,76561198039309853,enpitsu,24.0,-2943.360107421875,-4431.7900390625,17.049999237060547,10088.599853515625,-12739.89990234375,3.0000001192092896,-0.0,-0.0,2043.2000732421875,255.0,255.0,,-0.016773181721054423,-2.3068551801757042,1.5960860769244683e-05,True,255.0,False,False,False,False,,Speedfreek52,8103191170931081510,7.0,1608.199951171875,-1332.0400390625,17.020000457763672,-4617.39990234375,-17255.50048828125,1.1999999731779099,-0.0,-0.19999999552965164,-2114.2999267578125,196.0,0.0,True,-0.009592662723589562,-1.2505351507361555,-0.00022780713564248982,True,164.0,False,8,False,8,,ethernat_cable,8804005501172738206,7.0,-1592.800048828125,229.74000549316406,16.989999771118164,8308.099975585938,-11367.2998046875,4.600000083446503,-0.0,-0.0,167.00000762939453,255.0,173.0,-0.00958204832139474,-2.175474253291024,0.00023144030286735814,True,141.0,False,False,False,False,,
4,465,10,False,False,0,10733.283289164769,2600.27001953125,-5007.8798828125,626.9299926757812,15059.3994140625,12032.80029296875,6138.699951171875,-261.00000381469727,2139.4000244140625,5599.5001220703125,0.0,0.8944511532911631,1.845096962324055,2.753681767742148,8804005501172738206,ethernat_cable,7.0,2500.169921875,-5104.240234375,556.4400024414062,10821.400146484375,-113.90000343322754,8044.2999267578125,-189.50000762939453,832.6999664306641,-102.5,255.0,128.0,False,-0.6441489635971794,0.006618120791290873,-1.5933281474082979,True,False,0.0,False,False,False,,8103191170931081510,Speedfreek52,8.0,878.1199951171875,-4618.77001953125,17.010000228881836,10509.3994140625,-9690.10009765625,2.0999999344348907,-1.5000000596046448,1.1999999731779099,798.3000183105469,176.0,156.0,False,0.009610918776486635,-0.7217363737247078,5.750550750629197e-05,True,160.0,False,10,10,False,,enpitsu,76561198039309853,24.0,2897.179931640625,-394.9200134277344,17.049999237060547,12071.400146484375,3288.5000610351562,3.1999999284744263,0.0,0.0,2349.2999267578125,255.0,128.0,False,0.016736883344630627,0.3288542491479308,1.5418111480844057e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,2253.080078125,-1557.1300048828125,16.989999771118164,15766.300048828125,8521.900024414062,4.799999892711639,0.19999999552965164,0.09999999776482582,-1972.5,255.0,0.0,0.009604048182253334,0.4241177079141292,-3.481182618462507e-05,True,102.0,False,8,False,8,,
5,527,12,False,False,1,5630.291003616656,-3987.300048828125,2337.580078125,436.1099853515625,-1941.300048828125,23588.9990234375,5246.5997314453125,1114.8999786376953,4798.999938964844,-3424.2001342773438,1.0,-0.6991363499273777,1.1555309891936718,1.9866174187807897,bf81d8692db,games5425898691,19.0,-3932.419921875,2199.090087890625,334.8699951171875,-8326.300048828125,6545.7000732421875,2057.5,-3517.0999145507812,-1478.5000610351562,-3961.4999389648438,255.0,213.0,,0.4848822390266597,0.9080773345326884,-0.01268880474448662,True,10,33.070985012156996,True,False,9,,76561198039309853,enpitsu,24.0,-3840.60009765625,-255.72000122070312,17.110000610351562,7928.699951171875,-3359.2999267578125,-799.1999816894531,1002.0999908447266,-2349.1000366210938,-38.09999942779541,255.0,128.0,False,-0.04155727076051312,-2.763379774873521,-0.010212865883899056,True,255.0,False,2,2,False,,Speedfreek52,8103191170931081510,7.0,-1598.52001953125,3401.64990234375,17.010000228881836,11683.800048828125,2192.5999450683594,2.5999999046325684,-0.7000000029802322,-0.19999999552965164,2889.4000244140625,228.0,255.0,False,-0.009570559513648151,2.8110397405447194,3.758608684048551e-05,True,160.0,False,10,False,10,,ethernat_cable,8804005501172738206,7.0,-3927.669921875,2952.550048828125,432.4800109863281,3178.2000732421875,-14396.800537109375,-3882.5,-232.19999313354492,-1297.1000671386719,189.79999542236328,255.0,128.0,0.2977417971335569,-1.737709312266958,-0.5085006705048936,True,0.0,False,4,False,False,,False
6,582,14,False,False,0,10683.92325069948,2510.889892578125,-4986.169921875,117.9800033569336,21569.49951171875,9575.399780273438,1100.1000213623047,-1789.4999694824219,3033.3999633789062,4857.5,0.0,-0.8590650450504602,-1.236175991470851,-0.7975010601973965,8103191170931081510,Speedfreek52,7.0,2319.22998046875,-5032.31982421875,95.66999816894531,14839.3994140625,-1162.0999908447266,2934.7000122070312,-3773.2000732421875,1636.6000366210938,1561.4999389648438,236.0,255.0,True,0.13699582480748418,0.07351480473116609,-0.8301293342520423,True,12,116.65076984385009,True,False,10,,8804005501172738206,ethernat_cable,7.0,4078.989990234375,-207.1699981689453,330.7900085449219,-3.0000001192092896,9130.900268554688,-6193.499755859375,-3227.39990234375,0.0,0.0,255.0,255.0,False,0.8441715770913935,1.5563690239416197,-1.5815342873687017,False,,False,4,4,False,,enpitsu,76561198039309853,24.0,1730.81005859375,384.0899963378906,17.049999237060547,-1671.199951171875,-4030.8999633789062,4.000000059604645,0.09999999776482582,-0.29999999329447746,2009.6000671386719,255.0,255.0,False,0.016630912436139945,-0.9616878674824502,-0.0001146971154145935,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,4047.070068359375,-3176.159912109375,141.44000244140625,-788.6000061035156,-7927.80029296875,-1422.5999450683594,177.19999313354492,688.4999847412109,-437.40001678466797,255.0,128.0,0.1858512970431065,-1.668518816763996,1.0690803774510482,True,27.0,False,10,False,10,,
7,643,16,False,False,0,8838.218411120246,3892.8701171875,-2288.3798828125,121.79000091552734,13973.1005859375,16401.400146484375,1801.199951171875,870.8000183105469,-2857.7999877929688,-5203.2000732421875,0.0,0.08363286404733078,1.1411648534576169,2.938220966619235,8103191170931081510,Speedfreek52,7.0,3744.760009765625,-2381.9599609375,16.989999771118164,7331.199951171875,20614.7998046875,4.799999892711639,0.09999999776482582,0.3999999910593033,-1951.4999389648438,207.0,0.0,False,0.009592345823144815,1.1560970614744515,-6.107160197381738e-05,True,12,55.0,False,False,10,,8804005501172738206,ethernat_cable,7.0,3276.320068359375,-1631.75,17.010000228881836,-738.7000274658203,-13661.700439453125,2.5,0.09999999776482582,0.0,-2629.2999267578125,255.0,0.0,True,0.009556967402019573,-1.7294769202515345,-0.00012460831162660916,True,225.0,False,4,4,False,,enpitsu,76561198039309853,24.0,2926.639892578125,1758.1700439453125,17.049999237060547,4149.800109863281,13112.80029296875,2.5999999046325684,0.0,0.7000000029802322,0.0,255.0,128.0,False,0.016742785538869764,1.2642978491068015,-6.1670259380189e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,2611.780029296875,-2718.89990234375,17.010000228881836,7662.0001220703125,19082.60009765625,-0.29999999329447746,-0.5000000074505806,-1.2999999523162842,-219.3000030517578,255.0,128.0,0.009593596922209666,1.1649614956080476,0.00017595624618689312,True,161.0225550846386,True,10,False,10,,
8,718,19,False,False,0,6240.133625022108,3606.610107421875,819.6099853515625,147.3000030517578,-12320.6005859375,4415.10009765625,8975.599975585938,-2389.199981689453,5483.0999755859375,476.3999938964844,0.0,0.05374886431328689,-2.5936135887684166,1.9786514621598812,8103191170931081510,Speedfreek52,8.0,3721.719970703125,855.0,15.34000015258789,-13735.0,6992.39990234375,236.90000534057617,-38.59999895095825,381.50001525878906,2241.1000061035156,255.0,255.0,False,-0.018978959670010478,2.7574228092391047,0.026341323871343445,True,12,36.22808593575673,True,False,10,,8804005501172738206,ethernat_cable,6.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,24.0,2446.919921875,4445.7998046875,17.049999237060547,-4872.5,-3235.4000854492188,3.0000001192092896,-0.5000000074505806,-0.3999999910593033,-2207.5,255.0,0.0,False,0.016647293016147837,-2.520564093604221,-9.149408555537056e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,2028.7099609375,-1407.6700439453125,17.010000228881836,168.1999969482422,15981.199951171875,0.0,0.0,2.8999999165534973,-1514.1000366210938,255.0,86.0,0.009597097862365284,1.5181148715244506,-0.00015363707440445488,True,46.49491613141951,True,10,False,10,,
9,786,22,False,True,1,7156.925067076925,-690.0499877929688,-1838.969970703125,359.8500061035156,6511.199951171875,30139.69970703125,2062.7999877929688,4177.39990234375,-731.1000061035156,-4244.2999267578125,1.0,0.9923420848309052,-0.05029838658400638,-0.8431201673073748,76561198039309853,enpitsu,24.0,-684.3200073242188,-1998.199951171875,293.80999755859375,4057.39990234375,19231.600341796875,529.0999984741211,-4432.900085449219,-3255.10009765625,-53.09999942779541,255.0,255.0,False,0.16733850161996505,1.936979934041964,-0.48068680455648344,True,4,148.0,False,False,3,,bf81d8692db,games5425898691,19.0,-2483.10009765625,-2766.780029296875,89.98999786376953,-7702.19970703125,-17912.7001953125,2105.500030517578,5050.5999755859375,-2177.2000122070312,-0.09999999776482582,255.0,128.0,,-0.9361547333485357,-1.163738648410583,-3.3068230619620097e-05,False,0.0,False,12,11,False,,Speedfreek52,8103191170931081510,8.0,,,,,,,,,,,,,,,,True,,,,,,,ethernat_cable,8804005501172738206,6.0,-1254.3299560546875,3976.419921875,17.010000228881836,12528.900146484375,-1670.5999755859375,2.0999999344348907,0.5999999865889549,0.19999999552965164,0.0,255.0,128.0,-0.009528410870048234,-3.0090241243046925,-5.399492157642155e-05,True,116.0,False,False,False,False,,
