,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,169,0,False,False,0,5201.9038809444755,-11.239999771118164,13.890000343322754,91.55999755859375,-18864.200439453125,23453.701171875,-1715.3999328613281,-5925.4998779296875,-603.6999893188477,723.3000183105469,0.0,-0.005206023267357312,0.006597562307406191,-0.0528875779116444,540822383123922006,CesarMocinha,78.0,71.11000061035156,-120.20999908447266,114.81999969482422,-9816.099853515625,16213.1005859375,2391.9000244140625,-1061.2999725341797,2016.199951171875,-1680.7000732421875,255.0,128.0,,0.5157847003987984,-2.0113479712919093,2.745355116455161,,0.0,False,4,3,False,,8226738855089929114,HeroCharras,26.0,-3377.280029296875,-4441.68017578125,51.04999923706055,-5560.3997802734375,-10863.299560546875,1630.8000183105469,2037.5999450683594,3329.1000366210938,-3874.8001098632812,255.0,43.0,,-0.609363346800688,-1.2751736118241488,0.02511793741489007,True,255.0,False,4,4,False,,enpitsu,76561198039309853,25.0,3329.760009765625,4259.85986328125,16.209999084472656,4871.199951171875,6542.1002197265625,130.20000457763672,62.39999771118164,-48.499999046325684,0.0,255.0,128.0,,0.011452986973969338,-2.210846875357862,-9.846093611871301e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-153.4199981689453,438.0400085449219,85.69999694824219,3258.900146484375,-22413.89892578125,2778.5000610351562,5498.2000732421875,126.00000381469727,-61.500000953674316,128.0,145.0,,0.6340620254599385,-1.5766499699459908,-0.013708075436122583,True,0.0,False,4,False,3,
1,170,0,False,False,1,5300.208099806078,95.9000015258789,-99.47000122070312,100.69000244140625,6452.9998779296875,16914.89990234375,5389.5001220703125,3722.9998779296875,1741.3999938964844,-4371.000061035156,1.0,0.14628702287311476,0.09742458415130194,-0.43930132314322184,bf81d8692db,games5425898691,19.0,121.87000274658203,-218.6699981689453,102.66999816894531,-1976.9999694824219,18001.400146484375,-464.1999816894531,-4434.89990234375,-1298.5000610351562,2982.3001098632812,128.0,152.0,,-1.4497236465222378,1.9246456693268699,-0.4895353621559136,True,0.0,False,4,3,False,,76561198039309853,enpitsu,25.0,-3329.760009765625,-4259.85986328125,16.209999084472656,-4871.199951171875,-6542.1002197265625,130.20000457763672,-62.39999771118164,48.499999046325684,0.0,255.0,128.0,,-0.011452986973969338,2.210846875357862,-9.846093611871301e-05,True,255.0,False,2,2,False,,HeroCharras,8226738855089929114,26.0,3396.760009765625,4507.5400390625,69.7699966430664,470.6999969482422,8953.400268554688,3850.8999633789062,1522.1000671386719,-4394.5001220703125,-2936.099853515625,255.0,128.0,,0.4858593567140543,1.4388200940814413,-0.2796862825842511,True,255.0,False,4,False,4,,CesarMocinha,540822383123922006,78.0,-71.11000061035156,120.20999908447266,114.81999969482422,9816.099853515625,-16213.1005859375,2391.9000244140625,1061.2999725341797,-2016.199951171875,-1680.7000732421875,255.0,128.0,,-0.5157847003987984,2.0113479712919093,2.745355116455161,,0.0,False,4,False,3,
2,171,0,False,False,0,5158.749946386332,-139.42999267578125,37.029998779296875,97.16000366210938,-19086.8994140625,-26153.9990234375,-6416.9000244140625,1828.8999938964844,901.6999816894531,-5642.80029296875,0.0,-0.1518901923491367,-0.03810111444755235,-0.7193076367813187,540822383123922006,CesarMocinha,78.0,-2.509999990463257,3.990000009536743,133.10000610351562,-5923.499755859375,10262.099609375,2430.0,-4993.0999755859375,-2181.4999389648438,747.6000213623047,255.0,128.0,,-0.02655994751381365,-1.9564827527215656,3.099274671373085,,0.0,False,4,3,False,,8226738855089929114,HeroCharras,26.0,-3396.760009765625,-4507.5400390625,69.7699966430664,-470.6999969482422,-8953.400268554688,3850.8999633789062,-1522.1000671386719,4394.5001220703125,-2936.099853515625,255.0,128.0,,-0.4858593567140543,-1.4388200940814413,-0.2796862825842511,True,255.0,False,4,4,False,,enpitsu,76561198039309853,25.0,3329.760009765625,4259.85986328125,16.209999084472656,4871.199951171875,6542.1002197265625,130.20000457763672,62.39999771118164,-48.499999046325684,0.0,255.0,128.0,,0.011452986973969338,-2.210846875357862,-9.846093611871301e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-121.87000274658203,218.6699981689453,102.66999816894531,1976.9999694824219,-18001.400146484375,-464.1999816894531,4434.89990234375,1298.5000610351562,2982.3001098632812,128.0,152.0,,1.4497236465222378,-1.9246456693268699,-0.4895353621559136,True,0.0,False,4,False,3,
3,287,4,False,False,0,10175.438522049015,-3055.530029296875,-4803.64013671875,1299.3599853515625,6987.2998046875,5146.500244140625,6374.89990234375,-1691.0000610351562,196.90000534057617,461.19998931884766,0.0,-0.3826323877794075,-0.3590470254885369,-0.3764119123065014,8226738855089929114,HeroCharras,76.0,-3130.25,-4900.14013671875,1135.550048828125,3665.5999755859375,792.3000335693359,6938.499755859375,1056.500015258789,1272.699966430664,343.49998474121094,255.0,253.0,,-1.291060669748899,-0.7192802306386875,-1.5691187575719412,True,255.0,False,5,4,False,,540822383123922006,CesarMocinha,20.0,566.1500244140625,-1159.4100341796875,96.19000244140625,16060.899658203125,-10895.899658203125,-139.20000076293945,3480.2999877929688,4250.5999755859375,263.4000015258789,255.0,,,-1.5354616033782686,1.4916104375507466,-2.178991639681989,,7.0,False,6,6,False,,enpitsu,76561198039309853,25.0,-46.70000076293945,2328.929931640625,17.049999237060547,-4031.300048828125,-10366.400146484375,3.1999999284744263,0.29999999329447746,-0.29999999329447746,0.0,,255.0,,0.016818019323897072,-1.9417063338012146,-1.9094464503030604e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3968.6298828125,-457.4599914550781,57.7599983215332,1086.3999938964844,-11652.19970703125,-705.1999664306641,746.2000274658203,-514.7000122070312,1075.2999877929688,255.0,132.0,,0.09860918432540507,-1.4404095863551056,-0.5897084315162466,True,255.0,False,4,False,4,
4,364,7,False,True,1,1659.551505100063,1188.72998046875,3506.469970703125,499.9800109863281,-3371.4999389648438,14465.0,-14982.19970703125,-5601.6998291015625,-1471.1000061035156,-1566.9999694824219,1.0,-0.6424723400048922,0.8456060216432347,0.9835882085453121,bf81d8692db,games5425898691,20.0,1199.719970703125,3301.580078125,688.4600219726562,-14565.30029296875,15714.69970703125,-3376.7001342773438,-1438.3000183105469,-1110.1000213623047,-1896.1000061035156,255.0,79.0,,-0.5709534358093569,1.6476428233827873,-0.015156518092608092,True,104.13039159774783,True,6,4,False,,76561198039309853,enpitsu,25.0,-411.4100036621094,-689.27001953125,17.049999237060547,-2495.500030517578,2403.0999755859375,3.1999999284744263,-0.7000000029802322,-0.19999999552965164,0.0,128.0,128.0,,-0.016803169835253897,0.7665222888044663,-3.326641282872344e-05,True,255.0,False,2,2,False,,HeroCharras,8226738855089929114,32.0,1515.0,3640.530029296875,673.9000244140625,-14545.799560546875,-8716.199951171875,-8741.099853515625,3124.2999267578125,-1099.4000244140625,1133.3000183105469,128.0,128.0,,-0.09741093029482946,-0.37626118044023343,-2.882183423490723,True,110.63323034009629,True,6,False,4,,CesarMocinha,540822383123922006,14.0,-1761.719970703125,4823.93994140625,17.010000228881836,19148.299560546875,179.79999542236328,0.29999999329447746,-0.7000000029802322,0.19999999552965164,-31.19999885559082,255.0,128.0,False,-0.009575639361057132,3.1363430966740005,7.368806737082481e-05,True,223.5234583193256,True,6,False,6,
5,445,10,False,False,0,9025.69511027902,-508.6600036621094,-3877.3798828125,495.2799987792969,-9384.299926757812,20834.29931640625,4432.5,4780.400085449219,1866.6000366210938,-2160.8999633789062,0.0,-0.18812174274996593,0.7833281138398593,-1.203113521247077,540822383123922006,CesarMocinha,14.0,-412.239990234375,-4044.699951171875,343.9200134277344,-8592.19970703125,14066.8994140625,3542.7999877929688,-4807.5,-975.8000183105469,547.5,255.0,51.0,False,-1.0448130564944522,2.6489864961378666,-0.543998705179423,True,181.0,False,8,7,False,,8226738855089929114,HeroCharras,21.0,1332.0799560546875,-3030.1298828125,17.020000457763672,-9024.000244140625,-8140.9002685546875,1.7000000178813934,-0.5000000074505806,-0.5999999865889549,-2268.000030517578,255.0,0.0,False,0.009547221387272108,-2.459074643259392,-0.00010721204607758987,True,101.0,False,6,4,False,,enpitsu,76561198039309853,25.0,348.57000732421875,9.109999656677246,17.049999237060547,-3573.599853515625,-2400.399932861328,3.3000001311302185,-0.09999999776482582,-0.19999999552965164,-1948.0999755859375,255.0,0.0,,0.016616535027171503,-2.467353972620262,-9.264499484567709e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-390.9200134277344,-3834.669921875,16.989999771118164,-4932.300109863281,13167.19970703125,5.099999904632568,-0.29999999329447746,1.4000000059604645,-336.8000030517578,255.0,148.0,,0.009593227655761831,1.8858091067860494,0.0002026333145586508,True,51.0,False,6,False,4,
6,499,12,False,False,1,5367.663537581343,2290.300048828125,-43.40999984741211,117.5199966430664,3074.8001098632812,15090.6005859375,-1164.800033569336,1285.2999877929688,-2362.2999572753906,5363.499755859375,1.0,-0.8544915844159385,-1.2876243577448603,-2.458968129649217,76561198039309853,enpitsu,25.0,2254.10009765625,-229.72999572753906,87.98999786376953,18530.799560546875,11100.30029296875,2377.5,-5326.300048828125,694.4000244140625,1182.3999786376953,255.0,255.0,,-0.43348967624831697,2.506521786797789,-0.30823632211176244,True,173.0,False,4,3,False,,bf81d8692db,games5425898691,19.0,2693.43994140625,1092.0799560546875,16.989999771118164,7411.300048828125,-21151.39892578125,5.099999904632568,-0.19999999552965164,0.7000000029802322,-2.199999988079071,255.0,128.0,,-0.009598730079723176,-1.907509180167197,7.594526010947119e-05,False,0.0,False,6,4,False,,HeroCharras,8226738855089929114,21.0,1111.0899658203125,2958.580078125,17.020000457763672,12920.999755859375,5522.80029296875,1.5000000596046448,-5.600000023841858,-2.3999999463558197,1303.2000732421875,255.0,128.0,False,-0.009580141364171457,2.6894081288131026,0.00010564311529039197,True,91.0,False,6,False,4,,CesarMocinha,540822383123922006,13.0,1904.93994140625,1403.4300537109375,16.729999542236328,7970.9002685546875,-12148.00048828125,-83.29999923706055,-595.2000045776367,221.8000030517578,1752.2000122070312,255.0,255.0,False,-0.025741938760864218,-2.180745360777721,0.010743478439766422,True,172.0,False,8,False,8,
7,518,12,False,False,0,6264.56413375885,-2476.969970703125,-921.7899780273438,99.79000091552734,6232.39990234375,-1190.199966430664,4292.699890136719,5736.400146484375,1664.7999572753906,-567.0000076293945,0.0,1.081141573622754,-1.709500723581358,3.092158430916907,540822383123922006,CesarMocinha,13.0,-2580.830078125,-991.6400146484375,17.010000228881836,-2940.1998901367188,2130.7000732421875,3.100000023841858,-1.2999999523162842,0.7999999821186066,-1121.6000366210938,0.0,0.0,False,0.009881038464948672,2.5115853821175285,4.27835140241836e-05,True,203.0,False,8,8,False,,8226738855089929114,HeroCharras,21.0,-1813.0699462890625,-3623.169921875,17.020000457763672,-9215.700073242188,-10582.60009765625,1.7000000178813934,-0.09999999776482582,-0.09999999776482582,-1919.6000671386719,255.0,0.0,True,0.009575392684721781,-2.3150021112945485,-0.00024823063788270586,True,91.0,False,6,4,False,,enpitsu,76561198039309853,25.0,-3667.89990234375,320.1000061035156,95.5199966430664,-19490.10009765625,12165.999755859375,-1058.0000305175781,2902.6998901367188,287.60000228881836,1393.5000610351562,128.0,255.0,,-0.34180933701262695,-2.5582711687808763,0.6196480870716452,True,173.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-3100.18994140625,265.8599853515625,17.010000228881836,-1274.1000366210938,15395.50048828125,4.099999964237213,-8.399999737739563,-2.0000000298023224,-1808.6000061035156,255.0,0.0,,0.009090537753877387,1.6163428828541857,-6.767329877128099e-05,True,0.0,False,6,False,4,
8,560,14,False,False,0,6289.502498065927,-1544.02001953125,-1116.030029296875,135.25,21827.900390625,3087.39990234375,4069.8001098632812,4369.700012207031,479.0999984741211,-4034.2001342773438,0.0,-0.5621026284420167,1.7518144454677627,1.25131705570432,540822383123922006,CesarMocinha,13.0,-1708.8499755859375,-1152.8199462890625,76.1500015258789,14148.800048828125,6922.80029296875,2993.2000732421875,-2762.6998901367188,4139.800109863281,-547.9999923706055,0.0,70.0,,-0.13218761282858965,-2.9490004756833397,0.025220652734063403,True,203.0,False,10,9,False,,8226738855089929114,HeroCharras,22.0,-2005.030029296875,-2880.090087890625,17.020000457763672,9600.800170898438,14177.19970703125,-1.1999999731779099,0.0,-0.09999999776482582,-0.09999999776482582,255.0,,,0.009602496091733905,0.9754882601394258,6.991310851688288e-06,True,56.468610486676624,True,6,4,False,,enpitsu,76561198039309853,25.0,-4013.8701171875,506.2200012207031,96.31999969482422,2049.199981689453,-9279.099731445312,-2445.8999633789062,-662.2000122070312,-1746.1000061035156,-851.8000030517578,255.0,255.0,True,0.2135890784320572,-1.3679533193895976,-0.8177524942102201,True,147.87550941846706,True,4,False,4,,games5425898691,bf81d8692db,19.0,-2971.25,2560.10009765625,17.010000228881836,4562.0001220703125,13757.19970703125,2.5999999046325684,-0.29999999329447746,-1.0999999940395355,-133.80000114440918,255.0,128.0,,0.009592016057903538,1.233277619103981,0.00015350943156681364,True,,False,6,False,4,
9,644,17,False,False,0,7397.213467163564,4001.340087890625,-403.8999938964844,271.4700012207031,-3564.8001098632812,10620.10009765625,13596.99951171875,-3278.699951171875,428.69998931884766,3110.7998657226562,0.0,-0.1224397064249302,-2.3289401975724946,-0.49252025324472126,8226738855089929114,HeroCharras,22.0,4060.669921875,-522.7100219726562,152.9499969482422,7791.099853515625,4078.2998657226562,14291.099853515625,-439.00001525878906,-5482.39990234375,13.899999856948853,255.0,255.0,,-1.0844270638450455,0.5419048641188238,-0.5241001085068563,True,31.0,False,6,4,False,,540822383123922006,CesarMocinha,13.0,513.0800170898438,-1325.3299560546875,16.989999771118164,9113.900146484375,-8465.399780273438,5.099999904632568,-0.3999999910593033,0.7000000029802322,-4.699999988079071,255.0,128.0,,0.009539829361587907,-0.7493140138204873,6.882695830133368e-05,True,195.0,False,10,10,False,,enpitsu,76561198039309853,25.0,-292.510009765625,3546.909912109375,17.059999465942383,15933.499755859375,13889.599609375,2.199999988079071,-1.0000000149011612,-0.9000000357627869,1499.4000244140625,255.0,255.0,False,0.016847086862973055,0.7411451391078944,0.00030051040878734987,True,187.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,1772.25,4065.260009765625,17.010000228881836,18933.199462890625,-204.40000534057617,2.7000001072883606,2.3999999463558197,-0.09999999776482582,-435.0,255.0,128.0,,0.009610228472946326,-0.03804153282197654,1.6828540591887158e-05,True,31.0,False,8,False,6,
