,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,178,0,False,False,1,5201.350621322259,69.77999877929688,4.690000057220459,92.11000061035156,22053.1005859375,-11184.300537109375,52.60000228881836,3860.0,-2514.2999267578125,3778.800048828125,1.0,-0.0869967226048992,-0.00565639351781442,-0.3271822627389752,76561198039309853,enpitsu,24.0,-50.72999954223633,-117.87999725341797,117.79000091552734,-4212.799987792969,19865.699462890625,64.49999809265137,-4710.799865722656,-2716.9000244140625,-822.2000122070312,255.0,255.0,,-0.9875030823807632,2.3273204586727534,-1.3709502085081318,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,18.0,2880.989990234375,-4059.780029296875,17.010000228881836,18767.80029296875,-5218.0999755859375,2.3000000417232513,-0.5999999865889549,0.29999999329447746,1891.300048828125,128.0,255.0,,-0.009635465793019354,-2.934778720820892,7.939388136886953e-05,True,False,False,False,255.0,False,310.0,FullSpectrum,76561198892496095,5.0,-1077.760009765625,3156.9599609375,17.010000228881836,-9002.100219726562,-8974.69970703125,2.0999999344348907,0.29999999329447746,0.5999999865889549,-8.700000047683716,230.0,128.0,,-0.009586040332771974,-0.7824904663887063,6.187131532476394e-05,True,False,False,False,146.0,False,,BoofBung,76561198183186199,8.0,-15.029999732971191,184.8000030517578,103.23999786376953,-678.4999847412109,-20420.400390625,3578.900146484375,-0.0,-0.09999999776482582,0.0,255.0,128.0,,-0.009598898545611443,-1.537554475174539,-1.4578327384909106e-05,True,4,False,False,22.0,False,
1,223,1,False,False,1,7192.4103988030165,3265.31005859375,-1650.9599609375,106.51000213623047,-8146.9000244140625,23456.99951171875,15805.10009765625,3541.4999389648438,4693.699951171875,-1194.000015258789,1.0,-0.6798653664513143,-0.24522585709219666,2.7110845803086097,bf81d8692db,games5425898691,18.0,3359.610107421875,-1802.1500244140625,16.989999771118164,-12573.499755859375,18675.6005859375,4.900000095367432,0.29999999329447746,-0.29999999329447746,1944.1999816894531,128.0,255.0,True,-0.009599289314230403,0.9223216861785564,0.0002482490118344693,True,203.0,False,False,False,False,,76561198039309853,enpitsu,24.0,-1385.280029296875,1273.010009765625,17.049999237060547,-13146.400146484375,-2414.1000366210938,1.8000000715255737,1.2999999523162842,-0.0,2031.1000061035156,255.0,128.0,,-0.016718941357814744,-0.21539256123887315,0.0001959558927634954,False,2,False,2,15.30892889217664,True,,FullSpectrum,76561198892496095,5.0,-2617.969970703125,3029.080078125,17.010000228881836,-9431.500244140625,13786.400146484375,-0.29999999329447746,-3.400000035762787,5.5000001192092896,-917.2000122070312,255.0,128.0,False,-0.009603674553855772,1.0177198427788092,-2.634823236340878e-05,False,False,False,False,120.61411595857274,True,,BoofBung,76561198183186199,8.0,92.79000091552734,-1378.8499755859375,152.69000244140625,999.8000335693359,-9724.7998046875,-5025.799865722656,289.6999931335449,96.40000343322754,235.20000457763672,255.0,255.0,,-0.1123429942874582,-1.9798241532522647,-0.6656944176217287,True,4,False,False,22.0,False,
2,405,8,False,False,0,9356.022543856423,538.739990234375,-4105.35986328125,821.9199829101562,8267.80029296875,9817.39990234375,-5766.400146484375,-1241.1000061035156,2917.3001098632812,-3082.9998779296875,0.0,1.0492988693689287,2.6809289296869503,0.05070569129011678,76561198892496095,FullSpectrum,5.0,402.57000732421875,-4280.43017578125,864.3800048828125,1965.2999877929688,9092.999877929688,-1983.3000183105469,-1513.3000183105469,2867.5,-2797.2000122070312,128.0,0.0,True,0.4905052037384374,1.4913486615491212,0.789939576389677,True,99.46715703061834,True,4,4,False,,76561198183186199,BoofBung,8.0,84.02999877929688,-4911.3798828125,17.010000228881836,10479.3994140625,-2534.2999267578125,2.5,0.29999999329447746,0.0,2396.9000244140625,255.0,255.0,False,0.009544855393603844,-0.1784350688249189,-4.67979051395345e-05,True,4,False,6,31.0,False,,enpitsu,76561198039309853,25.0,1012.8300170898438,-2004.77001953125,17.049999237060547,-67.1999979019165,-6050.30029296875,2.5999999046325684,-0.29999999329447746,0.0,0.0,255.0,128.0,,0.016655531060792157,-1.5819572483222082,-1.392048746206619e-06,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,19.0,-2040.9100341796875,-4193.91015625,17.010000228881836,5859.1998291015625,11262.19970703125,2.0999999344348907,-0.3999999910593033,-0.5000000074505806,-190.49999237060547,255.0,128.0,,0.009560238428406365,1.069171404134898,0.0001496261793050216,True,4,4,False,204.0,False,
3,434,9,False,True,1,2958.2577591998993,-1328.6400146484375,3190.06005859375,210.75,6569.69970703125,11769.200439453125,8405.399780273438,4039.2999267578125,-1756.3999938964844,-4074.1000366210938,1.0,-1.3266946713478611,-2.696979629513897,-1.3576865178592963,76561198039309853,enpitsu,25.0,-1420.75,3020.2099609375,148.5,-4097.200012207031,17635.899658203125,3077.9998779296875,-3537.0001220703125,4196.7999267578125,-354.50000762939453,128.0,0.0,,-0.03149260769026379,0.8995753619375776,0.7204645183494629,True,205.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,1255.43994140625,3018.199951171875,17.010000228881836,-8136.5997314453125,-11515.2001953125,2.0999999344348907,0.19999999552965164,0.09999999776482582,0.0,255.0,128.0,,-0.009576259237963331,-0.9556437313793454,3.1992085351713274e-05,True,4,False,4,204.0,False,,FullSpectrum,76561198892496095,5.0,-617.6500244140625,3247.179931640625,248.5800018310547,-2092.100067138672,-10048.300170898438,-9318.699951171875,-1028.3000183105469,-4250.899963378906,-3334.89990234375,128.0,0.0,True,-0.5695333337557793,-1.7225837704853992,0.34238528112676003,True,False,4,4,95.0,False,,BoofBung,76561198183186199,8.0,-739.6599731445312,4538.66015625,17.010000228881836,1284.9000549316406,1551.4999389648438,2.0000000298023224,-0.7000000029802322,0.19999999552965164,0.0,0.0,128.0,False,-0.00980486672354944,-0.8790696006973874,-2.168152010401121e-05,True,6,4,False,31.0,False,
4,513,12,False,False,0,9353.727749328229,-92.12000274658203,-4179.1201171875,203.52999877929688,-3060.5999755859375,17078.299560546875,3532.0001220703125,5863.699951171875,1216.6000366210938,-369.00001525878906,0.0,0.7756089876010382,2.4654447348304873,1.405509035031864,76561198183186199,BoofBung,8.0,-95.55000305175781,-4329.97998046875,137.8800048828125,-5228.0999755859375,13821.800537109375,25.09999990463257,-5378.0999755859375,-575.2999877929688,-997.3000335693359,255.0,145.0,False,0.03575085109506714,-1.5395934459413734,-3.1145295432339597,True,32.0,False,8,False,5,,76561198892496095,FullSpectrum,5.0,1274.02001953125,-4021.590087890625,17.020000457763672,-11241.400146484375,-1820.5000305175781,0.7000000029802322,1.5999999642372131,0.0,-215.49999237060547,197.0,128.0,False,0.00954984710232237,-3.007747261612931,0.0002237261674415372,True,False,4,4,95.0,False,,enpitsu,76561198039309853,25.0,1465.550048828125,-3786.25,17.059999465942383,-13305.0,10749.200439453125,-3.4999999403953552,-2.0999999344348907,1.5999999642372131,-1826.6000366210938,255.0,128.0,False,0.01678351562101856,2.4191217229095767,-0.0001645292588849156,True,4,False,4,166.07825389472384,True,,games5425898691,bf81d8692db,19.0,86.55000305175781,-5792.47021484375,233.9199981689453,3037.2000122070312,-16189.000244140625,-1130.6999969482422,-2737.60009765625,1032.0999908447266,0.0,255.0,255.0,,-0.5016146730349215,-0.5343933745793453,0.16979951473266208,True,6,6,False,140.0,False,
5,546,13,False,False,1,3010.3229875568763,463.3500061035156,2160.929931640625,157.27000427246094,19585.0,-1785.5000305175781,4644.800109863281,877.3999786376953,-5867.0001220703125,898.4999847412109,1.0,0.0679852789288458,-2.209626697774119,0.9892730988542379,76561198039309853,enpitsu,25.0,242.61000061035156,2133.89990234375,68.94000244140625,21543.5009765625,-7643.499755859375,2534.7000122070312,671.8000030517578,3010.0,788.4999847412109,255.0,255.0,False,-0.11031680135813791,-2.9437908239210278,0.0005153713116711676,True,158.0,False,6,False,5,,bf81d8692db,games5425898691,19.0,-597.4500122070312,5609.93994140625,26.700000762939453,-1118.8999938964844,-11776.300048828125,-376.89998626708984,89.79999542236328,61.70000076293945,242.09999084472656,255.0,128.0,,-0.04405929299174741,-1.5020098657701908,0.0017825238370777392,True,6,False,6,127.4471999624724,True,,FullSpectrum,76561198892496095,5.0,-46.7599983215332,3043.8701171875,17.020000457763672,12217.19970703125,-9837.5,1.0000000149011612,-0.0,0.09999999776482582,1960.5999755859375,128.0,255.0,False,-0.009632784427762827,-2.52804122153637,2.141543538819558e-05,True,False,4,4,44.0,False,,BoofBung,76561198183186199,8.0,529.3699951171875,2429.260009765625,56.310001373291016,-2040.0999450683594,-17829.49951171875,3022.3001098632812,819.0000152587891,-144.79999542236328,-244.20000076293945,255.0,172.0,False,-0.04076658244826427,-1.3888227053086444,-9.550015310516168e-05,True,10,6,False,0.0,False,
6,599,15,False,False,1,4455.413017748123,3977.5400390625,1922.1099853515625,180.5800018310547,9336.199951171875,24513.89892578125,5275.10009765625,1290.8000183105469,2538.300018310547,643.3000183105469,1.0,-0.09401190950743743,-1.6634208261941394,-3.0719696206897855,76561198039309853,enpitsu,25.0,3971.89990234375,1708.22998046875,113.37000274658203,8574.099731445312,14679.000244140625,91.80000305175781,1728.5000610351562,-3275.7000732421875,-3129.89990234375,255.0,255.0,False,-0.05376458386902865,1.8874859602597212,-1.1537061558221717,True,141.0,False,8,False,7,,bf81d8692db,games5425898691,19.0,-169.75,1931.5799560546875,38.91999816894531,2994.2001342773438,-22641.4990234375,-2719.2999267578125,1587.7999877929688,90.29999732971191,9.399999976158142,255.0,214.0,,0.21078235700996506,-1.6759506462181621,-0.07111995880956098,True,8,False,8,79.0,False,,FullSpectrum,76561198892496095,5.0,2801.030029296875,3821.580078125,17.020000457763672,13208.699951171875,12208.00048828125,1.0999999940395355,0.9000000357627869,0.9000000357627869,1691.6000366210938,166.0,255.0,True,-0.009582920409815801,2.3681268578897954,0.00022697332074518242,True,False,4,4,0.0,False,,BoofBung,76561198183186199,8.0,1135.5799560546875,-1729.8699951171875,17.0,13007.2998046875,-17840.999755859375,3.400000035762787,2.3000000417232513,-3.1999999284744263,1071.6999816894531,255.0,255.0,,-0.009590241226479303,-2.2139291651053954,8.26774247820533e-05,False,10,8,False,,False,
7,676,18,False,False,0,10212.726246956856,-1948.8599853515625,-5018.31005859375,168.8699951171875,14050.30029296875,764.1000366210938,39.80000019073486,-1790.7000732421875,919.0000152587891,-5652.19970703125,0.0,-0.09941359658925432,-2.7778108803269514,-3.0497077302633038,76561198892496095,FullSpectrum,5.0,-2014.97998046875,-5016.43994140625,30.899999618530273,7633.800048828125,-217.80000686645508,-604.900016784668,2981.0000610351562,3020.4998779296875,-795.9999847412109,196.0,128.0,False,0.02824324859013326,-0.03802281068254119,-0.3814146034124137,True,255.0,False,4,4,False,,76561198183186199,BoofBung,8.0,-3815.429931640625,1968.6700439453125,16.420000076293945,6042.19970703125,-22191.99951171875,-70.50000190734863,-108.00000190734863,-711.2000274658203,-45.900001525878906,255.0,128.0,False,0.01612708515824568,-1.3009454229198816,-0.0013371248012205691,True,8,False,10,205.0,False,,enpitsu,76561198039309853,25.0,-2154.25,-4572.7099609375,151.9499969482422,11890.699462890625,-7507.39990234375,2308.300018310547,0.0,0.5999999865889549,-235.49999237060547,128.0,128.0,False,0.017563670621470136,-0.7279867924003166,0.0015355032553587957,True,8,False,10,105.0,False,,games5425898691,bf81d8692db,19.0,-4054.6201171875,-1187.5899658203125,155.8300018310547,2003.699951171875,-18217.7001953125,-4514.89990234375,1873.3000183105469,-1703.0999755859375,259.3000030517578,255.0,255.0,,0.30065522490058677,-1.43903165904684,-1.1444782613834288,True,8,8,False,251.8719655467618,True,
8,728,20,False,False,0,10178.155831399654,1010.7899780273438,-4857.9501953125,108.44999694824219,26964.49951171875,4686.700134277344,2118.5000610351562,173.29999923706055,90.60000419616699,-3372.5,0.0,1.00572469214893,-1.595328957093725,-2.1224853546730658,76561198892496095,FullSpectrum,5.0,743.1199951171875,-4927.16015625,16.989999771118164,22135.0,5750.5999755859375,2.199999988079071,0.5999999865889549,0.0,12.000000476837158,255.0,128.0,False,0.009617860097624997,0.2556955578036924,-5.272741988264454e-05,True,134.08810308159036,True,4,4,False,,76561198183186199,BoofBung,8.0,-1959.2900390625,-1957.06005859375,136.1699981689453,10832.80029296875,-20288.499755859375,-154.399995803833,5499.89990234375,-5.5000001192092896,24.000000953674316,255.0,128.0,False,-0.0043809562188366225,-0.0010134256737781445,2.3423574069277495,True,9,False,12,205.0,False,,enpitsu,76561198039309853,25.0,-669.8200073242188,-4683.47021484375,17.049999237060547,4175.799865722656,6699.2999267578125,3.3000001311302185,0.0,0.29999999329447746,-2457.7999877929688,255.0,128.0,False,0.01665606941903299,0.9974529479619937,-2.6261907067872858e-05,True,8,False,10,105.0,False,,games5425898691,bf81d8692db,19.0,-522.2100219726562,-3050.699951171875,17.010000228881836,22493.89892578125,-2700.1998901367188,2.0999999344348907,0.5999999865889549,0.09999999776482582,0.0,255.0,128.0,,0.009579191150518512,-0.1194652912158277,-4.8640139157759285e-05,True,8,8,False,181.0,False,
9,781,21,False,False,0,9774.453027442732,3992.169921875,-3324.3798828125,738.7000122070312,-5196.500244140625,21586.79931640625,1854.2999267578125,-5435.5999755859375,109.0999984741211,23.69999885559082,0.0,0.8623150223903496,3.046217275762298,-0.102745210513645,76561198892496095,FullSpectrum,5.0,4080.929931640625,-3573.669921875,715.75,204.20000076293945,17872.39990234375,11357.2998046875,-1405.5999755859375,-408.10001373291016,705.1000213623047,255.0,255.0,False,-0.5505795686235467,1.552612718052397,-1.5573160507190857,True,201.7634581109529,True,4,4,False,,76561198183186199,BoofBung,8.0,1002.989990234375,-4522.60986328125,17.010000228881836,20606.79931640625,4588.399963378906,0.0,-0.29999999329447746,0.0,1998.699951171875,255.0,255.0,False,0.009579537693367005,0.29458332092079514,1.9634446879154675e-05,True,10,False,12,224.2025290022614,True,,enpitsu,76561198039309853,25.0,30.790000915527344,-2743.64990234375,17.049999237060547,273.6000061035156,13998.699951171875,2.5999999046325684,0.0,-0.3999999910593033,-0.5999999865889549,255.0,128.0,False,0.016747916021051128,1.5511561441663415,3.3845845408365856e-05,True,8,False,10,166.0,False,,games5425898691,bf81d8692db,19.0,3558.43994140625,-2247.530029296875,17.010000228881836,11153.599853515625,18198.199462890625,2.3000000417232513,-0.19999999552965164,-0.19999999552965164,1961.4999389648438,255.0,255.0,,0.009586946452468837,1.0939901346331966,3.343346568753872e-05,True,8,8,False,242.0,False,
