,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,172,0.0,False,False,1,5181.257173242235,-11.520000457763672,38.84000015258789,95.23999786376953,-7156.400146484375,28127.900390625,2234.7999572753906,-2177.2999572753906,-582.5,-4628.699951171875,1.0,-0.01110667415048762,0.07695225849196605,0.03589284262288898,2298688272173828900,VTS_Sem070,10.0,25.190000534057617,-161.67999267578125,55.189998626708984,-10009.600219726562,20496.39892578125,2937.6998901367188,563.1999969482422,-2079.7999572753906,2473.300018310547,255.0,251.0,,-0.004723215573277628,1.3105048415481477,-0.02902980489887593,True,5,False,6,31.0,False,,7864449511119550642,LagacyyPP,8.0,-3097.64990234375,-4058.10009765625,17.010000228881836,-19394.200439453125,4441.400146484375,2.3000000417232513,-1.2999999523162842,0.29999999329447746,-1778.800048828125,229.0,0.0,False,-0.009588175289907444,0.2730576914654323,-0.00016826006173494882,True,4,255.0,False,4,False,,enpitsu,76561198039309853,26.0,-1.9700000286102295,519.469970703125,101.69000244140625,-1862.7000427246094,-22839.49951171875,1885.0,5473.2000732421875,-542.0999908447266,-8.600000143051147,255.0,128.0,,-0.8256823802007907,-1.470355824352163,-0.0017155833716402452,True,2,1,31.0,False,False,,games5425898691,bf81d8692db,18.0,-2387.5,3934.60009765625,17.010000228881836,-18444.200439453125,9423.099975585938,2.199999988079071,-0.9000000357627869,0.3999999910593033,1333.0999755859375,255.0,255.0,,-0.009589889828079021,0.45471870720792323,0.00021217119413523424,True,0.0,False,False,False,False,
1,176,0.0,False,False,0,5482.022263274114,197.77000427246094,-231.8000030517578,131.60000610351562,30020.70068359375,-2226.300048828125,1219.4999694824219,52.10000038146973,-766.9999694824219,-5950.4998779296875,0.0,0.10036132106878248,-0.9332480844197647,0.3907684595995982,76561198039309853,enpitsu,26.0,20.81999969482422,-295.0,110.68000030517578,1920.2999877929688,13728.599853515625,640.5000305175781,-81.89999580383301,54.49999809265137,-5499.0997314453125,255.0,128.0,,1.5446292693398063,2.637056123931302,1.7367968849314914,True,1,False,2,31.0,False,,bf81d8692db,games5425898691,18.0,2724.030029296875,-4057.699951171875,17.010000228881836,19850.6005859375,-4293.0999755859375,2.3000000417232513,-0.3999999910593033,0.19999999552965164,1943.0999755859375,255.0,255.0,,0.00958343340682845,-0.1447033503811123,5.7257218324075646e-05,True,False,0.0,False,False,False,,VTS_Sem070,2298688272173828900,10.0,57.4900016784668,-2.1500000953674316,78.05999755859375,9037.100219726562,-17942.19970703125,2231.1000061035156,-1555.8000183105469,5187.60009765625,-957.9000091552734,255.0,253.0,,-0.22442582017501914,-1.3050356765606907,-0.6071519411679156,True,6,5,31.0,False,False,,LagacyyPP,7864449511119550642,8.0,3416.2099609375,3934.169921875,17.010000228881836,16773.299560546875,-9330.0,2.5999999046325684,0.0,0.0,-2804.8001098632812,216.0,0.0,False,0.009586943911558524,-0.6648106787975637,-0.00011921248211558808,True,255.0,False,4,4,False,
2,305,4.0,False,False,0,9068.257328197833,2160.43994140625,-3397.64990234375,403.6600036621094,-28770.400390625,-10686.600341796875,2870.5999755859375,-5277.8997802734375,1943.0000305175781,-186.29999160766602,0.0,-0.33796968192677385,-2.033533525773607,-1.5799868448974024,bf81d8692db,games5425898691,18.0,2303.260009765625,-3363.56005859375,275.0299987792969,-16873.1005859375,-15045.50048828125,3372.6998901367188,-805.1999664306641,-2134.499969482422,921.9999694824219,255.0,29.0,,-0.894219772184132,-2.888367814867697,0.5966412072516504,True,3,False,4,79.87154423549615,True,,76561198039309853,enpitsu,26.0,3594.159912109375,-2446.1298828125,94.44000244140625,-322.00000762939453,-20510.2001953125,-187.60000228881836,5359.89990234375,-294.7999954223633,-11.799999475479126,255.0,128.0,,-1.450657589796285,-1.6072031950678471,-0.018690085468502274,True,6,61.0,False,6,False,10.0,VTS_Sem070,2298688272173828900,7.0,2213.0,-282.25,20.56999969482422,-6942.1002197265625,-16653.599853515625,-1538.3999633789062,-510.49999237060547,-210.30000686645508,5472.19970703125,255.0,0.0,True,0.02658542413802944,-0.41933430034551333,0.02749009526464782,True,8,8,147.0,False,False,,LagacyyPP,7864449511119550642,6.0,2386.949951171875,341.9700012207031,17.010000228881836,-9603.900146484375,-10567.099609375,1.899999976158142,0.5000000074505806,0.19999999552965164,0.0,128.0,128.0,,0.009626977143933032,-2.3084926050730656,4.139687242448716e-05,True,179.0,False,4,4,False,
3,423,9.0,False,False,1,3742.214979656753,3628.010009765625,2582.60009765625,96.05000305175781,-7835.30029296875,30007.19970703125,2745.2999877929688,-22.300000190734863,-2144.600067138672,81.40000343322754,1.0,0.7400484855802969,0.36024723171152867,0.07382623431924672,7864449511119550642,LagacyyPP,6.0,3665.3701171875,2257.25,77.19000244140625,-65.10000228881836,22877.2998046875,2371.4999389648438,-2879.5001220703125,-3448.2998657226562,2072.5,255.0,254.0,,-0.10894684044385308,1.7205499209395774,-0.04503038170857133,True,7,False,8,47.50082596912177,True,,2298688272173828900,VTS_Sem070,6.0,-2839.360107421875,173.00999450683594,16.520000457763672,-2567.60009765625,-2196.9000244140625,-368.3000183105469,110.79999923706055,-1154.8999786376953,2972.0999145507812,255.0,251.0,True,-0.007915232419092201,-0.018422925441935637,0.01870235103431813,False,12,0.0,False,12,False,,enpitsu,76561198039309853,26.0,3787.570068359375,3131.72998046875,83.97000122070312,7354.89990234375,-20897.2998046875,3762.7999877929688,218.1999969482422,77.39999771118164,-1910.0999450683594,128.0,0.0,,-0.0502001005919142,-1.5711027199159273,-0.004449283710108533,True,10,9,234.0,False,False,,games5425898691,bf81d8692db,18.0,1336.52001953125,4273.02001953125,47.150001525878906,5266.199951171875,-8871.400146484375,-1545.5000305175781,165.10000228881836,5061.099853515625,-30.0,255.0,146.0,,0.08891569941277883,-2.172362628909863,1.24540706065542,True,53.0,False,4,4,False,
4,513,12.0,False,False,0,9811.926859158411,201.88999938964844,-4610.31005859375,297.42999267578125,24333.1005859375,7930.0,-5037.699890136719,331.19998931884766,1707.2999572753906,1908.6000061035156,0.0,0.8747248019542512,0.07800805856875104,2.71267693487255,bf81d8692db,games5425898691,18.0,55.70000076293945,-4699.08984375,323.1000061035156,22035.0,-596.8000030517578,-206.90000534057617,801.2000274658203,5101.199951171875,1893.3999633789062,255.0,253.0,,1.050796210260748,0.09011669592943929,0.5571650690569091,True,5,False,6,0.0,False,,76561198039309853,enpitsu,26.0,-1464.6199951171875,-1865.0400390625,56.689998626708984,9934.7998046875,-16354.599609375,-1905.7000732421875,2243.699951171875,877.5,-23.80000114440918,128.0,128.0,False,-0.47302047089676375,-1.192501553437105,-0.01136788756177874,True,12,255.0,False,12,False,,VTS_Sem070,2298688272173828900,6.0,3965.72998046875,1640.9000244140625,80.16000366210938,-3873.5000610351562,8255.800170898438,1115.4000091552734,-995.1999664306641,770.4000091552734,1739.4000244140625,255.0,128.0,False,0.1831439002421533,1.8399895231080423,-0.6323606676834796,False,15,14,0.0,False,False,,LagacyyPP,7864449511119550642,6.0,-444.3900146484375,-5135.1201171875,26.100000381469727,7207.7001953125,244.79999542236328,-2602.7999877929688,4443.399963378906,-1232.6000213623047,2997.60009765625,255.0,128.0,False,0.1746918882564202,0.6992919436985041,-0.06904013486252919,False,0.0,False,8,8,False,
5,692,18.0,False,False,0,8414.276775710166,3490.56005859375,-2040.4000244140625,351.79998779296875,2459.2999267578125,-2724.2001342773438,9668.599853515625,-4803.900146484375,3476.199951171875,-915.0,0.0,-0.720332810282336,-0.9378067983787696,-1.8634655871176227,bf81d8692db,games5425898691,18.0,3446.85009765625,-2006.4000244140625,166.5,-4124.89990234375,-824.1999816894531,2054.2999267578125,-4396.099853515625,3078.5000610351562,1202.5,255.0,213.0,,-0.7283021935312538,-1.2601462971186224,-0.339787658119362,True,7,False,10,176.0,False,,76561198039309853,enpitsu,26.0,-129.1699981689453,-4332.4501953125,17.049999237060547,-1866.7999267578125,-13922.7001953125,3.100000023841858,-0.09999999776482582,-1.1999999731779099,1524.7999572753906,255.0,255.0,False,0.016755710146211345,-1.6993757333975705,0.00031280085620489026,True,12,255.0,False,12,False,,VTS_Sem070,2298688272173828900,6.0,3511.1201171875,-902.7000122070312,17.0,11862.7001953125,-7695.5999755859375,3.799999952316284,-0.5000000074505806,0.0,2841.400146484375,255.0,245.0,False,0.00959365102776463,-0.4130645698691026,0.00014511636050410027,True,16,16,160.0,False,False,,LagacyyPP,7864449511119550642,6.0,3028.8798828125,-1111.8199462890625,16.329999923706055,-2514.2999267578125,-11461.99951171875,56.10000133514404,3.3000001311302185,62.5,384.00001525878906,128.0,128.0,False,0.007500753687688903,1.3999373054480388,-0.0026332695046115896,True,241.0,False,12,12,False,
6,881,25.0,False,False,1,4606.39249812474,-3116.75,2877.989990234375,92.73999786376953,1928.2000732421875,-12700.0,-2476.9000244140625,-390.60001373291016,2365.0,5500.30029296875,1.0,0.8437663357995732,0.9651601596845675,-0.2811455469672727,2298688272173828900,VTS_Sem070,6.0,-3126.010009765625,3043.10009765625,89.08000183105469,-9839.299926757812,-10976.099853515625,-160.30000686645508,4225.10009765625,-3161.9000244140625,1549.2999267578125,255.0,251.0,,-0.3655790938684787,0.6621007060256511,1.8343357237496278,True,20,False,18,4.0,False,,7864449511119550642,LagacyyPP,5.0,-3715.0,1371.43994140625,17.010000228881836,-2792.3001098632812,6543.599853515625,3.0000001192092896,-0.0,0.29999999329447746,-3106.300048828125,255.0,0.0,False,-0.009528314085092492,1.428665699585832,2.8133076521218378e-05,True,12,241.0,False,12,False,,enpitsu,76561198039309853,26.0,-133.4600067138672,2698.080078125,17.049999237060547,-13185.999755859375,-11813.699951171875,-1.1999999731779099,-0.0,-0.0,-2009.4000244140625,255.0,0.0,,-0.016784603767159116,-0.6628747571880396,-1.4838455065199616e-05,True,12,12,204.2328001504303,True,False,,games5425898691,bf81d8692db,18.0,-757.9199829101562,3720.010009765625,16.90999984741211,73.09999942779541,-590.9999847412109,25.69999933242798,1.5999999642372131,2.800000011920929,245.40000915527344,255.0,253.0,,-0.009882461419446252,-0.5146311683714266,0.00028549445838681756,True,123.0,False,10,8,False,
7,904,26.0,False,False,1,4956.898690081733,-2929.10009765625,1987.31005859375,104.47000122070312,21742.099609375,-7317.8997802734375,6167.2998046875,5594.2999267578125,-1836.3999938964844,-1153.6000061035156,1.0,0.26360464594272903,2.346478835312524,-0.20485878792884196,7864449511119550642,LagacyyPP,5.0,-3089.669921875,2001.3399658203125,16.15999984741211,13910.10009765625,1316.4999389648438,-202.00000762939453,1399.9000549316406,-788.4999847412109,-4195.899963378906,255.0,1.0,False,0.010589869618072045,3.1316907553866806,0.03449324770581998,True,12,False,12,168.43939770165306,True,,2298688272173828900,VTS_Sem070,6.0,-3916.0400390625,2284.489990234375,31.290000915527344,-2935.10009765625,-12924.200439453125,867.5,438.1999969482422,1850.8000183105469,1672.2999572753906,255.0,128.0,,0.06111437347574885,-1.3936081421930182,-0.3122405933416944,True,18,0.0,False,20,False,,enpitsu,76561198039309853,26.0,-1844.9000244140625,2349.239990234375,17.049999237060547,-22556.8994140625,-3901.099853515625,3.0000001192092896,1.0999999940395355,-0.0,1634.6000671386719,255.0,255.0,,-0.01676623001528882,-0.21042292164804688,0.00022445814175731807,True,12,12,189.0,False,False,,games5425898691,bf81d8692db,18.0,-981.6300048828125,3313.169921875,17.010000228881836,-5585.30029296875,-6999.69970703125,2.3999999463558197,-3.3000001311302185,-3.3000001311302185,629.1999816894531,255.0,255.0,,-0.009529125415423766,-0.8379296692185912,0.00036365146820608295,True,153.0,False,10,8,False,
8,1000,30.0,False,False,0,5457.745904048705,-3617.110107421875,408.9800109863281,160.97000122070312,960.2999877929688,10354.300537109375,7496.400146484375,1784.1999816894531,-4928.2000732421875,-2920.4000854492188,0.0,-0.3851037182637786,-2.262347694116913,2.9095847533389887,bf81d8692db,games5425898691,18.0,-3719.02001953125,353.6000061035156,15.779999732971191,-1353.3999633789062,14704.599609375,-373.1999969482422,-64.49999809265137,-238.4000015258789,-569.0000152587891,255.0,134.0,,0.014834849878718519,1.5406727270012484,-0.006495776794593345,True,8,False,10,243.0,False,,76561198039309853,enpitsu,26.0,-2968.469970703125,-77.63999938964844,17.049999237060547,-22768.30078125,1536.6999816894531,3.0000001192092896,-1.1999999731779099,0.19999999552965164,-1704.1000366210938,255.0,0.0,,0.016787766365555176,3.029472465363983,-0.00020185690629522356,True,12,99.0,False,12,False,,VTS_Sem070,2298688272173828900,6.0,1250.760009765625,3175.030029296875,17.010000228881836,-14640.999755859375,14056.500244140625,2.0999999344348907,0.29999999329447746,-0.29999999329447746,-200.9000015258789,255.0,128.0,,0.009604705798465615,2.3543270007085875,0.00012939742718190382,True,20,22,234.0,False,False,,LagacyyPP,7864449511119550642,6.0,-2574.77001953125,2158.610107421875,16.989999771118164,-10743.399658203125,18917.39990234375,4.600000083446503,0.29999999329447746,-0.3999999910593033,-22.5,244.0,128.0,False,0.009605317093703348,2.0843886453507836,6.910389682336818e-05,False,98.0,False,12,12,False,
9,1047,31.0,False,False,0,3949.0197229930236,-3463.429931640625,2139.489990234375,486.1099853515625,-2215.800018310547,20659.19921875,2969.1000366210938,2523.300018310547,-4962.799987792969,-2236.6000366210938,0.0,-0.03405439273351239,0.0767279307596787,0.9992704989987538,bf81d8692db,games5425898691,18.0,-3444.02001953125,1962.25,352.4100036621094,786.6999816894531,15245.6005859375,3774.2999267578125,-3518.3999633789062,-2484.499969482422,-3420.10009765625,255.0,240.0,,-0.4263387504658964,1.340999451063445,-0.6951648050794625,True,9,False,12,180.30627945674365,True,,76561198039309853,enpitsu,26.0,-3788.610107421875,1148.77001953125,16.959999084472656,2205.7000732421875,-442.79998779296875,2.0999999344348907,-23.399999141693115,17.799999713897705,5.5000001192092896,255.0,128.0,False,0.014788642951910584,-0.1956523876513542,0.0022727576743738842,True,12,99.0,False,12,False,,VTS_Sem070,2298688272173828900,6.0,-742.4600219726562,4319.52001953125,17.010000228881836,-6050.3997802734375,2707.39990234375,2.0999999344348907,0.29999999329447746,0.29999999329447746,0.0,128.0,128.0,,0.009683884663107031,2.720851639752158,1.1897983715005345e-05,True,20,22,255.0,False,False,,LagacyyPP,7864449511119550642,6.0,-2516.68994140625,4627.31005859375,16.989999771118164,-131.5999984741211,302.1999931335449,4.4999998807907104,-2.7000001072883606,0.0,-632.5,209.0,128.0,False,0.009421045139885734,-1.4454770157068833,0.00031589641986629584,True,255.0,False,12,12,False,
