,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,1145,35,False,1,4508.106735859171,1730.8499755859375,709.8699951171875,158.72999572753906,-7721.199951171875,23871.298828125,5139.6002197265625,2822.9998779296875,-4136.499938964844,2262.4000549316406,1.0,-0.7111172190920874,2.1014767769787914,0.9667957384555893,2535451736860888,xxMosesTPD69xx,20.0,1746.9000244140625,430.9599914550781,77.33999633789062,-6896.7999267578125,18284.000244140625,3748.2000732421875,-1328.0999755859375,429.3000030517578,668.7000274658203,254.0,31.0,True,-0.07093192141840168,1.1654708991780323,0.0009113137121269975,True,93.0,False,20,14,4,,76561198087420566,Arkeo,8.0,2998.080078125,1339.8499755859375,16.540000915527344,-4828.0999755859375,13119.100341796875,52.10000038146973,-5.799999833106995,-141.09999656677246,1896.7999267578125,255.0,255.0,,-0.007707626276483227,1.184130076518304,0.01404123113895599,True,False,160.0,False,16,16,,enpitsu,76561198039309853,26,1674.47998046875,2823.8701171875,17.049999237060547,-9297.000122070312,343.1999969482422,3.3000001311302185,-0.0,0.09999999776482582,-2445.0,255.0,0.0,False,-0.01669823033734485,0.0743871769293711,1.0281891833490026e-05,True,213.0,False,6,False,6,,games5425898691,bf81d8692db,24.0,1581.4599609375,-598.0399780273438,46.75,2005.2000427246094,22440.50048828125,-2297.899932861328,-1910.0,-55.79999923706055,287.09999084472656,255.0,128.0,0.3505360516278785,1.6374132501088232,0.17390836749533353,True,18,False,18,199.0,False,,
1,2446,82,False,1,2751.9581225532397,498.8500061035156,2416.85009765625,93.08000183105469,-1146.9000244140625,25897.60009765625,471.3999938964844,-4561.499938964844,-3612.9998779296875,1462.2000122070312,1.0,0.062260322260374555,-2.165824360758576,1.4881310523812876,2535451736860888,xxMosesTPD69xx,21.0,454.8900146484375,2293.199951171875,76.94000244140625,-2116.7999267578125,22111.39892578125,3256.300048828125,915.9999847412109,-511.1000061035156,-1795.2000427246094,161.0,128.0,True,-0.01148863812733674,1.8529691291626345,0.0015662780895338724,False,30.900456059363595,True,28,20,6,,76561198087420566,Arkeo,8.0,3414.989990234375,-4625.02001953125,501.1700134277344,-6833.0999755859375,-6814.1998291015625,5117.099914550781,1961.199951171875,-1927.5999450683594,13.200000524520874,255.0,0.0,False,0.39922671938453336,-0.7943259378045536,1.5679858367022577,True,False,255.0,False,28,30,,enpitsu,76561198039309853,26,352.9599914550781,3854.239990234375,17.049999237060547,-51.10000133514404,-15194.7998046875,-2.199999988079071,0.19999999552965164,-0.5000000074505806,5.899999737739563,255.0,255.0,False,-0.016769640369396027,-1.5681518899095976,-2.986337053026028e-05,True,183.0,False,20,False,21,,games5425898691,bf81d8692db,24.0,426.95001220703125,4621.3798828125,17.010000228881836,-5576.500244140625,181.49999618530273,2.0999999344348907,-1.899999976158142,-0.5000000074505806,-706.8000030517578,0.0,128.0,-0.009896995708924985,0.09211688837922309,0.00018650363975548744,True,26,False,24,255.0,False,,
2,2678,91,True,0,2906.167595982999,1238.7099609375,3167.989990234375,455.30999755859375,-10220.999755859375,11830.799560546875,5839.5001220703125,-1748.2000732421875,-399.59999084472656,5725.7000732421875,0.0,0.7042977853986797,-0.26852899275845055,-1.438894472702319,bf81d8692db,games5425898691,24.0,1345.550048828125,3037.3701171875,382.3999938964844,-1601.199951171875,8452.60009765625,3442.0999145507812,-2797.60009765625,-147.39999771118164,4732.900085449219,255.0,171.0,,0.15336269189891957,2.122925527236428,1.128029928143194,True,195.51132919967813,True,30,27,False,,76561198039309853,enpitsu,26.0,-1661.31005859375,5073.2998046875,78.4800033569336,-7279.1998291015625,-504.3000030517578,-587.9999923706055,-632.9000091552734,-1683.2000732421875,1568.800048828125,255.0,255.0,,0.06973724431304515,-3.1121989370614913,-0.9546184792300174,True,False,74.0,False,24,26,,Arkeo,76561198087420566,8,-886.8900146484375,5104.1298828125,169.5,9555.900268554688,313.700008392334,-4254.5001220703125,363.8999938964844,277.09999084472656,885.1999664306641,255.0,128.0,False,0.3872400345420576,0.04835616751006982,1.5837243554767486,True,74.0,False,30,False,32,,xxMosesTPD69xx,2535451736860888,21.0,-293.3500061035156,4460.0400390625,17.010000228881836,7153.800048828125,2476.4999389648438,2.5999999046325684,-0.3999999910593033,-0.09999999776482582,1724.7000122070312,1.0,255.0,0.009931096981566693,0.37443587712969856,8.960275713677828e-06,True,30,6,24,221.0,False,,False
3,3452,110,True,1,1318.525825746383,-270.8500061035156,4526.02001953125,107.16000366210938,8221.900024414062,11089.100341796875,4070.4998779296875,1304.7999572753906,5034.4000244140625,2991.9000244140625,1.0,-0.05055169022004587,-0.29874840890465887,0.9448170316370754,76561198087420566,Arkeo,9.0,-223.8300018310547,4398.52001953125,16.209999084472656,9624.89990234375,8724.600219726562,-40.70000171661377,678.0999755859375,1699.7999572753906,-975.0,0.0,255.0,,-0.028962915261648573,2.3116077464240377,0.03992361666118812,True,31.0,False,8,8,False,,2535451736860888,xxMosesTPD69xx,21.0,-753.0599975585938,3621.550048828125,17.010000228881836,19085.999755859375,12651.199951171875,2.199999988079071,0.5000000074505806,0.29999999329447746,-1624.1000366210938,255.0,0.0,,-0.0095903184641159,2.596633416682531,-0.00018253710636819342,True,False,156.0,False,6,6,,enpitsu,76561198039309853,26,-2402.409912109375,3955.489990234375,85.80999755859375,-7434.4000244140625,-9837.899780273438,-913.1999969482422,2831.7999267578125,1887.7999877929688,1305.0,255.0,255.0,False,0.5339062280096045,-0.7662046173061431,0.8690986447493819,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-973.5700073242188,5013.10009765625,21.56999969482422,22970.6005859375,1053.0999755859375,-488.10001373291016,-2165.2000427246094,-289.89999771118164,50.50000190734863,255.0,128.0,-0.019544659552816025,3.102044742507826,0.18825911479317314,True,6,False,6,130.51949260055378,True,,
4,6286,204,True,0,866.9423268738791,-95.6500015258789,4806.7900390625,210.27999877929688,-12777.900390625,29364.7998046875,8987.7001953125,3106.199951171875,-4281.700134277344,2831.6000366210938,0.0,-0.21227337397744564,-2.5544854173227685,-1.8768125544022332,bf81d8692db,games5425898691,24.0,-13.979999542236328,4487.02001953125,103.0,-3152.2000122070312,22546.4990234375,2956.4999389648438,-397.99999237060547,-97.89999961853027,1468.3999633789062,255.0,128.0,,0.09565543743346994,2.145697164741585,0.014457264066599505,True,119.0,False,34,28,False,,76561198039309853,enpitsu,26.0,3354.530029296875,4249.6298828125,15.510000228881836,-1991.4999389648438,-12722.39990234375,181.29999160766602,-40.39999961853027,12.100000381469727,-956.1000061035156,255.0,128.0,False,0.0009093604210146995,-1.7998528718969864,-0.012123418262978533,True,2,222.0,False,18,22,,Arkeo,76561198087420566,9,2203.070068359375,3822.35009765625,17.010000228881836,-10267.7001953125,4147.200012207031,2.0999999344348907,0.5000000074505806,-0.19999999552965164,-377.00000762939453,255.0,128.0,False,0.009547674111274612,2.717884307571456,0.0002365209224532208,True,156.0,False,26,False,28,,xxMosesTPD69xx,2535451736860888,21.0,-3001.360107421875,4628.39990234375,16.459999084472656,8810.10009765625,2105.7000732421875,-10.59999942779541,-234.0999984741211,-166.49999618530273,-217.19999313354492,0.0,128.0,0.007607638465087767,0.17811689956742677,-0.006768105707913051,True,22,6,12,,False,,False
5,7217,229,True,1,2452.796353609762,-74.29000091552734,2887.280029296875,348.94000244140625,-4021.300048828125,26731.298828125,755.6999969482422,3326.6000366210938,3417.39990234375,796.6000366210938,1.0,-0.19545875149267397,2.140066369562021,-0.16151399168738517,76561198087420566,Arkeo,9.0,7.130000114440918,2688.8701171875,227.42999267578125,-2476.1000061035156,20731.39892578125,853.3999633789062,-3291.6000366210938,-2998.3999633789062,-3228.699951171875,,216.0,,0.256374246910303,1.6213431894690058,-0.7100084222015847,True,111.0,False,14,11,False,,2535451736860888,xxMosesTPD69xx,21.0,-1977.25,-1039.760009765625,17.010000228881836,11629.69970703125,9518.800048828125,2.3000000417232513,-1.4000000059604645,-1.0999999940395355,1911.3999938964844,254.0,250.0,,-0.009589608689146255,2.409639151323898,0.0001682411588188005,True,False,202.0,False,False,6,,enpitsu,76561198039309853,26,89.37999725341797,3997.43994140625,29.690000534057617,1337.7999877929688,-7123.3001708984375,3109.2999267578125,-1.4000000059604645,-9.700000286102295,-349.39998626708984,255.0,0.0,,-0.016553794847909475,-1.7329557216946503,0.0005107232352583764,True,225.0,False,8,False,10,,games5425898691,bf81d8692db,24.0,-1719.050048828125,-1309.969970703125,16.959999084472656,515.2999877929688,20426.300048828125,16.00000023841858,5.899999737739563,0.19999999552965164,-769.1000366210938,255.0,70.0,-0.00991769936863724,1.6099133048273162,-0.00012532271865901053,True,8,False,8,133.86605603464187,True,,
6,8179,254,True,0,891.4519362735413,-503.3699951171875,4339.669921875,356.5,16008.800048828125,16932.7001953125,5175.7000732421875,962.6000213623047,-1133.3999633789062,-2195.0,0.0,1.4246479910268226,1.9645173641868032,-0.3081546238864285,76561198039309853,enpitsu,26.0,-631.72998046875,4286.0498046875,245.27000427246094,4080.4000854492188,18753.199462890625,1012.0999908447266,-590.9000015258789,-4081.099853515625,-3639.2999267578125,128.0,255.0,,-0.5682358816523734,0.6193076070056505,-1.0432573741444195,True,173.0,False,6,5,False,,bf81d8692db,games5425898691,24.0,-624.4099731445312,4056.550048828125,219.02999877929688,7418.499755859375,12460.999755859375,2621.7001342773438,-364.00001525878906,-852.6999664306641,3562.5,255.0,213.0,,-0.9449794520768873,0.7920942587093704,0.6107185911705694,True,False,121.92732040343742,True,12,14,,Arkeo,76561198087420566,9,-90.81999969482422,4531.22998046875,16.989999771118164,-3827.9998779296875,-8964.600219726562,5.0,0.0,0.0,-2428.9999389648438,255.0,0.0,,0.009527585298984467,-2.023358411789843,-1.35700317067633e-06,True,234.0,False,12,False,12,,xxMosesTPD69xx,2535451736860888,22.0,38.56999969482422,4876.35009765625,256.82000732421875,-18637.099609375,-221.90000534057617,-13476.099853515625,-3698.2000732421875,-3413.599853515625,-2217.899932861328,255.0,0.0,0.3909563274843748,-2.343674254665179,0.4642341304643717,True,6,False,5,112.97007314876842,True,,True
7,8991,275,True,0,2000.3989643925227,-286.5199890136719,3234.7099609375,182.47999572753906,2485.8999633789062,19501.700439453125,-8641.199951171875,-4444.800109863281,2163.800048828125,3400.10009765625,0.0,0.7378125785846791,-2.8766957271323816,3.0797011092382336,76561198039309853,enpitsu,26.0,-307.9100036621094,3030.0,225.36000061035156,14981.99951171875,17318.399658203125,2146.7999267578125,-2095.5999755859375,976.8000030517578,201.8000030517578,255.0,255.0,,-0.32298981306970687,1.1046563075738798,-0.061225429374469745,True,39.0,False,6,5,False,,bf81d8692db,games5425898691,24.0,1398.47998046875,-4126.31005859375,17.0,-8507.19970703125,-9665.800170898438,3.4999999403953552,0.3999999910593033,0.3999999910593033,-1601.6000366210938,255.0,0.0,,0.009552810871705716,-2.2953194200736684,-0.0002833790751348622,True,False,255.0,False,4,4,,Arkeo,76561198087420566,9,-154.33999633789062,5529.77978515625,23.760000228881836,8718.499755859375,9104.500122070312,394.1999816894531,-28.299999237060547,130.600004196167,-3358.3999633789062,255.0,0.0,False,-0.010429146066192918,0.5066870984956349,0.03599398089908981,True,53.0,False,6,False,6,,xxMosesTPD69xx,2535451736860888,21.0,-363.2699890136719,3357.239990234375,17.010000228881836,8097.19970703125,-10817.19970703125,0.0,-0.09999999776482582,0.7999999821186066,-7.799999713897705,255.0,128.0,0.0095565141898297,-0.9294493768625319,5.4848628845027395e-05,True,False,False,False,36.33775493919208,True,,False
