,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,246,2,False,0,3149.6856211324884,-552.4199829101562,2009.1099853515625,153.3300018310547,1574.7000122070312,18558.599853515625,2732.9000854492188,1400.2000427246094,-2149.9000549316406,-4523.800048828125,0.0,-0.30435029914833056,2.2820829153935698,-2.0600292879169047,76561198261312084,ibrahempzz,40.0,-578.4600219726562,1832.969970703125,22.020000457763672,4955.400085449219,14665.400390625,2999.5999145507812,2.5999999046325684,7.300000190734863,578.1999969482422,255.0,230.0,,0.01678757273364637,1.2380247816349632,0.00022883849194954605,True,4,False,5,102.0,False,,76561198996906556,Dabi,20.0,2313.39990234375,-18.06999969482422,61.13999938964844,16874.3994140625,-80.9000015258789,-983.7999725341797,3.3000001311302185,1518.800048828125,-6.9999998807907104,255.0,128.0,False,-0.2169397532266741,-0.001199477068366752,-0.005779054675382594,True,4.545591167224348,True,False,8,8,,enpitsu,76561198039309853,24.0,-107.41000366210938,1052.2900390625,17.049999237060547,5333.4002685546875,10499.3994140625,3.1999999284744263,0.5000000074505806,0.5999999865889549,1576.6999816894531,255.0,128.0,,0.016723944094116233,1.0954619086873465,0.0003369401947283252,True,2,2,31.0,False,False,,games5425898691,bf81d8692db,19.0,1099.02001953125,3775.300048828125,17.010000228881836,-5741.500244140625,13359.7998046875,2.3000000417232513,0.5999999865889549,-1.8000000715255737,1648.5000610351562,255.0,251.0,,0.009583106275959903,1.98929498197321,0.00034254663420775543,True,False,False,False,192.0,False,
1,267,3,False,0,1777.9950076803811,-432.7300109863281,3423.419921875,171.25,2508.3999633789062,24540.6005859375,-541.1999893188477,627.0999908447266,-1757.5999450683594,-5694.5001220703125,0.0,-1.1411681426490248,-2.3385843314398747,-1.3802749015666957,76561198261312084,ibrahempzz,40.0,-497.6099853515625,3265.0400390625,119.58000183105469,-206.39999389648438,18230.50048828125,-211.20000839233398,-3348.5000610351562,-3096.099853515625,3074.2001342773438,255.0,128.0,,0.1205834358067722,0.9356525942061862,1.285753846787842,True,5,False,6,102.0,False,,76561198996906556,Dabi,20.0,3739.300048828125,85.97000122070312,17.010000228881836,10815.799560546875,10233.200073242188,2.7000001072883606,-0.3999999910593033,-0.5999999865889549,2905.7998657226562,255.0,255.0,False,0.009595499016667118,0.9434997725567512,-1.634899636060337e-05,True,255.0,False,False,8,8,,enpitsu,76561198039309853,24.0,28.010000228881836,1990.1700439453125,17.049999237060547,-347.20001220703125,13591.500244140625,2.5999999046325684,-0.09999999776482582,0.5000000074505806,22.799999713897705,255.0,128.0,,0.016733947117993815,1.5991974263534776,-5.236306492064727e-05,True,2,2,31.0,False,False,,games5425898691,bf81d8692db,20.0,339.79998779296875,4229.509765625,78.61000061035156,-11903.900146484375,161.90000534057617,2943.699951171875,-160.30000686645508,909.8999786376953,2128.3999633789062,255.0,128.0,,-0.0857585252417588,-2.754912833190418,-0.010390240080032536,True,4,False,False,192.0,False,
2,279,4,True,0,888.1022930576071,-327.1400146484375,4458.0,93.16000366210938,2176.7999267578125,22423.5009765625,1933.800048828125,-3586.099853515625,-789.0000152587891,-4745.10009765625,0.0,-0.5847150105506158,1.8365488923322077,-1.8826812423207853,76561198261312084,ibrahempzz,40.0,-461.5,4116.6201171875,56.2599983215332,1780.3999328613281,21981.69921875,-3226.099853515625,-346.30001068115234,-614.7999954223633,1331.199951171875,255.0,169.0,,0.20663343895497768,1.2607992891417357,-0.012123678464579523,True,6,False,6,86.2942193631203,True,,76561198996906556,Dabi,20.0,3842.989990234375,633.22998046875,18.190000534057617,-3995.4000854492188,12845.400390625,-309.6999931335449,-329.1999816894531,920.9999847412109,2179.2999267578125,255.0,255.0,,0.02309800506942923,1.946246360525556,-0.06483972535802766,True,255.0,False,False,8,8,,enpitsu,76561198039309853,25.0,11.399999618530273,2558.739990234375,17.049999237060547,-419.1999816894531,14091.199951171875,2.5999999046325684,-0.3999999910593033,0.3999999910593033,0.0,255.0,,,0.01674149403839556,1.6005662775539842,-3.316733025112213e-05,True,2,2,61.0,False,False,,games5425898691,bf81d8692db,20.0,-207.1199951171875,4188.41015625,142.67999267578125,-16467.099609375,-2536.199951171875,30.999999046325684,3270.7000732421875,-4412.5,-285.2000045776367,255.0,38.0,,0.9969325666249756,-2.2191813203745867,0.23505922873412904,True,4,3,False,223.0,False,
3,646,8,False,1,3230.5699243539652,-819.7100219726562,2402.679931640625,374.489990234375,9071.400146484375,23081.10107421875,1906.300048828125,3189.2999267578125,-3897.0001220703125,-1423.5000610351562,1.0,0.4207132102658204,2.023849346414384,1.7137840915973959,76561198039309853,enpitsu,25.0,-861.510009765625,2319.570068359375,277.05999755859375,8622.60009765625,20740.80078125,-966.1000061035156,-2076.9000244140625,4492.300109863281,2398.9999389648438,255.0,0.0,False,-0.1808784897263413,0.8865295820574042,2.2245076514239437,True,1,False,2,19.0,False,,bf81d8692db,games5425898691,20.0,2673.639892578125,-80.04000091552734,17.010000228881836,12817.5,4646.099853515625,2.3000000417232513,-1.2999999523162842,-0.29999999329447746,1987.5999450683594,255.0,255.0,,-0.009572056329497022,2.7579604929153727,0.0002047526171254599,False,0.0,False,False,4,4,,Dabi,76561198996906556,20.0,-292.9200134277344,5363.06005859375,17.729999542236328,-7204.69970703125,-140.2999973297119,23.299999237060547,-19.700000286102295,-83.80000114440918,3276.9000244140625,255.0,255.0,False,-0.02494331891475557,-0.8161548104411743,-0.02029258516469514,True,4,4,237.0,False,False,,ibrahempzz,76561198261312084,40.0,3100.43994140625,46.15999984741211,17.049999237060547,13673.800048828125,-1626.300048828125,3.1999999284744263,0.5000000074505806,-0.5000000074505806,-1888.699951171875,255.0,0.0,,-0.01678173295215108,-2.996299927958966,-0.00018814231055109276,False,4,4,False,0.0,False,
4,1898,53,True,0,641.0649507013197,-1126.6099853515625,4541.85009765625,697.47998046875,15915.30029296875,18823.00048828125,-9138.300170898438,-1270.8000183105469,-702.5,894.7000122070312,0.0,-0.07972327797089192,-0.44065360170046725,0.8371232477596801,76561198261312084,ibrahempzz,40.0,-1223.0999755859375,4354.9599609375,697.6500244140625,17925.400390625,10848.599853515625,-7649.89990234375,-1439.1000366210938,28.09999942779541,5305.4998779296875,255.0,255.0,,0.21324900702904262,1.0559407945444321,-0.43025547351909,True,10,4,16,9.99308400769388,True,,76561198996906556,Dabi,20.0,-4076.889892578125,565.6900024414062,240.02999877929688,998.6000061035156,-10048.699951171875,-14611.99951171875,1777.1000671386719,-3459.2001342773438,538.4999847412109,255.0,244.0,False,1.01808941217451,-1.4579237940979948,-1.4390017453398931,True,181.0,False,4,18,14,,enpitsu,76561198039309853,24.0,-1420.52001953125,4974.93994140625,204.19000244140625,19984.69970703125,4531.700134277344,3579.5001220703125,219.40000534057617,-1067.3999786376953,-916.1000061035156,128.0,0.0,False,-0.585066098566193,-0.3874882946154821,0.16744062603342813,True,20,16,138.0,False,False,,games5425898691,bf81d8692db,20.0,-1160.2900390625,5103.009765625,691.469970703125,5771.099853515625,-5.400000214576721,-7370.10009765625,0.29999999329447746,2432.4000549316406,-0.29999999329447746,255.0,0.0,,0.9158427738506844,0.01564138649997193,1.5831685583172241,True,18,16,4,31.0,False,
5,4746,148,False,0,2957.6716620325583,-1812.530029296875,2327.919921875,144.24000549316406,14297.80029296875,20423.900146484375,6890.8001708984375,5055.7000732421875,-1965.7000732421875,-2564.1000366210938,0.0,-0.4604019306563796,2.836237798124264,-0.6525331541996848,76561198996906556,Dabi,20.0,-1882.06005859375,2201.43994140625,108.81999969482422,9645.700073242188,11641.300048828125,1952.5999450683594,-4377.9998779296875,-3060.4000854492188,1310.0,255.0,249.0,True,0.12578299768840304,0.7616890688651696,-0.6622979468318019,True,31,8,42,89.61900217046019,True,,76561198261312084,ibrahempzz,40.0,-2186.35009765625,-1424.969970703125,17.049999237060547,451.1000061035156,17668.599853515625,2.5999999046325684,-0.19999999552965164,0.5999999865889549,-375.2000045776367,128.0,128.0,,0.01684098069441683,1.514759055502382,0.00013092479281606004,True,171.0,False,False,False,False,,enpitsu,76561198039309853,25.0,-3092.739990234375,4060.60009765625,17.030000686645508,10882.19970703125,-4958.500061035156,2.0000000298023224,-1.7000000178813934,1.5999999642372131,2716.6000366210938,255.0,128.0,,0.016678203361753133,-0.32409669891616,6.6787265750908e-05,True,8,8,228.37052035844454,True,False,,games5425898691,bf81d8692db,20.0,-515.030029296875,5109.81005859375,28.389999389648438,7955.0,9552.999877929688,-1866.4999389648438,-3482.3001098632812,3581.7001342773438,1509.1999816894531,0.0,0.0,,-0.11456715361803908,0.26640319939193075,0.493216215653676,True,52,52,False,80.0,False,
6,5027,158,True,0,2196.0228753403676,-1867.0999755859375,3170.360107421875,406.3999938964844,12484.7998046875,18560.899658203125,1751.199951171875,3566.400146484375,2991.7001342773438,-3785.4000854492188,0.0,0.39779585796259515,2.6510258756203,-1.364291712908179,76561198996906556,Dabi,20.0,-1948.9300537109375,2984.56005859375,334.8599853515625,-1461.0000610351562,15683.00048828125,1724.1999816894531,-5347.2998046875,208.89999389648438,281.3999938964844,255.0,176.0,,0.10617389730989112,1.257578250523916,0.18588718169016955,True,35,8,46,29.578640981387068,True,,76561198261312084,ibrahempzz,40.0,-471.6499938964844,4259.509765625,17.059999465942383,3062.60009765625,-9453.200073242188,2.0999999344348907,0.29999999329447746,0.19999999552965164,-2441.3999938964844,255.0,0.0,,0.0166705068123275,-1.310364142133182,2.8626224730126327e-05,True,152.86721704339467,True,4,4,False,,enpitsu,76561198039309853,25.0,-1025.239990234375,4136.2099609375,17.030000686645508,5745.7000732421875,12063.1005859375,5.0,0.5999999865889549,1.1999999731779099,131.70000076293945,255.0,128.0,,0.016747561666385975,1.1416669472086094,-0.000151392247915884,True,10,10,10.0,False,False,,games5425898691,bf81d8692db,20.0,-2840.800048828125,-377.05999755859375,17.010000228881836,7745.4998779296875,9771.500244140625,2.0999999344348907,-1.899999976158142,-2.5999999046325684,1136.6000366210938,255.0,128.0,,0.009565665643804863,0.967020567387889,-0.00012609426178917694,True,56,54,False,,False,
7,5538,167,False,1,5400.23882221726,1459.199951171875,-230.7899932861328,119.26000213623047,-6885.2001953125,24721.201171875,6896.199951171875,-1190.8999633789062,1286.4999389648438,1803.3999633789062,1.0,-0.6737926406179235,1.3558969659045985,0.13524249355507267,bf81d8692db,games5425898691,20.0,1544.010009765625,-384.30999755859375,48.75,548.3000183105469,21230.80078125,3333.699951171875,2897.2000122070312,401.30001068115234,4270.400085449219,255.0,223.0,,0.0358252554377001,1.3963576327166907,0.0001377678750111779,True,6,False,7,171.0,False,,76561198039309853,enpitsu,25.0,-22.399999618530273,-1532.3699951171875,17.049999237060547,-1661.9999694824219,22938.5009765625,2.5,-0.0,0.5000000074505806,8.500000238418579,255.0,128.0,False,-0.016782665296955122,1.497543206701298,-4.924534050454695e-05,True,0.0,False,False,False,False,,Dabi,76561198996906556,20.0,1887.1800537109375,-2028.949951171875,87.9800033569336,924.1999816894531,20955.70068359375,-1051.8000030517578,-2904.2001342773438,-1261.6000366210938,1181.8000030517578,255.0,128.0,False,0.5501879596522398,1.908116190322901,0.7415500804825763,True,8,4,73.0,False,4,,ibrahempzz,76561198261312084,40.0,-1988.219970703125,2576.169921875,117.94000244140625,10693.199462890625,20092.7001953125,-153.90000343322754,-4407.900085449219,3282.3001098632812,-214.0999984741211,237.0,128.0,False,0.23043354540405822,-0.7454545803265543,-3.060331947184865,True,8,7,False,180.0,False,
8,6814,214,True,0,5527.6337050583825,-239.5,-348.510009765625,100.0199966430664,2534.7999572753906,28414.599609375,2122.5999450683594,-1252.7999877929688,3560.4998779296875,-3854.2001342773438,0.0,-0.37026620681290295,-3.0332196975048618,-1.3812545923367543,76561198996906556,Dabi,20.0,-213.83999633789062,-502.1199951171875,21.06999969482422,1115.0,21202.19970703125,2355.7000732421875,966.9000244140625,-2535.0,3085.8999633789062,255.0,210.0,,0.0008980792840022065,1.5476543277505874,-0.022618404790712254,True,14,6,25,89.0,False,,76561198261312084,ibrahempzz,40.0,-1878.75,-932.1500244140625,121.4800033569336,9446.699829101562,20819.09912109375,2280.399932861328,-5106.000061035156,2043.5000610351562,46.90000057220459,255.0,128.0,,0.9221076339810663,1.2013523416725018,0.012249565326024638,,36.0,False,4,22,15,,enpitsu,76561198039309853,25.0,-488.3399963378906,-5396.14013671875,18.540000915527344,-523.6999893188477,-6070.5999755859375,135.10000228881836,-252.90000915527344,-40.999999046325684,2241.300048828125,255.0,255.0,True,-0.024771415313840993,-1.6850000262467946,0.003013373392313654,True,4,4,116.0,False,False,,games5425898691,bf81d8692db,20.0,-3256.919921875,-2583.93994140625,47.13999938964844,-1207.0999908447266,15160.400390625,-2458.300018310547,-1799.9000549316406,-60.79999923706055,-3.400000035762787,255.0,,,-0.2728720415329872,1.605673803352055,-0.0020083669815623194,True,26,20,4,,False,
9,8067,250,True,1,1102.0994570648386,-31.190000534057617,4544.22998046875,111.4800033569336,-736.2000274658203,20432.60009765625,-1130.1000213623047,951.8000030517578,-1391.9999694824219,-5606.7999267578125,1.0,-0.2803972386762833,-0.9745410241850071,-1.058591746800001,76561198039309853,enpitsu,25.0,67.31999969482422,4366.9599609375,128.30999755859375,3563.699951171875,13304.3994140625,2650.2999877929688,1954.1000366210938,-4168.399963378906,3009.2001342773438,,255.0,,-0.03508364462937203,1.2643220961293873,-0.5621283782253249,True,11,False,12,212.0,False,,bf81d8692db,games5425898691,20.0,-297.7699890136719,2470.719970703125,17.020000457763672,16289.000244140625,11445.6005859375,-2.0000000298023224,-3.4999999403953552,-2.5999999046325684,627.599983215332,255.0,128.0,,-0.00960208405477336,2.4865344211303255,-0.00010487953574609463,True,117.43502807617188,True,False,6,4,,Dabi,76561198996906556,20.0,-4078.989990234375,3201.340087890625,512.9199829101562,3.100000023841858,8609.099731445312,-11029.200439453125,2234.7999572753906,-0.19999999552965164,0.19999999552965164,255.0,255.0,,-0.8243585113574053,1.5566777637008335,1.5811868370843076,True,10,6,70.0,False,4,,ibrahempzz,76561198261312084,40.0,-64.66000366210938,4336.3798828125,17.030000686645508,10941.400146484375,1450.5000305175781,5.699999928474426,3.100000023841858,-0.09999999776482582,1308.8999938964844,128.0,255.0,,-0.016874227795636722,3.0210199947384613,0.00025646584419341525,True,12,12,False,,False,
