,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,178,0,False,True,1,5140.2897591498495,7.449999809265137,77.08999633789062,95.63999938964844,2779.8001098632812,31590.10009765625,2031.9999694824219,-1197.300033569336,47.5,756.5000152587891,1.0,0.0014751907693899473,-0.01888908461866634,0.029935214539779566,76561198039309853,enpitsu,25.0,-24.219999313354492,-254.75,89.30999755859375,4622.200012207031,22359.3994140625,2748.5000610351562,-4394.89990234375,2729.4000244140625,-1658.5000610351562,255.0,0.0,,-0.22746493845403115,1.5772073928239814,0.02829561112134275,True,31.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,-3255.139892578125,-3955.360107421875,17.010000228881836,-12013.00048828125,8715.0,2.3000000417232513,-0.29999999329447746,0.09999999776482582,-2059.9000549316406,255.0,0.0,,-0.009593010785657101,0.6944166107720438,-4.6310474100517676e-05,True,False,False,False,255.0,False,,Shorty_oneTTV,76561198262556175,6,-13.180000305175781,437.8999938964844,83.30000305175781,-1208.3999633789062,-22892.7001953125,1831.199951171875,5417.1002197265625,947.9000091552734,-78.09999942779541,255.0,208.0,,-0.6705105721615193,-1.2614183763722446,-0.3236756816385686,True,3,4,False,31.0,False,,rYL*,76561198127502483,7.0,-5.909999847412109,3681.31005859375,17.010000228881836,339.90001678466797,-10714.000244140625,2.0999999344348907,0.7999999821186066,-0.0,0.0,255.0,128.0,,-0.009476850243748171,-1.6025369640842617,5.43608468157131e-06,True,False,False,False,116.0,False,
1,179,0,False,False,0,5308.226426494532,-29.280000686645508,-96.98999786376953,112.54000091552734,-10926.199951171875,19929.599609375,7514.89990234375,4674.89990234375,-24.200000762939453,3760.8999633789062,0.0,-0.015848749578297204,0.143700502851565,0.19011323616101417,76561198262556175,Shorty_oneTTV,6.0,23.31999969482422,-246.97999572753906,92.9800033569336,1223.3999633789062,22922.80029296875,126.00000381469727,-5392.2998046875,-1071.1000061035156,160.10000228881836,255.0,255.0,,1.1295652241804512,0.6986299161586255,-1.0174903245124778,True,31.0,False,4,False,3,,76561198127502483,rYL*,7.0,5.909999847412109,-3681.31005859375,17.010000228881836,-339.90001678466797,10714.000244140625,2.0999999344348907,-0.7999999821186066,0.0,0.0,255.0,128.0,,0.009476850243748171,1.6025369640842617,5.43608468157131e-06,True,False,False,False,116.0,False,,enpitsu,76561198039309853,25,-12.539999961853027,83.20999908447266,110.58999633789062,-4234.89990234375,-19143.900146484375,2393.0999755859375,3911.0000610351562,-3815.8999633789062,-626.6999816894531,255.0,0.0,,0.6541332130686524,-1.4518753652832657,0.47749236610605916,True,1,2,False,31.0,False,,games5425898691,bf81d8692db,19.0,3255.139892578125,3955.360107421875,17.010000228881836,12013.00048828125,-8715.0,2.3000000417232513,0.29999999329447746,-0.09999999776482582,-2059.9000549316406,255.0,0.0,,0.009593010785657101,-0.6944166107720438,-4.6310474100517676e-05,True,False,False,False,255.0,False,
2,329,5,False,False,0,7827.498366420604,-2867.6201171875,-2435.1201171875,679.5700073242188,-6924.4000244140625,4016.9000244140625,8814.199829101562,5304.69970703125,-2317.7999877929688,-1576.9000244140625,0.0,-1.0910880090263955,1.112234256857441,0.12469914509444124,76561198127502483,rYL*,7.0,-2828.639892578125,-2473.530029296875,500.6099853515625,407.09999084472656,6381.199951171875,5100.4998779296875,-3925.7998657226562,604.3999862670898,-189.69999313354492,255.0,128.0,,-1.1485682166357676,-1.8297281426742826,-3.0313666726386463,True,195.0,False,4,False,3,,76561198262556175,Shorty_oneTTV,6.0,2475.639892578125,-3617.840087890625,16.3700008392334,-12073.599853515625,-17120.899658203125,98.4000015258789,22.200000286102295,81.19999885559082,-1495.8000183105469,255.0,7.0,,0.011103557870803187,-2.2048048748342692,0.00755863720381802,True,8,8,False,255.0,False,,enpitsu,76561198039309853,25,-3100.0400390625,-2195.419921875,324.79998779296875,11634.200439453125,-18163.00048828125,2351.999969482422,147.89999961853027,2462.5999450683594,-306.299991607666,128.0,255.0,,-0.6175418538071404,-1.7792438243912652,0.11959959224720218,True,5,6,False,152.0,False,,games5425898691,bf81d8692db,19.0,-2818.360107421875,2216.5400390625,17.010000228881836,-5638.699951171875,15311.400146484375,2.0000000298023224,0.09999999776482582,-0.7999999821186066,0.0,255.0,128.0,,0.009596174343015008,1.9236428661235176,7.558455610706742e-05,True,False,False,False,196.0,False,
3,416,8,False,False,0,7049.086722864561,-3434.090087890625,-1436.300048828125,364.04998779296875,-6137.5,14786.199951171875,11617.099609375,3568.699951171875,4794.4000244140625,526.8999862670898,0.0,-0.5610219718699296,-2.8392411367483743,-0.8184889495205009,76561198262556175,Shorty_oneTTV,6.0,-3335.169921875,-1539.4100341796875,185.8300018310547,-13599.3994140625,18414.49951171875,2173.000030517578,-1578.2000732421875,1877.1000671386719,2856.400146484375,128.0,8.0,,-0.8598396310807396,2.6277979239572358,0.01751038734646531,True,205.0,False,10,False,9,,76561198127502483,rYL*,7.0,-3265.97998046875,-1429.489990234375,165.57000732421875,-2450.2999877929688,5180.999755859375,2342.2000122070312,-2878.599853515625,-408.69998931884766,-4523.299865722656,128.0,128.0,,-0.04160022995301796,3.1407699340485293,0.2606844773799552,True,6,4,False,195.0,False,,enpitsu,76561198039309853,25,-132.77999877929688,-3443.1298828125,17.030000686645508,5817.9998779296875,20413.699951171875,1.0000000149011612,0.9000000357627869,3.400000035762787,1117.3999786376953,255.0,128.0,,0.016775901263834485,1.3002622386418023,0.00021157737393752413,True,6,6,False,48.665574401937505,True,,games5425898691,bf81d8692db,19.0,-2880.43994140625,4124.4599609375,95.19999694824219,-4966.9000244140625,-2097.7000427246094,-161.49999618530273,-558.4000015258789,-5410.5999755859375,-813.8999938964844,255.0,128.0,,0.4440127588199671,-1.5935244304465386,-1.3042232502650748,True,4,False,4,255.0,False,
4,491,11,False,False,1,7512.155445690068,3383.780029296875,-1948.260009765625,716.0,875.2999877929688,15160.899658203125,1010.0,-5351.6998291015625,1817.7000427246094,2013.6000061035156,1.0,-0.2185255562929776,-1.528883590481189,0.16424725481662567,bf81d8692db,games5425898691,19.0,3352.260009765625,-2076.830078125,595.4400024414062,6775.7000732421875,7886.7999267578125,6538.900146484375,-4721.400146484375,2462.5999450683594,1375.8000183105469,255.0,128.0,,1.2747905330622893,3.0687607578876994,1.1539385837543696,True,167.27587096152772,True,6,False,5,,76561198039309853,enpitsu,25.0,-42.18000030517578,-2905.320068359375,17.030000686645508,2281.6000366210938,-22498.30078125,5.099999904632568,-0.0,-0.0,1.5000000596046448,255.0,128.0,,-0.01678380398438605,-1.6720467926181724,-5.246865810001799e-06,True,6,6,False,159.0,False,,Shorty_oneTTV,76561198262556175,6,3464.27001953125,-1285.8399658203125,16.989999771118164,-6449.5001220703125,-13496.700439453125,4.799999892711639,1.899999976158142,-2.3000000417232513,-1828.3000183105469,0.0,0.0,,-0.009725794379211629,-1.0609926880827114,-4.284933459925573e-05,True,10,10,False,138.0,False,,rYL*,76561198127502483,7.0,2379.6298828125,734.7100219726562,17.010000228881836,-4702.9998779296875,10996.300048828125,2.3999999463558197,-0.09999999776482582,-0.0,-2360.5999755859375,255.0,0.0,,-0.009538888683897033,1.230500764060204,-1.0010805631264124e-05,True,4,False,6,195.0,False,
5,551,13,False,False,0,6671.5005011343255,-3606.169921875,-956.219970703125,340.4800109863281,-6275.3997802734375,22260.6005859375,10263.00048828125,5985.3997802734375,236.29999160766602,-343.4000015258789,0.0,-0.37303778557106004,2.143474648078844,0.18374009530270557,76561198127502483,rYL*,7.0,-3555.330078125,-1189.300048828125,211.57000732421875,-10314.100341796875,15419.7998046875,1922.7999877929688,-1406.3999938964844,-891.8000030517578,-583.6999893188477,255.0,150.0,,-0.39388270645408924,1.741326194834592,0.013358632703754782,True,175.0,False,8,False,5,,76561198262556175,Shorty_oneTTV,6.0,-2445.030029296875,-599.5399780273438,64.47000122070312,640.5999755859375,-16916.600341796875,-1941.199951171875,2200.8999633789062,-531.5000152587891,-212.19999313354492,255.0,,,-0.4172892301588569,-1.666881397224002,-0.1434546671192796,True,12,12,False,138.0,False,,enpitsu,76561198039309853,25,-741.3200073242188,5171.7998046875,16.739999771118164,3136.7001342773438,-6884.69970703125,32.99999952316284,-3.100000023841858,39.100000858306885,123.50000381469727,,0.0,,0.014536979298074373,-1.1246903847574057,0.003305261335638195,True,6,6,False,189.0,False,,games5425898691,bf81d8692db,19.0,-4078.989990234375,1399.1600341796875,663.3200073242188,3.1999999284744263,6050.10009765625,962.6999664306641,-2304.7000122070312,0.0,0.09999999776482582,255.0,0.0,,-0.22861702506864373,1.5805479398947324,1.5685558288426633,True,6,False,6,141.0,False,
6,634,16,False,False,1,10044.697816740087,3179.8701171875,-4641.60986328125,267.8299865722656,4125.899963378906,-1016.6000366210938,8680.499877929688,2049.1000366210938,1248.0999755859375,3708.5000610351562,1.0,-1.4649350001277683,-0.9682388769804049,-1.5694172636869161,bf81d8692db,games5425898691,19.0,3139.510009765625,-4681.4501953125,116.5,-1831.9999694824219,-1165.2999877929688,3245.5999755859375,-4226.199951171875,2298.5000610351562,-2665.4998779296875,255.0,128.0,,0.30379488786287384,-0.7957054000647622,0.5597166598540492,True,141.0,False,8,False,7,,76561198039309853,enpitsu,25.0,359.9100036621094,-5264.7998046875,17.059999465942383,-0.0,-0.0,1.2999999523162842,-0.7000000029802322,0.29999999329447746,0.0,255.0,128.0,,-0.016704053125978616,2.4432564082622226,2.4638974438175996e-05,True,6,6,False,189.0,False,,Shorty_oneTTV,76561198262556175,6,2230.550048828125,1102.489990234375,17.010000228881836,-12184.300537109375,-5181.6998291015625,2.0999999344348907,-0.9000000357627869,-0.09999999776482582,233.70000839233398,255.0,133.0,False,-0.009591631954465,-0.427031272303959,-0.00016704703782138968,True,12,12,False,138.0,False,,rYL*,76561198127502483,7.0,3568.14990234375,-1398.1700439453125,17.0,-4823.2000732421875,-12623.599853515625,3.3000001311302185,0.29999999329447746,-1.7000000178813934,38.19999933242798,255.0,128.0,,-0.00951194256502275,-1.2114848975110801,-9.91144184250939e-05,True,6,False,8,175.0,False,
7,760,21,False,False,1,9606.786691087722,3146.56005859375,-4199.4501953125,168.58999633789062,25918.40087890625,275.9000015258789,1163.0999755859375,122.5,680.0,-2598.900146484375,1.0,-0.14961768155411592,1.511993623793553,2.8828904562508133,bf81d8692db,games5425898691,19.0,3006.25,-4208.41015625,138.25,16897.39990234375,-1299.4999694824219,1745.2999877929688,445.8000183105469,-3289.5999145507812,2860.7998657226562,255.0,150.0,,0.4179301645958442,-3.084191553068024,0.0538703762579292,True,248.7352861768456,True,10,False,8,310.0,76561198039309853,enpitsu,25.0,346.3699951171875,-5276.02001953125,17.040000915527344,-981.5000152587891,-823.0999755859375,3.700000047683716,1.5000000596046448,-1.2999999523162842,0.0,255.0,128.0,,-0.016374042823956762,2.443636594463139,-1.8244892106590775e-05,True,6,6,False,189.0,False,,Shorty_oneTTV,76561198262556175,6,3156.080078125,-3826.639892578125,115.05999755859375,11531.8994140625,-15629.89990234375,3778.800048828125,-215.49999237060547,2200.2999877929688,2486.3999938964844,128.0,253.0,False,-0.007479944855553749,-2.1105021514546407,-0.017254225005337045,True,13,14,False,136.0,False,,rYL*,76561198127502483,7.0,2028.530029296875,-4025.830078125,17.010000228881836,2984.8001098632812,12126.700439453125,2.0999999344348907,1.1999999731779099,4.300000071525574,-1175.5000305175781,255.0,128.0,,-0.009565470310775925,1.8812707492597263,0.00013244175635281741,True,8,False,10,123.0,False,
8,837,23,False,False,1,6844.735160581846,3370.139892578125,-1241.9300537109375,319.1300048828125,-13468.699951171875,23870.50048828125,-4574.89990234375,-1870.5000305175781,-983.4999847412109,4439.800109863281,1.0,-1.0834161107621438,-0.5749836183836973,2.085209279654081,bf81d8692db,games5425898691,19.0,3507.139892578125,-1345.739990234375,272.510009765625,-5109.5001220703125,22424.49951171875,-179.40000534057617,-3667.9998779296875,-1766.3999938964844,-3697.9000854492188,255.0,255.0,,-0.13173145384023086,2.5683629618957924,-1.5054718232042774,True,133.27495052737567,True,12,False,9,,76561198039309853,enpitsu,25.0,1136.75,-2527.929931640625,17.040000915527344,-1059.1000366210938,14059.200439453125,3.799999952316284,-0.0,0.7999999821186066,23.80000114440918,255.0,128.0,,-0.016762547426966496,1.4925996111106812,-7.727003288471518e-05,True,6,6,False,205.0,False,,Shorty_oneTTV,76561198262556175,6,3572.4599609375,-3200.169921875,101.55000305175781,-4200.4998779296875,17260.2001953125,82.70000457763672,-4539.2999267578125,-3099.5999145507812,192.5,255.0,45.0,,-1.2195718911007571,2.007984962928176,-0.9792913043828084,True,15,16,False,101.0,False,,rYL*,76561198127502483,7.0,2289.239990234375,732.260009765625,17.010000228881836,-7343.699951171875,18252.7001953125,2.0000000298023224,0.09999999776482582,0.29999999329447746,356.6999816894531,255.0,128.0,,-0.009616311571585988,1.151553865701965,-0.00017721332692494833,True,10,False,12,114.0,False,
9,887,25,False,False,0,7600.257061669701,-1294.3599853515625,-2449.81005859375,122.33000183105469,-11979.300537109375,9740.399780273438,8804.500122070312,4861.700134277344,2474.2999267578125,2498.2000732421875,0.0,-0.4778665227104246,-2.2485229782546017,0.3870566087453509,76561198127502483,rYL*,7.0,-1207.9000244140625,-2552.639892578125,67.7699966430664,-2380.500030517578,2450.7000732421875,2515.2999877929688,1800.0999450683594,1783.699951171875,-1097.3999786376953,0.0,128.0,,-0.03785962423494471,-0.8483894292178856,-0.001342484484555722,True,145.0,False,14,False,11,,76561198262556175,Shorty_oneTTV,6.0,-3512.56005859375,-147.0399932861328,16.989999771118164,-3497.9000854492188,-22696.39892578125,4.399999976158142,0.0,-0.7999999821186066,154.0999984741211,255.0,137.0,,0.009592066464873625,-1.7100548022899447,-8.772572104309947e-05,True,16,16,False,253.0,False,,enpitsu,76561198039309853,25,-62.630001068115234,1623.300048828125,17.040000915527344,3722.0001220703125,11702.39990234375,3.799999952316284,0.09999999776482582,0.19999999552965164,610.6000137329102,255.0,128.0,,0.01672060925724503,1.3159201191513428,-0.0003117987672917043,True,6,6,False,205.0,False,,games5425898691,bf81d8692db,19.0,-2212.27001953125,-1955.68994140625,16.989999771118164,20634.89990234375,-7644.7998046875,2.0999999344348907,0.7000000029802322,-0.19999999552965164,44.60000038146973,255.0,128.0,,0.009600412824395018,-0.3492953191622654,-7.789343536007356e-05,True,10,False,12,57.61520009912472,True,
