,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,170,0,False,False,1,5141.382527553592,-16.15999984741211,80.18000030517578,97.4000015258789,-4414.700012207031,25053.9990234375,1611.0000610351562,-798.3000183105469,-189.0999984741211,-1541.6999816894531,1.0,-0.006987656726546805,0.05130367137561149,0.026443119007158518,76561198007234559,Darkcreed,5.0,3.9600000381469727,-134.2899932861328,75.13999938964844,-4599.200134277344,19153.800048828125,2958.900146484375,-488.69998931884766,2091.0000610351562,-5063.399963378906,255.0,0.0,,-0.059414842711188395,1.4060629979593073,0.020629815959968264,True,4,3,False,0.0,False,,76561198050018480,iSaniiro,4.0,-0.0,-5210.47021484375,17.049999237060547,-0.0,-8087.2998046875,2.5,4.300000071525574,-0.0,0.0,151.0,,,-0.016548464553942786,1.570804401648948,-6.626755001547835e-08,False,116.0,False,False,False,True,,enpitsu,76561198039309853,25.0,-0.0,4069.860107421875,17.049999237060547,-0.0,-9502.5,2.5,0.5000000074505806,-0.0,0.0,255.0,,,-0.016624701214700947,-1.5707738416867683,-2.4633792924850446e-07,True,False,False,False,107.0,False,,games5425898691,bf81d8692db,20.0,-94.48999786376953,277.0,86.04000091552734,2173.300018310547,-22677.19970703125,2568.699951171875,5491.6998291015625,-284.7999954223633,-94.79999542236328,128.0,128.0,,-0.644438840403748,-1.5061564239882657,-0.009403644506138675,True,0.0,False,3,False,4,
1,327,5,False,False,0,6665.06226422288,385.4200134277344,-1400.719970703125,143.11000061035156,-1798.6000061035156,16822.099609375,9709.400024414062,5397.0001220703125,1922.7999877929688,1781.7999267578125,0.0,0.43772206478220527,2.648581354423126,1.0464463850470114,76561198039309853,enpitsu,26.0,443.3399963378906,-1552.8599853515625,17.030000686645508,3605.7998657226562,21940.30029296875,5.199999809265137,-0.5999999865889549,-4.900000095367432,779.1000366210938,255.0,0.0,,0.01678326951628977,1.4507781590512894,-2.244093178770941e-05,True,False,False,False,208.0,False,,bf81d8692db,games5425898691,20.0,2653.780029296875,-2228.4599609375,17.010000228881836,-14647.39990234375,2113.9999389648438,2.3999999463558197,0.0,0.0,-2060.7000732421875,255.0,0.0,,0.009587002675840164,2.9319144743444694,1.6458418908103603e-05,6,206.0,False,6,False,True,,Darkcreed,76561198007234559,5.0,-3767.219970703125,-321.9800109863281,18.3700008392334,4395.7000732421875,9312.7001953125,51.39999866485596,4.300000071525574,113.69999885559082,1036.8000030517578,255.0,128.0,,0.0028606816717340073,1.178142940214121,-0.009631331908351843,True,4,4,6,,False,,iSaniiro,76561198050018480,4.0,19.81999969482422,5357.3798828125,17.940000534057617,276.5999984741211,-952.6000213623047,-19.199999570846558,-32.30000019073486,-18.99999976158142,707.7999877929688,255.0,255.0,,0.033487300471823814,-1.5441519161475064,0.0007895920453365477,True,116.0,False,False,False,False,
2,400,8,False,False,1,8053.054861136007,70.18000030517578,-2870.60009765625,386.7300109863281,13555.999755859375,3371.199951171875,-2334.499969482422,-417.7000045776367,1131.3999938964844,-5877.5,1.0,-0.12010395044242515,2.2181827868148676,-1.734920232461627,76561198050018480,iSaniiro,4.0,-16.110000610351562,-2927.27001953125,293.69000244140625,-6101.6998291015625,17904.89990234375,-145.79999923706055,3245.0,-3584.2001342773438,-2621.6000366210938,255.0,118.0,False,0.7357508767298528,1.5046042863007711,-1.5773277054765467,True,4,3,False,47.0,False,,76561198007234559,Darkcreed,5.0,2762.93994140625,-4097.66015625,18.639999389648438,-15949.599609375,-9943.599853515625,3.4999999403953552,-0.09999999776482582,-0.29999999329447746,-1949.2999267578125,255.0,0.0,,-0.0059468427044355315,-0.49064169552971165,-5.1611040048887496e-05,4,255.0,False,6,4,True,,enpitsu,76561198039309853,26.0,-68.93000030517578,-2641.5,214.19000244140625,9865.999755859375,-20747.2998046875,1099.1000366210938,4498.0999755859375,-166.20000839233398,-980.6999969482422,255.0,0.0,,-0.09414917483562076,-2.2415518650980024,0.03616858242129066,True,1,False,2,181.0,False,,games5425898691,bf81d8692db,20.0,240.30999755859375,-1617.77001953125,17.010000228881836,19363.00048828125,-1063.8999938964844,2.3000000417232513,-0.09999999776482582,0.09999999776482582,2007.8999328613281,255.0,255.0,,-0.009576348575974655,3.120039687716315,6.958734700345189e-07,True,129.0,False,6,False,6,
3,455,10,False,False,0,3085.436552272185,-2211.300048828125,2348.9599609375,129.1300048828125,18050.30029296875,12921.700439453125,7379.69970703125,865.1999664306641,-3803.9999389648438,-4558.500061035156,0.0,-0.7731536163542645,-1.7345156880589299,-0.5054544321294882,bf81d8692db,games5425898691,20.0,-2412.330078125,2157.39990234375,46.209999084472656,6097.0001220703125,17801.500244140625,3470.0,-2.3999999463558197,-5.400000214576721,-2369.499969482422,255.0,0.0,,0.009554502012698913,1.0619925891594661,-0.00015110410389101243,True,8,6,False,100.0,False,,76561198039309853,enpitsu,26.0,-2622.5,4666.02001953125,17.020000457763672,-17198.1005859375,-11631.500244140625,3.8999998569488525,2.5999999046325684,-2.0000000298023224,1144.8999786376953,255.0,128.0,,0.01659108372180934,-2.5372634352303107,0.0004531306402462291,2,108.98914415861962,True,2,False,True,,Darkcreed,76561198007234559,5.0,-2148.110107421875,2791.300048828125,89.43000030517578,-5509.6002197265625,-21713.00048828125,3296.0000610351562,3244.5001220703125,244.69999313354492,2346.1000061035156,255.0,255.0,False,0.1628653116297109,-1.863793134656815,0.001573220077165234,True,5,4,8,171.0,False,,iSaniiro,76561198050018480,4.0,1727.3599853515625,501.6700134277344,17.049999237060547,10169.000244140625,5164.1998291015625,7.099999785423279,5.199999809265137,6.000000238418579,2330.800018310547,255.0,255.0,False,0.016514730882110817,0.520542207811284,-0.00044230605437429793,False,0.0,False,4,False,4,
4,578,14,False,False,1,9779.82589457322,-3214.330078125,-3734.1298828125,97.33000183105469,-18198.800048828125,9475.999755859375,3802.9998779296875,-2450.399932861328,2613.5000610351562,-223.29999923706055,1.0,0.032034835370223905,1.1154129126043963,-0.2078164247610828,76561198050018480,iSaniiro,4.0,-3053.25,-3815.27001953125,17.030000686645508,-16639.300537109375,4373.500061035156,5.099999904632568,-0.7999999821186066,0.09999999776482582,-330.9000015258789,255.0,128.0,,-0.016783361467429578,0.28424150469074827,0.00010000876789001707,True,6,6,False,189.0,False,,76561198007234559,Darkcreed,5.0,-205.1999969482422,-4224.490234375,18.639999389648438,-13653.599853515625,-1221.6999816894531,3.4999999403953552,-0.5000000074505806,-0.0,-2212.899932861328,255.0,0.0,,-0.005951524556474458,-0.023797124362378307,-5.3271520689667386e-05,6,255.0,False,8,4,True,,enpitsu,76561198039309853,26.0,2281.860107421875,4571.509765625,17.030000686645508,-20476.099853515625,5006.400146484375,5.0,-1.0999999940395355,-0.0,177.29999542236328,255.0,128.0,,-0.016762359890926896,0.22153591337392226,-0.00014365106670104447,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,20.0,593.5399780273438,-1267.27001953125,92.72000122070312,-19532.900390625,4452.099914550781,-152.10000038146973,-1461.7999267578125,-5302.1002197265625,-15.800000429153442,255.0,128.0,,0.33702528886450567,-2.8715424159962883,-3.138494851864284,True,52.0,False,7,False,10,
5,655,17,False,False,1,7627.340390970792,-2379.75,-1748.0899658203125,313.6700134277344,6309.1998291015625,6544.000244140625,4476.7999267578125,-4052.60009765625,-2356.4999389648438,3744.7000122070312,1.0,-1.0928763655760994,-1.6725928682624054,2.9469874148497204,76561198050018480,iSaniiro,4.0,-2444.510009765625,-1775.3800048828125,220.60000610351562,7602.19970703125,2352.7999877929688,-146.09999656677246,2177.5,-5050.400085449219,31.30000114440918,255.0,128.0,,0.3891347060234313,-0.44158591728597324,3.1324839226524666,True,8,7,False,138.0,False,,76561198007234559,Darkcreed,5.0,-1929.4200439453125,-3303.110107421875,18.639999389648438,5455.7000732421875,-10401.700439453125,3.6000001430511475,0.09999999776482582,0.09999999776482582,2363.2000732421875,255.0,255.0,,-0.00593477462843603,-2.114689358548564,-8.361153306989946e-06,6,255.0,False,8,4,True,,enpitsu,76561198039309853,26.0,-532.3300170898438,5015.89990234375,17.049999237060547,647.5,-5324.69970703125,2.5999999046325684,-0.0,0.5000000074505806,-7.900000214576721,255.0,128.0,False,-0.01659774842119622,-1.6908592681899874,5.740845649437054e-05,True,2,False,2,255.0,False,,games5425898691,bf81d8692db,21.0,-3751.3798828125,1501.300048828125,15.989999771118164,11686.600341796875,15683.00048828125,168.79999160766602,-10.099999904632568,82.5,-1923.9999389648438,255.0,0.0,,-0.0010657724744189644,2.286018716214657,-0.016524924272633832,True,255.0,False,8,False,10,
6,701,19,False,False,1,6233.453866535939,-1362.6700439453125,-669.8499755859375,202.13999938964844,2282.4000549316406,14253.1005859375,9187.999877929688,4232.300109863281,3253.9999389648438,2738.2998657226562,1.0,0.20865586060724892,1.6833065009668822,1.4063030049524952,76561198050018480,iSaniiro,4.0,-1353.6600341796875,-809.4299926757812,49.060001373291016,-725.2999877929688,15478.699951171875,3521.099853515625,510.9000015258789,68.00000190734863,1175.199966430664,255.0,128.0,,-0.004005515742686607,1.3941492921438376,-0.001207785558586093,True,10,8,False,72.0,False,,76561198007234559,Darkcreed,5.0,-66.98999786376953,-3636.89990234375,18.639999389648438,11076.099853515625,-7418.900146484375,3.6000001430511475,1.0000000149011612,-0.7000000029802322,-2125.0999450683594,255.0,0.0,,-0.00596457527568715,-2.504947714858492,-0.00011944517152593124,6,255.0,False,8,4,True,,enpitsu,76561198039309853,26.0,-472.260009765625,3485.280029296875,17.049999237060547,3587.60009765625,-8357.19970703125,2.5999999046325684,-2.5999999046325684,5.5000001192092896,1111.9999694824219,255.0,128.0,False,-0.01669229088287283,-2.028592884862925,-0.00016115079792617155,True,2,False,2,224.0,False,,games5425898691,bf81d8692db,21.0,-1440.5899658203125,61.439998626708984,21.959999084472656,8530.399780273438,-21129.09912109375,2980.1998901367188,0.09999999776482582,-0.3999999910593033,-1713.3999633789062,255.0,0.0,,-0.009590653673588944,-1.9058140472086125,-0.00020438906669131504,True,181.0,False,8,False,11,
7,764,21,False,False,0,7831.448587088667,881.510009765625,-2487.06005859375,589.1599731445312,8975.900268554688,-15835.400390625,5042.9998779296875,5076.400146484375,-2842.0001220703125,-1466.9999694824219,0.0,-0.7846384545432596,-1.7065472768434577,2.209889789019192,76561198039309853,enpitsu,26.0,773.6099853515625,-2395.199951171875,417.8500061035156,5012.099914550781,-2931.7999267578125,4642.300109863281,2249.600067138672,-1068.3999633789062,4903.800048828125,128.0,0.0,False,-1.1137433274571655,-0.5879467505031254,1.5342479354552059,True,4,3,False,144.0,False,,bf81d8692db,games5425898691,20.0,-369.82000732421875,1324.2099609375,17.010000228881836,994.8999786376953,-11641.099853515625,2.5,0.0,0.0,2373.000030517578,255.0,255.0,,0.00954679207349266,-1.4227895639702306,1.1604501683431129e-05,10,181.0,False,12,False,True,,Darkcreed,76561198007234559,5.0,639.72998046875,3345.7900390625,18.639999389648438,3417.3001098632812,-9584.199829101562,3.6000001430511475,0.7000000029802322,-3.0000001192092896,1368.3000183105469,255.0,255.0,False,0.005990544389433921,-1.2434819030092394,0.00010771269213587077,True,6,4,8,255.0,False,,iSaniiro,76561198050018480,4.0,303.5400085449219,1238.010009765625,17.049999237060547,-5226.199951171875,8567.80029296875,3.3000001311302185,-0.7000000029802322,0.9000000357627869,-1935.2000427246094,255.0,0.0,,0.01667969346672919,2.117228337324307,-0.0002860588376665326,True,72.0,False,8,False,10,
8,876,25,False,False,1,4754.252620302144,-3457.699951171875,3229.969970703125,133.0800018310547,19320.899658203125,656.8000030517578,5008.800048828125,2523.000030517578,-1137.699966430664,-5323.499755859375,1.0,-0.8017859801376643,2.7921917169665074,-1.9822052283404412,76561198007234559,Darkcreed,5.0,-3606.27001953125,3193.5,88.0199966430664,7504.4000244140625,15359.599609375,3308.0999755859375,811.9999694824219,1155.199966430664,-90.60000419616699,128.0,0.0,,-0.002491956880507822,1.8549386388750102,0.02679639500704397,True,10,7,4,198.0,False,,76561198050018480,iSaniiro,4.0,-2235.699951171875,-83.30000305175781,17.049999237060547,-1386.0000610351562,6035.3997802734375,2.5,-0.09999999776482582,-0.3999999910593033,-2.199999988079071,255.0,128.0,,-0.016595364183156342,1.3453543655873212,4.351849581964935e-05,8,72.0,False,10,False,True,,enpitsu,76561198039309853,26.0,-3548.85009765625,4411.990234375,159.47999572753906,-98.69999885559082,123.00000190734863,-1941.9000244140625,-802.6999664306641,-550.0,3953.699951171875,255.0,255.0,False,-0.38952743088542235,-0.9106601424158302,-1.476186967637867,True,4,False,6,88.0,False,,games5425898691,bf81d8692db,21.0,-475.04998779296875,4888.58984375,17.010000228881836,2706.7999267578125,-989.3000030517578,2.0999999344348907,0.3999999910593033,1.899999976158142,0.0,128.0,128.0,,-0.00967916055064625,0.35044553422640456,-9.70436085983112e-06,True,181.0,False,12,False,14,
9,949,28,False,False,0,8439.399628810546,-1163.1600341796875,-3295.169921875,112.9800033569336,-16050.30029296875,13824.300537109375,4513.900146484375,3067.5,-2452.7000427246094,-4535.799865722656,0.0,0.8664299298980812,1.4680752378941104,-0.36671869789066425,bf81d8692db,games5425898691,21.0,-1045.449951171875,-3499.669921875,17.010000228881836,-20015.899658203125,9784.299926757812,-0.19999999552965164,0.09999999776482582,0.0,-147.5,255.0,128.0,,0.009602124920464854,2.6725082896101893,9.629142324551206e-05,True,14,12,False,55.25464085353318,True,,76561198039309853,enpitsu,26.0,-109.0999984741211,-4203.22998046875,101.02999877929688,-22880.400390625,34.40000057220459,-154.7000026702881,-83.10000419616699,-5499.2999267578125,-5.0,128.0,128.0,False,-0.8907546697926726,-0.0162992730086138,-3.1400708876565395,6,22.0,False,8,False,True,,Darkcreed,76561198007234559,5.0,1368.469970703125,-3716.5400390625,18.670000076293945,-14773.00048828125,13219.89990234375,-2.5999999046325684,1.7000000178813934,-1.2999999523162842,744.4000244140625,255.0,128.0,,0.005979374424911896,2.4702312688254286,-0.0001720193446453543,True,8,4,10,173.5597761984794,True,,iSaniiro,76561198050018480,4.0,671.0999755859375,-697.27001953125,17.049999237060547,-11745.0,6509.1998291015625,2.800000011920929,3.799999952316284,-1.899999976158142,1736.7999267578125,255.0,173.0,,0.016748999519244766,2.6965580818536563,-2.2928425393862874e-05,False,103.0,False,8,False,10,
