,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost_collect
0,169,0.0,False,False,1,5206.15305140917,5.679999828338623,10.539999961853027,94.30999755859375,8188.900146484375,22387.2998046875,1883.0999755859375,3848.5000610351562,-2638.699951171875,3771.7001342773438,1.0,-0.023577693319562262,-0.03254139398991628,-0.03320745788741707,76561198039309853,enpitsu,24.0,-17.219999313354492,-124.58999633789062,104.91000366210938,14117.80029296875,15597.39990234375,-25.59999942779541,-3899.8001098632812,2153.699951171875,3225.2999877929688,255.0,128.0,,-1.405617258181474,2.3260433160988065,-0.11420907412441182,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,96.18000030517578,-4245.60009765625,17.010000228881836,-2364.7999572753906,6457.2998046875,2.0999999344348907,0.3999999910593033,-2.0000000298023224,-840.1999664306641,255.0,54.0,,-0.009487013634143006,1.1975150580933984,-0.00011849686263213231,True,4,False,4,116.0,False,,RetroKarl,76561198008256716,8,97.48999786376953,242.27999877929688,44.4900016784668,-15353.599853515625,-15406.700439453125,3309.89990234375,-107.5,-406.50001525878906,-1582.7000427246094,255.0,120.0,,-0.004970633290766611,-0.708877174471807,0.05309311977205857,True,6,False,0.0,False,4,,mGclub,b51c74fbe8b,4.0,3200.030029296875,4045.280029296875,52.939998626708984,19833.00048828125,4369.700012207031,-2682.9000854492188,1256.6999816894531,1763.0000305175781,-3468.3999633789062,255.0,1.0,,0.1067310147760113,-2.7612314420768556,0.2554817184361199,True,4,255.0,False,4,False,
1,171,0.0,False,False,0,5261.596343571603,-25.040000915527344,-49.0099983215332,131.42999267578125,-4002.7999877929688,-9371.199951171875,4583.699951171875,-2901.199951171875,-281.5999984741211,5244.2999267578125,0.0,-0.008816571099060066,0.8762435011053321,-0.1967915898957436,76561198008256716,RetroKarl,8.0,32.369998931884766,-147.3699951171875,68.2699966430664,17582.80029296875,6155.8001708984375,2410.5999755859375,3336.099853515625,3057.3001098632812,-2301.300048828125,255.0,128.0,,-0.07619148910098869,0.41879951819578765,0.42326719800432233,True,0.0,False,6,False,5,,b51c74fbe8b,mGclub,4.0,-3200.030029296875,-4045.280029296875,52.939998626708984,-19833.00048828125,-4369.700012207031,-2682.9000854492188,-1256.6999816894531,-1763.0000305175781,-3468.3999633789062,255.0,1.0,,-0.1067310147760113,2.7612314420768556,0.2554817184361199,True,4,False,4,255.0,False,,enpitsu,76561198039309853,24,17.219999313354492,124.58999633789062,104.91000366210938,-14117.80029296875,-15597.39990234375,-25.59999942779541,3899.8001098632812,-2153.699951171875,3225.2999877929688,255.0,128.0,,1.405617258181474,-2.3260433160988065,-0.11420907412441182,True,2,False,0.0,False,1,,games5425898691,bf81d8692db,19.0,-76.62000274658203,4188.27978515625,17.010000228881836,2403.3999633789062,-7192.80029296875,2.0999999344348907,1.0000000149011612,-2.800000011920929,-398.49998474121094,255.0,128.0,,0.009505369949596705,-1.2621512784693334,-3.817252481535196e-06,True,4,116.0,False,4,False,
2,242,2.0,False,True,1,3069.8001100216075,916.75,2070.27001953125,113.94999694824219,-7162.19970703125,19587.60009765625,3360.7000732421875,2947.9998779296875,5152.60009765625,871.3999938964844,1.0,-1.0399879617256529,2.892291612230209,-0.02849188364608951,76561198039309853,enpitsu,25.0,996.9000244140625,1958.97998046875,86.26000213623047,-4589.89990234375,16671.700439453125,2156.3999938964844,-5200.10009765625,-1712.4000549316406,525.8000183105469,255.0,128.0,,-0.732035380274382,1.3634452094641023,-0.04043131618360628,True,0.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,341.1400146484375,414.989990234375,17.010000228881836,5272.2998046875,22387.2998046875,1.5000000596046448,-0.0,-0.0,-0.5000000074505806,255.0,128.0,,-0.00959579194216487,1.8021714476610557,2.1660541696066756e-05,True,4,False,4,0.0,False,,RetroKarl,76561198008256716,8,-3949.56005859375,1146.8800048828125,45.810001373291016,1831.199951171875,22906.8994140625,-957.5,70.59999942779541,-1244.3000030517578,-270.3000068664551,255.0,128.0,,-0.059081052879139506,1.6720583248525445,0.5080645056043246,True,6,False,204.80156549843412,True,6,,mGclub,b51c74fbe8b,4.0,1988.469970703125,4844.7099609375,17.020000457763672,-10118.300170898438,1345.5999755859375,1.0000000149011612,4.600000083446503,-0.29999999329447746,1725.8000183105469,128.0,138.0,False,-0.009659315877380864,0.07551911045274413,2.91978715014679e-05,True,4,255.0,False,4,False,
3,280,4.0,False,False,0,9847.641386591227,33.459999084472656,-4663.68017578125,134.47000122070312,13510.799560546875,16988.599853515625,7173.599853515625,5025.10009765625,-2505.2999877929688,2114.600067138672,0.0,0.892921605581847,0.8805151722131678,-2.835906510864306,b51c74fbe8b,mGclub,5.0,-82.87000274658203,-4854.2099609375,74.29000091552734,18779.200439453125,11024.49951171875,3132.39990234375,-5221.199951171875,-833.0999755859375,1514.6000671386719,255.0,254.0,True,0.06108234593650505,0.405879037901967,-0.2505701527135021,True,236.17752261059255,True,6,False,5,,76561198008256716,RetroKarl,8.0,3090.449951171875,-4033.3798828125,17.010000228881836,-3410.7998657226562,-22027.80029296875,2.0999999344348907,-0.09999999776482582,-0.5999999865889549,26.099998950958252,255.0,,,0.009604199026899582,-1.7210953928334365,-7.277702152776244e-05,True,6,False,6,255.0,False,,enpitsu,76561198039309853,24,-316.57000732421875,-4124.009765625,74.77999877929688,14418.199462890625,-13267.2998046875,3136.199951171875,810.1000213623047,2768.2998657226562,3146.0000610351562,255.0,255.0,,0.11455394714599038,-0.7161459754406171,-0.0016433769104271046,True,6,False,,False,5,,games5425898691,bf81d8692db,19.0,501.4700012207031,-2984.919921875,17.010000228881836,15881.8994140625,-13477.7001953125,2.3000000417232513,-1.1999999731779099,0.7000000029802322,1851.9999694824219,255.0,255.0,,0.009611776868438572,-0.6464835314791929,0.00014261917590750078,True,4,,False,4,False,
4,333,5.0,False,False,1,4977.684104729974,-2541.510009765625,1539.8800048828125,316.8999938964844,-6503.699951171875,897.3999786376953,3660.7000732421875,1181.2999725341797,-1076.500015258789,5783.2000732421875,1.0,-0.9521335802593299,1.5759592816326196,1.0938798681694246,bf81d8692db,games5425898691,19.0,-2574.429931640625,1444.77001953125,178.6999969482422,-3084.5001220703125,-5442.8997802734375,1871.1000061035156,-4175.0,-750.5999755859375,-3500.7000732421875,255.0,128.0,,0.9829560077954206,-2.1452833125406063,-0.3162676564049365,True,31.0,False,6,False,5,,76561198039309853,enpitsu,25.0,-807.0800170898438,5531.43994140625,544.3499755859375,1889.4000244140625,3977.9000854492188,-558.6000061035156,402.09999084472656,3024.8001098632812,254.0999984741211,255.0,0.0,False,-0.37652795602096656,2.3978143434365995,2.534600073575643,True,6,False,6,31.0,False,,RetroKarl,76561198008256716,8,-395.010009765625,4180.81005859375,16.989999771118164,13024.200439453125,-11456.700439453125,4.399999976158142,-0.09999999776482582,0.7000000029802322,-103.99999618530273,255.0,118.0,,-0.009546356617236771,-2.4208707681538373,-1.70754448484852e-05,True,6,False,255.0,False,6,,mGclub,b51c74fbe8b,5.0,-2923.47998046875,2228.510009765625,16.989999771118164,-2390.399932861328,-22875.400390625,2.199999988079071,-0.0,-0.29999999329447746,66.70000076293945,255.0,128.0,False,-0.009606149438011496,-1.4743502705585183,-5.8767478807924686e-05,True,6,92.47340186693339,True,6,False,
5,413,8.0,False,False,1,5885.126243169007,-3917.8798828125,1754.550048828125,233.9499969482422,-6926.199951171875,17683.199462890625,7646.500244140625,5749.1998291015625,1610.2000427246094,594.5999908447266,1.0,-1.4061176515482834,0.7427502823751962,-1.9333821002640212,bf81d8692db,games5425898691,19.0,-3857.050048828125,1636.9000244140625,139.88999938964844,-3702.5,18496.600341796875,1073.0000305175781,-4918.399963378906,-2315.8999633789062,833.4999847412109,255.0,177.0,,-0.31745374992663633,1.2869858690750786,-0.04041789023849481,True,0.0,True,8,False,7,,76561198039309853,enpitsu,25.0,155.8800048828125,4261.580078125,17.049999237060547,2972.5,-13410.10009765625,3.0000001192092896,-0.09999999776482582,0.5000000074505806,-1464.4000244140625,255.0,128.0,False,-0.016738357745444996,-1.7898665485529321,-0.0003314238846595534,True,6,False,6,61.0,False,,RetroKarl,76561198008256716,8,-923.219970703125,4645.02001953125,16.989999771118164,11077.2998046875,521.5999984741211,4.600000083446503,4.799999892711639,-0.0,-1441.6999816894531,255.0,128.0,False,-0.009548146804747732,-3.103832394499546,0.00015964359199311127,True,6,False,255.0,False,6,,mGclub,b51c74fbe8b,5.0,-2766.3701171875,-328.4100036621094,87.87999725341797,11016.600341796875,19551.99951171875,2710.4998779296875,-4646.000061035156,2938.599853515625,-170.40000915527344,255.0,1.0,False,-0.47186002031399515,1.7261920611904098,0.16316147035506942,True,7,30.0,False,8,False,
6,465,10.0,False,False,1,4240.108920176965,-3283.969970703125,4428.39990234375,202.8800048828125,8917.100219726562,14645.10009765625,10789.599609375,1291.9999694824219,-4495.400085449219,3757.9000854492188,1.0,-1.5011393834636975,2.1094186696671593,-1.744737888518271,bf81d8692db,games5425898691,19.0,-3334.47998046875,4381.990234375,62.09000015258789,14107.7001953125,12986.8994140625,2918.800048828125,-2068.699951171875,1408.800048828125,529.7999954223633,255.0,128.0,,-0.04277508155321621,2.318212541399168,0.02499725761973492,True,0.0,False,10,False,9,,76561198039309853,enpitsu,24.0,-370.0299987792969,2083.739990234375,17.049999237060547,-3406.6000366210938,2958.9999389648438,4.000000059604645,0.29999999329447746,-0.19999999552965164,-2218.2000732421875,255.0,0.0,False,-0.01664333511406406,0.8657458126707933,-6.610948293867612e-06,True,6,False,6,92.0,False,,RetroKarl,76561198008256716,8,222.5500030517578,5863.7001953125,60.79999923706055,3256.4999389648438,7152.2998046875,3592.0001220703125,4245.899963378906,882.6000213623047,-2385.800018310547,0.0,255.0,False,-0.3803391359769097,-0.957389054023174,-0.2777205126964689,True,6,False,255.0,False,6,,mGclub,b51c74fbe8b,5.0,-849.510009765625,3354.929931640625,17.010000228881836,14948.399658203125,15594.49951171875,2.3000000417232513,0.09999999776482582,0.3999999910593033,-1961.4999389648438,255.0,1.0,False,-0.009578530040287614,2.408623133445932,-3.9135856922665683e-05,True,8,91.0,False,8,False,
7,531,13.0,False,False,0,10133.617103231552,634.52001953125,-4877.3701171875,439.8599853515625,7175.4998779296875,27306.298828125,-4203.0999755859375,-844.4000244140625,1739.7999572753906,5679.69970703125,0.0,0.364496615813253,-1.9781334053847965,-3.0975641057884817,76561198008256716,RetroKarl,8.0,527.8099975585938,-5062.31982421875,408.1600036621094,9975.700073242188,12276.199951171875,3327.2000122070312,-4223.399963378906,3204.5001220703125,-951.5000152587891,255.0,93.0,False,-0.20320257437188824,1.0699776754196355,-0.17434134802531792,True,176.67657645799787,True,8,False,7,,b51c74fbe8b,mGclub,5.0,-460.0,-5134.10986328125,17.010000228881836,4120.299987792969,-803.6000061035156,2.5999999046325684,3.100000023841858,-0.7000000029802322,875.1999664306641,128.0,254.0,False,0.009629634703914407,-0.2481582475807249,9.83450251121363e-05,True,8,False,8,91.0,False,,enpitsu,76561198039309853,25,459.9700012207031,-4433.5498046875,309.29998779296875,5463.0999755859375,-13917.60009765625,1896.9999694824219,-1213.0000305175781,5095.299987792969,-1678.0999755859375,255.0,128.0,False,0.06914411962454604,-0.6735654633648567,-0.6884253190415084,True,8,False,23.0,False,7,,games5425898691,bf81d8692db,19.0,1729.4200439453125,-4533.91015625,17.010000228881836,4694.200134277344,10347.60009765625,2.0999999344348907,-1.0999999940395355,0.19999999552965164,-44.20000076293945,255.0,128.0,,0.009478377289706833,1.1392410048748387,5.471368793365984e-05,True,10,0.0,False,10,False,
8,653,17.0,False,False,1,9881.208696690184,-3040.6298828125,-3923.179931640625,97.29000091552734,-20936.99951171875,-13125.0,4404.89990234375,4058.900146484375,2962.3001098632812,-3278.599853515625,1.0,0.8873811568027332,-0.8649410278491788,2.443883589772095,bf81d8692db,games5425898691,19.0,-2879.300048828125,-3911.419921875,16.290000915527344,-15216.099853515625,-15704.300537109375,-464.3000030517578,1073.7999725341797,2357.2000122070312,1055.999984741211,255.0,128.0,,-0.0019763455482552073,-0.7619576003186911,-0.020531174814178956,True,45.36246027228653,True,12,False,12,,76561198039309853,enpitsu,25.0,-1813.050048828125,4475.919921875,17.030000686645508,-11090.699462890625,1411.0000610351562,5.099999904632568,-0.5000000074505806,-0.5999999865889549,0.0,255.0,255.0,False,-0.016662857776999274,0.12654911470354738,-4.488374861660833e-05,True,8,False,8,0.0,False,,RetroKarl,76561198008256716,8,-3632.18994140625,-3148.9599609375,16.989999771118164,3743.2000732421875,-22693.30078125,2.199999988079071,-0.5999999865889549,4.300000071525574,-670.8000183105469,255.0,26.0,,-0.009596269794771444,-1.7341930611485161,-5.62970224363104e-05,True,8,False,205.9975396740821,True,8,,mGclub,b51c74fbe8b,5.0,2481.699951171875,312.5899963378906,17.010000228881836,22894.49951171875,-1686.300048828125,1.899999976158142,-0.5999999865889549,0.09999999776482582,-1.5999999642372131,255.0,128.0,False,-0.009584207386588259,-3.067833520477878,5.126525593019634e-05,True,10,17.0,False,10,False,
9,747,21.0,False,False,1,7518.059079494009,-2177.050048828125,-1721.31005859375,614.3300170898438,25437.7001953125,13864.3994140625,9274.69970703125,4971.9000244140625,-2145.399932861328,2232.5,1.0,0.3838180309845837,-0.9399470962889781,0.7535310717032766,bf81d8692db,games5425898691,19.0,-2357.010009765625,-1784.9100341796875,437.7900085449219,20710.2001953125,6041.199951171875,5281.400146484375,-554.7000122070312,2877.5,313.1999969482422,255.0,128.0,,1.0476570168937285,3.136841304442711,0.2639829094251753,True,139.11790989034918,True,14,False,13,,76561198039309853,enpitsu,25.0,-1893.5400390625,-28.600000381469727,17.030000686645508,17423.599853515625,-14255.799560546875,5.099999904632568,0.19999999552965164,-0.0,31.700000762939453,255.0,128.0,False,-0.016769293084910982,-2.4592172989783694,-2.9113901848975294e-05,True,8,False,8,135.0,False,,RetroKarl,76561198008256716,8,-2775.510009765625,-1796.8699951171875,16.989999771118164,7427.7001953125,18552.60009765625,4.799999892711639,-0.19999999552965164,-0.5000000074505806,1978.9999389648438,255.0,255.0,False,-0.009583754396180432,1.878825987000657,6.406111240285914e-05,True,10,False,109.0,False,8,,mGclub,b51c74fbe8b,5.0,1127.1800537109375,1245.300048828125,17.010000228881836,-10610.699462890625,11653.599853515625,2.5,-0.0,0.09999999776482582,2736.0000610351562,255.0,254.0,False,-0.00960010094400991,0.6933373964465349,0.00010545203523423693,True,10,216.0,False,10,False,
