,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,169,0.0,False,False,0,5161.840545047861,-46.75,48.5,95.9800033569336,-20976.99951171875,22872.39990234375,1907.5,-1102.5,970.0,-201.29999160766602,0.0,0.02417878601348679,-0.005357342132287476,-0.027619064907211614,76561198186600047,DenniN,5.0,186.80999755859375,-205.9499969482422,90.55000305175781,-16626.800537109375,15632.60009765625,2858.2998657226562,-3361.300048828125,-4084.2999267578125,912.3999786376953,255.0,128.0,True,0.2006632282431473,2.5806473919509605,-0.023570175084077796,True,6,False,17.77894205175421,True,5,,76561198119273035,dk.kars,4.0,-32.41999816894531,-1481.449951171875,50.34000015258789,33.19999933242798,15542.7001953125,-2859.7000122070312,-1054.4999694824219,-495.60001373291016,533.8000106811523,128.0,128.0,,-0.02008105651091057,1.5630349655053537,0.4781028245465315,True,76.0,False,4,False,4,,enpitsu,76561198039309853,25.0,168.92999267578125,4062.7900390625,17.049999237060547,-4911.400146484375,4709.2999267578125,2.5999999046325684,0.5999999865889549,-1.4000000059604645,-1591.7999267578125,128.0,128.0,False,0.01689617671805334,-0.9065252342104526,-0.00041084350613246746,True,85.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-6.139999866485596,461.05999755859375,56.959999084472656,-3294.5999145507812,-21355.6005859375,2713.599853515625,2013.3000183105469,-3263.800048828125,-1563.2000732421875,128.0,39.0,,0.05883107229502797,-1.6707626839423728,0.09024143841329267,True,31.0,False,4,3,False,
1,342,6.0,False,False,1,8953.123868909452,2504.110107421875,-3667.52001953125,211.25999450683594,16477.2998046875,18500.999755859375,4037.9000854492188,4349.100036621094,-1944.2999267578125,3647.5,1.0,0.7695806058429999,-0.3380823126986803,-2.4775064526546853,76561198039309853,enpitsu,25.0,2360.409912109375,-3791.760009765625,121.45999908447266,18341.800537109375,10540.799560546875,3666.4999389648438,-2748.699951171875,4763.800048828125,3.8999998569488525,255.0,255.0,,-0.4229286912467991,2.6179212351180836,0.00014316766595503751,True,2,False,90.0,False,1,,bf81d8692db,games5425898691,20.0,-3619.35009765625,-1846.3299560546875,17.010000228881836,3037.0001220703125,-22797.7001953125,2.5,-0.0,-0.7000000029802322,1.5000000596046448,255.0,128.0,,-0.009600394606817343,-1.703452614960432,-6.574263455902792e-05,True,192.0,False,6,False,6,,DenniN,76561198186600047,5.0,3743.340087890625,-3177.300048828125,17.010000228881836,2546.199951171875,10892.19970703125,2.5999999046325684,-0.09999999776482582,-0.7999999821186066,-2.5,255.0,128.0,False,-0.009547102565218768,1.8009187382653404,7.169740138983947e-05,True,237.0,False,6,6,False,,dk.kars,76561198119273035,4.0,311.2300109863281,-1867.06005859375,17.059999465942383,8244.7998046875,1157.7999877929688,2.5,0.09999999776482582,0.09999999776482582,2476.999969482422,255.0,255.0,,-0.016657853732447332,2.9773083212611335,-1.977189758751248e-05,True,137.0,False,6,6,False,
2,407,8.0,False,False,0,5007.616591402126,-2756.77001953125,490.94000244140625,149.97000122070312,10955.899658203125,-8721.599731445312,1120.4000091552734,2091.300048828125,-875.6999969482422,-3501.4999389648438,0.0,0.02594951664070388,2.5271215460401546,-1.906400457062631,76561198186600047,DenniN,5.0,-2855.97998046875,508.2900085449219,16.989999771118164,10027.19970703125,-6478.900146484375,2.800000011920929,5.199999809265137,-3.6000001430511475,-1286.199951171875,255.0,128.0,False,0.009562748967445205,-0.615170525303776,-9.998328034478964e-05,False,6,False,201.43449455948283,True,6,,76561198119273035,dk.kars,4.0,-2492.860107421875,273.4700012207031,145.49000549316406,-15701.800537109375,3223.900146484375,2309.7999572753906,-2082.2000122070312,-545.4000091552734,-908.4999847412109,255.0,0.0,,0.016827277640987515,-2.8926641034827734,0.017302009333425846,True,137.0,False,8,False,7,,enpitsu,76561198039309853,25.0,-3065.7900390625,991.4199829101562,49.209999084472656,17572.60009765625,-12662.39990234375,3539.2001342773438,296.9000053405762,426.5999984741211,-1260.6999969482422,255.0,0.0,,0.029753056823131046,-0.6815361954046603,-0.0015694044661709997,True,0.0,False,4,3,False,,games5425898691,bf81d8692db,20.0,702.4299926757812,5068.06982421875,20.239999771118164,-10242.80029296875,1573.0000305175781,-549.1999816894531,-2110.2000427246094,467.40001678466797,4.900000095367432,0.0,128.0,,0.02578722462273544,3.023346387408154,-0.11913039031900166,True,255.0,False,6,6,False,
3,409,8.0,False,False,0,5029.967674224156,-2682.0,437.7900085449219,155.24000549316406,-2258.699951171875,17414.49951171875,-713.6000061035156,658.0000305175781,-694.1000366210938,-5923.2000732421875,0.0,-0.02672467180609163,2.1328026217151947,-2.074601514788152,76561198119273035,dk.kars,4.0,-2635.8798828125,300.92999267578125,163.85000610351562,-14358.599853515625,1068.6000061035156,1905.0,-5320.4998779296875,-1004.4999694824219,965.8000183105469,255.0,0.0,,0.028777187356933007,-2.9359417955200557,0.6439227584747909,True,8,False,137.0,False,7,,76561198186600047,DenniN,5.0,-2746.429931640625,430.2300109863281,16.799999237060547,10211.300048828125,-7649.0997314453125,35.899999141693115,70.9000015258789,-49.099998474121094,-108.80000114440918,255.0,128.0,False,0.009336710816318233,-0.6552693530787389,-0.005572255656064259,False,198.0,False,6,False,6,,enpitsu,76561198039309853,25.0,-3065.7900390625,991.4199829101562,49.209999084472656,17572.60009765625,-12662.39990234375,3539.2001342773438,296.9000053405762,426.5999984741211,-1260.6999969482422,255.0,0.0,,0.029753056823131046,-0.6815361954046603,-0.0015694044661709997,True,0.0,False,4,3,False,,games5425898691,bf81d8692db,20.0,629.7100219726562,5079.5498046875,16.860000610351562,-7851.5997314453125,1173.499984741211,-190.9000015258789,-625.9000015258789,160.6999969482422,23.499999046325684,128.0,128.0,,0.011642837477172926,3.0269277718766716,0.004103278330103256,True,255.0,False,6,6,False,
4,413,8.0,False,False,1,6005.168728649415,2689.919921875,-590.9600219726562,162.69000244140625,-11382.5,14260.30029296875,9683.400268554688,5470.8001708984375,1811.9999694824219,-1669.1999816894531,1.0,-0.11030694933602486,-1.4860460859392899,-2.2292516273849157,76561198039309853,enpitsu,25.0,2763.580078125,-705.5800170898438,104.01000213623047,-13012.5,14755.699462890625,1165.999984741211,-4262.200012207031,-2454.7999572753906,2461.199951171875,255.0,0.0,,-0.6642056051708899,0.823917317839477,0.2898780319551134,True,4,False,0.0,False,3,,bf81d8692db,games5425898691,20.0,-521.1099853515625,-5093.06005859375,16.950000762939453,7916.099853515625,-899.8000335693359,16.49999976158142,-45.19999980926514,6.899999976158142,6.499999761581421,255.0,128.0,,-0.009395978021960965,-3.029315601951479,0.002492448834801598,True,255.0,False,6,False,6,,DenniN,76561198186600047,5.0,2678.199951171875,-378.2799987792969,16.959999084472656,-10265.2001953125,7883.800048828125,14.600000381469727,-28.499999046325684,20.299999713897705,-34.40000057220459,255.0,128.0,False,-0.009488137821639753,0.6592170514735062,-0.0018488583739746669,False,198.0,False,6,6,False,,dk.kars,76561198119273035,4.0,2755.760009765625,-309.70001220703125,174.1300048828125,14412.60009765625,-1055.8000183105469,154.0999984741211,5315.999755859375,1394.6000671386719,-211.39999389648438,255.0,0.0,,-0.0337409603544844,2.91353453180839,1.2633302616173596,True,137.0,False,8,7,False,
5,492,11.0,True,True,1,2218.5412437871387,-459.3800048828125,3383.6201171875,199.1999969482422,-4803.500061035156,24835.6005859375,-2333.9999389648438,-1835.8999633789062,2837.5,229.59999084472656,1.0,1.347545863657753,-1.778742804920593,-1.8525759037813283,76561198039309853,enpitsu,25.0,-491.4800109863281,3206.43994140625,96.6500015258789,-7505.2001953125,19006.800537109375,-284.7999954223633,-4920.199890136719,-1393.2000732421875,-23.599998950958252,255.0,128.0,,1.3893790238344712,1.269497013280794,-0.025694125403847787,True,6,False,0.0,False,6,,bf81d8692db,games5425898691,20.0,-938.6599731445312,-669.780029296875,17.010000228881836,-11360.699462890625,19670.899658203125,2.5999999046325684,-0.0,0.09999999776482582,0.19999999552965164,255.0,128.0,,-0.009596180850978311,1.0469985767422036,-2.638404619591611e-05,True,166.0,False,6,False,6,,DenniN,76561198186600047,5.0,575.1300048828125,4082.580078125,17.020000457763672,-18927.60009765625,9026.300048828125,1.4000000059604645,1.2999999523162842,-0.7999999821186066,-265.49999237060547,128.0,34.0,False,-0.009626211463359688,0.43957201381549343,-8.857898136657715e-05,True,117.0,False,6,6,False,,dk.kars,76561198119273035,4.0,3101.81005859375,982.4199829101562,74.0999984741211,-6724.1998291015625,11640.400390625,-1499.4000244140625,-2126.0000610351562,363.1999969482422,-347.99999237060547,255.0,128.0,,0.26008204373154675,0.7358110803942004,-0.607732406747243,True,255.0,False,10,10,False,
6,766,12.0,False,False,0,5239.041764119199,21.030000686645508,-18.15999984741211,93.8499984741211,11929.69970703125,21839.49951171875,682.6000213623047,-2687.9000854492188,-2737.60009765625,408.6000061035156,0.0,-0.06536598269274957,0.07710157677732908,-0.09197716046002527,76561198119273035,dk.kars,4.0,-2.4800000190734863,-209.60000610351562,76.20999908447266,-3592.7999877929688,18880.6005859375,2993.9999389648438,-1378.9999389648438,3979.2001342773438,-2855.4000854492188,255.0,0.0,,0.017328323220889362,1.8711840164994828,0.0500297224401241,True,4,False,0.0,False,3,,76561198186600047,DenniN,5.0,-3089.110107421875,-4088.4599609375,16.860000610351562,-465.60001373291016,-2455.800018310547,38.499999046325684,-23.900001049041748,24.500000476837158,741.2000274658203,255.0,1.0,,0.008070554829792366,1.6197112467747297,-0.0014052397742956896,True,255.0,False,4,False,4,,enpitsu,76561198039309853,25.0,-95.01000213623047,251.3800048828125,91.52999877929688,9066.900024414062,-20971.10107421875,2625.10009765625,5280.9002685546875,469.3000030517578,-1170.999984741211,255.0,128.0,,0.2456229275012583,-0.9246286476312674,0.03408439791762512,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,20.0,3420.7099609375,2200.590087890625,17.010000228881836,4251.300048828125,14521.199951171875,2.7000001072883606,1.0000000149011612,3.799999952316284,1266.6999816894531,255.0,255.0,,0.009592918856756527,1.3013228332253366,5.466242273865908e-05,False,0.0,False,False,False,False,
7,767,12.0,False,False,1,5209.518765068566,-98.41000366210938,26.270000457763672,119.0,-25556.10107421875,6939.6002197265625,7670.0,3540.0,-398.80001068115234,4827.900085449219,1.0,0.05690755705455039,-0.1421729056350806,-0.2407426491130883,76561198039309853,enpitsu,25.0,30.059999465942383,-110.48999786376953,110.58999633789062,-5961.199951171875,8350.900268554688,1854.6000671386719,-5229.2999267578125,-693.7999725341797,1556.300048828125,255.0,128.0,,-0.7953081146011626,0.7383458786474297,0.5554373318872289,True,2,False,0.0,False,1,,bf81d8692db,games5425898691,20.0,-3420.7099609375,-2200.590087890625,17.010000228881836,-4251.300048828125,-14521.199951171875,2.7000001072883606,-1.0000000149011612,-3.799999952316284,1266.6999816894531,255.0,255.0,,-0.009592918856756527,-1.3013228332253366,5.466242273865908e-05,False,0.0,False,False,False,False,,DenniN,76561198186600047,5.0,3090.389892578125,4096.22021484375,17.010000228881836,-40.39999961853027,-85.0,6.800000071525574,7.200000286102295,-4.4999998807907104,-362.20001220703125,255.0,1.0,,-0.009058737621392055,-1.6306781486320214,-0.00046144831224777006,True,255.0,False,4,4,False,,dk.kars,76561198119273035,4.0,2.4800000190734863,209.60000610351562,76.20999908447266,3592.7999877929688,-18880.6005859375,2993.9999389648438,1378.9999389648438,-3979.2001342773438,-2855.4000854492188,255.0,0.0,,-0.017328323220889362,-1.8711840164994828,0.0500297224401241,True,0.0,False,4,3,False,
8,854,15.0,False,True,1,4338.652310288235,-1975.0400390625,1887.1500244140625,273.69000244140625,5235.7000732421875,11426.099853515625,11281.500244140625,4245.7000732421875,3967.0001220703125,1495.5000305175781,1.0,-0.19290953408395792,-2.1568302377917195,1.5659113696777207,76561198039309853,enpitsu,25.0,-1971.949951171875,1849.8499755859375,103.91000366210938,-2640.7998657226562,15595.10009765625,504.00001525878906,-3407.7999877929688,4285.400085449219,-520.4999923706055,128.0,0.0,,-0.07491585332271673,0.7728858585816909,1.1430561885173531,True,4,False,0.0,False,3,,bf81d8692db,games5425898691,20.0,-1146.27001953125,-4057.179931640625,17.020000457763672,7975.7000732421875,11580.899658203125,1.5000000596046448,-0.5000000074505806,-0.5000000074505806,1438.800048828125,255.0,212.0,,-0.009574600815161241,2.15481305889387,0.00018106609658362054,True,255.0,False,False,False,False,,DenniN,76561198186600047,5.0,340.8800048828125,5292.72021484375,17.010000228881836,-2974.5999145507812,242.99999237060547,2.7000001072883606,-0.0,-1.2999999523162842,269.20000076293945,255.0,127.0,False,-0.009393651222046292,-0.5023659085754001,-3.461929201002395e-05,True,218.0,False,4,4,False,,dk.kars,76561198119273035,4.0,1764.1500244140625,150.35000610351562,77.38999938964844,17420.30029296875,-1969.6000671386719,2812.9000854492188,1956.199951171875,5109.200134277344,-564.5999908447266,255.0,81.0,,-0.25559606392414275,-3.0969933001653094,0.05271284046579232,False,31.0,False,6,5,False,
9,958,19.0,False,False,0,9665.6377590923,199.4600067138672,-4463.35986328125,188.52000427246094,-2433.9999389648438,19990.10009765625,5184.7998046875,1587.5,-4006.6000366210938,1761.9999694824219,0.0,-0.9563881724667305,-0.6546788517578532,-2.1979116259579667,76561198186600047,DenniN,5.0,198.86000061035156,-4626.52001953125,151.38999938964844,138.90000343322754,14153.900146484375,3337.60009765625,359.59999084472656,-5428.3001708984375,808.6000061035156,255.0,253.0,True,-0.25877776386602835,1.403310096903607,-1.0314032415842531,False,6,False,145.9505376533796,True,5,,76561198119273035,dk.kars,4.0,-2863.0,-2806.679931640625,17.059999465942383,13094.3994140625,-5775.9002685546875,2.3000000417232513,1.1999999731779099,-0.5999999865889549,1484.7000122070312,185.0,255.0,,0.01678145823833825,-0.404544275249393,0.000220765537267235,True,255.0,False,6,False,6,,enpitsu,76561198039309853,25.0,3781.5400390625,-2266.14990234375,17.059999465942383,1350.5999755859375,14032.5,1.899999976158142,-0.19999999552965164,-0.5000000074505806,-0.09999999776482582,255.0,255.0,False,0.01675324355338609,1.474801806766752,5.0701053912731946e-05,True,248.83588824220882,True,4,4,False,,games5425898691,bf81d8692db,20.0,368.0,-1461.06005859375,17.020000457763672,288.0999946594238,-15335.2001953125,1.5000000596046448,0.0,2.5999999046325684,1656.9000244140625,255.0,188.0,,0.009598918144754168,-1.5053632702281572,0.00012331909823915,True,229.0,False,False,False,False,
