,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,172,0.0,False,True,0,5198.612801121769,0.15000000596046448,19.209999084472656,93.94999694824219,-1680.0999450683594,30034.29931640625,2997.39990234375,-5266.400146484375,174.69999313354492,-2198.000030517578,0.0,0.0010600091435724764,-0.018332562588451184,-0.043891135072676744,76561199010958644,FlasH_Ball,7.0,7.409999847412109,-254.0500030517578,47.75,893.0000305175781,22748.701171875,3270.7998657226562,-116.30000114440918,-1426.6999816894531,68.09999942779541,244.0,245.0,True,0.005310492250995025,1.527236730312128,-0.050571279248848626,True,False,6,0.0,True,4,,76561198240220912,EasyNayzl,7.0,24.190000534057617,-1978.6199951171875,17.010000228881836,-302.2999954223633,13216.8994140625,2.7000001072883606,0.0,-0.3999999910593033,-0.3999999910593033,244.0,128.0,,0.009567283989364963,1.5935937705557492,5.565086600885419e-05,False,False,85.0,False,False,True,,enpitsu,76561198039309853,26,19.329999923706055,651.1900024414062,92.48999786376953,-4337.5,-22463.00048828125,2360.800018310547,3551.400146484375,-1167.3999786376953,-1494.2999267578125,255.0,0.0,,0.264928695052884,-1.5661814629146755,-0.00018557051128177657,True,1,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,2887.68994140625,4161.490234375,17.010000228881836,7069.89990234375,15640.10009765625,2.800000011920929,-0.29999999329447746,0.0,1974.1000366210938,255.0,255.0,,0.009561026023781095,1.2163327915207245,2.3701824978821184e-05,True,255.0,False,False,False,False,
1,176,0.0,False,False,1,5420.599381503337,37.099998474121094,-212.1199951171875,183.14999389648438,24.200000762939453,7506.7999267578125,9844.299926757812,5999.5001220703125,33.80000114440918,-69.0999984741211,1.0,0.06873631628652593,0.44514787974173453,-0.9381272668205943,76561198039309853,enpitsu,26.0,48.119998931884766,-332.5799865722656,117.29000091552734,2639.7000122070312,2252.899932861328,154.399995803833,746.9999694824219,-1002.2000122070312,5355.999755859375,255.0,0.0,,-1.1656633812026735,0.6620476158493501,0.7359754181397355,True,False,2,31.0,False,1,,bf81d8692db,games5425898691,24.0,-2957.39990234375,-4432.6201171875,17.010000228881836,-1538.8999938964844,-16542.19970703125,2.800000011920929,-0.0,-0.0,2001.4999389648438,255.0,255.0,,-0.00958323853907554,-1.5477577779907232,4.052382471749823e-06,False,False,255.0,False,False,True,,EasyNayzl,76561198240220912,7,-19.100000381469727,1755.300048828125,17.010000228881836,308.99999618530273,-13555.799560546875,2.7000001072883606,-0.0,0.5000000074505806,0.0,244.0,128.0,,-0.009567283989364963,-1.5935937705557492,5.565086600885419e-05,True,False,False,False,85.0,False,,FlasH_Ball,76561199010958644,7.0,56.040000915527344,-70.9800033569336,89.5199966430664,6985.0,-5755.999755859375,2587.6998901367188,-4990.199890136719,1928.9999389648438,-1275.0,245.0,255.0,True,0.4788789157944702,-1.4927768695849046,-0.8635167094746293,True,0.0,False,6,False,5,
2,247,2.0,False,False,1,4150.347953315921,-550.8200073242188,1250.0,103.61000061035156,-1491.199951171875,2430.2999877929688,5020.799865722656,-2664.89990234375,-1635.0999450683594,1126.6999816894531,1.0,-0.04150235603312732,-0.7580462840303058,2.934181760480219,76561198039309853,enpitsu,26.0,-540.6300048828125,972.4299926757812,17.040000915527344,-7926.7999267578125,10675.2001953125,4.699999988079071,-2.7000001072883606,3.3000001311302185,-1201.8000030517578,255.0,128.0,,-0.01672077061020941,0.9402688249213103,-0.0002604722289647958,True,False,2,0.0,False,2,,bf81d8692db,games5425898691,24.0,161.67999267578125,-3380.820068359375,16.989999771118164,9272.39990234375,17748.599853515625,2.8999999165534973,-0.0,-0.19999999552965164,1809.7000122070312,255.0,242.0,,-0.009599483815672504,1.9900394912016255,2.4785295219731627e-05,False,False,192.48326009063314,True,False,True,,EasyNayzl,76561198240220912,7,-642.719970703125,1464.010009765625,97.80000305175781,-8163.4002685546875,10114.299926757812,-159.89999771118164,-20.399999618530273,-5469.000244140625,582.0000076293945,255.0,254.0,False,-0.4666855764721299,1.720892233322115,-2.070972831397953,True,3,False,4,85.0,False,,FlasH_Ball,76561199010958644,7.0,1809.010009765625,867.0999755859375,82.68000030517578,6497.0001220703125,13359.100341796875,-942.2000122070312,-3525.5999755859375,378.80001068115234,592.9999923706055,244.0,128.0,False,0.7684650225805444,2.3579333203783692,0.6218253838302947,False,0.0,False,8,False,8,
3,290,4.0,False,False,1,3898.0453856608037,-777.3599853515625,1619.4000244140625,93.62000274658203,-1438.0000305175781,2347.7000427246094,3030.8999633789062,-2572.9000854492188,-1575.8999633789062,1126.6999816894531,1.0,-0.022634394403373243,-0.309710296533381,1.9007961870860661,76561198039309853,enpitsu,26.0,-803.4099731445312,1389.0899658203125,17.040000915527344,-166.39999389648438,633.6999893188477,4.399999976158142,1.5000000596046448,0.3999999910593033,0.0,128.0,,,-0.016663942352719095,1.3138774794351007,-9.202846056725161e-06,True,False,2,,False,2,,bf81d8692db,games5425898691,25.0,-423.1700134277344,-51.380001068115234,16.989999771118164,-6012.60009765625,22191.8994140625,5.0,-0.09999999776482582,0.19999999552965164,0.0,255.0,,,-0.009593274242490648,1.3062089980647507,-2.4153364242135437e-05,False,False,149.0,False,False,True,,EasyNayzl,76561198240220912,7,-1346.7900390625,2493.85009765625,17.020000457763672,2225.2999877929688,-2654.8001098632812,1.2999999523162842,0.7999999821186066,-1.0999999940395355,-312.99999237060547,250.0,143.0,,-0.00948227797486989,-2.254731683352427,0.00018449226199516305,True,4,False,4,85.0,False,,FlasH_Ball,76561199010958644,7.0,2859.360107421875,3326.530029296875,16.989999771118164,7074.2999267578125,17160.2001953125,5.0,0.09999999776482582,0.5999999865889549,0.0,245.0,,,-0.009586614905867251,1.9618153073403921,-5.5235942225484554e-05,True,,False,8,False,8,
4,309,4.0,False,False,1,3760.1594791402417,-875.4500122070312,1823.260009765625,171.58999633789062,-950.0,23910.400390625,10239.69970703125,5842.60009765625,927.5,-218.60000610351562,1.0,0.19385970007328487,-1.0386761688228565,-2.557127577628475,76561198039309853,enpitsu,26.0,-871.6599731445312,1582.280029296875,32.439998626708984,-6682.1002197265625,21158.40087890625,5940.999755859375,383.6000061035156,-284.89999771118164,-3039.2999267578125,255.0,0.0,,0.0024240283109006186,1.4150729816663095,-0.024058161041621378,True,False,4,,False,3,,bf81d8692db,games5425898691,25.0,-836.0700073242188,1393.6199951171875,17.8700008392334,-6730.8001708984375,13538.900146484375,237.5,628.8999938964844,342.59998321533203,4173.2000732421875,255.0,255.0,,0.028559925146790913,0.9850738712697059,-0.00010884550025249392,False,False,149.0,False,False,True,,EasyNayzl,76561198240220912,7,-957.5999755859375,2317.909912109375,109.69999694824219,7314.000244140625,-2649.7000122070312,4019.89990234375,-67.30000019073486,-99.60000038146973,-3538.2998657226562,250.0,0.0,,0.00776210302686825,-2.301027122026325,-0.0014887295711617458,True,4,False,6,85.0,False,,FlasH_Ball,76561199010958644,7.0,2803.219970703125,4477.9501953125,16.989999771118164,-13127.19970703125,13288.1005859375,2.7000001072883606,2.800000011920929,-2.3999999463558197,1372.8999328613281,255.0,128.0,False,-0.009606193408949656,0.710562318015959,-0.00011738888404187435,True,226.81145798775452,True,8,False,8,
5,313,5.0,False,False,0,7488.60678814352,896.3499755859375,-2130.949951171875,319.44000244140625,6682.60009765625,68.80000114440918,17968.199462890625,4972.799987792969,-1403.2000732421875,-3049.8001098632812,0.0,0.22160894532800604,0.8878645357780522,-2.9838340423027794,76561198240220912,EasyNayzl,7.0,873.0499877929688,-2244.64990234375,174.27000427246094,-1737.4000549316406,4903.699951171875,2774.2999267578125,-1053.1999969482422,5381.199951171875,-428.10001373291016,255.0,0.0,,0.01648543628453106,1.7183208902762939,0.6459718936244184,True,False,6,85.0,False,5,,76561199010958644,FlasH_Ball,7.0,-2540.9599609375,-4695.3798828125,16.989999771118164,16310.799560546875,-12020.799560546875,2.800000011920929,4.000000059604645,-2.800000011920929,653.8999938964844,255.0,214.0,False,0.009602232204643945,-0.626036804147899,-6.287125183830686e-05,8,8,214.21465786554472,True,False,True,,enpitsu,76561198039309853,26,970.0800170898438,-1929.239990234375,123.9000015258789,-175.40000915527344,-21014.599609375,4808.800048828125,2968.9999389648438,-4112.60009765625,-2126.199951171875,255.0,0.0,,0.4241819315411127,-1.9351479561763996,0.36314980348128173,True,3,False,4,,False,,games5425898691,bf81d8692db,25.0,1000.4099731445312,-1586.530029296875,17.030000686645508,10752.80029296875,-9444.099731445312,-80.79999923706055,105.0,164.59999084472656,-611.5999984741211,255.0,0.0,,0.00863688061713051,-0.6550629528698104,0.001355837959645895,True,149.0,False,False,False,False,
6,388,7.0,False,False,0,7801.838959284946,2433.659912109375,-1915.6400146484375,331.5199890136719,19556.800537109375,10536.700439453125,8252.5,3386.7001342773438,-4788.2000732421875,-1265.6999969482422,0.0,0.038350459612011036,3.084411962911623,-0.3946917374955872,76561199010958644,FlasH_Ball,7.0,2379.969970703125,-1946.199951171875,171.2899932861328,16181.199951171875,14085.899658203125,7.300000190734863,3532.5,4081.099853515625,1055.999984741211,128.0,108.0,True,-0.7067777202085225,1.0983342083594945,0.16444131281905836,True,False,10,201.0,False,8,,76561198240220912,EasyNayzl,7.0,-1170.3199462890625,-1061.6199951171875,90.9000015258789,-18852.900390625,8514.600219726562,-167.00000762939453,-2190.800018310547,-5044.700012207031,-29.30000066757202,254.0,128.0,,0.7585960654717939,-0.404634528575121,-3.134178864520392,8,7,22.0,False,False,False,,enpitsu,76561198039309853,26,870.5800170898438,-5147.330078125,229.8800048828125,-793.0000305175781,1033.1999969482422,-978.6000061035156,-247.19999313354492,-1122.300033569336,-2690.4998779296875,255.0,128.0,False,-0.09888906137207366,0.842108028752447,-1.664808926197831,False,4,False,4,,False,,games5425898691,bf81d8692db,25.0,2590.320068359375,-1128.0799560546875,17.010000228881836,389.7999954223633,11006.099853515625,0.09999999776482582,-0.09999999776482582,-1.5999999642372131,-98.4000015258789,255.0,128.0,,0.00953514983209673,1.5234321685026357,0.0001404615710591059,True,160.20007720044862,True,False,False,False,
7,452,10.0,False,False,0,6009.977894291052,2314.89990234375,59.650001525878906,171.47999572753906,-26123.9990234375,-1174.8999786376953,6006.6998291015625,-1968.0000305175781,103.10000419616699,-5667.1002197265625,0.0,-1.3004330984822763,-2.147471432619904,2.9227412689901437,76561199010958644,FlasH_Ball,7.0,2458.389892578125,109.68000030517578,52.15999984741211,-16611.300048828125,-7189.89990234375,3604.89990234375,52.89999961853027,-66.19999885559082,-661.9999694824219,255.0,0.0,False,0.01144980790763203,-2.712745904811419,-0.0016420101597305566,True,False,12,158.0,False,8,,76561198240220912,EasyNayzl,7.0,-2711.5400390625,788.239990234375,17.010000228881836,14040.10009765625,-8298.800048828125,0.3999999910593033,2.3999999463558197,-1.2999999523162842,-1705.3999328613281,255.0,101.0,False,0.009585636898881483,-0.6052831095498371,1.9389033454176936e-05,8,8,214.2886278706212,True,False,True,,enpitsu,76561198039309853,26,1062.97998046875,-5102.93994140625,291.3599853515625,4911.300048828125,2.0000000298023224,2577.7999877929688,-0.29999999329447746,2183.9999389648438,0.0,255.0,128.0,False,-0.567694103754919,-0.019761297546991234,-1.5601322758739105,True,4,False,4,,False,,games5425898691,bf81d8692db,25.0,2132.7900390625,257.6199951171875,62.619998931884766,-660.5999755859375,-11601.500244140625,3144.8001098632812,3931.4999389648438,1501.199951171875,3091.0000610351562,255.0,200.0,,0.0723069115507887,-1.7286686823133908,-0.02555711180917333,True,161.0,False,4,False,3,
8,455,10.0,False,False,1,5955.946457892455,-2056.56005859375,-32.59000015258789,237.75999450683594,26473.9990234375,14608.800048828125,14175.699462890625,2363.3999633789062,2752.9000854492188,-4778.599853515625,1.0,1.2778133921429702,-2.691704533430657,-2.520132970876776,bf81d8692db,games5425898691,25.0,-2127.280029296875,-160.6999969482422,86.29000091552734,666.2999725341797,11653.399658203125,2587.2000122070312,-4713.599853515625,-2782.0001220703125,540.2000045776367,255.0,209.0,,-0.5548679347029116,1.7133202850836051,-0.37511284600152833,True,False,4,161.0,False,3,,76561198039309853,enpitsu,26.0,-1150.030029296875,5102.93994140625,319.6499938964844,-6568.800048828125,-2.0999999344348907,1120.8999633789062,-0.0,-2323.3999633789062,0.0,255.0,128.0,False,0.2287156694750592,0.017105405116432333,-1.5668945083040542,4,4,,False,False,True,,EasyNayzl,76561198240220912,7,2596.56005859375,-710.6199951171875,17.010000228881836,-13519.000244140625,9957.100219726562,1.8000000715255737,0.09999999776482582,-0.0,-429.59999084472656,255.0,128.0,False,-0.009592906860573408,0.6770927238399675,0.000231298861689479,True,8,False,8,213.0,False,,FlasH_Ball,76561199010958644,7.0,-2345.6201171875,-76.97000122070312,67.19999694824219,20138.900146484375,110.50000190734863,1904.4000244140625,2043.699951171875,4689.4000244140625,-2020.2999877929688,255.0,0.0,False,-0.29932480579892085,2.8354599554369107,0.15799505025363936,True,158.0,False,12,False,9,
9,619,16.0,False,False,0,9526.734593333478,-1612.800048828125,-4359.72998046875,674.780029296875,-9109.69970703125,13949.69970703125,1653.3000183105469,-526.6999816894531,525.2999877929688,-5953.699951171875,0.0,0.706817658225298,-1.1479691390778914,-1.5332749638129073,76561198240220912,EasyNayzl,7.0,-1452.1099853515625,-4481.830078125,573.1099853515625,-8496.900024414062,2282.5,2070.2000427246094,-305.10000228881836,-528.6999893188477,1195.999984741211,128.0,128.0,,-0.16927316847455273,2.276750327887915,1.3298084746185468,True,False,12,117.0,False,10,,76561199010958644,FlasH_Ball,7.0,-139.36000061035156,-5124.2900390625,17.010000228881836,-7056.5997314453125,2214.199981689453,2.5999999046325684,0.0,-0.09999999776482582,0.0,242.0,128.0,False,0.009503819212950735,2.837505407668374,1.1909040797815691e-05,14,12,123.0,False,False,True,,enpitsu,76561198039309853,26,39.0,-2943.300048828125,17.049999237060547,-4304.89990234375,-357.00000762939453,3.1999999284744263,0.7999999821186066,-0.09999999776482582,-138.00000190734863,255.0,128.0,,0.01684252562736572,-3.072991282830545,0.00014069927478937912,True,4,False,4,255.0,False,,games5425898691,bf81d8692db,25.0,-1840.0,-4261.81005859375,535.9400024414062,12044.100341796875,1530.2000427246094,1421.4999389648438,-2055.5999755859375,1430.2000427246094,-4896.700134277344,255.0,242.0,,-0.4345649063281057,-0.12103812867539956,-1.3023395662329147,True,52.58392280917013,True,6,False,5,
