,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,182,0,False,True,1,5136.189224215502,4.739999771118164,81.7300033569336,120.20999908447266,632.7999877929688,25142.900390625,7737.8997802734375,5905.7000732421875,-1053.6000061035156,108.10000419616699,1.0,-0.03551736455148828,-0.00010396476167287067,-0.19834955962355433,7908226093659348458,KjellisKing,8.0,2.869999885559082,-183.6999969482422,17.010000228881836,2249.199981689453,20661.8994140625,-0.09999999776482582,-0.0,0.5999999865889549,-1217.300033569336,255.0,83.0,,-0.009589076129534043,1.718218951652854,-5.783992315053976e-05,True,False,False,False,10.51241285057478,True,,be4a6dacb2b,BakkerBox,4.0,-3081.85009765625,-4492.8701171875,17.010000228881836,2223.300018310547,-16950.799560546875,0.09999999776482582,0.09999999776482582,0.19999999552965164,1995.0999450683594,255.0,255.0,,-0.009575994509402006,-1.7700649510298159,6.50337023672494e-06,True,False,245.51173335762434,True,False,False,,enpitsu,76561198039309853,27,3209.699951171875,3960.31005859375,17.049999237060547,10100.399780273438,-4158.699951171875,3.8999998569488525,-0.0,-0.29999999329447746,-3620.1998901367188,255.0,0.0,False,-0.016719258518353014,-1.9884647139868288,-2.875879636711814e-05,True,False,False,False,255.0,False,,games5425898691,bf81d8692db,19.0,-3460.919921875,3992.719970703125,17.010000228881836,-11405.999755859375,-10063.300170898438,2.3000000417232513,0.3999999910593033,0.19999999552965164,2048.2000732421875,255.0,255.0,,-0.00957244866016931,-0.7909363746730604,5.0055061783902214e-05,True,False,False,False,255.0,False,
1,503,2,False,False,1,5203.6798549797595,-9.390000343322754,15.6899995803833,150.33999633789062,-3785.10009765625,5460.4998779296875,4399.2999267578125,3349.4000244140625,-856.5000152587891,2461.9000244140625,1.0,-0.08159539338321602,0.1919349966095038,-0.2184856543034114,be4a6dacb2b,BakkerBox,4.0,19.780000686645508,-104.88999938964844,93.41999816894531,2286.4999389648438,860.5999755859375,-21.80000066757202,-68.29999923706055,-923.8999938964844,5421.400146484375,128.0,168.0,,-1.3649991493568099,2.1372924346410107,-0.7247732943386935,True,3,4,False,13.0,False,,7908226093659348458,KjellisKing,11.0,6.739999771118164,-2071.1298828125,17.010000228881836,66.30000114440918,11939.100341796875,2.0999999344348907,-0.7000000029802322,-0.0,0.0,128.0,,False,-0.009590232859283563,1.5763655259330533,3.812587382944571e-06,True,False,116.0,False,4,4,,enpitsu,76561198039309853,27,22.43000030517578,132.14999389648438,109.55000305175781,1105.999984741211,-1521.300048828125,1329.4000244140625,-2349.199981689453,586.5999984741211,-2107.7000427246094,255.0,128.0,,-1.5386769797661421,-1.440725478053916,-0.06357716517979906,True,2,1,False,31.0,False,,games5425898691,bf81d8692db,19.0,-2945.530029296875,4101.330078125,17.010000228881836,-18536.300048828125,2163.2000732421875,2.3000000417232513,0.19999999552965164,-0.0,1947.5999450683594,128.0,255.0,,-0.009632998549130628,0.04410652056862619,4.1144929712603905e-05,True,False,False,False,255.0,False,
2,504,2,False,False,0,5240.163759359495,30.040000915527344,-17.690000534057617,160.25,5292.19970703125,2671.199951171875,1594.7000122070312,1169.5999908447266,-1024.8999786376953,-2152.4000549316406,0.0,0.05966722312503788,-0.21931131550212854,-0.2124143205811653,76561198039309853,enpitsu,27.0,-28.489999771118164,-137.8800048828125,113.7699966430664,-751.8000030517578,-966.9000244140625,607.2000122070312,-4150.7000732421875,1864.4999694824219,-3089.5001220703125,255.0,128.0,,1.4866046592703832,-2.1394329674105044,3.0020508813232554,True,1,2,False,31.0,False,,bf81d8692db,games5425898691,19.0,3067.550048828125,-4106.669921875,17.010000228881836,18076.99951171875,242.90000915527344,2.3000000417232513,-0.29999999329447746,0.0,1947.5999450683594,128.0,255.0,,0.009637315567495421,0.08579966337968135,3.0308517933887888e-05,True,False,255.0,False,False,False,,BakkerBox,be4a6dacb2b,4,-19.780000686645508,104.88999938964844,93.41999816894531,-2286.4999389648438,-860.5999755859375,-21.80000066757202,68.29999923706055,923.8999938964844,5421.400146484375,128.0,168.0,,1.3649991493568099,-2.1372924346410107,-0.7247732943386935,True,4,3,False,13.0,False,,KjellisKing,7908226093659348458,11.0,-7.150000095367432,1992.8499755859375,17.010000228881836,-64.29999828338623,-11588.699951171875,2.0999999344348907,0.7000000029802322,0.0,0.0,128.0,,False,0.009590232859283563,-1.5763655259330533,3.812587382944571e-06,True,4,False,4,116.0,False,
3,548,3,False,False,1,5658.866107710978,-723.25,-282.25,116.93000030517578,-3413.0999755859375,14419.89990234375,5355.8001708984375,4233.500061035156,-1395.7000732421875,-4016.099853515625,1.0,0.5279392158703777,-0.15731271289959162,2.5263920823517347,7908226093659348458,KjellisKing,6.0,-679.77001953125,-498.010009765625,17.010000228881836,-8829.500122070312,10529.300537109375,2.0999999344348907,2.5999999046325684,-2.7000001072883606,-709.1999816894531,238.0,69.0,False,-0.009584035867197204,0.8539858522826186,-0.00018209515389719952,True,4,4,False,103.0,False,,be4a6dacb2b,BakkerBox,4.0,-130.4199981689453,-59.59000015258789,17.010000228881836,-8254.299926757812,-1830.0999450683594,2.0999999344348907,-0.5999999865889549,-0.09999999776482582,17.899999618530273,255.0,128.0,,-0.009511863783938137,-0.2211274229524747,-6.761488989619493e-05,True,False,0.0,False,4,4,,enpitsu,76561198039309853,27,-167.82000732421875,168.66000366210938,17.049999237060547,-7228.0999755859375,1663.6000061035156,3.100000023841858,-0.0,-0.0,-2432.7000427246094,255.0,0.0,,-0.016658997975098244,0.2333940038359974,-2.9111656584983848e-06,True,2,2,False,31.0,False,,games5425898691,bf81d8692db,19.0,-2819.919921875,2121.949951171875,17.010000228881836,21248.798828125,-4610.0,2.0000000298023224,2.5,-0.29999999329447746,591.8999862670898,255.0,192.0,,-0.009587873152875232,-2.942955837685433,-2.8313540047250478e-05,True,False,False,False,211.0,False,
4,629,6,False,True,1,3063.003712135741,-1598.8900146484375,3363.06005859375,135.9199981689453,9166.500244140625,15220.899658203125,5240.2001953125,-825.5000305175781,-5942.7001953125,-51.30000114440918,1.0,-0.08626425955927733,1.4254764938062643,-0.5262707436759843,7908226093659348458,KjellisKing,6.0,-1747.699951171875,3233.909912109375,17.010000228881836,9249.199829101562,12345.699462890625,2.0999999344348907,-0.0,-0.0,4.399999976158142,245.0,151.0,,-0.009591874312718246,2.2319360908940826,0.00014461372797642508,True,4,4,False,57.0,False,,be4a6dacb2b,BakkerBox,4.0,-1868.530029296875,-3390.010009765625,17.010000228881836,-12560.2001953125,-6407.39990234375,2.0999999344348907,0.3999999910593033,0.5999999865889549,0.0,255.0,128.0,,-0.009624443863736783,-0.4717035981152066,5.478237022968726e-05,,False,,False,6,6,,enpitsu,76561198039309853,27,-1585.8399658203125,3978.909912109375,46.33000183105469,1685.5000305175781,313.50000381469727,3486.099853515625,7.300000190734863,15.399999618530273,-1359.7000122070312,255.0,128.0,False,-0.017469291649853915,-2.6087007095925445,0.0005502027487304708,True,6,4,False,,False,,games5425898691,bf81d8692db,19.0,-914.6300048828125,4683.68994140625,17.010000228881836,3338.599853515625,2121.4999389648438,2.0999999344348907,-0.7999999821186066,-0.29999999329447746,161.10000610351562,255.0,128.0,,-0.009477387745625687,2.5746630163339788,-3.182167843729066e-05,True,False,False,False,242.0,False,
5,654,7,False,False,0,10004.836614176034,807.1799926757812,-4718.7998046875,360.989990234375,7318.800048828125,-5315.999755859375,8605.0,4511.9000244140625,-3867.3001098632812,-827.9000091552734,0.0,-0.055327164517010065,-1.4997610948352882,0.49813169428195314,bf81d8692db,games5425898691,19.0,712.4199829101562,-4748.9599609375,187.0399932861328,4526.099853515625,-1856.7999267578125,1878.2000732421875,-305.40000915527344,4563.500061035156,-837.5,255.0,114.0,,-1.0660827730171731,2.7240618357177655,0.41780645411246614,True,3,4,False,242.0,False,,76561198039309853,enpitsu,27.0,1173.8800048828125,-3762.409912109375,166.5500030517578,-5324.69970703125,3101.300048828125,-422.5,-3546.7999267578125,-3337.5,124.70000267028809,128.0,128.0,False,-1.3019625038039402,2.232386521108611,0.051340084829866725,True,False,,False,6,6,,BakkerBox,be4a6dacb2b,4,2972.10009765625,4036.139892578125,17.010000228881836,8808.200073242188,9945.499877929688,2.7000001072883606,-0.3999999910593033,-0.5999999865889549,3169.8001098632812,255.0,255.0,False,0.009562411412014145,1.1782984113625419,0.00012916941012489303,True,6,6,False,255.0,False,300.0,KjellisKing,7908226093659348458,6.0,894.5399780273438,-4182.75,16.989999771118164,-8539.299926757812,-1270.999984741211,4.900000095367432,-0.09999999776482582,0.0,-2235.0999450683594,128.0,31.0,,0.009645741020184307,-3.031022344244483,-2.270639304578171e-05,True,4,False,4,36.0,False,
6,726,10,False,False,0,10064.3378103258,2288.5400390625,-4407.22998046875,330.6700134277344,9862.2998046875,17267.2998046875,496.19998931884766,1027.300033569336,-4778.399963378906,-525.6000137329102,0.0,0.1672725091765046,0.3706472796668114,-2.3689538173227453,bf81d8692db,games5425898691,19.0,2224.530029296875,-4562.31005859375,221.1999969482422,9856.099853515625,10349.100341796875,553.4999847412109,-3138.599853515625,-1451.3999938964844,-4276.9000244140625,255.0,224.0,,-0.10316323129484599,0.8505375905450792,-1.2716022487711667,True,5,6,False,157.84053315654876,True,,76561198039309853,enpitsu,27.0,163.00999450683594,-4964.14013671875,17.059999465942383,10419.200439453125,-6164.0997314453125,2.0000000298023224,0.0,0.0,2370.2000427246094,255.0,255.0,False,0.016726622501706916,-0.4731351990217689,-2.0253297957955998e-05,True,False,31.0,False,6,6,,BakkerBox,be4a6dacb2b,4,2470.179931640625,2304.4599609375,17.010000228881836,3513.3999633789062,-13655.699462890625,2.0000000298023224,0.09999999776482582,-0.7999999821186066,0.09999999776482582,255.0,128.0,False,0.009591010015230524,-1.318929374113024,-7.002958468683377e-05,True,6,6,False,204.0,False,,KjellisKing,7908226093659348458,6.0,2010.56005859375,-2202.2099609375,82.63999938964844,10610.50048828125,16545.0,2173.000030517578,-3289.7000122070312,4381.7999267578125,476.6999816894531,255.0,84.0,True,0.4598234850406802,1.2299128010755205,0.3700798056843335,False,5,False,6,27.84275254126518,True,
7,792,12,False,False,0,7758.250180942563,4002.5,-876.239990234375,286.5299987792969,-965.1000213623047,10220.999755859375,1590.0,-4558.0999755859375,1561.9999694824219,-3575.1998901367188,0.0,-0.18591266252609448,-2.8084254434146145,2.6299349013567577,bf81d8692db,games5425898691,19.0,3981.070068359375,-1048.8199462890625,296.1000061035156,-4220.799865722656,22602.099609375,573.8000106811523,2.0999999344348907,-2239.4000244140625,-5023.399963378906,255.0,99.0,,0.11875103457665367,0.8587342704324054,-1.8641793896543999,True,7,8,False,53.0,False,,76561198039309853,enpitsu,27.0,688.4500122070312,-4704.2900390625,17.059999465942383,-998.1999969482422,-542.2000122070312,1.2999999523162842,0.5000000074505806,-0.29999999329447746,0.0,255.0,128.0,False,0.01630998262122082,0.4976889260449029,-2.4615958369899066e-05,True,False,31.0,False,6,6,,BakkerBox,be4a6dacb2b,4,2904.3701171875,1159.5699462890625,17.010000228881836,-2114.7999572753906,9326.099853515625,2.0999999344348907,-0.7999999821186066,-0.09999999776482582,0.0,0.0,128.0,False,0.00973373436022713,-1.3477891255794372,7.3958500180966595e-06,True,6,6,False,204.0,False,,KjellisKing,7908226093659348458,6.0,4021.760009765625,1646.68994140625,103.69000244140625,-1864.4999694824219,16856.400146484375,-2320.0,437.59998321533203,1355.0999450683594,266.00000381469727,247.0,128.0,False,0.13594107408092806,1.6706510935500993,-0.875439544157135,True,6,False,6,255.0,False,
8,839,14,False,False,1,9294.989153147575,-3528.4599609375,-3034.409912109375,96.44999694824219,-12019.300537109375,-6558.2000732421875,6182.39990234375,4971.400146484375,2070.8999633789062,-2645.0,1.0,-1.0867994236417884,-1.6794649888467952,-0.8679504685687355,be4a6dacb2b,BakkerBox,4.0,-3422.179931640625,-3102.8798828125,16.350000381469727,-8871.199951171875,-10811.099853515625,-692.0999908447266,4283.900146484375,2243.5000610351562,2619.89990234375,0.0,128.0,False,0.0031685826973479876,2.377410838357429,0.04621490779235994,True,6,6,False,204.0,False,,7908226093659348458,KjellisKing,6.0,-3718.429931640625,-3551.1201171875,17.0,2602.2000122070312,-5819.4000244140625,3.400000035762787,-0.0,0.3999999910593033,0.0,254.0,128.0,False,-0.009479114088155155,-1.9913005416546787,3.358928447535463e-05,True,False,255.0,False,6,6,,enpitsu,76561198039309853,27,-2111.10009765625,4242.77978515625,17.059999465942383,-14849.300537109375,2331.999969482422,-4.000000059604645,0.5999999865889549,-0.19999999552965164,-26.099998950958252,255.0,255.0,False,-0.016764359773277813,0.15891483906733295,4.518131848220995e-05,True,6,6,False,0.0,True,,games5425898691,bf81d8692db,19.0,-3227.8701171875,-2559.3798828125,43.2599983215332,4501.600036621094,-22544.19921875,-700.1000213623047,-206.5999984741211,-2720.7998657226562,661.2000274658203,255.0,0.0,,0.17083980253613879,-1.8385607165964988,-0.5035870204540965,True,8,False,8,24.785402105700587,True,
9,885,16,False,False,1,9958.242262109517,-3152.8701171875,-3957.97998046875,118.94000244140625,3307.0999145507812,5826.5997314453125,1005.1000213623047,5216.7999267578125,-2686.9000244140625,-1250.8000183105469,1.0,1.1068292906081234,2.6473440547604885,-2.8959054555461163,7908226093659348458,KjellisKing,6.0,-3135.800048828125,-4076.159912109375,15.970000267028809,4955.7000732421875,2996.0000610351562,-36.500000953674316,95.79999923706055,22.40000009536743,-156.8000030517578,158.0,160.0,,-0.04203229023685489,2.525730092471128,0.00393112923658821,True,6,6,False,255.0,False,,be4a6dacb2b,BakkerBox,4.0,-3156.64990234375,-4745.16015625,66.55000305175781,10230.0,-3153.800048828125,-3848.2998657226562,1934.1000366210938,-1991.3999938964844,200.9000015258789,0.0,128.0,,0.3927290465723788,0.25258597209768346,0.5232885311738191,True,False,204.0,False,6,6,,enpitsu,76561198039309853,27,-2843.06005859375,2708.590087890625,17.059999465942383,7530.999755859375,-15373.399658203125,-4.000000059604645,0.19999999552965164,-0.29999999329447746,0.09999999776482582,255.0,,,-0.016780009138554212,-2.0263437259206984,-1.8570625713662246e-05,True,6,6,False,217.4116645064405,True,,games5425898691,bf81d8692db,19.0,-4031.68994140625,-3886.679931640625,571.489990234375,-3999.7000122070312,11203.699951171875,-3706.6000366210938,-2362.7999877929688,-135.10000228881836,-1701.6999816894531,255.0,0.0,,-0.3284645888417008,1.252990743479405,1.562305499199681,True,8,False,8,,False,
